[2026-02-17 09:41:57] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-16
正在获取论文...
[arXiv] 2026-02-16 | Scaling Transferable Coarse-graining with Mean Force Matching
[arXiv] 2026-02-16 | Learning Proposes, Geometry Disposes: A Modular Framework for Efficient Spatial Reasoning
[arXiv] 2026-02-16 | "I Felt Bad After We Ignored Her": Understanding How Interface-Driven Social Prominence Shapes Group Discussions with GenAI
[arXiv] 2026-02-16 | TruthStance: An Annotated Dataset of Conversations on Truth Social
[arXiv] 2026-02-16 | A convergent finite element method with minimal deformation rate for mean curvature flow
[arXiv] 2026-02-16 | Scope: A Scalable Merged Pipeline Framework for Multi-Chip-Module NN Accelerators
[arXiv] 2026-02-16 | Flux-Balanced Patankar-type Schemes for the Compressible Euler Equations
[arXiv] 2026-02-16 | ASA: Adaptive Smart Agent Federated Learning via Device-Aware Clustering for Heterogeneous IoT
[arXiv] 2026-02-16 | A Q-Learning Approach for Dynamic Resource Management in Three-Tier Vehicular Fog Computing
[arXiv] 2026-02-16 | Beyond Token-Level Policy Gradients for Complex Reasoning with Large Language Models
[arXiv] 2026-02-16 | Triangulated categories with a compact silting object, Brown-Comenetz duality and Brown representability theorems
[arXiv] 2026-02-16 | Fine-Grained Complexity for Quantum Problems from Size-Preserving Circuit-to-Hamiltonian Constructions
[arXiv] 2026-02-16 | A Computational Framework for Financial Structures
[arXiv] 2026-02-16 | Event-based Visual Deformation Measurement
[arXiv] 2026-02-16 | Differentially Private Retrieval-Augmented Generation
[arXiv] 2026-02-16 | Mixed precision and mixed accuracy explicit two-derivative Runge--Kutta methods
[arXiv] 2026-02-16 | A Trajectory-Based Safety Audit of Clawdbot (OpenClaw)
[arXiv] 2026-02-16 | Image Generation with a Sphere Encoder
[arXiv] 2026-02-16 | Gravitational Wave Echoes of the First Order Phase Transition in a Kination-Induced Big Bang
[arXiv] 2026-02-16 | Scaling Beyond Masked Diffusion Language Models
[arXiv] 2026-02-16 | Signatures of Dynes superconductivity in the THz response of ALD-grown NbN thin films
[arXiv] 2026-02-16 | Spectral Convolution on Orbifolds for Geometric Deep Learning
[arXiv] 2026-02-16 | Instruction-Set Architecture for Programmable NV-Center Quantum Repeater Nodes
[arXiv] 2026-02-16 | Rotational Quantum Friction via Spontaneous Decay
[arXiv] 2026-02-16 | On the Topology of T-manifolds of Higher Codimension
[arXiv] 2026-02-16 | Orthogonalized Multimodal Contrastive Learning with Asymmetric Masking for Structured Representations
[arXiv] 2026-02-16 | Counterfactual Fairness Evaluation of LLM-Based Contact Center Agent Quality Assurance System
[arXiv] 2026-02-16 | PhyScensis: Physics-Augmented LLM Agents for Complex Physical Scene Arrangement
[arXiv] 2026-02-16 | Practical and improved density functionals for computational catalysis on metal surfaces
[arXiv] 2026-02-16 | Sovereign Agents: Towards Infrastructural Sovereignty and Diffused Accountability in Decentralized AI
[arXiv] 2026-02-16 | Kalman Filtering Based Flight Management System Modeling for AAM Aircraft
[arXiv] 2026-02-16 | Gradient Networks for Universal Magnetic Modeling of Synchronous Machines
[arXiv] 2026-02-16 | Pattern preservation in finite to infinite-horizon optimal control problems for dissipative systems
[arXiv] 2026-02-16 | Edge-ends versus topological ends of graphs
[arXiv] 2026-02-16 | Balanced Stochastic Block Model for Community Detection in Signed Networks
[arXiv] 2026-02-16 | Kami of the Commons: Towards Designing Agentic AI to Steward the Commons
[arXiv] 2026-02-16 | Fault Detection in Electrical Distribution System using Autoencoders
[arXiv] 2026-02-16 | Lattice XBAR Filters in Thin-Film Lithium Niobate
[arXiv] 2026-02-16 | A robust and efficient method to calculate electromagnetic modes on a cylindrical step-index nanofibre
[arXiv] 2026-02-16 | Wrivinder: Towards Spatial Intelligence for Geo-locating Ground Images onto Satellite Imagery
[arXiv] 2026-02-16 | MAC-AMP: A Closed-Loop Multi-Agent Collaboration System for Multi-Objective Antimicrobial Peptide Design
[arXiv] 2026-02-16 | Light dilaton from top-down holographic confinement with magnetic fluxes
[arXiv] 2026-02-16 | Additive Control Variates Dominate Self-Normalisation in Off-Policy Evaluation
[arXiv] 2026-02-16 | Position: Introspective Experience from Conversational Environments as a Path to Better Learning
[arXiv] 2026-02-16 | Adjoint-based Shape Optimization, Machine Learning based Surrogate Models, Conditional Variational Autoencoder (CVAE), Voith Schneider propulsion (VSP), Self-propelled Ship, Propulsion Model, Hull Optimization
[arXiv] 2026-02-16 | Tarnished by Tools: Cost of Systematics in Golden Dark Siren Cosmology
[arXiv] 2026-02-16 | Web-Scale Multimodal Summarization using CLIP-Based Semantic Alignment
[arXiv] 2026-02-16 | A few remarks on sections of the Picard bundle of family of curves
[arXiv] 2026-02-16 | CT-Bench: A Benchmark for Multimodal Lesion Understanding in Computed Tomography
[arXiv] 2026-02-16 | Probing topological Floquet states in graphene with ultrafast terahertz scanning tunneling microscopy
[arXiv] 2026-02-16 | Affordance Transfer Across Object Instances via Semantically Anchored Functional Map
[arXiv] 2026-02-16 | interID -- An Ecosystem-agnostic Verifier-as-a-Service with OpenID Connect Bridge
[arXiv] 2026-02-16 | EmbeWebAgent: Embedding Web Agents into Any Customized UI
[arXiv] 2026-02-16 | Quasilocalization under coupled mutation-selection dynamics
[arXiv] 2026-02-16 | Bias analysis of a linear order-statistic inequality index estimator: Unbiasedness under gamma populations
[arXiv] 2026-02-16 | Fair Allocation with Initial Utilities
[arXiv] 2026-02-16 | Existence of large-data solutions to a thermo-piezoelectric system and forward operator analysis for associated inverse problems
[arXiv] 2026-02-16 | Gravitational Decoherence Estimation in Optomechanical Systems
[arXiv] 2026-02-16 | Dark higher-form fields and triangle anomalies
[arXiv] 2026-02-16 | Asymmetry in laser wakefields driven by intense pulses
[arXiv] 2026-02-16 | The Global Representativeness Index: A Total Variation Distance Framework for Measuring Demographic Fidelity in Survey Research
[arXiv] 2026-02-16 | Robot-Wearable Conversation Hand-off for Navigation
[arXiv] 2026-02-16 | On the behavior of analytic torsion for twisted canonical bundles under degenerations
[arXiv] 2026-02-16 | Beyond Retractions: Forensic Scientometrics Techniques to Identify Research Misconduct, Citation Leakage, and Funding Anomalies
[arXiv] 2026-02-16 | What hackers talk about when they talk about AI: Early-stage diffusion of a cybercrime innovation
[arXiv] 2026-02-16 | Evidence for the merger hypothesis in V4332 Sgr: a low $^{12}$C/$^{13}$C ratio and multiple outbursts
[arXiv] 2026-02-16 | ROSA: Roundabout Optimized Speed Advisory with Multi-Agent Trajectory Prediction in Multimodal Traffic
[arXiv] 2026-02-16 | Localization Tensor Revisited: Geometric-Probabilistic Foundations and a Structure-Factor Criterion under Periodic Boundaries
[arXiv] 2026-02-16 | Infrared period-luminosity relations of Galactic Miras based on multi-epoch photometry and the Gaia parallax uncertainty
[arXiv] 2026-02-16 | GOT-JEPA: Generic Object Tracking with Model Adaptation and Occlusion Handling using Joint-Embedding Predictive Architecture
[arXiv] 2026-02-16 | On the Parameterized Tractability of Packing Vertex-Disjoint A-Paths with Length Constraints
[arXiv] 2026-02-16 | A-H Premium and the Shanghai-Hong Kong Stock Connect
[arXiv] 2026-02-16 | A strengthening of the Blaschke-Santaló inequality for $o$-symmetric planar convex bodies
[arXiv] 2026-02-16 | Topological and arithmetic characteristics about products of projective lines with complex tori
[arXiv] 2026-02-16 | Probabilistic Cutoffs in Homogeneous Quantum Repeater Chains
[ACM] 2026-2-16 | SPIED: A Human-Centred pedagogy for AI education at upper second level (Work in progress)
[ACM] 2026-2-16 | Self-Paced Fair Ranking with Loss as a Proxy for Bias
[ACM] 2026-2-16 | EvioSum: An Evidence-Guided Generation Framework for Faithful and Interpretable Opinion Summarization
[ACM] 2026-2-16 | Third Workshop on Generative AI for Recommender Systems and Personalization
[ACM] 2026-2-16 | Transfer Learning via User-Item Graph Convolution for Enhanced Cross-Domain Recommendation
[ACM] 2026-2-16 | A novel implementation of Hermite finite element methods in the deal.II library
[IEEE] 2026-2-16 | IRAC 2025 TOC
[IEEE] 2026-2-16 | Node-based Blockchain Decentralization Measurement Model
[IEEE] 2026-2-16 | HMap: Efficient Internet-wide IPv6 Scanning with Dynamic Search
[IEEE] 2026-2-16 | Unified Load Flow Modeling and Boundary-Aware RoPINN Framework for Particle-Like EV Aggregation Dynamics
[IEEE] 2026-2-16 | Hybrid DenseNet Architectures and KerasTuner-Based Optimization for Rice Leaf Disease Detection
[IEEE] 2026-2-16 | Sequential Residual Learning for Path Loss and Shadowing Prediction Using Multimodal Data
[IEEE] 2026-2-16 | Long Video Understanding with Learnable Retrieval in Video-Language Models
[IEEE] 2026-2-16 | Transferable Backdoor Attack on Any CLIP Model With Any Target Class by Pre-Trained Hack Network
[IEEE] 2026-2-16 | Enhanced Virtual-Oscillator Controlled Inverter: A Complex-Coefficient Filter Approach
[IEEE] 2026-2-16 | Physical-Layer Obfuscation in MIMO–SSK Systems with Imperfect CSI and Spatial Correlation
[IEEE] 2026-2-16 | Joint Beamforming and Resource Coordination for RIS-Aided ISAC over Secure LAWNs
[IEEE] 2026-2-16 | Model Backdoor Attack on Federated Learning Based on Parameter Analysis
[IEEE] 2026-2-16 | HLS-Based Algorithm-Hardware Co-Design of MIMO-OFDM Receiver for Tactical Jamming Suppression
[IEEE] 2026-2-16 | Types I &amp; II Partition-based Fuzzy Classifiers for Enhanced Interpretability, Smaller Output Variance and Denoising Capability_supp1-3664431.docx
[IEEE] 2026-2-16 | Deterministic Statistical QoS Guarantee over FBL-AMC-HARQ based Cell-Free mMIMO
[IEEE] 2026-2-16 | O-RAN xApps Conflict Prediction using Graph Convolutional Networks
[IEEE] 2026-2-16 | Effects of low-intensity transcranial ultrasound stimulation on cortical functional network connections and epileptic seizures in a mouse model of epilepsy_supp1-3664698.docx
[IEEE] 2026-2-16 | Myo-Hand XP: User-Centred Co-Design, Clinical Implementation, and Commercial Translation of an Immersive Virtual Reality Intervention for Myoelectric Prosthesis Training
[IEEE] 2026-2-16 | Efficient Information Updates in Compute-First Networking via Reinforcement Learning with Joint AoI and VoI
[IEEE] 2026-2-16 | Superconducting Probabilistic Neural Synapse with Spike-Timing-Dependent Plasticity
[IEEE] 2026-2-16 | The Simons Observatory: Characterization of the 220/280 GHz TES Detector Modules
[IEEE] 2026-2-16 | In-Hand Manipulation of the Connector for Cable Installation
[IEEE] 2026-2-16 | A High Performance Real-Time Traffic Prediction Method Based on Hybrid Integrated Model for High-Speed Railway Networks
[IEEE] 2026-2-16 | AI-Driven Personalized Learning Paths: Intelligent Restructuring and Innovative Practice of Higher Education Curriculum Systems
[IEEE] 2026-2-16 | AI-Enabled Optical Communication Networks for 6G Telecommunication and Beyond
[IEEE] 2026-2-16 | Design of automatic testing for remote sensing satellite receiving system based on workflow technology
[IEEE] 2026-2-16 | Short-term wind PV output and electrical load forecasting for microgrids based on peak-valley weighted CNN-BiLSTM
[IEEE] 2026-2-16 | IoT-Driven Optical Sensor Networks for Smart Infrastructure Monitoring in Warehouses
[IEEE] 2026-2-16 | An Intelligent Layered Teaching Assistant for Personalized Project-Based Learning in Vocational Education
[IEEE] 2026-2-16 | Hybrid LiFi-WiFi Architecture for High-Speed Vehicular Communication in Intelligent Transportation Systems
[IEEE] 2026-2-16 | Lightweight Transfer Learning Framework for Multi-class Land Cover Classification from Sentinel-2 Imagery
[IEEE] 2026-2-16 | A Dual-Branch Feature Extraction Method for Infrared-Visible Remote Sensing Image Matching Based on GANs
[IEEE] 2026-2-16 | Comparative Analysis of Transformer-Based Models for Automated Student Feedback Sentiment Analysis and Summarization
[IEEE] 2026-2-16 | Research on UAV route planning strategy under the background of low-altitude economy
[IEEE] 2026-2-16 | Constructing and Applying a Online Teaching Research Community Model for Urban and Rural Teachers from the Perspective of Precision Teaching Research
[IEEE] 2026-2-16 | Attenuation Behavior of Pulsed Pressure Waves in Transformer Oil under Different Discharge Conditions
[IEEE] 2026-2-16 | Harmonic Source Localization Based on a Backtracking Generalized Orthogonal Matching Pursuit Algorithm
[IEEE] 2026-2-16 | Study on Day-Ahead Prediction Method for Building Energy Consumption for Virtual Power Plants Based on Multi-Scale Convolution and Multi-Head Attention Mechanism
[ACM] 2026-2-16 | Conversational Entity Retrieval from a Knowledge Graph using Aggregation of Fine-grained Relevance Signals with Graph Convolutions and Self-Attention
[IEEE] 2026-2-16 | New Theoretical Results for LAD-Based Sparse Recovery Using Expanders
[IEEE] 2026-2-16 | Control of Channel-Shortening in Self-Aligned Top-Gate Polycrystalline Indium Oxide Thin-Film Transistor With Boron-Implanted Source and Drain Regions_supp1-3660989.docx
[IEEE] 2026-2-16 | Enhanced Retrieval of Precipitable Water Vapor over Land: An Approach for Algorithmic Improvement and Performance Assessment
[IEEE] 2026-2-16 | Anomaly Detection for Camouflage Targets via Hierarchical Attentional Fusion in UAV Hyperspectral Imagery
[IEEE] 2026-2-16 | Anti-Ferroelectric ZrO2 Capacitors with Ultra-High Capacitive Memory Window and Low Operating Voltage
[IEEE] 2026-2-16 | Deep Learning-Aided Time-Discrete Bioprinting for Single-Cell Encapsulation in Microgel With Composable Stiffness Gradients
[IEEE] 2026-2-16 | Conductive Sensing Jamming Layers for Resistive Sensing of Layer Jamming Brakes_supp2-3657963.mp4
[IEEE] 2026-2-16 | ProtoFormer: Transformer with Learnable Prototype Tokens for Pansharpening
[IEEE] 2026-2-16 | Energy Efficient Beamforming Optimization for Hybrid-RIS Aided Massive MIMO Networks
[IEEE] 2026-2-16 | Data-driven Stochastic Model Predictive Control for Nonconvex Path Planning of Vehicles
[IEEE] 2026-2-16 | Transactions on Plasma Science
[IEEE] 2026-2-16 | Directly from Alpha to Omega: Controllable End-to-End Vector Floor Plan Generation
[IEEE] 2026-2-16 | HP-C4D: A Fast Camera and 4D Radar Fusion Framework with Height Prediction For 3D Object Detection
[IEEE] 2026-2-16 | UniCrossGait: Unified Cross-modal Gait Recognition Based on Knowledge Distillation
[IEEE] 2026-2-16 | Galloping Detection for AC Overhead Transmission Line Based on Induced Signals in Ground Wires
[IEEE] 2026-2-16 | ICET 2025 Cover Page
[IEEE] 2026-2-16 | Phased Hybrid Algorithm With Adaptive Hyper-NSGA-II for Matrix Placement Machines
[IEEE] 2026-2-16 | TD(λ)-GA: A Reinforcement Learning-Based Game Algorithm for Weighted Vertex Cover of Networks
[IEEE] 2026-2-16 | Unified Feedforward Control Framework for Disturbed Non-Minimum Phase Systems: the Koopman-type Inverse Operator Approach
[IEEE] 2026-2-16 | Clearance-Adaptive Grasping of Clustered Objects Using Pin-Array Robotic Fingers Under Uncertainty
[IEEE] 2026-2-16 | Reinforcement Learning for Robust Climbing Locomotion with Rope-Driven Legged Robot
[IEEE] 2026-2-16 | MedInsight Pro: An Explainable Hybrid NLP and LLM Fusion Framework for Radiology Report Interpretation
[IEEE] 2026-2-16 | From Simulation to Clinical Translation: A Deep Learning Framework for Pancreatic Tumor Segmentation with GUI Integration
[IEEE] 2026-2-16 | Energy-Efficient Routing Protocol in Vehicular Opportunistic Networks: A Dynamic Cluster-Based Routing Using Deep Reinforcement Learning
[IEEE] 2026-2-16 | Data Glove and Controller utilized in a ball-catching task with virtual reality differentially modulate corticospinal excitability during combined action observation and motor imagery
[ACM] 2026-2-16 | Multi-Personality Generation of LLMs at Decoding-time
[ACM] 2026-2-16 | A Preliminary Agentic Framework for Matrix Deflation
[ACM] 2026-2-16 | CelebCaption: A Benchmark Dataset for Identity-Sensitive Unlearning in Image Captioning
[IEEE] 2026-2-16 | Research on Current-Based Torque Estimation for Robot Joint Parameter Identification Based on Recursive Least Squares
[IEEE] 2026-2-16 | Improving Information Security of the Exchange of IoT Data with the Use of Lora-Based Encryption Methods
[IEEE] 2026-2-16 | A Unified Energy Management System Framework for Active Distribution Networks with Hybrid Energy Storage and Decentralized Voltage Control
[IEEE] 2026-2-16 | Design of an UWB Asymmetric Stripline Directional Coupler with Low Ripple
[IEEE] 2026-2-16 | The Cultivation and Evaluation Model of College Students' Innovation Ability Based on the Concept of "Five-Education Integration"
[IEEE] 2026-2-16 | An AI-based Approach to 5G Networks' Dynamic Resource Allocation
[IEEE] 2026-2-16 | Physics-Informed Neural Network for Sensorless Speed Prediction of Submersible Motors
[IEEE] 2026-2-16 | Research on Model-Free Predictive Current Control Strategy for Axial Flux-Switching Shaftless Rim Driven Motor
[IEEE] 2026-2-16 | A Graph Neural Network-Based AC Microgrid Fault Diagnosis Model
[IEEE] 2026-2-16 | Dual-Platform Comparative Study: Evaluating Generative AI for English Writing Errors Correction
[IEEE] 2026-2-16 | AI-Powered Cybersecurity Framework: From Reactive Defense to Proactive, Resilient, and Autonomous Protection
[IEEE] 2026-2-16 | AI-Assisted Resource Allocation in 5G/6G Networks
[IEEE] 2026-2-16 | Research on Fault Diagnosis Model of Gas Turbine Under Variable Operating Conditions
[IEEE] 2026-2-16 | Low-Power Silicon Photonic Modulator for On-Chip Optical Interconnects
[IEEE] 2026-2-16 | A Hybrid Edge-Cloud Smart Door Surveillance System with Real-Time Risk Assessment and Secure Access Control
[IEEE] 2026-2-16 | Performance Analyses of Discrete-Time ZNN for Solving Pseudoinversion of Time-Variant Matrices with Different Parameters
[IEEE] 2026-2-16 | Reframing Financial Forecasting with Information Processing Theory: A Conceptual AI Framework
[IEEE] 2026-2-16 | Deep Learning-Based Fractional Doppler-Resilient Channel Estimation for OTFS Systems
[IEEE] 2026-2-16 | A Multi-Resonant Multi-Output (MRO) DC Converter with Multi-Electrolyzer Hybrid Connections
[IEEE] 2026-2-16 | RFD-YOLO: A Lightweight Method for Efficient Rotten Fruit Detection
[IEEE] 2026-2-16 | Electroencephalography (EEG)-Based Forgetting Analysis in Fragmented Learning Contexts
[IEEE] 2026-2-16 | Research on the Complementary Operation Model of Pumped Storage and Hydropower under Generation-Grid-Load-Storage Coordination
[IEEE] 2026-2-16 | Evaluating Security Checks Against Malicious Payloads with Forged Signatures
[IEEE] 2026-2-16 | Challenges and Solutions for High-Speed Intra-Datacenter Connections Based on VCSEL-MMF Links
[IEEE] 2026-2-16 | Stability Boundary Analysis for Grid-Following (GFL) and Grid-Forming (GFM) Inverters
[IEEE] 2026-2-16 | High Power Diamond Photoconductive Switch with sub-bandgap responsivity
[IEEE] 2026-2-16 | Beyond Connectivity: How Large AI Models Unlock Semantic 6G Networks?
共写入 200 条记录，保存到 papers/paper2026-02-16.json。
论文获取成功，文件路径: papers/paper2026-02-16.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Scaling Transferable Coarse-graining with Mean Force Matching
[NO] 2/200 | Universal observable as a signal of chiral anomaly in lattice Weyl fermions
[NO] 3/200 | Disentangling Deception and Hallucination Failures in LLMs
[NO] 4/200 | Rephasing invariant structure of CP phase for simplified mixing matrices in Fritzsch--Xing parametrization
[NO] 5/200 | Zr-based bulk metallic glass clamp cell for high-pressure inelastic neutron scattering
[NO] 6/200 | Bell-like States in Classical Optics: A Process-Theoretic and Sheaf-Theoretic (Categorical) Clarification
[NO] 7/200 | Uncertainty-Aware Vision-Language Segmentation for Medical Imaging
[NO] 8/200 | Parameter-Efficient Fine-Tuning of LLMs with Mixture of Space Experts
[NO] 9/200 | Revisiting the Platonic Representation Hypothesis: An Aristotelian View
[NO] 10/200 | Madhava's Pi-Series in the Modern Context
[NO] 11/200 | Conditional Expectation expression in mean-field SDEs and its applications
[NO] 12/200 | LACONIC: Length-Aware Constrained Reinforcement Learning for LLM
[NO] 13/200 | A hardware-native time-frequency GKP logical qubit toward fault-tolerant photonic operation
[NO] 14/200 | How Well Are State-Dependent Local Projections Capturing Nonlinearities?
[NO] 15/200 | D-SECURE: Dual-Source Evidence Combination for Unified Reasoning in Misinformation Detection
[NO] 16/200 | Fermionic Stoner-Dicke phase transition in Circuit Quantum Magnetostatics
[NO] 17/200 | Synthetic Reader Panels: Tournament-Based Ideation with LLM Personas for Autonomous Publishing
[NO] 18/200 | S2D: Selective Spectral Decay for Quantization-Friendly Conditioning of Neural Activations
[NO] 19/200 | The higher algebra and geometry of monoidal bicategories
[NO] 20/200 | The geometry of invariant learning: an information-theoretic analysis of data augmentation and generalization
[NO] 21/200 | The higher order group inverse in a ring
[NO] 22/200 | The Multiparameter Frontier: Metrological Hierarchy and Robustness in Dispersive Quantum Interferometry
[NO] 23/200 | WavePhaseNet: A DFT-Based Method for Constructing Semantic Conceptual Hierarchy Structures (SCHS)
[NO] 24/200 | Establishing the Primary HEFT as a Precision Benchmark for UV-HEFT Matching
[NO] 25/200 | The Role of Measured Covariates in Assessing Sensitivity to Unmeasured Confounding
[NO] 26/200 | Online Architecture Search for Compressed Sensing based on Hypergradient Descent
[NO] 27/200 | Learning Proposes, Geometry Disposes: A Modular Framework for Efficient Spatial Reasoning
[NO] 28/200 | "I Felt Bad After We Ignored Her": Understanding How Interface-Driven Social Prominence Shapes Group Discussions with GenAI
[NO] 29/200 | TruthStance: An Annotated Dataset of Conversations on Truth Social
[NO] 30/200 | A convergent finite element method with minimal deformation rate for mean curvature flow
[NO] 31/200 | Scope: A Scalable Merged Pipeline Framework for Multi-Chip-Module NN Accelerators
[NO] 32/200 | Flux-Balanced Patankar-type Schemes for the Compressible Euler Equations
[NO] 33/200 | ASA: Adaptive Smart Agent Federated Learning via Device-Aware Clustering for Heterogeneous IoT
[NO] 34/200 | A Q-Learning Approach for Dynamic Resource Management in Three-Tier Vehicular Fog Computing
[NO] 35/200 | Beyond Token-Level Policy Gradients for Complex Reasoning with Large Language Models
[NO] 36/200 | Triangulated categories with a compact silting object, Brown-Comenetz duality and Brown representability theorems
[NO] 37/200 | Fine-Grained Complexity for Quantum Problems from Size-Preserving Circuit-to-Hamiltonian Constructions
[NO] 38/200 | A Computational Framework for Financial Structures
[NO] 39/200 | Event-based Visual Deformation Measurement
[NO] 40/200 | Differentially Private Retrieval-Augmented Generation
[NO] 41/200 | Mixed precision and mixed accuracy explicit two-derivative Runge--Kutta methods
[NO] 42/200 | A Trajectory-Based Safety Audit of Clawdbot (OpenClaw)
[NO] 43/200 | Image Generation with a Sphere Encoder
[NO] 44/200 | Gravitational Wave Echoes of the First Order Phase Transition in a Kination-Induced Big Bang
[NO] 45/200 | Scaling Beyond Masked Diffusion Language Models
[NO] 46/200 | Signatures of Dynes superconductivity in the THz response of ALD-grown NbN thin films
[NO] 47/200 | Spectral Convolution on Orbifolds for Geometric Deep Learning
[NO] 48/200 | Instruction-Set Architecture for Programmable NV-Center Quantum Repeater Nodes
[NO] 49/200 | Rotational Quantum Friction via Spontaneous Decay
[NO] 50/200 | On the Topology of T-manifolds of Higher Codimension
[NO] 51/200 | Orthogonalized Multimodal Contrastive Learning with Asymmetric Masking for Structured Representations
[NO] 52/200 | Counterfactual Fairness Evaluation of LLM-Based Contact Center Agent Quality Assurance System
[NO] 53/200 | PhyScensis: Physics-Augmented LLM Agents for Complex Physical Scene Arrangement
[NO] 54/200 | Practical and improved density functionals for computational catalysis on metal surfaces
[NO] 55/200 | Sovereign Agents: Towards Infrastructural Sovereignty and Diffused Accountability in Decentralized AI
[NO] 56/200 | Kalman Filtering Based Flight Management System Modeling for AAM Aircraft
[NO] 57/200 | Gradient Networks for Universal Magnetic Modeling of Synchronous Machines
[NO] 58/200 | Pattern preservation in finite to infinite-horizon optimal control problems for dissipative systems
[NO] 59/200 | Edge-ends versus topological ends of graphs
[NO] 60/200 | Balanced Stochastic Block Model for Community Detection in Signed Networks
[NO] 61/200 | Kami of the Commons: Towards Designing Agentic AI to Steward the Commons
[NO] 62/200 | Fault Detection in Electrical Distribution System using Autoencoders
[NO] 63/200 | Lattice XBAR Filters in Thin-Film Lithium Niobate
[NO] 64/200 | A robust and efficient method to calculate electromagnetic modes on a cylindrical step-index nanofibre
[NO] 65/200 | Wrivinder: Towards Spatial Intelligence for Geo-locating Ground Images onto Satellite Imagery
[NO] 66/200 | MAC-AMP: A Closed-Loop Multi-Agent Collaboration System for Multi-Objective Antimicrobial Peptide Design
[NO] 67/200 | Light dilaton from top-down holographic confinement with magnetic fluxes
[NO] 68/200 | Additive Control Variates Dominate Self-Normalisation in Off-Policy Evaluation
[NO] 69/200 | Position: Introspective Experience from Conversational Environments as a Path to Better Learning
[NO] 70/200 | Adjoint-based Shape Optimization, Machine Learning based Surrogate Models, Conditional Variational Autoencoder (CVAE), Voith Schneider propulsion (VSP), Self-propelled Ship, Propulsion Model, Hull Optimization
[NO] 71/200 | Tarnished by Tools: Cost of Systematics in Golden Dark Siren Cosmology
[NO] 72/200 | Web-Scale Multimodal Summarization using CLIP-Based Semantic Alignment
[NO] 73/200 | A few remarks on sections of the Picard bundle of family of curves
[NO] 74/200 | CT-Bench: A Benchmark for Multimodal Lesion Understanding in Computed Tomography
[NO] 75/200 | Probing topological Floquet states in graphene with ultrafast terahertz scanning tunneling microscopy
[NO] 76/200 | Affordance Transfer Across Object Instances via Semantically Anchored Functional Map
[NO] 77/200 | interID -- An Ecosystem-agnostic Verifier-as-a-Service with OpenID Connect Bridge
[NO] 78/200 | EmbeWebAgent: Embedding Web Agents into Any Customized UI
[NO] 79/200 | Quasilocalization under coupled mutation-selection dynamics
[NO] 80/200 | Bias analysis of a linear order-statistic inequality index estimator: Unbiasedness under gamma populations
[NO] 81/200 | Fair Allocation with Initial Utilities
