[2026-01-28 09:29:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-01-27
正在获取论文...
[arXiv] 2026-01-27 | Evaluation of Oncotimia: An LLM based system for supporting tumour boards
[IEEE] 2026-1-27 | A user-friendly Google Earth Engine Web Application for vegetation trait mapping and time series analysis from Sentinel-2 and Sentinel-3 imagery
[IEEE] 2026-1-27 | From Edge Screening to Cloud Adjudication: Intelligent Multimodal Anomaly Detection in Large-Scale Sensor-Cloud Networks
[IEEE] 2026-1-27 | The Need for Up- &amp; Re-Skilling of Staff of Universities of Applied Sciences in Ethiopia
[IEEE] 2026-1-27 | Templse: Cloud Integrated Health Monitoring System
[IEEE] 2026-1-27 | Evaluating the Performance of Three IHS-based Pansharpening Techniques
[IEEE] 2026-1-27 | Evaluating Administrative Accountability for Artificial Intelligence Application Errors in Jordan: Legal and Ethical Implications
[IEEE] 2026-1-27 | A Portable Femtoampere-Sensitive Readout System for a High-Pressure Argon Ionization Chamber
[IEEE] 2026-1-27 | RDKD-SAR: An RT-DETR knowledge distillation framework for SAR object detection
[IEEE] 2026-1-27 | Structurally Consistent Multi-Stage Learning for Abdominal and Cardiac Organ Segmentation
[IEEE] 2026-1-27 | Traffic-Aware RAW Slot Allocation Scheme for Heterogeneous IoT Networks
[IEEE] 2026-1-27 | A Scalable Multiple Extended Targets Tracking Based on the Non-Homogeneous Poisson Process and PHD Filter*
共写入 200 条记录，保存到 papers/paper2026-01-27.json。
论文获取成功，文件路径: papers/paper2026-01-27.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Evaluation of Oncotimia: An LLM based system for supporting tumour boards
[NO] 2/200 | Magnetization Plateaus in the Spin-Orbit Coupled Bilayer Triangular Lattice Antiferromagnet Rb2Co2(SeO3)3
[NO] 3/200 | Symmetric polynomials: DIM integrable systems versus twisted Cherednik systems
[NO] 4/200 | RHSIA: Real-time Hemodynamics Surrogation for Non-idealized Intracranial Aneurysms
[NO] 5/200 | Mass, staticity, and a Riemannian Penrose inequality for weighted manifolds
[NO] 6/200 | Reflective Translation: Improving Low-Resource Machine Translation via Structured Self-Reflection
[NO] 7/200 | A Cool Earth-sized Planet Candidate Transiting a Tenth Magnitude K-dwarf From K2
[NO] 8/200 | Bandits in Flux: Adversarial Constraints in Dynamic Environments
[NO] 9/200 | Discovery of Galactic center ejected star in DESI DR1
[NO] 10/200 | Prompt cusps in hierarchical dark matter halos: Implications for annihilation boost
[NO] 11/200 | Calibration without Ground Truth
[NO] 12/200 | Symmetric and Antisymmetric Quantum States from Graph Structure and Orientation
[NO] 13/200 | Estimating Trust in Human-Robot Collaboration through Behavioral Indicators and Explainability
[NO] 14/200 | HexFormer: Hyperbolic Vision Transformer with Exponential Map Aggregation
[NO] 15/200 | Identifying and Transferring Reasoning-Critical Neurons: Improving LLM Inference Reliability via Activation Steering
[NO] 16/200 | Self-Sovereign Identity and eIDAS 2.0: An Analysis of Control, Privacy, and Legal Implications
[NO] 17/200 | Numerical simulations of simultaneous pair-drop impacts and their energetics
[NO] 18/200 | Visual Generation Unlocks Human-Like Reasoning through Multimodal World Models
[NO] 19/200 | The extensibility of the Diophantine triple $\{2, b, c\}$
[NO] 20/200 | A general theory of nonlocal elasticity based on nonlocal gradients and connections with Eringen's model
[NO] 21/200 | Atomic imaging of 2D transition metal dihalides
[NO] 22/200 | Knowledge-Aware Evolution for Streaming Federated Continual Learning with Category Overlap and without Task Identifiers
[NO] 23/200 | Resolving Gauge Ambiguities of the Berry Connection in Non-Hermitian Systems
[NO] 24/200 | PaW-ViT: A Patch-based Warping Vision Transformer for Robust Ear Verification
[NO] 25/200 | Inter-branch message transfer on superconducting quantum processors: a multi-architecture benchmark
[NO] 26/200 | 6-mJ, 4-ns Pulse Generation at 2.09 $μ$m from a Diode-Pumped Ho:YAG Thin-Disk Laser
[NO] 27/200 | Unique Preference Aggregation in Design and Decision Making
[NO] 28/200 | Integral torsion points on abelian varieties over function fields
[NO] 29/200 | Regularized $f$-Divergence Kernel Tests
[NO] 30/200 | Agentic Design Patterns: A System-Theoretic Framework
[NO] 31/200 | A two-mode model for black hole evaporation and information flow
[NO] 32/200 | Combinatorial proofs of some identities on overpartitions with repeated smallest non-overlined part
[NO] 33/200 | Quantum Light Detection with Enhanced Photonic Neural Network
[NO] 34/200 | Optimally Driven Dressed Qubits
[NO] 35/200 | Rethinking Divisive Hierarchical Clustering from a Distributional Perspective
[NO] 36/200 | Physics-Aware Novel-View Acoustic Synthesis with Vision-Language Priors and 3D Acoustic Environment Modeling
[NO] 37/200 | Differentiable Semantic ID for Generative Recommendation
[NO] 38/200 | A study of dark matter-dark energy interaction under the DESI DR2 data constraint
[NO] 39/200 | Fundamental Relations as the Leading Order in Nonlinear Thermoelectric Responses with Time-Reversal Symmetry
[NO] 40/200 | Local environmental dependence on weak-lensing shear statistics
[NO] 41/200 | Development of a comprehensive PMT optical model for the JUNO experiment
[NO] 42/200 | DSTCS: Dual-Student Teacher Framework with Segment Anything Model for Semi-Supervised Pubic Symphysis Fetal Head Segmentation
[NO] 43/200 | Spectroscopy of $^4$He at 0.25 ppt Uncertainty and Improved Alpha-Helion Charge-Radius Difference Determination
[NO] 44/200 | eHMI for All -- Investigating the Effect of External Communication of Automated Vehicles on Pedestrians, Manual Drivers, and Cyclists in Virtual Reality
[NO] 45/200 | OSIRIS: Bridging Analog Circuit Design and Machine Learning with Scalable Dataset Generation
[NO] 46/200 | Large-scale Modeling of the Observed Power Spectrum Multipoles
[NO] 47/200 | On Dirichlet Series Involving $ζ(s)$ and Extensions of the Euler-Mascheroni Constant
[NO] 48/200 | ProVoice: Designing Proactive Functionality for In-Vehicle Conversational Assistants using Multi-Objective Bayesian Optimization to Enhance Driver Experience
[NO] 49/200 | RPO:Reinforcement Fine-Tuning with Partial Reasoning Optimization
[NO] 50/200 | Residual Tokens Enhance Masked Autoencoders for Speech Modeling
[NO] 51/200 | Lepton flavor violating signals driven by CP symmetry of order 4
[NO] 52/200 | DSP-Reg: Domain-Sensitive Parameter Regularization for Robust Domain Generalization
[NO] 53/200 | Nanomechanical sensor resolving impulsive forces below its zero-point fluctuations
[NO] 54/200 | High-quality data augmentation for code comment classification
[NO] 55/200 | Optimal Asynchronous Stochastic Nonconvex Optimization under Heavy-Tailed Noise
[NO] 56/200 | Inertial effects on the interphase drag force and rheology of dilute suspensions of buoyant droplets at low Reynolds number
[NO] 57/200 | Green's Function Formalism for Impurity-Induced Resonances in Sub-barrier Proton-Nucleus Scattering
[NO] 58/200 | Deterministic non-local parity control and supercurrent-based detection in an Andreev molecule
[YES] 59/200 | Cooperative Double IRS aided Secure Communication for MIMO-OFDM Systems
[NO] 60/200 | Pareto-Guided Optimization for Uncertainty-Aware Medical Image Segmentation
[NO] 61/200 | Revisiting Parameter Server in LLM Post-Training
[NO] 62/200 | A sharp monomial Caffarelli-Kohn-Nirenberg inequality
[NO] 63/200 | Experimental High-Accuracy and Broadband Quantum Frequency Sensing via Geodesic Control
[NO] 64/200 | Continuous-mode analysis of improved two-way CV-QKD
[NO] 65/200 | GeoSSA: Geometric Sparrow Search Algorithm for UAV Path Planning and Engineering Design Optimization
[NO] 66/200 | Probing multipolar order in the candidate altermagnet MnF$_2$ through the elastocaloric effect under strain
[NO] 67/200 | Robust Uncertainty Estimation under Distribution Shift via Difference Reconstruction
[NO] 68/200 | CaseMaster: Designing and Evaluating a Probe for Oral Case Presentation Training with LLM Assistance
[NO] 69/200 | A Unified Framework for Equilibrium Selection in DSGE Models
[NO] 70/200 | A generalization of Boppana's entropy inequality
[NO] 71/200 | Graphene Josephson Junctions for Engineering Motional Quanta
[NO] 72/200 | Positive autocorrelation at unit lag for stationary random walk Metropolis-Hastings in ${\mathbb R}^d$
[NO] 73/200 | Predictive Accuracy versus Interpretability in Energy Markets: A Copula-Enhanced TVP-SVAR Analysis
[NO] 74/200 | Instance-Guided Radar Depth Estimation for 3D Object Detection
[NO] 75/200 | Balancing Sustainability And Performance: The Role Of Small-Scale Llms In Agentic Artificial Intelligence Systems
[NO] 76/200 | Beyond Shadows: A Large-Scale Benchmark and Multi-Stage Framework for High-Fidelity Facial Shadow Removal
[NO] 77/200 | Composition operators on weighted Bergman spaces of the polydisc
