[2026-03-28 09:31:35] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-27
正在获取论文...
[IEEE] 2026-3-27 | ICCE 2026 Contributor Page
[IEEE] 2026-3-27 | Comparative Analysis of Hybrid Deep Learning Models for Deepfake Detection
[IEEE] 2026-3-27 | Edge-Driven Semantic Fusion for Real-Time Image Captioning in IoT Environments
[IEEE] 2026-3-27 | A Hybrid Spatiotemporal 3D Phase Unwrapping Method for Dynamic DSPI
[IEEE] 2026-3-27 | Delayed Ai Access: Mitigating the Homogenising Effects of Generative Ai in Collaborative Problemsolving
[ACM] 2026-3-27 | Invited: From Evolutionary Algorithms to Analog Design, Electromigration, 3D Integration, and Beyond: On Jens Lienig's Contributions to Advance Physical Design
[IEEE] 2026-3-27 | Fluid Antennas: Pioneering a New Era in Next-Generation Wireless Communications
[IEEE] 2026-3-27 | ICMWIA 2026 Authors Index
[IEEE] 2026-3-27 | Continual Reinforcement Learning Framework for Scalable Collision Avoidance and Mitigation System With Packing Strategy
[IEEE] 2026-3-27 | Impact of Sensor Placement and Gait Dynamics on Off-Body MBAN Channel Characteristics: A Comprehensive Performance Evaluation of BER and Data Throughput at 2.36-2.39 GHz
[IEEE] 2026-3-27 | scaleTRIM: Scalable TRuncation-Based Integer Approximate Multiplier with Linearization and Compensation
[IEEE] 2026-3-27 | A Reinforcement Learning Framework for UAV Path Planning Automation in Complex Fire and Rescue Environments
[IEEE] 2026-3-27 | Activation Analyses in Support of the Integration of the ITER Diagnostic Equatorial Ports
[IEEE] 2026-3-27 | Effects of Voltage Increase Rate on Paschen’s Curve in Air
[IEEE] 2026-3-27 | Advanced Optimization of THz Biosensor for Breast Cancer Detection Through Machine Learning
[IEEE] 2026-3-27 | Leveraging AI Agents for Autonomous Networks: A Reference Architecture and Empirical Studies
[IEEE] 2026-3-27 | CHAINOPT: Heterogeneity-aware Blockchain Performance Optimization for Dynamic Workloads
[IEEE] 2026-3-27 | 2026 International Conference on Medical Microwave Imaging Applications (ICMWIA)
[IEEE] 2026-3-27 | What Are They Asking? Analyzing Multilingual Student Questions to ChatGPT in Computer Science Education
[IEEE] 2026-3-27 | Boost-Integrated Dual-Bridge llc Resonant Converter with Fault-Tolerant Capability for Battery Charging Applications
[IEEE] 2026-3-27 | Research on Robust Day-Ahead Dispatch for Dual-Type Demand Response in New Power Systems
[IEEE] 2026-3-27 | Fault Branch Location Method for Substation Grounding Grid Based on ICSA Algorithm
[IEEE] 2026-3-27 | MPC-Based Six-Switch MFC Using Novel Bobcat Optimized Cascaded Control in a Grid-Interactive Micro Grid Operation
[IEEE] 2026-3-27 | A Review of Electrification Challenges with e-Aircraft for Consumer Potential Use
[IEEE] 2026-3-27 | Research on an Intelligent Optimization Algorithm for Indoor Space Design Based on Deep Learning
[IEEE] 2026-3-27 | Spoken Language Evaluation Through Aienhanced Pronunciation Feedback Systems
[IEEE] 2026-3-27 | LLM-Based Bitrate Selection Method for CMR-Supported Audio Codec
[IEEE] 2026-3-27 | Image Recognition of Textile Healing Effect Based on Transformer-LSTM
[IEEE] 2026-3-27 | Research on Energy Management Method for Hydrogen-Powered Intercity EMU Cluster Power System
[IEEE] 2026-3-27 | Copper Price Forecasting of COMEX Copper Based on Machine Learning: A Comparative Study of LSTM, ARIMA, and SVR Models
[IEEE] 2026-3-27 | Design of Low Voltage Electrical Cabinet for New Energy Vehicle Workshop Based on EPLAN PRO PANEL
[IEEE] 2026-3-27 | DiffCNN: A Neural Network-based Diffusion Model for Identification and Quantification of Cracks in Concrete Bridges
[IEEE] 2026-3-27 | Decision Making Assistance for Electricity Spot Market Based on CNN-XGBoost Integrated Algorithm
[IEEE] 2026-3-27 | Method for Error State Assessment of Current Transformers Based on Multimodal Global-Local Fusion Network
[IEEE] 2026-3-27 | Dendritic-Spine-Inspired Structural Optimization in a Lightweight Bowel Sound Analysis System for On-Device Colorectal Cancer Screening
[IEEE] 2026-3-27 | Detection of Low Attachment and High Use of Safety Ropes Based on Mmpose+Qwen2-VL Model
[IEEE] 2026-3-27 | Signal Propagation and Energy Consumption in Multiband Wi-Fi: A Case Study on Mobile Devices
[IEEE] 2026-3-27 | SkyShield: A Smart Drone Swarm for Real-Time UAV Identification and Threat Mitigation
[IEEE] 2026-3-27 | An Intelligent Online Monitoring Method Based on the VQ-VAE Model
[IEEE] 2026-3-27 | A Synergistic Cyber-Physical Framework for Motorcyclist Safety: Integrating Automated SOS, Heads-Up Navigation, and Hands-Free Communication
[IEEE] 2026-3-27 | DrinkSync: A Sustainable, Universally Compatible Hydration Tracking System
[IEEE] 2026-3-27 | Research on audio signal preprocessing based on neural network
[IEEE] 2026-3-27 | Adaptive Semantic Gates for Reliable Multi-Agent LLMs
[IEEE] 2026-3-27 | Comparative Study on Power Converter Topologies for Multilevel Converter-Based Sonar Power Amplifiers
[IEEE] 2026-3-27 | High-Slot-Loaded Two-Element Patch Antenna Arrays: A Performance Comparison for 5G Applications
[IEEE] 2026-3-27 | Early Damage Detection in Bridges Using Magnetostrictive Sensors Under Traffic Loading Scenarios
[IEEE] 2026-3-27 | AI-Driven Optimization of EV Battery Charging
[IEEE] 2026-3-27 | Integrated Blockchain and Machine Learning Framework for Polystyrene Waste Traceability
[IEEE] 2026-3-27 | Real-Time Controller Implementation Using dSPACE RTI1202 and MATLAB/Simulink: Architecture, Integration, and Applications
[IEEE] 2026-3-27 | Target Detection using Optimized AIRBORNE SAR System in Stripmap mode
[IEEE] 2026-3-27 | Application of Multimodal Artificial Intelligence Fusion Model in Individualized Prediction of Depression
[IEEE] 2026-3-27 | Electro-Thermal Coupling Modelling for Liquid Metal Battery Based on Equivalent Circuit Model
[IEEE] 2026-3-27 | Flip-flop resource expansion method for FPGAs using latches created on look-up tables
[IEEE] 2026-3-27 | Research on Lightweight Transformer for Hybrid Force-Position Control of Flexible Manipulators
[IEEE] 2026-3-27 | Construction and Application of a Digital Platform for Carbon Footprint of Electrical Equipment Based on Time-sharing Dynamic Power Carbon Emission Factors
[IEEE] 2026-3-27 | Efficient Distributed TDMA Scheduling and Graph Construction in Heterogeneous Wireless Sensor Networks with Enhanced Aggregation and Energy Optimizations
[IEEE] 2026-3-27 | Emotion-Aware Smart Home Automation Based on the eBICA Model
[IEEE] 2026-3-27 | Intelligent EV Charging Algorithm
[IEEE] 2026-3-27 | Research on Complex Multi Objective Systems Based on Intelligent Feedback Optimization Framework and Improved Genetic Algorithm
共写入 100 条记录，保存到 papers/paper2026-03-27.json。
论文获取成功，文件路径: papers/paper2026-03-27.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | ICCE 2026 Contributor Page
[NO] 2/100 | Invited: Electromigration Avoidance Strategies in Infineon
[NO] 3/100 | Copyright Page
[NO] 4/100 | A multi-domain spatiotemporal deep convolutional autoencoder for health indicator construction in rotating machinery
[NO] 5/100 | Doeblin Curves
[NO] 6/100 | Design and Integration of a Compact Mobile Outdoor Soil Sampling Agricultural Robot
[NO] 7/100 | MoEWTNet: Mixture-of-Experts Wavelet Transform Network for Robust SAR Detection of Small Vessels
[NO] 8/100 | Design of a Bio-Inspired Adaptive Central Pattern Generator Control for Pneumatic Muscle Antagonistic Joint
[NO] 9/100 | Digital Twin-Enabled Modeling and Operational Optimization for Power-Electronics-Rich Distribution Networks
[NO] 10/100 | Enhanced Diabetes Prediction Using Deep Learning Framework: Enhanced Diabetes Classification with CNN and Bidirectional LSTM Hybrid Approach
[NO] 11/100 | Sustainable Conversion Process of Eggshell Waste Into Piezoelectric Nanocomposite for Windmill-based Energy Harvesting Systems
[NO] 12/100 | Hybrid Genetic Algorithm with Particle Swarm Optimization in the Fields of Artificial Intelligence and Data Sciences
[NO] 13/100 | Evaluating Augmentation Strategies for Large Language Models: A Comparative Study of RAG, CAG, and KAG
[NO] 14/100 | Advanced Fire and Smoke Detection System Using Enhanced YOLOv12 Architecture
[NO] 15/100 | Optimal Scheduling of Virtual Power Plants Considering Green Certificate-Carbon Interaction Mechanisms and Electricity-to-Gas Synergy
[NO] 16/100 | AgriOneAI: An Integrated AI-Powered Agricultural Advisory and Market Linkage Platform for Sustainable Farming
[NO] 17/100 | Model Construction for the Application of Machine Vision in Intangible Cultural Heritage Image Recognition
[NO] 18/100 | Finite-Element Analysis of Raindrop-Induced Electric-Field Distortion on AC Conductors and Suppression by Twin-Bundle Configuration
[NO] 19/100 | Smart Parking Lot Navigation: A Heuristic A* Search Approach for Design of Entry and Exit Algorithms
[NO] 20/100 | An Ethical AI Framework for Identifying, Auditing and Mitigating Bias in AI Models
[NO] 21/100 | Evolution of the Model: Optimizing League of Legends Win Rate Prediction Neural Networks through Symmetry Feature Selection
[NO] 22/100 | A Mathematical and Systematic Design Approach for Two-Stage CMOS Op-Amp with SCL PDK
[NO] 23/100 | Repeatability in Medical Microwave Imaging: Mapping Current Approaches
[NO] 24/100 | Computational Framework for Complex Time-Series Trend Prediction: Multi-Model Fusion with Random Forest and Monte Carlo Simulation
[NO] 25/100 | Broadband Quarter-Wavelength Impedance Matching for Microwave Bone Health Monitoring Applications
[NO] 26/100 | Research on Lightweight Electricity Abnormal Detection Model for Low Carbon Parks and Its Collaborative Optimization for Energy Storage Scheduling
[NO] 27/100 | Magnetostrictive Vibration Analysis of a 500 kV Transformer Core via Coupled Electromagnetic-Structural Simulation
[NO] 28/100 | Research on Decision Logic Reasoning Technology in the Power Sector Based on Chain-Of-Thought
[NO] 29/100 | Optimization of Voltage Windows for Aqueous Zn– MnO
                    <sub>2</sub>
                    Batteries to Suppress Mn
                    <sup>2+</sup>
                    Dissolution
[NO] 30/100 | OpenOCD-Compliant Radiation-Hardened JTAG Interface for Optically Reconfigurable Gate Array VLSIs
[NO] 31/100 | Application of Transformer Algorithm in Prediction Model
[NO] 32/100 | Construction Garbage Classification Detection Using an Enhanced YOLOv12 Framework
[NO] 33/100 | Automatic Dusk Flipper Machine (ADFM): A Mechatronic Solution for Enhancing Poultry Farm Health and Efficiency
[NO] 34/100 | Reliability Analysis of AI-Enhanced Multimodal Assistive Systems for in-Home Elderly Care
[YES] 35/100 | Alternating Optimization of Power, Beamforming, and Phase Shift for Maximizing Weighted Sum Rate in UAV-RIS Assisted NOMA Systems
[NO] 36/100 | EEG-Based Epileptic Seizure Prediction Using Attention-Based Temporal Convolutional Recurrent Neural Networks for Cross-Patient Generalization
[NO] 37/100 | Deep Neural Network with A* Based on Floyd Search for Quadrupedal Robot Navigation
[NO] 38/100 | Research on Online Monitoring System for Distribution Network Equipment Based on Differentiated Image Semantic Segmentation and Encoding
[NO] 39/100 | Hardware-Trojan Detection Using GraphGPS
[NO] 40/100 | Research on Intelligent Connected Vehicle Safety Technology Based on Fuzzy Testing
[NO] 41/100 | Comparative Analysis of Attention Architectures for Multimodal AI-Proctoring
[NO] 42/100 | Stacking Ensemble-Based Framework for Intrusion Detection in Internet-of-Energy (IoE) Systems
[NO] 43/100 | Comparative Analysis of Hybrid Deep Learning Models for Deepfake Detection
[NO] 44/100 | Edge-Driven Semantic Fusion for Real-Time Image Captioning in IoT Environments
[NO] 45/100 | A Hybrid Spatiotemporal 3D Phase Unwrapping Method for Dynamic DSPI
[NO] 46/100 | Delayed Ai Access: Mitigating the Homogenising Effects of Generative Ai in Collaborative Problemsolving
[NO] 47/100 | Invited: From Evolutionary Algorithms to Analog Design, Electromigration, 3D Integration, and Beyond: On Jens Lienig's Contributions to Advance Physical Design
[YES] 48/100 | Fluid Antennas: Pioneering a New Era in Next-Generation Wireless Communications
[NO] 49/100 | ICMWIA 2026 Authors Index
[NO] 50/100 | Continual Reinforcement Learning Framework for Scalable Collision Avoidance and Mitigation System With Packing Strategy
[NO] 51/100 | Impact of Sensor Placement and Gait Dynamics on Off-Body MBAN Channel Characteristics: A Comprehensive Performance Evaluation of BER and Data Throughput at 2.36-2.39 GHz
[NO] 52/100 | scaleTRIM: Scalable TRuncation-Based Integer Approximate Multiplier with Linearization and Compensation
[NO] 53/100 | A Reinforcement Learning Framework for UAV Path Planning Automation in Complex Fire and Rescue Environments
[NO] 54/100 | Activation Analyses in Support of the Integration of the ITER Diagnostic Equatorial Ports
[NO] 55/100 | Effects of Voltage Increase Rate on Paschen’s Curve in Air
[NO] 56/100 | Advanced Optimization of THz Biosensor for Breast Cancer Detection Through Machine Learning
[NO] 57/100 | Leveraging AI Agents for Autonomous Networks: A Reference Architecture and Empirical Studies
[NO] 58/100 | CHAINOPT: Heterogeneity-aware Blockchain Performance Optimization for Dynamic Workloads
[NO] 59/100 | 2026 International Conference on Medical Microwave Imaging Applications (ICMWIA)
[NO] 60/100 | What Are They Asking? Analyzing Multilingual Student Questions to ChatGPT in Computer Science Education
[NO] 61/100 | Boost-Integrated Dual-Bridge llc Resonant Converter with Fault-Tolerant Capability for Battery Charging Applications
[NO] 62/100 | Research on Robust Day-Ahead Dispatch for Dual-Type Demand Response in New Power Systems
[NO] 63/100 | Fault Branch Location Method for Substation Grounding Grid Based on ICSA Algorithm
[NO] 64/100 | MPC-Based Six-Switch MFC Using Novel Bobcat Optimized Cascaded Control in a Grid-Interactive Micro Grid Operation
[NO] 65/100 | A Review of Electrification Challenges with e-Aircraft for Consumer Potential Use
[NO] 66/100 | Research on an Intelligent Optimization Algorithm for Indoor Space Design Based on Deep Learning
[NO] 67/100 | Spoken Language Evaluation Through Aienhanced Pronunciation Feedback Systems
[NO] 68/100 | LLM-Based Bitrate Selection Method for CMR-Supported Audio Codec
[NO] 69/100 | Image Recognition of Textile Healing Effect Based on Transformer-LSTM
[NO] 70/100 | Research on Energy Management Method for Hydrogen-Powered Intercity EMU Cluster Power System
[NO] 71/100 | Copper Price Forecasting of COMEX Copper Based on Machine Learning: A Comparative Study of LSTM, ARIMA, and SVR Models
[NO] 72/100 | Design of Low Voltage Electrical Cabinet for New Energy Vehicle Workshop Based on EPLAN PRO PANEL
[NO] 73/100 | DiffCNN: A Neural Network-based Diffusion Model for Identification and Quantification of Cracks in Concrete Bridges
[NO] 74/100 | Decision Making Assistance for Electricity Spot Market Based on CNN-XGBoost Integrated Algorithm
[NO] 75/100 | Method for Error State Assessment of Current Transformers Based on Multimodal Global-Local Fusion Network
[NO] 76/100 | Dendritic-Spine-Inspired Structural Optimization in a Lightweight Bowel Sound Analysis System for On-Device Colorectal Cancer Screening
[NO] 77/100 | Detection of Low Attachment and High Use of Safety Ropes Based on Mmpose+Qwen2-VL Model
[NO] 78/100 | Signal Propagation and Energy Consumption in Multiband Wi-Fi: A Case Study on Mobile Devices
[NO] 79/100 | SkyShield: A Smart Drone Swarm for Real-Time UAV Identification and Threat Mitigation
[NO] 80/100 | An Intelligent Online Monitoring Method Based on the VQ-VAE Model
[NO] 81/100 | A Synergistic Cyber-Physical Framework for Motorcyclist Safety: Integrating Automated SOS, Heads-Up Navigation, and Hands-Free Communication
[NO] 82/100 | DrinkSync: A Sustainable, Universally Compatible Hydration Tracking System
[NO] 83/100 | Research on audio signal preprocessing based on neural network
[NO] 84/100 | Adaptive Semantic Gates for Reliable Multi-Agent LLMs
[NO] 85/100 | Comparative Study on Power Converter Topologies for Multilevel Converter-Based Sonar Power Amplifiers
[NO] 86/100 | High-Slot-Loaded Two-Element Patch Antenna Arrays: A Performance Comparison for 5G Applications
[NO] 87/100 | Early Damage Detection in Bridges Using Magnetostrictive Sensors Under Traffic Loading Scenarios
[NO] 88/100 | AI-Driven Optimization of EV Battery Charging
[NO] 89/100 | Integrated Blockchain and Machine Learning Framework for Polystyrene Waste Traceability
[NO] 90/100 | Real-Time Controller Implementation Using dSPACE RTI1202 and MATLAB/Simulink: Architecture, Integration, and Applications
[NO] 91/100 | Target Detection using Optimized AIRBORNE SAR System in Stripmap mode
[NO] 92/100 | Application of Multimodal Artificial Intelligence Fusion Model in Individualized Prediction of Depression
[NO] 93/100 | Electro-Thermal Coupling Modelling for Liquid Metal Battery Based on Equivalent Circuit Model
[NO] 94/100 | Flip-flop resource expansion method for FPGAs using latches created on look-up tables
[NO] 95/100 | Research on Lightweight Transformer for Hybrid Force-Position Control of Flexible Manipulators
[NO] 96/100 | Construction and Application of a Digital Platform for Carbon Footprint of Electrical Equipment Based on Time-sharing Dynamic Power Carbon Emission Factors
[NO] 97/100 | Efficient Distributed TDMA Scheduling and Graph Construction in Heterogeneous Wireless Sensor Networks with Enhanced Aggregation and Energy Optimizations
[NO] 98/100 | Emotion-Aware Smart Home Automation Based on the eBICA Model
[NO] 99/100 | Intelligent EV Charging Algorithm
[NO] 100/100 | Research on Complex Multi Objective Systems Based on Intelligent Feedback Optimization Framework and Improved Genetic Algorithm
筛选完成：共 100 篇；Yes = 2 篇；已保存到 papers/select_paper2026-03-27.json。
邮件发送成功！
[2026-03-28 09:47:52] 任务执行成功！
