[2026-02-10 09:55:57] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-09
正在获取论文...
[arXiv] 2026-02-09 | Autoregressive Image Generation with Masked Bit Modeling
[arXiv] 2026-02-09 | Glow with the Flow: AI-Assisted Creation of Ambient Lightscapes for Music Videos
[arXiv] 2026-02-09 | AMEM4Rec: Leveraging Cross-User Similarity for Memory Evolution in Agentic LLM Recommenders
[arXiv] 2026-02-09 | VideoVeritas: AI-Generated Video Detection via Perception Pretext Reinforcement Learning
[arXiv] 2026-02-09 | Josephson tunneling through a Yu-Shiba-Rusinov state: Interplay of $π$-shifts in Josephson current and local superconducting order parameter
[arXiv] 2026-02-09 | Perfect all-angle asymmetric transmission via normal susceptibilities: exact spatial derivative by local meta-atoms and nonlocal metasurfaces
[arXiv] 2026-02-09 | Any-to-All MRI Synthesis: A Unified Foundation Model for Nasopharyngeal Carcinoma and Its Downstream Applications
[arXiv] 2026-02-09 | Two-Dimensional Kelvin-Helmholtz Instability with Anisotropic Pressure
[arXiv] 2026-02-09 | Towards resurgence of Joyce structures
[arXiv] 2026-02-09 | Equilibria: Fair Multi-Tenant CXL Memory Tiering At Scale
[arXiv] 2026-02-09 | CryptoGen: Secure Transformer Generation with Encrypted KV-Cache Reuse
[arXiv] 2026-02-09 | MOVA: Towards Scalable and Synchronized Video-Audio Generation
[arXiv] 2026-02-09 | Microquasar Remnants as Pevatrons Illuminating the Galactic Cosmic Ray Knee
[arXiv] 2026-02-09 | Adaptive Markovian Spatiotemporal Transfer Learning in Multivariate Bayesian Modeling
[arXiv] 2026-02-09 | GISA: A Benchmark for General Information-Seeking Assistant
[arXiv] 2026-02-09 | TIBR4D: Tracing-Guided Iterative Boundary Refinement for Efficient 4D Gaussian Segmentation
[arXiv] 2026-02-09 | Trajectory Stitching for Solving Inverse Problems with Flow-Based Models
[arXiv] 2026-02-09 | UniPlan: Vision-Language Task Planning for Mobile Manipulation with Unified PDDL Formulation
[arXiv] 2026-02-09 | Coupling between CaWO$_4$ phonons and Er$^{3+}$ dopants
[arXiv] 2026-02-09 | Thermal Vacuum Cosmology Explains Hubble Tension
[arXiv] 2026-02-09 | Bridging Academia and Industry: A Comprehensive Benchmark for Attributed Graph Clustering
[arXiv] 2026-02-09 | Compatibility complexes for the conformal-to-Einstein operator
[arXiv] 2026-02-09 | Viscous Burgers equation driven by point source: a formula for the weak limit
[arXiv] 2026-02-09 | The problem with twp linear branches
[arXiv] 2026-02-09 | An intramembranous ossification model for the in-silico analysis of bone tissue formation in tooth extraction sites
[arXiv] 2026-02-09 | Empirical Bayes Variable Selection with Lasso Statistics in the AMP Framework
[arXiv] 2026-02-09 | CLEAR: A Knowledge-Centric Vessel Trajectory Analysis Platform
[arXiv] 2026-02-09 | Boltzmann sampling and optimal exact-size sampling for directed acyclic graphs
[arXiv] 2026-02-09 | TriC-Motion: Tri-Domain Causal Modeling Grounded Text-to-Motion Generation
[arXiv] 2026-02-09 | Selberg and Brolin on value distribution of complex dynamics
[arXiv] 2026-02-09 | Neutrinoless double beta decays of hyperons in covariant chiral perturbation theory
[arXiv] 2026-02-09 | Ozonation of Dielectric Fosters Self-Healing Efficiency in Metalized-Film Capacitors: Quantum-Chemical Simulation
[arXiv] 2026-02-09 | Dynamically entangled oscillating state in a Bose gas with an attractive polaron
[arXiv] 2026-02-09 | SteerVLA: Steering Vision-Language-Action Models in Long-Tail Driving Scenarios
[arXiv] 2026-02-09 | Exact Stationary State of a $d$-dimensional Run-and-Tumble Particle in a Harmonic Potential
[arXiv] 2026-02-09 | NovaMoon: A Strategic Lunar Reference Station for Positioning, Timing, and Largely Enhanced Science in the Earth-Moon System Serena
[arXiv] 2026-02-09 | USBD: Universal Structural Basis Distillation for Source-Free Graph Domain Adaptation
[arXiv] 2026-02-09 | On- and off-chain demand and supply drivers of Bitcoin price
[arXiv] 2026-02-09 | Radial Müntz-Szász Networks: Neural Architectures with Learnable Power Bases for Multidimensional Singularities
[arXiv] 2026-02-09 | A Bayesian regression framework for circular models with INLA
[arXiv] 2026-02-09 | Movable Antenna Enabled Reconfigurable Array Topologies for Structured Beam Communications
[arXiv] 2026-02-09 | Optimizing Spectral Prediction in MXene-Based Metasurfaces Through Multi-Channel Spectral Refinement and Savitzky-Golay Smoothing
[arXiv] 2026-02-09 | Intelligent support for Human Oversight: Integrating Reinforcement Learning with Gaze Simulation to Personalize Highlighting
[arXiv] 2026-02-09 | On Protecting Agentic Systems' Intellectual Property via Watermarking
[arXiv] 2026-02-09 | SCOUT-RAG: Scalable and Cost-Efficient Unifying Traversal for Agentic Graph-RAG over Distributed Domains
[arXiv] 2026-02-09 | $C^{1,α}$-regularity for Mixed Local and Nonlocal Degenerate Elliptic Equations in the Heisenberg Group
[arXiv] 2026-02-09 | D$^2$-VR: Degradation-Robust and Distilled Video Restoration with Synergistic Optimization Strategy
[arXiv] 2026-02-09 | Altruism and Fair Objective in Mixed-Motive Markov games
[arXiv] 2026-02-09 | Highly Polarized and Long Range Dissipationless Spin Transport Due to Counterflowing Electron and Hole Edge Channels
[arXiv] 2026-02-09 | Heavy quark collisional energy loss in a nonextensive quark-gluon plasma
[arXiv] 2026-02-09 | Grounding Generative Planners in Verifiable Logic: A Hybrid Architecture for Trustworthy Embodied AI
[arXiv] 2026-02-09 | GKM Theory for Manifolds of Isospectral Matrices in Lie Type D
[arXiv] 2026-02-09 | Intimate relationship between spin configuration in the triplet pair and superconductivity in UTe$_2$
[arXiv] 2026-02-09 | E-VAds: An E-commerce Short Videos Understanding Benchmark for MLLMs
[arXiv] 2026-02-09 | To Tango or to Disentangle? Making Ethnography Public in the Digital Age
[arXiv] 2026-02-09 | OPE: Overcoming Information Saturation in Parallel Thinking via Outline-Guided Path Exploration
[arXiv] 2026-02-09 | Vec-QMDP: Vectorized POMDP Planning on CPUs for Real-Time Autonomous Driving
[arXiv] 2026-02-09 | PACC: Protocol-Aware Cross-Layer Compression for Compact Network Traffic Representation
[arXiv] 2026-02-09 | Grokking in Linear Models for Logistic Regression
[arXiv] 2026-02-09 | "I Can't Keep Up": Accessibility Barriers in Video-Based Learning for Individuals with Borderline Intellectual Functioning
[arXiv] 2026-02-09 | GaussianCaR: Gaussian Splatting for Efficient Camera-Radar Fusion
[arXiv] 2026-02-09 | How negative feedback from filamentous actin affects cell shapes and motility
[arXiv] 2026-02-09 | Heterogeneous Optically-Detected Spin-Acoustic Resonance in Solid-State Molecular Thin-film
[arXiv] 2026-02-09 | A single frequency approach to nonequilibrium modeling of the chromosphere
[arXiv] 2026-02-09 | An unusual pair of interstellar HI features and a related white dwarf star inside the HI cavity surrounding the Upper Sco-Cen OB2 Association
[arXiv] 2026-02-09 | Belief Offloading in Human-AI Interaction
[arXiv] 2026-02-09 | Shifting the Breaking Point of Flow Matching for Multi-Instance Editing
[arXiv] 2026-02-09 | (Claw, C_3)-free digraphs with unbounded dichromatic number
[arXiv] 2026-02-09 | SynSacc: A Blender-to-V2E Pipeline for Synthetic Neuromorphic Eye-Movement Data and Sim-to-Real Spiking Model Training
[arXiv] 2026-02-09 | FusionEdit: Semantic Fusion and Attention Modulation for Training-Free Image Editing
[arXiv] 2026-02-09 | Discovering hypergeometric series with harmonic numbers via Wilf-Zeilberger seeds
[arXiv] 2026-02-09 | How far from the edge need a population be to survive? A probability model
[arXiv] 2026-02-09 | Intermediate Results on the Complexity of STRIPS$_{1}^{1}$
[arXiv] 2026-02-09 | Why do we Trust Chatbots? From Normative Principles to Behavioral Drivers
[arXiv] 2026-02-09 | Weak forms offer strong regularisations: how to make physics-informed (quantum) machine learning more robust
[ACM] 2026-2-9 | RespireNet: Enhancing Lung Sound Classification using CNN-TCN Hybrid Approach
[ACM] 2026-2-9 | DALD-PCAC: Density-Adaptive Learning Descriptor for Point Cloud Lossless Attribute Compression
[ACM] 2026-2-9 | RoTransMIL: Rotary Positional Embedding for Transformer-based Multiple Instance Learning
[ACM] 2026-2-9 | Interactive-SmartClerk: A Recommender Robot System Sharing Preferences with Customer
[ACM] 2026-2-9 | On the Reruns of GitHub Actions Workflows
[ACM] 2026-2-9 | MTF: an Open-Source Metamorphic Testing Framework for LLM-based systems
[ACM] 2026-2-9 | Designing Ethics or Manipulating It: Who Needs Ethics in a Multi-Agent Virtual Space?
[ACM] 2026-2-9 | Program Behavior Gaps: An Extension of the Rules of Program Behavior Framework
[ACM] 2026-2-9 | Enhancing Morphological Discrimination in Red Blood Cell Images via Multi-Level Attention
[ACM] 2026-2-9 | Segmented Confidence Sequences and Multi-Scale Adaptive Confidence Segments for Anomaly Detection in Nonstationary Time Series
[ACM] 2026-2-9 | Adaptive Geometric Attention-Driven No-Reference Multi-Modal Point Cloud Quality Assessment
[ACM] 2026-2-9 | Proceedings of the 2025 5th International Conference on Artificial Intelligence and Application Technologies
[ACM] 2026-2-9 | Solving Derangement Problems by Particle Swarm Optimization
[ACM] 2026-2-9 | End-to-end Viewpoint Optimization for Inspection based on Defect Detectability Assessment
[ACM] 2026-2-9 | Bridging Personality Theory and Emotion Dynamics for Intelligent Robots: An MBTI-to-OCEAN-PAD Approach
[ACM] 2026-2-9 | Light Status Recognition and Runtime Analytics Using YOLOv5-tiny
[ACM] 2026-2-9 | DHMNet: Dendritic Learning-enhanced MobileNet for Intracranial Hemorrhage Detection in Head CT Scans
[ACM] 2026-2-9 | The Reduced-Length Connection-Coordination Rapport (CCR) Scale
[ACM] 2026-2-9 | Program Debloating via Multi-Granularity Stochastic Optimization
[ACM] 2026-2-9 | MetaML-Pro: Cross-Stage Design Flow Automation for Efficient Deep Learning Acceleration
[ACM] 2026-2-9 | Comparative Performance of YOLOv5-tiny and YOLOv8-m for Insect Pest Detection
[ACM] 2026-2-9 | Functional Diversity in Deep Ensembles via Wasserstein Representation Alignment
[ACM] 2026-2-9 | C-AAE: A Compressive Anonymizing AutoEncoder for Privacy-Preserving Activity Recognition on Edge Devices
[ACM] 2026-2-9 | Representing Tuple in Graph with Trail Structure
[ACM] 2026-2-9 | Effective False Alarm Reduction : Integrating Dual-Kernels and Random Projection in One-Class Support Vector Machine
[ACM] 2026-2-9 | Fix Pattern-Aware Vulnerability Patch Generation via In-Context Learning
[ACM] 2026-2-9 | A Soft Set-Based Classifier Pruning for Multi-Layer Stacking Ensembles in Churn Prediction
[ACM] 2026-2-9 | Beyond Bitrate: Understanding the QoE Impact of Playback Rate and Seeking in Adaptive Video Streaming
[ACM] 2026-2-9 | An Evolutionary Computation-based Approach for a Multi-Objective Drone-Assisted Relief Distribution Problem
[ACM] 2026-2-9 | Decoding AI Literacy: A Bibliometric Analysis of Global Research Trends, Thematic Evolution, and Future Directions
共写入 130 条记录，保存到 papers/paper2026-02-09.json。
论文获取成功，文件路径: papers/paper2026-02-09.json
正在筛选、翻译并发送邮件...
[NO] 1/130 | Autoregressive Image Generation with Masked Bit Modeling
[NO] 2/130 | Contact-Anchored Policies: Contact Conditioning Creates Strong Robot Utility Models
[NO] 3/130 | Dexterous Manipulation Policies from RGB Human Videos via 4D Hand-Object Trajectory Reconstruction
[NO] 4/130 | Next-Gen CAPTCHAs: Leveraging the Cognitive Gap for Scalable and Diverse GUI-Agent Defense
[NO] 5/130 | Complete discrete Schoenberg-Delsarte theory for homogeneous spaces
[NO] 6/130 | Data Science and Technology Towards AGI Part I: Tiered Data Management
[NO] 7/130 | Next Concept Prediction in Discrete Latent Space Leads to Stronger Language Models
[NO] 8/130 | Platform Design, Earnings Transparency and Minimum Wage Policies: Evidence from A Natural Experiment on Lyft
[NO] 9/130 | Equivalent definitions of fusion category arising from separability
[NO] 10/130 | How Should We Model the Probability of a Language?
[NO] 11/130 | pixelLOG: Logging of Online Gameplay for Cognitive Research
[NO] 12/130 | No Word Left Behind: Mitigating Prefix Bias in Open-Vocabulary Keyword Spotting
[NO] 13/130 | The Reawakening of 4U 1755-338 after 25 Years of Quiescence: Spectro-temporal Analysis Using Multi-instrument X-ray Data
[NO] 14/130 | Seasonal Variation of Polar Ice: Implications for Ultrahigh Energy Neutrino Detectors
[NO] 15/130 | Analysis of Converged 3D Gaussian Splatting Solutions: Density Effects and Prediction Limit
[NO] 16/130 | The Scrollar Invariants of Curves Mapping to a Hirzebruch Surface
[NO] 17/130 | A Mathematical Theory of Redox Biology
[NO] 18/130 | Rethinking IPv6 Defense: A Unified Edge-Centric Zero-Trust Data-Plane Architecture
[NO] 19/130 | DeepQuali: Initial results of a study on the use of large language models for assessing the quality of user stories
[NO] 20/130 | AnomSeer: Reinforcing Multimodal LLMs to Reason for Time-Series Anomaly Detection
[NO] 21/130 | Global well-posedness for one-dimensional compressible Navier--Stokes system in dynamic combustion with small $BV\cap L^1$ initial data
[NO] 22/130 | Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization
[NO] 23/130 | Cutting Through the Noise: On-the-fly Outlier Detection for Robust Training of Machine Learning Interatomic Potentials
[NO] 24/130 | Deciding the Satisfiability of Combined Qualitative Constraint Networks
[NO] 25/130 | Unconventional magnetoelectric conductivity and electrochemical response from dipole-like sources of Berry curvature
[NO] 26/130 | Division of labor enables efficient collective decision-making under uncertainty
[NO] 27/130 | Glow with the Flow: AI-Assisted Creation of Ambient Lightscapes for Music Videos
[NO] 28/130 | AMEM4Rec: Leveraging Cross-User Similarity for Memory Evolution in Agentic LLM Recommenders
[NO] 29/130 | VideoVeritas: AI-Generated Video Detection via Perception Pretext Reinforcement Learning
[NO] 30/130 | Josephson tunneling through a Yu-Shiba-Rusinov state: Interplay of $π$-shifts in Josephson current and local superconducting order parameter
[NO] 31/130 | Perfect all-angle asymmetric transmission via normal susceptibilities: exact spatial derivative by local meta-atoms and nonlocal metasurfaces
[NO] 32/130 | Any-to-All MRI Synthesis: A Unified Foundation Model for Nasopharyngeal Carcinoma and Its Downstream Applications
[NO] 33/130 | Two-Dimensional Kelvin-Helmholtz Instability with Anisotropic Pressure
[NO] 34/130 | Towards resurgence of Joyce structures
[NO] 35/130 | Equilibria: Fair Multi-Tenant CXL Memory Tiering At Scale
[NO] 36/130 | CryptoGen: Secure Transformer Generation with Encrypted KV-Cache Reuse
[NO] 37/130 | MOVA: Towards Scalable and Synchronized Video-Audio Generation
[NO] 38/130 | Microquasar Remnants as Pevatrons Illuminating the Galactic Cosmic Ray Knee
[NO] 39/130 | Adaptive Markovian Spatiotemporal Transfer Learning in Multivariate Bayesian Modeling
[NO] 40/130 | GISA: A Benchmark for General Information-Seeking Assistant
[NO] 41/130 | TIBR4D: Tracing-Guided Iterative Boundary Refinement for Efficient 4D Gaussian Segmentation
[NO] 42/130 | Trajectory Stitching for Solving Inverse Problems with Flow-Based Models
[NO] 43/130 | UniPlan: Vision-Language Task Planning for Mobile Manipulation with Unified PDDL Formulation
[NO] 44/130 | Coupling between CaWO$_4$ phonons and Er$^{3+}$ dopants
[NO] 45/130 | Thermal Vacuum Cosmology Explains Hubble Tension
[NO] 46/130 | Bridging Academia and Industry: A Comprehensive Benchmark for Attributed Graph Clustering
[NO] 47/130 | Compatibility complexes for the conformal-to-Einstein operator
[NO] 48/130 | Viscous Burgers equation driven by point source: a formula for the weak limit
[NO] 49/130 | The problem with twp linear branches
[NO] 50/130 | An intramembranous ossification model for the in-silico analysis of bone tissue formation in tooth extraction sites
[NO] 51/130 | Empirical Bayes Variable Selection with Lasso Statistics in the AMP Framework
[NO] 52/130 | CLEAR: A Knowledge-Centric Vessel Trajectory Analysis Platform
[NO] 53/130 | Boltzmann sampling and optimal exact-size sampling for directed acyclic graphs
[NO] 54/130 | TriC-Motion: Tri-Domain Causal Modeling Grounded Text-to-Motion Generation
[NO] 55/130 | Selberg and Brolin on value distribution of complex dynamics
[NO] 56/130 | Neutrinoless double beta decays of hyperons in covariant chiral perturbation theory
[NO] 57/130 | Ozonation of Dielectric Fosters Self-Healing Efficiency in Metalized-Film Capacitors: Quantum-Chemical Simulation
[NO] 58/130 | Dynamically entangled oscillating state in a Bose gas with an attractive polaron
[NO] 59/130 | SteerVLA: Steering Vision-Language-Action Models in Long-Tail Driving Scenarios
[NO] 60/130 | Exact Stationary State of a $d$-dimensional Run-and-Tumble Particle in a Harmonic Potential
[NO] 61/130 | NovaMoon: A Strategic Lunar Reference Station for Positioning, Timing, and Largely Enhanced Science in the Earth-Moon System Serena
[NO] 62/130 | USBD: Universal Structural Basis Distillation for Source-Free Graph Domain Adaptation
[NO] 63/130 | On- and off-chain demand and supply drivers of Bitcoin price
[NO] 64/130 | Radial Müntz-Szász Networks: Neural Architectures with Learnable Power Bases for Multidimensional Singularities
[NO] 65/130 | A Bayesian regression framework for circular models with INLA
[YES] 66/130 | Movable Antenna Enabled Reconfigurable Array Topologies for Structured Beam Communications
[NO] 67/130 | Optimizing Spectral Prediction in MXene-Based Metasurfaces Through Multi-Channel Spectral Refinement and Savitzky-Golay Smoothing
[NO] 68/130 | Intelligent support for Human Oversight: Integrating Reinforcement Learning with Gaze Simulation to Personalize Highlighting
[NO] 69/130 | On Protecting Agentic Systems' Intellectual Property via Watermarking
[NO] 70/130 | SCOUT-RAG: Scalable and Cost-Efficient Unifying Traversal for Agentic Graph-RAG over Distributed Domains
[NO] 71/130 | $C^{1,α}$-regularity for Mixed Local and Nonlocal Degenerate Elliptic Equations in the Heisenberg Group
[NO] 72/130 | D$^2$-VR: Degradation-Robust and Distilled Video Restoration with Synergistic Optimization Strategy
[NO] 73/130 | Altruism and Fair Objective in Mixed-Motive Markov games
[NO] 74/130 | Highly Polarized and Long Range Dissipationless Spin Transport Due to Counterflowing Electron and Hole Edge Channels
[NO] 75/130 | Heavy quark collisional energy loss in a nonextensive quark-gluon plasma
[NO] 76/130 | Grounding Generative Planners in Verifiable Logic: A Hybrid Architecture for Trustworthy Embodied AI
[NO] 77/130 | GKM Theory for Manifolds of Isospectral Matrices in Lie Type D
[NO] 78/130 | Intimate relationship between spin configuration in the triplet pair and superconductivity in UTe$_2$
[NO] 79/130 | E-VAds: An E-commerce Short Videos Understanding Benchmark for MLLMs
[NO] 80/130 | To Tango or to Disentangle? Making Ethnography Public in the Digital Age
[NO] 81/130 | OPE: Overcoming Information Saturation in Parallel Thinking via Outline-Guided Path Exploration
[NO] 82/130 | Vec-QMDP: Vectorized POMDP Planning on CPUs for Real-Time Autonomous Driving
[NO] 83/130 | PACC: Protocol-Aware Cross-Layer Compression for Compact Network Traffic Representation
[NO] 84/130 | Grokking in Linear Models for Logistic Regression
[NO] 85/130 | "I Can't Keep Up": Accessibility Barriers in Video-Based Learning for Individuals with Borderline Intellectual Functioning
[NO] 86/130 | GaussianCaR: Gaussian Splatting for Efficient Camera-Radar Fusion
[NO] 87/130 | How negative feedback from filamentous actin affects cell shapes and motility
[NO] 88/130 | Heterogeneous Optically-Detected Spin-Acoustic Resonance in Solid-State Molecular Thin-film
[NO] 89/130 | A single frequency approach to nonequilibrium modeling of the chromosphere
[NO] 90/130 | An unusual pair of interstellar HI features and a related white dwarf star inside the HI cavity surrounding the Upper Sco-Cen OB2 Association
[NO] 91/130 | Belief Offloading in Human-AI Interaction
[NO] 92/130 | Shifting the Breaking Point of Flow Matching for Multi-Instance Editing
[NO] 93/130 | (Claw, C_3)-free digraphs with unbounded dichromatic number
[NO] 94/130 | SynSacc: A Blender-to-V2E Pipeline for Synthetic Neuromorphic Eye-Movement Data and Sim-to-Real Spiking Model Training
[NO] 95/130 | FusionEdit: Semantic Fusion and Attention Modulation for Training-Free Image Editing
[NO] 96/130 | Discovering hypergeometric series with harmonic numbers via Wilf-Zeilberger seeds
[NO] 97/130 | How far from the edge need a population be to survive? A probability model
[NO] 98/130 | Intermediate Results on the Complexity of STRIPS$_{1}^{1}$
[NO] 99/130 | Why do we Trust Chatbots? From Normative Principles to Behavioral Drivers
[NO] 100/130 | Weak forms offer strong regularisations: how to make physics-informed (quantum) machine learning more robust
[NO] 101/130 | RespireNet: Enhancing Lung Sound Classification using CNN-TCN Hybrid Approach
[NO] 102/130 | DALD-PCAC: Density-Adaptive Learning Descriptor for Point Cloud Lossless Attribute Compression
[NO] 103/130 | RoTransMIL: Rotary Positional Embedding for Transformer-based Multiple Instance Learning
[NO] 104/130 | Interactive-SmartClerk: A Recommender Robot System Sharing Preferences with Customer
[NO] 105/130 | On the Reruns of GitHub Actions Workflows
[NO] 106/130 | MTF: an Open-Source Metamorphic Testing Framework for LLM-based systems
[NO] 107/130 | Designing Ethics or Manipulating It: Who Needs Ethics in a Multi-Agent Virtual Space?
[NO] 108/130 | Program Behavior Gaps: An Extension of the Rules of Program Behavior Framework
[NO] 109/130 | Enhancing Morphological Discrimination in Red Blood Cell Images via Multi-Level Attention
[NO] 110/130 | Segmented Confidence Sequences and Multi-Scale Adaptive Confidence Segments for Anomaly Detection in Nonstationary Time Series
[NO] 111/130 | Adaptive Geometric Attention-Driven No-Reference Multi-Modal Point Cloud Quality Assessment
[NO] 112/130 | Proceedings of the 2025 5th International Conference on Artificial Intelligence and Application Technologies
[NO] 113/130 | Solving Derangement Problems by Particle Swarm Optimization
[NO] 114/130 | End-to-end Viewpoint Optimization for Inspection based on Defect Detectability Assessment
[NO] 115/130 | Bridging Personality Theory and Emotion Dynamics for Intelligent Robots: An MBTI-to-OCEAN-PAD Approach
[NO] 116/130 | Light Status Recognition and Runtime Analytics Using YOLOv5-tiny
[NO] 117/130 | DHMNet: Dendritic Learning-enhanced MobileNet for Intracranial Hemorrhage Detection in Head CT Scans
[NO] 118/130 | The Reduced-Length Connection-Coordination Rapport (CCR) Scale
[NO] 119/130 | Program Debloating via Multi-Granularity Stochastic Optimization
[NO] 120/130 | MetaML-Pro: Cross-Stage Design Flow Automation for Efficient Deep Learning Acceleration
[NO] 121/130 | Comparative Performance of YOLOv5-tiny and YOLOv8-m for Insect Pest Detection
[NO] 122/130 | Functional Diversity in Deep Ensembles via Wasserstein Representation Alignment
[NO] 123/130 | C-AAE: A Compressive Anonymizing AutoEncoder for Privacy-Preserving Activity Recognition on Edge Devices
[NO] 124/130 | Representing Tuple in Graph with Trail Structure
[NO] 125/130 | Effective False Alarm Reduction : Integrating Dual-Kernels and Random Projection in One-Class Support Vector Machine
[NO] 126/130 | Fix Pattern-Aware Vulnerability Patch Generation via In-Context Learning
[NO] 127/130 | A Soft Set-Based Classifier Pruning for Multi-Layer Stacking Ensembles in Churn Prediction
[NO] 128/130 | Beyond Bitrate: Understanding the QoE Impact of Playback Rate and Seeking in Adaptive Video Streaming
[NO] 129/130 | An Evolutionary Computation-based Approach for a Multi-Objective Drone-Assisted Relief Distribution Problem
[NO] 130/130 | Decoding AI Literacy: A Bibliometric Analysis of Global Research Trends, Thematic Evolution, and Future Directions
筛选完成：共 130 篇；Yes = 1 篇；已保存到 papers/select_paper2026-02-09.json。
邮件发送成功！
[2026-02-10 10:10:48] 任务执行成功！
