[2025-12-13 09:09:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-12
正在获取论文...
[ACM] 2025-12-12 | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
[IEEE] 2025-12-12 | Impact of service-selective predistortion in A-RoF link for coexisting 4G, 5G, and 6G signals
[IEEE] 2025-12-12 | 2025 7th International Conference on Industrial Artificial Intelligence (IAI)
[IEEE] 2025-12-12 | Achievable Rate of RIS-Assisted Short-Packet Communication with Receive Diversity: A Random Matrix Theory Analysis
[IEEE] 2025-12-12 | Ambient Electromagnetic Wave Energy Harvesting with Human Body Antenna
[IEEE] 2025-12-12 | A Comprehensive Intent Parsing AI Capability Recommendation Method
[IEEE] 2025-12-12 | Network KPI Prediction in Mobile Networks Using CNN-LSTM Time Series Model
[IEEE] 2025-12-12 | C2FGAN: A Coarse-to-Fine Conditional GAN-Based Adaptive Localization Algorithm for Indoor Radiation Sources
[IEEE] 2025-12-12 | Kinaesthetic Traffic Characterization and Performance Trade-Offs in Haptic Teleoperation Systems over 5G Standalone Private Networks
[IEEE] 2025-12-12 | A Gradient Descent Method for Iterative Computation of Katz Centrality
[IEEE] 2025-12-12 | Design of Ultra-Quiet BLDC Motors for Home Appliances and Medical Equipment
[IEEE] 2025-12-12 | Low-Rank Matrix Factorization Induced Adaptive Divergent Graph Learning for Fuzzy Clustering
[IEEE] 2025-12-12 | Transformer Driven Visual Servoing for Fabric Texture Matching Using Dual-Arm Manipulator_supp1-3643335.mp4
[IEEE] 2025-12-12 | LLM Aided Spectrum-Sharing LEO Satellite Communications
[IEEE] 2025-12-12 | Accuracy enhancement in 2D digital image correlation: A comparative study of bi-cubic, cubic, and spline interpolation methods
[IEEE] 2025-12-12 | Equivariant Filter for Relative Attitude and Target Angular Velocity Estimation
[IEEE] 2025-12-12 | IEEE Sensors Journal Publication Information
[ACM] 2025-12-12 | Beyond Transport: V2X Integration Turning EVs into Smart Energy Assets
[ACM] 2025-12-12 | Human-as-a-Sensor: Harnessing Brain Signals for Intelligent Multimodal Sensing in Spatially-Aware Systems
[ACM] 2025-12-12 | A Probabilistic Framework for Imputing Genetic Distances in Spatiotemporal Pathogen Models
[ACM] 2025-12-12 | Simple Yet Effective: Supervised Fine-Tuning of Large Language Models for Multi-City Human Mobility Prediction
[ACM] 2025-12-12 | HuMob Predictor: Towards a Generalizable Model for Multi-City Individual Mobility Prediction
[ACM] 2025-12-12 | Enhancing Contrastive Learning for Geolocalization by Discovering Hard Negatives on Semivariograms
[ACM] 2025-12-12 | SPEEDY: Framework for Sharpening Promise Time Estimates in Sub-Same Day Delivery
[ACM] 2025-12-12 | Estimation Time of Escape (ETE) by Monitoring the Building Evacuation Flow
[ACM] 2025-12-12 | Polynthesis: Discovering Insights Beyond the Known
[ACM] 2025-12-12 | Multi-LLM Agent Collaborative Intelligence
[ACM] 2025-12-12 | Acknowledgments
[IEEE] 2025-12-12 | Neural Network-Based Approximation of Continuous Control Set MPC for the Primary Control of DERs in AC Microgrids
[ACM] 2025-12-12 | Search by Spatial Query: Text to Pictorial Queries
[ACM] 2025-12-12 | Hecatoncheir: Scaling up and out spatial data management
[IEEE] 2025-12-12 | Block-wise Random Diffusion Encryption Using 4D Dynamic Feedback Memristive Chaotic System
[IEEE] 2025-12-12 | STAR-CD: Style-Aligned Remote Sensing Change Detection with Appearance-Relation Modeling
[IEEE] 2025-12-12 | Achieving Safety-Aware and Efficient Robot Motion via Dynamic Task-Scaling: From the Null-Space Control Perspective
[IEEE] 2025-12-12 | Edge AI-Based Adaptive Human Sitting Detection System
[IEEE] 2025-12-12 | Machine-interpretable Engineering Design Standards for Valve Specification
[IEEE] 2025-12-12 | Breaking Neural Networks Through Algebraic Lens: A Preliminary Analysis of Mathematical Vulnerabilities in AI Architectures
[IEEE] 2025-12-12 | Nonlinear Auto-Tuning PI Control With Desired Precision Within User-Specifiable Time
[IEEE] 2025-12-12 | A Large-scale Benchmark on Geological Fault Delineation Models: Domain Shift, Training Dynamics, Generalizability, Evaluation and Inferential Behavior
[IEEE] 2025-12-12 | VVI-GFM: A Voltage Vector-Informed Grid-Forming Control for Post-Disturbance Fast Synchronization Recovery
[IEEE] 2025-12-12 | Robotic Double Patch Clamp Based on Interactive Mechanical Modeling for Functional Connectivity Measurement Between Neurons_supp6-3642790.pdf
[IEEE] 2025-12-12 | TrajAgents: A Multi-Agent Framework for Interpretable and Semantically Consistent V2I Trajectory Prediction
[IEEE] 2025-12-12 | End-to-End Predictive Cruise Control of Connected Autonomous and Vehicles via Distributed Model Predictive Control
[IEEE] 2025-12-12 | Silent Threats, Smart Shields: A Dual-Strategy Framework Against Stealthy Attacks in EV Charging Systems
[IEEE] 2025-12-12 | Evaluation of Application-Oriented Relay Deployment in IEEE 802.11ah IoT Mesh Networks
[IEEE] 2025-12-12 | Incorporating Serendipity and Receptivity into Personalized Recommendation Systems
[IEEE] 2025-12-12 | A Contactor Design for the Commutation Path in Fuse-Current-Limiting Hybrid DC Circuit Breakers
[IEEE] 2025-12-12 | Encryption-Aware PHY Security: Optimal Cooperative Jamming and Achievable Rates
[IEEE] 2025-12-12 | Environmental Knowledge-Driven Transfer Strategy With Collaborative Learning for Dynamic Constrained Multi-Objective Optimization_supp1-3643205.pdf
[IEEE] 2025-12-12 | A spatial-temporal seamless evapotranspiration product based on TSEB-SM model and DNN-ETo method across China_supp1-3642952.pdf
[IEEE] 2025-12-12 | LLM-based Fuzzing Method Using UI-based Input Value Generation for IoT Devices
[IEEE] 2025-12-12 | Predicting Dynamic Travel Time Between Points of Interest Using Machine Learning Models
[IEEE] 2025-12-12 | Course Selection Optimization using pVSQA on Quantum Computers
[IEEE] 2025-12-12 | ICCE-Berlin 2025 Commentary
[IEEE] 2025-12-12 | Leveraging Textual Analysis and Predictive Modeling for Tourism Insights in India: A Machine Learning Approach
[IEEE] 2025-12-12 | Adaptive Neural Output-feedback Control for Discrete-time Hysteretic Nonlinear Systems and Their Applications
[IEEE] 2025-12-12 | Integrated lightning prediction system: Technological advances for safety and efficiency in mining
[IEEE] 2025-12-12 | Experimental Analysis of Channel Estimation Algorithms in VANETs Considering Doppler Effects and High Mobility
[IEEE] 2025-12-12 | RIB-SLAM: A Radar-Inertial-Barometer SLAM System with High-Precision Elevation Estimation
[IEEE] 2025-12-12 | Deep Learning for Accurate Angular Speed Estimation: An LSTM-Based Strong Observer
[IEEE] 2025-12-12 | Adaptive Neural Tracking Control for Switched Nonlinear Systems with Predictive Performance Based on Command Filter
[IEEE] 2025-12-12 | A High-Performance Sketch with Dynamic Memory Allocation for Priority-Oriented Data Stream Processing
[IEEE] 2025-12-12 | Road Anomaly Detection by Integrating Features from On-board Edge System and XRAIN Data
[IEEE] 2025-12-12 | 2025 IEEE 70th Holm Conference on Electrical Contacts (HLM)
[IEEE] 2025-12-12 | GCCE 2025 Author Information Page
[IEEE] 2025-12-12 | Efficient Resource Allocation for Semantic Video Surveillance Transmission over LEO Satellites
[IEEE] 2025-12-12 | An Embedding-Aware LSTM-Refined Feature Attention Network for Structured Cyber Attack Detection
[IEEE] 2025-12-12 | A Consideration on Visualization Function of Cyber Security Exercise Program for Beginners in Information Communication for Control System Operators
[IEEE] 2025-12-12 | CAAC-Net: Combining Attention and Convolution for Deformable Medical Image Registration
[IEEE] 2025-12-12 | Joint Fiber and Free Space Optical Infrastructure Planning for Hybrid Integrated Access and Backhaul Networks
[IEEE] 2025-12-12 | Coexistence of Real-Time Source Reconstruction and Broadband Services Over Wireless Networks
[IEEE] 2025-12-12 | CSI-Driven Physical Layer Secret Key Generation for FDD Systems
[IEEE] 2025-12-12 | A Program of Physical Rehabilitation with Wearable SEPC Devices During Intradialytic Improves Inflammatory Markers and the Fitness in Chronic Kidney Disease Patients: A Randomized Clinical Trial
[IEEE] 2025-12-12 | Measurement of tip movement of minimally invasive vibrator for ultrasonic growing rod
[IEEE] 2025-12-12 | A Note on Quantitative Evaluation Road Users’ Perceived Safety Based on Color Image Sequence
[IEEE] 2025-12-12 | Creating a Rich Indoor Multi-Path Environment for Terahertz using Random Phase Reflectors
[IEEE] 2025-12-12 | Multimodal Approach in Analyzing Topic Trends from Vietnamese Newspapers
[IEEE] 2025-12-12 | GFlowNets for Active Learning Based Resource Allocation in Next Generation Wireless Networks
[IEEE] 2025-12-12 | Design and Implementation of Sensor Modules and Gateway System Using ESP32 for RAS Pond Monitoring
[IEEE] 2025-12-12 | Optimization of PK/PD Models for Remifentanil Using Genetic Algorithms
[IEEE] 2025-12-12 | Trustworthy Privacy-Preserving Federated Large Language Models for the Internet of Medical Things
[ACM] 2025-12-12 | STOAT: Spatial-Temporal Probabilistic Causal Inference Network
[ACM] 2025-12-12 | POIFormer: A Transformer-Based Framework for Accurate and Scalable Point-of-Interest Attribution
[ACM] 2025-12-12 | SGV: Spatial Graph Visualization
[ACM] 2025-12-12 | Towards Multimodal Digital Twin Environments for Automotive Applications
[ACM] 2025-12-12 | Compare Transformer, KAN and KANsformer for Weather Nowcasting on IoT Devices in the Mediterrean Area
[ACM] 2025-12-12 | ADSDx: Towards Automated Accident Diagnosis for High-level Autonomous Driving Systems
[ACM] 2025-12-12 | SocraSynth: Adversarial Multi-LLM Reasoning
[IEEE] 2025-12-12 | Sound Source Localization at Long Distances Using a Compact Microphone Array on an Edge Computing Platform
[IEEE] 2025-12-12 | PIMRC 2025 TOC
[IEEE] 2025-12-12 | Influence of Ni and Zn coatings on the microstructure of steel electrodes
[IEEE] 2025-12-12 | Torque Transfer for Handling Enhancement with Optimal Distribution and Adaptive Control Strategy in Real-Vehicle Implementation
[IEEE] 2025-12-12 | Clinching - Creating an electrical model
[IEEE] 2025-12-12 | An Electroencephalogram Based Neural Networks for Enhancing anti-Interference Capability
[IEEE] 2025-12-12 | Evaluating the Effectiveness of Adding Support Structures to 3D-Printed Oboe Reeds
[IEEE] 2025-12-12 | In-situ monitoring of electrode wear during arcing
[IEEE] 2025-12-12 | RAG based Question Answering of Accounting Knowledge
[IEEE] 2025-12-12 | Automated Detection and Quantification of Midline Shift in Traumatic Brain Injury Using CT Images
[IEEE] 2025-12-12 | The Design of Single-Bit Fully Parallel Pipeline FFT
[IEEE] 2025-12-12 | Exploring Ultra-Low-Dimensional End-to-End Neural Vocoder Using Primary Speech Parameters
[IEEE] 2025-12-12 | Learning to Detect Fake News Early: A Multi-Task Approach with Generalized Distillation and Dynamic Graph
[IEEE] 2025-12-12 | Robotic Surveillance with Channel State Information for Object Tracking and Counting
[IEEE] 2025-12-12 | On the Feasibility of Distributed Phase Synchronization for Coherent Signal Superposition
[IEEE] 2025-12-12 | A Scalable Video Analysis Framework for Character Identification and Statistical Profiling
[IEEE] 2025-12-12 | Submodular Optimization Based Co-Inference in Space-Air-Ground Integrated Vehicular Networks
[IEEE] 2025-12-12 | Multi-Head Reinforcement Learning Based Resource Allocation for Integrated Sensing and Communications
[IEEE] 2025-12-12 | Multi-Agent Interior-Point Policy Optimization Algorithm for Multi-Objective Resource Allocation Problem
[IEEE] 2025-12-12 | Optimizing TinyML: User-oriented Trade-offs in Accuracy and Energy Consumption
[IEEE] 2025-12-12 | Experimental Studies of Near-Field Beamfocusing with Extra-Large Antenna Array Prototype
[IEEE] 2025-12-12 | Adaptive Working-Memory Allocation Driven by Static and Dynamic Fatigue Indices
[IEEE] 2025-12-12 | Transforming Electricity Safety Training and Culture using active methodologies
[IEEE] 2025-12-12 | Deep Learning–Based Depression Screening Using Augmented Tongue Images Under Various Lighting Conditions
[IEEE] 2025-12-12 | Ethics of AI in Technological Interruption: Discomfort on Employee Job Insecurity and Turnover
[IEEE] 2025-12-12 | Image Reconstruction Algorithm of Quantum Intensity Correlation Imaging Based on the Spatial Light Modulator
[IEEE] 2025-12-12 | Energy Efficiency Optimization for CR-Enabled Integrated Terrestrial and NTNs with BD-RIS
[IEEE] 2025-12-12 | GCCE 2025 Author Information Page
[IEEE] 2025-12-12 | BioNexus Defense: The Myco-Barrier Mechanism for Adaptive IoT Security
[IEEE] 2025-12-12 | Merge-Countering Dynamic Multi-Channel Masking for Text-Based Video Tuning
[IEEE] 2025-12-12 | Affine Frequency Division Multiplexing with Practical DAC and ADC Filters
[IEEE] 2025-12-12 | Corner Case Detection in Autonomous Driving with Deep Learning
[IEEE] 2025-12-12 | Spectral-temporal stretching and bandwidth scaling in soliton fiber lasers induced by large lumped attenuation
[IEEE] 2025-12-12 | Reducing Cross-Cultural Risk Perception Gaps in Cycling Through Auditory Warnings
[IEEE] 2025-12-12 | Hybrid Neural/Traditional OFDM Receiver with Learnable Decider
[IEEE] 2025-12-12 | Transparent Intrusion Detection Using ML: Integrating Explainable Models for Cybersecurity
[IEEE] 2025-12-12 | Transformer-Driven Neural Beamforming with Imperfect CSI in Urban Macro Wireless Channels
[IEEE] 2025-12-12 | Applying PIBT to LA-MAPF and Proposing Priority Assignment Strategies
[IEEE] 2025-12-12 | Large Language Models for Free-to-Air TV Program Content Analysis and Complementation
[IEEE] 2025-12-12 | Calculation and Analysis of Temperature Fields for Critical Stator and Rotor Components Under Control System Faults in Large-Capacity Offshore Wind Generator
[IEEE] 2025-12-12 | Depth-Wise Federated Learning Based on Model Parameter Reliability
[IEEE] 2025-12-12 | Dynamic Beyond 5G and 6G Connectivity: Leveraging NTN and RIS Synergies for Optimized Coverage and Capacity in High-Density Environments
[IEEE] 2025-12-12 | Electromagnetic Parameters-assisted Propagation Modeling and Reconstruction for Complex Space Targets at FR3 Upper-Mid Band
[IEEE] 2025-12-12 | Risk Assessment of Electrical Infrastructure Assets by a Multi-Objective Fine-Tuned Fuzzy Inference System
[IEEE] 2025-12-12 | Nonintrusive Watermarking for CycleGAN
[IEEE] 2025-12-12 | SGE-GLoc: Semantic Gaussian Ellipsoid Scene Graphs for Efficient LiDAR Global Localization_supp1-3643266.mp4
[IEEE] 2025-12-12 | I've Changed My Mind: Robots Adapting to Changing Human Goals During Collaboration
[IEEE] 2025-12-12 | Automated Generation of MDPs Using Logic Programming and LLMs for Robotic Applications_supp1-3643276.mp4
[IEEE] 2025-12-12 | A Photometrically Scaled Secondary Illumination Model for Lunar Permanently Shadowed Regions_supp1-3642808.pdf
[IEEE] 2025-12-12 | Prompt-Enabled Large AI Models for CSI Feedback
[ACM] 2025-12-12 | Crowd-Aware Itinerary Optimization via Clustered Multi-Agent Reinforcement Learning
[ACM] 2025-12-12 | An Orchestration Engine for Scalable, On-Demand AI Phenotyping from UAS Imagery in Agriculture
[ACM] 2025-12-12 | Retrospective: AI and HCI
[ACM] 2025-12-12 | CausalGRIT: Causal Graph Reasoning for Traffic Congestion Prediction – From Statistical Association to Casual Intervention
[ACM] 2025-12-12 | ConPro-GAIL: Interpretable Policy Learning via Conceptual Prototyping for Human Spatiotemporal Decision Understanding
[ACM] 2025-12-13 | ImaginaBook: Guiding Virtual Child Smiles via Behavioral Cues in XR Picture-Book Storytelling
[ACM] 2025-12-12 | qSIEVE: Efficient qLDPC Memory via Systolic Movement in Atom Arrays
[ACM] 2025-12-12 | Session Summary Podcast: Session 4: Workshop: Cross-Cultural Multimodal Interaction
[ACM] 2025-12-12 | Unified Cognitive Consciousness Theory: Formalization, Validation, and Outlook
[IEEE] 2025-12-12 | A Spatio-Temporal Feature Distribution Network for Device-Free Power Inspection Activity Using WiFi CSI
[IEEE] 2025-12-12 | A hybrid machine learning and blockchain framework for wireless sensor networks
[IEEE] 2025-12-12 | Indoor Benchmark of 3D LiDAR SLAM at iilab – Industry and Innovation Laboratory
[IEEE] 2025-12-12 | Interval Type-2 T-S Fuzzy Braking Torque Finite-Time Consensus Control of Electro-Mechanical Brake System
[IEEE] 2025-12-12 | Niagara: Normal-Integrated Geometric Affine Field for Scene Reconstruction from a Single View
[IEEE] 2025-12-12 | TUNA: A Target-aware Unified Network for Protein-Ligand Binding Affinity Prediction via Multi-Modal Feature Integration
[ACM] 2025-12-12 | Whose Truth? Pluralistic Geo-Alignment for (Agentic) AI
[ACM] 2025-12-12 | Lory: Location-aware Data Discovery from Data Lakes
[ACM] 2025-12-12 | Building a Foundation Model for Trajectory from Scratch
[ACM] 2025-12-12 | ALFA: Elevation-Guided 3D Flood Map Annotation on Earth Imagery by Consistency-Enhanced Active Learning
[ACM] 2025-12-12 | AddrRaG: Delivery Address Augmented Retrieval and Validation
[IEEE] 2025-12-12 | Deep Unfolding for MIMO Signal Detection
[IEEE] 2025-12-12 | Dual-Layer Optimization for Furnace Temperature Optimized Setpoint and Its Tracking Control
[IEEE] 2025-12-12 | NearLink: Emerging Short Range Wireless Standard with Ultra-Low Latency and Ultra-High Reliability
[IEEE] 2025-12-12 | Generation of bioinspired asymmetric topographic structures on silver connectors via Direct Laser Interference Patterning
[IEEE] 2025-12-12 | HLM 2025 Future Events Page
[IEEE] 2025-12-12 | Model-Based Deep Learning Tuning of Reconfigurable Intelligent Surface for OFDM Radar Interference Mitigation
[IEEE] 2025-12-12 | Self-Loop Effects in Graph-Modeled Mel-Spectrogram for Acoustic Anomaly Detection
[IEEE] 2025-12-12 | Full-Duplex Communications for Cellular-Connected UAVs: Distributed Beamforming and Power Control
[IEEE] 2025-12-12 | Frame-Agnostic Adaptive Causal Topology Inference for Non-Cooperative UAV Swarm Network
[IEEE] 2025-12-12 | Digital Zero-Voltage Switching Flyback Converter Without Galvanic Isolation
[IEEE] 2025-12-12 | Thermofluid Analysis for Prototype Development of Energy Harvesting System Using Thermoelectric Devices for Small Engines
[IEEE] 2025-12-12 | Prediction Model and Behavioral Intervention Strategies for Adult Myopia Progression
[IEEE] 2025-12-12 | Communication-Aware Visual Navigation for Multi-AMR Systems via Federated Deep Reinforcement Learning
[IEEE] 2025-12-12 | Emotion-Driven Music Curation Using CNN and Dynamic Data Source Integration
[IEEE] 2025-12-12 | Qualitative analysis of video streamed from smartphones to TV using SSIM, PSNR and KMeans
[IEEE] 2025-12-12 | Mini-ResNet-Based Early Screening of Attention Deficit/Hyperactivity Disorder Using EEG Signals
[IEEE] 2025-12-12 | Interactive Visual Analytics Approach for Heavy-Plate Production Schedule Recommendation
[IEEE] 2025-12-12 | Error Control for Content-Adaptive Block Compressive Sensing with Polar Codes and Unequal Protection Concepts
[IEEE] 2025-12-12 | Generative AI Powered Modern Education Tool to Enhance Teaching Learning Experience
[IEEE] 2025-12-12 | Extension of CNN-Based Demodulation from Single-Color to Multi-Color in Image Sensor-Based Visible Light Communication
[IEEE] 2025-12-12 | Multidirectional Capture: A Synthetic Dataset Strategy Through the Blender Software
[IEEE] 2025-12-12 | A Study on Indoor Positioning Method Based on Neural Network by Using Array Antenna
[IEEE] 2025-12-12 | AI as a Service: Exposing the Functionalities of AI-Native 6G Networks
[IEEE] 2025-12-12 | Stream Voice Diffusion: Real-Time Image Generation from Speech
[IEEE] 2025-12-12 | Consideration of Automatic Garbage Detection System Using Camera and Low-Power Edge Device
[IEEE] 2025-12-12 | Receding-Horizon Diffusion Policy for Dynamic Robotic Trajectory Planning
[IEEE] 2025-12-12 | HLM 2025 Awards Page
[IEEE] 2025-12-12 | A New Vector Indexing Algorithm for Embedded AI Systems
[IEEE] 2025-12-12 | Duration Estimation Based on a Time-Lag Model in End-to-End Singing Voice Synthesis
[IEEE] 2025-12-12 | Novel Codebook Design and Performance Analysis for Time-Varying Spatial Channels With FDD MIMO
[IEEE] 2025-12-12 | Recent Advances in Discrete Speech Tokens: A Review
[IEEE] 2025-12-12 | ISAC Channel Models from ETSI and 3GPP
[IEEE] 2025-12-12 | Blind Matched Filter Design for Communication Chains Involving Frequency Multipliers: LSTM-based Approach
[IEEE] 2025-12-12 | 3D Camera-Based Estimation of Cattle Body Weight
[IEEE] 2025-12-12 | Exploring the Impact of HAPS-RIS on UAV-Based Networks: a Novel Network Architecture
[IEEE] 2025-12-12 | A Pressing Sensation Rendering System with Semi-constrained Finger
[IEEE] 2025-12-12 | A DNA-Based Computing Framework for Image Signal Encoding and Pattern Recognition
[IEEE] 2025-12-12 | GCCE 2025 Subject Index Page
[IEEE] 2025-12-12 | Impact of AlGaN Superlattices on the Thermal Stability of Al-Rich AlGaN Channel HEMTs
[IEEE] 2025-12-12 | Weld Defect Identification and Quality Evaluation for Modular Steel Construction Via YOLO with Loss Analysis
[IEEE] 2025-12-12 | Grid-Based 3D Position Estimation in RFID Systems Using Directional Antennas
[IEEE] 2025-12-12 | Reproducing Developmental Features and Preserving Semantics in Child-Style Text Generation Using LLM
[IEEE] 2025-12-12 | Emulating Industrial 5G-Edge Networks
[IEEE] 2025-12-12 | Edge-AI Based WiFi Sensing for Aerosol Detection
[IEEE] 2025-12-12 | Dynamic Challenge Based Federated Learning Scenario for Network Digital Twin Aided O-RAN
[IEEE] 2025-12-12 | Improvement Strategies for Few-Shot Learning in OCT Image Classification of Rare Retinal Diseases
[ACM] 2025-12-13 | Plétude
[ACM] 2025-12-13 | Sound-driven Design through the lens of four applications for healthcare
[IEEE] 2025-12-12 | Efficient Fault Diagnosis in Industrial Systems Using Enhanced PolyKAN Techniques
[ACM] 2025-12-12 | AF-QLSTM: Acoustic Feature Prediction using Quantum LSTM for Smart City
[ACM] 2025-12-12 | RobWoTAR: Web of Things Approach to Universally Control Robots in Augmented Reality
[ACM] 2025-12-12 | FLAIR: QoS-Aware Scheduling and Workload Placement in Fog-Enabled Smart Manufacturing Warehouses
[ACM] 2025-12-12 | Indistinguishability Obfuscation from Well-Founded Assumptions
[ACM] 2025-12-13 | Immersive Interaction and Interpretation of Ancient Spatial and Shape Data: XR for Archaeological Research
[IEEE] 2025-12-12 | Automatic Photo Selection Method for Graduation Albums
[IEEE] 2025-12-12 | CNN and Transfer Learning-Based Classification of Alzheimer's Disease Stages from 2D Brain MRI: Model Performance and Interface Integration
[IEEE] 2025-12-12 | A Battery Degradation Model for Cost-Optimized PV-BESS Design in Telecom Base Stations
[IEEE] 2025-12-12 | Delay and Packet Loss in Wireless Networks with Finite Queue Length
[IEEE] 2025-12-12 | Prescribed Performance Control of Marine Surface Vessels with Dead-Zone Inputs
[IEEE] 2025-12-12 | A Sequential Transfer Optimization Framework for Expensive Optimization Problems
[IEEE] 2025-12-12 | Drone Rider: Enhancing VR Flight Experience with Dynamic Wind Feedback
[IEEE] 2025-12-12 | Blockchain Simulator for Consensus Algorithms and Security Testing in Future IoT
[IEEE] 2025-12-12 | A Topology-Based Approach for Energy Consumption Mitigation in Video CDN
[IEEE] 2025-12-12 | Development and Implementation of a High-Efficiency Solar-Powered Cooling System for Smart Industrial and Commercial Buildings
[IEEE] 2025-12-12 | Stability Analysis and Anti-Windup Design of Uncertain Switched Fuzzy Systems with Actuator Saturation
[IEEE] 2025-12-12 | Infrared Thermography for Incident Energy Measurement in Arc Flashes under VOA Configuration Supported by Statistical Analysis
[IEEE] 2025-12-12 | Multi-objective optimization using few-shot hybridization network for numerical control machining
[IEEE] 2025-12-12 | GCCE 2025 Subject Index Page
[IEEE] 2025-12-12 | Drone Rider: Virtual Flight Meets Exergaming
[IEEE] 2025-12-12 | Data-Driven Gait Phenotyping in Older Adults via Clustering of Raw Signals: Links to Fall History
[IEEE] 2025-12-12 | Distributed Mixture-of-Agents for Edge Inference with Large Language Models
[IEEE] 2025-12-12 | Cortisol Estimation using Wearable Wristbands: Comparing Multilevel Modelling and Machine Learning
[IEEE] 2025-12-12 | AR-Independent DCP Read-Only Mode for Secure Configuration in PROFINET Networks
[IEEE] 2025-12-12 | Transferable DRL for Robust Digital Predistortion Under Dynamic Transmission Conditions
[IEEE] 2025-12-12 | Dual Attention and Discrete Wavelet Transform Network for Image Dehazing
[IEEE] 2025-12-12 | Graph-based Pass Receiver Prediction in Soccer with Consideration of Passer’s Body Orientation
[IEEE] 2025-12-12 | Behavior-Driven Mealworm Harvest Prediction System
[IEEE] 2025-12-12 | A Consumer-Grade IMU-Based System for Visualizing and Quantifying Finger Independence in Piano Training
[IEEE] 2025-12-12 | PIMRC 2025 Opinion
[IEEE] 2025-12-12 | AI ARMORS: An Experimental C-V2X Framework for Road Safety over 5G SA with Computer Vision
[IEEE] 2025-12-12 | Enhancing Appliance Classification in NILM by Power-Theoretic Color-Coding V-I Trajectory Visualization
[IEEE] 2025-12-12 | An Investigation of Data Augmentation for Image Classification Network Based on Graph Convolution
[IEEE] 2025-12-12 | Low-Power and Accurate IoT Monitoring Under Radio Resource Constraint
[IEEE] 2025-12-12 | Multi-Dimensional Maturity Framework for Consumer ECG Devices
[IEEE] 2025-12-12 | Research on APIOBPCS Closed-loop Supply Chain Based on Distributed Predictive Control under Data-Driven
[IEEE] 2025-12-12 | ICCE-Berlin 2025 Keynote Speakers
