[2026-06-04 11:45:47] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-03
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202606030000+TO+202606032359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-6-3 | IEEE Antennas and Wireless Propagation Letters Publication Information
[IEEE] 2026-6-3 | DeepVesselNet-Based Retinal Vessel Segmentation with Enhanced Preprocessing
[IEEE] 2026-6-3 | Design and Optimization of a High-Gain Multi-Input Multilevel Inverter for Harmonic Mitigation
[IEEE] 2026-6-3 | IoT-Based Solar Power Monitoring System
[IEEE] 2026-6-3 | Backscatter Device-Aided Integrated Sensing and Communication: A Pareto Optimization Framework
[IEEE] 2026-6-3 | Next-Gen Mobile Forensics Tool: Timeline Reconstruction from Android Digital Evidence
[IEEE] 2026-6-3 | A Three-Phase AI Framework for Distributed Database Optimization
[IEEE] 2026-6-3 | A Hybrid Deep Learning Framework for Underwater Image Enhancement in Marine Infrastructure Inspection and Archaeological Exploration
[IEEE] 2026-6-3 | Video Surveillance Model for Anomaly Detection and Alert Generation using Deep Learning
[IEEE] 2026-6-3 | Multi-Sensor Fusion With Transformer-based Deep Learning for Real-Time Fetal Health Monitoring
[IEEE] 2026-6-3 | A Dynamic Edge-Cloud Intelligence Framework for Real-Time Abnormal Activity Detection using Vision-Language Reasoning, Super-Resolution Enhancement, and Reinforcement Learning Optimisation
[IEEE] 2026-6-3 | Iot Payments: Bridging the Gap Between Connectivity, Compliance and Commerce
[IEEE] 2026-6-3 | Smart Indian Farmer Assistant: A Tri-Modal AI Framework for Precision Agriculture Using MobileNetV2, XGBoost, and Multimodal Language Models
[IEEE] 2026-6-3 | Do-It-Yourself Approach to Oscillating Hydropower
[IEEE] 2026-6-3 | A Secure Adaptive Fractal Watermarking Scheme for Visual Authentication
[IEEE] 2026-6-3 | Design and Implementation of a High-Efficiency Transformer-Less Inverter for Low-Voltage Applications
[IEEE] 2026-6-3 | Predictive Self-Healing for Multi-Agent LLM Pipelines Using Model Predictive Control
[IEEE] 2026-6-3 | Self-Adaptive Graph Analytics for Real-Time Fraud Detection in Transaction Networks
[IEEE] 2026-6-3 | Hybrid Deep Learning Models for Solar Energy Production Forecasting: Explainable Artificial Intelligence Approach
[IEEE] 2026-6-3 | Improved Variational Graph Autoencoder for Link Prediction on Real-World Telecom Graphs
[ACM] 2026-6-4 | Cloud-Powered Federated Learning for Global Healthcare Diagnostics: Privacy Preserving Multi-Cloud Architecture
[ACM] 2026-6-4 | From Algorithms to Accountability: Navigating AI's Ethical and Legal Challenges
[ACM] 2026-6-4 | Enhanced Cloud-Based Hybrid Learning System for Remote Monitoring and Optimization of E-Waste Recycling Operations
[ACM] 2026-6-3 | A Multimodal Data-Driven Scaffolding Instruction Model for Foreign Language Learning Based on AIGC
[ACM] 2026-6-3 | Research on LSTM-Attention Based Prediction of Student Performance in Operating Systems Principles Course
[ACM] 2026-6-3 | Design of Learning Analytics Tools for Teachers: Optimizing Teaching Strategies Based on Educational Data
[ACM] 2026-6-3 | An AI-Enhanced Teaching Framework Integrating OBE and ‌Five Pillars of Education for Project-Based Practical Training
[ACM] 2026-6-3 | On the Limits for Web Accessibility Evaluation Using AI Agents
[ACM] 2026-6-3 | Human vs LLM-Generated Alt Text for STEM Image Accessibility: A Comparative Study
[IEEE] 2026-6-3 | Enhancing Depression Detection on Social Media with DSM-V Guided RAG and Fine-Tuned DeepSeek-R1_supp1-3699501.docx
[IEEE] 2026-6-3 | FlexPWL: A Flexible, Scalable, and Multiplier-Free Approach for Activation Functions on FPGA
[IEEE] 2026-6-3 | HF-Head: A Lightweight Head Design for SAR Small-Ship Detection with Algorithm–Hardware Co-Optimization
[IEEE] 2026-6-3 | Dense Facial Landmark Detection in Thermal Infrared With Cross-Dataset Generalization Testing and Failure Detection
[IEEE] 2026-6-3 | Collaborative Acceleration for Server-Side Multi-User View Synthesis_supp1-3694560.pdf
[IEEE] 2026-6-3 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism_supp1-3699154.mp4
[IEEE] 2026-6-3 | Robust Intra-Pulse Frequency Coding Against Time-Gated Frequency-Following Jamming via Belief-State Reinforcement Learning_supp1-3699318.pdf
[IEEE] 2026-6-3 | Rotatable Continuous Aperture Array (CAPA)-based Multi-user MIMO Communications
[IEEE] 2026-6-3 | NPLNet: A Noise-Prior Lightweight Network for On-Device Acoustic Fault Diagnosis of Railway Point Machines from Noisy Measurements
[IEEE] 2026-6-3 | Bayesian Inference-Based Model-Free Predictive Current Control for SPMSM Drives
[IEEE] 2026-6-3 | Adaptive Downsampling and Refinement for Fast Iterative Closest Point
[IEEE] 2026-6-3 | 2026 1st International Conference on Emerging Trends in Advancements and Applications of Computational Intelligence Techniques (ETAACT)
[IEEE] 2026-6-3 | Deciphering Object Concepts: Hierarchical Cross-Modal Relational Reasoning for Mining Object-Attribute-Affordance Associations
[IEEE] 2026-6-3 | Robustness of SAM: Segment Anything under Corruptions and beyond_supp1-3698837.pdf
[IEEE] 2026-6-3 | An Edge-Sensing Measurement Framework for Cross-Sensor Urban Altitude Estimation via Physics-Informed Neural Fields
[IEEE] 2026-6-3 | ICOEI 2026 Committees
[IEEE] 2026-6-3 | Hybrid Relay Architecture: A Decentralized and Semantically-agnostic Interoperability Framework for Blockchain
[IEEE] 2026-6-3 | Robust Open-Set Signal Emitter Identification Using Collaborative Learning and Distributed Attention Networks
[IEEE] 2026-6-3 | An Angularly Stable and Bidirectional Frequency Selective Rasorber Based on an Antenna-Filter-Antenna Architecture
[IEEE] 2026-6-3 | Environmental Adaptation Enabled by an Amplitude-Tunable Traveling Wave Robot with a Soft Corkscrew (ATWBot)_supp1-3697245.mp4
[IEEE] 2026-6-3 | A Comprehensive General Model of Tendon-Actuated Concentric Tube Robots with Multiple Tubes and Tendons_supp1-3699204.mp4
[IEEE] 2026-6-3 | Minimum Data Rate for Consensus of Linear MASs Under Weighted-Average Protocols
[ACM] 2026-6-3 | Participatory Urban Conflict Mapping
[ACM] 2026-6-3 | Exploring Participatory Methods for Design Research on Disability Inclusion in Public Toilets
[ACM] 2026-6-4 | Evaluating Human- and AI-Generated Code Quality Based on Code Smell
[ACM] 2026-6-4 | Evaluating Lightweight GAN- Generated Synthetic Data for Privacy Preservation in Mobile Crowd Sensing.
[ACM] 2026-6-4 | A Hybrid Generative–Adaptive Deep Learning Framework for Robust Heart Disease Prediction
[ACM] 2026-6-4 | Evaluating the Performance of Deep Learning Models Using Explainable AI Approaches for Reliable Skin Cancer Detection and Diagnosis
[IEEE] 2026-6-3 | Smart Vending Machine For Grocery Shop with Custom Quantity Dispensing
[IEEE] 2026-6-3 | Bias and Fairness in AI Systems: Theoretical Analysis and Empirical Validation Through Reweighing Mitigation
[IEEE] 2026-6-3 | Software Sustainability Debt and the Governance-Process-Execution Framework: Evidence from 513,000 Real-World CI/CD Workflows
[IEEE] 2026-6-3 | Machine Learning for Predicting and Managing Industrial Co and Nox Emissions: Data-Driven Modeling for Sustainable Production
[IEEE] 2026-6-3 | Artificial Intelligence based Object Detection Assistant for the Visually Impaired
[IEEE] 2026-6-3 | Smart Solar Advisor: AI-Driven IoT-Based System for Location-Aware Monthly Energy Forecasting
[IEEE] 2026-6-3 | A Fairness-Aware Constraint Satisfaction Framework for University Exam Timetabling with Dual-Role Instructor Conflict Modeling
[IEEE] 2026-6-3 | A Scalable OCR System to Bridge the Annotation Gap in Low Resource Languages
[IEEE] 2026-6-3 | Hardware Acceleration of User-Based Collaborative Filtering on an FPGA-Based SoC
[IEEE] 2026-6-3 | Leveraging Harmonic Analysis for Feature Extraction and Selection in Time-Series Data Processing
[IEEE] 2026-6-3 | ML-FS
                    <sup>2</sup>
                    -CDA- Meta-Learning-Driven Few-Shot Skin Lesion Segmentation with Cross-Dataset Adaptation
共写入 100 条记录，保存到 papers/paper2026-06-03.json。
论文获取成功，文件路径: papers/paper2026-06-03.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | IEEE Antennas and Wireless Propagation Letters Publication Information
[NO] 2/100 | Detecting Cyber Attacks in Power System AGC Using a Drifted Ornstein-Uhlenbeck Process
[NO] 3/100 | A Method for Restoring Dunhuang Murals Based on Improved Generative Adversarial Networks
[NO] 4/100 | Machine Learning Unveils System-Level Signatures of Integrated Motor&amp;#x2013;Non-Motor Dysfunction in Parkinson&amp;#x2019;s Disease during Telerehabilitation_supp6-3697696.xlsx
[NO] 5/100 | Analysis and Reduction Methods for Floating Potential and Voltage Stress in IPT System
[NO] 6/100 | Feedback-Guided Hierarchical Transmission for Multi-Robot Mapping under Bandwidth Constraints_supp1-3699241.mp4
[NO] 7/100 | A New Axial-Flux Dual-Rotor Variable Reluctance Resolver
[NO] 8/100 | Front Cover
[NO] 9/100 | High-frequency monitoring of sea-fog/low-clouds in the Arctic summer daytime from multi-satellite synergy
[NO] 10/100 | Precision Measurement Method for High-order Aspheric Surface Based on Pinhole Point Diffraction Interferometry and Optimized Sub-aperture Stitching
[NO] 11/100 | On Integrating Friction Dynamics Into Cosserat Models for Tendon-Driven Continuum Manipulators_supp1-3694254.mp4
[NO] 12/100 | A Novel Stereo Tracking Technology for Intraoperative Intervertebral Motion Compensation in Robot-assisted Laminectomy
[NO] 13/100 | Prototyping Regenerative Ontologies: Participatory Design for More-Than-Human Coexistence
[NO] 14/100 | Neuro Chair: A Smart IoT-Based Ergonomic System for Real-Time Stress and Posture Monitoring
[NO] 15/100 | Grama Medai: A Portable AI-Enabled Diagnostic Laboratory for Rural Healthcare
[NO] 16/100 | Evaluation of Computer Vision-Driven Autonomous Water Landing of Amphibious UAVs Using YOLOv8 and MATLAB
[NO] 17/100 | SmuggleDoS: Evasive DDoS Attacks using HTTP Request Smuggling
[NO] 18/100 | An Empirical Comparison of Traditional ML and GPT-Based LLMS for Turkish E-Commerce Review Moderation
[NO] 19/100 | Hybrid Knowledge Graph and Graph Neural Network Framework for Context-Aware Consumer Behavior Modeling in E-commerce
[NO] 20/100 | A Smart LoRaWAN-based Diabetic Monitoring System using Dual Coordinate Descent SVM for Data Transmission Optimization
[NO] 21/100 | A Neuro-Symbolic Expert System for Medical Diagnosis From Natural Language with Rule-Based Logic Engines
[NO] 22/100 | AI Image Classification Detection Brain Tumor using C-RNN
[NO] 23/100 | A Dual-Instructor AI-Enhanced Teaching Framework for Interdisciplinary AI Literacy: An Empirical Study Based on Learning Analytics
[NO] 24/100 | A Deep Learning--Based Study on Quality Evaluation in Higher Continuing Education
[NO] 25/100 | Design and Implementation of an Intelligent Question Practice Platform: A Multi-Feature Fusion-Based Question Recommendation Algorithm
[NO] 26/100 | Practice and Exploration of BOPPPS Model Integrated with PBL in the Experimental Teaching of Industrial Robot Programming and Debugging
[NO] 27/100 | A Machine Learning Approach to Evaluating High-Quality Employment: Career Adaptability as a Predictive Metric in Private UniversitiesCareer Adaptability as a Metric for High-Quality Employment
[NO] 28/100 | Research on the Construction of VR Smart Classrooms for Mechanical Course
[NO] 29/100 | Exploration on Blended Intelligent Teaching of Community Nursing Based on Knowledge Graph
[NO] 30/100 | Research on the Application of XR Digital Media Interactive Design in Information Technology Education
[NO] 31/100 | A Cloud-Edge Collaborative Intelligent Framework for Multimodal Foreign Language Education: Integrating Federated Learning with Knowledge Graph
[NO] 32/100 | Beyond Accuracy: Evaluating Trust, Bias, and Hallucination in AI-Generated Alternative (Alt) Text for Accessibility
[NO] 33/100 | Reinforcement Learning-Assisted Design of Active and Reactive Power Control for GFM Inverters with Various Grid Strengths
[NO] 34/100 | DeepVesselNet-Based Retinal Vessel Segmentation with Enhanced Preprocessing
[NO] 35/100 | Design and Optimization of a High-Gain Multi-Input Multilevel Inverter for Harmonic Mitigation
[NO] 36/100 | IoT-Based Solar Power Monitoring System
[YES] 37/100 | Backscatter Device-Aided Integrated Sensing and Communication: A Pareto Optimization Framework
[NO] 38/100 | Next-Gen Mobile Forensics Tool: Timeline Reconstruction from Android Digital Evidence
[NO] 39/100 | A Three-Phase AI Framework for Distributed Database Optimization
[NO] 40/100 | A Hybrid Deep Learning Framework for Underwater Image Enhancement in Marine Infrastructure Inspection and Archaeological Exploration
[NO] 41/100 | Video Surveillance Model for Anomaly Detection and Alert Generation using Deep Learning
[NO] 42/100 | Multi-Sensor Fusion With Transformer-based Deep Learning for Real-Time Fetal Health Monitoring
[NO] 43/100 | A Dynamic Edge-Cloud Intelligence Framework for Real-Time Abnormal Activity Detection using Vision-Language Reasoning, Super-Resolution Enhancement, and Reinforcement Learning Optimisation
[NO] 44/100 | Iot Payments: Bridging the Gap Between Connectivity, Compliance and Commerce
[NO] 45/100 | Smart Indian Farmer Assistant: A Tri-Modal AI Framework for Precision Agriculture Using MobileNetV2, XGBoost, and Multimodal Language Models
[NO] 46/100 | Do-It-Yourself Approach to Oscillating Hydropower
[NO] 47/100 | A Secure Adaptive Fractal Watermarking Scheme for Visual Authentication
[NO] 48/100 | Design and Implementation of a High-Efficiency Transformer-Less Inverter for Low-Voltage Applications
[NO] 49/100 | Predictive Self-Healing for Multi-Agent LLM Pipelines Using Model Predictive Control
[NO] 50/100 | Self-Adaptive Graph Analytics for Real-Time Fraud Detection in Transaction Networks
[NO] 51/100 | Hybrid Deep Learning Models for Solar Energy Production Forecasting: Explainable Artificial Intelligence Approach
[NO] 52/100 | Improved Variational Graph Autoencoder for Link Prediction on Real-World Telecom Graphs
[NO] 53/100 | Cloud-Powered Federated Learning for Global Healthcare Diagnostics: Privacy Preserving Multi-Cloud Architecture
[NO] 54/100 | From Algorithms to Accountability: Navigating AI's Ethical and Legal Challenges
[NO] 55/100 | Enhanced Cloud-Based Hybrid Learning System for Remote Monitoring and Optimization of E-Waste Recycling Operations
[NO] 56/100 | A Multimodal Data-Driven Scaffolding Instruction Model for Foreign Language Learning Based on AIGC
[NO] 57/100 | Research on LSTM-Attention Based Prediction of Student Performance in Operating Systems Principles Course
[NO] 58/100 | Design of Learning Analytics Tools for Teachers: Optimizing Teaching Strategies Based on Educational Data
[NO] 59/100 | An AI-Enhanced Teaching Framework Integrating OBE and ‌Five Pillars of Education for Project-Based Practical Training
[NO] 60/100 | On the Limits for Web Accessibility Evaluation Using AI Agents
[NO] 61/100 | Human vs LLM-Generated Alt Text for STEM Image Accessibility: A Comparative Study
[NO] 62/100 | Enhancing Depression Detection on Social Media with DSM-V Guided RAG and Fine-Tuned DeepSeek-R1_supp1-3699501.docx
[NO] 63/100 | FlexPWL: A Flexible, Scalable, and Multiplier-Free Approach for Activation Functions on FPGA
[NO] 64/100 | HF-Head: A Lightweight Head Design for SAR Small-Ship Detection with Algorithm–Hardware Co-Optimization
[NO] 65/100 | Dense Facial Landmark Detection in Thermal Infrared With Cross-Dataset Generalization Testing and Failure Detection
[NO] 66/100 | Collaborative Acceleration for Server-Side Multi-User View Synthesis_supp1-3694560.pdf
[NO] 67/100 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism_supp1-3699154.mp4
[NO] 68/100 | Robust Intra-Pulse Frequency Coding Against Time-Gated Frequency-Following Jamming via Belief-State Reinforcement Learning_supp1-3699318.pdf
[NO] 69/100 | Rotatable Continuous Aperture Array (CAPA)-based Multi-user MIMO Communications
[NO] 70/100 | NPLNet: A Noise-Prior Lightweight Network for On-Device Acoustic Fault Diagnosis of Railway Point Machines from Noisy Measurements
[NO] 71/100 | Bayesian Inference-Based Model-Free Predictive Current Control for SPMSM Drives
[NO] 72/100 | Adaptive Downsampling and Refinement for Fast Iterative Closest Point
[NO] 73/100 | 2026 1st International Conference on Emerging Trends in Advancements and Applications of Computational Intelligence Techniques (ETAACT)
[NO] 74/100 | Deciphering Object Concepts: Hierarchical Cross-Modal Relational Reasoning for Mining Object-Attribute-Affordance Associations
[NO] 75/100 | Robustness of SAM: Segment Anything under Corruptions and beyond_supp1-3698837.pdf
[NO] 76/100 | An Edge-Sensing Measurement Framework for Cross-Sensor Urban Altitude Estimation via Physics-Informed Neural Fields
[NO] 77/100 | ICOEI 2026 Committees
[NO] 78/100 | Hybrid Relay Architecture: A Decentralized and Semantically-agnostic Interoperability Framework for Blockchain
[NO] 79/100 | Robust Open-Set Signal Emitter Identification Using Collaborative Learning and Distributed Attention Networks
[NO] 80/100 | An Angularly Stable and Bidirectional Frequency Selective Rasorber Based on an Antenna-Filter-Antenna Architecture
[NO] 81/100 | Environmental Adaptation Enabled by an Amplitude-Tunable Traveling Wave Robot with a Soft Corkscrew (ATWBot)_supp1-3697245.mp4
[NO] 82/100 | A Comprehensive General Model of Tendon-Actuated Concentric Tube Robots with Multiple Tubes and Tendons_supp1-3699204.mp4
[NO] 83/100 | Minimum Data Rate for Consensus of Linear MASs Under Weighted-Average Protocols
[NO] 84/100 | Participatory Urban Conflict Mapping
[NO] 85/100 | Exploring Participatory Methods for Design Research on Disability Inclusion in Public Toilets
[NO] 86/100 | Evaluating Human- and AI-Generated Code Quality Based on Code Smell
[NO] 87/100 | Evaluating Lightweight GAN- Generated Synthetic Data for Privacy Preservation in Mobile Crowd Sensing.
[NO] 88/100 | A Hybrid Generative–Adaptive Deep Learning Framework for Robust Heart Disease Prediction
[NO] 89/100 | Evaluating the Performance of Deep Learning Models Using Explainable AI Approaches for Reliable Skin Cancer Detection and Diagnosis
[NO] 90/100 | Smart Vending Machine For Grocery Shop with Custom Quantity Dispensing
[NO] 91/100 | Bias and Fairness in AI Systems: Theoretical Analysis and Empirical Validation Through Reweighing Mitigation
[NO] 92/100 | Software Sustainability Debt and the Governance-Process-Execution Framework: Evidence from 513,000 Real-World CI/CD Workflows
[NO] 93/100 | Machine Learning for Predicting and Managing Industrial Co and Nox Emissions: Data-Driven Modeling for Sustainable Production
[NO] 94/100 | Artificial Intelligence based Object Detection Assistant for the Visually Impaired
[NO] 95/100 | Smart Solar Advisor: AI-Driven IoT-Based System for Location-Aware Monthly Energy Forecasting
[NO] 96/100 | A Fairness-Aware Constraint Satisfaction Framework for University Exam Timetabling with Dual-Role Instructor Conflict Modeling
[NO] 97/100 | A Scalable OCR System to Bridge the Annotation Gap in Low Resource Languages
[NO] 98/100 | Hardware Acceleration of User-Based Collaborative Filtering on an FPGA-Based SoC
[NO] 99/100 | Leveraging Harmonic Analysis for Feature Extraction and Selection in Time-Series Data Processing
[NO] 100/100 | ML-FS
                    <sup>2</sup>
                    -CDA- Meta-Learning-Driven Few-Shot Skin Lesion Segmentation with Cross-Dataset Adaptation
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-06-03.json。
邮件发送成功！
[2026-06-04 12:03:25] 任务执行成功！
