[2026-09-09 13:18:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-08
正在获取论文...
[arXiv] 2026-09-08 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[arXiv] 2026-09-08 | Temporal State Transport in Video Generation: Diagnosing and Correcting Spectral Imbalance
[arXiv] 2026-09-08 | AURORA: Active Uncertainty-Driven Re-Orientation for In-Hand Reconstruction
[arXiv] 2026-09-08 | News from NA61/SHINE
[arXiv] 2026-09-08 | A Foundation Model for Large-Scale Wireless Network Planning , Operation and Optimization
[arXiv] 2026-09-08 | An Evidence Model for Agentic Processes: Evidence Claims, Trust Assumptions, and Policy Assessment
[arXiv] 2026-09-08 | Cahn-Hilliard phase-field modeling of tumor growth via locally adaptive isogeometric analysis with THB-splines
[arXiv] 2026-09-08 | Second-order regularity for weighted widely degenerate problems with explicit $u$-dependence
[arXiv] 2026-09-08 | Nonperturbative functional renormalization group for Higgs-singlet models with physics-informed neural networks
[arXiv] 2026-09-08 | Selective boundary condition reduction via learned error gating
[arXiv] 2026-09-08 | The Forgotten History of Wave Function Variance Optimization and its Relevance for Neural-Network VMC
[arXiv] 2026-09-08 | SequenceO1: End-to-End Ultra-Long (100K) Sequence Modeling in Recommendation with Low-Rank Caching
[arXiv] 2026-09-08 | AI-Native Orchestration in the 6G Continuum: Evolving Operator Platforms with Agentic AI
[arXiv] 2026-09-08 | Bayesian Group Testing Regression with a Shape-Free Dilution Curve
[arXiv] 2026-09-08 | EvolveScaler: Synthesizing Information-Evolution Contexts via Executable State Machines and Natural-Language Rendering
[arXiv] 2026-09-08 | Second derivatives of $p$-adic $L$-functions and the Shafarevich--Tate group of rank-two CM elliptic curves
[arXiv] 2026-09-08 | Fiber-based electro-optic dual-comb light source for fast linear and nonlinear spectroscopy
[arXiv] 2026-09-08 | Efficient quantum state preparation on Quantinuum hardware
[arXiv] 2026-09-08 | Policy Gains or Household Need? The Allocation Logic of China's Dibao Program
[arXiv] 2026-09-08 | Coverage Path Planning for Redundant Manipulators using Generalized Spanning Trees
[arXiv] 2026-09-08 | Localized Visual Feature Aggregation via Focus Pooling for Visuomotor Policies
[arXiv] 2026-09-08 | Performance of the subcarrier-wave quantum key distribution in the presence of spontaneous Raman scattering noise generated by classical DWDM channels
[arXiv] 2026-09-08 | Towards Embodied Air-Ground Cooperative Object Search: Benchmark, Dataset and Agentic Method
[arXiv] 2026-09-08 | Light cone distributions of $P$-wave quarkonia
[arXiv] 2026-09-08 | BRAHMS: A cross-platform graphical toolkit for (3+1)D simulation of three-wave mixing in $χ^{(2)}$ nonlinear media, with GPU and CPU backends
[arXiv] 2026-09-08 | How to Make the Gradient Mapping Small for Constrained Stochastic Min-Max Problems and Beyond
[arXiv] 2026-09-08 | Authority Is Not a String: A Capability-Scoped Harness for Prompt-Injection-Resistant Coding Agents
[arXiv] 2026-09-08 | ReMoMask-2: Latent Retrieval-Augmented Masked Motion Generation
[arXiv] 2026-09-08 | SentryLine: Evidence-Grounded Question Answering over Evolving Documents in Oncology Care
[arXiv] 2026-09-08 | A Two-Dimensional Test of Cosmological Parity Violation with the 3-Point Correlation Function
[arXiv] 2026-09-08 | A hypercontractive proof of the sharp bound for cancellative pairs
[arXiv] 2026-09-08 | Quantitative Parisi formulas and fluctuations in the Sherrington-Kirkpatrick model
[arXiv] 2026-09-08 | The Trudinger inequality is true for $M^{1,s}$ spaces
[arXiv] 2026-09-08 | Curriculum Learning as Transport: Understanding Curricula with Wasserstein Geodesics
[arXiv] 2026-09-08 | The Surprising Effectiveness of Approximate Value Iteration in Self-Play
[arXiv] 2026-09-08 | Three formulas for the Ising and Potts invariants of a knot or link
[arXiv] 2026-09-08 | ToolLoop: Closed-Loop Tool-Use Data Synthesis via Decomposed Generation and Dynamic Self-Feedback
[arXiv] 2026-09-08 | A Distributed Consensus Particle Filter for Target Tracking using Autonomous Surface Vessels
[arXiv] 2026-09-08 | The size and mass distribution of cold classical TNOs for $5<H<13$
[arXiv] 2026-09-08 | On the complement of a union of cosets
[arXiv] 2026-09-08 | Sharp Fractional Riesz Estimates on the Hypercube
[arXiv] 2026-09-08 | Wolf-Rayet stars and black holes: mass distributions and evolutionary connection
[arXiv] 2026-09-08 | Some weighted modular inequalities in variable Lebesgue spaces
[arXiv] 2026-09-08 | Task-driven Processing with Coarse-to-Fine Glimpse-based Active Perception
[arXiv] 2026-09-08 | Fish navigate a hydrodynamic maze via yaw-mediated lateral migration
[arXiv] 2026-09-08 | Combined JWST and HST Deep Imaging to Characterize the Smallest Known Trans-Neptunian Objects
[arXiv] 2026-09-08 | 5d SCFT fixtures
[arXiv] 2026-09-08 | Evaluation of Contextual Understanding in Large Language Models
[arXiv] 2026-09-08 | Endpoint and Vanishing-Density Asymptotics for Hardy--Szegő Zero Counts
[arXiv] 2026-09-08 | A Sublinear Approximation Algorithm for Minimum Dilation Trees in the Plane
[arXiv] 2026-09-08 | Triaxiality of the Milky Way dark matter halo and the microlensing optical depth towards the Large Magellanic Cloud
[arXiv] 2026-09-08 | Omni Interaction Agent Technical Report
[arXiv] 2026-09-08 | On the Two-Weight Problem for One-Sided Maximal Operators in Higher Dimensions
[arXiv] 2026-09-08 | Limit Sets and Global Bifurcation Structure in Planar Control Models with Large Hysteresis
[arXiv] 2026-09-08 | A growth gap for anisotropic minimal graphs
[arXiv] 2026-09-08 | On $p$-Spread Measures
[arXiv] 2026-09-08 | The Delta of a Variance Swap
[arXiv] 2026-09-08 | Quantum spacetime and gravity from the IKKT matrix model: an invitation
[arXiv] 2026-09-08 | Prior-free relative 6D pose estimation of multiple object instances
[arXiv] 2026-09-08 | FINALLY: A Dataset Recommender System for Recommender-Systems Research
[arXiv] 2026-09-08 | A virtual reality extension for the Geant4 toolkit
[arXiv] 2026-09-08 | CoSA: Correlation-Guided Change A ttention with Learnable Residual Gating for Remote Sensing Change Detection
[arXiv] 2026-09-08 | Zirconium Carbide as a High-Temperature Benchmark for the Beyond Quasi-Harmonic Method
[arXiv] 2026-09-08 | To Stop or Not to Stop: Exploring the Intention-Behavior Gaps in Smartphone Usage
[arXiv] 2026-09-08 | The BatchNorm Illusion: Diagnosing Normalization Artifacts in Machine Unlearning Evaluation
[arXiv] 2026-09-08 | NOvA Dual-Baseline Search for Active-to-Sterile Neutrino Oscillations using Neutrino- and Antineutrino-Enriched Samples
[arXiv] 2026-09-08 | On the Stability of the Independence Number in Random Distance Graphs
[arXiv] 2026-09-08 | On Weighted Mathai-Haubold Entropy Measures
[arXiv] 2026-09-08 | Phase transition for strongly correlated percolation models on supercritical Bernoulli clusters
[arXiv] 2026-09-08 | The Double-Edged Sword of Short-Selling Bans
[arXiv] 2026-09-08 | High-Order Discontinuous Cut Finite Element Methods for Scalar Hyperbolic Conservation Laws
[arXiv] 2026-09-08 | Controlling Hydrogen Isotope Retention at Helium Cavities through Radiation-Induced Segregation in Fusion Steels
[arXiv] 2026-09-08 | Covariant Phase Space and Carroll-Weyl $χ$ Symmetry of Carroll Non-BPS D$_p$-branes
[arXiv] 2026-09-08 | Towards Standardized Evaluation of GPU Memory Safety with GMSBench
[arXiv] 2026-09-08 | REDSI: Addressing the Reproducibility and Evaluation Consistency of Differentiable Search Indexing for Document Retrieval
[arXiv] 2026-09-08 | DSE-VTG: Dual-Side Enhancement for Training-Free Video Temporal Grounding
[arXiv] 2026-09-08 | On 2D Scattering for a Critical Nonlinear Schrödinger Flow
[arXiv] 2026-09-08 | Leveraging Visual and Geometric Priors for Metric-scale and Complete Vehicle Gaussian Reconstruction from Limited Views
[arXiv] 2026-09-08 | Orbital choice in constructing model Hamiltonians
[arXiv] 2026-09-08 | Asynchronous Model Predictive Control Under Model Mismatch: Stability and Performance Guarantees
[ACM] 2026-9-8 | Recent Advancements in Traffic Flow Prediction: Review, Challenges and Future Research Directions
[IEEE] 2026-9-8 | Quaternion Based Rapid Transfer Alignment with Linear State Equation Under Arbitrary Misalignments for Airdrop
[IEEE] 2026-9-8 | Table of Contents
[IEEE] 2026-9-8 | Directional Local Entropy Weighted Adaptive Contrast Network for Infrared Small Target Detection
[IEEE] 2026-9-8 | Interaction Impact and Coordinated Mitigation Strategy of Low Frequency Oscillations with Torsional Vibrations for GFM-DFIG Wind Turbine
[IEEE] 2026-9-8 | Explainable Complex-Valued Neural Networks Via Inverse Mapping for PolSAR Land-Cover Classification
[IEEE] 2026-9-8 | Secure Interoperability for Decentralized Credit Ecosystems: Achieving Data Confidentiality and Integrity Across Chains
[IEEE] 2026-9-8 | FlowFixer-EDA: A Tool-Feedback-Augmented Large Language Model Agent for Automated Diagnosis and Repair of Open-Source RTL-to-GDS Design Flow Failures
[IEEE] 2026-9-8 | GridScope: Cross-Domain Root-Cause Interpretation for Mission-Critical Facility Power Incidents
[IEEE] 2026-9-8 | Cowbot: An Energy-Efficient Edge AI Robotic System for Real-Time Dairy Health Monitoring
[IEEE] 2026-9-8 | A Reconfigurable Switched-Capacitor DC-DC Converter with Wide Range, High Efficiency and Fast Load Response
[IEEE] 2026-9-8 | A Novel Position Constraint Control for Time-Delayed Telerobotic Systems Based on IBLF and Smoothing Filter
[IEEE] 2026-9-8 | Spatio-Temporal Network Traffic Prediction Based on an Adaptive Topology Gating Mechanism
[IEEE] 2026-9-8 | Deployment-Constrained Predictive Digital-Twin Instantiation for Smart IoT Edge-Cloud Infrastructures
[IEEE] 2026-9-8 | High-Order Graph Regularized Sparse Projection for Unsupervised Hyperspectral Band Selection
[IEEE] 2026-9-8 | DMRS Aided Cross-Domain Frame Processing for Affine Domain Path Diversity Aggregation
[IEEE] 2026-9-8 | Unsupervised Few-Shot Remote Sensing Image Classification with Hierarchical Graph Memory and Adaptive Temperature Control
[IEEE] 2026-9-8 | Unsupervised Change Detection on Multi-Temporal Images Via Unrolled Tensor Completion Network
[IEEE] 2026-9-8 | XAI-based Feature Selection for Improved Network Intrusion Detection Systems
[IEEE] 2026-9-8 | A Position-Aware Deep Learning Pipeline with Adaptive Respiratory-Cycle Segmentation for Respiratory Sound Anomaly Detection
[IEEE] 2026-9-8 | Implementation and Evaluation of a Size-Adaptive Variable-Stiffness Soft Gripper using Vision and Torque Monitoring_supp1-3730973.mp4
[IEEE] 2026-9-8 | Small-Gain Theorem-Based Adaptive Fuzzy Bipartite Consensus Control for Nonlinear Multi-Agent Systems
[IEEE] 2026-9-8 | 2026 IEEE International Conference on Smart Internet of Things (SmartIoT)
[IEEE] 2026-9-8 | D-Band Plastic Waveguide Design and Unified Channel Modeling for System-Level Simulation
[IEEE] 2026-9-8 | Robust and Trustworthy TinyML-Based EEG Seizure Detection with Quantized Inference
[IEEE] 2026-9-8 | Reducing memory accesses and computing energy with RISC-V custom load/store instructions
[IEEE] 2026-9-8 | Digital Twins for Spacecraft Launches: Trends and Future Directions
[IEEE] 2026-9-8 | Hidden-Context Continual Learning for Survival-Oriented Environmental Adaptation
[IEEE] 2026-9-8 | Experimental Prompt Engineering Using Structured Language Refinement for Attack Path Analysis
[IEEE] 2026-9-8 | A Duty-Cycled PLL Architecture for a Low-Power IR-UWB Transmitter in Neural Implants
[IEEE] 2026-9-8 | Local Manifold Coverage Deficit for Novel Attack Discovery in Adaptive Intrusion Detection Systems
[IEEE] 2026-9-8 | Enhancing SAR ATR Distribution Shift Decomposition with Operating Conditions
[IEEE] 2026-9-8 | A Computationally Efficient Real-Time Gaze-Based Human–Robot Interface (HRI) for Continuous Industrial Robot Control
[IEEE] 2026-9-8 | Agentic AI for Electronic Design Automation for License Management
[IEEE] 2026-9-8 | Ferroelectric FET-based Reconfigurable Voltage-to-Time Converter in 28 nm CMOS
[IEEE] 2026-9-8 | Understanding Fault Tolerance of Adversarially Robust Pruned Models
[IEEE] 2026-9-8 | Predictive Modeling of G-Induced Loss of Consciousness (GLOC) Using Physiological Data and Machine Learning
[IEEE] 2026-9-8 | A Communication-Coverage-Aware AUV Data Collection Framework for Internet of Underwater Things
[ACM] 2026-9-9 | Erratum: LVT: A Learned Video Transcoding Framework
[IEEE] 2026-9-8 | Integrating Smartphone Barometric Sensors and Knowledge Distillation Techniques for Soil Pressure Analysis
[IEEE] 2026-9-8 | From Human Demonstrations to Robotic Actions: Real2Sim Verification of a Diffusion Policy for Autonomous Robotic Manipulation
[IEEE] 2026-9-8 | Ferroelectric Behavior of Hafnium Oxide for Integrated Photonic Non-Volatile Memory Devices
[IEEE] 2026-9-8 | Analog Activation Functions Assessment in Implementing Resistive Neural Networks
[IEEE] 2026-9-8 | Neuromorphic Orchestration for Efficient LLM Infrastructure via Utility-Optimized Decision-Making
[IEEE] 2026-9-8 | Leveraging Blockchain for an Optimised EV Charging System
[IEEE] 2026-9-8 | Automated Impedance Modeling Method for Small-Signal Stability Analysis of Offshore Wind Farm Integrated via Fractional Frequency Transmission System
[IEEE] 2026-9-8 | Message from the General Chairs
[IEEE] 2026-9-8 | NewCAS 2026 Cover Page
[IEEE] 2026-9-8 | N-Type SnO Based Trace Level Fe(III) Ion Sensor for Drinking Water Quality Monitoring_supp1-3729478.pdf
[IEEE] 2026-9-8 | An Adaptive Midpoint-Voltage Controller for Active Neutral-Point-Clamped Three-Phase Dual Active Bridge Converters
[IEEE] 2026-9-8 | Simplified Direct Torque Control for Dual Three-Phase PMSM Based on Vector Error Optimization
[ACM] 2026-9-9 | A Survey on Foundation Models for Personalized Federated Intelligence
[ACM] 2026-9-8 | MSA-Loc: A Lightweight Multi-Scale Attention Network for Protein Subcellular Localization Prediction
[IEEE] 2026-9-8 | An Optical Sensor in Standard CMOS Technology for Precise Measurement of Light Polarization
[IEEE] 2026-9-8 | Showcasing ultra-dense inter-tier partitioning in 3D sequential integration
[IEEE] 2026-9-8 | Configurable Inter-Tier Connectivity for Secure 3D IC Design
[IEEE] 2026-9-8 | Codebook-assisted Deep Multi-view Information Bottleneck for Semantic Transmission
[IEEE] 2026-9-8 | Risk-Regulated Contextual Resource Scheduling for Mixed-Criticality Smart IoT Edge Platforms
[IEEE] 2026-9-8 | Operating Performance Assessment Method for Industrial Process with Local CEI Density-Constrained BLS Network
[IEEE] 2026-9-8 | Model and Algorithm Design of Reciprocal Zhang Neuronet and its Link to Steepest Descent Method via Euler Discretization
[IEEE] 2026-9-8 | HCCL: Hierarchical Consistency-driven Contrastive Learning for Semi-supervised Learning
[IEEE] 2026-9-8 | Fault-Aware NIRS-Based Bladder Volume Estimation: A Geometry-Sensitive and Fault-Tolerant Sensing Framework
[IEEE] 2026-9-8 | AdalReID: Auto-selected Knowledge Adapters for Lifelong Person Re-identification
[IEEE] 2026-9-8 | Multimodal Vision-Language Model Incorporating Sky Images for Intra-Hour Photovoltaic Power Forecasting
[IEEE] 2026-9-8 | Heterogeneous Mixture-of-Experts Network for Bearing Fault Diagnosis Under Strong Noise
[IEEE] 2026-9-8 | Phase Tunable Photonic Generation of Parabolic and Truncated Sinc Microwave Waveforms for Arbitrary Chirp Signal Generation
[IEEE] 2026-9-8 | A Review of Computer Vision for Medicinal Plant Identification by PRISMA
[IEEE] 2026-9-8 | Fairness-Aware Few-Shot Learning for Audio-Visual Stress Detection
[IEEE] 2026-9-8 | SAC-DSGH: A Differentiated Satellite-Ground Link Handover Policy Based on Soft Actor-Critic Algorithm
[ACM] 2026-9-8 | AI-Driven Clinical Decision Support for Cataract Refractive Outcome: A Head‑to‑Head Comparison of Four Intraocular Lens Power Formulas in Normal Eyes
[IEEE] 2026-9-8 | Technical Program Committee
[IEEE] 2026-9-8 | Topology Construction Method for Multi-functional Interconnected Devices with Power Quality Improvement and Fault Regulation Capabilities
[IEEE] 2026-9-8 | Band-Attentive Time-Frequency Learning for Online Inertia Estimation under Varying IBR Penetration
[IEEE] 2026-9-8 | A TextGrad-Inspired Optimization Pipeline for AI-Assisted Generation of Lecture Notes and Problem Sets
[IEEE] 2026-9-8 | Correlated Pointing-Error Analysis for Body-Pointed LED-Based Inter-Satellite Optical Wireless Links
[IEEE] 2026-9-8 | FedMLKD: Communication-Efficient Federated Learning for UAV Swarm Flash Flood Segmentation
[IEEE] 2026-9-8 | Hierarchical Privacy-Preserving Funnel Consensus Control for Vehicle Platoon Systems
[IEEE] 2026-9-8 | How Haptics Affects Emotions in Robotic Dancing Performance
[IEEE] 2026-9-8 | Energy Minimization for disassembly of End-of-Life Electric Vehicle Batteries
[IEEE] 2026-9-8 | Application of Knowledge Distillation for Slope Stability Analysis Under Special Environmental Conditions
[IEEE] 2026-9-8 | Measurement Design and Leakage Evaluation of AES-128 on Modern Embedded Platforms Using Correlation Power Analysis
[IEEE] 2026-9-8 | Attacking an Infrared Target Segmentation Model
[IEEE] 2026-9-8 | Resource-Aware Adaptive Radar Anti-Jamming via Reinforcement Learning over Heterogeneous Countermeasures
[IEEE] 2026-9-8 | Deep Learning-Based Lightweight In-Cabin Multi-Person Heart Rate Monitoring Using 60 GHz FMCW Radar
[IEEE] 2026-9-8 | LLM-Constructed Cybersecurity Training Ranges
[IEEE] 2026-9-8 | A Configurable Element-Level Digitization ASIC With Integrated SAR ADC and High-Speed NRZ Data Link For Intravascular Imaging
[IEEE] 2026-9-8 | A Low Area Regulated Negative Charge Pump for Micro Catheter Based Imaging
[ACM] 2026-9-9 | AI-coupled HPC Workflow Applications, Middleware and Performance
[ACM] 2026-9-9 | 3D Human Interaction Generation: A Survey
[ACM] 2026-9-8 | Lotka-Volterra competition system in critical case with a free boundary
[IEEE] 2026-9-8 | Review for "Diffusion-Inspired Multi-Source Meta-Learning for Cross-Domain HSI Classification"
[IEEE] 2026-9-8 | Inverse-Designed Cascaded Rotational Diffractive Layers for Versatile Beam Switching with Single-layer Rotation and large Spacing
[IEEE] 2026-9-8 | Fault-Tolerant Static Output-Feedback Controller for Trajectory Tracking in Distributed Driven Vehicles With Reinforcement Learning
[IEEE] 2026-9-8 | Enhanced Enabling Technologies for Improved ‘THz-Torch’ Applications
[IEEE] 2026-9-8 | Configuration Sensitivity of LLM Tabular Data Synthesizers: A Small-Model Memorization Effect and a Reporting Protocol
[IEEE] 2026-9-8 | Improved Electromyography Classification using Convolutional Neural Networks
[IEEE] 2026-9-8 | A Fully Differential Current-Mirror ECG Front-End: A Fair Silicon Comparison With the Classical Three-Opamp Instrumentation Amplifier
[IEEE] 2026-9-8 | A Comparative Study of MPC and Reinforcement Learning Control for Space Robotics Manipulators
[IEEE] 2026-9-8 | A Power-Efficient, Reconfigurable Cascaded-Beta Capacitively Coupled Chopper Amplifier for Precision Systems
[IEEE] 2026-9-8 | WiLMT: LLM-Native Symbolic Representation Learning for WiFi-based Human Sensing
共写入 200 条记录，保存到 papers/paper2026-09-08.json。
论文获取成功，文件路径: papers/paper2026-09-08.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Neptune: An AI model for Global Ocean Subseasonal Prediction
[NO] 2/200 | Sharp Bohr and Bohr-Rogosinski inequalities involving area measure for close-to-convex harmonic mappings
[NO] 3/200 | Multimode squeezed light generation and characterization
[NO] 4/200 | Radial velocity follow-up of \textit{Gaia} astrometric substellar companions: six confirmed brown dwarfs and 13 impostor binaries
[NO] 5/200 | The Unreliable Progress Bar: Can LLM Agents Reliably Report Task Progress Throughout Execution?
[NO] 6/200 | Magnetic phases of Kondo lattice materials Ce$_5$RhGe$_2$ and Ce$_5$IrGe$_2$
[NO] 7/200 | Erased Postulates, Identity Types and Quotients
[NO] 8/200 | PLC-Bin2Src: Retrieving Corresponding Structured Text Source Files for PLC Binaries
[NO] 9/200 | Certified Topological Interaction in Neural Representations: Class Disentanglement Is Mostly Pairwise
[NO] 10/200 | Classification of Legendrian doubles and suspensions
[NO] 11/200 | A geometric Jacquet--Langlands correspondence for Shimura varieties
[NO] 12/200 | Schwinger boson perturbation theory for spin-$S$ Kitaev-Heisenberg magnets: phase diagram and dynamical response near Kitaev spin liquids
[NO] 13/200 | Symmetric power L-functions of a weighted hyper-Kloosterman family
[NO] 14/200 | STSG-VQA: Evidence-Grounded Temporal Question Answering from Surgical Spatio-Temporal Scene Graphs
[NO] 15/200 | A vanishing criterion for Lie elements in a free Novikov algebra
[NO] 16/200 | Physical Law Ecology: mapping multi-mechanism ecologies as the zeroth step of data-driven scientific discovery
[NO] 17/200 | Layer Selection in VLMs for Zero-Shot OOD Detection via Multi-Resolution Entropy Estimation
[NO] 18/200 | Continuity for random walks in hyperbolic percolation: drift, entropy, and dimension
[NO] 19/200 | Harmonics of femtosecond and continuous-wave radiation for precision spectroscopy: generation efficiency and spectral line shape
[NO] 20/200 | Breathers in solitonic room-temperature superlattice-induced superfluorescence in quasi-2D perovskites
[NO] 21/200 | TASG-Explore: Traversability-Aware Sector-Guided Exploration for Ground Robot on Uneven Terrain
[NO] 22/200 | Temporal State Transport in Video Generation: Diagnosing and Correcting Spectral Imbalance
[NO] 23/200 | AURORA: Active Uncertainty-Driven Re-Orientation for In-Hand Reconstruction
[NO] 24/200 | News from NA61/SHINE
[NO] 25/200 | A Foundation Model for Large-Scale Wireless Network Planning , Operation and Optimization
[NO] 26/200 | An Evidence Model for Agentic Processes: Evidence Claims, Trust Assumptions, and Policy Assessment
[NO] 27/200 | Cahn-Hilliard phase-field modeling of tumor growth via locally adaptive isogeometric analysis with THB-splines
[NO] 28/200 | Second-order regularity for weighted widely degenerate problems with explicit $u$-dependence
[NO] 29/200 | Nonperturbative functional renormalization group for Higgs-singlet models with physics-informed neural networks
[NO] 30/200 | Selective boundary condition reduction via learned error gating
[NO] 31/200 | The Forgotten History of Wave Function Variance Optimization and its Relevance for Neural-Network VMC
[NO] 32/200 | SequenceO1: End-to-End Ultra-Long (100K) Sequence Modeling in Recommendation with Low-Rank Caching
[NO] 33/200 | AI-Native Orchestration in the 6G Continuum: Evolving Operator Platforms with Agentic AI
[NO] 34/200 | Bayesian Group Testing Regression with a Shape-Free Dilution Curve
[NO] 35/200 | EvolveScaler: Synthesizing Information-Evolution Contexts via Executable State Machines and Natural-Language Rendering
[NO] 36/200 | Second derivatives of $p$-adic $L$-functions and the Shafarevich--Tate group of rank-two CM elliptic curves
[NO] 37/200 | Fiber-based electro-optic dual-comb light source for fast linear and nonlinear spectroscopy
[NO] 38/200 | Efficient quantum state preparation on Quantinuum hardware
[NO] 39/200 | Policy Gains or Household Need? The Allocation Logic of China's Dibao Program
[NO] 40/200 | Coverage Path Planning for Redundant Manipulators using Generalized Spanning Trees
[NO] 41/200 | Localized Visual Feature Aggregation via Focus Pooling for Visuomotor Policies
[NO] 42/200 | Performance of the subcarrier-wave quantum key distribution in the presence of spontaneous Raman scattering noise generated by classical DWDM channels
[NO] 43/200 | Towards Embodied Air-Ground Cooperative Object Search: Benchmark, Dataset and Agentic Method
[NO] 44/200 | Light cone distributions of $P$-wave quarkonia
[NO] 45/200 | BRAHMS: A cross-platform graphical toolkit for (3+1)D simulation of three-wave mixing in $χ^{(2)}$ nonlinear media, with GPU and CPU backends
[NO] 46/200 | How to Make the Gradient Mapping Small for Constrained Stochastic Min-Max Problems and Beyond
[NO] 47/200 | Authority Is Not a String: A Capability-Scoped Harness for Prompt-Injection-Resistant Coding Agents
[NO] 48/200 | ReMoMask-2: Latent Retrieval-Augmented Masked Motion Generation
[NO] 49/200 | SentryLine: Evidence-Grounded Question Answering over Evolving Documents in Oncology Care
[NO] 50/200 | A Two-Dimensional Test of Cosmological Parity Violation with the 3-Point Correlation Function
[NO] 51/200 | A hypercontractive proof of the sharp bound for cancellative pairs
[NO] 52/200 | Quantitative Parisi formulas and fluctuations in the Sherrington-Kirkpatrick model
[NO] 53/200 | The Trudinger inequality is true for $M^{1,s}$ spaces
[NO] 54/200 | Curriculum Learning as Transport: Understanding Curricula with Wasserstein Geodesics
[NO] 55/200 | The Surprising Effectiveness of Approximate Value Iteration in Self-Play
[NO] 56/200 | Three formulas for the Ising and Potts invariants of a knot or link
[NO] 57/200 | ToolLoop: Closed-Loop Tool-Use Data Synthesis via Decomposed Generation and Dynamic Self-Feedback
[NO] 58/200 | A Distributed Consensus Particle Filter for Target Tracking using Autonomous Surface Vessels
[NO] 59/200 | The size and mass distribution of cold classical TNOs for $5<H<13$
[NO] 60/200 | On the complement of a union of cosets
[NO] 61/200 | Sharp Fractional Riesz Estimates on the Hypercube
[NO] 62/200 | Wolf-Rayet stars and black holes: mass distributions and evolutionary connection
[NO] 63/200 | Some weighted modular inequalities in variable Lebesgue spaces
[NO] 64/200 | Task-driven Processing with Coarse-to-Fine Glimpse-based Active Perception
[NO] 65/200 | Fish navigate a hydrodynamic maze via yaw-mediated lateral migration
[NO] 66/200 | Combined JWST and HST Deep Imaging to Characterize the Smallest Known Trans-Neptunian Objects
[NO] 67/200 | 5d SCFT fixtures
[NO] 68/200 | Evaluation of Contextual Understanding in Large Language Models
[NO] 69/200 | Endpoint and Vanishing-Density Asymptotics for Hardy--Szegő Zero Counts
[NO] 70/200 | A Sublinear Approximation Algorithm for Minimum Dilation Trees in the Plane
[NO] 71/200 | Triaxiality of the Milky Way dark matter halo and the microlensing optical depth towards the Large Magellanic Cloud
[NO] 72/200 | Omni Interaction Agent Technical Report
[NO] 73/200 | On the Two-Weight Problem for One-Sided Maximal Operators in Higher Dimensions
[NO] 74/200 | Limit Sets and Global Bifurcation Structure in Planar Control Models with Large Hysteresis
[NO] 75/200 | A growth gap for anisotropic minimal graphs
[NO] 76/200 | On $p$-Spread Measures
[NO] 77/200 | The Delta of a Variance Swap
[NO] 78/200 | Quantum spacetime and gravity from the IKKT matrix model: an invitation
[NO] 79/200 | Prior-free relative 6D pose estimation of multiple object instances
