[2026-06-25 11:35:15] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-24
正在获取论文...
[arXiv] 2026-06-24 | Euclid Quick Data Release (Q2) -- The Euclid Galactic Bulge Survey
[arXiv] 2026-06-24 | Exploring Activity Across the Stellar Main Sequence with the Sun as a Benchmark
[arXiv] 2026-06-24 | PolicyAlign: Direct Policy-Based Safety Alignment for Large Language Models
[arXiv] 2026-06-24 | Brevity is the Soul of Inference Efficiency: Inducing Concision in VLMs via Data Curation
[arXiv] 2026-06-24 | NeuXtalViz: Interactive Three-Dimensional Visualization and Analysis for Single-Crystal Neutron Diffraction
[arXiv] 2026-06-24 | DFMU: Data-Frugal Machine Unlearning
[arXiv] 2026-06-24 | Teach-to-Reason: Competition-Guided Reasoning with a Self-Improving Teacher
[arXiv] 2026-06-24 | The Lp centro-sectional Minkowski problem
[arXiv] 2026-06-24 | HEART: Coordination of Heterogeneous Expert Agents for Physically Grounded Robotic Task Planning
[arXiv] 2026-06-24 | TabClean: Reusable LLM-Synthesized Programs for Tabular Data Cleaning
[arXiv] 2026-06-24 | The tilting property of Whittaker averaged central sheaves
[arXiv] 2026-06-24 | Data-inspired simulation of AR 11158
[arXiv] 2026-06-24 | Sarashina2.2-TTS: Tackling Kanji Polyphony in Japanese Speech Generation via Data Scaling and Targeted Data Synthesis
[arXiv] 2026-06-24 | TheoremGraph: Bridging Formal and Informal Mathematics
[arXiv] 2026-06-24 | Learning Optimization Proxies for Sequential Contextual Stochastic Programs: An Order Fulfillment Application
[arXiv] 2026-06-24 | Agentic Knowledge Tracing: A Multi-Agent LLM Architecture for Stealth Assessment of Financial Literacy in Serious Games
[arXiv] 2026-06-24 | Cache-Resident LLM Inference in GB-Scale Last-Level Caches
[arXiv] 2026-06-24 | Fractionalized Vortices Drive Kosterlitz-Thouless Transitions in Dipole-Conserving Systems
[arXiv] 2026-06-24 | AI Coaching for Accelerating Human Skill Development with Reinforcement Learning
[arXiv] 2026-06-24 | Efficient Remote Sensing Instance Segmentation with Linear-Time State Space Distilled Visual Foundation Models
[arXiv] 2026-06-24 | Cross-Subject Predictive Validity for Learning Outcomes of Delayed Start Behavior
[arXiv] 2026-06-24 | Zipf's law before the monetary economy and written administration: volume distribution of kofun, ancient Japanese burial mounds
[arXiv] 2026-06-24 | KidRisk: Benchmark Dataset for Children Dangerous Action Recognition
[arXiv] 2026-06-24 | A note on $\text{ded }κ$ and the part-whole principle
[arXiv] 2026-06-24 | GaN Power Devices and Converter Architectures for AI Data Centers: Efficiency, Reliability, and Deployment Pathways
[arXiv] 2026-06-24 | UC-Search: Risk-Aware Test-Time Search for Delayed Constrained Time-Series Control
[arXiv] 2026-06-24 | CoGeoAD: Hierarchical Color-Geometric Fusion with Multi-View Attention for Zero-Shot 3D Anomaly Detection
[arXiv] 2026-06-24 | Learning Interpretable Text Signals for Structured Responses
[ACM] 2026-6-24 | A Compact Wideband Corrugated Patch 4×4 MIMO Antenna with High Isolation for Sub-6 GHz 5G Applications
[ACM] 2026-6-24 | Learning to See the Unseen: A Machine Learning Approach for Deepfake Detection
[ACM] 2026-6-24 | Lost Spirits: An Interactive Encounter with a Fractured Soul
[ACM] 2026-6-24 | Mining Attribute-Based Access Control Policies with Large Language Models [Work in Progress Paper]
[ACM] 2026-6-24 | L
                    <scp>ambada</scp>
                    : Autoscaling Confidential Function Chains without Centralized Trust
[ACM] 2026-6-24 | Access Control in Interpersonal Abuse Contexts
[IEEE] 2026-6-24 | Projection-free Safe and Stable Reinforcement Learning for Adaptive Frequency Control
[IEEE] 2026-6-24 | Cooperative Data-Driven Safety Control Based on Distributed Gaussian Processes
[IEEE] 2026-6-24 | Adaptive Stability Control of Autonomous Electric Vehicles with Intelligent Disturbance Observer and Safe Torque Allocation
[IEEE] 2026-6-24 | Tensor-Invariant Magnetic Localization for 6-DoF Pose Estimation via Compact Magnetometer Arrays_supp1-3694427.pdf
[IEEE] 2026-6-24 | PCM2Net: Physics-Constrained Manifold Mamba Network for Optics-Guided thermal UAV image super-resolution
[IEEE] 2026-6-24 | Virtual Network Embedding Based on Hierarchical Reinforcement Learning for Admission Decision and Policy Fine-Tuning in Elastic Optical Network
[IEEE] 2026-6-24 | A Dual-Aggregation and Semantic Prototype Guided Network for Railway Point Cloud Segmentation
[IEEE] 2026-6-24 | Capacity Expansion Planning under Uncertainty subject to Adequacy Constraints
[IEEE] 2026-6-24 | Digital Redesign-Based Interval State Estimation for Continuous Systems With Aperiodic Discrete Measurements
[IEEE] 2026-6-24 | Periodic Via-Guided Stripline Circuit Design with Effective Wavelength Reduction
[IEEE] 2026-6-24 | Improving Wind Speed Forecasts Through Multi-Stage Signal Decomposition and Hierarchical Time Series
[IEEE] 2026-6-24 | Digital Active Gate Driver with Closed-Loop Current Balancing for Paralleled SiC MOSFETs Using Miniature Rogowski Coils
[IEEE] 2026-6-24 | From Isolated Minds to Networked Brains: Architecting the Internet of Brains
[IEEE] 2026-6-24 | Dual photonic-plasmonic Au-functionalized inverse-SiO
                    <sub>2</sub>
                    optical fiber sensor for
                    <i>p</i>
                    -xylene detection toward prostate cancer screening
[IEEE] 2026-6-24 | Misinformation Detection via LLM-Based Expert Discussion Network_supp1-3693762.pdf
[IEEE] 2026-6-24 | Multi-Agent VDPPO Enabled Coordinated Beam Hopping Scheduling for LEO Satellite Constellations
[IEEE] 2026-6-24 | Variable-Frequency Soft-Switching Traction Inverter Using Coupled Inductors
[IEEE] 2026-6-24 | Enhancing Communication Robustness for Leadless Pacemakers: 2-DOF Gain Compensation Across Physiologic and Pathologic Dynamics
[IEEE] 2026-6-24 | Influence of Te Atmosphere Annealing Time on Cd
                    <sub>1-x</sub>
                    Mg
                    <sub>x</sub>
                    Te Single Crystal Properties and Detector Performance
[IEEE] 2026-6-24 | Near-Field Channel Estimation for Reconfigurable Intelligent Surface: Framework, Design and Analysis
[IEEE] 2026-6-24 | Affinity-aware Serverless Function Scheduling
[ACM] 2026-6-24 | X-OCTANE: eXplainable On-Chip Telemetry-based Anomaly Notification Engine for Silicon Lifecycle Management
[IEEE] 2026-6-24 | Event-Triggered Bipartite Containment Control of Multi-Agent Systems over Signed Digraphs
[IEEE] 2026-6-24 | A Semi-Supervised Deep Learning-Based Method for Identifying Wall Surface Defects in Complex Scenes
[IEEE] 2026-6-24 | 3D Visual Coverage of UAV Based on Elastic Charging Strategy in Wide-Area Environments
[IEEE] 2026-6-24 | An Enhanced Gray Wolf Optimizer: Adaptive Tangent Flight Strategy
[IEEE] 2026-6-24 | Prescribed-Time Resilient Control for Multiagent Systems: A Novel Dynamic Memory Event-Triggered Mechanism
[IEEE] 2026-6-24 | Deep Learning-Based Model Predictive Control for Total Nitrogen Concentration in Wastewater Treatment
[IEEE] 2026-6-24 | Multi-UAV Cooperative Path Planning Based on Greedy Allocation with Environmental Cost and Soft-Guided Bidirectional Smoothing A*
[IEEE] 2026-6-24 | Design of Blind Spot Monitoring System for Electric Forklift Operation Based on Single-Chip Microcomputer
[IEEE] 2026-6-24 | An Efficient Mamba-Based BEV Framework with Predictive-Corrective Temporal Fusion
[IEEE] 2026-6-24 | Early Prediction of ADHD Using Behavioral and Demographic Features: A Comparative Study of Machine Learning and Deep Learning Models
[IEEE] 2026-6-24 | An Ensemble Deep Learning Approach for COVID-19 Detection from Chest X-Ray Images With Explainable AI
[IEEE] 2026-6-24 | Research on Lane Line Detection Optimization and Departure Warning Algorithm Under Multiple Scene
[IEEE] 2026-6-24 | Event-Triggered Adaptive-Critic-Based Tracking Control for Nonlinear Systems with Input Delay
[IEEE] 2026-6-24 | Robust Motion Control of Unmanned Surface Vehicles Via Smooth Disturbance Compensation
[IEEE] 2026-6-24 | Ergodic Capacity Analysis of NOMA-UWOC Systems Over Composite Fading Channels
[IEEE] 2026-6-24 | Optimal Scheduling of Integrated Energy System Considering Concave-Valley Carbon Price
[IEEE] 2026-6-24 | DST-Mamba: A Dual-Stream Mamba Network with MixHop for Groundwater Forecasting
[IEEE] 2026-6-24 | A Systematic Framework for Selecting Multi-Criteria Decision-Making Methods for Ship Designs
[IEEE] 2026-6-24 | Lyapunov-Guided Actor-Critic: Energy-Variation Prioritized Replay and Stability-Shaped Rewards
[IEEE] 2026-6-24 | RISC-V Based Processor Design for Edge AI Devices
[IEEE] 2026-6-24 | Neuro-Edge IDS: A Federated Neural Mutation-Driven Intrusion Detection Framework
[IEEE] 2026-6-24 | Multi Strategy Fusion Firefly Algorithm for Hybrid Flow Shop Scheduling Problem
[IEEE] 2026-6-24 | MIXR: A Multimodal Framework for Enhanced Recommendation Systems Using LLM Text Encoding, Audio, and Video Features
[IEEE] 2026-6-24 | Research on Intelligent Bearing Fault Diagnosis Based on Meta-CGAN
[IEEE] 2026-6-24 | Semi-Supervised Few-Shot Fault Diagnosis based on Causal Mechanism Consistency Priors
[IEEE] 2026-6-24 | Enhancing Multi-Step Solar Irradiance Forecasting with a Hybrid Model Integrating VMD and Attention-Based LSTM
[IEEE] 2026-6-24 | Design and Optimization of Solid-State Electrolyte Materials for Lithium-Air Batteries Based on Data-Driven Artificial Intelligence Algorithms
[IEEE] 2026-6-24 | Research on Hidden Danger and Fault Location Technology of Distribution Network Based on Correlation Analysis
[IEEE] 2026-6-24 | Game-Theoretic Decision-Making for Aircraft Routing at Junctions Under Communication Jamming
[IEEE] 2026-6-24 | Coordinated Thrust Allocation for Air Cushion Hovercraft Based on Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-6-24 | A Weak Texture Image Registration Algorithm Based on Improved Disk
[IEEE] 2026-6-24 | Extended CTC as an differential flatness based control technique
[IEEE] 2026-6-24 | Optimization of a Focused Proton Microbeam Lens System Based on a Multi-Objective Algorithm
[IEEE] 2026-6-24 | Research on Wearable Health Monitoring Devices for the Elderly: A Review
[IEEE] 2026-6-24 | Application of Dual-Interface RFID in Smart Tags for LPG Cylinders
[IEEE] 2026-6-24 | A Framework for Automated Cyber Threat Intelligence Extraction Based on Knowledge Graph
[IEEE] 2026-6-24 | Optimization Algorithm for PCB Assembly Based on Improved Genetic Algorithm
[IEEE] 2026-6-24 | CNN-LSTM Hybrid for Complete Charging Curve Prediction and SOC Estimation of Lithium-Ion Batteries with Partial Samples
[IEEE] 2026-6-24 | Current-Based Roll-Off Detection in RF Liver Ablation Using a Constant Output Voltage RF Generator
[IEEE] 2026-6-24 | KG-DDRL: A Joint Routing and Power Control Algorithm for UAV Ad Hoc Networks
[IEEE] 2026-6-24 | Congestion Control Based on Multi-Agent Deep Deterministic Policy Gradient
[IEEE] 2026-6-24 | Resilient Impulsive Scaled Consensus of Nonlinear Multi-agent Systems With Parameter Uncertainties and DoS Attacks
[IEEE] 2026-6-24 | Direct Heuristic Dynamic Programming Tracking Control for Aerial Work Platforms
[IEEE] 2026-6-24 | Integrated Design of Bus Networks and Timetable Synchronization for Multi-Modal Transit Systems
[IEEE] 2026-6-24 | Symbolic Regression Approach for Model Predictive Control
[IEEE] 2026-6-24 | Hierarchical Multi-Array Tactile Representation Learning and Diffusion Policy for Real-World Dexterous Placement Tasks
[IEEE] 2026-6-24 | Automated Detection of Human Trafficking Networks Using Multimodal Data Analytics
[IEEE] 2026-6-24 | A Modeling Method for Rapid Path-Loss Evaluation in Wireless Communications of Extravehicular Payloads on the China Space Station
[IEEE] 2026-6-24 | Quantum Resistant Security Using Multivariant Polynomial Cryptography
[IEEE] 2026-6-24 | A Low-Profile Wideband Pattern Reconfigurable Antenna Based on Dipoles for UAV Communications
[IEEE] 2026-6-24 | Research on Attitude Control Algorithm of AGV for Heavy Equipment in Complex and Rough Road Conditions
[IEEE] 2026-6-24 | Adaptive and Resource-Efficient Intrusion Detection Systems: A Focused Analytical Review for Dynamic Network Environments
[IEEE] 2026-6-24 | Fault Detection of Delayed T-S Fuzzy Systems Under Dynamic Event-Triggering WTOD Protocol
[IEEE] 2026-6-24 | Electromagnetic Signal Modulation Recognition Algorithm Based on Spatial Attention Mechanism
[IEEE] 2026-6-24 | From Offline Experience to Online Presence: How Life-Course and Demographic Factors Shape Digital Engagement
[IEEE] 2026-6-24 | A Dynamic Trust-Elimination Security-Driven Intelligence Model for Scalable AI Validation and Sustainable IoT Infrastructures
[IEEE] 2026-6-24 | Unsupervised Diagnosis of Battery Micro-Internal Short Circuits via Probability Density Functions
[IEEE] 2026-6-24 | Binary Code Similarity Detection Based on Semantically Enhanced Abstract Syntax Trees and Attention Mechanisms
[IEEE] 2026-6-24 | Dynamic Target Tracking for Agricultural Robots Based on Multi-Modal Fusion and Knowledge Distillation
[IEEE] 2026-6-24 | Improving Dynamical Performance of Frequency Control in Islanded Microgrids by Combining PI with Distributed Model Predictive Control
[IEEE] 2026-6-24 | Multi-Objective Particle Swarm Optimization for Ship Block Scheduling*
[IEEE] 2026-6-24 | Pressure Prediction in Water Distribution Networks Based on a Hybrid LSTM-Transformer Model
[IEEE] 2026-6-24 | Haptic-Guided Multi-Strategy for Orbit Decision-making of Satellite Flight
[IEEE] 2026-6-24 | Design of Continuous-Time Linear Equalizer Based on Gm-TIA Architecture
[IEEE] 2026-6-24 | Accelerated Privelet: An End-to-End Optimization Approach of Wavelet-Based Differential Privacy for High-Dimensional Time-Series
[IEEE] 2026-6-24 | PRB-RUPFormer: A Recursive Unified Probabilistic Transformer for Residual PRB Forecasting
[IEEE] 2026-6-24 | Satellite-Terrestrial Spectrum Sharing in FR3 through QoS-Aware Power Control and Spatial Nulling
[IEEE] 2026-6-24 | Maximum Correntropy Based Two-Stage Deep One-Class Classification for Robust Learning
[IEEE] 2026-6-24 | Cybersecurity-by-Design Framework for Smart Grid-Integrated Battery Energy Storage Systems
[IEEE] 2026-6-24 | Design and Verification of a Distributed Wireless Networked Measurement System for Hypersonic Aerothermal Environments
[ACM] 2026-6-24 | Blood Pattern Classification Using Transformer‑Based Image Embeddings
[ACM] 2026-6-24 | Detection of AI-Generated Text Using RoBERTa Across English and Spanish
共写入 200 条记录，保存到 papers/paper2026-06-24.json。
论文获取成功，文件路径: papers/paper2026-06-24.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Euclid Quick Data Release (Q2) -- The Euclid Galactic Bulge Survey
[NO] 2/200 | Topology-Dependent Emergence of Polychronous Neuronal Groups: A Recurrence-Plot Characterization
[NO] 3/200 | Sequential and Generative Models for Vehicular Distributed MIMO Channel Prediction
[NO] 4/200 | First-Principles Quantum-Spectral framework for Elementary Vortex Pinning in superconductors
[NO] 5/200 | Sensitivity-optimal coplanar waveguide design for broadband magnetic resonance spectroscopy: a Beer--Lambert framework
[NO] 6/200 | JWST resolves jet-driven H2 and ionized outflows in radio galaxy 3C305
[NO] 7/200 | A resolution of Erdős Problem 1061 on the sum-of-divisors function
[NO] 8/200 | Rational (quasi-)elliptic surfaces with global vector fields in odd characteristic
[NO] 9/200 | Kinetic metric for basins of attraction of RNA secondary structures and analysis of the ultrametricity of the energy landscape
[NO] 10/200 | Extremal Deletion-Ball Intersections under Run-Count and Lower-Order Deletion-Ball Intersection Constraints
[NO] 11/200 | Shift Variant Image Degradation and Restoration Using Singular Value Decomposition
[NO] 12/200 | On-Sky Single-photon Time resolution of 35 ps with White Rabbit synchronization: towards the measurement of the size of a White Dwarf star
[NO] 13/200 | Implementation and Extension of the Variance-Reduced BGK Method in PICLas
[NO] 14/200 | Designing Trustworthy LLM-based Wellbeing Recommendation through Controllable Interaction
[NO] 15/200 | Massive fields in 3D Minkowski space and boundary correlators
[NO] 16/200 | ROAD-VLA: Robust Online Adaptation via Self-Distillation for Vision-Language-Action Models
[NO] 17/200 | Peak-Robust Voting Rules
[NO] 18/200 | Non-uniqueness of weak solutions to cross-diffusion systems with advection
[NO] 19/200 | Approaching the Quantum Limit of Optical Rotatory Dispersion: From First-Principles to Single-Photon Monochromators
[NO] 20/200 | Equilibrium states for non relativistic Bose gases and the Gross-Pitaevskii limit
[NO] 21/200 | Pointwise Hurst Estimation via Scale Accumulation: A Noise-Robust Approach for Rough Volatility
[NO] 22/200 | NEURON-Fabric: Architecture-Runtime Co-Design for Controlled Low-Bit Gradient Communication
[NO] 23/200 | Stage-Aware and Roughness-Constrained Diffusion Policy for Multi-Stage Robotic Polishing
[NO] 24/200 | Black-Box Assisted Regression: Phase Transitions and Minimax Optimality
[NO] 25/200 | Radial Schmidt mode detector of entangled photons
[NO] 26/200 | Tracing Target Answers in Poisoned Retrieval Corpora via Token Influence Attribution
[NO] 27/200 | What Does the Brain See? Multiview Neural Representations to Demystify the Brain-Visual Alignment
[NO] 28/200 | Gap-Aware Exact Nonnegative Matrix Factorization: A Two-Sided SVD Gauge and a Three-Regime W-Rank Taxonomy
[NO] 29/200 | Frequency-Aware Self-Supervised Music Representation Learning
[NO] 30/200 | Cellular Predictions on the Move: What about Data?
[NO] 31/200 | Asymmetry-Induced Chiral Dynamics in Coupled Self-Propelled Robots: Spinning and Circular Motion
[NO] 32/200 | $K^-$-Driven Direct Urca Cooling in Rotating Neutron Stars: A Bayesian Study
[NO] 33/200 | A Quadratic $G^1$ Spline Approximation of the Sphere over Uniform Polyhedra
[NO] 34/200 | A Two-Stage Decision Support System for Sustainability-Aware Long Short Portfolio Optimization
[NO] 35/200 | The weighted $L^2$-Caffarelli-Kohn-Nirenberg inequalities for the curl-free vector fields and second order derivatives: The sharp constants and stability estimates
[NO] 36/200 | Choosing What to Calibrate and What to Estimate in Structural Models
[NO] 37/200 | Unveiling the Trans-Neptunian Region with the SKA
[NO] 38/200 | Opinion Dynamics over Migration Networks
[NO] 39/200 | Rate Programmable Ionic-Redox Switching with Tunable Volatility in CuCrP2S6
[NO] 40/200 | Towards a Dynamic and Fixed-budget Memory Bank for Efficient Streaming Video Understanding
[NO] 41/200 | Calousel: Extrinsic Calibration of Non-overlapping Multi-camera Systems from Pure Rotation
[NO] 42/200 | Towards Robust Optimal Measurements Against Noise in Quantum Metrology
[NO] 43/200 | A Wideband Millimeter-wave Receiver at 120-350 GHz for LMT-FINER
[NO] 44/200 | Staying In Character: Perspective-Bounded Memory For Book-Based Role-Playing Agents
[NO] 45/200 | Local existence and blow-up behavior for the diffusive Hamilton-Jacobi equation in a half-space with unbounded initial data
[NO] 46/200 | Times of arrival (TOA) of signals in the Kerr-MOG black hole
[NO] 47/200 | Evolved massive stars and their impact on their environment
[NO] 48/200 | Low-Complexity Policy Tessellations in Structured Markov Decision Processes
[NO] 49/200 | Leaking Circuit Secrets: Gradient Leakage Attacks on Graph Neural Networks
[NO] 50/200 | ML-MAWS: Alignment-Free Maximum Likelihood Phylogeny Estimation Using Minimal Absent Words
[NO] 51/200 | Cross-Attention Multimodal Learning for Predicting Response to Neoadjuvant Imatinib in Gastrointestinal Stromal Tumors: A Multicenter Retrospective Study
[NO] 52/200 | Extremal Effective Cycles and Nef Line Bundles on \(\overline{\rm{M}}_{g,n}\)
[NO] 53/200 | Riazi-8B: An Urdu Large Language Model for Mathematical Reasoning
[NO] 54/200 | Galactic microlensing by acoustic Schwarzschild black holes
[NO] 55/200 | Developing fast, accurate and spin pure calculations of organic diradical electronic structure
[NO] 56/200 | Disease-Centric Vision-Language Pretraining with Hybrid Visual Encoding for 3D Computed Tomography
[NO] 57/200 | Compact Objects Revealed by SKA and SKA-VLBI
[NO] 58/200 | Mode-locking in a colloidal ring driven by power-modulated optical tweezers
[NO] 59/200 | STEB: A Speech-to-Speech Translation Expressiveness Benchmark for Evaluating Beyond Translation Fidelity
[NO] 60/200 | The impact of artificial intelligence on enterprise software user roles
[NO] 61/200 | A Path-Survival Analytical Framework for SCL Decoding of Polar Code
[NO] 62/200 | Efficient Krylov solvers for inverse source problem in 2D space-time fractional diffusion equation
[NO] 63/200 | Physical Characteristics of the Asteroid (469219) Kamo'oalewa as a target of the Chinese Tianwen-2 mission
[NO] 64/200 | Generalized convexity of spectral functions on Euclidean Jordan algebras
[NO] 65/200 | Implementation of DIS at N$^3$LO for PDF determination
[NO] 66/200 | Understanding Geopolitical Alignments Through Covariate Augmented Spectral Clustering of Heterogeneous UNGA Voting Data
[NO] 67/200 | Towards analysis-aware geometry defeaturing for inception voltage predictions
[NO] 68/200 | An inequality for Jacobi polynomials: a complement to Finite Increment Theorem
[NO] 69/200 | Blasto-Net: An Explainable Multi-Task Learning for Blastocyst Segmentation, Grading, and Implantation Prediction
