[2026-05-06 11:00:55] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-05
正在获取论文...
[arXiv] 2026-05-05 | WorldJen: An End-to-End Multi-Dimensional Benchmark for Generative Video Models
[arXiv] 2026-05-05 | LLM-XTM: Enhancing Cross-Lingual Topic Models with Large Language Models
[arXiv] 2026-05-05 | Neural Control: Adjoint Learning Through Equilibrium Constraints
[arXiv] 2026-05-05 | Characterizing Finite Groups via Subgroup Perfect Codes
[arXiv] 2026-05-05 | The consecutive lifting-projection flow as an approximation of Boltzmann and Landau flow
[arXiv] 2026-05-05 | Ultrafast acoustic modulation of second-harmonic generation in monolayer transition metal dichalcogenides
[arXiv] 2026-05-05 | Partial Effective Information Decomposition for Synergistic Causality
[arXiv] 2026-05-05 | Intrinsic effective sample size for manifold-valued Markov chain Monte Carlo via kernel discrepancy
[arXiv] 2026-05-05 | MultiLRSGA: A method for multi-player differentiable games
[arXiv] 2026-05-05 | The Right Answer, the Wrong Direction: Why Transformers Fail at Counting and How to Fix It
[arXiv] 2026-05-05 | Revisiting the Stress Field Inside an Elastic Sphere Subjected to a Concentrated Load
[arXiv] 2026-05-05 | Modular flow of Celestial Conformal Field Theory
[arXiv] 2026-05-05 | Exploring Sustainability in Scientific Software through Code Quality & Test Coverage Metrics
[arXiv] 2026-05-05 | On Model-Based Clustering With Entropic Optimal Transport
[arXiv] 2026-05-05 | Squid-inspired soft superpropulsion
[arXiv] 2026-05-05 | LIPPEN: A Lightweight In-Place Pointer Encryption Architecture for Pointer Integrity
[arXiv] 2026-05-05 | Transformers with Selective Access to Early Representations
[arXiv] 2026-05-05 | UnAC: Adaptive Visual Prompting with Abstraction and Stepwise Checking for Complex Multimodal Reasoning
[arXiv] 2026-05-05 | Integrating Feature Correlation in Differential Privacy with Applications in DP-ERM
[arXiv] 2026-05-05 | Reservoir property image slices from the Groningen gas field for image translation and segmentation
[arXiv] 2026-05-05 | Some Taylor varieties with null Hessian
[arXiv] 2026-05-05 | Exact ReLU realization of tensor-product refinement iterates
[arXiv] 2026-05-05 | Lattice characterization of cyclic interval hypergraphic posets
[arXiv] 2026-05-05 | The Multiplicative Quasi-Instrumental Variable Model
[arXiv] 2026-05-05 | Computing Planar Convex Hulls with a Promise
[arXiv] 2026-05-05 | Bundles of Probability Schemes
[arXiv] 2026-05-05 | Quasimonophobic graphs and degree spectral sequences in discrete cubical homology
[arXiv] 2026-05-05 | Properties and implications of the four-loop non-singlet splitting functions in QCD
[arXiv] 2026-05-05 | Classical correlation functions at strong coupling from hexagonalization
[arXiv] 2026-05-05 | Raising the Ceiling: Better Empirical Fixation Densities for Saliency Benchmarking
[arXiv] 2026-05-05 | Deco: Extending Personal Physical Objects into Pervasive AI Companion through a Dual-Embodiment Framework
[arXiv] 2026-05-05 | DMGD: Train-Free Dataset Distillation with Semantic-Distribution Matching in Diffusion Models
[arXiv] 2026-05-05 | Bodyless Presence: Reconsidering the Minimal Self in Immersive Video
[arXiv] 2026-05-05 | Correct Is Not Enough: Training Reasoning Planners with Executor-Grounded Rewards
[arXiv] 2026-05-05 | Aspect-Aware Content-Based Recommendations for Mathematical Research Papers
[arXiv] 2026-05-05 | A Deeper Dive into the Irreversibility of PolyProtect: Making Protected Face Templates Harder to Invert
[arXiv] 2026-05-05 | Complex Equation Learner: Rational Symbolic Regression with Gradient Descent in Complex Domain
[arXiv] 2026-05-05 | Reply to Comment on "Controlling the Dynamical Evolution of Quantum Coherence and Quantum Correlations in $e^{+}e^{-} \to Λ\barΛ$ Processes at BESIII"
[arXiv] 2026-05-05 | A Berry-Esseen Bound for Quantum Lattice Systems
[arXiv] 2026-05-05 | Data-driven Initial Gap Identification of Piecewise-linear Systems using Sparse Regression and Universal Approximation Theorem
[arXiv] 2026-05-05 | Epsilon multiplicity, multiplicity=volume formula and analytic spread of family of ideals
[arXiv] 2026-05-05 | ConRAD: Conformal Risk-Aware Neural Databases
[arXiv] 2026-05-05 | Graph Convolutional Support Vector Regression for Robust Spatiotemporal Forecasting of Urban Air Pollution
[arXiv] 2026-05-05 | Honest Reporting in Scored Oversight: True-KL0 Property via the Prekopa Principle
[arXiv] 2026-05-05 | Training-Free Probabilistic Time-Series Forecasting with Conformal Seasonal Pools
[arXiv] 2026-05-05 | Empirical Bernstein Confidence Intervals for Kernel Smoothers: A Safe and Sharp Way to Exhaust Assumed Smoothness
[arXiv] 2026-05-05 | Attosecond-Stable Two-Dimensional Spectroscopy by a Sagnac-Based Modulating System and a sub-4-fs Continuum Source
[arXiv] 2026-05-05 | First-Order Transitions in Weak Ising Spin-Orbit-Coupled Superconductors
[arXiv] 2026-05-05 | Thermal activation rate of dilute axion stars close to the maximum mass
[arXiv] 2026-05-05 | Nora: Normalized Orthogonal Row Alignment for Scalable Matrix Optimizer
[arXiv] 2026-05-05 | The high K anomaly in ScAlN explained
[arXiv] 2026-05-05 | Effect of Adding Wave Diffractors Within Reverberation Chambers on the Frequency Spacing of Adjacent Resonant Modes
[arXiv] 2026-05-05 | A density-matrix derivation of the Hartree--Fock equations in a nonorthogonal atomic-orbital basis
[arXiv] 2026-05-05 | Before Forgetting, Learn to Remember: Revisiting Foundational Learning Failures in LVLM Unlearning Benchmarks
[arXiv] 2026-05-05 | Dark Matter Production from Bubble Collisions during a First-Order Phase Transition at the End of Inflation
[arXiv] 2026-05-05 | Improved estimation of positive powers of scale parameters of exponential distributions under a prior information
[arXiv] 2026-05-05 | Internet of Things Security: A Survey on Common Attacks
[arXiv] 2026-05-05 | Assessing the role of ITER ECE oblique view in resolving non-thermal emissions
[arXiv] 2026-05-05 | Ensemble Engineering to Overcome Destructive Cancellation in Quantum Measurements
[arXiv] 2026-05-05 | SAM-NER: Semantic Archetype Mediation for Zero-Shot Named Entity Recognition
[arXiv] 2026-05-05 | Doubly Robust Instrumented Difference-in-Differences
[arXiv] 2026-05-05 | Error Analysis of Time-Dependent Test Functions in the Semi-Lagrangian Discontinuous Finite Element Scheme Based on the Characteristic Galerkin Method
[arXiv] 2026-05-05 | Local estimation of transition rates of jump processes through discretization
[arXiv] 2026-05-05 | On Regular Quantum Commutative Algebras
[arXiv] 2026-05-05 | Real Image Denoising with Knowledge Distillation for High-Performance Mobile NPUs
[arXiv] 2026-05-05 | MEMTIER: Tiered Memory Architecture and Retrieval Bottleneck Analysis for Long-Running Autonomous AI Agents
[ACM] 2026-5-5 | SciGraph-LLM: Automatic Knowledge Graph Construction from Scientific Papers
[ACM] 2026-5-5 | Selective LLM-Guided Regularization for Enhancing Recommendation Models
[ACM] 2026-5-5 | Smart Transportation Networks Leveraging AI and Edge Computing for Real-Time Route Optimization
[ACM] 2026-5-5 | Causal Discovery for Biology: From Molecular to Disease Networks
[ACM] 2026-5-5 | Research on the Pattern Design of Doors and Windows in Tuanshan Village Based on AIGC and Entropy Weight TOPSIS Method
[IEEE] 2026-5-5 | Dual-Mode History-Dependent Attack Strategy Design for Cyber-Physical Systems
[IEEE] 2026-5-5 | Condition Number Analysis for MIMO-OTFS Communication Systems
[IEEE] 2026-5-5 | Dynamic Event-Triggered Robust Switching Control for Path Tracking of Electric Semi-Trailer Trucks in Varying-Curvature Paths
[IEEE] 2026-5-5 | Contents
[IEEE] 2026-5-5 | Committees
[IEEE] 2026-5-5 | Table of Contents
[IEEE] 2026-5-5 | Message from Patron
[IEEE] 2026-5-5 | A Recurrent Neural Network-Enhanced Supertwisting Pitch Controller for Floating Offshore Wind Turbines: Nonlinear Synthesis and HIL Validation
[IEEE] 2026-5-5 | 3D measurement of precision parts in complex environments based on line structured light and deep learning
[IEEE] 2026-5-5 | Workload-Adaptive Data Tiering in Lakehouse Analytics via Multi-Model Machine Learning
[IEEE] 2026-5-5 | Lidar Signal Fusion Method Based on AI-Driven Saturation Detection and Nonlinear Calibration
[IEEE] 2026-5-5 | Half Title Page
[IEEE] 2026-5-5 | Autoregressive Styled Text Image Generation, but Make it Reliable
[IEEE] 2026-5-5 | Learning Action Hierarchies via Hybrid Geometric Diffusion
[IEEE] 2026-5-5 | FNOpt: Resolution-Agnostic, Self-Supervised Cloth Simulation using Meta-Optimization with Fourier Neural Operators
[IEEE] 2026-5-5 | ProSeg-Net: A 2D and 3D U-Net Framework for Prostate MRI Segmentation
[IEEE] 2026-5-5 | FarmScope Agricultural Crop Recommendation With Chatbot using ML and DL
[IEEE] 2026-5-5 | Advancing Recruitment Equity using AI solutions to combat Motherhood Discrimination in the workplace
[IEEE] 2026-5-5 | Quantum Powered Fraud Detection: Identifying Fake URLs, Fake Emails, and Fraud Transactions Using QSVC, QNN, VQC
[IEEE] 2026-5-5 | Phishnet: Real-Time URL Analysis for Zero-Day Phishing Detection Using Ensemble Learning
[IEEE] 2026-5-5 | Audio-to-Text Conversion with Speaker Identification
[IEEE] 2026-5-5 | Parallel Temperature Forecasting on a Slurm-Managed Hpc Cluster
[IEEE] 2026-5-5 | VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration
[IEEE] 2026-5-5 | A Low-Cost Smart IoT-Enabled Multimodal Sanitation System for Health Monitoring and Urinary–GI Disorders Detection via Bio-Waste Analysis
[IEEE] 2026-5-5 | Efficient Vision Transformers via Token Merging with Head-Wise Attention Correction
[IEEE] 2026-5-5 | Understanding Generative AI Capabilities in Everyday Image Editing Tasks
[IEEE] 2026-5-5 | Hybrid Decentralization for Real-Time Messaging: A Smart Contract and IPFS-Based Approach on Ethereum
[IEEE] 2026-5-5 | Enhancing Cryptographic Key Distribution Using Hybrid Quantum Classical Paradigms
[IEEE] 2026-5-5 | Design and Development of High Efficient Multiport Bidirectional DC-DC Converter for Charging Applications
[IEEE] 2026-5-5 | Empirical Evaluation of Software Task Effort Prediction Using Natural Language Descriptions
[IEEE] 2026-5-5 | Ai-Driven Gesture and Emotion-Responsive 3D Avatar System for Multilingual Deaf-Mute Communication
[IEEE] 2026-5-5 | Neuro-Quantum Cyber Security Defenders for Intelligent Threat Prediction in Healthcare Data Management
[IEEE] 2026-5-5 | Evaluating the Impact of Differential Privacy on the Reliability of Machine Learning Models: A Case Study on LendingClub Loan Data
[IEEE] 2026-5-5 | Role Artificial Intelligence in Direct Taxation : Opportunities and Futuristic Challenges
[IEEE] 2026-5-5 | Interpreatble Deep Learning for Brain Tumour Analysis: Fusing U-Net Segmentation With Grad-CAM Visual Explanations
[IEEE] 2026-5-5 | Identity Verification from Human Scent using Channel Representation of 2D Gas Chromatography-Mass Spectrometry Data
[IEEE] 2026-5-5 | Scalable Smart City Analytics Through SmartFusion-Grid: A Unified Data Engineering Approach
[IEEE] 2026-5-5 | Deconstructing Prompt Strategies: Evaluating Generative AI for Latency, Relevance, and Depth in Domain-Specific Tasks
[IEEE] 2026-5-5 | Style Mate: A Comparative Analysis of Outfit Compatibility Predictor in Fashion Technology Employing Machine Learning Models
[IEEE] 2026-5-5 | The Impact of Product Perceived Quality, Environmental Responsibility, and Brand Trust on Gen Z: Examining the Moderating Effects of Fear of Missing Out and Social Media
[IEEE] 2026-5-5 | Autonomous Multi-Agent Architecture for Intelligent Precision Farming
[IEEE] 2026-5-5 | Advancing Potato Leaf Disease Detection: A YOLOv8n-Based Deep Learning Approach for Mobile and IoT Applications
[IEEE] 2026-5-5 | Performance Analysis of Grover’s Algorithm Under Noise: A Simulation-Driven Study with Error Mitigation and Hybrid Bloom–Grover Search
[IEEE] 2026-5-5 | A Hybrid Haar Cascade Approach for Novel Drowsiness Detection
[IEEE] 2026-5-5 | Sentiment Analysis of Public Feedback on Government Schemes using Social Media
[IEEE] 2026-5-5 | Federated Learning for Alzheimer's Disease: Integrating Neuroimaging and Genomic Biomarkers Using Multi-Center MRI Data
[IEEE] 2026-5-5 | MultiModal AI for Advanced Spam Detection: Securing Enterprise Communication Channels
[IEEE] 2026-5-5 | A Legally Trustworthy and Sustainable AI Framework for Automated Legal Systems
[IEEE] 2026-5-5 | Deep Learning–Driven Intelligent System for Early and Accurate Skin Cancer Diagnosis
[IEEE] 2026-5-5 | White Blood Cell Recognition Through Transfer Learning and Deep Fine-Tuning
[IEEE] 2026-5-5 | RAT4D: Rig and Animate Objects without Surface Templates in 4D
[IEEE] 2026-5-5 | Crowd Behavior Monitoring for Panic or Stampede Prediction using Video Analytics and Multi-Parameter Sensor Fusion
[IEEE] 2026-5-5 | Coconut Water Based Electrolyte Gel
[IEEE] 2026-5-5 | LASER: Lip Landmark Assisted Speaker Detection for Robustness
[IEEE] 2026-5-5 | Diverse Sketch Colorization with Content-Enhanced Style Representation and Recolorization Distillation
[IEEE] 2026-5-5 | Better Safe Than Sorry? Overreaction Problem of Vision Language Models in Visual Emergency Recognition
[IEEE] 2026-5-5 | Style-Friendly SNR Sampler for Style-Driven Generation
[IEEE] 2026-5-5 | Test-Time Consistency in Vision Language Models
[IEEE] 2026-5-5 | Sketch2Stitch: GANs for Abstract Sketch-Based Dress Synthesis
[IEEE] 2026-5-5 | BankDefender - A Cognitive Dark Web Threat Intelligence Framework for Banking Sector
[IEEE] 2026-5-5 | Research on Grid Fault Detection Technology Based on BeiDou Technology
[IEEE] 2026-5-5 | Analysis of Voltage Fluctuations in Photovoltaic Power Stations Considering Meteorological Factor Weights on Similar Days
[IEEE] 2026-5-5 | Improved Flood Management and Risk Communication Through LLM
[IEEE] 2026-5-5 | ICONIC-444: A 3.1-Million-Image Dataset for OOD Detection Research
[IEEE] 2026-5-5 | Chiplet-Based Hardware Security and IC Traceability: A Review of PUFs, Die Identifiers, and Secure Packaging Techniques
[IEEE] 2026-5-5 | DTMIR-Pro: Domain Translation with Prompt-based Latent-Space Generalization for Multi-Weather Image Restoration
[IEEE] 2026-5-5 | Exploring the Artificial Intelligence (AI) for Intrusion Detection System in Network Traffic Analysis for Improved Cybersecurity
[IEEE] 2026-5-5 | Data-Driven Lipschitz Continuity: A Cost-Effective Approach to Improve Adversarial Robustness
[IEEE] 2026-5-5 | TA-Prompting: Enhancing Video Large Language Models for Dense Video Captioning via Temporal Anchors
[IEEE] 2026-5-5 | R-MMA: Enhancing Vision-Language Models with Recurrent Adapters for Few-Shot and Cross-Domain Generalization
[IEEE] 2026-5-5 | SmokeBench: Evaluating Multimodal Large Language Models for Wildfire Smoke Detection
[IEEE] 2026-5-5 | Intelligent Decision-Making for Patent-Standard Collaborative Transformation in the Power Industry: An Explainable Multi-Task Learning Framework
[IEEE] 2026-5-5 | SAFE Metrics for Neural Inferences at the Edge
[IEEE] 2026-5-5 | A Multi-Scale Fusion Attention U-Net for Accurate Thyroid Cancer Ultrasound Image Segmentation
[IEEE] 2026-5-5 | GeoNBeats: Unified Spatio-Temporal Neural Basis Expansion for Air Quality Estimation in Sparse Sensor Networks
[IEEE] 2026-5-5 | Modeling and Control of a Two-Agent Aerial System for Dynamic Throw-and-Catch Maneuvers
[IEEE] 2026-5-5 | Standardizing and Facilitating Machine Learning Model Performance Comparison with the UFLAS Framework
[IEEE] 2026-5-5 | Agri-Aid: A Hybrid Embedded IoT-AI Framework for Smart Irrigation and Plant Disease Detection
[IEEE] 2026-5-5 | Event-Driven Financial Close Automation Using Universal Journal and Embedded Analytics in SAP S/4HANA
[IEEE] 2026-5-5 | Loot Boxes System: The Algorithm, Players' Consumption Psychology and Social Controversy Behind It
[IEEE] 2026-5-5 | Smart Traffic on AWS: AI Meets Data Engineering and IoT
[IEEE] 2026-5-5 | Dynamic Traffic Signal Control for Emergency Vehicle Prioritization
[IEEE] 2026-5-5 | Beyond Paired Data: Self-Supervised UAV Geo-Localization from Reference Imagery Alone
[IEEE] 2026-5-5 | Detection-Driven Object Count Optimization for Text-to-Image Diffusion Models
[IEEE] 2026-5-5 | RemEdit: Efficient Diffusion Editing with Riemannian Geometry
[IEEE] 2026-5-5 | ImageChain: Advancing Sequential Image-to-Text Reasoning in Multimodal Large Language Models
[IEEE] 2026-5-5 | AFL-PRF: Adaptive Federated Learning for Low-Quality Data: Enhancing Performance, Robustness, and Fairness
[IEEE] 2026-5-5 | DOTGraph: CLIP-Driven Feature Disentanglement and Optimal Transport based Graph Learning for Few-Shot Segmentation
[ACM] 2026-5-5 | Algorithmic Trading and AI-Enhanced Portfolio Management for Revenue Optimization in Commercial Banking
[ACM] 2026-5-5 | Utilizing Green Technology System Applications in Energy Management: Green Economy Transition
[ACM] 2026-5-5 | The Impact of Tourism Digitalization on Sustainable Growth: An ARDL approach
[ACM] 2026-5-5 | AI-Powered Decision Support Systems for Trade Union Strategic Planning: Integrating Cloud Analytics with Collective Bargaining Intelligence
[ACM] 2026-5-5 | Digital Twins and AI-Driven Cybersecurity for Intelligent Transportation Networks
[IEEE] 2026-5-5 | Integrating Pseudo-Supervision and Spatial Constraints for Efficient Clustering of Multimodal Remote Sensing Data
[IEEE] 2026-5-5 | Flight Dynamics to Sensing Modalities: Exploiting Drone Ground Effect for Accurate Edge Detection
共写入 200 条记录，保存到 papers/paper2026-05-05.json。
论文获取成功，文件路径: papers/paper2026-05-05.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | WorldJen: An End-to-End Multi-Dimensional Benchmark for Generative Video Models
[NO] 2/200 | Quantum Resource Estimation for Minimising Energy Grid Losses
[NO] 3/200 | Asymptotic properties of random monomial ideals
[NO] 4/200 | A duality for definable subcategories and its application to torsion classes
[NO] 5/200 | VL-SAM-v3: Memory-Guided Visual Priors for Open-World Object Detection
[NO] 6/200 | High-Redshift Gravitational Lens Discoveries in JWST NIRCam Using AnomalyMatch
[NO] 7/200 | Exposing LLM Safety Gaps Through Mathematical Encoding:New Attacks and Systematic Analysis
[NO] 8/200 | Demonstration of a compact optical resonator-based displacement sensing technique with sub-femtometer precision
[NO] 9/200 | DD-pair production in the parton Reggeization approach taking into account single and double parton scattering scenarios
[NO] 10/200 | DynaTab: Dynamic Feature Ordering as Neural Rewiring for High-Dimensional Tabular Data
[NO] 11/200 | Replacing Parameters with Preferences: Federated Alignment of Heterogeneous Vision-Language Models
[NO] 12/200 | Behaviour of Certain Crystalline Representations modulo $2$
[NO] 13/200 | Adaptive Dual-Path Framework for Covert Semantic Communication
[NO] 14/200 | Identification of Clock Ensemble Noise Parameters Using Differential Measurement Analysis
[NO] 15/200 | Flow instability in Stokes layer of Carreau fluids
[NO] 16/200 | Critical study of A. Eswari and S. Sarvana kumar, "Chronoamperometric response of electrochemical reaction diffusion system: a new theoretical and numerical investigation for EC2 scheme", in J. Iran. Chem. Soc. 21(8), (2024), 2183-2199
[NO] 17/200 | DACP: A Scientific Data Access and Collaboration Protocol
[NO] 18/200 | Sparkling bubbles in chiral active fluids
[NO] 19/200 | Adaptive Estimation and Optimal Control in Offline Contextual MDPs without Stationarity
[NO] 20/200 | Two Calls, Two Moments, and the Vote-Accuracy Curve of Repeated LLM Inference
[NO] 21/200 | Learning Dynamics of Zeroth-Order Optimization: A Kernel Perspective
[NO] 22/200 | SoDa2: Single-Stage Open-Set Domain Adaptation via Decoupled Alignment for Cross-Scene Hyperspectral Image Classification
[NO] 23/200 | Scalar bosonic oscillator fields in LV-wormholes
[NO] 24/200 | Optimal error bounds on the exponential wave integrator for nonlinear Schrödinger equations with highly singular potential
[NO] 25/200 | VLMaxxing through FrameMogging Training-Free Anti-Recomputation for Video Vision-Language Models
[NO] 26/200 | The depth function of powers of cover ideals of path graphs
[NO] 27/200 | Inclusive breakup of three-body projectiles: A unified four-body framework for pair-detected and single-particle observables
[NO] 28/200 | Automated Large-scale CVRP Solver Design via LLM-assisted Flexible MCTS
[NO] 29/200 | Superposition of quasi coherent Bohm Madelung waves
[NO] 30/200 | Explosion versus decay for boundary derivatives of $p$-harmonic functions as $p$ tends to 1: nonlocality
[NO] 31/200 | Does $ψ(4660)$ exist?
[NO] 32/200 | Forward--Backward Green Cosine Geometry for Directed Community Detection and Overlap Expansion
[NO] 33/200 | Quantitative cavity-enhanced photothermal dynamics in TMDC-integrated ultrahigh-Q microcavities
[NO] 34/200 | TACO: Trajectory Aligning Cross-view Optimisation
[NO] 35/200 | When to Think, When to Speak: Learning Disclosure Policies for LLM Reasoning
[NO] 36/200 | LLM-XTM: Enhancing Cross-Lingual Topic Models with Large Language Models
[NO] 37/200 | Neural Control: Adjoint Learning Through Equilibrium Constraints
[NO] 38/200 | Characterizing Finite Groups via Subgroup Perfect Codes
[NO] 39/200 | The consecutive lifting-projection flow as an approximation of Boltzmann and Landau flow
[NO] 40/200 | Ultrafast acoustic modulation of second-harmonic generation in monolayer transition metal dichalcogenides
[NO] 41/200 | Partial Effective Information Decomposition for Synergistic Causality
[NO] 42/200 | Intrinsic effective sample size for manifold-valued Markov chain Monte Carlo via kernel discrepancy
[NO] 43/200 | MultiLRSGA: A method for multi-player differentiable games
[NO] 44/200 | The Right Answer, the Wrong Direction: Why Transformers Fail at Counting and How to Fix It
[NO] 45/200 | Revisiting the Stress Field Inside an Elastic Sphere Subjected to a Concentrated Load
[NO] 46/200 | Modular flow of Celestial Conformal Field Theory
[NO] 47/200 | Exploring Sustainability in Scientific Software through Code Quality & Test Coverage Metrics
[NO] 48/200 | On Model-Based Clustering With Entropic Optimal Transport
[NO] 49/200 | Squid-inspired soft superpropulsion
[NO] 50/200 | LIPPEN: A Lightweight In-Place Pointer Encryption Architecture for Pointer Integrity
[NO] 51/200 | Transformers with Selective Access to Early Representations
[NO] 52/200 | UnAC: Adaptive Visual Prompting with Abstraction and Stepwise Checking for Complex Multimodal Reasoning
[NO] 53/200 | Integrating Feature Correlation in Differential Privacy with Applications in DP-ERM
[NO] 54/200 | Reservoir property image slices from the Groningen gas field for image translation and segmentation
[NO] 55/200 | Some Taylor varieties with null Hessian
[NO] 56/200 | Exact ReLU realization of tensor-product refinement iterates
[NO] 57/200 | Lattice characterization of cyclic interval hypergraphic posets
[NO] 58/200 | The Multiplicative Quasi-Instrumental Variable Model
[NO] 59/200 | Computing Planar Convex Hulls with a Promise
[NO] 60/200 | Bundles of Probability Schemes
[NO] 61/200 | Quasimonophobic graphs and degree spectral sequences in discrete cubical homology
[NO] 62/200 | Properties and implications of the four-loop non-singlet splitting functions in QCD
[NO] 63/200 | Classical correlation functions at strong coupling from hexagonalization
[NO] 64/200 | Raising the Ceiling: Better Empirical Fixation Densities for Saliency Benchmarking
[NO] 65/200 | Deco: Extending Personal Physical Objects into Pervasive AI Companion through a Dual-Embodiment Framework
[NO] 66/200 | DMGD: Train-Free Dataset Distillation with Semantic-Distribution Matching in Diffusion Models
[NO] 67/200 | Bodyless Presence: Reconsidering the Minimal Self in Immersive Video
[NO] 68/200 | Correct Is Not Enough: Training Reasoning Planners with Executor-Grounded Rewards
[NO] 69/200 | Aspect-Aware Content-Based Recommendations for Mathematical Research Papers
[NO] 70/200 | A Deeper Dive into the Irreversibility of PolyProtect: Making Protected Face Templates Harder to Invert
[NO] 71/200 | Complex Equation Learner: Rational Symbolic Regression with Gradient Descent in Complex Domain
[NO] 72/200 | Reply to Comment on "Controlling the Dynamical Evolution of Quantum Coherence and Quantum Correlations in $e^{+}e^{-} \to Λ\barΛ$ Processes at BESIII"
[NO] 73/200 | A Berry-Esseen Bound for Quantum Lattice Systems
[NO] 74/200 | Data-driven Initial Gap Identification of Piecewise-linear Systems using Sparse Regression and Universal Approximation Theorem
[NO] 75/200 | Epsilon multiplicity, multiplicity=volume formula and analytic spread of family of ideals
[NO] 76/200 | ConRAD: Conformal Risk-Aware Neural Databases
[NO] 77/200 | Graph Convolutional Support Vector Regression for Robust Spatiotemporal Forecasting of Urban Air Pollution
[NO] 78/200 | Honest Reporting in Scored Oversight: True-KL0 Property via the Prekopa Principle
[NO] 79/200 | Training-Free Probabilistic Time-Series Forecasting with Conformal Seasonal Pools
[NO] 80/200 | Empirical Bernstein Confidence Intervals for Kernel Smoothers: A Safe and Sharp Way to Exhaust Assumed Smoothness
[NO] 81/200 | Attosecond-Stable Two-Dimensional Spectroscopy by a Sagnac-Based Modulating System and a sub-4-fs Continuum Source
[NO] 82/200 | First-Order Transitions in Weak Ising Spin-Orbit-Coupled Superconductors
[NO] 83/200 | Thermal activation rate of dilute axion stars close to the maximum mass
[NO] 84/200 | Nora: Normalized Orthogonal Row Alignment for Scalable Matrix Optimizer
[NO] 85/200 | The high K anomaly in ScAlN explained
