[2026-06-21 11:40:29] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[NO] 7/100 | Bayesian Experimental Design-Guided LLM for Active Trainset Selection in Model Fine-Tuning for Energy Prediction
[NO] 8/100 | Engagement Is Not Transfer: A Withdrawal Study of a Consumer Social Robot with Autistic Children at Home
[NO] 9/100 | Child-Involved Group Prioritization: Effects of Group Composition on Experience, Participation Level, and Interaction
[NO] 10/100 | Inside Voice, Outside Voice
[NO] 11/100 | Navigating the AI Era: A Multi-Step Approach to Family AI Literacy and Mediation for Young Children
[NO] 12/100 | ABODES: An Agent-Based Framework for Evaluating Hybrid Work Policies Across Energy and Social Infrastructure
[NO] 13/100 | Designing Extended Reality (XR) Tools for Autistic Children: A Literature Review
[NO] 14/100 | From Clicking to Moving: Embodied Micro-Movements as an Interaction Modality for Data Literacy Learning
[NO] 15/100 | Exploring Student Perspectives on Interacting with Social Robots for Homework
[NO] 16/100 | “Because It was on the Computer!” Young Children’s Perceived Humanness of Conversational AI
[NO] 17/100 | Proceedings of the 2026 ACM Sustainability Week
[NO] 18/100 | Trust in Human-Cyber-Physical Energy Systems: Vision &amp; State of the Art
[NO] 19/100 | Beyond Adoption: Early Insights on Iterative Technology Appropriation in Early Childhood Classrooms
[NO] 20/100 | Using 3D Printing to Develop Adolescents’ Self-Directed and 21st-Century Skills in Classrooms: Initial Findings from a Pilot Study
[NO] 21/100 | SCALFLEX: A Scalable Heuristic Framework for Distributed Energy Flexibility and Grid Tariff Optimization
[NO] 22/100 | Bayesian-Calibrated Posterior-Ensemble Reinforcement Learning for Robust HVAC Control under Model Uncertainty
[NO] 23/100 | Social Understanding, Placeness, and Identity Alignment: A Design Framework for Friendship-Supportive Youth Social Media
[NO] 24/100 | Exploring children’s visions for an AI-enabled education
[NO] 25/100 | Designing Robots to Support Parent-Child Connections: Opportunities Through Robot-Mediated Communication
[NO] 26/100 | Participation and Power: A Case Study of Using Ecological Momentary Assessment to Engage Adolescents in Academic Research
[NO] 27/100 | GATHER TO GLOW: AN AUTONOMY-SUPPORTIVE GAME FOR PARENT–CHILD CO-PLAY
[NO] 28/100 | Semantic Interoperability Enhancement Framework for Energy Data Management
[NO] 29/100 | Asynchronous Coordination in Local Energy Systems
[NO] 30/100 | Is Wildfire Smoke a Voltage Regulation Risk in PV-rich Distribution Grids?
[NO] 31/100 | From critique to action? Reflections on transformative agency in school-based computational empowerment
[NO] 32/100 | Understanding Deception: A qualitative study of children's interactions with deceptive design in digital games
[NO] 33/100 | Linking Occupant Preferences, Space Selection Behavior, and Experienced IEQ to Well-Being in a Flexible Workplace
[NO] 34/100 | Simulation of Temperature in a Naturally Ventilated Office Space Using Machine Learning and Comparison with Traditional Whole-Building Temperature Modelling
[NO] 35/100 | FlowGuard: Flow Matching for Identity-Independent Detection of Data-Free Model Stealing Attacks on Energy System Intrusion Detection Systems
[NO] 36/100 | Jumping over Proprietary Gaps - Assessing security features in MCUs for Smart Inverters
[NO] 37/100 | Designing Interactive, Adaptive and Immersive Spaces for Children with Neuro-developmental Disorders and Children with Special Educational Needs
[NO] 38/100 | Explainable AI and Robots for Children: Why Transparency Alone is Not Enough
[NO] 39/100 | Evaluating Supports for Group Play-Based Therapy with Social Validity
[NO] 40/100 | Digital Eco-Inquirers: Triggering children's sustainability competences through inquiry-based learning involving physical computing
[NO] 41/100 | When Institutional Structures Become Child-Facing: A Work-in-Progress Case from Singapore's National Learning Platform
[NO] 42/100 | Uxy the Friendly Sensor: Making Inertial Sensors Child-Acceptable
[NO] 43/100 | NZHR: An EnergyPlus-Integrated Serious Game with AI Teammate for Residential Retrofit Decision-Making
[NO] 44/100 | Investigating Calibration Challenges in Probabilistic Electricity Price Forecasting
[NO] 45/100 | Retrieval‑Augmented LLM Framework for Robust Automated Generation of HVAC Diagnostic Models
[NO] 46/100 | “Guardians of the Planet”: A Multi-Realm Robot Bridging Learning and Real-World Sustainability for Children
[NO] 47/100 | Micro:bit Apps: Inclusive and Sustainable Physical Computing for Children
[NO] 48/100 | Digital Parenting among Cybersecurity Leaders: Balancing Technical Safeguards and Relational Trust
[NO] 49/100 | Designing Play from Everyday Objects: Shape-Based Playfication for Anticipating Children's Play
[NO] 50/100 | TD404: Tangible and interactive tool for digital literacy classes
[NO] 51/100 | Sustainable Care: Designing Technologies That Support Children's Long-Term Engagement with Social Issues
[NO] 52/100 | Play or Learn? Differentiating Play and Learning Elements in Children’s Game-Based Learning Using Multimodal Sensing
[NO] 53/100 | Fort Vox: A Tangible Device for Exploring Voice Authentication with Children
[NO] 54/100 | PhD Forum Abstract: Degradation-Aware Adaptive Design of Multi-Use Battery Energy Storage under Deep Uncertainty
[NO] 55/100 | Youth Prompting in Microsoft Copilot: Learning with Generative AI at 4-H STEM Camps
[NO] 56/100 | “Surveys are pointless”: Co-designing a new generation of surveys with children that fulfill their needs
[NO] 57/100 | Part of the show: Discussing and designing pseudo-interactions in educational screen media for preschoolers with parents and elementary-aged children
[NO] 58/100 | SingSys: acoustic vibration sensing for strength monitoring and characterization of Engineered Biopolymer Composite (EBC)
[NO] 59/100 | Heterogeneous Mixture-of-Experts Adaptation for Finetuning Pretrained Time-series Foundation Models
[NO] 60/100 | Spatio-Temporal Modelling of Electric Vehicle Charging Demand
[NO] 61/100 | LLM-GreenServe: Optimized Power Consumption with Power-aware Prefill-Decoding Scheduling
[NO] 62/100 | Protection or Empowerment? Perspectives on Youth-Inclusive Responsible AI
[NO] 63/100 | Write, Fold, Pass: Many Voices, One Odyssey, and AI-Supported Scaffolding to Foster Children’s Creative Writing Engagement
[NO] 64/100 | Social Proximity and Data Sensitivity: An Exploratory Study of Children’s Privacy Spheres Configurations in Urban and Rural Peru
[NO] 65/100 | Examining Feasibility of STL for Enforcing Safe Building Control
[NO] 66/100 | Enhancing Urban Building Energy Models through Activity Based Occupancy Generation
[NO] 67/100 | PhD Forum Abstract: Integrating data-driven and human-centric approaches for scalable and flexible building management
[NO] 68/100 | Multi-market value-stacking: Battery control for combined imbalance participation and non-uniform FCR bidding
[NO] 69/100 | Weather-Driven Power Outage Prediction Using Transfer Learning and Interpretable Pattern Discovery
[NO] 70/100 | Shadows, Doodles and Dice: Three Demos for Inter-generational Interactions around AI Literacy
[NO] 71/100 | "We listen, we don't judge": Exploring Design Opportunities for Emotional Literacy and Normalization in Parent-Child Interactions
[NO] 72/100 | PlayScape: Designing with Children Through Child-Led Nature-Play
[NO] 73/100 | The Evil Bird and the Right to Disconnect: Children’s Vulnerability to Exit Dark Patterns in Gamified Educational Apps
[NO] 74/100 | Reclaiming Creative Exploration: An In Situ Study to Support Process-based Learning Through Digital Making in Low Socioeconomic Schools
[NO] 75/100 | A Gamified AR System for Children’s Disaster Preparedness: Supporting Engagement through Multi-Scenario Learning
[NO] 76/100 | Towards Meaningful Smart Rooms for Children: IoT Prototypes Designed to Encourage Self-Appropriation
[NO] 77/100 | Robots For Everyday Life: Children’s Visions on Roles of Robots
[NO] 78/100 | Power Compression: Peak Power Aware Workflow Optimization for Agentic AI
[NO] 79/100 | BuilDyn: Excitation-Driven Data Generation for Building Thermal Dynamics Modeling and Control
[NO] 80/100 | A Modular Digital Twin Framework for Waste Heat Recovery and Workload Orchestration in Data Centres
[NO] 81/100 | PhD Forum Abstract: A Causal Lens Toward Occupant-Centric Buildings
[NO] 82/100 | Hierarchical Battery Anomaly Detection in Uninterruptible Power Supply Systems via Contrastive Learning
[NO] 83/100 | Parental Judgment as a Design Lens for AI Scaffolding in Early Childhood Reading
[NO] 84/100 | Emergent Technology, Emergent Critique: Students and Teachers Developing Critical AI Literacy Through Participatory Design Around Generative AI
[NO] 85/100 | A Closed-Loop Hybrid Stochastic-Robust Framework for Health-Aware PV–BESS Sizing
[NO] 86/100 | Projecting the Consequences of Climate Change on the Operation of European Data Centers
[NO] 87/100 | Rethinking Machine Learning Performance Metrics in Distributed Energy Resource Systems: A Concise Review
[NO] 88/100 | The Everything Tool Problem: A Scoping Review of Empirical Research with Young People and Generative AI
[NO] 89/100 | Growing Up with AI: Approaches to Community-centered AI Literacy
[NO] 90/100 | “Are You OK, Dr. Scratch?” Bridging the Gap Between Automated Computational Thinking Metrics and Classroom Realities
[NO] 91/100 | Research of Residential Occupant Behavior Establishment for Building Energy Simulation
[NO] 92/100 | PIRS: Physics-Informed Reward Shaping for SAC-Based Building Energy Management
[NO] 93/100 | Inter-Data-Center Workload Migration for Grid-Interactive Balancing Services: A Field Demonstration
[NO] 94/100 | Designing for broken-hammer-pedagogy
[NO] 95/100 | Orbiting the VirtueVerse: A Game for Practicing and Reflecting on AI Ethics
[NO] 96/100 | Poster Abstract: Can LLMs Replace In-domain Training Data? Cold-Start Thermal Comfort Prediction Across Unseen Building Contexts
[NO] 97/100 | Lightweight Acoustic-Based Unsupervised Monitoring of Daily Routines
[NO] 98/100 | Investigating Hands-on AI Literacy Activities for Empowering Youth with Technological Agency for the Future of Work
[NO] 99/100 | A Preschooler-Friendly Picture Book Recommender System with Robotic Guidance Based on Illustration Style and Theme Preferences
[NO] 100/100 | Pufff: a touch-sensitive interactive toy for purposeful hand use in children with Rett Syndrome
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-06-20.json。
邮件发送成功！
[2026-06-21 11:55:45] 任务执行成功！
