[2026-09-10 13:15:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[arXiv] 2026-09-09 | LiteRAG: Cost-Efficient Graph-Based Retrieval-Augmented Generation
[arXiv] 2026-09-09 | On the Tightness of Standard Relaxations for Mixed-Integer Bilevel Linear Programs
[arXiv] 2026-09-09 | Mitigating Degradation Attacks in Cooperative Autonomous Driving via Intention Sharing: A Vehicle-in-the-Loop Study
[arXiv] 2026-09-09 | UOT-Gap: A Variational Principle for the Modality Gap in Vision-Language Models via Unbalanced Optimal Transport
[arXiv] 2026-09-09 | Convergence Rate toward Rarefaction Wave under Periodic Perturbation for Generalized Korteweg-de Vries-Burgers equation
[arXiv] 2026-09-09 | MHD Modelling of magnetic reconnection heating and jets in the solar corona
[arXiv] 2026-09-09 | Moderate Deviations for Nonlinear Hawkes Processes
[arXiv] 2026-09-09 | Are You Learning Biological Signal or Shortcuts? Auditing and Mitigating Bias in Protein-Protein Interaction Datasets
[arXiv] 2026-09-09 | pyeCE: A Python Implementation of the Embedded Cluster Expansion
[arXiv] 2026-09-09 | Fast, Accurate, and Scalable Fermionic Neural Networks via Translation Equivariance
[arXiv] 2026-09-09 | From Laboratory Aging Studies to Field Predictions: Quantifying Uncertainty in Battery Storage Lifetime Predictions
[arXiv] 2026-09-09 | Hopf decomposition of the actions of subgroups of the mapping class group
[arXiv] 2026-09-09 | Embedding Model-form Uncertainty in Probabilistic Calibration of Digital Twins for Bridges
[arXiv] 2026-09-09 | Multi-Robot Scanner for Automated Full-Body Dermoscopic Imaging
[arXiv] 2026-09-09 | Untangling EIT Waves: What a Measured Speed Actually Traces
[arXiv] 2026-09-09 | Boundary-Level-Constrained Refinement for Suppressing Trimming-Induced High-Frequency Outliers in Explicit Isogeometric Analysis
[arXiv] 2026-09-09 | From Retrieval to Weights: Parametric Individualization of Small Language Models with Individual Text Corpora
[arXiv] 2026-09-09 | The internal kinematics and chemistry of 20 Milky Way strings
[arXiv] 2026-09-09 | Observational constraints on a damped harmonic oscillator model of dark energy
[arXiv] 2026-09-09 | Assembling Two Parts in One Hand
[arXiv] 2026-09-09 | Context operations to architecture modelling output from large language models and evaluation criteria for their use in systems engineering design
[arXiv] 2026-09-09 | Controlled harmonic map heat flow and blow-up from the disk to the sphere
[arXiv] 2026-09-09 | Hadronic origin of gamma rays and neutrinos from blazars: Multi-messenger implications and observational constraints
[arXiv] 2026-09-09 | SAGE: Semantic-Aware Geographic Error Recovery for AI Data Movement
[arXiv] 2026-09-09 | Renewal process's guide to fractional Navier-Stokes equations
[arXiv] 2026-09-09 | Pullbacks of Groupoid $C^*$-Algebras over Disjoint Invariant Sets
[arXiv] 2026-09-09 | Marker-free eye-gaze estimation using a single image and depth from defocus
[arXiv] 2026-09-09 | The Car Resequencing Problem with Makespan Minimization
[arXiv] 2026-09-09 | Ulrich bundles on intersections of two quadrics
[arXiv] 2026-09-09 | Teacher Geometry Shapes Learnability in Teacher-Student Networks
[arXiv] 2026-09-09 | Inclusive productions of $J/ψ+η_c$ in $e^{+}e^{-}$ annihilation at Belle
[arXiv] 2026-09-09 | Signal Correlation, IC, and PnL Dependence
[arXiv] 2026-09-09 | Distillation of Synthetic Data for Time Series Foundation Models
[arXiv] 2026-09-09 | Characterizing Multi-Cell Pinching-Antenna Transmission: Revealing the Other Side of the Coin
[arXiv] 2026-09-09 | Thermal Quantum Sensing: Fisher Information and Work Beyond Gaussian Signals
[arXiv] 2026-09-09 | The validity of the Stokes-Einstein relation in ionic liquids
[arXiv] 2026-09-09 | Geometric organization of olfactory descriptor data in the Poincaré disk
[arXiv] 2026-09-09 | Learning with Synthetic Data via SGD in High-Dimensional Linear Regression
[arXiv] 2026-09-09 | Positional task conditioning for scalable defect detection across product families in large product catalogs
[arXiv] 2026-09-09 | The Vibe Shift in Software Engineering: Evaluating AI-Led Conversational Programming for Performance, Cognition, and Responsible Adoption
[arXiv] 2026-09-09 | Differential Stochastic Simulated Annealing Processor for Fully Connected 2048-Spin Optimization
[arXiv] 2026-09-09 | High-probability guarantees for linear accessibility in feature superposition
[arXiv] 2026-09-09 | Arbitrary Cipher Attacks Against Large Language Models Do Not Require Fine-Tuning
[arXiv] 2026-09-09 | An Efficient and Effective Agentic Group Shilling Attack on Recommender Systems
[arXiv] 2026-09-09 | Development of Ultrafast and Radiation-Hard GAGG for the Next-Generation of High-Energy Physics Calorimeters
[arXiv] 2026-09-09 | Storage-Scalable Progressive Semantic Communication via Knowledge-Base Reuse
[arXiv] 2026-09-09 | Derived equivalences between diagram categories of finite posets
[arXiv] 2026-09-09 | Enabling New Discoveries with Machine Learning
[arXiv] 2026-09-09 | Infinite ergodic theory and functional statistics of non-confined Feller process
[arXiv] 2026-09-09 | Joint nonlinearity in a stiffened aluminium wingbox panel and what it requires of a reduced basis
[arXiv] 2026-09-09 | Stochastic Lanczos Quadrature for Computational Uncertainty in Linear Algebra
[arXiv] 2026-09-09 | Probing the Electromagnetic Structure of Heavy-Light Hybrid Mesons with Vector and Axial-Vector Quantum Numbers
[arXiv] 2026-09-09 | Stability of Edelstein Hidden-Variable Fractal Interpolation Functions
[arXiv] 2026-09-09 | Execution-Time Opacity Logic: A Logic for Ensuring ET-Opacity in Timed Systems
[arXiv] 2026-09-09 | Aubin--Lions Compactness for Stieltjes--Bochner Evolution Graphs
[arXiv] 2026-09-09 | Reference-Based Bias Detection in LLMs via Relative Representations of Hidden States
[arXiv] 2026-09-09 | Accelerating A*-Based Algorithms for Decoding Quantum Low-Density Parity-Check Codes
[arXiv] 2026-09-09 | Grounding Generated Video Plans in Simulation Towards Versatile Dexterous Controllers
[arXiv] 2026-09-09 | Quantum computational resources and validation protocols for a three-mode non-Gaussian trilinear Hamiltonian
[arXiv] 2026-09-09 | Evidence of a Low-Energy Cutoff in the Injected Spectrum of a Pulsar Wind Nebula
[arXiv] 2026-09-09 | Parametric bootstrap simultaneous confidence interval based on doubly type-II censoring
[arXiv] 2026-09-09 | Semi-device-independent quantum randomness certification in semiconductor spin-noise measurements
[arXiv] 2026-09-09 | RoboDrop: Curating VLA Post-Training Data via Local Gradient Compatibility
[arXiv] 2026-09-09 | An Explainable Machine Learning Framework for Predicting Blood-Brain Barrier Permeability Using Molecular Descriptors
[arXiv] 2026-09-09 | What Makes Adversarial Examples Transfer Across Deepfake Detectors?
[arXiv] 2026-09-09 | Convergence of a single-ensemble multilevel scheme for McKean-Vlasov SDEs
[arXiv] 2026-09-09 | Coded Clifford Measurements for Multiqubit Magic-State Cultivation
[arXiv] 2026-09-09 | Efficient protocol for the Markovian Mpemba effect in $N$-level systems
[arXiv] 2026-09-09 | A Sharp Barrier for Consistent Submodular Maximization: Any Improvement over $2-\sqrt{2}$ Entails Exponential Queries or Linear Recourse
[arXiv] 2026-09-09 | VLX-VR: An Agentic-Aware Video Reasoning Model
[arXiv] 2026-09-09 | Optimal Value Inference for Reinforcement Learning
[arXiv] 2026-09-09 | Deep Neural Networks for Learning Intent from sEMG Signals to Support Hardware Devices for Post-Stroke Neurorehabilitation
[arXiv] 2026-09-09 | Over-Tightening-Aware Pseudo-Labeling for Tight-Boundary Speaker Diarization
[ACM] 2026-9-9 | How do Compiler Bugs Affect OS Kernels
[ACM] 2026-9-9 | Technical Optimizations on Textbook-Efficient Code with LLMs
[ACM] 2026-9-9 | Test-Oriented Programming: rethinking coding for the GenAI era
[ACM] 2026-9-9 | Evolving Artificial Ecosystems: Towards the Infusion of Multi-Agent Systems with Inclusive Inheritance
[ACM] 2026-9-9 | PAGENT: Learning to Patch Software Engineering Issue Fixing Agents
[ACM] 2026-9-9 | Towards Cognitive-Agent-Driven Prompt Optimization for Automated Program Repair
[IEEE] 2026-9-9 | Bound-Constrained Sparse Representation for Electrical Impedance Tomography
[IEEE] 2026-9-9 | Autonomous AI Agents in Cybersecurity: Operational Properties, Failure Conditions, and Security Implications
[IEEE] 2026-9-9 | Few-Shot Open-Set Hyperspectral Pixel-Wise Classification with Spatial Aware Label Propagation
[IEEE] 2026-9-9 | Research on Radial Leakage Magnetic Field in Stator Slot and a New Combined Cross Transposition Method for 1000-MW-class turbine generators
[IEEE] 2026-9-9 | DISCERN: Disentangled Multilingual Mental Health Risk Detection With Calibrated, High-Recall Predictions
[IEEE] 2026-9-9 | Proceedings
[IEEE] 2026-9-9 | Program Committee
[IEEE] 2026-9-9 | Spine Sound Classification: An Explainable Machine Learning Approach
[IEEE] 2026-9-9 | A Back-mounted System Integrating Multi-parameter Real-time Monitoring with Automated Life Support
[IEEE] 2026-9-9 | I/O-Efficient Graph Analytics on SSD via Activity-Aware Preprocessing
[IEEE] 2026-9-9 | Improving SAM-based seismic facies segmentation with logits feedback_supp1-3731432.pdf
[IEEE] 2026-9-9 | 3 kV-Class
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Lateral MOSFETs With Superior High-Temperature Leakage Suppression Enabled by an Ozone-Grown Semi-Insulating Buffer Layer
[IEEE] 2026-9-9 | IEEE Foundation
[IEEE] 2026-9-9 | Keynote Speakers: IRI 2026
[IEEE] 2026-9-9 | Hyperbolic Morphology-Guided Deep Learning for Underwater Pipeline Detection in Complex Sub bottom Acoustic Imagery
[IEEE] 2026-9-9 | Carrier Transport Characteristics of Vanadium-Doped 4H-SiC PCSS Under Broad-Spectrum Composite Light Excitation
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[IEEE] 2026-9-9 | Toward Portable Measurement Systems for Nanoplastics monitoring via L-Shaped Gold Nanogratings Biochips
[IEEE] 2026-9-9 | Bridging Scalar and Vectorial RF EMF Assessment in 5G Massive MIMO Networks Using Spatial-Temporal Power Reduction Factors
[IEEE] 2026-9-9 | An Adaptive Incremental Conductance MPPT Algorithm with Block Power Comparison for Global Peak Detection in Photovoltaic Systems
[IEEE] 2026-9-9 | Design and ASIC Implementation of a Low Quantum Cost Reversible Arithmetic Logic Unit for Energy-Efficient Computing
[IEEE] 2026-9-9 | HM-Req: A Framework for Embedding Values within CPS Human Monitoring Requirements
[IEEE] 2026-9-9 | From Chat to Interview: Agentic Requirements Elicitation with an Experience Ontology
[IEEE] 2026-9-9 | From Quality Properties to Practice: a Guideline and Workflow for Explainability Requirements
[ACM] 2026-9-9 | Erratum: LVT: A Learned Video Transcoding Framework
[IEEE] 2026-9-9 | Multimodal Hierarchical Feature Adaptation With Bidirectional FiLM Gating for Depression Detection
[IEEE] 2026-9-9 | RefinerAgent: Extracting Industrial Mechanistic Models From Scientific Literature via Mechanism-Guided Multiagent Refinement
[IEEE] 2026-9-9 | Graph-Attentional Deep Sparse Subspace Clustering for Single-Cell Transcriptomics_supp1-3731206.docx
[IEEE] 2026-9-9 | A Low-Complexity Programmable Normalization Processor for Transformer Inference_supp1-3731553.pdf
[IEEE] 2026-9-9 | Table of Contents
[IEEE] 2026-9-9 | AdaTrendLike: Adaptive Hierarchical Detrending and Trend Likelihood Scoring for Time-Series Anomaly Detection
[IEEE] 2026-9-9 | Resource Placement with Maximal Vertex-Disjoint Path Connectivity
[IEEE] 2026-9-9 | 2026 IEEE 34th International Requirements Engineering Conference (RE)
[IEEE] 2026-9-9 | Hidden in Plain Sight: Vector Embeddings give away Demographic Information_supp1-3731408.pdf
[IEEE] 2026-9-9 | Twisted String Actuators in Wearable Robotics: Review and Perspective across Rehabilitation, Assistance, Augmentation, and Haptics
[IEEE] 2026-9-9 | An Efficient On-the-Fly Multi-Stage GAN Model for Tunnel Propagation
[IEEE] 2026-9-9 | A 3D–printed Wide–Angle Conformal Dielectric Slab Polarizer as an Improved Alternative to the Conventional Planar Design for Directional Antennas
[IEEE] 2026-9-9 | A High-Accuracy GNSS Tropospheric Wet Delay Forecasting Algorithm via PINN-LSTM Integration Tailored to Complex Mountainous Terrain and Urban Environments: Methodology and Validation
[IEEE] 2026-9-9 | Discriminately Treating Motion Components Evolves Joint Depth and Ego-Motion Learning_supp2-3732069.pdf
[IEEE] 2026-9-9 | A Vision Transformer for Inverse Phase Synthesis of Programmable Frequency Selective Surfaces
[IEEE] 2026-9-9 | A 170-GHz Radial Power Combining Doubler Based on Circularly Polarized TE
                    <sub>11</sub>
                    and TE
                    <sub>21</sub>
                    Modes
[IEEE] 2026-9-9 | EEG-CPDD: A Covariance-Preserving Diffusion Denoiser for Reliable EEG Source Localization
[ACM] 2026-9-9 | Bridging the Final Gap: Fuzzing Template Generation from Protocol Reverse Engineering
[ACM] 2026-9-9 | AgenticTyper: Automated Typing of Legacy Software Projects Using Agentic AI
[ACM] 2026-9-9 | Cascaded Vulnerability Attacks in Software Supply Chains
[ACM] 2026-9-10 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[ACM] 2026-9-10 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[IEEE] 2026-9-9 | Two Birds, One Stone: FR3 as 6G Golden Band? Analysis from Measurement-Calibrated Ray Tracing
[IEEE] 2026-9-9 | CURVEDJURY: A Sybil-Resistant Weighted Jury Selection Framework for Blockchain Dispute Resolution
[IEEE] 2026-9-9 | From Failure to Alignment: A Requirements Engineering Framework for Machine Learning Systems
[IEEE] 2026-9-9 | LI-VAD: Lightweight and Interpretable Video Artifact Detection
[IEEE] 2026-9-9 | Area and Power efficient Floating Point Multiplier using Radix-4 Booth Encoding
[ACM] 2026-9-9 | Plan4code: Planning Code Changes with Chain-of-Thought and Ontologies
[ACM] 2026-9-9 | Scaling Software Architecture Data: A Vision for Leveraging Architecture Recovery on Open-Source Projects
[ACM] 2026-9-9 | A Multi-Modal Robotic Framework for Physical GUI Interaction Testing
[ACM] 2026-9-9 | LLM-Based Test Case Generation in DBMS through Monte Carlo Tree Search
[ACM] 2026-9-9 | Technical Briefing on Qualitative Data Analysis and Theory Development
[ACM] 2026-9-9 | A Survey on Foundation Models for Personalized Federated Intelligence
[ACM] 2026-9-9 | Opening Remarks
[IEEE] 2026-9-9 | Deep Multitask Learning for Real-Time 3D Magnetic Data Inversion With Anomaly Segmentation
[IEEE] 2026-9-9 | Enhancing Local Cognition of CLIP for Training-Free Open Vocabulary Semantic Segmentation
[IEEE] 2026-9-9 | Committees
[IEEE] 2026-9-9 | InstructGrasp: A Real-Time Language-Guided Grasp Pose Detection for Robotic Manipulation_supp2-3731854.mp4
[IEEE] 2026-9-9 | A 52-Gb/s/pin 0.337-pJ/bit Capacitively Driven PAM-4 Transceiver for Coupling-Variation-Tolerant Die-to-Die Interfaces
[IEEE] 2026-9-9 | Say, Move, and Remember: Enhancing SAM2 for Referring Video Segmentation via Motion Modeling and Key Action-Aware Memory_supp1-3728686.pdf
[IEEE] 2026-9-9 | FedSymTCNNet: A Federated Edge-IoMT Framework for Wearable Pediatric Gastrointestinal Risk Prediction
[IEEE] 2026-9-9 | Vulcan: Vision-Language-Model Enhanced Multi-Agent Cooperative Navigation for Indoor Fire-Disaster Response
[IEEE] 2026-9-9 | High-Dimensional Programmable Personas: A Comprehensive Framework for Synthesizing Customisable Role-Playing Agents
[IEEE] 2026-9-9 | Post-quantum Medical Data Sharing in IHS via Consortium Blockchain and Multi-signature
[IEEE] 2026-9-9 | Real-Time Victim Positioning With One Search Agent Using Wi-Fi Fine Time Measurement
[IEEE] 2026-9-9 | Dual-Target Road Sense Construction for Steer-By-Wire Systems: Design, Control, and Real-Vehicle Validation
[IEEE] 2026-9-9 | Organizing Committee
[ACM] 2026-9-10 | Design of a Fact-Verification System for Music Theory Question Answering Based on Large Language Models
[ACM] 2026-9-10 | Weighted Readiness Evaluation Algorithm and Modular AI System Design for Cross-Border Foreign Trade SMEs
[IEEE] 2026-9-9 | From IMU Sensing to In-Network Intelligence: A Distributed Edge AI Telerehabilitation Framework
[IEEE] 2026-9-9 | Implementation of Double Tail Comparator in Cadence Ocean Scripting Automation Framework
[IEEE] 2026-9-9 | Debugging Requirements Interview Scripts: A Framework for Quality Assessment
[IEEE] 2026-9-9 | IoTSGT: An Interactive Specifications Generation Tool for Personalized IoT Software Requirements
[IEEE] 2026-9-9 | ADVENT: LLM-Driven Automatic Predicate Invention for ILP
[IEEE] 2026-9-9 | Silicon Sampling via Cross-Survey Transfer
[ACM] 2026-9-9 | Integrating ultrasound-based interface with human-inspired somatosensory control for advanced prosthetic systems
[IEEE] 2026-9-9 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation_supp1-3731683.mp4
[IEEE] 2026-9-9 | Design and Optimization of High-Precision Current Control System Based on GaN HEMT
[IEEE] 2026-9-9 | Dynamic Event-Triggered Hierarchical Control for Multiquadrotor Formation Under Communication Constraints and External Disturbances
[IEEE] 2026-9-9 | AutoLFD: A Three-Stage Framework for Fine-grained Microservice Auto-scaling in Edge Server Clusters
[IEEE] 2026-9-9 | MNC 2026 Table of Contents
[IEEE] 2026-9-9 | Experimental Investigation of Electron Transport in SiC FinFETs for High-Mobility MOS Channel
[IEEE] 2026-9-9 | Validation and Comparison of ANEM-SBAC Method for Temperature and Emissivity Separation Using MODIS and VIIRS Data in the València Test Site_supp2-3726996.pdf
[IEEE] 2026-9-9 | Cloud–Fog Hosted Resource Allocation within an Integrated S3C System for Multi-Robot Fuselage Panel Assembly
[IEEE] 2026-9-9 | Unifying Feed-Forward and Weight-Gradient: An Energy-Efficient Architecture for On-Chip SNN Learning
[IEEE] 2026-9-9 | Inverse-Designed Cascaded Rotational Diffractive Layers for Versatile Beam Switching with Single-layer Rotation and large Spacing_supp1-3732127.docx
[IEEE] 2026-9-9 | UVTrack3D: Toward Category-Unified Structured Voxel Representation for 3D Single Object Tracking
[ACM] 2026-9-9 | Hierarchical Metamorphic Test Oracles for Agent Evaluation
[ACM] 2026-9-9 | Multi-Level Testing of Conversational AI Systems
共写入 200 条记录，保存到 papers/paper2026-09-09.json。
论文获取成功，文件路径: papers/paper2026-09-09.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Stencil Computation at the Intersection of AI and HPC
[NO] 2/200 | AVSRBench: A Multi-Condition AVSR Benchmark
[NO] 3/200 | A Novel Scheme for Inter-Satellite Integrated Laser Ranging and Communication in Space-Based GW Detection
[NO] 4/200 | Surrogate-accelerated parameterisation of physics-based Li-ion battery models
[NO] 5/200 | On the syntomic regulator of the Hesse cubic curves and $p$-adic hypergeometric functions
[NO] 6/200 | Learning to Adapt and Calibrate: Score Distribution Alignment for Few-Shot Uncertainty Prediction in Medical VLMs
[NO] 7/200 | Positivity and Asymptotics for Chenevier's Orthogonal Polynomials
[NO] 8/200 | Sharp local estimates for smooth numbers
[NO] 9/200 | Geometry Without Coordinates: LiDAR Diffusion as a 3D Feature Bridge
[NO] 10/200 | Kaniadakis Holographic Dark Energy with Particle Horizon as IR Cutoff
[NO] 11/200 | Alexandrov-Type Rigidity for Minimal Capillary Hypersurfaces on Rotational Supports
[NO] 12/200 | TRACE: Training Reasoning Agents for Causal Exploration with Synthesized Rewards
[NO] 13/200 | An $O(1/T^3)$ algorithm for minimizing convex quadratic functions over the $L_1$ ball
[NO] 14/200 | Constrained Optimization of Higher-Order Cluster-Expansion Hamiltonians for Alloys Using Simulated Bifurcation
[NO] 15/200 | Deformable Object Manipulation under Partial Observability via Real-Time Full-Shape Estimation
[NO] 16/200 | SynThermFace: Amplifying Limited Paired Data for Visible-Thermal Face Recognition via Synthetic Data Generation
[NO] 17/200 | GANDR: Claim Auditing for Verifiable Legal Answer Generation
[NO] 18/200 | Isotropic Embedding Perturbations for Robust Vision Language Encoders
[NO] 19/200 | From stardust to interstellar grain growth in the first galaxies: a cosmological transition in dust evolution near z ~ 8.9
[NO] 20/200 | Learning Terrain-Adaptive Humanoid Locomotion on Granular Terrain
[NO] 21/200 | Associating binary black holes with galactic centres using lensed gravitational waves
[NO] 22/200 | Jack Content Operators and the Deformed ${\mathcal W}_{1+\infty}$ Algebra
[NO] 23/200 | Singular Forces on the Whole Space: Sobolev Density Thresholds and Energy Approximation
[NO] 24/200 | An approximate counterexample to the Barker--Larman problem in dimension $4$
[NO] 25/200 | Meme Coin Factories: Uncovering Large-Scale Manipulations on pump.fun
[NO] 26/200 | FolDeX: A Physical-World Benchmark for Long-Horizon Robotic Manipulation of Deformable Objects
[NO] 27/200 | Spatial sparse sampling-based iterative optimization framework for GNSS Direct Position Estimation
[NO] 28/200 | LiteRAG: Cost-Efficient Graph-Based Retrieval-Augmented Generation
[NO] 29/200 | On the Tightness of Standard Relaxations for Mixed-Integer Bilevel Linear Programs
[NO] 30/200 | Mitigating Degradation Attacks in Cooperative Autonomous Driving via Intention Sharing: A Vehicle-in-the-Loop Study
[NO] 31/200 | UOT-Gap: A Variational Principle for the Modality Gap in Vision-Language Models via Unbalanced Optimal Transport
[NO] 32/200 | Convergence Rate toward Rarefaction Wave under Periodic Perturbation for Generalized Korteweg-de Vries-Burgers equation
[NO] 33/200 | MHD Modelling of magnetic reconnection heating and jets in the solar corona
[NO] 34/200 | Moderate Deviations for Nonlinear Hawkes Processes
[NO] 35/200 | Are You Learning Biological Signal or Shortcuts? Auditing and Mitigating Bias in Protein-Protein Interaction Datasets
[NO] 36/200 | pyeCE: A Python Implementation of the Embedded Cluster Expansion
[NO] 37/200 | Fast, Accurate, and Scalable Fermionic Neural Networks via Translation Equivariance
[NO] 38/200 | From Laboratory Aging Studies to Field Predictions: Quantifying Uncertainty in Battery Storage Lifetime Predictions
[NO] 39/200 | Hopf decomposition of the actions of subgroups of the mapping class group
[NO] 40/200 | Embedding Model-form Uncertainty in Probabilistic Calibration of Digital Twins for Bridges
[NO] 41/200 | Multi-Robot Scanner for Automated Full-Body Dermoscopic Imaging
[NO] 42/200 | Untangling EIT Waves: What a Measured Speed Actually Traces
[NO] 43/200 | Boundary-Level-Constrained Refinement for Suppressing Trimming-Induced High-Frequency Outliers in Explicit Isogeometric Analysis
[NO] 44/200 | From Retrieval to Weights: Parametric Individualization of Small Language Models with Individual Text Corpora
[NO] 45/200 | The internal kinematics and chemistry of 20 Milky Way strings
[NO] 46/200 | Observational constraints on a damped harmonic oscillator model of dark energy
[NO] 47/200 | Assembling Two Parts in One Hand
[NO] 48/200 | Context operations to architecture modelling output from large language models and evaluation criteria for their use in systems engineering design
[NO] 49/200 | Controlled harmonic map heat flow and blow-up from the disk to the sphere
[NO] 50/200 | Hadronic origin of gamma rays and neutrinos from blazars: Multi-messenger implications and observational constraints
[NO] 51/200 | SAGE: Semantic-Aware Geographic Error Recovery for AI Data Movement
[NO] 52/200 | Renewal process's guide to fractional Navier-Stokes equations
[NO] 53/200 | Pullbacks of Groupoid $C^*$-Algebras over Disjoint Invariant Sets
[NO] 54/200 | Marker-free eye-gaze estimation using a single image and depth from defocus
[NO] 55/200 | The Car Resequencing Problem with Makespan Minimization
[NO] 56/200 | Ulrich bundles on intersections of two quadrics
[NO] 57/200 | Teacher Geometry Shapes Learnability in Teacher-Student Networks
[NO] 58/200 | Inclusive productions of $J/ψ+η_c$ in $e^{+}e^{-}$ annihilation at Belle
[NO] 59/200 | Signal Correlation, IC, and PnL Dependence
[NO] 60/200 | Distillation of Synthetic Data for Time Series Foundation Models
[NO] 61/200 | Characterizing Multi-Cell Pinching-Antenna Transmission: Revealing the Other Side of the Coin
[NO] 62/200 | Thermal Quantum Sensing: Fisher Information and Work Beyond Gaussian Signals
[NO] 63/200 | The validity of the Stokes-Einstein relation in ionic liquids
[NO] 64/200 | Geometric organization of olfactory descriptor data in the Poincaré disk
[NO] 65/200 | Learning with Synthetic Data via SGD in High-Dimensional Linear Regression
[NO] 66/200 | Positional task conditioning for scalable defect detection across product families in large product catalogs
[NO] 67/200 | The Vibe Shift in Software Engineering: Evaluating AI-Led Conversational Programming for Performance, Cognition, and Responsible Adoption
[NO] 68/200 | Differential Stochastic Simulated Annealing Processor for Fully Connected 2048-Spin Optimization
[NO] 69/200 | High-probability guarantees for linear accessibility in feature superposition
[NO] 70/200 | Arbitrary Cipher Attacks Against Large Language Models Do Not Require Fine-Tuning
[NO] 71/200 | An Efficient and Effective Agentic Group Shilling Attack on Recommender Systems
[NO] 72/200 | Development of Ultrafast and Radiation-Hard GAGG for the Next-Generation of High-Energy Physics Calorimeters
[NO] 73/200 | Storage-Scalable Progressive Semantic Communication via Knowledge-Base Reuse
[NO] 74/200 | Derived equivalences between diagram categories of finite posets
[NO] 75/200 | Enabling New Discoveries with Machine Learning
[NO] 76/200 | Infinite ergodic theory and functional statistics of non-confined Feller process
[NO] 77/200 | Joint nonlinearity in a stiffened aluminium wingbox panel and what it requires of a reduced basis
[NO] 78/200 | Stochastic Lanczos Quadrature for Computational Uncertainty in Linear Algebra
[NO] 79/200 | Probing the Electromagnetic Structure of Heavy-Light Hybrid Mesons with Vector and Axial-Vector Quantum Numbers
[NO] 80/200 | Stability of Edelstein Hidden-Variable Fractal Interpolation Functions
