[2026-07-29 11:18:29] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-28
正在获取论文...
[arXiv] 2026-07-28 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[arXiv] 2026-07-28 | Validation of methods to estimate the uncertainty of buildings energy savings in a controlled numerical setting and Bayesian energy signature with autocorrelated errors
[arXiv] 2026-07-28 | CW-Ghost: Search-Free Granularity Selection for Helper-Thread Prefetching via Capacity Windows
[arXiv] 2026-07-28 | Relaxation of quenched structural glasses: descent in a stiffening caging potential over inflection-point 'speed bumps'
[arXiv] 2026-07-28 | How Likely and How Deep? Sharp Joint Bounds on Risk-Neutral Crash Probability and Conditional Depth from Option Bid-Ask Quotes
[arXiv] 2026-07-28 | Extracting Voice Styles from Frozen TTS Models via Gradient-Based Inverse Optimization
[arXiv] 2026-07-28 | Detecting quantum phase transitions via shallow variational quantum circuits
[arXiv] 2026-07-28 | An Interaction Sensitivity Framework in Perturbation Space for the Converter-Driven Stability of Power Systems
[arXiv] 2026-07-28 | $\mathrm{SL}(2,\mathbb{Z})$ Theta Subgroup Structure of Maxwell theory in the Lattice Villain Hamiltonian Formulation
[arXiv] 2026-07-28 | Belief-Aware Influence and Trust (BAIT): Shaping Human Belief During Repeated Human-Robot Interaction
[arXiv] 2026-07-28 | Passive wearable physiology tracks a state-level material-hardship gradient in resting heart rate
[arXiv] 2026-07-28 | Hybrid Analysis for Secure MCP Tool Use in LLM Agents
[arXiv] 2026-07-28 | Instruction-Tuned Language Models Cannot Sample from Distributions They Can Describe
[arXiv] 2026-07-28 | When Does Deep Representation Learning Help Single-Cell Clustering? A Sensitivity-Aware Diagnostic Benchmark for Biomedical AI Pipelines
[arXiv] 2026-07-28 | Self-Supervised Audio Representation Learning for Pediatric Asthma Detection in Emergency Care Using Digital Stethoscope Recordings
[arXiv] 2026-07-28 | ContractHIL-HLS: Contract-Aligned Multi-Agent Workflow with Hardware-in-the-Loop Feedback for HLS Design
[arXiv] 2026-07-28 | Proper Hat-Guessing on Two-Spine Book Graphs
[arXiv] 2026-07-28 | HeAD-CP: Heterophily-Aware Diffused Conformal Prediction Sets for Graph Neural Networks
[arXiv] 2026-07-28 | Robust Hedging Valuation Adjustment for Deep Hedging Policies under Market Frictions
[arXiv] 2026-07-28 | The User Asks, Platforms Compete: How Agentic Recommendation Markets Take Shape
[arXiv] 2026-07-28 | Proximal Gradient Methods for Unconstrained Set Optimization Problems with Set-Valued Maps of Finite Cardinality
[arXiv] 2026-07-28 | Prediction of experimental excited-state absorption spectra by using vibronic transition calculations: Its practical application to a π-conjugated molecule
[arXiv] 2026-07-28 | Structured High-Angular-Momentum Coulomb Tensors from Real and Complex Solid-Harmonic Integral Engines: A Perspective
[arXiv] 2026-07-28 | From Compressing Complexity to Accommodating Complexity: How AI Transforms Standardization and Individualization
[arXiv] 2026-07-28 | Optimization of the directed spanning trees using the weighted matroid intersection algorithm
[arXiv] 2026-07-28 | Diagonal cycles on Shtukas and the adjoint $L$-function
[arXiv] 2026-07-28 | Beyond Single-Episode Optimization: Sliding-Window Aware Generative Auto-Bidding for Long-Term Advertising Effectiveness
[arXiv] 2026-07-28 | Neurai-VN Benchmark: Standardized Machine Learning Models for Multimodal Digital Phenotyping in Mental Health Classification
[arXiv] 2026-07-28 | Isolating Scheme Dependence of Quasi-PDFs in the RI/MOM Scheme
[arXiv] 2026-07-28 | Interpretable Column Annotation with LLM-Symbolized Decision Process Materialization
[arXiv] 2026-07-28 | Preprints Without Curation Are Increasingly Cited by Journals
[arXiv] 2026-07-28 | Leveraging Semantic Maps for City-Scale Cross-View Localization
[arXiv] 2026-07-28 | Everything is a Spin: The Secret Lives of SU(2)
[arXiv] 2026-07-28 | VaLiDRec: Variable-Length LLM-Aligned Semantic IDs for Generative Recommendation
[arXiv] 2026-07-28 | Monodromy, Hidden Conformal Symmetry and Soft Hair in Kerr-MOG Black Hole
[arXiv] 2026-07-28 | Lloyd's $K$-Means Clustering Algorithm Is Frank-Wolfe in Disguise
[arXiv] 2026-07-28 | Heavy Jet Mass in Hadronic Higgs Decays
[arXiv] 2026-07-28 | TabRank: Chain-of-Thought Distillation for Table Re-Rankers
[arXiv] 2026-07-28 | Bekko Embedding: Parameter-Efficient Multilingual Retrieval with Ultra-Compact Encoders
[ACM] 2026-7-28 | Exploring Lifelog Memories in VR: The Impact of Map-View Perspectives on Spatial Recall
[ACM] 2026-7-28 | Foundations of Machine Learning: Models, Methods, and Evaluation
[IEEE] 2026-7-28 | Synergistic Authentication in Beam Alignment for Secure MmWave Communications_supp1-3714802.pdf
[IEEE] 2026-7-28 | 2026 11th International Conference on Computer and Communication Systems (ICCCS)
[IEEE] 2026-7-28 | AST-LO: Enhanced LiDAR Odometry With Alternant Long-Term Spatiotemporal Ground Constraint
[IEEE] 2026-7-28 | IEEE Power Electronics Society Publication Information
[IEEE] 2026-7-28 | Aerial IRS Deployment-Aided Secure Computation Offloading Against DISCO Jamming Attacks
[IEEE] 2026-7-28 | Adaptive Fuzzy Tactile Servoing on Soft Surfaces With a Multimodal Tactile Sensor_supp1-3717172.mp4
[IEEE] 2026-7-28 | BERT-HemoPep60: Transformer-based Deep Learning Method with Domain-Adaptive Pretraining for Quantitative Hemolytic Activity Prediction of Peptides
[IEEE] 2026-7-28 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation_supp1-3710113.pdf
[IEEE] 2026-7-28 | Optimal Sizing of Electric Truck Fleet Considering Energy-Logistics Coupling
[IEEE] 2026-7-28 | IEEE Computer Society: Computer Science &amp; Engineering Awards
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | IEEE Magnetics Society Information
[IEEE] 2026-7-28 | Robust Dynamic Topology Tracking for Active Distribution Networks Under Missing Measurements and Data Distribution Shifts
[IEEE] 2026-7-28 | Front Cover
[IEEE] 2026-7-28 | Introducing IEEE Collabratec
[IEEE] 2026-7-28 | Table of Contents
[IEEE] 2026-7-28 | Review for "Performance Assessment of the Vertical Wind Profile from Doppler Lidar Using Accumulated Spectra"
[ACM] 2026-7-29 | Probing the Intrinsic Effectiveness of Large Language Models for Medical Classifications
[IEEE] 2026-7-28 | Adversarial Training-Based Lightweight DRL Authorization Control Method with User Identity Management
[IEEE] 2026-7-28 | GraphLawPH: Benchmarking GNN Architectures for Task-Specific Knowledge Discovery in Philippine Statutes
[IEEE] 2026-7-28 | Employing Artificial Intelligence Technologies to Enhance National Identity among First Cycle Students
[IEEE] 2026-7-28 | An Intelligent Feature Fusion Approach for Accurate Mental Health Disorder Prediction Using Machine Learning
[IEEE] 2026-7-28 | Kernel PCA-Assisted Compressed Sensing for Underwater Acoustic Channel Estimation Under Weak Non-Gaussian Noise
[IEEE] 2026-7-28 | A Lightweight CNN-Based Digit Recognition System from Video Frames
[IEEE] 2026-7-28 | A Comparative Study of LDA and BERT-Based Topic Modeling on Indonesian YouTube Protest Discourse
[IEEE] 2026-7-28 | Symmetry Breaking for Parallel Machine Scheduling with Compressing Processing Times
[IEEE] 2026-7-28 | ResQTank: An Embedded LiDAR-SLAM System for Real-Time Indoor Mapping and Navigation
[IEEE] 2026-7-28 | Adaptive 3DGS via Geometric Priors
[IEEE] 2026-7-28 | Point-of-Care Prostate Cancer Diagnostics: Fabrication and Performance of a Paper-Based Electrochemical Sensor
[IEEE] 2026-7-28 | TP-D3QN: A Topology-Aware Intelligent Network Slicing Framework for Heterogeneous Immersive Applications
[IEEE] 2026-7-28 | High-Precise Time Synchronization in Edge Computing Platforms: Experience and Implementation
[IEEE] 2026-7-28 | Cross-Silo Federated Diffusion Models for Robust Multi-Institutional Medical Image Augmentation and Domain Generalization
[IEEE] 2026-7-28 | Toward AI-Governed Smart Educational Networks: A Policy-Based Firewall for User and Device Control
[IEEE] 2026-7-28 | Book Online Recommendation Based on BERT Semantic Feature Extraction and Transformer Temporal Modeling
[IEEE] 2026-7-28 | UANet: Unified Prompt and Adaptive Threshold for Few-Shot Semantic Segmentation
[IEEE] 2026-7-28 | Understanding Optical and SAR Feature Interactions through Explainable Transformer-Based Fusion Models*
[IEEE] 2026-7-28 | IG-Guided Synonym Substitution Attacks on IndoBERT AI Detection Across Domains
[IEEE] 2026-7-28 | A Hybrid Machine Learning Framework for Accurate Sales Demand Forecasting
[IEEE] 2026-7-28 | URD-YOLO: An Improved YOLO Framework for Underwater Object Detection
[IEEE] 2026-7-28 | Design and Implementation of a Low power Phase Locked Loop in 45nm CMOS Technology
[IEEE] 2026-7-28 | A Legal Relation Identification Model for Ecological and Environmental Violation Cases Integrating Legal Rule Constraints and Graph Contrastive Learning
[IEEE] 2026-7-28 | Hardware-Aware TinyML for Energy-Efficient Cataract Detection in Ophthalmology on Edge Devices
[IEEE] 2026-7-28 | Machine Learning Detection of Multiple Cancers Using 5hmC at Mutation Hotspots
[IEEE] 2026-7-28 | Federated Cloud Learning Model for Privacy-Preserving Skin Cancer Detection Using Image Processing
[IEEE] 2026-7-28 | Reliability Evaluation Framework for Adversarial Defense Methods in Industrial Intelligent Models
[IEEE] 2026-7-28 | A Method for Accuracy Detection of Filter Rod Transmitter and Receiver Data Considering Time Series
[ACM] 2026-7-29 | An application of genomic language models for antimicrobial resistance prediction in S. pneumoniae
[ACM] 2026-7-29 | A Computational Framework for Deep Phenotyping of Maternal Autonomic Resilience Using 65 Months of Continuous Wearable Biometric Data
[ACM] 2026-7-28 | Make or Take: How Students Navigate Self-Created and Instructor-Provided Cheat Sheets
[ACM] 2026-7-29 | Research on Heterogeneous-Standard Simulation Scenario Conversion Based on Large Models
[IEEE] 2026-7-28 | A Packaging Scheme Enabling Resonant Frequency Tuning and Magnetic Shielding for Electromagnetic Vibration Energy Harvesters Toward Industrial Applications_supp1-3548075.pdf
[IEEE] 2026-7-28 | A Unified Automated Synthesis Framework for On-Chip Lumped-Element RF Broadband Bandpass Filters
[IEEE] 2026-7-28 | Two-Stage Deep Learning for Hybrid Beamforming in UCA Near-Field With Imperfect CSI
[IEEE] 2026-7-28 | Power-Optimal Scheduling in URLLC with Statistical Delay and Reliability Constraints
[IEEE] 2026-7-28 | A Survey for LLM Agent Trajectory Analysis: From Failure Attribution to Enhancement
[IEEE] 2026-7-28 | Keynote Speaker
[IEEE] 2026-7-28 | Intensity Noise Coupling Analysis and Suppression in Ellipse-Fitting-Assisted 3×3 Demodulation for Fiber-Optic Interferometric Sensors
[IEEE] 2026-7-28 | Descriptor: Two Years Multivariate Power System State Monitoring Dataset (TY-MPSSMD)
[IEEE] 2026-7-28 | Explainable and Trustworthy AI in Oncology: A Systematic Review Across Major Organ Systems
[IEEE] 2026-7-28 | Transformer-Based In-Context Learning for Distributed Channel Access Optimization_supp1-3713842.pdf
[IEEE] 2026-7-28 | A Physical Information-Guided Masked Contrastive Learning Network for Defect Detection in Intelligent Pipeline Systems with MFL Signals
[IEEE] 2026-7-28 | Channel Estimation for OTFS Systems with Overspread Doppler Shifts
[IEEE] 2026-7-28 | A New Adaptive Multifrequency Resonance Matching System for Grounded Frequency-Domain Electromagnetic Detection Transmitter
[IEEE] 2026-7-28 | WeakLoc: Low-Rank Attention and Adaptive Pseudo-Label Learning for Weakly Supervised Image Forgery Localization
[IEEE] 2026-7-28 | Interactive Visualizations in Semiconductor Physics: Mixed-Methods Evidence for Affective Engagement and Qualitative Insights into Conceptual Learning
[IEEE] 2026-7-28 | Fisher-Information-Enhanced BOTDR Using Beat Spectral Reshaping
[IEEE] 2026-7-28 | Explainable Machine Learning with Rule-Based Recommendation System for Smart Contract Reentrancy Vulnerability Detection
[IEEE] 2026-7-28 | A PSO-Optimized Coherent Integration Framework for Moving Targets in CF-ISAC Systems with Experimental Validation
[IEEE] 2026-7-28 | Dynamic Governance Technology for Power Knowledge Warehouse Based on Multi-System Data Collaboration under Microservice Architecture
[IEEE] 2026-7-28 | Autonomous Financial Intelligence: A Systematic Synthesis of Agentic AI Paradigms in Banking and Capital Markets
[IEEE] 2026-7-28 | Explainable Stacking Ensemble with Nonlinear Meta-Learners for MSME Performance Prediction in Emerging Markets
[IEEE] 2026-7-28 | GAFNet: A Graph-Augmented Fusion Transformer for Cross-Dataset ADHD Detection Using EEG Signals
[IEEE] 2026-7-28 | Dynamic Route Optimization for High-Volume Logistics Using Risk-Aware Multi-Objective Path Reassignment
[IEEE] 2026-7-28 | Performance Analysis of Variational Quantum Classifiers for Classification Tasks in the NISQ Era
[IEEE] 2026-7-28 | NLP-Based Multilingual Retrieval-Augmented Generation System for Government Welfare Scheme Recommendation
[IEEE] 2026-7-28 | A Lightweight Context-Aware Access Control and Key Management Protocol for IoT-Driven Smart Farming
[IEEE] 2026-7-28 | Research on Evaluation Methods for Human-Machine Interaction Scenarios of In-Vehicle Large Language Models
[IEEE] 2026-7-28 | Research on Multi-Task Path Planning Algorithm for USV Swarm Based on Improved Genetic Algorithm
[IEEE] 2026-7-28 | Fault Injection and Out-of-Bound Access Detection in the SPI Protocol Using UVM
[IEEE] 2026-7-28 | Lightweight YOLOv8-ViT for Real-time Mangrove Species Detection in UAV Aerial Imagery
[IEEE] 2026-7-28 | Hybrid Machine Learning and Deep Learning Approach for Minimum Airfare Prediction
[IEEE] 2026-7-28 | Random Forest Analysis of Lifestyle and Synthetic Data for Prostate Cancer Risk Assessment
[IEEE] 2026-7-28 | LP-SAC: A Temporal Reinforcement Learning Optimization Framework for Unmanned Aerial Vehicle Task Offloading
[IEEE] 2026-7-28 | Prediction of Vehicle Acceleration Response Based on XGBoost
[IEEE] 2026-7-28 | Accelerating TSXor Using CUDA GPUs
[IEEE] 2026-7-28 | DIVA: Differential Integrity Verification Architecture for Containerized Supply Chains
[IEEE] 2026-7-28 | AS-FL: Accumulator and Signature-Based Federated Learning with Weight Aggregation
[IEEE] 2026-7-28 | From RLHF to DPO and Beyond: A Review of Preference Optimization Methods for Aligning Large Language Models
[IEEE] 2026-7-28 | Research on a Multi-Model Adaptive Weighted Fusion Algorithm for Subjective Question Scoring
[IEEE] 2026-7-28 | Urban Rainfall Monitoring via Commercial Microwave Links: A Low-Complexity Approach Validated by Long-Term Experiments
[IEEE] 2026-7-28 | Fraudulent Credit Card Transaction Detection Using a Hybrid Ensemble-Anomaly Detection Framework
[IEEE] 2026-7-28 | Securing Smart Implantable Cardioverter Defibrillators Against DDOS Attacks : A SIEM &amp; IAM Framework
[IEEE] 2026-7-28 | Hybrid AI Techniques for Enhancing Power System Stability
[IEEE] 2026-7-28 | Multi-Objective Genetic Algorithm-Based Joint Routing and Scheduling for Time-Sensitive Traffic in Satellite Formations
[IEEE] 2026-7-28 | Radar Track-to-Measurement Association Fusing Echo and Kinematic Features via Cross-Attention
[IEEE] 2026-7-28 | DLTformer: A Global–Local Collaborative Transformer Framework for Remote Sensing Change Detection
[IEEE] 2026-7-28 | Estimating the Number of Rare Events with Applications to Large Alphabet Inference
[IEEE] 2026-7-28 | Hamiltonian Grid-Forming: Methodology and Applications for IBR-Rich Grid Operations
共写入 200 条记录，保存到 papers/paper2026-07-28.json。
论文获取成功，文件路径: papers/paper2026-07-28.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | OmniQEC: discovering practical quantum error-correcting codes by an AI scientist
[NO] 2/200 | The Winding Number at the Critical Hölder Exponent 1/3: Failure of Universal Fourier Summation
[NO] 3/200 | Calibration of scintillator-based X-ray detectors for broadband laser-driven X-ray radiation
[NO] 4/200 | Mori-Zwanzig formalism: An existence proof for weak solutions of the orthogonal dynamics equation
[NO] 5/200 | Rician Distribution as a Physically Interpretable Model for Wind-Speed Statistics
[NO] 6/200 | WarmTuner: Program-Specific Warm Starts for Compiler Autotuning via Offline-to-Online Reinforcement Learning
[NO] 7/200 | Shear interaction and acceleration of a corotating stream detected by Parker Solar Probe
[NO] 8/200 | Hypothesis-Driven Shelf Generation for Personalised Recommendation
[NO] 9/200 | Ly$α$ Escape in JWST/NIRCam F430M-Selected H$α$ Emitters at $z\simeq5.5$
[NO] 10/200 | HI Depletion Begins Well Beyond the Virial Radius: A FAST Stacking Study of 36 Galaxy Clusters to 5R200
[NO] 11/200 | High-Frequency Magnetohydrodynamic Waves with Substantial Energy in the Solar Polar Corona
[NO] 12/200 | SpectONet: A Physics-Guided Spectral Deep Operator Network for Euler-Bernoulli Beam Dynamics
[NO] 13/200 | Tripody: An Overconstrained 3-SPR-like Parallel Robot for High-Reach Construction Tasks
[NO] 14/200 | A Hierarchical Optimisation Framework for Integrated Electric-Hydrogen-Transport Systems
[NO] 15/200 | Multi-Sensor Alignment for Weather Simulations
[NO] 16/200 | From Markovian actions to Anosov flows
[NO] 17/200 | Projective Ore-Degree Conditions for Intersection Theorems in Vector Spaces
[NO] 18/200 | Ferroelectricity and antiferroelectricity in the BaS-PbS system with the rocksalt structure
[NO] 19/200 | Evaluation of forced alignment of code-mixed speech: the case of Hindi-English
[NO] 20/200 | Establishing a national masters programme in high-energy physics: lessons from a Romanian case study
[NO] 21/200 | Growth gaps and exponential genericity in acylindrically hyperbolic groups
[NO] 22/200 | Few-Shot Open-Vocabulary Remote Sensing Segmentation via Textual Inversion
[YES] 23/200 | Joint Channel Estimation and Data Detection for Multi-LEO-Satellite Cell-Free OTFS Uplinks
[NO] 24/200 | Interaction-Endowed PT-Symmetry and its Effects on Decoherence, Einselection, and Non-Markovianity in a Central Spin Model
[NO] 25/200 | Sublinear projection tracking in acylindrically hyperbolic groups
[NO] 26/200 | The Influence of Dust Composition on Accretion Outbursts
[NO] 27/200 | From real polymers to random graphs: percolation thresholds in associative polymer solutions
[NO] 28/200 | Multi-Scale Structural Features for Continual, Comprehensible Visual Recognition in a Developmental Learning Framework
[NO] 29/200 | Error Estimates for a Linear Fully-Discrete Finite Element Method for the Ferromagnetic Magnetohydrodynamical Model
[NO] 30/200 | A Causality-aware Infer-diagnose-refine Framework for Test-time Modality Adaptation in VLA Models
[NO] 31/200 | Chemistry of Dark Molecular Clouds
[NO] 32/200 | Group Equivariant Diffusion for Anomaly Detection in Computational Cytology
[NO] 33/200 | Anti-Backdoor Coreset Selection via Cumulative Entropy
[NO] 34/200 | Beyond Prefill-Decode Disaggregation: Dissecting LLM Inference for Heterogeneous Platforms via Dynamic Operator Scheduling
[NO] 35/200 | Automated Numerical Stability Analysis of Deep Learning Operators
[NO] 36/200 | Quantum Speedups for Stochastic Optimization with Heavy-Tailed Noise
[NO] 37/200 | CoTinyVLA: Chain-of-Thought Distillation for a Sub-Billion-Parameter Vision-Language-Action Model
[NO] 38/200 | Integrated Framework for Long-term Elective Surgery Management under Uncertainty: From Strategic to Tactical Planning
[NO] 39/200 | Photon Gas Thermodynamics in Doubly Special Relativity at the Planck Scale
[NO] 40/200 | Algorithm-Driven Information Similarity and Collective Action: An Experimental Study
[NO] 41/200 | Initial algebras from constructive ordinals
[NO] 42/200 | Disconnectivity in Multistationarity Regions of Cascade of Goldbeter--Koshland Loops
[NO] 43/200 | Reading Legends on Ancient Coins: An Object Detection Approach for Character Recognition on a Novel Roman Republican Dataset
[NO] 44/200 | Memory Effect for deformed gravitational waves
[NO] 45/200 | CoRenew: A large language model agent-based policy simulation platform for multifamily residential redevelopment
[NO] 46/200 | Quantum estimates for classical polynomial optimization
[NO] 47/200 | On an asymmetric additive energy inequality
[NO] 48/200 | Robust Unsupervised Network Intrusion Detection via Federated Learning with Selective Aggregation under Anomalous Sample Contamination
[NO] 49/200 | On the Cost of Entrainment in Protein Translation
[NO] 50/200 | SafeStats: Efficient 2PC Protocols for Data Statistic-Related Functions
[NO] 51/200 | Salient Knowledge Pathways: Sparse Cross-Modal Routing for Efficient Knowledge-Intensive Multimodal Question Answering
[NO] 52/200 | A Hierarchical Stochastic Model Predictive Control Framework for Integrated Request-aware Charge Scheduling and Service Allocation
[NO] 53/200 | A Numerical Investigation of the Rayleigh-Faber-Krahn Inequality for Polyhedral Domains
[NO] 54/200 | A Control System, a Dataset, and a Recipe for Making Frozen LLM Agents Learn a Domain
[NO] 55/200 | A minimally nonperfectly divisible graph with a bisimplicial vertex
[NO] 56/200 | Polaris: a flexible stellarator demonstration experiment with simple modular coils
[NO] 57/200 | Extreme values of quadratic Dirichlet $L$-functions with prime-related moduli
[NO] 58/200 | Raikov Remainders of Quotients by Raikov-Complete Almost Metrizable Normal Subgroups
[NO] 59/200 | COVENANT: Natural-Language Workflow Compilation for Aligned Agent Execution
[NO] 60/200 | Decompose and Reorganize: Planning with Primitives and Visuomotor Policies Learned from Demonstrations
[NO] 61/200 | Noise-Free One-Step LoRA for Task-Driven Image Restoration with Diffusion Priors
[NO] 62/200 | Reciprocal theorem for ion-releasing colloidal particles
[NO] 63/200 | Validation of methods to estimate the uncertainty of buildings energy savings in a controlled numerical setting and Bayesian energy signature with autocorrelated errors
[NO] 64/200 | CW-Ghost: Search-Free Granularity Selection for Helper-Thread Prefetching via Capacity Windows
[NO] 65/200 | Relaxation of quenched structural glasses: descent in a stiffening caging potential over inflection-point 'speed bumps'
[NO] 66/200 | How Likely and How Deep? Sharp Joint Bounds on Risk-Neutral Crash Probability and Conditional Depth from Option Bid-Ask Quotes
[NO] 67/200 | Extracting Voice Styles from Frozen TTS Models via Gradient-Based Inverse Optimization
[NO] 68/200 | Detecting quantum phase transitions via shallow variational quantum circuits
[NO] 69/200 | An Interaction Sensitivity Framework in Perturbation Space for the Converter-Driven Stability of Power Systems
[NO] 70/200 | $\mathrm{SL}(2,\mathbb{Z})$ Theta Subgroup Structure of Maxwell theory in the Lattice Villain Hamiltonian Formulation
