[2026-04-26 09:48:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-25
正在获取论文...
[ACM] 2026-4-25 | Erratum: Annotated Automatic Pruning of Universal Probabilistic Programming Languages
[ACM] 2026-4-25 | Intelligent Generation and Security Protection for IP Digital Assets: Key Technologies and Teaching-Oriented Practice
[ACM] 2026-4-25 | How “Horizontal Coordination + Vertical Integration” Drives Digital Higher Education: Theory and Practice for Postgraduate Dissertation Quality Improvement
[ACM] 2026-4-25 | Research on medical degree and postgraduate education system based on LDA model
[ACM] 2026-4-25 | An Intelligent Platform for Online Article Management, Analysis, and Summarization Using Advanced NLP and Deep Learning Models
[ACM] 2026-4-25 | Time Series Forecasting Using Decomposition Techniques in Time and Frequency DomainsTime-Series Forecasting with TFDLinear
[ACM] 2026-4-25 | Innovative Application of Artificial Intelligence Technology in Jewelry Design
[ACM] 2026-4-25 | Latent Financial Risk Measurement and Cross-Border Capital Flow Prediction Driven by Large Model Text Mining
[ACM] 2026-4-25 | SemanticBlock: Blockchain-Assisted Secure and Energy-Aware UAV-BS Deployment Leveraging Semantic Learning
[ACM] 2026-4-25 | Machine Learning-Driven DDoS Defense: Feature Engineering, Algorithm Selection, and End-to-End System Validation
[ACM] 2026-4-25 | Automated Image Colorization using Generative Adversarial Networks
[ACM] 2026-4-25 | Evaluating AI-Generated Narrative Feedback on Nonverbal Communication in Student Presentations
[ACM] 2026-4-25 | GenAI Analytics and Pedagogical Configurations: Featuring New Generative AI Systems in Education
[ACM] 2026-4-25 | From Wandering to Collaboration: Discourse Patterns in Middle School Generative AI Use
[ACM] 2026-4-25 | Development and Evaluation of a Dual-Expertise, Utterance-Level Framework for LLM-Based Science Classroom Discourse Analysis
[ACM] 2026-4-25 | Designing AI Teachable Agents with Personality: Supporting Student Emotions in Mathematics Learning
[ACM] 2026-4-25 | Embedding-Based Rankings of Educational Resources based on Learning Outcome Alignment: Benchmarking, Expert Validation, and Learner Performance
[ACM] 2026-4-25 | Evaluation of Bagging Predictors with Kernel Density Estimation and Bagging Score
[ACM] 2026-4-25 | Examining Student Interactions with a Pedagogical AI-Assistant for Essay Writing and their Impact on Students’ Writing Quality
[ACM] 2026-4-25 | Design and Implementation of a Cloud-Native Project Repository System for Articulated Software Engineering Education
[ACM] 2026-4-25 | Research on Deep Learning-Based Cybersecurity for Power Systems
[ACM] 2026-4-25 | Research-Driven Education: Applying Fingerprint Image Processing in ‘Big Data Technology and Applications’ Instruction
[ACM] 2026-4-25 | Using LLMs as prompt modifier to avoid biases in AI image generators
[ACM] 2026-4-25 | Supervised Learning Approaches for Order Status Prediction: A Comparative Study on Pakistan's Largest E-Commerce Dataset
[ACM] 2026-4-25 | System for Omni-modal AI No-code Generation Technology-Driven Library Personalized Services
[ACM] 2026-4-25 | How Do Students Listen to Each Other When Solving Complex Problems?
[ACM] 2026-4-25 | Unpacking Co-Creation with AI: Understanding Students’ Creativity in a Game Design Course
[ACM] 2026-4-25 | Using Large Language Models to Detect Socially Shared Regulation of Collaborative Learning
[ACM] 2026-4-25 | Exploring Students’ Cognitive Engagement with Generative Artificial Intelligence
[ACM] 2026-4-25 | Instructional Design of Image Recognition Technology: Taking the Design of Circuit Experiment Assessment System as an Example
[ACM] 2026-4-25 | Teaching Reform and Practice of Logistics Cost Management Course Based on O-AMAS Effective Teaching Model in the Context of Digital Economy
[ACM] 2026-4-25 | TGEM: Text-Guided Fusion of LiDAR and Camera for Robust 2D Object Detection
[ACM] 2026-4-25 | Research on Establishing an Integrated Data Platform for Labor Costs in Nuclear Chemical Engineering Construction Projects
[ACM] 2026-4-25 | Analysis of the Synergistic Role of User Natural Language Feedback and Behavioral Data in Adjusting Recommendation Strategies for Mental Health Platforms
[ACM] 2026-4-25 | Development of cross-scale thermal stress simulation platform based on MD-FEM coupling and prediction of failure threshold of nano-coating interface
[ACM] 2026-4-25 | It's a Big Tiny(ML) World in Industry 4.0 and 5.0
[ACM] 2026-4-25 | Design Research on Teaching Simulation Environments for Aesthetic Education Appreciation Courses Based on Virtual Reality Technology
[ACM] 2026-4-25 | Multi-Objective Optimization of Medical PE Curriculum: Balancing Physical Load and Ethical Cultivation via Ant Colony Algorithm — A Case Study of Wuzhou Medical College
[ACM] 2026-4-25 | An Advanced Experimental Case of 4D Point Clouds Generation based on Millimeter-Wave Array Radar
[ACM] 2026-4-25 | Cyclic Adaptive Private Synthesis for Sharing Real-World Data in Education
[ACM] 2026-4-25 | Investigating Self-regulated Learning Sequences within a Generative AI-based Intelligent Tutoring System
[ACM] 2026-4-25 | Beyond the Numbers: Socio-Cultural Context as a Frame for Learning Analytics
[ACM] 2026-4-25 | Teacher Characteristics Shape Engagement and Outcomes in Online Professional Learning Environments
[ACM] 2026-4-25 | Detection of Structural Damages for Petroglyphs of Bangudae Terrace using Edge Extraction based on Deep Learning
[ACM] 2026-4-25 | Hallucination Prediction in Large Language Models Using Contextual Analysis
[ACM] 2026-4-25 | Automated Trust-Aware Software Vulnerability Scoring via Explainable Feature Alignment
[ACM] 2026-4-25 | An Expanded Quantitative Methodological Review of Research on Broadening Participation in Computing, 2005-2023
[ACM] 2026-4-25 | Data-Driven Analysis of Aromatherapy Intervention Based on Digital Anxiety Assessment
[ACM] 2026-4-25 | Optimization of Adaptive Control Algorithm for Drilling Mud Mixing System Based on Artificial Intelligence
[ACM] 2026-4-25 | HPE-YOLO: A high-performance and efficient detector for in-field weed detection based on YOLOv11
[ACM] 2026-4-25 | An Immediate And Retrospective Analysis Of Stability And Change: Examining Students' Emotion And Motivation Profiles In Response To Outcome-Presenting Learning Analytics Dashboards
[ACM] 2026-4-25 | A Spatiotemporal Deep Learning Framework for ENSO Prediction Using Vision-Mamba RNN with Dynamic Activation Functions
[ACM] 2026-4-25 | Trust Estimation in Online Social Networks via Reinforcement Learning and Hypergraph Structures
[ACM] 2026-4-25 | D3X: Dependency Driven, Decentralised Execution for Scalable AI Teams
[ACM] 2026-4-25 | Introduction to the SEAMS 2024 Special Issue.
[ACM] 2026-4-25 | Beyond Rewards: Extended Evaluation Metrics for Safe Reinforcement Learning with PPO-Lagrangian
[ACM] 2026-4-25 | Augmenting Travel Accessibility in Catanduanes through an Android-Powered GPS-Integrated Booking System
[ACM] 2026-4-25 | Evaluation of the Application Effect of a Reinforcement Learning-Based Dynamic Treatment Strategy for Fluid Management in Sepsis Patients in the Intensive Care Unit
[ACM] 2026-4-25 | Research on Cross-Cultural Visual Symbol Recognition, Generation, and Adaptive Optimization Based on Deep Learning for Sustainable Visual Communication
[ACM] 2026-4-25 | Research Review on Transformer Model in Computer Vision
[ACM] 2026-4-25 | A Mate-PINN Network Enhanced by Frequency Domain Characteristics for Fault Diagnosis of Pneumatic Control Valves
[ACM] 2026-4-25 | Research on Small Object Detection of Traffic Signs Based on Improved YOLOv11
[ACM] 2026-4-25 | Construction and Practical Evaluation of a Pharmacovigilance Course Teaching Model Integrating Knowledge Graph and Artificial Intelligence—Based on a Blended Learning Environment
[ACM] 2026-4-25 | Algorithm-Driven Educational Agents as Lifelong Learning Companions: A Three-Dimensional Empowerment Framework
[ACM] 2026-4-25 | Research on Constructing an Evaluation Index System of University Students' Information Literacy in the Intelligent Digital Era and Designing an Assessment System
[ACM] 2026-4-25 | Leveraging Random Forest Algorithms for Predictive Analytics in Enhancing English Reading Comprehension
[ACM] 2026-4-25 | The impact of parent–child relationship on secondary school students’ online learning adaptation in information-rich learning environments: The mediating role of psychological capital
[ACM] 2026-4-25 | Artificial Intelligence Literacy–Based Technology Interaction Model: The Central Role of AI Evaluation in AI-Supported Language Learning
[ACM] 2026-4-25 | An Assessment Method for Digital Intelligence Teaching Competence of Private College Teachers Using Teaching Behavior Data and Deep Learning
[ACM] 2026-4-25 | Assessment of Subthreshold Depression Improvement via Resistance Training Using K-Means Clustering
[ACM] 2026-4-25 | Modeling Longitudinal Student Pathways with Explainable Generative Models
[ACM] 2026-4-25 | Understanding Study Approaches in E-Book Logs and Their Relation to Metacognition and Performance
[ACM] 2026-4-25 | Research on the Construction of an OBE-Oriented College English Teaching Paradigm Empowered by Generative Artificial Intelligence
[ACM] 2026-4-25 | A Synergistic Framework for Cognitive Diagnosis with LLM-Empowered Data Augmentation
[ACM] 2026-4-25 | Comparative Analysis of Different Mission Control Systems Architecture
共写入 100 条记录，保存到 papers/paper2026-04-25.json。
论文获取成功，文件路径: papers/paper2026-04-25.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Erratum: Annotated Automatic Pruning of Universal Probabilistic Programming Languages
[NO] 2/100 | Revisiting the Hint Button: Consistent Negative Associations Between Unproductive Hint Use and Learning Outcomes in Intelligent Tutoring Systems
[NO] 3/100 | EnVector: Encoding using Pattern based Vectors for Energy Efficient Non-Volatile Main Memories
[NO] 4/100 | Requirements and Application Design for a Digital-intelligent Warfare Case Teaching System
[NO] 5/100 | Generation of Chinese Arithmetic Word Problems with Controllable Difficulty Levels Based on Pre-trained Models
[NO] 6/100 | Personalized Learning Path Design and Implementation of the “Principles and Applications of Microcontrollers” Course from the Perspective of Digital and Intelligent Empowerment
[NO] 7/100 | An AI-Enabled Bimodal Learning Analytics Framework for Enhancing Project-Based Learning: An Empirical Study
[NO] 8/100 | Deep Learning-Based Exchange Rate Risk Early Warning for Cross-Border E-Commerce Supply Chains in Dongguan
[NO] 9/100 | Traffic Flow Prediction and Signal Coordination Control for Smart Cities Based on Multi-source Big Data and an Improved Long Short-term Memory Model
[NO] 10/100 | Research on Risk Evolution Mechanism of Civil Aviation Turbulence Accidents Based on Expert-in-the-Loop Deep Semantic Generation
[NO] 11/100 | AI-Enabled Learning Analytics and Intelligent Interaction System for Chinese College English Flipped Classrooms: Model Reconstruction and Effectiveness Evaluation
[NO] 12/100 | Research on logistics distribution Route optimization based on Big data Analysis
[NO] 13/100 | Introduction to the Special Issue on Systems for Energy-Efficient Buildings, Cities, and Transportation
[NO] 14/100 | Strengthening Course Transfer Pathways Using Graph-Theoretic Articulation Networks
[NO] 15/100 | From Intra-Unit Abort to Completion: Optimizing Engagement in Low-Resource Classrooms
[NO] 16/100 | A Transformer-Based Collaborative Evaluation Method for Teaching Effectiveness and Ideological Alignment in College Ideological and Political Education
[NO] 17/100 | Design of a Digital Support System for Enhancing Intercultural Adaptation Competence: An Empirical Study Based on a Data-Driven Model
[NO] 18/100 | A Study on How GAI-Supported Adaptive Self-Regulated Learning Scaffolding Influences Computational Thinking and Cognitive Load in Primary School Pupils
[NO] 19/100 | Adaptive Gated Multi-Scale Deep Neural Network for Solving Multi-Frequency Problems
[NO] 20/100 | Stock Price Forecasting Model Based on Attention-MLP-GPR
[NO] 21/100 | On Parallel
                    <i>𝑘</i>
                    -Center Clustering
[NO] 22/100 | Design and Verification of an AI-Assisted English Oral Interaction Teaching System Incorporating Emotional Computing
[NO] 23/100 | Analysis of Stirring and Mixing Dead Zones in Cementing Mixing Tanks Based on Computational Fluid Dynamics (CFD) Modeling
[NO] 24/100 | A Multi-Task Fusion Model for Scene-Level Spatial Cognitive Information Extraction in Indoor Safety Monitoring of Elderly-Assisting Robots
[NO] 25/100 | Research on health situation awareness of integrated energy system in micro grid with hydrogen energy based on improved FAHP-GA algorithm
[NO] 26/100 | Construction and Experimental Design of a Three-Dimensional Evaluation System for Python Programming Courses
[NO] 27/100 | Intelligent Generation and Security Protection for IP Digital Assets: Key Technologies and Teaching-Oriented Practice
[NO] 28/100 | How “Horizontal Coordination + Vertical Integration” Drives Digital Higher Education: Theory and Practice for Postgraduate Dissertation Quality Improvement
[NO] 29/100 | Research on medical degree and postgraduate education system based on LDA model
[NO] 30/100 | An Intelligent Platform for Online Article Management, Analysis, and Summarization Using Advanced NLP and Deep Learning Models
[NO] 31/100 | Time Series Forecasting Using Decomposition Techniques in Time and Frequency DomainsTime-Series Forecasting with TFDLinear
[NO] 32/100 | Innovative Application of Artificial Intelligence Technology in Jewelry Design
[NO] 33/100 | Latent Financial Risk Measurement and Cross-Border Capital Flow Prediction Driven by Large Model Text Mining
[NO] 34/100 | SemanticBlock: Blockchain-Assisted Secure and Energy-Aware UAV-BS Deployment Leveraging Semantic Learning
[NO] 35/100 | Machine Learning-Driven DDoS Defense: Feature Engineering, Algorithm Selection, and End-to-End System Validation
[NO] 36/100 | Automated Image Colorization using Generative Adversarial Networks
[NO] 37/100 | Evaluating AI-Generated Narrative Feedback on Nonverbal Communication in Student Presentations
[NO] 38/100 | GenAI Analytics and Pedagogical Configurations: Featuring New Generative AI Systems in Education
[NO] 39/100 | From Wandering to Collaboration: Discourse Patterns in Middle School Generative AI Use
[NO] 40/100 | Development and Evaluation of a Dual-Expertise, Utterance-Level Framework for LLM-Based Science Classroom Discourse Analysis
[NO] 41/100 | Designing AI Teachable Agents with Personality: Supporting Student Emotions in Mathematics Learning
[NO] 42/100 | Embedding-Based Rankings of Educational Resources based on Learning Outcome Alignment: Benchmarking, Expert Validation, and Learner Performance
[NO] 43/100 | Evaluation of Bagging Predictors with Kernel Density Estimation and Bagging Score
[NO] 44/100 | Examining Student Interactions with a Pedagogical AI-Assistant for Essay Writing and their Impact on Students’ Writing Quality
[NO] 45/100 | Design and Implementation of a Cloud-Native Project Repository System for Articulated Software Engineering Education
[NO] 46/100 | Research on Deep Learning-Based Cybersecurity for Power Systems
[NO] 47/100 | Research-Driven Education: Applying Fingerprint Image Processing in ‘Big Data Technology and Applications’ Instruction
[NO] 48/100 | Using LLMs as prompt modifier to avoid biases in AI image generators
[NO] 49/100 | Supervised Learning Approaches for Order Status Prediction: A Comparative Study on Pakistan's Largest E-Commerce Dataset
[NO] 50/100 | System for Omni-modal AI No-code Generation Technology-Driven Library Personalized Services
[NO] 51/100 | How Do Students Listen to Each Other When Solving Complex Problems?
[NO] 52/100 | Unpacking Co-Creation with AI: Understanding Students’ Creativity in a Game Design Course
[NO] 53/100 | Using Large Language Models to Detect Socially Shared Regulation of Collaborative Learning
[NO] 54/100 | Exploring Students’ Cognitive Engagement with Generative Artificial Intelligence
[NO] 55/100 | Instructional Design of Image Recognition Technology: Taking the Design of Circuit Experiment Assessment System as an Example
[NO] 56/100 | Teaching Reform and Practice of Logistics Cost Management Course Based on O-AMAS Effective Teaching Model in the Context of Digital Economy
[NO] 57/100 | TGEM: Text-Guided Fusion of LiDAR and Camera for Robust 2D Object Detection
[NO] 58/100 | Research on Establishing an Integrated Data Platform for Labor Costs in Nuclear Chemical Engineering Construction Projects
[NO] 59/100 | Analysis of the Synergistic Role of User Natural Language Feedback and Behavioral Data in Adjusting Recommendation Strategies for Mental Health Platforms
[NO] 60/100 | Development of cross-scale thermal stress simulation platform based on MD-FEM coupling and prediction of failure threshold of nano-coating interface
[NO] 61/100 | It's a Big Tiny(ML) World in Industry 4.0 and 5.0
[NO] 62/100 | Design Research on Teaching Simulation Environments for Aesthetic Education Appreciation Courses Based on Virtual Reality Technology
[NO] 63/100 | Multi-Objective Optimization of Medical PE Curriculum: Balancing Physical Load and Ethical Cultivation via Ant Colony Algorithm — A Case Study of Wuzhou Medical College
[NO] 64/100 | An Advanced Experimental Case of 4D Point Clouds Generation based on Millimeter-Wave Array Radar
[NO] 65/100 | Cyclic Adaptive Private Synthesis for Sharing Real-World Data in Education
[NO] 66/100 | Investigating Self-regulated Learning Sequences within a Generative AI-based Intelligent Tutoring System
[NO] 67/100 | Beyond the Numbers: Socio-Cultural Context as a Frame for Learning Analytics
[NO] 68/100 | Teacher Characteristics Shape Engagement and Outcomes in Online Professional Learning Environments
[NO] 69/100 | Detection of Structural Damages for Petroglyphs of Bangudae Terrace using Edge Extraction based on Deep Learning
[NO] 70/100 | Hallucination Prediction in Large Language Models Using Contextual Analysis
[NO] 71/100 | Automated Trust-Aware Software Vulnerability Scoring via Explainable Feature Alignment
[NO] 72/100 | An Expanded Quantitative Methodological Review of Research on Broadening Participation in Computing, 2005-2023
[NO] 73/100 | Data-Driven Analysis of Aromatherapy Intervention Based on Digital Anxiety Assessment
[NO] 74/100 | Optimization of Adaptive Control Algorithm for Drilling Mud Mixing System Based on Artificial Intelligence
[NO] 75/100 | HPE-YOLO: A high-performance and efficient detector for in-field weed detection based on YOLOv11
[NO] 76/100 | An Immediate And Retrospective Analysis Of Stability And Change: Examining Students' Emotion And Motivation Profiles In Response To Outcome-Presenting Learning Analytics Dashboards
[NO] 77/100 | A Spatiotemporal Deep Learning Framework for ENSO Prediction Using Vision-Mamba RNN with Dynamic Activation Functions
[NO] 78/100 | Trust Estimation in Online Social Networks via Reinforcement Learning and Hypergraph Structures
[NO] 79/100 | D3X: Dependency Driven, Decentralised Execution for Scalable AI Teams
[NO] 80/100 | Introduction to the SEAMS 2024 Special Issue.
[NO] 81/100 | Beyond Rewards: Extended Evaluation Metrics for Safe Reinforcement Learning with PPO-Lagrangian
[NO] 82/100 | Augmenting Travel Accessibility in Catanduanes through an Android-Powered GPS-Integrated Booking System
[NO] 83/100 | Evaluation of the Application Effect of a Reinforcement Learning-Based Dynamic Treatment Strategy for Fluid Management in Sepsis Patients in the Intensive Care Unit
[NO] 84/100 | Research on Cross-Cultural Visual Symbol Recognition, Generation, and Adaptive Optimization Based on Deep Learning for Sustainable Visual Communication
[NO] 85/100 | Research Review on Transformer Model in Computer Vision
[NO] 86/100 | A Mate-PINN Network Enhanced by Frequency Domain Characteristics for Fault Diagnosis of Pneumatic Control Valves
[NO] 87/100 | Research on Small Object Detection of Traffic Signs Based on Improved YOLOv11
[NO] 88/100 | Construction and Practical Evaluation of a Pharmacovigilance Course Teaching Model Integrating Knowledge Graph and Artificial Intelligence—Based on a Blended Learning Environment
[NO] 89/100 | Algorithm-Driven Educational Agents as Lifelong Learning Companions: A Three-Dimensional Empowerment Framework
[NO] 90/100 | Research on Constructing an Evaluation Index System of University Students' Information Literacy in the Intelligent Digital Era and Designing an Assessment System
[NO] 91/100 | Leveraging Random Forest Algorithms for Predictive Analytics in Enhancing English Reading Comprehension
[NO] 92/100 | The impact of parent–child relationship on secondary school students’ online learning adaptation in information-rich learning environments: The mediating role of psychological capital
[NO] 93/100 | Artificial Intelligence Literacy–Based Technology Interaction Model: The Central Role of AI Evaluation in AI-Supported Language Learning
[NO] 94/100 | An Assessment Method for Digital Intelligence Teaching Competence of Private College Teachers Using Teaching Behavior Data and Deep Learning
[NO] 95/100 | Assessment of Subthreshold Depression Improvement via Resistance Training Using K-Means Clustering
[NO] 96/100 | Modeling Longitudinal Student Pathways with Explainable Generative Models
[NO] 97/100 | Understanding Study Approaches in E-Book Logs and Their Relation to Metacognition and Performance
[NO] 98/100 | Research on the Construction of an OBE-Oriented College English Teaching Paradigm Empowered by Generative Artificial Intelligence
[NO] 99/100 | A Synergistic Framework for Cognitive Diagnosis with LLM-Empowered Data Augmentation
[NO] 100/100 | Comparative Analysis of Different Mission Control Systems Architecture
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-04-25.json。
邮件发送成功！
[2026-04-26 10:03:49] 任务执行成功！
