[2026-06-30 11:40:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-29
正在获取论文...
[arXiv] 2026-06-29 | Real-Time Underwater Image Enhancement via Frequency-Guided Dual-Path Attention
[arXiv] 2026-06-29 | Dynamic Topological Light Control in Reconfigurable Non-Hermitian Metastacks
[arXiv] 2026-06-29 | Dirichlet-Neumann waveform relaxation for heterogeneous heat equations: continuous and time discrete L2 analysis
[arXiv] 2026-06-29 | Hephaestus: Toward a Cybersecurity AI Scientist
[arXiv] 2026-06-29 | First-Order Temporal Logic Tensor Networks
[arXiv] 2026-06-29 | DuoMem: Towards Capable On-Device Memory Agents via Dual-Space Distillation
[arXiv] 2026-06-29 | IHDec: Divergence-Steered Contrastive Decoding for Securing Multi-Turn Instruction Hierarchies
[arXiv] 2026-06-29 | Soft-Radiation-Induced Decoherence of Heavy-Quark Spin Entanglement at the Electron-Ion Collider
[arXiv] 2026-06-29 | WARP: Whole-Body Retargeting for Learning from Offline Human Demonstrations
[arXiv] 2026-06-29 | Revisiting "A universal model for the Lorenz curve with novel applications''
[arXiv] 2026-06-29 | Bifurcation structure of soliton self-injection locking in microresonators
[arXiv] 2026-06-29 | Flying to Image-Specified Objects: 3D Quadrotor Navigation via Cross-Graph Memory and Viewpoint Planning
[arXiv] 2026-06-29 | On the existence of canonical multi-phase free boundary Brakke flows: a case study
[arXiv] 2026-06-29 | High-Redshift Signatures from the Cosmic Dawn and the Epoch of Reionization
[arXiv] 2026-06-29 | AdaGrad does not adapt to Hölder-smoothness for composite objectives
[arXiv] 2026-06-29 | Criteria of isolated weighted homogeneous hypersurface singularities using Logarithmic vector fields
[arXiv] 2026-06-29 | Same Concept, Different Directions: Cross-Modal Feature Heterogeneity in Sparse Autoencoders
[arXiv] 2026-06-29 | AUSLUN: A Fixed-Hover UAV--USV System for GNSS-Denied Maritime Search and Navigation
[ACM] 2026-6-29 | Proving Use Requirements of Interactive Systems with Remote Monitoring and Control Capabilities EICS024
[ACM] 2026-6-29 | PACMCGIT V9N3, SIGGRAPH Art Papers, July 2026 Editorial 25e
[ACM] 2026-6-29 | Gorgon Loop: An Interactive Art Installation Revealing Algorithmic Judgment through Machine Vision and Generative Language 390
[ACM] 2026-6-29 | Light Architecture: Translating the AI Black Box into Immersive Experience 34
[IEEE] 2026-6-29 | Design and Reliability Assessment of a Reconfigurable Tunneling Device for Ultra Low-Power Applications
[ACM] 2026-6-29 | From Cradle to Cloud: A Life Cycle Review of AI's Environmental Footprint
[ACM] 2026-6-29 | C
                    <scp>ounter</scp>
                    F
                    <scp>ace</scp>
                    : A Synthetic Face Dataset for Fine-Grained Counterfactual Evaluation of Face Recognition Systems
[ACM] 2026-6-29 | Taste for Privacy: How Context, Identity, and Lived-Experience Shape Information Sharing Preferences
[ACM] 2026-6-29 | Tradeoffs are Domain Dependent: Improving Accuracy and Fairness in Property Tax Assessments
[IEEE] 2026-6-29 | BioMutFed+: Mutation-Driven Federated Learning for IIoT
[IEEE] 2026-6-29 | LLM-Enhanced Accumulated Learning Prediction for Evolutionary Dynamic Multiobjective Optimization
[IEEE] 2026-6-29 | Water-KAN: Efficient Underwater Image Enhancement via Kolmogorov-Arnold Networks
[IEEE] 2026-6-29 | Index
[IEEE] 2026-6-29 | CoCo-SCR: Covisibility-Centric Scene Coordinate Regression for Large-Scale UAV Visual Localization
[IEEE] 2026-6-29 | DACE-Net: Detail-Aware Calibrated Enhancement Network for Building Change Detection
[IEEE] 2026-6-29 | Recognition and Impact Evaluation of Dust UTXO Transaction Fee Behaviors on the Bitcoin Blockchain
[ACM] 2026-6-29 | A Neuro-Symbolic Framework for Legal Accountability in Public-Sector AI
[ACM] 2026-6-29 | When the Shield Became the Sword: Gendered Revenge Effects on Safety Platforms
[ACM] 2026-6-29 | Sustainable AI research? Researchers' perceptions of the environmental impact of AI and emissions-feedback tools
[IEEE] 2026-6-29 | Optimizing Energy Performance Estimation in Residential Buildings With PCA Based Tree Ensembles
[ACM] 2026-6-29 | The Fragility of Moral Judgment in Large Language Models
[ACM] 2026-6-29 | Three Models of RLHF Annotation: Extension, Evidence, and Authority
[IEEE] 2026-6-29 | Multi-Agent System for Orchestrating Retrieval and Multimodal Reasoning in Cloud Environments
[IEEE] 2026-6-29 | Multi-Axis Evaluation of Adverse Drug Event Classification: Clinical Error Cost, Linguistic Failure Taxonomy, and Leakage-Corrected Benchmarks on ADE Corpus V2
[IEEE] 2026-6-29 | Towards Education for All: Low-Cost Analog Communications Labs for the Global South
[IEEE] 2026-6-29 | Comparative Study of Pose Estimation Techniques for Remote Range of Motion Monitoring in Healthcare
[IEEE] 2026-6-29 | RSSIFilter: Selective RFID Tag Reading via RSSI Thresholding
[IEEE] 2026-6-29 | C4-Symmetric Hooked-Arm Antenna with Multiband Scaling and Modal Reconfigurability
[IEEE] 2026-6-29 | Convolutional Neural Network Based Detection of Abnormal Business Behavior in Smart Grid Information System
[IEEE] 2026-6-29 | Integrating Health Sensing into Cellular Networks: Human Sleep Monitoring Using 5G Signals
[IEEE] 2026-6-29 | Model Complexity Must Match Data Regularity: Benchmarking LSTM, Attention, and Hybrid Models for Household Electricity Prediction
[IEEE] 2026-6-29 | Classifying Student Course Evaluations with ChatGPT: Exploring LLMs for Educational Quality Assessment in Engineering Education
[IEEE] 2026-6-29 | PIR-DSN: A Decentralized Storage Network Supporting Private Information Retrieval
[IEEE] 2026-6-29 | A Survey on Centrality in Satellite Networks
[IEEE] 2026-6-29 | WIP: AI-Driven Support for Adaptive Learning in Computer Programming Education Based on Established Pedagogical Theories
[IEEE] 2026-6-29 | Bridging Theory and Practice: Teaching Quantum Algorithms Through MATLAB
[IEEE] 2026-6-29 | AI-Driven Autonomous Defense for Oil and Gas Critical Infrastructure: Reproducible Testbeds and Open Datasets for Cyber-Physical Resilience
[IEEE] 2026-6-29 | Project-Based Learning for Year 1 Students in the Context of Robotics and Artificial Intelligence: A Robotics Challenge
[IEEE] 2026-6-29 | Evaluation of U.S. 5G Testbeds: Limitations, Trends, and Pathways to 6G
[IEEE] 2026-6-29 | Feature-Index Disclosure in Encrypted Linear Screening
[IEEE] 2026-6-29 | Deep-Tree: Integrating Deep Semantic Representation and Tree-based Ensembles for Cloud Resource Efficiency Prediction
[IEEE] 2026-6-29 | Advancing STEM Education: Artificial Intelligence, Metaverse, and the Rise of Adaptive Learning Ecosystems
[IEEE] 2026-6-29 | Toward Sustainable Development in Latin America: ESG, Innovation, and Engineering Education
[IEEE] 2026-6-29 | Importance and Teaching of Simulation Skills at Electronics Engineering Students
[IEEE] 2026-6-29 | WiLoc: Massive Measured Dataset of Wi-Fi Channel State Information with Application to Machine-Learning Based Localization
[IEEE] 2026-6-29 | RESCUE: Opportunistic Online Scheduling of Model Retraining on Underutilized Edges
[IEEE] 2026-6-29 | An Autonomous Navigation Framework Based on Dynamic Cognitive Maps and Large Language Models
[IEEE] 2026-6-29 | LeJOT-AutoML: LLM-Driven Feature Engineering for Job Execution Time Prediction in Databricks Cost Optimization
[IEEE] 2026-6-29 | The Impact of Project-Based Learning on First-Semester Software Engineering Students’ Sense of Community: A Mixed-Methods Study
[IEEE] 2026-6-29 | EExApp: GNN-Based Reinforcement Learning for Radio Unit Energy Optimization in 5G O-RAN
[IEEE] 2026-6-29 | A Methodological Template for Explainable ML on Small Biomedical Datasets: Post-Split Augmentation and SHAP Analysis Applied to Parkinson's Gait
[IEEE] 2026-6-29 | Three-Layer Defense Mechanism for Decentralized Federated Learning
[IEEE] 2026-6-29 | Dual-Wavelength Q-Switched Fiber Laser Based on Cobalt Ditelluride Saturable Absorber
[IEEE] 2026-6-29 | GLOW-TW: Full-Field Depth Estimation for Wide–Tele Heterogeneous Stereo
[IEEE] 2026-6-29 | EEG-Conditioned Emotional Speech Synthesis with Grad-TTS
[IEEE] 2026-6-29 | A Neuro-Symbolic Fusion Framework for Evaluating Knowledge Graph Support in Graph-RAG
[IEEE] 2026-6-29 | MGOA-ReID: Multi-Granularity Occlusion-Aware Person Re-Identification with Self-Supervised Visibility Modeling
[IEEE] 2026-6-29 | Communication Performance Evaluation in Complex Environments Based on Statistical Analysis and Multi-parameter Correlation
[IEEE] 2026-6-29 | RadCloudSplat: Scatterer-Driven 3D Gaussian Splatting with Point-Cloud Priors for Radiomap Extrapolation
[IEEE] 2026-6-29 | Acoustic RIS for Massive Spatial Multiplexing: Unleashing Degrees of Freedom and Capacity in Underwater Communications
[ACM] 2026-6-29 | Optimal exponents for the Schlick reflectance approximation
[ACM] 2026-6-30 | FHECrafter: A Multi-Agent Framework for Automated Fully Homomorphic Encrypted Tensor Program Generation
[ACM] 2026-6-30 | Controlled Granularity Tuning for Log-Based Anomaly Detection in Converged HPC-Cloud Environments
[ACM] 2026-6-29 | Infrastructure-Free Indoor Occupancy Estimation via Passive BLE Scanning EICS026
[ACM] 2026-6-29 | Context-Mediated Domain Adaptation in Multi-Agent Sensemaking Systems EICS003
[ACM] 2026-6-29 | <i>Making a Name for Myself</i>
                    : On Academic Naming Policies and their Impact
[IEEE] 2026-6-29 | A Grid Fault Type Identification Method Based on Novel Features of LCL-type Inverter
[IEEE] 2026-6-29 | A 90.9-dB SNDR Fourth-Order Fully Passive Bandpass Current-Integrating Noise-Shaping SAR Light-to-Digital Converter
[IEEE] 2026-6-29 | A Graphene-Based Flexible Capacitive Respiratory Sensor With CMOS Readout Circuit
[IEEE] 2026-6-29 | A Resilient and Optimization-Driven Approach to Enhancing Network Stability in Microgrid Distributed Control Under Denial-of-Service Attacks
[IEEE] 2026-6-29 | When Even Experts Disagree: Human-in-the-Loop Evaluation of LLM-Generated Hypotheses for Learning Analytics
[IEEE] 2026-6-29 | Physics-Informed RF Features for Bone Fracture Detection and Healing Classification: A Grouped Cross-Validation Study Using 2D-FDTD Simulation Across Five Anatomical Sites
[IEEE] 2026-6-29 | Stacked Intelligent Metasurface for End-to-End OFDM System
[IEEE] 2026-6-29 | Near-Field Beam Training for Cell-Free Networks Leveraging Distributed Angle Observations
[IEEE] 2026-6-29 | Systemic Maturity – Measuring Intangibles through the SEM-ORB Methodology
[IEEE] 2026-6-29 | From Templates to Agentic Reasoners: A Systematic Review of Automated Item Generation for Mathematics
[IEEE] 2026-6-29 | HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs
[IEEE] 2026-6-29 | Reaction Kinetics and Gassing Tendency of Natural Ester FR3 Fluid under Thermal Stress
[IEEE] 2026-6-29 | Iterative Optimization of Interface Conductivity on DC GIL Spacer Under Thermal Gradient
[IEEE] 2026-6-29 | A Real-time Adaptive Path Planning Method for Robotic Full-coverage Polishing of Unknown-model Workpieces
[IEEE] 2026-6-29 | MS-ResFormer: A Multi-Scale Residual Transformer Framework for TEM Denoising with Improved Late-Time Stability
[IEEE] 2026-6-29 | Design Method of Quasi-Lumped Element Bandpass Filters Using Superconducting Coplanar Waveguide for Millimeter-Wave Multichroic Imaging
[IEEE] 2026-6-29 | Meta-Learning for Predictive Modeling of Antimicrobial Resistance in Dynamic Healthcare Environments
[IEEE] 2026-6-29 | Intensive Game Development Projects as a Learning Arena for AI Literacy and Critical Thinking
[IEEE] 2026-6-29 | Magnetic Resonance Spectroscopy Deep Learning with Magnetic Resonance Background Generator Enables
                    <i>In Vivo</i>
                    Metabolite Quantification of Hepatic Encephalopathy
[IEEE] 2026-6-29 | EAR-Net: Pursuing End-to-End Absolute Rotations from Multi-View Images
[ACM] 2026-6-29 | Expert Evaluation and the Limits of Human Feedback in Mental Health AI Safety Testing
[IEEE] 2026-6-29 | AI-Driven Optimization of 5G Networks: Predicting Congestion and Faults Using ML Techniques
[IEEE] 2026-6-29 | Generative AI in Engineering Education: Equity-Enhancing Tool or Digital Divide Deepener?
[IEEE] 2026-6-29 | DEMO: Distributed Edge &amp; Split Learning for Energy-Aware Spatiotemporal Forecasting
[IEEE] 2026-6-29 | Improving Angle-of-Arrival Bluetooth Indoor Positioning via Machine Learning Techniques
[IEEE] 2026-6-29 | AI-Enhanced Curricula of Higher Education Institutions for Advancing Sustainable Development Goal 4: The IPEC Framework
[IEEE] 2026-6-29 | Analyzing the Impact of Generative AI Assistants Use in Undergraduate Programming Courses
[IEEE] 2026-6-29 | How Do Girls Use Generative AI?
[IEEE] 2026-6-29 | GenAI-Driven Game and Viva Assessments for Software Engineering
[IEEE] 2026-6-29 | Author-Guided, Hybrid LLM Dialogue Systems for Educational VR Simulations
[IEEE] 2026-6-29 | Towards Asynchronous Client Collaboration in Personalized Federated Learning
[IEEE] 2026-6-29 | mmWave-Aided Unified Speech Enhancement and Separation without Speaker Count Prior
[IEEE] 2026-6-29 | Prompting Matters: Evaluating Strategies for LLM-based Vulnerability Detection
[IEEE] 2026-6-29 | CrossModal-FatigueNet: A Cross-Modal Attention-Based Framework for Multimodal EEG-EOG Fatigue Detection
共写入 200 条记录，保存到 papers/paper2026-06-29.json。
论文获取成功，文件路径: papers/paper2026-06-29.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Real-Time Underwater Image Enhancement via Frequency-Guided Dual-Path Attention
[NO] 2/200 | TRACE: A Concept Bottleneck Model for Longitudinal 3D Glioblastoma Response Assessment
[NO] 3/200 | Structural functional identifiability and model discovery in differential equation models
[NO] 4/200 | Wasserstein regularity of vorticity solutions to the 2D Navier-Stokes equations
[NO] 5/200 | Long-range scattering
[NO] 6/200 | List $3$-coloring $C_4$-free graphs of diameter-$2$ in polynomial-time
[NO] 7/200 | Multi-year Ground-Based Survey Photometry of Active Comet 103P/Hartley 2 and Centaur (2060) Chiron: A Tale of Two Comets in the Pre-LSST Era
[NO] 8/200 | The signless Laplacian spectral radius of graphs without disjoint cliques
[NO] 9/200 | Cyclic Attractor Detection in Boolean Network Dynamics under Local Logical Constraints
[NO] 10/200 | ConCent: Contact-Centric Real-to-Sim-to-Real Learning from One Demonstration
[NO] 11/200 | Defending Against Harmful Supervision Hidden in Benign Samples
[NO] 12/200 | Robust secret storage in networks
[NO] 13/200 | Selective Deployment of Bidirectional Hollow-Core Fibers in Hybrid SMF/HCF Optical Networks
[NO] 14/200 | Curvature-Guided Sheaf Diffusion for Unsupervised Community Detection on Heterophilic Graphs
[NO] 15/200 | Quantum percolation based dynamic propagation connectivity for critical-area identification in transport networks
[NO] 16/200 | Comparing Human and Automatic Recognition of Dutch Dysarthric Continuous Speech: A Case Study
[NO] 17/200 | A Distributionally Robust Framework for Learned Reconstructions in Inverse Problems
[NO] 18/200 | Efficiency of Valid Inferential Models: Choquet-risk Optimal Possibility Measures, and Direct Comparisons
[NO] 19/200 | Bifurcation and global continuation of travelling-rotating Schrödinger maps on the sphere
[NO] 20/200 | Arduino based interferometer stabilizer equipped with a digital lock-in amplifier
[NO] 21/200 | Orbital, Shadow, and Thin-Disk Signatures of a Regular Black Hole with Gravitational Self-Energy
[NO] 22/200 | Non-Commutative Wiener-Wintner theorem for amenable group actions
[NO] 23/200 | Few-Shot Domain Incremental Learning via Continual Vision-Language Consolidation
[NO] 24/200 | DrivenMorph: Bridging Attention Mechanism and Variational Image Registration via Difference Modeling
[NO] 25/200 | HiRes: A Hierarchical Cascaded Method for Resistor Value Identification
[NO] 26/200 | Trimers in the Extended Hubbard Model
[NO] 27/200 | Virtual K-theoretic invariants of the nested Hilbert scheme on $\mathbb{C}^2$
[NO] 28/200 | On the Divisorial Geometry of Volume Asymptotics of Sublevel Sets
[NO] 29/200 | Radiation effects and noise evolution in NewAthena WFI flight-production sensors
[NO] 30/200 | Latent Noise Mask for Reducing Visual Redundancy in Multimodal Large Language Models
[NO] 31/200 | Self-supervised Geometry Reasoning for LiDAR Simultaneous Localization and Mapping
[NO] 32/200 | On Property $N_p$ of line bundles on smooth projective toric varieties
[NO] 33/200 | CO snow lines are stabilised by the vertical transport of volatiles
[NO] 34/200 | AERIS: Aerial-Edge Role-Driven Intelligence at Runtime via Orchestrated Language-Model Swarm
[NO] 35/200 | Wave Optics Effects from Gravitational Wave Propagation Through Dark Matter Halos
[NO] 36/200 | Asymptotic justification of the Reynolds equation for a spherical bearing
[NO] 37/200 | Reactive Graphs for Efficient Markov Chain Monte Carlo Inference in Probabilistic Programming Languages
[NO] 38/200 | Gromov's dihedral rigidity conjecture in dimension three
[NO] 39/200 | Ferroelastic domain wall motion and collective domain switching in RbSCN
[NO] 40/200 | I.i.d. Prophet Inequalities with Discounted Rewards: As Hard as the Non-i.i.d. Case
[NO] 41/200 | Uniqueness and non-uniquess for the mean field control of fisheries
[NO] 42/200 | CylindTrack: Depth-Aware Cylindrical Motion Modeling for Panoramic Multi-Object Tracking
[NO] 43/200 | Black holes with regular scalar hair in Brans-Dicke gravity via the Herglotz variational principle
[NO] 44/200 | Heisenberg uncertainty inequalities for locally compact abelian groups
[NO] 45/200 | How to pick your team with no size restriction
[NO] 46/200 | How Far Can You Get Without a GPU? A Systematic Benchmark of Lightweight Hallucination Detection Across Question Answering, Dialogue, and Summarisation
[NO] 47/200 | Clearer Sight, Fewer Lies: Oriented Pickup Preference Optimization for Multimodal Hallucination Mitigation
[NO] 48/200 | Harnessing Toroidal Neutral Flows to Enhance Divertor Particle Exhaust
[NO] 49/200 | Multi-Level Distributional Entropy for Explainable Network Intrusion Detection
[NO] 50/200 | Fund2Persona: A Framework for Building and Refining Financial Advisor Personas from Fund Disclosure Data
[NO] 51/200 | What Drives the Inlier-Memorization Effect? A Theory of Outlier Detection via Early Training Dynamics
[NO] 52/200 | OP3DSG: Open-Vocabulary Part-Aware 3D Scene Graph Generation for Real-World Environments
[NO] 53/200 | Multipartite quantum resource distillation through local measurement programs
[NO] 54/200 | Trajectory Optimization for Collision-Aware Redundant Robotic Multi-Axis Additive Manufacturing by Constrained Gradient Projection
[NO] 55/200 | PS-PPO: Prefix-Sampling PPO for Critic-Free RLHF
[NO] 56/200 | LEIQ-Assessor: Multi-dimensional Quality Assessment of Low-light Enhanced Images via Multi-task Learning
[NO] 57/200 | Finite-resolution exhaustive traversal of thermodynamic state spaces has divergent thermodynamic length
[NO] 58/200 | Effective Depth in Joint Source-Channel Coding: An Implicit Equilibrium Analysis
[NO] 59/200 | Ideal $n$-cotorsion pairs in Frobenius extriangulated categories
[NO] 60/200 | DeepTrans Studio: Turning Expert Interventions into Shared Team Knowledge in Agentic Translation Workflows
[NO] 61/200 | From Trait to Behavior: A Cognitive-Affective Personality System (CAPS) Perspective on Multi-Homing Intention in AIGC Platforms
[NO] 62/200 | Attraction, Not Adaptation: How AI Agent Communities Develop Distinct Linguistic Identities
[NO] 63/200 | Redefining Maritime Anomaly Detection via Equation-Grounded Synthetic Anomalies
[NO] 64/200 | AerialMetric: Benchmarking and Adapting UAV Monocular Metric Depth Estimation in the Real World
[NO] 65/200 | Why Struggle with Continuous Latents? Interpretable Discrete Latent Reasoning via Rendered Compression
[NO] 66/200 | Dominance of slow solutions for second order abstract evolution equations with time-varying damping
[NO] 67/200 | A Machine-Verified Proof of a Quantum-Optimization Conjecture
[NO] 68/200 | Scaling limit theorem for mixed free and Boolean convolution powers
[NO] 69/200 | Siu's analyticity theorem for positive pluriharmonic currents
[NO] 70/200 | Unlocking the Visual Record of Materials Science: A Large-Scale Multimodal Dataset from Scientific Literature
[NO] 71/200 | Adjusted Wasserstein distances for bridging empirical and true distributions with applications to MDS
[NO] 72/200 | Length--Velocity Gauge Equivalence of Quantum Geometric Nonlinear Conductivity
[NO] 73/200 | Cooperative control and geometric amplification in dissipative quantum systems
[NO] 74/200 | Data-Driven Energy-Based Learning via Gibbs Measures on Hierarchical Structures
[NO] 75/200 | Little Brains, Big Feats: Exploring Compact Language Models
