[2026-09-17 14:01:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-16
正在获取论文...
[arXiv] 2026-09-16 | Contact canonoid maps and their conserved and dissipated quantities
[arXiv] 2026-09-16 | Thermally Desorbable InN Capping Layers for Nitride Surface Science
[arXiv] 2026-09-16 | Shifting Research Funding Priorities under Geopolitical Pressure: Evidence from Estonia
[arXiv] 2026-09-16 | Asymmetric Inelastic Dark Matter and the LUX-ZEPLIN event
[arXiv] 2026-09-16 | Sim-to-Real Traffic Scene Understanding by Decoupling Semantics from Caption Generation with V-JEPA
[arXiv] 2026-09-16 | Information Geometry of Four-Parameter Single-Qutrit States: From Quantum to Semiclassical Geometric Tensors
[arXiv] 2026-09-16 | Signatures of dark subhaloes in dwarf spheroidal galaxies: II. Transient and localised kinematic features
[arXiv] 2026-09-16 | Disentangled Fingerprints suggest no historical weakening of Atlantic Overturning and Subpolar Gyre
[arXiv] 2026-09-16 | HAP: A Hand-Driven Active Perception Framework for Egocentric Head Motion Prediction
[arXiv] 2026-09-16 | Symbolic powers of the ideal of$n$ general points in $P^{n-1}$
[arXiv] 2026-09-16 | Periodicity conjectures for all 2-sumfree sequences
[arXiv] 2026-09-16 | VoiceTrace: A Benchmark and Retrieval Framework for Who-Said-What Speech Retrieval
[arXiv] 2026-09-16 | Align, Integrate, and Fire: Efficient Token-Level Alignment for Zero-Shot SpeechLLMs
[arXiv] 2026-09-16 | Learning from Distributed Eyes: Leveraging Collaborative Perception for Automated Model Adaptation
[arXiv] 2026-09-16 | DiT-Garment: Garment Dynamics with Diffusion Transformers
[arXiv] 2026-09-16 | The Problem of Stochastic System Prediction in Gait Biomechanics Applications
[arXiv] 2026-09-16 | Conditional Uniformization of Kähler Surfaces
[arXiv] 2026-09-16 | Functional limit theorems for Galton--Watson processes with inhomogeneous immigration
[arXiv] 2026-09-16 | Impact of Phase Unwrapping on Multitarget Acoustic Lenses for Transcranial Holography
[arXiv] 2026-09-16 | Butterfly Effect and the Kinetic Energy Cascade in Probabilistic Machine Learning Weather Prediction Models
[arXiv] 2026-09-16 | Verify, Offload, Extend & Recommend: Selective Complementarity in AI Support for Physical Activity Planning with Longitudinal Patient Data
[arXiv] 2026-09-16 | Uncentered Blaschke-Santaló inequalities for the Gaussian measure
[arXiv] 2026-09-16 | Divide and Conquer: Mixture-of-Bottleneck Experts in Informative Ordinal Space for Video-based Multimodal Sentiment Analysis
[arXiv] 2026-09-16 | Improved systematic uncertainty evaluation of the $^{171}$Yb optical lattice clock NMIJ-Yb1 with uncertainty of $2.6\times10^{-17}$
[arXiv] 2026-09-16 | GeoCond: A Conditioning-Aware Reliability Adapter for Feed-Forward 3D Reconstruction
[arXiv] 2026-09-16 | Simplification Rules for Continuous-Time Quantum Walks on Dynamic Graphs
[arXiv] 2026-09-16 | CSWAM: Better Causal Semantic Representations for Out-of-Distribution Generalization in World Action Models
[arXiv] 2026-09-16 | Disentangling Long-Term Memory via Latent Neuro-Symbolic Reasoning
[arXiv] 2026-09-16 | Optimization Design and Simulation Validation of a Variable Stiffness Actuator Based on a Crossed Four-Bar Mechanism
[arXiv] 2026-09-16 | Extreme Values of Quadratic Dirichlet $L$-Functions over Monic Irreducible Polynomials in $\mathbb{F}_q[t]$
[arXiv] 2026-09-16 | VLM-MPPI: Grounding Natural Language in Behaviorally Diverse Trajectories for Aerial Navigation
[arXiv] 2026-09-16 | A Programmable Rydberg Quantum Bus for Nonlocal Connectivity
[arXiv] 2026-09-16 | Planning or Improvisation? Stress-Testing the Poetry Planning Site on Open Models and Open Cross-Layer Transcoders
[arXiv] 2026-09-16 | Rapid Parameter Estimation from Photoluminescence Decays of Halide Perovskite Thin Films
[arXiv] 2026-09-16 | Exploring LLMs and RAG for Plausible and Explainable Material Prediction of Vehicle Components
[arXiv] 2026-09-16 | WetRobo: A Reproducible Robot Kit for Coding Agents in Biological Laboratories
[arXiv] 2026-09-16 | Hardware-Free Robotics Laboratories in Mixed Reality
[arXiv] 2026-09-16 | HPOQuest: A Rare-Disease Diagnostic Agent Using Active Phenotype Acquisition
[arXiv] 2026-09-16 | StrucPhysVideo: Learning Physical Dynamics from Structured Captions and Robot Actions
[arXiv] 2026-09-16 | Twist-3 gluon GPDs for the nucleon in a spectator model
[arXiv] 2026-09-16 | Characterisation of chaos in meteoroid streams. Application to the Taurids
[arXiv] 2026-09-16 | HiLNO: A Hierarchical Latent Neural Operator with Multi-Scale Supervision for PDEs on General Geometries
[arXiv] 2026-09-16 | On the existence of coupled extremal Kähler metrics on ruled surfaces
[arXiv] 2026-09-16 | Measuring correlations in quantum and statistical systems
[arXiv] 2026-09-16 | TERN: A Delta-rule Memory with a Seasonal Reference and Online Adaptation for Epidemic Forecasting
[arXiv] 2026-09-16 | Existence of ground state solutions to Kirchhoff--Choquard system in $\mathbb{R}^3$ with nonconstant potentials
[arXiv] 2026-09-16 | Fröhlich Bipolarons in Two-Dimensional Materials
[arXiv] 2026-09-16 | Cultural Competence in Context: A Large Language Model Passes the Turing Test in Finland
[arXiv] 2026-09-16 | MSR: Multiple Subject Reference for Video Generation
[arXiv] 2026-09-16 | On the importance of cosmic-ray background in the Atomki anomaly
[arXiv] 2026-09-16 | JigSync: Gauge-Resolved Synchronization for Jigsaw Reassembly under Unknown Piece Orientation
[arXiv] 2026-09-16 | Causal structure and optical signatures of rotating power law Kalb-Ramond geometry
[arXiv] 2026-09-16 | One-bubble solution with maximum points escaping to infinity for the energy-critical heat equation in $\mathbb{R}^5$
[arXiv] 2026-09-16 | The unidentified PeV source LHAASO J2108+5157: A microquasar remnant?
[arXiv] 2026-09-16 | Information Spectrum Methods for $\varepsilon$-Capacity Problems in the Theory of Mixed Multiple-Access Channels with Cost Constraint
[arXiv] 2026-09-16 | Large ideals in B(L1(0,1))
[arXiv] 2026-09-16 | Detecting Logic Vulnerabilities Across the Contract and Device Layers of Blockchain-Enabled IoT With Multi-Agent Heterogeneous Graph Attention
[arXiv] 2026-09-16 | Tuneable terahertz transitions in zigzag graphene nanoribbons
[arXiv] 2026-09-16 | Bridging magnetothermal winds and photoevaporation to model discs dispersal
[arXiv] 2026-09-16 | cosmokdtree: a flexible OpenMP-parallelized k-d tree for computational astrophysics applications
[arXiv] 2026-09-16 | Multi-Appliance Non-Intrusive Load Monitoring via Label-Preserving Aggregate Recomposition and Prediction Consistency
[arXiv] 2026-09-16 | RDT based upper bounds on the largest average submatrix values
[arXiv] 2026-09-16 | An efficient and rigorous criterion for the admissible time step of deforming grids in generalized Lagrangian and ALE methods
[arXiv] 2026-09-16 | Predictive Online Disturbance-Action Control for Linear Dynamical Systems
[arXiv] 2026-09-16 | SemISAC: Semantic Integrated Sensing and Communications
[arXiv] 2026-09-16 | Finite-rate chemistry in a hypersonic wall model: heat-flux selection, non-monotone rate response and transport-closure effects
[arXiv] 2026-09-16 | Fractional Assignment with $\ell_1$ Preferences
[arXiv] 2026-09-16 | One-Step Retrieval Framework for Real-Time Sponsored Search Ads Using Hierarchical Text Representations
[arXiv] 2026-09-16 | A general lightweight global modeling framework for three-dimensional seismic exploration
[arXiv] 2026-09-16 | Endpoint eigenfunction restriction estimates in codimension two
[arXiv] 2026-09-16 | Dark matter as higher-form fields
[arXiv] 2026-09-16 | Where Should Agents Live? Energy-Memory Characterization of Agentic AI for the Edge-Cloud Continuum
[arXiv] 2026-09-16 | Decoder-Agnostic Token Merging for Vision Transformers: A Systematic Study of G2TM
[arXiv] 2026-09-16 | Witness Encryption via Prime-Order Generic Groups
[arXiv] 2026-09-16 | A $q$-recurrence for a finite Apéry limit
[arXiv] 2026-09-16 | Indicators of resilience for autonomous control systems
[arXiv] 2026-09-16 | REPAIR: Resolving Long-Tail Confusion in Scientific Retrievers via Fact-Verified Iterative Refinement
[arXiv] 2026-09-16 | Anosov Diffeomorphisms of Finite-Type Surfaces
[arXiv] 2026-09-16 | Re2A: Situated Conversational Recommendation via Rubric-based Preference Reasoning and Alignment
[arXiv] 2026-09-16 | Spectral-Gap Bounds and Timescales for Purity Loss in Hamiltonian--Pointer Interactions
[arXiv] 2026-09-16 | ForceDelta-VLA: Distilling Force-Conditioned ActionCorrections for Contact-Rich Manipulation
[arXiv] 2026-09-16 | Unified Response Geometry for Structured Pruning
[IEEE] 2026-9-16 | Enhancing 3D LiDAR Object Detection in Real-World Infrastructure With Trained Models Using Simulation Data
[IEEE] 2026-9-16 | DVFusion: Dual-View Attention and Geometry-Guided Fusion for 4D Radar-Camera 3D Detection
[IEEE] 2026-9-16 | NUSOD 2026 Organizing and Program Committees
[IEEE] 2026-9-16 | Table of Contents
[IEEE] 2026-9-16 | Efficient Multiscale Point Cloud Transformer for Time-Modulated Array Synthesis
[ACM] 2026-9-16 | A Multi-Layer Mechanism Model of Puppet-Based Embodied Expression: Integrating Human-Machine Relationships, Mental Mechanisms, and Visual Generation
[ACM] 2026-9-16 | Short-term Carbon Price Risk Forecasting: The Value of Coal Market Integration
[ACM] 2026-9-16 | A Review of GNSS Signal Acquisition Methods
[ACM] 2026-9-16 | Regional Architectural Style Generation with an Improved GAN
[ACM] 2026-9-16 | Perception and Sentiment Analysis of Greenway Use Based on Social Media and LLMs: A Case Study of the Yongding River Greenway
[ACM] 2026-9-16 | Semantic-Aware Normalization: Enhancing the Evaluation of Large Language Models in Automated Vulnerability Repair
[ACM] 2026-9-16 | Mahalanobis Distance Filter for Open-Set Crop Disease Detection on Edge Devices
[ACM] 2026-9-16 | Machine Learning-Based Construction of Dementia Risk Prediction Models and Their Feature Importance Analysis
[ACM] 2026-9-16 | T2Cura: A Dialect-Adaptive and Knowledge-Grounded Conversational AI System for Post-Diagnosis Type 2 Diabetes
[ACM] 2026-9-16 | FastLightCNN: An Ultra-Lightweight Attention-Based Convolutional Network for Edge-Oriented Digit Recognition
[ACM] 2026-9-16 | Asset Pricing and Volatility Forecasting in Financial Markets Integrating Deep Learning with Traditional Econometric Models
[ACM] 2026-9-16 | Model-Driven Engineering of Synthetic Data Pipelines for AI-Enabled Healthcare Systems
[ACM] 2026-9-16 | 10 Systemic Changes to Broaden Participation in Computing
[IEEE] 2026-9-16 | How Nanotextures Influence Electric and Electronic Properties in Perovskite Solar Cells
[IEEE] 2026-9-16 | RDAF-YOLOv11: A Rearrangement-Driven Adaptive Fusion Network for UAV Small-Object Detection
[IEEE] 2026-9-16 | Reconfigurable Battery Module Integration and Performance Evaluation for Electric Vehicle
[IEEE] 2026-9-16 | Blind IRS Beamforming Using Only Received Signal Power Measurements
[IEEE] 2026-9-16 | Operationalization Matters: When Graph-Aware Learning Adds Value for IC-Based Influence Approximation
[IEEE] 2026-9-16 | Wigner Formalism for Coherent Quantum Structures in Photonic Devices
[IEEE] 2026-9-16 | VTP: A Task-Aware Transmission Protocol for Edge Vision-Language-Action Robotic Systems
[IEEE] 2026-9-16 | Hybrid LSTM–GRU Architecture for Current Prediction in Polycrystalline Solar Cells
[IEEE] 2026-9-16 | Assessing Accuracy of Different Textile-Based Sensors in Respiration Monitoring
[IEEE] 2026-9-16 | Cascaded Sliding Window Decoding for PS-LDPC Codes in High Speed Communications
[IEEE] 2026-9-16 | Intelligent Mineral Prospecting Prediction Based on Geoscience Big Data: Data Construction, Algorithm Integration, and System Application
[IEEE] 2026-9-16 | AI-Based Real Estate Price Prediction
[IEEE] 2026-9-16 | Real-Time Gesture Recognition on Mobile Devices Using Deep Learning with Fully On-Device Inference
[IEEE] 2026-9-16 | A Continuously Tunable Silicon-Based 3D Matching Network for Heterogeneous RF Transceiver
[IEEE] 2026-9-16 | Automatic Optimization Method of Synonym Dictionary Based on Large Language Models
[IEEE] 2026-9-16 | High-Fidelity Text-Controllable 3D Digital Human Generation via 3D Gaussian Splatting
[IEEE] 2026-9-16 | Capability-Speed-Coupled Mission Planning for Heterogeneous UAV Swarms
[IEEE] 2026-9-16 | HAPI: A Hybrid Knowledge Graph and Vector Search Framework for Efficient Vietnamese Traffic Law Retrieval
[IEEE] 2026-9-16 | Adaptive Prosthetic Wrist Reduces Compensatory Movements During Grasping
[IEEE] 2026-9-16 | Behavior-Driven Electricity Theft Detection Using Machine Learning Under Imbalanced Smart Meter Data
[IEEE] 2026-9-16 | KubeShield: Multi-Modal Anomaly Detection for Kubernetes Using Ensemble Learning
[IEEE] 2026-9-16 | Exploring Millennials' Purchase Intention Toward Organic Personal Care Products Using Behavioral Modelling Techniques
[IEEE] 2026-9-16 | Ethical AI Framework for Protecting Human Rights in Digital Surveillance Systems
[IEEE] 2026-9-16 | Printed VO₂ Tiles for Tunable Holographic Metasurface
[IEEE] 2026-9-16 | A Secure Deep Joint Source-Channel Coding Method for UAV-Assisted Image Transmission
[IEEE] 2026-9-16 | A Modified Terminal Sliding Mode Controller for Fault Characteristic Compensations in Bushfire-Prone Electrical Distribution Networks
[IEEE] 2026-9-16 | Design of an Integrated Model for Hybrid AI–Physics Co-Optimization and Validation in Transmission–Distribution Power Networks
[IEEE] 2026-9-16 | An Attention-Enhanced U-Net-Based Network for Automatic OTFS Waveform Generation
[IEEE] 2026-9-16 | A Greedy Skeleton Retrieval Framework for Vietnamese Text-to-Sign Generation
[IEEE] 2026-9-16 | Performance analysis of Grid-to-Vehicle operation for an Electric Vehicle
[IEEE] 2026-9-16 | Towards Fully Integrated Terahertz Frontends: Silicon Photonics Meets Resonant Tunneling Diodes
[IEEE] 2026-9-16 | Data-Driven SOH Estimation for Embedded Battery Management Systems
[IEEE] 2026-9-16 | A Novel Thirteen-Level Switched Capacitor-based Inverter
[IEEE] 2026-9-16 | Comparative Evaluation of Commercial Piezoelectric Film and Piezoelectret Insoles for Gait Sensing
[IEEE] 2026-9-16 | Boundary-Aware Semi-Supervised Segmentation for Rail Surface Defects
[IEEE] 2026-9-16 | Sensor-Placement-Agnostic Sonomyography: Toward Continuous High-Dimensional Control by Users with Tetraplegia
[IEEE] 2026-9-16 | LPA-MoE: A Lightweight Period-Aware MoE Model for Time Series Forecasting in Data Centers
[IEEE] 2026-9-16 | ESP32-Based Multi-Sensor Rover for Landmine and IED Detection
[IEEE] 2026-9-16 | Semantic-Augmented Item Graph Denoising with Collaborative Signals for Multimodal Recommendation
[IEEE] 2026-9-16 | Complex-Metric Higher-Order Dependency Network with Adaptive Backoff for Global Shipping Trajectory Modeling
[IEEE] 2026-9-16 | A 130nm Field-Programmable Analog Array Fabric Enabled by an Analog Standard Cell Library
[IEEE] 2026-9-16 | Intraoperative Mandibular Registration Techniques - Comparative Case Studies and Clinical Recommendations
[IEEE] 2026-9-16 | SVSS-LMS Adaptive Control for PV-EV Charging Station with Residential Load Integration and Grid Support
[IEEE] 2026-9-16 | Generation of Deterministic and Heralded Single Photons for Quantum Technologies
[IEEE] 2026-9-16 | Textile-based metamaterials for electromagnetic wave filtering and guiding
[IEEE] 2026-9-16 | From Passive Querying to Proactive Data Services: A Demand-Aware Data Fabric Framework for Multi-Platform Data Environments
[IEEE] 2026-9-16 | Low-Error SoC and SoH Estimation on Batteries Using an Advanced Coulomb Counting Approach with Machine Learning Integration
[IEEE] 2026-9-16 | Deep Learning Based Water Detection Using Satellite Imagery Using Mask R-CNN
[IEEE] 2026-9-16 | From Prediction to Decision-Making: A Systematic Review of Artificial Intelligence in Predictive Cardiology
[IEEE] 2026-9-16 | Variable Admittance Force Control with Dead Zone Compensation for Tendon-Sheath Mechanisms in Exoskeleton Applications
[IEEE] 2026-9-16 | Analytical BER Modeling of Asynchronous Vehicular OCC Systems Using Rolling Shutter and UPSOOK
[IEEE] 2026-9-16 | Quantum Federated Learning for IoT: Empirical Evaluation of Security, Privacy, and Efficiency Trade-Offs
[IEEE] 2026-9-16 | Virtual Synchronous Generator-based Grid-Forming Control of a DFIG-based Wind Energy Conversion System
[IEEE] 2026-9-16 | A Hierarchical Hardware-in-the-Loop Agentic Framework for Smart Home Automation
[IEEE] 2026-9-16 | An In-Vehicle Child Cry Recognition System Using Deep Learning Techniques
[IEEE] 2026-9-16 | Structural and optical properties of sputtered carbon films on Cu buffer-layer for sensing applications
[IEEE] 2026-9-16 | RBF-Based Adaptive Line-of-Sight Guidance Law for Unmanned Surface Vehicle Path Following
[IEEE] 2026-9-16 | GAPPO: An Adaptive Reward-Driven Optimization for High-Accuracy, Low-Latency 6G Positioning
[IEEE] 2026-9-16 | Microfabrication of Cr/Al-Si MSM chip by direct laser writing with photoelectric response for sensing
[IEEE] 2026-9-16 | A Novel 3D MIMO GBSM for UAV Air-To-Air Communications
[IEEE] 2026-9-16 | MCG-PPO for Fully Decentralized Multi-UAV Collaborative Coverage in Post-Disaster Environments
[IEEE] 2026-9-16 | Grid-Integrated Solar EV Charging: A Sustainable Approach to Urban Mobility
[IEEE] 2026-9-16 | Performance Analysis of NOMA-Assisted Indoor Multi-Waveguide Pinching-Antenna Systems
[IEEE] 2026-9-16 | Mediating Role of Employer Branding in Enhancing Employee Retention in Tech Companies: An Empirical Investigation
[IEEE] 2026-9-16 | A Domain Specific Language for Pattern Specification and Automated Validation for Metamodel-Based Languages
[IEEE] 2026-9-16 | EduRecap: A Multimodal AI Framework for Lecture Transcription, Summarization, Visualization, and Interactive Learning
[IEEE] 2026-9-16 | Biases in Human and AI-Assisted Requirements Elicitation for Mental Health Wearables
[IEEE] 2026-9-16 | Integrated Planar Magnetics based LLC Resonant Converter using Asymmetrical Imbalanced Winding Technique
[IEEE] 2026-9-16 | Dispersion Engineered Passive Phase Shifter Design for Enhanced Bandwidth in C-Band
[IEEE] 2026-9-16 | Many-Body Electronic Structure of InAsP/InP Nanowire Quantum Dots and Quantum-Dot Molecules
[IEEE] 2026-9-16 | A Privacy-Aware Machine Learning Model for IoT EcoSystems
[IEEE] 2026-9-16 | Chaotic-Outline X-Band Patch Antenna Bandwidth Optimization via Metaheuristic Algorithms
[IEEE] 2026-9-16 | A Conceptual Framework for Adaptive Coordination of Hybrid Teams in Emergency Scenarios
[IEEE] 2026-9-16 | A Dual-Level Ensemble Heuristic with Differential Evolution for Large-Scale Multi-Satellite Space Target Tracking
[IEEE] 2026-9-16 | Design and Fabrication of a Passivated, Semitransparent, and Anatomy-Conformable Wearable Sensor Using a Cost-Effective Encapsulation Process
[IEEE] 2026-9-16 | An Integrated Cyber–Physical–Financial Risk Assessment in Power Distribution Networks
[IEEE] 2026-9-16 | Design and Mechanism Analysis of Drag Reduction for UAV Rotor Blades Based on Bionic Structures
[IEEE] 2026-9-16 | From Point Clouds to Digital Heritage Models: Integrated TLS, UAV Photogrammetry and Scan-to-BIM for the Reconstruction of Ulpia Traiana Sarmizegetusa
[IEEE] 2026-9-16 | Multi-Metric Prototypical Networks for Few-Shot Class-Incremental Learning
[IEEE] 2026-9-16 | Metasurface Antenna Applied in Millimeter-Wave Imaging Systems
[IEEE] 2026-9-16 | Metasurface-Enabled Superheterodyne Transmitter: Architecture, Prototype, and Experiments
[IEEE] 2026-9-16 | Energy-Efficient User Scheduling and Resource Allocation for NOMA-Enabled URLLC in Industrial IoT Systems
共写入 200 条记录，保存到 papers/paper2026-09-16.json。
论文获取成功，文件路径: papers/paper2026-09-16.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Contact canonoid maps and their conserved and dissipated quantities
[NO] 2/200 | A Security Risk Assessment Framework for AI-Powered Development Tools
[NO] 3/200 | Deterministic Streaming Lower Bounds for Approximate Maximum Clique and Maximum Independent Set
[NO] 4/200 | GenStream: Semantic Streaming Framework for Generative Reconstruction of Human-centric Media
[NO] 5/200 | Netkit: Specializing Linux Packet Delivery for Container Networks
[NO] 6/200 | Benchmarking Visual-Inertial Odometry in Subterranean Environments Under Sensor Degradation, Miscalibration, and Dynamic Occlusion
[NO] 7/200 | FIVE-VLA: Fast and EffectIVE Autonomous Driving with Recurrent Action Memory
[NO] 8/200 | How Many Labels Does Model Choice Need? Certificates and Budgets for Selective Prediction
[NO] 9/200 | A Remark on Hörmander Multipliers on Dunkl Hardy Spaces
[NO] 10/200 | Linear maps preserving Kasparov cycles and the characterization of induced automorphisms
[NO] 11/200 | On the well-posedness and long-time dynamics of a discrete coagulation--annihilation system
[NO] 12/200 | Orbital-Induced Peierls Transitions: How Orbitals Orchestrate Lattice Instability
[NO] 13/200 | PULSE: Unlocking Practical Image Compression on Single-Thread CPU
[NO] 14/200 | Label-free steering: Compressing test-time reinforcement learning into bias-only subspaces
[NO] 15/200 | ERAF4XRD: A multimodal agentic framework for constructing validated experimental X-ray diffraction databases from scientific literature
[NO] 16/200 | QUBO Formulations of the Downlink MIMO Scheduling Problem in 5G Base Stations
[NO] 17/200 | Learning Where to Focus: Self-Supervised Multi-Scale ViTs for Histopathology
[NO] 18/200 | A Bayesian Model Updating Framework for Systems Under Hybrid Uncertainties via Probability Integral Transform and Maximum Mean Discrepancy
[YES] 19/200 | Common Randomness: A Key Enabler of Trustworthy 6G Communication Systems
[NO] 20/200 | Thermally Desorbable InN Capping Layers for Nitride Surface Science
[NO] 21/200 | Shifting Research Funding Priorities under Geopolitical Pressure: Evidence from Estonia
[NO] 22/200 | Asymmetric Inelastic Dark Matter and the LUX-ZEPLIN event
[NO] 23/200 | Sim-to-Real Traffic Scene Understanding by Decoupling Semantics from Caption Generation with V-JEPA
[NO] 24/200 | Information Geometry of Four-Parameter Single-Qutrit States: From Quantum to Semiclassical Geometric Tensors
[NO] 25/200 | Signatures of dark subhaloes in dwarf spheroidal galaxies: II. Transient and localised kinematic features
[NO] 26/200 | Disentangled Fingerprints suggest no historical weakening of Atlantic Overturning and Subpolar Gyre
[NO] 27/200 | HAP: A Hand-Driven Active Perception Framework for Egocentric Head Motion Prediction
[NO] 28/200 | Symbolic powers of the ideal of$n$ general points in $P^{n-1}$
[NO] 29/200 | Periodicity conjectures for all 2-sumfree sequences
[NO] 30/200 | VoiceTrace: A Benchmark and Retrieval Framework for Who-Said-What Speech Retrieval
[NO] 31/200 | Align, Integrate, and Fire: Efficient Token-Level Alignment for Zero-Shot SpeechLLMs
[NO] 32/200 | Learning from Distributed Eyes: Leveraging Collaborative Perception for Automated Model Adaptation
[NO] 33/200 | DiT-Garment: Garment Dynamics with Diffusion Transformers
[NO] 34/200 | The Problem of Stochastic System Prediction in Gait Biomechanics Applications
[NO] 35/200 | Conditional Uniformization of Kähler Surfaces
[NO] 36/200 | Functional limit theorems for Galton--Watson processes with inhomogeneous immigration
[NO] 37/200 | Impact of Phase Unwrapping on Multitarget Acoustic Lenses for Transcranial Holography
[NO] 38/200 | Butterfly Effect and the Kinetic Energy Cascade in Probabilistic Machine Learning Weather Prediction Models
[NO] 39/200 | Verify, Offload, Extend & Recommend: Selective Complementarity in AI Support for Physical Activity Planning with Longitudinal Patient Data
[NO] 40/200 | Uncentered Blaschke-Santaló inequalities for the Gaussian measure
[NO] 41/200 | Divide and Conquer: Mixture-of-Bottleneck Experts in Informative Ordinal Space for Video-based Multimodal Sentiment Analysis
[NO] 42/200 | Improved systematic uncertainty evaluation of the $^{171}$Yb optical lattice clock NMIJ-Yb1 with uncertainty of $2.6\times10^{-17}$
[NO] 43/200 | GeoCond: A Conditioning-Aware Reliability Adapter for Feed-Forward 3D Reconstruction
[NO] 44/200 | Simplification Rules for Continuous-Time Quantum Walks on Dynamic Graphs
[NO] 45/200 | CSWAM: Better Causal Semantic Representations for Out-of-Distribution Generalization in World Action Models
[NO] 46/200 | Disentangling Long-Term Memory via Latent Neuro-Symbolic Reasoning
[NO] 47/200 | Optimization Design and Simulation Validation of a Variable Stiffness Actuator Based on a Crossed Four-Bar Mechanism
[NO] 48/200 | Extreme Values of Quadratic Dirichlet $L$-Functions over Monic Irreducible Polynomials in $\mathbb{F}_q[t]$
[NO] 49/200 | VLM-MPPI: Grounding Natural Language in Behaviorally Diverse Trajectories for Aerial Navigation
[NO] 50/200 | A Programmable Rydberg Quantum Bus for Nonlocal Connectivity
[NO] 51/200 | Planning or Improvisation? Stress-Testing the Poetry Planning Site on Open Models and Open Cross-Layer Transcoders
[NO] 52/200 | Rapid Parameter Estimation from Photoluminescence Decays of Halide Perovskite Thin Films
[NO] 53/200 | Exploring LLMs and RAG for Plausible and Explainable Material Prediction of Vehicle Components
[NO] 54/200 | WetRobo: A Reproducible Robot Kit for Coding Agents in Biological Laboratories
[NO] 55/200 | Hardware-Free Robotics Laboratories in Mixed Reality
[NO] 56/200 | HPOQuest: A Rare-Disease Diagnostic Agent Using Active Phenotype Acquisition
[NO] 57/200 | StrucPhysVideo: Learning Physical Dynamics from Structured Captions and Robot Actions
[NO] 58/200 | Twist-3 gluon GPDs for the nucleon in a spectator model
[NO] 59/200 | Characterisation of chaos in meteoroid streams. Application to the Taurids
[NO] 60/200 | HiLNO: A Hierarchical Latent Neural Operator with Multi-Scale Supervision for PDEs on General Geometries
[NO] 61/200 | On the existence of coupled extremal Kähler metrics on ruled surfaces
[NO] 62/200 | Measuring correlations in quantum and statistical systems
[NO] 63/200 | TERN: A Delta-rule Memory with a Seasonal Reference and Online Adaptation for Epidemic Forecasting
[NO] 64/200 | Existence of ground state solutions to Kirchhoff--Choquard system in $\mathbb{R}^3$ with nonconstant potentials
[NO] 65/200 | Fröhlich Bipolarons in Two-Dimensional Materials
[NO] 66/200 | Cultural Competence in Context: A Large Language Model Passes the Turing Test in Finland
[NO] 67/200 | MSR: Multiple Subject Reference for Video Generation
[NO] 68/200 | On the importance of cosmic-ray background in the Atomki anomaly
[NO] 69/200 | JigSync: Gauge-Resolved Synchronization for Jigsaw Reassembly under Unknown Piece Orientation
[NO] 70/200 | Causal structure and optical signatures of rotating power law Kalb-Ramond geometry
[NO] 71/200 | One-bubble solution with maximum points escaping to infinity for the energy-critical heat equation in $\mathbb{R}^5$
[NO] 72/200 | The unidentified PeV source LHAASO J2108+5157: A microquasar remnant?
