[2026-04-23 10:18:40] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-22
正在获取论文...
[arXiv] 2026-04-22 | From Scene to Object: Text-Guided Dual-Gaze Prediction
[IEEE] 2026-4-22 | Inferring Spatial Reasoning by Observing Human Interactions With Smart IoT Objects
[IEEE] 2026-4-22 | Spoofing Detection and Mitigation in GNSS Using Cyclostationarity and Sparse Array
[IEEE] 2026-4-22 | Topology-Optimized, Dual-Phase Gripper with Force Estimation for Underwater Operation_supp1-3683323.mp4
[IEEE] 2026-4-22 | Multi-Scale Spatial-Temporal Representation Learning for mmWave Radar 3D Human Pose Estimation
[IEEE] 2026-4-22 | Reliable and Compact Graph Fine-Tuning Via Graph Sparse Prompting
[IEEE] 2026-4-22 | Magnetic Hyperthermia Based on Hysteresis Heating Alone
[IEEE] 2026-4-22 | Remote Sensing Monitoring of Glacier Changes in the Puruogangri Glacier Over the Past Four Decades
[IEEE] 2026-4-22 | Test Time Optimization for Highly-Reliable Redundant Systems with Single-machine Similarity and Non-Uniform Labor-hours
[ACM] 2026-4-22 | Async, Not Absent: Strategies for successful implementation of asynchronous courses
[ACM] 2026-4-23 | Estimating Piano Piece Difficulty via Embodied Robotic Hand Performance Analysis
[ACM] 2026-4-23 | Research on Deep Learning-Based Computer Music Emotion Recognition and Generation Models
[ACM] 2026-4-23 | Exploration on Teaching Modes of Machine Learning Course for Professional Degree Postgraduates with Digital Empowerment
[ACM] 2026-4-23 | Spatial Pose Information-Guided Method for Cross-Pose Face Recognition
[ACM] 2026-4-23 | Research on a Bilingual Dictionary Extraction Algorithm for Language Teaching Based on Word Embeddings and Comparable Corpora
[ACM] 2026-4-23 | Research on Optimization Techniques for Real-time Interaction Models in Hybrid Classrooms Based on Multimodal Artificial Intelligence
[ACM] 2026-4-23 | AI-Driven Reform of Analog and Digital Electronics Courses: Insights into Curriculum Content, Pedagogy, and Laboratory Innovation
[ACM] 2026-4-23 | Will artificial intelligence improve students' learning happiness?
[ACM] 2026-4-23 | Artificial Intelligence Technology as a Mediating Mechanism: Linking L2 Interest to Learner Autonomy in Pilots' Informal Digital Learning of English
[ACM] 2026-4-23 | Research on Intelligent Early Warning Model for Teaching Quality Based on Multi-source Data Fusion and XAI
[IEEE] 2026-4-22 | Multisource Multimodal Calibration for Precise Disconnector Recognition in Power Grids
[IEEE] 2026-4-22 | Joint Information-Theoretic Threshold Optimization and Error Bounds for MAP Decoding in Parallel Stochastic Quantizer Architectures
[IEEE] 2026-4-22 | Integrated High-Order Mode Filtering using Cascaded Asymmetric Directional Couplers
[IEEE] 2026-4-22 | FuseRes: Robust In-Bed Respiration Monitoring System via Multi-modal Fusion of Millimeter Wave Radar and Wi-Fi Signals
[IEEE] 2026-4-22 | Classifier-Agnostic Ambiguity Detection Framework for Targeted Oversampling in Imbalanced Learning
[IEEE] 2026-4-22 | Bulletin Board: NEMA Announces 2026 Golden Omega Award Winner
[IEEE] 2026-4-22 | SSFNet: Spatial-Spectral Frequency-Aware Network for Hyperspectral Image Classification
[IEEE] 2026-4-22 | CFO-Robust Detection for 5G PRACH under Fading Channels: Analytical Modeling and Performance Evaluation
[IEEE] 2026-4-22 | Lithium-Ion Battery SOH Estimation via Mixture Correntropy Loss-Based PCA and Kolmogorov-Arnold-Enhanced Liquid Neural Networks
[IEEE] 2026-4-22 | Four Quadrants Operations of Single-Stage CSI With Discharge Path in Motor Drives Applications
[IEEE] 2026-4-22 | Enhancing Physical Layer Security in Modern Transmission Systems via Semantic Similarity–Aware Signal Processing
[IEEE] 2026-4-22 | Integrated Multimodal Sensing, Communication, and Computation With Adaptive Splitting and Dynamic Routing in Satellite-Terrestrial Networks
[IEEE] 2026-4-22 | Coverage Optimization Strategy for UAV Ad Hoc Network Based on Multi-Objective Improved Cooperative Search Algorithm
[IEEE] 2026-4-22 | NOMA-Enabled Covert and Fair Data Collection for Multi-UAV Wireless Network Under Imperfect CSI
[IEEE] 2026-4-22 | A Probabilistic REM Framework With Dynamic Genetic Beam Selection for Robust Indoor mmWave Communication
[IEEE] 2026-4-22 | WildfireKR: An LLM-Agent Decision Support Framework for Autonomous Wildfire Spread Simulation in South Korea
[IEEE] 2026-4-22 | Beyond Single-Framework Architectures: A Systematic Evaluation and Hybrid Design for Scalable Multi-Agent Coordination
[ACM] 2026-4-23 | Gesture Mapping for Embodied Rhythmic Expression: A Case Study on Expressive Affordances
[ACM] 2026-4-23 | Artificial Intelligence in Physical Education: Research Trends and Knowledge Structure
[ACM] 2026-4-23 | GenAI and Critical Thinking in Physical Education: An Empirical Analysis Based on Controlled Experiments
[ACM] 2026-4-23 | Governance-Aware Fairness Framework for AI-Based Educational Decision Systems
[ACM] 2026-4-23 | Cognitive-enhancement AI Empowers Education to Build a New Human-Machine Symbiotic Educational Ecosystem for the Future
[ACM] 2026-4-23 | Decoding Student Stress: An Explainable Machine Learning Approach
[ACM] 2026-4-23 | The Design and Empirical Research of an AI-Based Evaluation System for Higher Vocational English Courses
[ACM] 2026-4-23 | Practical Exploration of Artificial Intelligence in Customization of Moral Education Content
[ACM] 2026-4-23 | Artificial Intelligence-Empowered University Leadership: A Sustainable Model to Enhance Faculty Psychological Capital and Work Performance
[IEEE] 2026-4-22 | Timely Trajectory Reconstruction in Finite Buffer Remote Tracking Systems
[IEEE] 2026-4-22 | Design of Polar Subcodes for Permutation Decoding
[IEEE] 2026-4-22 | RadioVAR: Fast Sampling-Free Radio Map Construction via Coarse-to-Fine Token Prediction
[IEEE] 2026-4-22 | Symptom-Aware Adaptation of CLIP for Few-Shot Medical Image Classification_supp2-3685174.pdf
[IEEE] 2026-4-22 | CNIE: Content-Aware Non-Transferable Information Extraction for Fine-Grained Visual Categorization
[IEEE] 2026-4-22 | LoD-GS: Robust and Lightweight Gaussian Splatting SLAM for Real-Time Volumetric Scene Reconstruction
[IEEE] 2026-4-22 | Non-Intrusive Contactless Gesture Recognition for Human-Robot Interaction
[IEEE] 2026-4-22 | Natural Language Interfaces for Spatial and Temporal Databases: A Comprehensive Overview of Methods, Taxonomy, and Future Directions
[IEEE] 2026-4-22 | A U-Net based LSGAN Framework for 12-Lead ECG Synthesis in Wearable IoMT Systems
[IEEE] 2026-4-22 | A Global-Local Data Clustering Framework With Adaptive Feature and Sample Weighting and Balanced Constraint
[IEEE] 2026-4-22 | Target Speaker Isolation for Mobile Health Assessment from Speech with Crosstalk
[IEEE] 2026-4-22 | Multirate Finite-Control-Set Motor Parameter-Free Predictive Control for SPMSM Drives
[IEEE] 2026-4-22 | Forgettable Federated Linear Learning With Certified Data Unlearning
[IEEE] 2026-4-22 | Scalable neural pushbroom architectures for real-time denoising of hyperspectral images onboard satellites
[IEEE] 2026-4-22 | Counterfactual Risk Minimization for Out-of-Distribution Generalization
[IEEE] 2026-4-22 | Analog Implementation of a Fractional-Order PID Controller for the T200 Thruster Using a Novel Lattice Type Structure
[ACM] 2026-4-23 | A Virtual Simulation and Intelligent Feedback System for Erhu Performance Teaching
[ACM] 2026-4-23 | Reform of CAE Software Practical Courses Based on RAG Knowledge Bases
[ACM] 2026-4-23 | Determinants of Design Students' Continuance Intention for Online Education Platforms: An Integrated TAM-TPB Investigation
[ACM] 2026-4-23 | Research on Safety Behavior Recognition of Laboratory Personnel in Chemical Laboratories Based on YOLOv11
[ACM] 2026-4-23 | AI Adoption in Chinese Art Education: A Study Using the Technology Acceptance Model and Agglomerative Clustering
[ACM] 2026-4-23 | Construction of Knowledge Graph-Enhanced Visualization and Intelligent Learning Environment on Xuexitong Platform: A Case Study of “Cost-Volume-Profit Analysis” in Managerial Accounting
[ACM] 2026-4-23 | AI-Powered Automated Feedback for ESL Writing: A Large-Scale Quality and Cost Analysis Toward SDG 4
[ACM] 2026-4-23 | Gesture Recognition for Human-Machine Interaction in Intelligent Cockpits Based on RGB-D Images
[IEEE] 2026-4-22 | IEEE Transactions on Smart Grid Information for Authors
[IEEE] 2026-4-22 | Pruned and Quantized Hybrid Models for Edge-Based Automatic Modulation Recognition
[IEEE] 2026-4-22 | Decoding kinematic parameters of the whole arm using spikes from area 2 of primary somatosensory cortex
[IEEE] 2026-4-22 | Analyzing and Characterizing the Split-Transformer LLC Converters
[IEEE] 2026-4-22 | Reparameterization-Driven Depthwise Separable Large-Kernel Network for Lightweight Salient Object Detection of Strip Steel Surface Defects
[IEEE] 2026-4-22 | A Hybrid Heuristic Spectral Efficient Chunk Allocation, Relay Selection, and Deep Learning-Empowered Energy-Efficient Power Control in Multi-user OFDMA-PNC
[IEEE] 2026-4-22 | IEEE Transactions on Dielectrics and Electrical Insulation Feb 2026 Table of Contents Reprint
[IEEE] 2026-4-22 | GOSPA and T-GOSPA quasi-metrics for evaluation of multi-object tracking algorithms
[IEEE] 2026-4-22 | LearningFlow: Automated Policy Learning Workflow for Urban Driving with Large Language Models
[IEEE] 2026-4-22 | Optimizing Incoming Quality Control with a Dynamic Set Covering Strategy for Zero-Defect Inspection
[IEEE] 2026-4-22 | Modulation-Agnostic Interference Cancellation Using Approximate Message Passing Driven by Empirical Bayes
[IEEE] 2026-4-22 | Compressed Sensing for Efficient Near-Field Scanning of Embedded Systems
[IEEE] 2026-4-22 | Impact of TSV Quantity Scaling on TDDB Reliability and Failure Mechanisms in TSV Interposers
[IEEE] 2026-4-22 | 2026 International Conference on AI x Data and Knowledge Engineering (AIxDKE)
[IEEE] 2026-4-22 | FairCLIP: Bridging Visual Diversity and Linguistic Representation for Equitable Image Synthesis
[ACM] 2026-4-23 | Dynamic Evaluation Model for Learning Outcomes in Business Industry-Education Integrated Courses Based on Bidirectional Long Short-Term Memory Networks and Transformer
[ACM] 2026-4-23 | The Impact of Digital Resource Inputs on Manufacturing Corporate Performance - The Moderating Role of Servitization Level and Technological Turbulence
[ACM] 2026-4-23 | The Impact of Artificial Intelligence Technology Usage on College Students' Academic Performance: A Computational Analysis with Structural Equation Modeling
[ACM] 2026-4-23 | Research on a Student Classroom Engagement Detection Model Based on Visual-Speech Cross-Modal Attention Mechanism
[ACM] 2026-4-23 | Construction and Empirical Research of Adaptive Learning System Empowered by Artificial Intelligence
[ACM] 2026-4-23 | Leveraging Optimized Dual-Algorithm Synergy (Adaptive DBSCAN and Enhanced Random Forest) for Analyzing Engineering Students' Time-Study Performance Linkage
[ACM] 2026-4-23 | Construction of College English Blended Learning Model in the Context of Artificial Intelligence
[ACM] 2026-4-23 | DVF-Generator: A Physics-Aware Conditional Generative Model for Respiratory Motion Synthesis in Liver SPECT
[ACM] 2026-4-23 | PosePilot-GOM: A Web-based application for dexterity analysis of human movement
[ACM] 2026-4-22 | Introduction to the Special Issue on LLM Empowered Internet of Things Part 2
[IEEE] 2026-4-22 | Detecting Abnormal Vehicle Behavior with a Diffusion-Transformer Generation Framework
[IEEE] 2026-4-22 | Contrastive Learning for Terrain Identification of Earthworm-Like Robots with Limited Labeled Proprioceptive Data
共写入 200 条记录，保存到 papers/paper2026-04-22.json。
论文获取成功，文件路径: papers/paper2026-04-22.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | From Scene to Object: Text-Guided Dual-Gaze Prediction
[NO] 2/200 | New bounds on Castelnuovo--Mumford regularity of monomial curves and application to sumsets
[NO] 3/200 | Lever: Inference-Time Policy Reuse under Support Constraints
[NO] 4/200 | Cover meets Robbins while Betting on Bounded Data: $\ln n$ Regret and Almost Sure $\ln\ln n$ Regret
[NO] 5/200 | Determining metrics from the scattering map of the time-dependent Schrödinger equation
[NO] 6/200 | Temporally Extended Mixture-of-Experts Models
[NO] 7/200 | Maximum Likelihood Reconstruction for Multi-Look Digital Holography with Markov-Modeled Speckle Correlation
[NO] 8/200 | Impact of nuclear deformation on particle production in $Ne+Ne$ collisions at \texorpdfstring{\five}{sqrt(sNN)=5.36 TeV} from AMPT-SM
[NO] 9/200 | Average metric adjusted skew information of coherence under conical 2-designs generalized equiangular measurements
[NO] 10/200 | Whose Story Gets Told? Positionality and Bias in LLM Summaries of Life Narratives
[NO] 11/200 | Pairing Regularization for Mitigating Many-to-One Collapse in GANs
[NO] 12/200 | Meta Additive Model: Interpretable Sparse Learning With Auto Weighting
[NO] 13/200 | From Finite-Node Conifold Geometry to BPS Structures II: Functorial Incidence and Quiver Assembly
[NO] 14/200 | Monochromatic Sums and Quotients Near Zero
[NO] 15/200 | Detections of nearly bias-free core shifts with 5-30 $μ$as precisions at 8-43 GHz in BL Lacertae
[NO] 16/200 | CVaR-Assisted Custom Penalty Function for Constrained Optimization
[NO] 17/200 | SkillLearnBench: Benchmarking Continual Learning Methods for Agent Skill Generation on Real-World Tasks
[NO] 18/200 | Characterizing and Fixing Silent Data Loss in Spark-on-AWS-Lambda with Open Table Formats
[NO] 19/200 | Auditing and Controlling AI Agent Actions in Spreadsheets
[NO] 20/200 | Unidirectional Transverse Scattering in Acoustic Dimers
[NO] 21/200 | MGDA-Decoupled: Geometry-Aware Multi-Objective Optimisation for DPO-based LLM Alignment
[NO] 22/200 | The Legendre structure of the TAP complexity for the Ising spin glass
[NO] 23/200 | Cooperative Profiles Predict Multi-Agent LLM Team Performance in AI for Science Workflows
[NO] 24/200 | Review of experimental studies of charmed meson decays at BESIII
[NO] 25/200 | Interacting Multi-Node Conifold Light Sectors
[NO] 26/200 | Double Robust Weighted Regression with Missing Confounders
[NO] 27/200 | A note on the cardinality of Lagrangian packings
[NO] 28/200 | Occupancy Reward Shaping: Improving Credit Assignment for Offline Goal-Conditioned Reinforcement Learning
[NO] 29/200 | Structured perturbations of tridiagonal twisted Toeplitz matrices
[NO] 30/200 | Model Predictive Communication for Timely Status Updates in Low-Altitude Networks
[NO] 31/200 | Almost finitary birepresentation theory and applications to affine Soergel bimodules
[NO] 32/200 | Topological Dualities for Modal Algebras
[NO] 33/200 | An explicit operator explains end-to-end computation in the modern neural networks used for sequence and language modeling
[NO] 34/200 | Physics-Informed Conditional Diffusion for Motion-Robust Retinal Temporal Laser Speckle Contrast Imaging
[NO] 35/200 | A Hierarchical MARL-Based Approach for Coordinated Retail P2P Trading and Wholesale Market Participation of DERs
[NO] 36/200 | Approximating General Relativity in Core-Collapse Supernova Simulations
[NO] 37/200 | Evaluating Assurance Cases as Text-Attributed Graphs for Structure and Provenance Analysis
[NO] 38/200 | Where are they looking in the operating room?
[NO] 39/200 | Device-independent quantum cryptography with input leakage
[NO] 40/200 | The Effect of Idea Elaboration on the Automatic Assessment of Idea Originality
[NO] 41/200 | Polytropic stellar wind models with strongly localized heating
[NO] 42/200 | Evian: Towards Explainable Visual Instruction-tuning Data Auditing
[NO] 43/200 | The Tentacles Landscape
[NO] 44/200 | Aligning Stuttered-Speech Research with End-User Needs: Scoping Review, Survey, and Guidelines
[NO] 45/200 | Subharmonic instability of large-scale wavy structures in two-dimensional channels
[NO] 46/200 | Response time of lateral predictive coding and benefits of modular structures
[NO] 47/200 | Efficient Symbolic Computations for Identifying Causal Effects
[NO] 48/200 | Nonisothermal global-pressure exactness in fractured multiphase flow with evolving fracture aperture
[NO] 49/200 | CHASM: Unveiling Covert Advertisements on Chinese Social Media
[NO] 50/200 | Microscopic modeling of flopping-mode quantum dot spin qubits
[NO] 51/200 | Explicit Dropout: Deterministic Regularization for Transformer Architectures
[NO] 52/200 | Efficient Test-Time Inference via Deterministic Exploration of Truncated Decoding Trees
[NO] 53/200 | Mythos and the Unverified Cage: Z3-Based Pre-Deployment Verification for Frontier-Model Sandbox Infrastructure
[YES] 54/200 | Near-Field Wideband Channel Estimation for XL-MIMO Systems via Denoising Diffusion Model
[NO] 55/200 | Investigation of Nonlinear Collective Dynamics in Relativistic Heavy-Ion Collisions Using A Multi-Phase Transport Model
[NO] 56/200 | On the cohomology of finite tensor categories
[NO] 57/200 | Forecasting Individual NetFlows using a Predictive Masked Graph Autoencoder
[NO] 58/200 | Random Walk on Point Clouds for Feature Detection
[NO] 59/200 | Superintegrable 2D systems in magnetic fields with a parabolic type integral
[NO] 60/200 | Surrogate Functionals for Machine-Learned Orbital-Free Density Functional Theory
[NO] 61/200 | Native quantum games from interacting discrete-time quantum walks
[NO] 62/200 | Control Over Fano Parameter in Grating and One-Dimensional Photonic Crystal Cavity
[NO] 63/200 | Heavy quark thermodynamics with anisotropic lattices
[NO] 64/200 | Complex scaling approach to quasinormal modes of Schwarzschild and Reissner--Nordström black holes
[NO] 65/200 | QCD sum rule analysis of local meson-meson currents for the $K(1690)$ state
[NO] 66/200 | Unitary Realizations of Synchronizing Automata in Quantum Systems
[NO] 67/200 | Fast-then-Fine: A Two-Stage Framework with Multi-Granular Representation for Cross-Modal Retrieval in Remote Sensing
[NO] 68/200 | OVPD: A Virtual-Physical Fusion Testing Dataset of OnSite Auton-omous Driving Challenge
[NO] 69/200 | Semantic Recall for Vector Search
[NO] 70/200 | The Evolution of the SFR-M_* relation at 0.1<z<4: Environmental and Morphological Dependencies
[NO] 71/200 | Extending Contract Verification for Parallel Programming Models to Fortran
[NO] 72/200 | On the Hyperbolic Fractional Sum of the Divisor Function
[NO] 73/200 | A sharp $p$-subadditive bound for the $l_p$ Hausdorff distance from convex hull
[NO] 74/200 | Hessian-vector products for tensor networks via recursive tangent-state propagation
[NO] 75/200 | Graph2Counsel: Clinically Grounded Synthetic Counseling Dialogue Generation from Client Psychological Graphs
[NO] 76/200 | CSI Feedback Under Basis Mismatch: Rate-Splitting Transform Coding for FDD Massive MIMO
[NO] 77/200 | Emergence of Transport Regimes from the Axial Field-Induced Interfacial Gradients in Uniform Surface Potential Nanopores
[NO] 78/200 | TLSCheck 2.0: An Enhanced Memory Forensics Approach to Efficiently Detect TLS Callbacks
[NO] 79/200 | Rate-Cost Tradeoffs in Nonlinear Control
[NO] 80/200 | Trajectory Design for Fairness Enhancement in Movable Antennas-Aided Communications
