[2026-09-24 13:57:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[arXiv] 2026-09-23 | EnSIMem: Entity-Structured Indexing for Long-Term Agent Memory
[arXiv] 2026-09-23 | Graph Learning with Spectral Connectivity Priors for Scarce Data
[arXiv] 2026-09-23 | TimeEvo: Failure-Driven Self-Evolution of a Time Series Agent
[arXiv] 2026-09-23 | Satisfaction Is Not Explanation: Auditing Vacuity and Training Influence in Temporal-Logic-Guided Reinforcement Learning
[arXiv] 2026-09-23 | Analytical Framework of Radial Resolution for Near-Field Communications
[arXiv] 2026-09-23 | Open Questions Towards Skill-Sustaining Reliance in Reflective AI Engagement
[arXiv] 2026-09-23 | Cryogenic performance and long-term stability of Hamamatsu R8520-506 photomultiplier tubes in liquid argon
[arXiv] 2026-09-23 | Zero density estimates for $\mathrm{GL}_2$ automorphic $L$-functions
[arXiv] 2026-09-23 | Norm-Controlled Inversion in Measure Algebras
[arXiv] 2026-09-23 | Localization and weighted theory on the Bergman spaces
[arXiv] 2026-09-23 | Wave-Robust Passive AUV Localization Using FP-MUSIC
[arXiv] 2026-09-23 | Response of Hellinger-distance based coherence to weak decoherence in two-flavor neutrino oscillations
[arXiv] 2026-09-23 | A ready-to-deploy MLOps software platform for satellite and NEO detection at meter-class ground-based observatories
[arXiv] 2026-09-23 | Coloring Queens with Thousands of Encodings
[arXiv] 2026-09-23 | Direct observation of the electronic structure of even-layer puckered SnTe monolayer films on graphene
[arXiv] 2026-09-23 | SGDet3D++: Geometry-Grounded Semantics for 4D Radar and Camera 3D Object Detection
[arXiv] 2026-09-23 | The Second Gap and Rigidity in Chern's Conjecture with Constant Cubic Trace
[arXiv] 2026-09-23 | Private Decentralized Optimization with Noise Reduction and Bias Correction
[arXiv] 2026-09-23 | A magnetar-powered jet-wind outflow in gamma-ray burst-associated supernovae: Application to the thermal components of GRB 060218-SN 2006aj
[arXiv] 2026-09-23 | A Rigidity Theorem for Flat Graph Hypersurfaces of Variable-Returns-to-Scale Cobb--Douglas Production Functions
[arXiv] 2026-09-23 | Foundations of Algebraic Architecture Theory: A Rising Sea of Geometry, Transport, Comparison, and Reconstruction
[arXiv] 2026-09-23 | Learning Local Heterogeneity and Cross-Region Context for Large-Scale Traffic Forecasting
[arXiv] 2026-09-23 | Pheno-GS: Phenoscape-scale Geodesic Sinkhorn
[arXiv] 2026-09-23 | Compliant AI Infrastructure for Regulated Finance: A tiered multi-agent framework with DLT audit trails for financial operations in DACH
[arXiv] 2026-09-23 | InGuard: Towards Generalized Inner Guardrail for Safe Text-to-Image Generation
[arXiv] 2026-09-23 | On the local theory of non-archimedean psh functions
[arXiv] 2026-09-23 | Can Jev Judge Radiology Reports? Evaluating a System One Model for Clinical Factuality
[arXiv] 2026-09-23 | DriftAudio: Marginal Drifting for Distributional Post-Training of One-Step Text-to-Audio Generators
[arXiv] 2026-09-23 | Gray-Box Model Predictive Control for Articulated Dump Trucks via Gaussian Process Learning of Sideslip
[arXiv] 2026-09-23 | Efficient Linear Bandits via Cluster-Aware Sketching
[arXiv] 2026-09-23 | Sparse bounds and joint oscillation for bilinear rough commutators
[arXiv] 2026-09-23 | Spherical harmonics, operators of multiplication by coordinates, and infinitesimal conformal transformations
[arXiv] 2026-09-23 | Exploring the short-range correlations in $^{16}$O+$^{16}$O collisions at the LHC
[arXiv] 2026-09-23 | Efficient learning of Clifford disentanglers and typical $t$-doped unitaries with exponentially more $T$ gates
[arXiv] 2026-09-23 | TNLearn: An Open Source Python Package for Task-based Neurons
[arXiv] 2026-09-23 | When Visual Quality Misleads: Intent Recognition under Rendered Avatar Distortions
[arXiv] 2026-09-23 | ThaiTrees: Thai Syntactic Dependency Trees Across Domains
[arXiv] 2026-09-23 | Optimal Trajectory Generation for Improved Magnetic Navigation
[arXiv] 2026-09-23 | Definite integral Albert algebras: arithmetic and finite geometry
[arXiv] 2026-09-23 | A Topos-Theoretic Approach to the Logarithmic Cartier Transform
[arXiv] 2026-09-23 | White Dwarf Pulsars: an emerging class of compact binaries
[arXiv] 2026-09-23 | Classical Root Systems Reveal Defect-Junction Data in Stabilizer Renyi Entropy
[arXiv] 2026-09-23 | KITE: Scaling Jev Population Experiments with Sparse Flagship Calibration
[arXiv] 2026-09-23 | MDRC: A Deployable State-Recovery Defense for Traffic Signal Control under Sensor Corruption
[arXiv] 2026-09-23 | On the Tutte polynomial of series-parallel posets
[arXiv] 2026-09-23 | JASPER: Joint Audio and Speech Pre-trained Encoder Representations
[arXiv] 2026-09-23 | Anti-Localization Uplink Communications in Satellite-Terrestrial Systems
[arXiv] 2026-09-23 | UniDataAgent: An Ontology-Grounded Agent for Enterprise Question-to-Report Automation
[arXiv] 2026-09-23 | Repurposing Pre-trained LLMs as High Fidelity Continuous Text Autoencoders
[arXiv] 2026-09-23 | Memory That Changes Action Is Not Memory That Guides It: Counterfactual Auditing of History-Conditioned Robot Policies
[arXiv] 2026-09-23 | Full-Covariance Smoothing of Bayesian Neural Networks for Online Adaptation
[arXiv] 2026-09-23 | One-Step Voice Conversion by Learning kNN Transport in WavLM Space
[arXiv] 2026-09-23 | Data-Assimilation-Assisted Reinforcement Learning for Power Grid Control under Load Uncertainty
[arXiv] 2026-09-23 | NaviScale: Generating Large-Scale Semantic Map Datasets for Object Navigation
[arXiv] 2026-09-23 | SOT-large subspaces of non-cyclic operators
[arXiv] 2026-09-23 | Prediction with Expert Advice: Anytime Regret with Many Experts Matches the Fixed-Time Constant
[arXiv] 2026-09-23 | XLOG: A CUDA-Native Engine for Neurosymbolic Integration
[arXiv] 2026-09-23 | A Systematic Benchmark of Explainable Methods for Temporal Attribution in Sequential Recommendation Systems
[ACM] 2026-9-23 | Beyond answers: How a pedagogy-driven AI encourages students to think and learn in Computing Education
[ACM] 2026-9-23 | PRISM: Evaluating a Rule-Based, Scenario-Driven Social Media Privacy Education Program for Young Autistic Adults
[IEEE] 2026-9-23 | Retraction Notice: Opportunistic routing technique for minimized energy consumption for relay node selection in wireless sensor networks
[IEEE] 2026-9-23 | FADE: A Detector-Oriented Few-Shot Anomaly Diffusion Engine for Industrial Visual Inspection
[IEEE] 2026-9-23 | LiDAR Sensor-Based 3-D Surface Measurement and Volume Estimation for Coal-Silo Monitoring
[IEEE] 2026-9-23 | Observational Uncertainty of On-State Resistance as a Health-State Indicator for SiC MOSFETs With Bond-Wire Degradation
[IEEE] 2026-9-23 | Error Bounds for Finite-Dimensional Stochastic Koopman Approximations
[IEEE] 2026-9-23 | Distributed Practical Prescribed-Time Secondary Control for Islanded Microgrids via Noncontinuous Monitoring Event-Triggered Mechanism
[IEEE] 2026-9-23 | Post-Quantum and Federated IoT Security: Challenges, Architecture, and Hardware-Executed Evaluation
[IEEE] 2026-9-23 | Com-DPRS: A Model-Agnostic Framework for Recommendation Using Composite Differential Privacy
[IEEE] 2026-9-23 | Retraction Notice: Zone based hierarchical energy efficient clustering scheme for WSN
[IEEE] 2026-9-23 | Gradient-Guided Neural Network Screening for Discrete Inverse Design of Silicon Photonic Splitters
[IEEE] 2026-9-23 | 4K4D++: Real-Time 4D View Synthesis at 4 K Resolution Using Image-Based Gaussians
[IEEE] 2026-9-23 | A Waterproof Wearable Sensor–Actuator System for Real-Time Closed-Loop Biomechanical Feedback in Swimming
[IEEE] 2026-9-23 | Quantum Secure Dot Product Protocol Supporting Searchable Encryption for Power Internet of Things
[IEEE] 2026-9-23 | RadioFormer: A Multiple-Granularity Radio Map Estimation Transformer with 1‱ Spatial Sampling
[IEEE] 2026-9-23 | Quantum Fidelity Prototype Matching via Matrix Product States for Few-Shot Medical Image Segmentation_supp1-3736350.pdf
[ACM] 2026-9-23 | Haptic Guidance Using Electrical Muscle Stimulation for Gesture-based Mobile Robot Teleoperation
[IEEE] 2026-9-23 | Fabrication of WO@Cu Integrated GCN Electrodes for Hybrid Supercapacitors_supp1-3732648.docx
[IEEE] 2026-9-23 | Predicted Physical–SLA State Marginal-Drift Target Selection for Forced Handover in LEO Satellite Networks
[IEEE] 2026-9-23 | Reinforced Personalized Decentralized Learning for Mobile Virtual Reality Networks_supp1-3736431.pdf
[IEEE] 2026-9-23 | Cost-Effective and Competitive Alternative to the ITER Time Communication Network for Accurate Time Synchronization
[IEEE] 2026-9-23 | Preface
[ACM] 2026-9-23 | Rule Development in Online Communities Amidst Growth and Generative AI
[IEEE] 2026-9-23 | 2026 25th International Symposium on Communications and Information Technologies (ISCIT)
[IEEE] 2026-9-23 | Retraction Notice: Migration-Based Load Balance of Virtual Machineservers in Cloud Computing by Load Predictionusing Genetic-Based Methods
[IEEE] 2026-9-23 | Retraction Notice: Heart Disease Prediction Using Machine Learning: A Data-Driven Approach
[IEEE] 2026-9-23 | Retraction Notice: FPGA Implementation of High-Performance Accurate and Approximate Multiplier
[IEEE] 2026-9-23 | Accuracy–Consistency Trade-Offs in Conservation-Constrained and Progressive-Cap PINNs for Inverse Source Identification
[IEEE] 2026-9-23 | Relative Humidity Sensor Using a CdSe/ZnS Quantum-Dot Hydrogel Coated Long-Period Fiber Grating
[IEEE] 2026-9-23 | Retraction Notice: Implementation of Hungarian Algorithm to obtain Optimal Solution for Travelling Salesman Problem
[ACM] 2026-9-23 | A Scoping Review of Queer Health and Well-Being Technology Research
[IEEE] 2026-9-23 | A Closed-Form Solution with Asymptotic Performance for Gain-Phase Error Self-Calibration Exploiting Toeplitz Structure
[IEEE] 2026-9-23 | Retraction Notice: Brain-Powered Vehicles for Individuals with Disabilities Leveraging AI
[IEEE] 2026-9-23 | Reference-Invariant Permittivity Determination of Low-Loss Solid Dielectric Samples Using Spectral Free-Space Measurements Without Prior Thickness
[ACM] 2026-9-23 | Digital Expertise Under Pressure: The Evolution of IT Professionals’ Roles in Belarus’s Contemporary Protest Movement
[IEEE] 2026-9-23 | Research on the Application of Reliability in Red- Blue Adversarial Simulation
[IEEE] 2026-9-23 | PIHG: Physics-Inspired Heterogeneous Graph Neural Networks for Multi-Band Radio Map Prediction
[IEEE] 2026-9-23 | Exploration of Technical Paths for Software Reliability Enhancement in Satellite Simulation Systems
[ACM] 2026-9-24 | Reproducibility of the NeurIPS 2020 Black-Box Optimization Challenge: Re-evaluating Competition Submissions
[IEEE] 2026-9-23 | Proposal of a Respiratory Rate Estimation Method for Patients in a Frontal Seated Position Based on Torso Detection
[IEEE] 2026-9-23 | Consideration Data Augmentation Using Frequency Characteristics for Vocal Separation in Monaural Music Source Signals
[IEEE] 2026-9-23 | Design and Evaluation of a Maglev and XDP- Based SCTP Load Balancer for Cloud-Native 5G Core Networks
[IEEE] 2026-9-23 | Physics-Informed Neural Network-Based Transfer Learning for Identification of Three Equivalent Clearances in Gear Pumps
[IEEE] 2026-9-23 | Structural Design and Engineering Practice of Commercial Network Devices for Manned Spacecraft Environmental Adaptability
[IEEE] 2026-9-23 | A Compliance-Oriented Evaluation Framework for Generative AI-Based Dual Prevention Service Reports
[IEEE] 2026-9-23 | Design and Implementation of an AI Automatic Meter Reading System for Multi-Type Meters in Substations
[IEEE] 2026-9-23 | RFE-Net: A Lightweight Improved DeepLabV3+ Network with Transformer-Enhanced ASPP for Remote Sensing Rice Field Segmentation
[IEEE] 2026-9-23 | Robust Multi-Agent Reinforcement Learning for Secure and Energy-Efficient IoT Communications Assisted by Aerial Active RIS
[IEEE] 2026-9-23 | Design of a Medium-Frequency Electrical Stimulation System Based on FPGA
[IEEE] 2026-9-23 | Effectively Enhancing the Efficiency of Near-Infrared Organic Upconversion Devices by Introducing Intermediate Connecting Layer
[IEEE] 2026-9-23 | ConsistVIS: A Consistency-Aware Weakly Supervised Video Instance Segmentation Method
[IEEE] 2026-9-23 | Open-Set-Guided JPDA for Association-Robust Radar–ESM Fusion in Dense Crossing Target Tracking
[IEEE] 2026-9-23 | A Thin Embedded FBG Instrumented Wafer for In Situ Temperature Monitoring and Wafer-Scale Temperature Mapping
[IEEE] 2026-9-23 | Introduction to the September 2026 Issue
[IEEE] 2026-9-23 | MK-Transformer: A Combat Semantic Alignment Method for Heterogeneous Agents in Crewed-Uncrewed Teaming
[IEEE] 2026-9-23 | Method of Optimization Design and Experimental Validation of an Underwater Robot for Cleaning Biofouling on Offshore Wind Turbine Foundations Based on Hydrodynamics
[IEEE] 2026-9-23 | Varnish–Oil Compatibility and Degradation Mechanisms for Enhanced High-Temperature Electrical Insulation Performance
[IEEE] 2026-9-23 | Multi-parameter Detection for Metal Cracks Based on Chipless RFID Technology and GA-BP Model
[ACM] 2026-9-23 | Toward the Development of Online Spiritual Care Communities: A Large-Scale Survey of Spiritual Care Stakeholders to Establish Initial Design Directions, Acceptability, and Feasibility
[IEEE] 2026-9-23 | Epidural Fibrosis Raises Thresholds but Preserves Recruitment in Conventional Spinal Cord Stimulation: Lateral Steering Is Fragile_supp1-3736127.docx
[IEEE] 2026-9-23 | Comparing a Vision Foundation Model (DINOv3) and a Task-Specific U-Net for Mapping Emergent Aquatic Vegetation From Fused UAV Multispectral and LiDAR Data
[IEEE] 2026-9-23 | 2026 IEEE 37th International Conference on Application-specific Systems, Architectures and Processors (ASAP)
[IEEE] 2026-9-23 | Efficient Invariant Representation Learning Based on Cauchy–Schwarz Divergence
[IEEE] 2026-9-23 | A System-Oriented Lightweight Vision-Based Framework for Real-Time UAV Aerial Surveillance
[IEEE] 2026-9-23 | Author Index
[IEEE] 2026-9-23 | ReaguMark: A Resolution-Agnostic Unified Watermarking Framework for Screen-Camera Distortion Resistance_supp1-3729384.pdf
[IEEE] 2026-9-23 | Author Index
[IEEE] 2026-9-23 | Hierarchical Hybrid Deep Learning Framework for High-Performance Fiber Optic SPR Sensing_supp1-3736469.docx
[IEEE] 2026-9-23 | Privacy-Preserving Distributed Online Learning with Zeroth-Order Feedback over Directed Networks
[IEEE] 2026-9-23 | Design Approach for Resistor-Free Filtering Power Dividers Using a Cavity-Backed Slot and Its Equivalent Circuit
[IEEE] 2026-9-23 | Multi-Month mmWave Channel Characterization with NYUSIM: Frequency, Scenario, and Fading Model Analysis_supp1-3731631.xlsx
[IEEE] 2026-9-23 | Vehicle Electronics in the 90's: Proceedings of the International Congress on Transportation Electronics
[IEEE] 2026-9-23 | Lighting-Aware Adaptive Fusion for Short-Term Lighting-Load Forecasting in Smart-Building Lighting IoT
[IEEE] 2026-9-23 | Composite Vibration Suppression of Active-Magnetic-Bearing-Supported Rigid Rotors Using I-NRBO-Based PID Tuning and Improved Adaptive Notch Filtering
[IEEE] 2026-9-23 | Efficient Neural Decoding of Multi-Finger Forces for Continuous Human–Robot Interaction Control
[IEEE] 2026-9-23 | TAP-SNet: Lightweight Few-Shot Modulation Recognition via Selective Mamba Mechanism
[IEEE] 2026-9-23 | OppNDA: A Modular and Scalable Automation Framework for Streamlining DTN Research with the ONE Simulator
[IEEE] 2026-9-23 | Topology and Control of a Full-Arm Multiplexing Modular Multilevel Converter with Wide-Range Energy Balancing Capability
[IEEE] 2026-9-23 | Retraction Notice: Face Recognition system using Extreme Learning Machines
[IEEE] 2026-9-23 | EEG-EMG Coupling Analysis of Interaction Force in Human-Robot Interaction
[IEEE] 2026-9-23 | Dynamic Modeling of Six-Degree-of-Freedom Underwater Robot
[IEEE] 2026-9-23 | Learning Device-Agnostic Control Policy for Hip Exoskeletons via Sim-to-real Reinforcement Learning
[IEEE] 2026-9-23 | Dynamic-Flooding Transformer Ensembles for Reinforcement-Learning-Based Equity Market Timing
[IEEE] 2026-9-23 | Symbolic Energy Analysis for Nested Loop Accelerators
[IEEE] 2026-9-23 | CoTrack-LIO: A Dual-Track LiDar-Inertial SLAM for Dynamic Environments
[IEEE] 2026-9-23 | Enhancing Throughput for Wi-Fi 7 MLO With Shared Block ACK in MLD-SLD Coexisting Networks: An Airtime Alignment Approach
[IEEE] 2026-9-23 | Cooperative Teaching Optimization for Multi-Satellite Multi-Calibration-Satellite Mission Planning
[IEEE] 2026-9-23 | Robust RSMA-OTFS Design in LEO Satellite Communications with Practical Delay-Doppler Impairments
[IEEE] 2026-9-23 | Global Motion-Based Adaptive Composite Long-Term Reference Design for Surveillance Video Coding
[IEEE] 2026-9-23 | Zero-Shot Diagnosis of Gearboxes Based on Multi- View Feature Extraction and Heuristic Virtual Sample Generation
[IEEE] 2026-9-23 | A Compression Method and Analysis for Low-SNR SAR Images Based on Entropy Reduction and Rate-Distortion
[IEEE] 2026-9-23 | Achieving Uniform Radial Compression: An In Vitro Intestinal Motility Simulator for the Evaluation of Intestinal Robots
[IEEE] 2026-9-23 | PASTE: A Physical-Aware Surrogate for FPGA Pre-Routing Timing Estimation
[IEEE] 2026-9-23 | Scu: an Sfq Co-Design for Bit-Vector Approximate Matching in Genome Alignment
[IEEE] 2026-9-23 | Site-Aware Applicability-Domain-Guided Selective Prediction for Atmospheric Corrosion Under Environmental Domain Shift
[IEEE] 2026-9-23 | Static Strength Assessment of Aircraft Stiffened Panels Based on Graph Attention Network and Multiattribute Decision-Making
[ACM] 2026-9-24 | It Works, But Why? A Case Study of Artifact Consumption in Machine Learning Systems
[IEEE] 2026-9-23 | A Photovoltaic Cell Defect Detection Method Based on Improved RT-DETR
[IEEE] 2026-9-23 | DiMoP: Diffusion-Driven Motion Representation Learning With Frame-Level Pseudo-Classification for Skeleton-Based Action Recognition
共写入 200 条记录，保存到 papers/paper2026-09-23.json。
论文获取成功，文件路径: papers/paper2026-09-23.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 1/200 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 2/200 | Insight into ordering at nematic twist-bend interfaces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 3/200 | Factorizable Lie conformal bialgebras, quadratic Rota-Baxter Lie conformal algebras and some induced structures
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 4/200 | Local well-posedness for the KdV equation on the half-line at the critical regularity $H^{-\frac34}$
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 5/200 | MIDIBack: Harmony-Aware Singing Pitch Correction via Joint Vocal-Accompaniment Symbolic Modeling
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 6/200 | Symmetric group actions on the coordinate ring of the lower unipotent group and the polynomial ring with quantum parameters
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 7/200 | ALMA's sharpest view of IRAS 08544-4431: Unveiling the dust distribution asymmetries in the circumbinary disk
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 8/200 | Your Model Is Leaking: Covert Information Transfer through LLM Residual Streams
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 9/200 | Anisotropy and energy distribution of leptons and photons in radiative relativistic Alfvénic turbulence
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 10/200 | Six Layers Less: Encoder Pruning for Whisper with Label-Free Recovery
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 11/200 | The Second MLC-SLM Challenge: Multilingual Conversational Speech Diarization, Recognition, and Understanding
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 12/200 | Landau singularities and convex geometry
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 13/200 | Optimal low-rank compression of quantum dynamics
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 14/200 | Origin of the high-energy spectral cutoff in gamma-ray pulsar halos
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 15/200 | Passing: An Endless Journey through Reconstructed Spacetime with AI-Generated Sound
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 16/200 | Bounded cohomology, Codimension two submanifolds and Pontryagin-Thom constructions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 17/200 | Collocated Shape Regulation for Soft Robots
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 18/200 | Pooling Sequential Evidence Across Hypotheses: Rate-Optimal Multiple Testing at a Fixed Horizon
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 19/200 | Safety-Filtered Distributed Koopman-MPC
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 20/200 | Beyond Balanced Accuracy: A Resolution and Parity-Controlled Benchmark for Vision-Language and Vision-Only Defect Assessment in UAV Power-Line Inspection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 21/200 | Conserved charges and the first law of black holes for field dependent symmetry generators in the covariant phase space formalism
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 22/200 | Compressed delayed-information projection for six-degree-of-freedom underwater vehicle navigation under delayed acoustic positioning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 23/200 | Energy-Oriented CGLA Mapping of a Memory-Polynomial Digital Predistortion Kernel
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 24/200 | Calibration of cross-field transport models in SOLPS-ITER on the TCV-X21 case
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 25/200 | The Sharp Rényi and Tsallis Threshold in the Shepp--Olkin Concavity Problem
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 26/200 | Distance Estimation using Globular Clusters and Ultra-Compact Dwarfs
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 27/200 | A Deformation Approach to Axially Symmetric Kernels on the Sphere: Harmonic Coupling and Regularity
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 28/200 | The Dynamical Environment of Kepler-223 Planetary System
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 29/200 | Fractionation as a Tool to Control Mn/Al Site Mixing and Magnetism in CaMn_{2+x}Al_{10-x}
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 30/200 | ASAP: Visual Analytics for Identifying and Analyzing Image Patterns in AI-generated Images
