[2026-09-14 15:33:27] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-13
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609130000+TO+202609132359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-13 | AsymFlow: Enabling Long-Context LLM Serving via CPU-GPU Prefill-Decode Disaggregation
[ACM] 2026-9-13 | RSH-SpMM: A Row-Structured Hybrid Kernel for Sparse Matrix-Matrix Multiplication on GPUs
[ACM] 2026-9-14 | Moral Framing of Military Artificial Intelligence: The Role of Trust and Attitudes in Defensive and Offensive Use
[ACM] 2026-9-13 | OmniPipe: Efficient, Flexible and Scalable Pipeline Parallelism for Large Model Training
[ACM] 2026-9-13 | BP-MDS: Million-Scale Approximate CVRP in Minutes via Parallel Divide-and-Conquer
[ACM] 2026-9-13 | A Neuromorphic Dual-Stage Swin Transformer for Wetland Classification on Edge Platforms
[ACM] 2026-9-14 | Does Violent Video Gaming Induce Hostile Emotional Processing in Habitual Players? Evidence from Eye-Tracking Metrics
[ACM] 2026-9-14 | Experimental Verification of Operator Reliability in Standardised Control Panel Operation Using Eye Tracking in Virtual Reality
[ACM] 2026-9-13 | MigMoE: Task-Aware Expert Migration for Faster and More Balanced Expert-Parallel MoE Inference
[ACM] 2026-9-13 | Aethon: Performance-aware Memory Offloading for Co-running Applications in Public Clouds
[ACM] 2026-9-13 | PruneInfer: Exact Full-Neighborhood GNN Inference of Large Datasets on a Single GPU via Full Topology Pruning
[ACM] 2026-9-13 | Adaptive Operator Fusion with Subproblem Decomposition for Enhanced Memory Efficiency
[ACM] 2026-9-14 | An LLM-Assisted Framework for Response Selection in Low-Resource Language Dialogue: A Case Study on Taiwan Indigenous Languages
[ACM] 2026-9-14 | Stance Signaling for Social Justice on Social Media: Does It Boost and Accelerate User Engagement?
[ACM] 2026-9-14 | Augmented Intelligence for Professional Recruiting: designing an Advisor-in-the-Loop system to support the job interview process
[ACM] 2026-9-14 | Robot assistants during high mental workload: Understanding Task-Specific Load in Human–Robot Interaction
[ACM] 2026-9-13 | ReLA: Representation Learning and Aggregation for Scalable Job Scheduling with Reinforcement Learning
[ACM] 2026-9-13 | VILIB++: High Performance C++ Library for Auto-Vectorizing Interval Arithmetic
[ACM] 2026-9-13 | Heterogeneous SLO Guaranteed Multi-Resource-Aware Batching in LLM Serving
[ACM] 2026-9-13 | Scalable RL-Based Online Scheduling Framework for Modular Process Systems
[ACM] 2026-9-14 | Hackalysis: Detecting Hackathon-Origin Software Through Temporal and Structural Repository Traces
[ACM] 2026-9-14 | When AI Answers Too Soon: The Displacement of Reflective Inquiry in Design
[ACM] 2026-9-14 | Faults that Persist: Fault-Injection Attacks and ASCON-Based Defense in Multi-Tenant FPGAs
[ACM] 2026-9-14 | LLM-empowered remanufacturing: A novel human-AI interaction under the lens of a scoping review
[ACM] 2026-9-14 | Adaptive exposure therapy for Social Anxiety Disorder: a preliminary validation in virtual reality
[ACM] 2026-9-13 | Accelerating Long-Tail Generation in Synchronous RLHF Training via Adaptive Tensor Parallelism
[ACM] 2026-9-13 | DyGMIS: Fast and Scalable Fully Dynamic MIS Maintenance on Large Evolving Graphs
[ACM] 2026-9-13 | Chapel for Parallel AND Distributed GPU Computing: A Case Study with Jaccard Similarity
[ACM] 2026-9-13 | PipeTree: Decision Tree Partitioning for Efficient Inference on Programmable Switches
共写入 100 条记录，保存到 papers/paper2026-09-13.json。
论文获取成功，文件路径: papers/paper2026-09-13.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | AsymFlow: Enabling Long-Context LLM Serving via CPU-GPU Prefill-Decode Disaggregation
[NO] 2/100 | FAST: A Holistic Framework for Optimizing Memory-I/O, Computation, and Sampling in Temporal GNN Training
[NO] 3/100 | TFS: Tile-Aware SpMM–GeMM Fusion for Accelerating GNN Inference on Intel AMX
[NO] 4/100 | Dimensions of Self-Disclosure and Visual Self-Presentation in WhatsApp Profile Pictures Among Young Adults
[NO] 5/100 | MAGSAT: Memory-Access-Guided Fusion and Shape-Adaptive Auto-Tuning for Dynamic Tensor Programs
[NO] 6/100 | Coflow Scheduling in Hybrid-Switched Data Center Networks under Not-All-Stop Reconfiguration
[NO] 7/100 | Symptoms matters: commonality and variability of gaming disorder symptoms across 35 countries
[NO] 8/100 | Processing of Real and AI-Generated Human Faces: An Exploratory EEG Study
[NO] 9/100 | RDPart: A reuse-based OS-level cache-partitioning policy for fairness optimization in cloud data centers
[NO] 10/100 | Asynchronous Dispersion with Optimal Time Complexity
[NO] 11/100 | RapidGEMM: An Efficient Tile-agnostic GEMM for Mixture-of-Experts Training
[NO] 12/100 | WAQ-LLM: Optimizing Multi-Instance LLM Deployment via Workload-Aware Queueing Model
[NO] 13/100 | CoTC-SpMM: A Cooperative Tensor–CUDA Cores Scheme for Efficient Sparse Matrix Multiplication
[NO] 14/100 | Externalization by Design: Cognitive Load, Bounded AI, and Process-Level Accountability in Expert Knowledge Systems
[NO] 15/100 | SleuthTalk: Supporting Historical Photo Identification with Private Workspaces for Collective Sensemaking and Deliberation
[NO] 16/100 | Analyzing the Interest in Digital Wellbeing Services: Are People More Willing to Pay for Them on Social Network Sites or Messaging Platforms?
[NO] 17/100 | Chameleon: Adaptive Bidirectional Pipeline Parallelism for Edge Collaborative Training
[NO] 18/100 | RSC: Enabling High-Performance RDMA for Serverless Services with Adaptive Network Multiplexing
[NO] 19/100 | Scalable Exact Path Selection via Structure-Aware Search for Virtual Payment Channels
[NO] 20/100 | Bypass-Enabled Topology-Agnostic Multicast Router for Fault-Tolerant Network-on-Chips
[NO] 21/100 | The Red Shoes 2
[NO] 22/100 | SIHG-Rec: Unleashing the Power of Semantic and Interactive Homogeneous Graphs via Dual-Stage Fusion for Multimodal Recommendation
[NO] 23/100 | RPSC: Robust LLM Scheduling by Tolerating Prediction Inaccuracy and Mitigating Tail Latency
[NO] 24/100 | Parallel Prefix Filter Search for Weighted Jaccard Similarity
[NO] 25/100 | Edge-Cloud Collaborative RAG with Multi-State Semantic Caching
[NO] 26/100 | StreamTrace: Fast Trace Analysis for Large-Scale Parallel Applications on a Single Node
[NO] 27/100 | Proceedings of the 55th International Conference on Parallel Processing
[NO] 28/100 | ZSWP: Rollback-Free Spherical ε-Join for Scalable Astronomical Cross-Matching on Heterogeneous Supercomputer Architectures
[NO] 29/100 | SimPattern: A Novel Byte-Pattern Matching based Chunk Similarity Detection for Post-Deduplication
[NO] 30/100 | AFH-SpMM: Auto-Fit Heterogeneous Block Sparse-Dense Matrix Multiplication on Tensor Core GPUs
[NO] 31/100 | Elasticity in Parallel Sparse Triangular Solve
[NO] 32/100 | A Phygital Game Prototype to Support Speech-Therapy-in-the-Loop AI in Pediatric Rehabilitation
[NO] 33/100 | MOPAR: A Model Partitioning Framework for Deep Learning Inference Services on Serverless Platforms
[NO] 34/100 | PIM-Forge: Toward Autonomous PIM Kernel Synthesis through Constraint-Guided Hardware Exploration
[NO] 35/100 | Balancing immersion and usability in virtual reality training: Effects on self-efficacy and user experience in mass casualty incident simulation
[NO] 36/100 | Visual Storytelling for Knowledge Sharing in Co-Design Workshops on Urban Air Mobility
[NO] 37/100 | Low-bit and Sparsified Gradient Communication for Accelerating Distributed Deep Learning with Convergence Guarantees
[NO] 38/100 | RayFST: Accelerating Finite-State Transducer Composition with Ray Tracing Cores
[NO] 39/100 | DiCTR: A Distributed Lightweight Second-Order Optimization Algorithm for Deep Model Training
[NO] 40/100 | Do Hedonic Aspects of Context Bias UX Evaluation? Evidence from Controlled Virtual Environments
[NO] 41/100 | Proceedings of the 2026 European Conference on Cognitive Ergonomics
[NO] 42/100 | ZNStore: Decomposing the B+Tree Write Path for Zoned Namespace SSDs
[NO] 43/100 | Using AI-Generated Videos to Simulate Different People Communicating the Same Healthcare Needs: An Exploratory Study of Care Prioritisation and Trust Across Health Professional and Public Groups
[NO] 44/100 | deMIT Open Research: A Cognitively Sustainable Infrastructure for Shared Knowledge
[NO] 45/100 | Gender Representation in Chatbot Design: Implications for User Experience
[NO] 46/100 | Revealing NVIDIA Closed-Source Driver Command Streams for CPU–GPU Runtime Behavior Insight
[NO] 47/100 | Sparsity-aware Fine-Grained Parallelization for Set Intersection Computations in Graph Datasets
[NO] 48/100 | AIE-HE: Accelerating Client-Side Processing of Homomorphic Encryption on AMD AI Engine
[NO] 49/100 | Thinking Globally, Acting Locally: Merge Sort's Auto-Vectorization on Shuffle-Heavy ISAs
[NO] 50/100 | A Low-Overhead, Lightweight, Lossless GPU Compression Algorithm for Numerical Simulations
[NO] 51/100 | Articulation Work and Conventions: The Workers’ Experience
[NO] 52/100 | Online Scheduling of Battery-Aware Speculative Decoding for Energy-Efficient Cloud-Edge Collaborative LLM Inference
[NO] 53/100 | FNR: A Probabilistic Data Repair Scheme for Reed-Solomon Coded Storage Amid Network Fluctuations
[NO] 54/100 | High-Performance Virtual Screening Based on Parallel Molecular Dynamics Simulations with Early Termination
[NO] 55/100 | GPU-Accelerated Gate-Level Time-Based Power Analysis via Event-Density-Aware Partitioning and Kernel Fusion
[NO] 56/100 | GroupKV: Hierarchical KV Cache Management for Long-Context Diffusion LLM Inference
[NO] 57/100 | SSQT: A Hardware-Friendly Fusion Compression Framework of Structured Sparsification and Sensitivity-Driven Quantization for Large-Scale Language Models
[NO] 58/100 | AtomFlow: Accelerating GNN-Based Molecular Dynamics with ab initio Accuracy on Fugaku Supercomputer
[NO] 59/100 | Pagoda: Time and Energy Rooflines for DNN Workloads on Edge Accelerators Across Power Modes
[NO] 60/100 | In-Copy Fusion: Runtime Argument Fusion for Efficient OpenMP GPU Offloading
[NO] 61/100 | Employer organisations and counsellor attitudes towards digital interventions for mental health and wellbeing within the workplace: A qualitative analysis
[NO] 62/100 | Microservices Scheduling with ReS Model: Characterization, Regulation and Metrics
[NO] 63/100 | Memory-Aware Joint Optimisation of Partitioning and Scheduling for Pipeline-Parallel Training
[NO] 64/100 | PIM-Pai: Boosting the Performance of Index Structures with Minimal Effort on Processing-in-Memory Architecture
[NO] 65/100 | Query Density-Driven Partitioning for Spatiotemporal Load Balancing on Processing-in-Memory Systems
[NO] 66/100 | HGB+-Tree: An Hourglass-like B+-tree for Persistent Memory
[NO] 67/100 | CmptQuiet: Optimizing Tail Latency and Throughput in LSM-Tree Key-Value Stores via Contention-Aware Compaction
[NO] 68/100 | Implicit Physical Coordination as a Group-Level Trait: Preliminary Evidence from Youth Football
[NO] 69/100 | Bullseye Hash: An Efficient Hash-Table for Sparse Tensor Contraction
[NO] 70/100 | Tempest: A GPU-Accelerated Engine for Streaming Temporal Random Walks
[NO] 71/100 | SQUASH: Distributed Square Estimation with Provable Error Bounds for Dynamic Graphs
[NO] 72/100 | ActiveRDMA: SmartNIC-offloaded, Multi-Step RDMA operations
[NO] 73/100 | RSH-SpMM: A Row-Structured Hybrid Kernel for Sparse Matrix-Matrix Multiplication on GPUs
[NO] 74/100 | Moral Framing of Military Artificial Intelligence: The Role of Trust and Attitudes in Defensive and Offensive Use
[NO] 75/100 | OmniPipe: Efficient, Flexible and Scalable Pipeline Parallelism for Large Model Training
[NO] 76/100 | BP-MDS: Million-Scale Approximate CVRP in Minutes via Parallel Divide-and-Conquer
[NO] 77/100 | A Neuromorphic Dual-Stage Swin Transformer for Wetland Classification on Edge Platforms
[NO] 78/100 | Does Violent Video Gaming Induce Hostile Emotional Processing in Habitual Players? Evidence from Eye-Tracking Metrics
[NO] 79/100 | Experimental Verification of Operator Reliability in Standardised Control Panel Operation Using Eye Tracking in Virtual Reality
[NO] 80/100 | MigMoE: Task-Aware Expert Migration for Faster and More Balanced Expert-Parallel MoE Inference
[NO] 81/100 | Aethon: Performance-aware Memory Offloading for Co-running Applications in Public Clouds
[NO] 82/100 | PruneInfer: Exact Full-Neighborhood GNN Inference of Large Datasets on a Single GPU via Full Topology Pruning
[NO] 83/100 | Adaptive Operator Fusion with Subproblem Decomposition for Enhanced Memory Efficiency
[NO] 84/100 | An LLM-Assisted Framework for Response Selection in Low-Resource Language Dialogue: A Case Study on Taiwan Indigenous Languages
[NO] 85/100 | Stance Signaling for Social Justice on Social Media: Does It Boost and Accelerate User Engagement?
[NO] 86/100 | Augmented Intelligence for Professional Recruiting: designing an Advisor-in-the-Loop system to support the job interview process
[NO] 87/100 | Robot assistants during high mental workload: Understanding Task-Specific Load in Human–Robot Interaction
[NO] 88/100 | ReLA: Representation Learning and Aggregation for Scalable Job Scheduling with Reinforcement Learning
[NO] 89/100 | VILIB++: High Performance C++ Library for Auto-Vectorizing Interval Arithmetic
[NO] 90/100 | Heterogeneous SLO Guaranteed Multi-Resource-Aware Batching in LLM Serving
[NO] 91/100 | Scalable RL-Based Online Scheduling Framework for Modular Process Systems
[NO] 92/100 | Hackalysis: Detecting Hackathon-Origin Software Through Temporal and Structural Repository Traces
[NO] 93/100 | When AI Answers Too Soon: The Displacement of Reflective Inquiry in Design
[NO] 94/100 | Faults that Persist: Fault-Injection Attacks and ASCON-Based Defense in Multi-Tenant FPGAs
[NO] 95/100 | LLM-empowered remanufacturing: A novel human-AI interaction under the lens of a scoping review
[NO] 96/100 | Adaptive exposure therapy for Social Anxiety Disorder: a preliminary validation in virtual reality
[NO] 97/100 | Accelerating Long-Tail Generation in Synchronous RLHF Training via Adaptive Tensor Parallelism
[NO] 98/100 | DyGMIS: Fast and Scalable Fully Dynamic MIS Maintenance on Large Evolving Graphs
[NO] 99/100 | Chapel for Parallel AND Distributed GPU Computing: A Case Study with Jaccard Similarity
[NO] 100/100 | PipeTree: Decision Tree Partitioning for Efficient Inference on Programmable Switches
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-09-13.json。
邮件发送成功！
[2026-09-14 15:58:34] 任务执行成功！
