[2026-05-09 10:01:56] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-08
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605080000+TO+202605082359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-5-8 | Insole-Shaped Pneumatic Feedback for Directional Weight-Shifting Guidance
[IEEE] 2026-5-8 | Corruption-Resilient Combinatorial Bandit Learning for Heterogeneous Network Systems
[IEEE] 2026-5-8 | The Silicon Safety Barrier: How Numerical Formats Define Reliability
[IEEE] 2026-5-8 | TransVort: A Temporally-Coherent Physics-Guided Neural Network for Super-Resolving and Denoising 4D Flow MRI of Cerebrospinal Fluid_supp2-3690957.docx
[IEEE] 2026-5-8 | Probing Deeper Zone of Lung using Four Electrode Techniques: An FEM Approach
[IEEE] 2026-5-8 | Automatic Red Teaming LLM-based Agents with Model Context Protocol Tools_supp1-3691201.pdf
[IEEE] 2026-5-8 | Consumer Data Privacy-Aware Federated Orchestration for Communication, Computing, and Control in 6G Consumer Services
[IEEE] 2026-5-8 | Multitree Genetic Programming with Behavioral Semantics for Large-Scale Dynamic Air Traffic Flow Management
[IEEE] 2026-5-8 | D-PolTransGAN: Scattering Guided Hybrid Transformer-GAN for SAR-Optical Image Translation using Dual Polarization SAR
[IEEE] 2026-5-8 | A Conceptual Study for Prediction of the Floating behavior of Metallic Particle
[IEEE] 2026-5-8 | Unlocking Flexibility Potential through DVFS-controlled Data Center Clusters in Unit Commitment
[IEEE] 2026-5-8 | Towards Robust Alignment for Video Dehazing with Temporal Lookup Table
[IEEE] 2026-5-8 | Academia, Industry, and Society: Building Stronger Bridges [President’s Column]
共写入 100 条记录，保存到 papers/paper2026-05-08.json。
论文获取成功，文件路径: papers/paper2026-05-08.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Insole-Shaped Pneumatic Feedback for Directional Weight-Shifting Guidance
[NO] 2/100 | One for All, All for One: A Large-Scale VirtualCo-Embodiment with Motion Data from 252 People
[NO] 3/100 | Multi-modal Feature-based Classification of Post-Stroke Motor Impairment using Bi-directional LSTM
[NO] 4/100 | Monte Carlo Perception: Proposal for a Probabilistic Perception Framework for Decision-Making in Sports
[NO] 5/100 | O QoE, Where Art Thou?
[NO] 6/100 | Reimagining Human Augmentation through Disability-Led Performance
[NO] 7/100 | Video-to-Task Learning via Motion-Guided Attention for Few-Shot Action Recognition
[NO] 8/100 | A Fully Integrated D-Band I/Q Homodyne Transceiver Enabling a Multi-Gigabit Wired Link
[NO] 9/100 | Adversarial Robustness in Multilingual and Code-Mixed NLP: Insights from Indian Language Settings
[NO] 10/100 | Conference Calendar
[NO] 11/100 | Boosting the Performance of Decentralized Federated Learning via Catalyst Acceleration_supp1-3688672.pdf
[NO] 12/100 | Spatio-Temporal Graph Neural Network-Based Traffic Sensing Approach for Satellite Communication Networks
[NO] 13/100 | Technical Program Committee
[NO] 14/100 | Resource-Efficient Plastic Classification System Using Low-Cost NIR Spectroscopy and Edge AI: A Case Study on Sustainable Toy Recycling
[NO] 15/100 | Time-based 8TD SRAM CIM Macro with Low PVT Sensitivity for Edge Devices
[NO] 16/100 | IMCET 2026 Index Page
[NO] 17/100 | Global Sensitivity Analysis of Whole-Body Physiologically Based Pharmacokinetic Model Parameters in [Lu]Lu-PSMA-I&amp;#x0026;T Radioligand Therapy: Key Determinants of Individual Kidney and Tumor Absorbed Dose Uncertainty and Implications for Digital Twin Development_supp1-3690503.pdf
[NO] 18/100 | Proceedings of the 2026 2nd International Workshop on Low-Code Development and Software Architecture
[NO] 19/100 | Multimodal Agentic RAG: A Hybrid Framework for Intelligent Extraction and Adaptive Retrieval on Unstructured Data Streams
[NO] 20/100 | QuCumber: Wavefunction Reconstruction with Neural Networks
[NO] 21/100 | AI-Driven Forest Fire Prediction for Disaster Prevention
[NO] 22/100 | Overvoltage Stress Distribution on Transformer Bushings Under the Effect of Electromagnetic Transient Response
[NO] 23/100 | A Hybrid Edge-Cloud IoT Framework for Real-Time Plant Disease Detection using Multimodal Data Fusion
[NO] 24/100 | House Price Prediction Algorithms and Model based on Machine Learning
[NO] 25/100 | Spectral Fidelity Aware Hyperspectral Image Denoising via Unsupervised Triple Attention with Endmember Preservation
[NO] 26/100 | PWM-Based Multi-Mode Converter for DC-AC and Isolated Renewable Energy and EV Applications
[NO] 27/100 | AI-Generated Fake News Detection Using a Multimodal Approach on the MiRAGeNews Dataset
[NO] 28/100 | Machine Learning in Electric Vehicle Consumption Modelling
[NO] 29/100 | Smart Irrigation Prediction Using Machine Learning
[NO] 30/100 | Machine Learning Classifier Comparative Performance Analysis of Smart Mobility: Multiclass Traffic Congestion Prediction
[NO] 31/100 | Real-Time Speech Enhancement for Dysarthria Individuals Using NLP and Deep Learning
[NO] 32/100 | Perception-Aware Intelligent Lighting Systems: Functional Safety and Control Architectures for Intelligent Vehicles
[NO] 33/100 | Hallucination-Aware, Injection-Resistant LLMs for Scientific Text Integrity
[NO] 34/100 | UniRelease: A Unified Framework for Addressing Cross-Platform Mobile Application Build and Release Challenges
[NO] 35/100 | Design of a Low-Cost Smart Embedded System for Real-Time Alcohol and Accident Detection in Vehicles
[NO] 36/100 | Conversational AI in Medicine: Exploring the Role of Chatbots in Modern Healthcare
[NO] 37/100 | Vision Transformer Integrated with Shift Operation for Brain Tumor Detection and Classification
[NO] 38/100 | Sentiment Analysis in Stock Price Prediction Using ML
[NO] 39/100 | SecureEndoNet: An Encryption-Enabled, Transfer Learning–Based Approach for Endoscopic Image Classification
[NO] 40/100 | Optimal Pre and Post-Silicon Validation Strategy for Vision-Centric ASIC Platforms
[NO] 41/100 | Reconfiguration Technique for Enhancing PV Module Performance Under Mismatching Conditions
[NO] 42/100 | AI-Powered Skin Lesion Detection and Classification using Emerging Techniques
[NO] 43/100 | Edge-AI and Multimodal Sensor Fusion–Based Smart Stick for Visually Impaired Individuals with Real-Time Obstacle Detection
[NO] 44/100 | Degradation Aware Adaptive Charging Strategies for Ultra-Fast Electric Vehicle Charging
[NO] 45/100 | Model-Less Forecast-Proactive Intelligent Control for Inverter in Islanded Microgrid
[NO] 46/100 | Investigating the Impact of Dimensionality Reduction on Spectral Unmixing Accuracy Using NIST-Traceable Colour Calibration Standard
[NO] 47/100 | Open-Set Domain Generalization for Hyperspectral Image Classification via Evidential Uncertainty Quantification
[NO] 48/100 | Low-Area Fused Floating-Point Four-Term Adder
[NO] 49/100 | Li Ion Life Estimation System using Machine Learning
[NO] 50/100 | Design and Fabrication of CSRR based Multi-Port Antenna System for 5G Smart Phone Devices
[NO] 51/100 | AI-Enabled IOT Health Monitoring with Multi-Vital Sensing and Location-Triggered Emergency Alert Mechanism
[NO] 52/100 | Scalable Artificial Intelligence Models for Big Data Processing and Analysis
[NO] 53/100 | Intelligent Robotic Waste Segregation using YOLOv11 for Real-Time Object Detection
[NO] 54/100 | Hybrid Machine Learning Approach for Short-Term Photovoltaic Power Forecasting Using Meteorological Data
[NO] 55/100 | Decentralized Deepfake Detection: Feature-Aligned Federated Learning with Multi-Backbone Fusion
[NO] 56/100 | Detection of Diabetic Retinopathy using Intelligent Gradient Boosted Decision Trees
[NO] 57/100 | GLREM-Net: Groundnut Leaf Disease Detection using Deep Learning based ResMobileNet
[NO] 58/100 | Oncoverse: A Multi-Agent Conversational System for Breast Cancer Detection
[NO] 59/100 | Organizational Efficiency: The Role of SHRP and Technology Integration in Driving Performance
[NO] 60/100 | BERT-Electra Synergistic Model with Cross-Attention for Enhanced Fake News Detection
[NO] 61/100 | BoTTA: Benchmarking On-device Test Time Adaptation
[NO] 62/100 | FruitScope: A Non-Invasive Fruit Ripeness Sensing System via Multi-Resolution FMCW Design and Acoustic Sensing
[NO] 63/100 | NeuroPath: Practically Adopting Motor Imagery Decoding through EEG Signals
[NO] 64/100 | Enabling Cross Technology Communication from LR-FHSS to LoRa
[NO] 65/100 | ConvReflex: Efficient Ultra-Low-Power CNN Inference via Clamping Prediction
[NO] 66/100 | Smart Cradle: An IoT-Based System for Intelligent Infant Monitoring
[NO] 67/100 | Real-Time GR-Based Shoulder Dislocation Risk and Strength Monitoring System Using Arduino for Rehabilitation and Preventive Care
[NO] 68/100 | Distribution Network Disaster Prediction Based on Adaptive Random Forest Algorithm under Extreme Weather
[NO] 69/100 | Simulation-Based Dynamic Spectrum Management Using Deep Q-Learning for Cognitive Radios
[NO] 70/100 | Evaluating Machine Learning Methods for DDoS Detection in IDS
[NO] 71/100 | GN2T: A Hybrid Graph Neural and Tree-Structured Architecture for ECG-Based Arrhythmia Recognition
[NO] 72/100 | Optimized Multiplexer-Based Carry Select Adder Implementation
[NO] 73/100 | Plant Health Monitoring System of Potato Images: Improved Alexnet Approach
[NO] 74/100 | Optimal Mass Transport Based Room Geometry Estimation with Acoustic Consistency Constraints
[NO] 75/100 | TriCA-Net: A Tri-Context Adaptive MoE Framework for Brain Metastases Segmentation Using Multimodal MRIs
[NO] 76/100 | Enhanced Liver Tumor Segmentation via Optimized Preprocessing and Attention-Based U-Net Model
[NO] 77/100 | Detection and Classification of Parkinson’s Disease using Machine Learning
[NO] 78/100 | Feature Aggregation and Multi-Class Detection (FAMCD) Framework for Skin Cancer Classification
[NO] 79/100 | Leveraging VGG16 and ResNet50 for Clinically Aligned Assessment in Breast Cancer Histopathology
[NO] 80/100 | HS-ANET: Star Spectral Type Enhanced Astrometric Calibration for Hyper Spectral Space Imaging
[NO] 81/100 | DG-MapNet:Dual-Guided Query Initialization for Structure-Aware Vectorized HD Map Construction
[NO] 82/100 | Mirror World vs. Real World: Task-Based Evaluation of a Low-Latency Volumetric AR Mirror
[NO] 83/100 | Demonstration of Walking Drummer: Musical Participation via Footstep Percussion While Walking
[NO] 84/100 | Enhanced Indoor Localization Using RSSI and SNR-Based Regression Models with Particle Filter Optimization in LoRaWAN
[NO] 85/100 | Value Lanes: A framework to inculcate ethical argumentation skills in design classrooms
[NO] 86/100 | Feel the Connection: Assessing the Influence of Haptic Social Touch on Social Presence in Remote VR Interactions
[NO] 87/100 | HapticPipette: Seamless Capture of Object Compliance in Mixed Reality
[NO] 88/100 | IMS2026 Registration Announcement
[NO] 89/100 | Corruption-Resilient Combinatorial Bandit Learning for Heterogeneous Network Systems
[NO] 90/100 | The Silicon Safety Barrier: How Numerical Formats Define Reliability
[NO] 91/100 | TransVort: A Temporally-Coherent Physics-Guided Neural Network for Super-Resolving and Denoising 4D Flow MRI of Cerebrospinal Fluid_supp2-3690957.docx
[NO] 92/100 | Probing Deeper Zone of Lung using Four Electrode Techniques: An FEM Approach
[NO] 93/100 | Automatic Red Teaming LLM-based Agents with Model Context Protocol Tools_supp1-3691201.pdf
[NO] 94/100 | Consumer Data Privacy-Aware Federated Orchestration for Communication, Computing, and Control in 6G Consumer Services
[NO] 95/100 | Multitree Genetic Programming with Behavioral Semantics for Large-Scale Dynamic Air Traffic Flow Management
[NO] 96/100 | D-PolTransGAN: Scattering Guided Hybrid Transformer-GAN for SAR-Optical Image Translation using Dual Polarization SAR
[NO] 97/100 | A Conceptual Study for Prediction of the Floating behavior of Metallic Particle
[NO] 98/100 | Unlocking Flexibility Potential through DVFS-controlled Data Center Clusters in Unit Commitment
[NO] 99/100 | Towards Robust Alignment for Video Dehazing with Temporal Lookup Table
[NO] 100/100 | Academia, Industry, and Society: Building Stronger Bridges [President’s Column]
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-05-08.json。
邮件发送成功！
[2026-05-09 10:18:43] 任务执行成功！
