[2026-03-17 09:50:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-16
正在获取论文...
[arXiv] 2026-03-16 | Controlled Langevin Dynamics for Sampling of Feedforward Neural Networks Trained with Minibatches
[IEEE] 2026-3-16 | A Generalized Algorithm for Retrieving Land Surface Temperature from UAV Thermal Infrared Imagery
[IEEE] 2026-3-16 | Xiling: Cryo-CMOS Manipulator Using Dual 18-bit R-2R DACs for Single-Electron Transistor at 60 mK
[IEEE] 2026-3-16 | Adaptive Step-Size Digital Back-Propagation for High-Capacity Unrepeatered Optical Systems with Raman Amplification
[IEEE] 2026-3-16 | A Novel Source Separation Chaotic Optical Communication Architecture Based on Deep Cascade Time-delay Reservoir Computing
[IEEE] 2026-3-16 | Adaptive Orchestration of Semantic-Computation Resources in Network-Edge-Robot IIoT
[IEEE] 2026-3-16 | Disentangling Global Orientation with Test-Time Rectification for Unsupervised Non-rigid Point Cloud Correspondence_supp1-3668605.pdf
[IEEE] 2026-3-16 | Mapless Underwater Navigation using Convex Quadratic Programming based Geomagnetic-Inertial Fusion
[IEEE] 2026-3-16 | Member Get-A-Member (MGM) Program
[IEEE] 2026-3-16 | Hybrid C-LSTM Neural Architecture for Real-time Adaptive Control of Fixed-Wing UAVs in Variable Turbulence Conditions
[IEEE] 2026-3-16 | Integrating Behavioral Data and Explainable AI for Predicting Young Adult Depression
[IEEE] 2026-3-16 | Ergodicity and Perturbation Bounds for a Finite Source Computer Queueing Network
[IEEE] 2026-3-16 | Design and Development of Optical Sensor Emulator for Verification of on-Board HDA Algorithm of Chandrayaan-3
[IEEE] 2026-3-16 | Data-Driven Model Updating and Load Identification for Rotor Blades Using Neural Networks
[IEEE] 2026-3-16 | Deep Learning and Probabilistic Clustering for Anomaly Detection in Nuclear Power Plants
[IEEE] 2026-3-16 | Enhanced Localization of Driverless Trains using Multi-Scale Grid LiDAR Fiducial Marker Features*
[IEEE] 2026-3-16 | Hybrid Deep Learning-based Solar Irradiance Forecasting for Matarbari Coastal Region—The Next Generation Power Hub
[IEEE] 2026-3-16 | The Emotional Signature: Detecting AI-Generated Short Stories through Narrative and Emotion Analysis
[IEEE] 2026-3-16 | A Novel Framework for Fall of Ground Risk Estimation Using Contactless GPR Imagery
[IEEE] 2026-3-16 | Multi-Agent Phishing Detection And Deletion via Small VLM and LLM Reasoning
[IEEE] 2026-3-16 | Broadband Emissivity Analysis of Black Body Target Materials for Calibration of Michelson Interferometer Diagnostic
[IEEE] 2026-3-16 | Transforming Closed-Set to Open-Set Diagnosis: Placeholder Learning for Bearing Faults
[IEEE] 2026-3-16 | Factors Influencing the usage of Cloud Storage Services: A Case Study in an Indonesian Private University
[IEEE] 2026-3-16 | GPU-Accelerated Barrier-Rate Guided MPPI Control for Tractor-Trailer Systems
[IEEE] 2026-3-16 | A Highly Selective High Gain Vivaldi Filtenna with Multiple Radiation Nulls for UWB, Satellite Communication and Short Range Radar Applications
[IEEE] 2026-3-16 | Boosting Credit Card Fraud Detection Through XGBoost and Balanced Data
[IEEE] 2026-3-16 | Impact of Missing Inter-Beat Intervals on Heart Rate Variability Features and Driver Drowsiness Detection
[IEEE] 2026-3-16 | Health Condition Prediction of Power Diodes Using Particle Filter
[IEEE] 2026-3-16 | Development of High Voltage Test Bench for High Power mm Wave Gyrotron Testing
[IEEE] 2026-3-16 | Deep-Koopman-Based Model Predictive Control for Trajectory Tracking of Automated Vehicle
[IEEE] 2026-3-16 | Large Language Models for Autonomous Driving: A Review of Technical Challenges, Datasets, and Simulation Environments
[IEEE] 2026-3-16 | Contrast &amp; Compress: Learning Lightweight Embeddings for Short Trajectories
[IEEE] 2026-3-16 | CNC Machining and Characterization of W-Band Folded Waveguide Structures
[IEEE] 2026-3-16 | A Highly Sensitive and Optimized SPR Biosensor for Monitoring Polluted Water Samples
[IEEE] 2026-3-16 | Smart Marketing Chatbot of Amazon Office Products Using Generative Based Sequence to Sequence Model
[IEEE] 2026-3-16 | Advancing Simulation-Based Optimization with LLMs for Traffic Problems
[IEEE] 2026-3-16 | Introducing OASISS: ODD-Based AI Safety in AutonomouS Systems
[IEEE] 2026-3-16 | C-Band 6-Bit Digital Phase Shifter MMIC Design for Space-Borne Synthetic Aperture Radar
[IEEE] 2026-3-16 | Conditioned Trajectory Generation for Realistic Driving Scenarios via a Hybrid Machine Learning Architecture
[IEEE] 2026-3-16 | Concurrent Multiple Entanglement Routing Model with Function-Configurable Nodes in Quantum Networks
[IEEE] 2026-3-16 | A Unified MATLAB/Simulink Framework for Comparative Control of Grid-Connected Electric Vehicles
[IEEE] 2026-3-16 | Consensus-Aware AV Behavior: Trade-Offs Between Safety, Interaction, and Performance in Mixed Urban Traffic
[IEEE] 2026-3-16 | Frame-Wise Interactive Strategy on Video Streams for Road Friction Estimation Under Kinematic Constraints
[IEEE] 2026-3-16 | Development of a Driving Posture Assessment System for Posture Standardization Using a Single in-Cabin Camera
[IEEE] 2026-3-16 | Integrity-Monitored Deep Reinforcement Learning for Safe and Robust Autonomous Navigation
[IEEE] 2026-3-16 | Grid Search Optimised Ensemble of Pretrained Models for Multi-Class Brain Tumour Classification Using MRI Images
[IEEE] 2026-3-16 | Explainable Federated Cardiovascular Risk with Compact MLPs
[IEEE] 2026-3-16 | Pre-Launch Testing &amp; Characterization of the NISAR S-SAR Digital Beamforming
[IEEE] 2026-3-16 | Application of FT and FFT Continuous Zoom Analysis in Motor Bearing Fault Diagnosis
[IEEE] 2026-3-16 | Concept for Data-Driven Modeling of Perception Sensors for Automated Driving Systems
[IEEE] 2026-3-16 | Enforced PEC Boundary Condition to a DML Fed RDRA: A Tri-Mode Tri-Band RDRA for Wireless Applications
[IEEE] 2026-3-16 | MR-LDM - the Merge-Reactive Longitudinal Decision Model: Game Theoretic Human Decision Modeling for Interactive Sim Agents
[IEEE] 2026-3-16 | Multi-Objective Passing Decision and Trajectory Planning Method for Unstructured Road Environments via Integrated Discrete Modeling
[IEEE] 2026-3-16 | Iterative Decision-Making in Reinforcement Learning for Ride-Sharing Optimization: A Joint Approach to Dispatching and Rebalancing
[IEEE] 2026-3-16 | Joint Noise Whitening and Oversampled MRC Detection for W-OTFS Systems in Gamma-Gamma Turbulent Channels
[IEEE] 2026-3-16 | Deep Semi-Supervised Tandem Autoencoder for Split-Ring Resonator Loaded Antenna Design
[IEEE] 2026-3-16 | Design of Metamaterial Based UWB MIMO Antenna
[IEEE] 2026-3-16 | Multi-Objective Economic and Emission Dispatch Optimization using Grey Wolf Optimizer: A Case Study of the Ashuganj Power Plant, Bangladesh
[IEEE] 2026-3-16 | PSRR-Aware (gm/Id)-Based LDO Design with Load-Capacitance and Quiescent-Current Optimization
[IEEE] 2026-3-16 | A Wideband 3 × 3 Nolen Matrix Using Modified Coupler and Crossover for WLAN Applications
[IEEE] 2026-3-16 | A Simple Pipeline for 3D Object Detection and Motion Prediction Without Prior Information Through Semantic Understanding
[IEEE] 2026-3-16 | Closing the Loop: Motion Prediction Models Beyond Open-Loop Benchmarks
[IEEE] 2026-3-16 | Transformer-Based Assessment of Driving Corridors for Motion Planning of Automated Vehicles
[IEEE] 2026-3-16 | An Adaptive Frequency Sweep Algorithm for Broadband EM Simulation Incorporating Random Matrix Transformation in the Loewner Framework
[IEEE] 2026-3-16 | A Renewable Hydrogen-Based Transit Solution for Tompkins County: Feasibility Assessment and System Design
[IEEE] 2026-3-16 | Cracks Reflection and Transmission of Lamb Waves
[IEEE] 2026-3-16 | Impact of 3G, 4G and 5G Mobile Phone Radiation on Brain and Reproductive System of Wistar Rat
[IEEE] 2026-3-16 | Cross-component Transfer Fault Diagnosis via Joint Distribution Adaptation on Envelope Spectrum Features
[IEEE] 2026-3-16 | A Transferable Deep Learning Framework for Lithium-ion Battery State-of-Health Prediction Based on CL-Transformer
[IEEE] 2026-3-16 | Thermal Design of the Collector for Folded Waveguide TWT for THz Application
[IEEE] 2026-3-16 | Recognition of Crack Formation Modes in Laser Thermal Splitting Using Convolutional Neural Networks
[IEEE] 2026-3-16 | Coastal Zone Monitoring Based on Watercraft Motion Classification to Enhance Water Safety
[IEEE] 2026-3-16 | Certificateless Probabilistic Group Signature Verification Scheme Against Content Poisoning Attacks in NDN
[IEEE] 2026-3-16 | Low Power 2nm Ultra-Low Voltage SRAM Operating at 0.35V with Enhanced Read/Write Circuitry
[IEEE] 2026-3-16 | Software Application for Identifying the Location of Small Hydropower Plants, Taking into Account the Landscape and Climatic Characteristics of the Region
[IEEE] 2026-3-16 | Hallucination Detection in Large Language Model Generated Texts: A Survey of Internal and External Approaches
[IEEE] 2026-3-16 | Unmasking the Accuracy Illusion: Leveraging Gen AI for Enhanced Security in 6G O-RAN
[IEEE] 2026-3-16 | Shockwave Minimization within the Mesoscopic: Infrastructure-Guided Optimal Acceleration for Autonomous Vehicles
[IEEE] 2026-3-16 | Detection Challenges in BB84 Quantum Key Distribution under Random Number Generator Compromise and QBER Analysis
[IEEE] 2026-3-16 | CE-PCOAN: Cost Efficient Planning of Protected Converged Optical Access Networks
[IEEE] 2026-3-16 | Design of Ultra-Broadband (100 Mhz to 8 Ghz) Bias-Tee for the Loadpull Measurement
[IEEE] 2026-3-16 | Context-Aware Risk Assessment and its Application in Autonomous Driving
[IEEE] 2026-3-16 | Fault Detection for Liquid Rocket Engines Based on The Combined Method of ARMA and ARMAX
[IEEE] 2026-3-16 | Investigation of the Impeller of a Reversible Microturbine for a Microfluidic-Membrane Control System for a Robotic Vechicle
共写入 200 条记录，保存到 papers/paper2026-03-16.json。
论文获取成功，文件路径: papers/paper2026-03-16.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Controlled Langevin Dynamics for Sampling of Feedforward Neural Networks Trained with Minibatches
[NO] 2/200 | Deep learning and the rate of approximation by flows
[NO] 3/200 | Motivic GUT Part I: Grand Unified Theory of Topological Order
[NO] 4/200 | Mitigating Renewable-Induced Risks for Green and Conventional Ammonia Producers through Coordinated Production and Futures Trading
[NO] 5/200 | Multi-Scenario User Profile Construction via Recommendation Lists
[NO] 6/200 | Autonomous quantum heat engine
[NO] 7/200 | NV-Bench: Benchmark of Nonverbal Vocalization Synthesis for Expressive Text-to-Speech Generation
[NO] 8/200 | Drift-reduced fluid modeling of rapidly rotating plasmas
[NO] 9/200 | Intelligent Co-Design: An Interactive LLM Framework for Interior Spatial Design via Multi-Modal Agents
[NO] 10/200 | Active Seriation: Efficient Ordering Recovery with Statistical Guarantees
[NO] 11/200 | Lebesgue measure of distance sets with regular pins and multi-scale Mizohata-Takeuchi-type estimates
[NO] 12/200 | Low-frequency noise as a probe of microscopic disorder in CVD-grown graphene
[NO] 13/200 | On Csanyi's and Arias' Functional for Ground States Energy of Multi-Particle Fermion Systems: Asymptotics
[NO] 14/200 | Datasets for Verb Alternations across Languages: BLM Templates and Data Augmentation Strategies
[NO] 15/200 | Evaluating the Robustness of Reinforcement Learning based Adaptive Traffic Signal Control
[NO] 16/200 | IRAM 04191+1522: a compact proto-brown dwarf binary candidate
[NO] 17/200 | Self-Supervised ImageNet Representations for In Vivo Confocal Microscopy: Tortuosity Grading without Segmentation Maps
[NO] 18/200 | Weyl asymptotics for singular metrics with a variable boundary degeneracy exponent
[NO] 19/200 | A Methodology for Dynamic Parameters Identification of 3-DOF Parallel Robots in Terms of Relevant Parameters
[NO] 20/200 | The elliptic three-loop integrals of hadronic vacuum polarization in chiral perturbation theory
[NO] 21/200 | On the Nonasymptotic Bounds of Joint Source-Channel Coding with Hierarchical Sources
[NO] 22/200 | Small-x TMD distributions initial condition: Nc-dependence and Gaussian approximations
[NO] 23/200 | SliceMapper: Intelligent Mapping of O-CU and O-DU onto O-Cloud Sites in 6G O-RAN
[NO] 24/200 | Towards physically more comprehensive AGN modelling in cosmological simulations: A MACER-based modification of IllustrisTNG
[YES] 25/200 | RIS-Aided RSMA Improves the Latency vs. Energy Trade-off in the Finite Block Length MIMO Downlink
[NO] 26/200 | Electric Polarizability of Charged Pions from nHYP Four-Point Functions
[NO] 27/200 | A Formal Physical Framework for the Origin of Life: Dissipation-Driven Selection of Evolving Replicators
[NO] 28/200 | HYDRA: Unifying Multi-modal Generation and Understanding via Representation-Harmonized Tokenization
[NO] 29/200 | SCAN: Sparse Circuit Anchor Interpretable Neuron for Lifelong Knowledge Editing
[NO] 30/200 | Multi-Plane Spatially Resolved Phase Structuring Using Optical Communication Modes
[NO] 31/200 | Towards Foundation Models for Consensus Rank Aggregation
[NO] 32/200 | vCause: Efficient and Verifiable Causality Analysis for Cloud-based Endpoint Auditing
[NO] 33/200 | The one-dimensional compressible Navier-Stokes equations in critical regularity spaces
[NO] 34/200 | Physically Motivated Knowledge Distillation for Blind Geometric Correction of Side-Scan Sonar Imagery
[NO] 35/200 | PiGRAND: Physics-informed Graph Neural Diffusion for Intelligent Additive Manufacturing
[NO] 36/200 | Velocity-tunable exciton-photon hybridization in cathodoluminescence
[NO] 37/200 | Token Coherence: Adapting MESI Cache Protocols to Minimize Synchronization Overhead in Multi-Agent LLM Systems
[NO] 38/200 | Sequential Transport for Causal Mediation Analysis
[NO] 39/200 | KiRAS: Keyframe Guided Self-Imitation for Robust and Adaptive Skill Learning in Quadruped Robots
[NO] 40/200 | Multimodal Connectome Fusion via Cross-Attention for Autism Spectrum Disorder Classification Using Graph Learning
[NO] 41/200 | DAIT: Distillation from Vision-Language Models to Lightweight Classifiers with Adaptive Intermediate Teacher Transfer
[NO] 42/200 | Where Digital Meets Place: Deriving Strategies for Curating Mixed Reality Exhibitions in Public Spaces
[NO] 43/200 | Localized spatiotemporal reaction-diffusion patterns on a line and a disk arising from a subcritical finite wavenumber Hopf instability
[NO] 44/200 | Point-Identification of a Robust Predictor Under Latent Shift with Imperfect Proxies
[NO] 45/200 | Introducing the vfunc R package
[NO] 46/200 | Storage and selection of multiple chaotic attractors in minimal reservoir computers
[NO] 47/200 | Vision-Language Model Based Multi-Expert Fusion for CT Image Classification
[NO] 48/200 | An Efficient Cumulative Edge-Detection Method for Image Reconstruction
[NO] 49/200 | SNCE: Geometry-Aware Supervision for Scalable Discrete Image Generation
[NO] 50/200 | The moment of inertia tensor of an oloid
[NO] 51/200 | Context-Aware Sensor Modeling for Asynchronous Multi-Sensor Tracking in Stone Soup
[NO] 52/200 | Confusion-Aware In-Context-Learning for Vision-Language Models in Robotic Manipulation
[NO] 53/200 | Indirect Question Answering in English, German and Bavarian: A Challenging Task for High- and Low-Resource Languages Alike
[NO] 54/200 | From Storage to Steering: Memory Control Flow Attacks on LLM Agents
[NO] 55/200 | Generalized Coverage Processes with Infinitely Divisible Finite Dimensional Distributions
[NO] 56/200 | Probing a two-dimensional soft ferromagnet Cr$_2$Ge$_2$Te$_6$ by a tuning fork resonator
[NO] 57/200 | Look Before Acting: Enhancing Vision Foundation Representations for Vision-Language-Action Models
[NO] 58/200 | Tri-Prompting: Video Diffusion with Unified Control over Scene, Subject, and Motion
[NO] 59/200 | Benchmarking quantum simulation with neutron-scattering experiments
[NO] 60/200 | Perception-Aware Autonomous Exploration in Feature-Limited Environments
[NO] 61/200 | SmartSearch: How Ranking Beats Structure for Conversational Memory Retrieval
[NO] 62/200 | Robust and Computationally Efficient Linear Contextual Bandits under Adversarial Corruption and Heavy-Tailed Noise
[NO] 63/200 | Flat-Band Generation in InAs/GaSb Quantum Wells through Vertically Engineered Heterostructures
[NO] 64/200 | Topological localisation and motility of active knots
[NO] 65/200 | Computational Concept of the Psyche
[NO] 66/200 | QCD-driven dark matter: AQNs formation and observational tests
[NO] 67/200 | Benchmarking Machine Learning Approaches for Polarization Mapping in Ferroelectrics Using 4D-STEM
[NO] 68/200 | Flow configuration and pressure effects on turbulent premixed hydrogen jet flames
[NO] 69/200 | A curvature estimate for holomophic maps on open Riemann surfaces
