[2026-08-31 16:36:35] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-30
正在获取论文...
[ACM] 2026-8-31 | PDCA-MMA: A Multi-Agent Framework with Iterative Optimization for Multi-Modal Long Document QA
[ACM] 2026-8-31 | A CNN-GRU Deep Learning Prediction Model Based on Attention Mechanism
[ACM] 2026-8-31 | LLE-YOLO: A Low-Light Maritime Ship Detection Method Based on Illumination-Invariant Feature Learning
[ACM] 2026-8-31 | CAMLD: Conditional Autoregressive Motion Latent Diffusion for Real-Time Character Control
[ACM] 2026-8-31 | Design and Research of Adaptive Cleaning and Repair Robot for Municipal Complex Drainage Pipelines
[ACM] 2026-8-30 | Motif Counting in Complex Networks: A Comprehensive Survey
[ACM] 2026-8-31 | Breaking the Dark Chain—A Plan to End the Illegal Wildlife Trade
[ACM] 2026-8-31 | Rolling Stock Circulation Optimization under Flexible Train Composition in Urban Rail Transit: A Mixed-Integer Linear Programming Approach
[ACM] 2026-8-31 | Periodic dynamics of n-dimensional partially variable coefficient wave equations with small perturbation(B)
[ACM] 2026-8-31 | Dynamic Preference Reconstruction and Fair Scoring Mechanism Design in Hybrid Expert-Public Systems via Inverse Optimization
[ACM] 2026-8-31 | Deep Multi-View Clustering with Graph Fusion and Cross-View Prototypes
[ACM] 2026-8-31 | MathPedaCoT: Pedagogy-Aligned Chain-of-Thought Reasoning with Process Supervision and Dual-Agent Verification for LLM-Based Mathematics Education
[ACM] 2026-8-31 | A Cross-Modal Data Fusion Method for Visual and RF Signals of UAV Swarms
[ACM] 2026-8-31 | A City-Panel Rolling Forecasting Framework for Next-Year Urban CO2 Emissions: Empirical Comparison of Optimized Kernel Learning and Deep Temporal Models
[ACM] 2026-8-31 | A Hierarchical Entity Linking Model for NIL Discovery in Sparse Short Texts
[ACM] 2026-8-31 | A YOLO-Based Algorithm for Metal Surface Defect Detection
[ACM] 2026-8-31 | Optimization Model of Smoke Jamming Strategy for UAV Based on Particle Swarm Optimization Algorithm
[ACM] 2026-8-31 | Optimization Study of Smartphone Battery Depletion Based on a Continuous-Time Differential Equation Numerical Model
[ACM] 2026-8-31 | Semi-Reflected-Forward-Backward Splitting Algorithm with Momentum
[ACM] 2026-8-31 | Existence and Uniqueness of Solutions for Laplace Equations with Variable Exponential Growth
[ACM] 2026-8-31 | Forward Kinematic Modeling and Verification of the Unitree G1 Left Arm Based on the Denavit-Hartenberg Method
[ACM] 2026-8-31 | Human Disassembly Action Recognition via Temporal-Aware Multi-modal Contrastive Learning
[ACM] 2026-8-31 | Research on Loan Credit Risk Assessment Model Based on LightGBM Optimized by Grey Wolf Optimization Algorithm
[ACM] 2026-8-31 | Convergence of Inertial Regularized Peaceman–Rachford splitting method for Nonseparable Nonconvex Optimization
[ACM] 2026-8-31 | Genetic Algorithm-Based Parameter Optimization for Dual Moving Average Trading Strategy
[ACM] 2026-8-31 | A Hybrid Sampling Optimization Algorithm Combining Bayesian Optimization and Causal Inference Based on Confidence Level
[ACM] 2026-8-31 | Assessment of Highway Driving Safety in Rainy Environments Based on Prescan
[ACM] 2026-8-31 | Prediction of Wear Reliability for Aviation Components Based on Grey Markov Models
[ACM] 2026-8-31 | Spatio-Temporal Cooperative Planning for Multi-UAV Smoke Screen Jamming
[ACM] 2026-8-31 | Fixed-Time Prescribed-Performance Control for Robot Manipulators With External Disturbances
[ACM] 2026-8-31 | A Framework for Enhancing Facial Recognition Confidence with Large Language Models and Spatio-Temporal Trajectory Analysis
[ACM] 2026-8-31 | Simulation of Aerosol Scrubber Flow Characteristics Using the Coupled Level-Set and VOF Method
[ACM] 2026-8-31 | Multi-scale Simulation Study on the Fracture Behavior of MEMS Crystalline silicon Beams Based on Realistic Microscopic Morphology
[ACM] 2026-8-31 | Research Opportunities and Challenges of the EU’s Digital Services Act
[ACM] 2026-8-31 | Design and Application of an Intelligent License Plate Recognition System with GUI and Database Integration Based on MATLAB
[ACM] 2026-8-31 | A MARL–GNN Framework for Multi-Conduit Path Optimization
[ACM] 2026-8-31 | DMTTE: Dual-Modal Travel Time Estimation with GPS and Road Segment Trajectories
[ACM] 2026-8-31 | Construction of High-Fidelity Digital Twin Model and Virtual-Physical Co-Simulation Method for Vertical Five-Axis Machining Center
[ACM] 2026-8-31 | Dynamic Analysis of Host-Pathogen Toxicity Evolution with Density-Dependent Death
[ACM] 2026-8-31 | Surface Defect Recognition of Hot Rolled Strip Based on DenseNet121
[ACM] 2026-8-31 | Research on Gradual Independent Segmentation Algorithm for Accurate Extraction of Independent Peaks in Random Signals
[ACM] 2026-8-31 | The Investment Value of Cryptocurrencies in Asset Allocation Strategies
[ACM] 2026-8-31 | The Unified Information Selection Operator: A Theoretical Framework for Structural Continuity in Deep Learning
[ACM] 2026-8-31 | Research and Application of a New Method for Calculating Water Body Multiple Using Type Curve Fitting
[ACM] 2026-8-31 | Fuzzy Edge Coloring in Fuzzy Operational Graphs: Theory and Application
[ACM] 2026-8-31 | A discretized model for fast solution of pulse flow in a slender tube
[ACM] 2026-8-31 | AwF-SNN: Fixed-Mask Continuity-Preserving Temporal State-Transition Compression for Spiking Neural Networks
[ACM] 2026-8-31 | A Hybrid Multi-Criteria Decision Algorithm Based on AHP for Gen-AI Educational Strategy Selection
[ACM] 2026-8-31 | Research on Multi-modal Prediction of Bee Attendance Behavior Based on an LSTM-Transformer Hybrid Architecture
[ACM] 2026-8-31 | An Improved Multi-Convolutional Neural Network Combining Feature Distillation Learning and Dense Residual Attention for Underwater Image Denoising
[ACM] 2026-8-31 | State-Aware Pseudo-Random Generation under Dynamic Probabilities with Expectation Preservation
[ACM] 2026-8-31 | Neuro-Symbolic Reinforcement Learning for Dynamic Disassembly Sequence Planning
[ACM] 2026-8-31 | A New Time Series Anomaly Detection Method Based on the RPCA-AR Model
[ACM] 2026-8-31 | Multi-modal Gas Leakage Detection Based on Spatiotemporal Feature Extraction and Cross-Attention Fusion
[ACM] 2026-8-31 | Additive Time Series Model-Based Sales Forecast for Premium Cigarettes Produced in Yunnan
[ACM] 2026-8-31 | Multi-Objective Optimization of Spatial Layout for Inland Waterway Service Areas
[ACM] 2026-8-31 | Diabetes Prediction Based on Machine Learning Methods
[ACM] 2026-8-31 | Dual-Helix Optimization for Competitive Performance and Financial Sustainability in Professional Sports
[ACM] 2026-8-31 | MDDC-SSM: A Market-Driven and Dynamic-Correlation Stock Selection Model
[ACM] 2026-8-31 | AI-Enabled Plot–Time Data Cube and Interpretable Spatiotemporal Learning for Rice Growth Monitoring and Soil Salinity Assessment in Cold-Region Paddy Systems: A Heilongjiang Case Study
[ACM] 2026-8-31 | Personalized NIPT Scheduling via Mixed-Effects Models and Bi-Objective Optimization
[ACM] 2026-8-31 | The research of generalized k-Horadam hybrinomials
[ACM] 2026-8-31 | PFD Scheme: A Hierarchical Training Framework for Scaling Reliable Machine-Learned Interatomic Potentials to Complex Systems
[ACM] 2026-8-31 | Mathematical Modeling of Student Learning Behavior Based on Learning Analytics in Smart Education
[ACM] 2026-8-31 | A Study on the Development and Application of a BIM Technology Framework for Large-Scale, Complex Airport Terminal Projects
[ACM] 2026-8-31 | A Multi-Source Time-Series Framework for Stock Turnover Forecasting
[ACM] 2026-8-31 | A Rolling Horizon Optimization Approach for Online Rider–Drone Cooperative Food Delivery
[ACM] 2026-8-31 | The Impact of Green Finance on High-Quality Economic Development from the Perspective of Random Forest Regression
共写入 100 条记录，保存到 papers/paper2026-08-30.json。
论文获取成功，文件路径: papers/paper2026-08-30.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | PDCA-MMA: A Multi-Agent Framework with Iterative Optimization for Multi-Modal Long Document QA
[NO] 2/100 | Hybrid Expert–Crowd Scoring Under Partial Observability: Constrained Vote Inference and Mechanism Benchmarking
[NO] 3/100 | A Bilateral Matching Method for Maximizing Incubator and Startup Satisfaction Based on Linear Weighted Integer Programming
[NO] 4/100 | Robust Scalar-on-Function Regression with Type-2 Fuzzy Systems: A Framework for Visual and Spectral Signal Analysis
[NO] 5/100 | An Improved Model for Substation Meter Defect Detection Based on Focal-EIoU and Flow-Aligned Feature Pyramid Network
[NO] 6/100 | MSAV schemes for the Navier-Stokes/Allen-Cahn system
[NO] 7/100 | An improved autofocusing method for lens-coupled Micro-CT
[NO] 8/100 | Research on the Application of Linear Algebra in Quantum Mechanics
[NO] 9/100 | Short-term Photovoltaic Power Prediction Based on HD-TCN-Attention-GRU
[NO] 10/100 | Rigid-Flexible Coupled Ascent Trajectory Optimization for Tethered Variable-Payload Firefighting UAVs
[NO] 11/100 | A Study on the Equal-Interval LogMAR Quantification Model for Counting Fingers (CF) Visual Acuity in Extremely Low Vision
[NO] 12/100 | Two-Stage Stochastic Crop Planting Planning Model Based on Correlation Covariance Matrix and CVaR
[NO] 13/100 | Quadratic Programming-Monte Carlo Algorithm for Vote Data Inversion and Bias Prediction
[NO] 14/100 | Research on Cooperative Smoke Screen Deployment Strategy for Multi-UAV Interference Based on Effective Occlusion Detection and Hybrid Optimization
[NO] 15/100 | Research and Application of BREP Conversion for BIM Models Based on 3DEXPERIENCE
[NO] 16/100 | Comparative Analysis of Classification Algorithms-Assisted Prediction for Diabetic Retinopathy
[NO] 17/100 | Multivariate Water Quality Time Series Prediction Using an Bi-LSTM Model: A Case Study of the Tuo River
[NO] 18/100 | Design of a Personalized Teaching Scheme for Ideological and Political Courses Based on the Multidimensional Quantitative Portrait and Intelligent Clustering Computing
[NO] 19/100 | Unsupervised Learning of Aluminum Solidification Pathways via MACE Features
[NO] 20/100 | Inertial-Link-Based Event-Triggered Output Feedback Control for Nonlinear Systems with Measurement Noise
[NO] 21/100 | Physics-Informed Continuous-Time Modeling for Interpretable Smartphone Battery SOC and TTE Prediction
[NO] 22/100 | Personalized Optimization of NIPT Detection Gestational Week for Male Fetuses Based on Y-Chromosome Concentration, XGBoost Regression, and Risk Minimization Model
[NO] 23/100 | Dynamic Response Analysis of Non-Bonded Flexible Piping Considering Full-Process Bending Hysteresis Characteristics
[NO] 24/100 | Dynamic Race Detection with O(1) Samples
[NO] 25/100 | Research on the receding contact problem of gradient piezoelectric coating based on laminate model
[NO] 26/100 | Rolling bearing defect expansion dynamics modeling
[NO] 27/100 | Mechanistic Study of Multi-Component and Multi-Target Effects of Traditional Chinese Medicine Formulae Based on Artificial Intelligence and Network Pharmacology
[NO] 28/100 | Two-Stage Identification of Track Damage Based on Wavelet Transform and Convolutional Neural Networks
[NO] 29/100 | Fairness-Aware Credit Scoring: Bias Mitigation under Scorecard Structural Constraints
[NO] 30/100 | Study on the Variable-Amplitude Structure and Hydrodynamic Performance of a Gradient-Type Undulating Fin
[NO] 31/100 | Efficient Collision Detection and Path Optimization for Multi-Node Systems Using Vector Cross Product and Neural Regression
[NO] 32/100 | Nonlinear Dynamics of Stock Market Volatility: Insights from an LSTM-Based Framework
[NO] 33/100 | Fully higher order multipoint flux mixed finite element methods for the Poisson-Nernst-Planck equations
[NO] 34/100 | A CNN-GRU Deep Learning Prediction Model Based on Attention Mechanism
[NO] 35/100 | LLE-YOLO: A Low-Light Maritime Ship Detection Method Based on Illumination-Invariant Feature Learning
[NO] 36/100 | CAMLD: Conditional Autoregressive Motion Latent Diffusion for Real-Time Character Control
[NO] 37/100 | Design and Research of Adaptive Cleaning and Repair Robot for Municipal Complex Drainage Pipelines
[NO] 38/100 | Motif Counting in Complex Networks: A Comprehensive Survey
[NO] 39/100 | Breaking the Dark Chain—A Plan to End the Illegal Wildlife Trade
[NO] 40/100 | Rolling Stock Circulation Optimization under Flexible Train Composition in Urban Rail Transit: A Mixed-Integer Linear Programming Approach
[NO] 41/100 | Periodic dynamics of n-dimensional partially variable coefficient wave equations with small perturbation(B)
[NO] 42/100 | Dynamic Preference Reconstruction and Fair Scoring Mechanism Design in Hybrid Expert-Public Systems via Inverse Optimization
[NO] 43/100 | Deep Multi-View Clustering with Graph Fusion and Cross-View Prototypes
[NO] 44/100 | MathPedaCoT: Pedagogy-Aligned Chain-of-Thought Reasoning with Process Supervision and Dual-Agent Verification for LLM-Based Mathematics Education
[YES] 45/100 | A Cross-Modal Data Fusion Method for Visual and RF Signals of UAV Swarms
[NO] 46/100 | A City-Panel Rolling Forecasting Framework for Next-Year Urban CO2 Emissions: Empirical Comparison of Optimized Kernel Learning and Deep Temporal Models
[NO] 47/100 | A Hierarchical Entity Linking Model for NIL Discovery in Sparse Short Texts
[NO] 48/100 | A YOLO-Based Algorithm for Metal Surface Defect Detection
[NO] 49/100 | Optimization Model of Smoke Jamming Strategy for UAV Based on Particle Swarm Optimization Algorithm
[NO] 50/100 | Optimization Study of Smartphone Battery Depletion Based on a Continuous-Time Differential Equation Numerical Model
[NO] 51/100 | Semi-Reflected-Forward-Backward Splitting Algorithm with Momentum
[NO] 52/100 | Existence and Uniqueness of Solutions for Laplace Equations with Variable Exponential Growth
[NO] 53/100 | Forward Kinematic Modeling and Verification of the Unitree G1 Left Arm Based on the Denavit-Hartenberg Method
[NO] 54/100 | Human Disassembly Action Recognition via Temporal-Aware Multi-modal Contrastive Learning
[NO] 55/100 | Research on Loan Credit Risk Assessment Model Based on LightGBM Optimized by Grey Wolf Optimization Algorithm
[NO] 56/100 | Convergence of Inertial Regularized Peaceman–Rachford splitting method for Nonseparable Nonconvex Optimization
[NO] 57/100 | Genetic Algorithm-Based Parameter Optimization for Dual Moving Average Trading Strategy
[NO] 58/100 | A Hybrid Sampling Optimization Algorithm Combining Bayesian Optimization and Causal Inference Based on Confidence Level
[NO] 59/100 | Assessment of Highway Driving Safety in Rainy Environments Based on Prescan
[NO] 60/100 | Prediction of Wear Reliability for Aviation Components Based on Grey Markov Models
[NO] 61/100 | Spatio-Temporal Cooperative Planning for Multi-UAV Smoke Screen Jamming
[NO] 62/100 | Fixed-Time Prescribed-Performance Control for Robot Manipulators With External Disturbances
[NO] 63/100 | A Framework for Enhancing Facial Recognition Confidence with Large Language Models and Spatio-Temporal Trajectory Analysis
[NO] 64/100 | Simulation of Aerosol Scrubber Flow Characteristics Using the Coupled Level-Set and VOF Method
[NO] 65/100 | Multi-scale Simulation Study on the Fracture Behavior of MEMS Crystalline silicon Beams Based on Realistic Microscopic Morphology
[NO] 66/100 | Research Opportunities and Challenges of the EU’s Digital Services Act
[NO] 67/100 | Design and Application of an Intelligent License Plate Recognition System with GUI and Database Integration Based on MATLAB
[NO] 68/100 | A MARL–GNN Framework for Multi-Conduit Path Optimization
[NO] 69/100 | DMTTE: Dual-Modal Travel Time Estimation with GPS and Road Segment Trajectories
[NO] 70/100 | Construction of High-Fidelity Digital Twin Model and Virtual-Physical Co-Simulation Method for Vertical Five-Axis Machining Center
[NO] 71/100 | Dynamic Analysis of Host-Pathogen Toxicity Evolution with Density-Dependent Death
[NO] 72/100 | Surface Defect Recognition of Hot Rolled Strip Based on DenseNet121
[NO] 73/100 | Research on Gradual Independent Segmentation Algorithm for Accurate Extraction of Independent Peaks in Random Signals
[NO] 74/100 | The Investment Value of Cryptocurrencies in Asset Allocation Strategies
[NO] 75/100 | The Unified Information Selection Operator: A Theoretical Framework for Structural Continuity in Deep Learning
[NO] 76/100 | Research and Application of a New Method for Calculating Water Body Multiple Using Type Curve Fitting
[NO] 77/100 | Fuzzy Edge Coloring in Fuzzy Operational Graphs: Theory and Application
[NO] 78/100 | A discretized model for fast solution of pulse flow in a slender tube
[NO] 79/100 | AwF-SNN: Fixed-Mask Continuity-Preserving Temporal State-Transition Compression for Spiking Neural Networks
[NO] 80/100 | A Hybrid Multi-Criteria Decision Algorithm Based on AHP for Gen-AI Educational Strategy Selection
[NO] 81/100 | Research on Multi-modal Prediction of Bee Attendance Behavior Based on an LSTM-Transformer Hybrid Architecture
[NO] 82/100 | An Improved Multi-Convolutional Neural Network Combining Feature Distillation Learning and Dense Residual Attention for Underwater Image Denoising
[NO] 83/100 | State-Aware Pseudo-Random Generation under Dynamic Probabilities with Expectation Preservation
[NO] 84/100 | Neuro-Symbolic Reinforcement Learning for Dynamic Disassembly Sequence Planning
[NO] 85/100 | A New Time Series Anomaly Detection Method Based on the RPCA-AR Model
[NO] 86/100 | Multi-modal Gas Leakage Detection Based on Spatiotemporal Feature Extraction and Cross-Attention Fusion
[NO] 87/100 | Additive Time Series Model-Based Sales Forecast for Premium Cigarettes Produced in Yunnan
[NO] 88/100 | Multi-Objective Optimization of Spatial Layout for Inland Waterway Service Areas
[NO] 89/100 | Diabetes Prediction Based on Machine Learning Methods
[NO] 90/100 | Dual-Helix Optimization for Competitive Performance and Financial Sustainability in Professional Sports
[NO] 91/100 | MDDC-SSM: A Market-Driven and Dynamic-Correlation Stock Selection Model
[NO] 92/100 | AI-Enabled Plot–Time Data Cube and Interpretable Spatiotemporal Learning for Rice Growth Monitoring and Soil Salinity Assessment in Cold-Region Paddy Systems: A Heilongjiang Case Study
[NO] 93/100 | Personalized NIPT Scheduling via Mixed-Effects Models and Bi-Objective Optimization
[NO] 94/100 | The research of generalized k-Horadam hybrinomials
[NO] 95/100 | PFD Scheme: A Hierarchical Training Framework for Scaling Reliable Machine-Learned Interatomic Potentials to Complex Systems
[NO] 96/100 | Mathematical Modeling of Student Learning Behavior Based on Learning Analytics in Smart Education
[NO] 97/100 | A Study on the Development and Application of a BIM Technology Framework for Large-Scale, Complex Airport Terminal Projects
[NO] 98/100 | A Multi-Source Time-Series Framework for Stock Turnover Forecasting
[NO] 99/100 | A Rolling Horizon Optimization Approach for Online Rider–Drone Cooperative Food Delivery
[NO] 100/100 | The Impact of Green Finance on High-Quality Economic Development from the Perspective of Random Forest Regression
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-08-30.json。
邮件发送成功！
[2026-08-31 16:53:42] 任务执行成功！
