[2026-02-24 09:44:56] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-23
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602230000+TO+202602232359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-2-23 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[IEEE] 2026-2-23 | Phase Shifted Quasi-Elliptical Fringe Patterns for Underwater 3D Imaging
[IEEE] 2026-2-23 | Polarization Reconfigurable Magnetoelectric Dipole Antenna with Broadband Stable Gain for Vehicular Satellite Communication System
[IEEE] 2026-2-23 | Sensing-Assisted Compressive Superimposed CSI Feedback
[IEEE] 2026-2-23 | A highly sensitive electro optic-SPR optical fiber sensor for micro-voltage monitoring
[IEEE] 2026-2-23 | 2025 12th International Conference on Social Networks Analysis, Management and Security (SNAMS)
[IEEE] 2026-2-23 | Advanced Packaging Road Map to 2030: Integrating Memory, Logic, and Systems for Artificial Intelligence
[IEEE] 2026-2-23 | Automated Diabetic Retinopathy Screening Using Custom Convolutional Neural Networks
[IEEE] 2026-2-23 | Boosted Ensemble Classification of Landsat 8 Imagery Over Nainital Region Using Fuzzy C-Means and XGBoost
[IEEE] 2026-2-23 | Inside Knowledge: Graph-based Path Generation with Explainable Data Augmentation and Curriculum Learning for Visual Indoor Navigation
[IEEE] 2026-2-23 | Augmented Multinomial Logistic Regression for Mineral Classification in Charnockite Rock
[IEEE] 2026-2-23 | Kinetostatic Modeling and Analysis of an Exoskeleton Type 3-PFR Rod-Driven Continuum Robot for Wrist Rehabilitation
[IEEE] 2026-2-23 | A Multipath Ghost Removal Algorithm for mm-Wave Radar-Based Indoor Human Detection
[IEEE] 2026-2-23 | An Ultra-Wideband Millimeter-Wave CMOS Power Amplifier for 5G Applications
[IEEE] 2026-2-23 | CricTAL: Introducing Temporal Activity Localisation Using Pose Estimation to Identify Key Phases in Cricket Batting for Downstream Action Quality Assessment
[IEEE] 2026-2-23 | NaVIP: A Low-Cost, Infrastructure-Free Indoor Navigation Solution for Visually Impaired Persons
[IEEE] 2026-2-23 | Demographic Differentials in Face Image Quality: Evaluation and Comparison on Real and Synthetic Data
[IEEE] 2026-2-23 | Investigation of Assessment Techniques for Analysis of Muscle Fatigue
[IEEE] 2026-2-23 | Interpretable Advanced Machine Learning Models for Early Identification of Health Insurance Claim Fraud Detection
[IEEE] 2026-2-23 | AI-Based Cross-Layer Vulnerability Management for Cloud-Native Systems
[IEEE] 2026-2-23 | Deep Learning Based Diagnostic Framework for Pancreatic Cancer Detection Using CT- Images
[IEEE] 2026-2-23 | Hierarchical X-Ray Recognition for Obsolete Semiconductor Chips Combining Rule-Driven and Deep Learning Approaches
[IEEE] 2026-2-23 | SlimComm: Doppler-Guided Sparse Queries for Bandwidth-Efficient Cooperative 3-D Perception
[IEEE] 2026-2-23 | Application of Semantic Segmentation on SEM Images of Rubber Composites and Verification of Correlation with Material Properties
[IEEE] 2026-2-23 | Predictive Modelling of Art Patient Status Using Machine Learning: A Comparative Study of Classification Algorithms
[IEEE] 2026-2-23 | Warehouse Spatial Question Answering with LLM Agent 1st Place Solution of the 9th AI City Challenge Track 3
[IEEE] 2026-2-23 | Research on Non-Cascaded Constrained Model Predictive Control for Direct-Drive Permanent Magnet Synchronous Wind Generators
[IEEE] 2026-2-23 | PreciVision: An integrated platform for multiple diseases detection Using CNN model
[IEEE] 2026-2-23 | Metaheuristic-Enhanced Deep Learning Models for Network Anomaly Detection: Evaluation and Future Outlook
[IEEE] 2026-2-23 | Machines that can Imagine: The Instruments and Methods Used in Generative AI Art
[IEEE] 2026-2-23 | Efficient Real-World Deblurring Using Single Images: AIM 2025 Challenge Report
[IEEE] 2026-2-23 | Smart Routing for Multimodal Video Retrieval: When to Search What
[IEEE] 2026-2-23 | Temporal Multimodal Memory Banks for Agentic Reasoning
[IEEE] 2026-2-23 | Hybrid Intelligence Endpoint Defense (HIED): A Data-Fusion Approach for Proactive Malware Detection
[IEEE] 2026-2-23 | Equilibrium Manifold Tracking Control of Four-Link Active Ankle Assist Mechanism for Human Motion Stability
[IEEE] 2026-2-23 | Unsupervised Learning Approach for Polycystic Ovary Syndrome Diagnosis Through CNN Feature Extraction and Clustering Algorithms
[IEEE] 2026-2-23 | FusionEnsembleNet: An Attention-Based Ensemble of Spatiotemporal Networks for Multimodal Sign Language Recognition
[IEEE] 2026-2-23 | Analysis of Boost Converter Control Performance Considering Output Capacitor Design
[IEEE] 2026-2-23 | Detection and Classification of Edible Mushrooms Using Deep Learning Model YOLOv12s for Market Authentication
[IEEE] 2026-2-23 | Modular Combination Strategies for Chiral Origami Mechanisms Based on Screw Theory
[IEEE] 2026-2-23 | Modeling of Multiple Grid-Forming Devices and Analysis of Oscillation Mechanisms
[IEEE] 2026-2-23 | Machine Learning-Based Leak Detection in Urban Water Distribution Networks
[IEEE] 2026-2-23 | The Impact of Artificial Intelligence on Cancer Biomarker Detection and Analysis
[IEEE] 2026-2-23 | LEVI-SAM: Tightly-Coupled LiDAR-Visual-Inertial Odometry with Event Cameras
[IEEE] 2026-2-23 | Signal Integrity Analysis of Interconnection Structures Using Conformal Finite-Difference Time-Domain Method
[IEEE] 2026-2-23 | Artificial Intelligence in the Diagnosis and Understanding of Primary Dysmenorrhea and Endometriosis: Emerging Insights and Clinical Implications
[IEEE] 2026-2-23 | Feature-Enhanced Relation Extraction with Large Language Models
[IEEE] 2026-2-23 | DC-Link Discharge Resistance Design for Three-Phase Voltage-Source Converter Considering System Stability
[IEEE] 2026-2-23 | BLIP-3: A Family of Open Large Multimodal Models
[IEEE] 2026-2-23 | Hybrid Robotic Hand for Fabric Manipulation with a Single-Finger
[IEEE] 2026-2-23 | Research on Short-Term Load Forecasting Methods for Integrated Mine Energy Systems Considering Source-Load Uncertainty
[IEEE] 2026-2-23 | Operationalising Political Style: A Diagnostic Model for Governmental Speeches During the Pandemic
[IEEE] 2026-2-23 | Tawa: Automatic Warp Specialization for Modern GPUs with Asynchronous References
[IEEE] 2026-2-23 | Binary Diffing via Library Signatures
[IEEE] 2026-2-23 | Integrating AI into DevSecOps Pipelines for Secure Cloud Microservices Management
[IEEE] 2026-2-23 | CoralVOS: Dataset and Benchmark for Dense Coral Video Segmentation
[IEEE] 2026-2-23 | Research on Cooperative Control Algorithm for S-Curve Trajectory Tracking and Dynamic Obstacle Avoidance of Autonomous Vehicles Based on MPC
[IEEE] 2026-2-23 | CrossGAP: Unified Face Anti-Spoofing via Cross-Modal Global-Aware Prompting
[IEEE] 2026-2-23 | Multimodal Representation Alignment for Image Generation: Text-Image Interleaved Control is Easier than You Think
[IEEE] 2026-2-23 | Forgetting-Free Incremental Panoptic Lifting by Maximum-Visibility Viewpoint Selection
[IEEE] 2026-2-23 | Impact of Black-Box Adversarial Attacks on Deep Neural Networks for Skin Imaging
[IEEE] 2026-2-23 | Research and Implementation of Humanoid Robot Footstepping Method Based on Deep Reinforcement Learning and Recurrent Neural Networks
[IEEE] 2026-2-23 | An Intelligent Bid Evaluation System for the Energy Industry Based on Large Language Models
[IEEE] 2026-2-23 | CAFE: Unifying Representation and Generation with Contrastive-Autoregressive Finetuning
[IEEE] 2026-2-23 | ProtoMedX: Towards Explainable Multi-Modal Prototype Learning for Bone Health Classification
[IEEE] 2026-2-23 | Research on Power Frequency Waveform Classification for Transmission Lines Based on a Cascaded XGBoost Model
[IEEE] 2026-2-23 | Lightweight Spatio-Temporal Attention Network with Graph Embedding and Rotational Position Encoding for Traffic Forecasting
[IEEE] 2026-2-23 | Heterogeneous Exoskeleton Teleoperation for Humanoid Upper-bodies: Elbow-Constrained Retargeting with ZNN
[IEEE] 2026-2-23 | A Wideband Decoupling Method for Patch Antennas in MIMO Systems
[IEEE] 2026-2-23 | Knowledge-Enhanced Bayesian Text Modeling and Analysis via Document Embedding and Clustering
[IEEE] 2026-2-23 | Multi-Scale Attention Residual Network for Flexible Sensor-Based Human Activity Recognition
[IEEE] 2026-2-23 | Sweating the Stress: GSR Insights into Cognitive Load and Distraction
[IEEE] 2026-2-23 | A Frequency Selective Rasorber Based on an Integrated Absorptive Structure
[IEEE] 2026-2-23 | An Innovative Approach to Cardiac Care: Using Artificial Intelligence to Predict and Prevent Sudden Cardiac Arrest
[IEEE] 2026-2-23 | BioCrest - A Flexible Adaptive Robotic Hand Based on Idle-Stroke Mechanism*
[IEEE] 2026-2-23 | Investigation of Dielectric Characteristics of Non-Uniform Moisture in Epoxy-Impregnated Paper Based on Frequency Domain Dielectric Spectroscopy
[IEEE] 2026-2-23 | Explainable AI for Early Detection and Treatment of Blood Cancer: Enhancing Transparency and Trust in Oncology
[IEEE] 2026-2-23 | Research on Multi-Modal Data Fusion Technology for Detection and Assessment of Transmission Line Defects
[IEEE] 2026-2-23 | Artificial Intelligence for Predicting Oocyte Maturity and Quality in Assisted
[IEEE] 2026-2-23 | Noise and SNR Characteristics Analysis of an Arctic HF Wideband Channel
[IEEE] 2026-2-23 | Customer Loyalty in the Age of Personalization: A Predictive Analytics Approach for Service-Based Business Models
[IEEE] 2026-2-23 | Research on UAV Trajectory Prediction Method Based on Bi-LSTM with Self-Attention Mechanism
[IEEE] 2026-2-23 | A Method for Power System Condition Recognition and Fault Diagnosis Based on Warped Clustering Strategy
[IEEE] 2026-2-23 | Prediction of Battery Thermal Runaway Gas Products Based on FT-Transformer Neural Network
共写入 100 条记录，保存到 papers/paper2026-02-23.json。
论文获取成功，文件路径: papers/paper2026-02-23.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[NO] 2/100 | Balancing Fairness and High Match Rates in Reciprocal Recommender Systems: A Nash Social Welfare Approach
[NO] 3/100 | TUG-IoT: A Mobile Integrated IoT based Timed Up and Go Test
[NO] 4/100 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'SuSe: Summary Selection for Regular Expression Subsequence Aggregation over Streams'
[NO] 5/100 | Cuffless Noninvasive Continuous Blood Pressure Monitoring Using Superficial Temporal Arterial Tonometry
[YES] 6/100 | A Tutorial on AI-Empowered Integrated Sensing and Communications
[NO] 7/100 | Reconstructing Sparse-view Indoor Scenes in View Space with Global Monocular Prior Alignment
[NO] 8/100 | On the Mitigation of Dead Time With Photon-Counting Detector Arrays for FSO Inter-Satellite Links
[NO] 9/100 | A Learned-PPR Decoding Scheme for Partial Packet Recovery in Network Coding
[NO] 10/100 | Development of a Novel Synchronized Servo Control System for Lathe Machining of Globoid Worm Gears
[NO] 11/100 | The Impact of Artificial Intelligence on the Quality of Strategic Decisions: The Mediating Role of Organizational Data Readiness
[NO] 12/100 | G-DMAD: Group-based Diverse Multi-Agent Debate for Robust Reasoning
[NO] 13/100 | Integrated Spherical Ray-Tracing and Spectral Guard-Band Analysis for K/Ka-Band Earth–Space Links
[NO] 14/100 | Direction Prediction Error-Prioritized Experience Replay (DPE-PER) for Adversarial UAV Interception under Partial Observability
[NO] 15/100 | Carbon-Aware Dynamic Task Scheduling in Hierarchical Cloud–Edge Systems for IoT Devices
[NO] 16/100 | AGRO-YOLO-V: Hybrid Instance Segmentation and Geometric Modeling for Single-View Orange Volume Estimation
[NO] 17/100 | A Spectral Clustering-Based Approach for Balancing Data in TF-Target Gene Interaction Prediction Using Heterogeneous Network Embedding
[NO] 18/100 | Phase Shifted Quasi-Elliptical Fringe Patterns for Underwater 3D Imaging
[NO] 19/100 | Polarization Reconfigurable Magnetoelectric Dipole Antenna with Broadband Stable Gain for Vehicular Satellite Communication System
[YES] 20/100 | Sensing-Assisted Compressive Superimposed CSI Feedback
[NO] 21/100 | A highly sensitive electro optic-SPR optical fiber sensor for micro-voltage monitoring
[NO] 22/100 | 2025 12th International Conference on Social Networks Analysis, Management and Security (SNAMS)
[NO] 23/100 | Advanced Packaging Road Map to 2030: Integrating Memory, Logic, and Systems for Artificial Intelligence
[NO] 24/100 | Automated Diabetic Retinopathy Screening Using Custom Convolutional Neural Networks
[NO] 25/100 | Boosted Ensemble Classification of Landsat 8 Imagery Over Nainital Region Using Fuzzy C-Means and XGBoost
[NO] 26/100 | Inside Knowledge: Graph-based Path Generation with Explainable Data Augmentation and Curriculum Learning for Visual Indoor Navigation
[NO] 27/100 | Augmented Multinomial Logistic Regression for Mineral Classification in Charnockite Rock
[NO] 28/100 | Kinetostatic Modeling and Analysis of an Exoskeleton Type 3-PFR Rod-Driven Continuum Robot for Wrist Rehabilitation
[NO] 29/100 | A Multipath Ghost Removal Algorithm for mm-Wave Radar-Based Indoor Human Detection
[NO] 30/100 | An Ultra-Wideband Millimeter-Wave CMOS Power Amplifier for 5G Applications
[NO] 31/100 | CricTAL: Introducing Temporal Activity Localisation Using Pose Estimation to Identify Key Phases in Cricket Batting for Downstream Action Quality Assessment
[NO] 32/100 | NaVIP: A Low-Cost, Infrastructure-Free Indoor Navigation Solution for Visually Impaired Persons
[NO] 33/100 | Demographic Differentials in Face Image Quality: Evaluation and Comparison on Real and Synthetic Data
[NO] 34/100 | Investigation of Assessment Techniques for Analysis of Muscle Fatigue
[NO] 35/100 | Interpretable Advanced Machine Learning Models for Early Identification of Health Insurance Claim Fraud Detection
[NO] 36/100 | AI-Based Cross-Layer Vulnerability Management for Cloud-Native Systems
[NO] 37/100 | Deep Learning Based Diagnostic Framework for Pancreatic Cancer Detection Using CT- Images
[NO] 38/100 | Hierarchical X-Ray Recognition for Obsolete Semiconductor Chips Combining Rule-Driven and Deep Learning Approaches
[YES] 39/100 | SlimComm: Doppler-Guided Sparse Queries for Bandwidth-Efficient Cooperative 3-D Perception
[NO] 40/100 | Application of Semantic Segmentation on SEM Images of Rubber Composites and Verification of Correlation with Material Properties
[NO] 41/100 | Predictive Modelling of Art Patient Status Using Machine Learning: A Comparative Study of Classification Algorithms
[NO] 42/100 | Warehouse Spatial Question Answering with LLM Agent 1st Place Solution of the 9th AI City Challenge Track 3
[NO] 43/100 | Research on Non-Cascaded Constrained Model Predictive Control for Direct-Drive Permanent Magnet Synchronous Wind Generators
[NO] 44/100 | PreciVision: An integrated platform for multiple diseases detection Using CNN model
[NO] 45/100 | Metaheuristic-Enhanced Deep Learning Models for Network Anomaly Detection: Evaluation and Future Outlook
[NO] 46/100 | Machines that can Imagine: The Instruments and Methods Used in Generative AI Art
[NO] 47/100 | Efficient Real-World Deblurring Using Single Images: AIM 2025 Challenge Report
[NO] 48/100 | Smart Routing for Multimodal Video Retrieval: When to Search What
[NO] 49/100 | Temporal Multimodal Memory Banks for Agentic Reasoning
[NO] 50/100 | Hybrid Intelligence Endpoint Defense (HIED): A Data-Fusion Approach for Proactive Malware Detection
[NO] 51/100 | Equilibrium Manifold Tracking Control of Four-Link Active Ankle Assist Mechanism for Human Motion Stability
[NO] 52/100 | Unsupervised Learning Approach for Polycystic Ovary Syndrome Diagnosis Through CNN Feature Extraction and Clustering Algorithms
[NO] 53/100 | FusionEnsembleNet: An Attention-Based Ensemble of Spatiotemporal Networks for Multimodal Sign Language Recognition
[NO] 54/100 | Analysis of Boost Converter Control Performance Considering Output Capacitor Design
[NO] 55/100 | Detection and Classification of Edible Mushrooms Using Deep Learning Model YOLOv12s for Market Authentication
[NO] 56/100 | Modular Combination Strategies for Chiral Origami Mechanisms Based on Screw Theory
[NO] 57/100 | Modeling of Multiple Grid-Forming Devices and Analysis of Oscillation Mechanisms
[NO] 58/100 | Machine Learning-Based Leak Detection in Urban Water Distribution Networks
[NO] 59/100 | The Impact of Artificial Intelligence on Cancer Biomarker Detection and Analysis
[NO] 60/100 | LEVI-SAM: Tightly-Coupled LiDAR-Visual-Inertial Odometry with Event Cameras
[NO] 61/100 | Signal Integrity Analysis of Interconnection Structures Using Conformal Finite-Difference Time-Domain Method
[NO] 62/100 | Artificial Intelligence in the Diagnosis and Understanding of Primary Dysmenorrhea and Endometriosis: Emerging Insights and Clinical Implications
[NO] 63/100 | Feature-Enhanced Relation Extraction with Large Language Models
[NO] 64/100 | DC-Link Discharge Resistance Design for Three-Phase Voltage-Source Converter Considering System Stability
[NO] 65/100 | BLIP-3: A Family of Open Large Multimodal Models
[NO] 66/100 | Hybrid Robotic Hand for Fabric Manipulation with a Single-Finger
[NO] 67/100 | Research on Short-Term Load Forecasting Methods for Integrated Mine Energy Systems Considering Source-Load Uncertainty
[NO] 68/100 | Operationalising Political Style: A Diagnostic Model for Governmental Speeches During the Pandemic
[NO] 69/100 | Tawa: Automatic Warp Specialization for Modern GPUs with Asynchronous References
[NO] 70/100 | Binary Diffing via Library Signatures
[NO] 71/100 | Integrating AI into DevSecOps Pipelines for Secure Cloud Microservices Management
[NO] 72/100 | CoralVOS: Dataset and Benchmark for Dense Coral Video Segmentation
[NO] 73/100 | Research on Cooperative Control Algorithm for S-Curve Trajectory Tracking and Dynamic Obstacle Avoidance of Autonomous Vehicles Based on MPC
[NO] 74/100 | CrossGAP: Unified Face Anti-Spoofing via Cross-Modal Global-Aware Prompting
[NO] 75/100 | Multimodal Representation Alignment for Image Generation: Text-Image Interleaved Control is Easier than You Think
[NO] 76/100 | Forgetting-Free Incremental Panoptic Lifting by Maximum-Visibility Viewpoint Selection
[NO] 77/100 | Impact of Black-Box Adversarial Attacks on Deep Neural Networks for Skin Imaging
[NO] 78/100 | Research and Implementation of Humanoid Robot Footstepping Method Based on Deep Reinforcement Learning and Recurrent Neural Networks
[NO] 79/100 | An Intelligent Bid Evaluation System for the Energy Industry Based on Large Language Models
[NO] 80/100 | CAFE: Unifying Representation and Generation with Contrastive-Autoregressive Finetuning
[NO] 81/100 | ProtoMedX: Towards Explainable Multi-Modal Prototype Learning for Bone Health Classification
[NO] 82/100 | Research on Power Frequency Waveform Classification for Transmission Lines Based on a Cascaded XGBoost Model
[NO] 83/100 | Lightweight Spatio-Temporal Attention Network with Graph Embedding and Rotational Position Encoding for Traffic Forecasting
[NO] 84/100 | Heterogeneous Exoskeleton Teleoperation for Humanoid Upper-bodies: Elbow-Constrained Retargeting with ZNN
[NO] 85/100 | A Wideband Decoupling Method for Patch Antennas in MIMO Systems
[NO] 86/100 | Knowledge-Enhanced Bayesian Text Modeling and Analysis via Document Embedding and Clustering
[NO] 87/100 | Multi-Scale Attention Residual Network for Flexible Sensor-Based Human Activity Recognition
[NO] 88/100 | Sweating the Stress: GSR Insights into Cognitive Load and Distraction
[NO] 89/100 | A Frequency Selective Rasorber Based on an Integrated Absorptive Structure
[NO] 90/100 | An Innovative Approach to Cardiac Care: Using Artificial Intelligence to Predict and Prevent Sudden Cardiac Arrest
[NO] 91/100 | BioCrest - A Flexible Adaptive Robotic Hand Based on Idle-Stroke Mechanism*
[NO] 92/100 | Investigation of Dielectric Characteristics of Non-Uniform Moisture in Epoxy-Impregnated Paper Based on Frequency Domain Dielectric Spectroscopy
[NO] 93/100 | Explainable AI for Early Detection and Treatment of Blood Cancer: Enhancing Transparency and Trust in Oncology
[NO] 94/100 | Research on Multi-Modal Data Fusion Technology for Detection and Assessment of Transmission Line Defects
[NO] 95/100 | Artificial Intelligence for Predicting Oocyte Maturity and Quality in Assisted
[NO] 96/100 | Noise and SNR Characteristics Analysis of an Arctic HF Wideband Channel
[NO] 97/100 | Customer Loyalty in the Age of Personalization: A Predictive Analytics Approach for Service-Based Business Models
[NO] 98/100 | Research on UAV Trajectory Prediction Method Based on Bi-LSTM with Self-Attention Mechanism
[NO] 99/100 | A Method for Power System Condition Recognition and Fault Diagnosis Based on Warped Clustering Strategy
[NO] 100/100 | Prediction of Battery Thermal Runaway Gas Products Based on FT-Transformer Neural Network
筛选完成：共 100 篇；Yes = 3 篇；已保存到 papers/select_paper2026-02-23.json。
邮件发送成功！
[2026-02-24 09:59:58] 任务执行成功！
