[2026-08-20 09:26:45] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-19
正在获取论文...
[arXiv] 2026-08-19 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[arXiv] 2026-08-19 | A Unifying Relational Perspective on Expressive Lottery Tickets
[arXiv] 2026-08-19 | Toric Representation Type of the Veronese Surface
[arXiv] 2026-08-19 | Characterizing the Plurality Rule via Clone Invariance
[arXiv] 2026-08-19 | Interference-engineered shortcut to perfect state transfer
[arXiv] 2026-08-19 | Removing Population Size, World Cities Leave on Land a Footprint of Wealth
[arXiv] 2026-08-19 | The Birth of Radar Meteor Astronomy at Jodrell Bank: The Collaboration between Bernard Lovell and Manning Prentice
[arXiv] 2026-08-19 | Dream2Reward: Transition-Alignment Reward Models from Positive Demonstrations for Robotic Manipulation
[arXiv] 2026-08-19 | Scoring and Gamification to Encourage Sustainable Use of Compute Clusters
[arXiv] 2026-08-19 | Maximal ideals in the finitary symmetric group algebra in characteristic two
[arXiv] 2026-08-19 | SIDScope: A Diagnostic Resource for Semantic-ID Interfaces in Generative Recommendation
[arXiv] 2026-08-19 | Size-Mass Relation Shows Its Colours: Contrasting Physical Imprints of Galaxy Evolution in Rest-Frame UV and Optical
[arXiv] 2026-08-19 | Decisive Margins in Differentially Private Voting
[arXiv] 2026-08-19 | Enhancing Distance-Based Graph Autoencoders with Structural Penalties for Dynamic Graph Embedding
[arXiv] 2026-08-19 | Maximal attractors for perturbations of unimodal maps near a homoclinic tangency
[arXiv] 2026-08-19 | Epistemic Subordination: Generative AI and the Infrastructure of Knowledge
[arXiv] 2026-08-19 | A note on the reflexibility of regular maps with automorphism group PGL(2,q)
[arXiv] 2026-08-19 | Binary Voltage Covers of $K(10,3)$: Cohomology, Symmetry Orbits, and a Locally $K(7,3)$ Graph
[arXiv] 2026-08-19 | Seeded SU(1,1) interferometry for Fourier-domain optical coherence tomography
[arXiv] 2026-08-19 | Regularised Iterative Generalised Least Squares with Optimal Selection of the Hyper-Parameter for Identifying Nonlinear Phenomenological Models
[arXiv] 2026-08-19 | Implications of $B\to χ_{c1}πK$ data for an isovector $G$-odd $D^\ast\bar D^\ast$ molecular virtual state
[arXiv] 2026-08-19 | Fair, Efficient and Connected Allocations on Graphs
[arXiv] 2026-08-19 | SoftVTBench: A Deformation-Aware Visuo-Tactile Dataset and Benchmark for Deformable-Object Manipulation
[arXiv] 2026-08-19 | Affine Evaluation Maps, Dimension Groups, and Fair measures
[arXiv] 2026-08-19 | gridcp: Fast Online Changepoint Detection in Python
[arXiv] 2026-08-19 | Europe's Climate Ambition Under Scrutiny: Evidence from Deep Learning Emission Projections
[arXiv] 2026-08-19 | DocClaw: A Unified Agentic System for Intelligent Document Processing
[arXiv] 2026-08-19 | Monad Structures on Topological Spaces Comprising Mislove's Random Variables
[arXiv] 2026-08-19 | Sounds Uncertain: Exploring the Affective Aspects of Sonification for Uncertainty Visualization
[arXiv] 2026-08-19 | Long-run risk-sensitive portfolio optimisation with proportional transaction costs and log Lévy asset prices
[arXiv] 2026-08-19 | Vision-Language Models for Egocentric Video: From Hand-Object Interaction to Embodied AI
[arXiv] 2026-08-19 | A general method of deducing the determinantal expressions for polynomial and its derivative
[arXiv] 2026-08-19 | Toward testing antinucleon$\unicode{x2013}$nucleus optical potentials with antineutron scattering lengths
[arXiv] 2026-08-19 | Dynamic SpectraFormer for Ultra-High-Definition Underwater Image Enhancement
[arXiv] 2026-08-19 | TranslatePsy-AfriSLM: High-Quality Data Scaling For Low-Resource Machine Translation
[arXiv] 2026-08-19 | On uniqueness of non-vacuum stationary axisymmetric type D spacetime
[arXiv] 2026-08-19 | The induced-$P_4$-free process
[arXiv] 2026-08-19 | SAM2Dual: Training-Free, Dual Memory for Long-Term Video Object Segmentation
[arXiv] 2026-08-19 | Report on The 1st Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access at CHIIR 2026
[arXiv] 2026-08-19 | PILOT Technical Report
[arXiv] 2026-08-19 | Nonlinear Maxwell's Equations as a Boundary Value Problem in Multilayer Nanophotonics
[arXiv] 2026-08-19 | Evaluation of Monocular SLAM Systems on High-Altitude Nadir UAV Footage
[arXiv] 2026-08-19 | CTIFoundry: An Agent-Native Corpus Scaffold for Cyber Threat Intelligence
[arXiv] 2026-08-19 | On the Diophantine Equation $p^x+ (2p+1)^y =z^2$ with Consecutive Exponents
[arXiv] 2026-08-19 | Turning interest into institutional change: teaching advocacy for sustainable research
[arXiv] 2026-08-19 | Optics and Thermodynamics of Charged BTZ Black Holes with Exotic Matter Sources
[arXiv] 2026-08-19 | Magnetism and Electrical Conduction in Lightly-Doped Single-Layer High-$T_c$ Cuprate $\mathrm{La}_2\mathrm{CuO}_{4+δ}$
[arXiv] 2026-08-19 | MorphoGP: A Nonparametric Framework for Predicting Equilibrium Beach Profiles Under Tidal Influence
[arXiv] 2026-08-19 | Performance Drift Detection in Machine Learning as a Service (MLaaS) for IoT Environments
[arXiv] 2026-08-19 | Symmetry of Solutions and Domain-Reduction Finite Element Method for Second-Order Linear Elliptic Dirichlet Boundary Value Problems on Bounded Domains
[arXiv] 2026-08-19 | DART-SD: Diamond-topology Aware Retrieval and Tuning for Self-Distillation of Multi-Turn Tool-Calling Agents
[arXiv] 2026-08-19 | Sharp Sobolev Approximation on General Domains by Linearized Shallow Networks with Analytic Activations
[arXiv] 2026-08-19 | Beyond Idealized PAHs: Infrared Signatures of Carbon-Chain Defects from Shock Synthesis
[arXiv] 2026-08-19 | On coordinate frames relevant for pulsar physics
[arXiv] 2026-08-19 | Entrywise Positivity Preservers on Green Matrices
[arXiv] 2026-08-19 | Designing Social Robots for Social-Cognition Training with Autistic Adults
[arXiv] 2026-08-19 | Partition the Support, Reconstruct the Residual: Training-Free Sparse Attention for Video Generation and World Models
[arXiv] 2026-08-19 | From magnetized Coulombic quantum dynamics to magnetized fluids
[arXiv] 2026-08-19 | Joint Beamforming and Phase Shifts Design for RIS-Enabled RSMA-ISAC Systems
[ACM] 2026-8-19 | Image-Based Domain Adaptive Vulnerability Detection via Graph Centrality Representation
[ACM] 2026-8-19 | Explosive Yield Inversion Based on Transformer Model with Blast Wave Physical Constraints
[ACM] 2026-8-19 | Rapid Deployment of Nodal Seismometers Based on a Stepwise Optimization Model
[IEEE] 2026-8-19 | Introduction to PAISE 2026
[IEEE] 2026-8-19 | 2026 Fifth International Conference on Power, Control and Computing Technologies (ICPC2T)
[IEEE] 2026-8-19 | A Continuously Reconfigurable Linear Polarization Antenna for Aerial IoT Platforms
[IEEE] 2026-8-19 | IEEE Systems, Man, and Cybernetics Society Information
[IEEE] 2026-8-19 | Semiconductor Education, Empowerment, and Industry Development in Colombia [Education Corner]
[ACM] 2026-8-19 | Construction at Application of a College Students’ Physical Fitness and Health Monitoring Model Based on Wearable Device Data
[ACM] 2026-8-19 | Multi-task deep learning for discovery and evaluation of therapeutic peptides against atopic dermatitis
[ACM] 2026-8-19 | DANCE-ESI: Discriminative Structure-Aware Contrastive Learning with Hard Negative Mining for Enzyme-Substrate Interaction Prediction
[ACM] 2026-8-19 | Weighting Analysis of Blood Pressure Estimation Based on Multi-Channel Pulse Signals from the Cun, Guan, and Chi Positions
[ACM] 2026-8-19 | Coverage-Aware Windowed mdBG Assembly
[ACM] 2026-8-19 | Matrix-free Neural Preconditioner for the Dirac Operator in Lattice Gauge Theory
[ACM] 2026-8-19 | <scp>VeRe</scp>
                    : Verification Guided Fault Localization and Repair Synthesis of Deep Neural Networks
[IEEE] 2026-8-19 | Introduction to MxP4S 2026
[IEEE] 2026-8-19 | MxP4S 2026 Invited Speaker 6
[IEEE] 2026-8-19 | Cross-modal Inconsistent Information-based Network for Fake News Detection
[IEEE] 2026-8-19 | Evaluation of Surface EMG Signal Quality in Patients with Lower Limb Osteoarthritis
[IEEE] 2026-8-19 | Optimizing Multiobjective Genetic Algorithms For High-Order Epistasis Detection
[ACM] 2026-8-20 | Beyond Manipulation: How Users Perceive Harmful AI Chatbot Interactions
[ACM] 2026-8-20 | From Interview to Persona: A Transparent Workflow for Learner-Centered Educational Technology Design
[ACM] 2026-8-20 | Intent-Aware Backchanneling for Active Listening in Human-Robot Interaction
[ACM] 2026-8-20 | “Let Me Take That Back”: Designing and Testing Deletion Interfaces for Human-AI Interaction
[IEEE] 2026-8-19 | Machine Learning enhanced e-tongue for the characterization of a new paracetamol-based formulation for pediatric delivery
[IEEE] 2026-8-19 | Single-node low-cost IoT sensor to measure indoor environmental quality with high spatial resolution
[IEEE] 2026-8-19 | Real-Time Steady-State Performance Analysis of Classical Solar MPPT Techniques for Fixed Step-Size Perturbations Via Converter Duty Ratio
[IEEE] 2026-8-19 | Aerosol-Jet Printed and Photonically Cured Sensors Embedded in 3D Printed Smart Orthoses: A Preliminary Study
[IEEE] 2026-8-19 | A 6X Boost Enhanced 13-Level Switched Capacitor Inverter with Minimal Switch Design
[IEEE] 2026-8-19 | Experimental Validation of a Wearable Textile with Integrated FBG Sensors for Simultaneous HR and RR Monitoring
[IEEE] 2026-8-19 | Drift Compensation for Electrochemical Sensors: a Preliminary TinyML Study
[IEEE] 2026-8-19 | AI-Enhanced Ultrasonic Obstacle Detection and One Touch Fold for Next Generation Wheelchairs
[IEEE] 2026-8-19 | Extracting data from invoices as part of the ETL process
[IEEE] 2026-8-19 | Attribute-Based Perceptual Mapping of Private Hospitals in India
[IEEE] 2026-8-19 | Fault-Tolerant Cooperative Control for High-Order Uncertain Nonlinear Multi-Agent Systems
[IEEE] 2026-8-19 | A Systematic review of various Alzheimer’s Disease Detection and prediction techniques using AI, ML and DL
[ACM] 2026-8-19 | Construction of a Risk Prediction Model for MCI-to-AD Progression Based on Longitudinal Atrophy Trajectories of Structural MRI
[ACM] 2026-8-19 | Shallow Water Delta Oil and Gas Reservoir Prediction
[ACM] 2026-8-19 | A Comparative Study of Policy-Based Reinforcement Learning Algorithms for Chinese Single-Stock Trading
[ACM] 2026-8-19 | Visualization Analysis of Research Hotspots and Trends of Chemistry Education Based on CiteSpace
[ACM] 2026-8-19 | SMT-Based Traffic Scheduling for Time-Sensitive Networking
[ACM] 2026-8-19 | Design of Intelligent Path of “Walking Ideological and Political Course” + Red Archives Collaborative Education Based on Knowledge Map Construction Algorithm
[ACM] 2026-8-19 | A Quantum-inspired Language Model Based on Transformer and Unitary Evolution for Question-answering
[ACM] 2026-8-19 | Source-Free Domain Adaptive Fundus Image Segmentation with Disagreement-Guided Mask Consistency and Boundary Curvature Regularization
[IEEE] 2026-8-19 | An Ultrawideband Magnetoelectric Dipole Antenna With Gain Improvement and Its Application in Array Design for Sub-6G Intelligent IoT Communication
[IEEE] 2026-8-19 | Generalizing Universal Image Segmentation to Online Video Segmentation via a Bridging Matcher
[IEEE] 2026-8-19 | Robust Visibility-Aware Target Tracking for Micro Aerial Vehicles in Unknown Complex Environments
[IEEE] 2026-8-19 | A Collaborative Cislunar Computing Architecture for Task Scheduling and Resource Coordination Via Multi-Agent Reinforcement Learning
[IEEE] 2026-8-19 | Panel - AI and Robotaxi: Inside and Out
[IEEE] 2026-8-19 | IEEE Access
[IEEE] 2026-8-19 | Table of Contents
[IEEE] 2026-8-19 | Quad-Band Polarization-Insensitive THz Absorber for Sensing Applications
[IEEE] 2026-8-19 | CGAD: A Cross-Granularity Aware Framework for Time Series Anomaly Detection
[IEEE] 2026-8-19 | Preface
[IEEE] 2026-8-19 | Title Page
[IEEE] 2026-8-19 | Prof. Ming-Yan Fan Receives Multiple Honors for Research Excellence and Industry–Academia Collaboration [Chapters]
[ACM] 2026-8-19 | Evaluating Monotonic Functions using Binary Search
[ACM] 2026-8-19 | Based on Cross-Sample Entropy Analysis: A New Perspective on Revealing the Mechanism of Transcutaneous Auricular Vagus Nerve Stimulation in Regulating Brain Networks
[ACM] 2026-8-19 | Diabetic Retinopathy Classification Network Based on Cosine Similarity Multi-scale Decomposition and Cross-attention
[IEEE] 2026-8-19 | A Comparative Analysis of Electrocardiogram, Phonocardiogram and Retinal Oculomics Using a Hybrid Deep Learning Model for Cardiovascular Diagnosis
[IEEE] 2026-8-19 | Non-Intrusive Sensor-Based Sleep Monitoring and Machine Learning Classification for Individuals with Disabilities in Residential Facilities: A Case Study from the MetaSalute Project
[IEEE] 2026-8-19 | Numerical Study of a High-Voltage Pulse Transformer for Klystron Modulator
[IEEE] 2026-8-19 | A Survey of Multimodal Human Emotion Detection Techniques Using Deep Models and Transfer Learning
[IEEE] 2026-8-19 | VLSI Architecture of Adaptive FIR Filter Using Distributed Arithmetic for Low-Power DSP Applications
[IEEE] 2026-8-19 | A Preliminary Study of LLM Inferencing on Sandboxed Environments for Jetson Edge Platforms
[IEEE] 2026-8-19 | Raiders of the Lost Log: Synchronous Parallel In-Place Models and Algorithms
[IEEE] 2026-8-19 | Machine Learning-Based Modeling of Large-Scale Climate Data for Long-Term Trend Analysis
[IEEE] 2026-8-19 | Evaluation of an Ankle Exoskeleton System Based on Additive Manufacturing Technology
[IEEE] 2026-8-19 | Single-Phase Active LED Driver with Common Anode DC-DC Boost Cell, Reduced Power Processing, and Electrolytic Capacitor-Less Design
[ACM] 2026-8-20 | Combining Thinking Aloud and Eye Tracking
[IEEE] 2026-8-19 | A Multimodal Smart Wearable Garment for Continuous Monitoring of Human Motor Tasks: A Multi-User Feasibility Study
[IEEE] 2026-8-19 | LiteNet-CXR v2: A Lightweight and Interpretable CNN for Lung Tumor Detection in Chest X-Rays
[IEEE] 2026-8-19 | Hybrid AI Models for Predicting Housing Market Trends
[IEEE] 2026-8-19 | From Pixels to Perception: Transforming Images Across Domains Using Deep Generative Models
[IEEE] 2026-8-19 | Physics-Guided Spatio-Temporal Transformers to Predict Urban Wind Fields with Accuracy and Adaptive Optimization of Wind Power
[IEEE] 2026-8-19 | PulmoAI: AI-Driven Prediction for Lung Health
[IEEE] 2026-8-19 | ANN-Based Power Transformer Diagnosis on Datasets with Rogers DGA and IEC
[IEEE] 2026-8-19 | Intelligent Matter: Leveraging AI/ML to Enhance Interoperability, Efficiency, and Security in Matter-Based Smart Homes
[IEEE] 2026-8-19 | Performance Analysis of DTC with SVM Scheme for Low-Ripple BLDC Motor Operation
[IEEE] 2026-8-19 | Alternative Decomposed Message Passing for Efficient Geometric GNNs
[ACM] 2026-8-19 | An AI-Driven Framework for Dance Movement Generation Based on Motion Capture and Affective Computing
[ACM] 2026-8-19 | A Multimodal Recommendation System Based on Transformer And Dimensionality Reduction Clustering Algorithm for Clothing Similarity Retrieval
[ACM] 2026-8-19 | Research of Smart Helmets for Delivery Personnel
[IEEE] 2026-8-19 | IEEE Sensors Letters Subject Categories for Article Numbering Information
[ACM] 2026-8-19 | Residential Arrangements and Elderly Survival: A Supervised Learning Approach to Mortality Risk Prediction
[ACM] 2026-8-19 | Analysis of Dual-Task Gait Characteristics Based on Electrostatic Detection
[IEEE] 2026-8-19 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework_supp1-3718747.pdf
[IEEE] 2026-8-19 | FedALAQ: Federated Adaptive Layer-wise Aggregation with Quantization
[IEEE] 2026-8-19 | Fast Communication-less Remote Bus Backup Protection algorithm in HVDC Grids with In-Depth Analysis
[IEEE] 2026-8-19 | Physics-Informed Reinforcement Learning for Coordinated Real-Time Frequency Control of Grid-Forming Energy Storage in Low-Inertia Microgrids
[IEEE] 2026-8-19 | IEEE Connect
[IEEE] 2026-8-19 | Key Reconciliation with RC-LDPC/Error Estimation for Satellite-based FSO/QKD Systems
[IEEE] 2026-8-19 | Ultra-high Frequency Sensor for Multi-source Partial Discharge Detection
[IEEE] 2026-8-19 | Crowdsensing From a Distance: A Contract Mechanism Design
[IEEE] 2026-8-19 | Introduction to JSSPP 2026
[IEEE] 2026-8-19 | Evaluating LLM-Generated Instructional Content for Parallel Computing Education
[IEEE] 2026-8-19 | An Intelligent Protection Scheme for Radial DC Microgrid Considering Critical Pole-to-Ground Fault Scenarios
[ACM] 2026-8-20 | Under Pressure: How Autonomy and Competence Shape AI Adoption in Citizen Broadcasting
[IEEE] 2026-8-19 | Feature Fusion Dual-Branch CNNs for Superior Fish Pathology Recognition
[ACM] 2026-8-20 | CollARborate or Compete? Investigating User Experience and Motivation through Social Context and System Modalities of a Serious Math Game
共写入 200 条记录，保存到 papers/paper2026-08-19.json。
论文获取成功，文件路径: papers/paper2026-08-19.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Realizing Logical Diagonal Gates via Transversal Physical $Z$-Rotations in CSS Codes
[NO] 2/200 | The Equality Cases of the Weak Simplex Conjecture
[NO] 3/200 | Non-Local Search-to-Decision Reduction over F2
[NO] 4/200 | Learning Random Geometric Graphs Drawn in Probabilistic Metric Spaces
[NO] 5/200 | Asteroseismology of the multiperiodic field SX Phe pulsator BL Camelopardalis
[NO] 6/200 | Exploring the limits of high-energy proton-pion separation in granular calorimeters
[NO] 7/200 | Computational Features for Symbolic Melody Analysis
[NO] 8/200 | Distinct Modes of Quantum Information Transfer in Power-Law Long-Range Spin Networks
[NO] 9/200 | A Ginzburg-Landau approximation theorem for quasilinear pattern-forming systems in uniformly local Sobolev spaces
[NO] 10/200 | Molecular Implementation of the Machine-Learned Skala Exchange-Correlation Functional in CP2K through GauXC
[NO] 11/200 | Counterfactual Contrastive Analysis
[NO] 12/200 | A Search for helium in the atmospheres of three sub-Neptunes and a super-Earth around M-dwarfs
[NO] 13/200 | A trace theorem for spherical kinetic Sobolev spaces on $ρ$-convex domains
[NO] 14/200 | Scalable Amortized Variational Inference for Non-Poisson Buy-'Til-You-Die Models
[NO] 15/200 | Quantifying uncertainty in the neutron-star equation of state using point estimates and posterior distributions
[NO] 16/200 | One-Stage Object Detectors in Autonomous Driving
[NO] 17/200 | From Threat Intelligence to Detection: Knowledge-driven Enrichment and Template-based Rule Grounding for Automated Sigma Rule Generation
[NO] 18/200 | Gradient Flow Structure of the Spontaneous Aggregation Model
[NO] 19/200 | A Sharp Joint Bias-Energy Envelope for Radial Clipping
[NO] 20/200 | Quadrupole White-light Sources in an X1.2 Flare Observed by ASO-S/LST/WST and SDO/HMI
[NO] 21/200 | Towards a Deductive Verification Infrastructure for Weighted Programming
[NO] 22/200 | Universal domination and idealized forcing
[NO] 23/200 | An ultra-bright, highly-scalable, squeezed light source for hybrid quantum photonics
[NO] 24/200 | On $\textbf{u}$-substitutions for group presentations
[NO] 25/200 | Near-optimal Turán densities of $r$-graphs on $r+1$ vertices
[NO] 26/200 | Time-Decay Estimates for Two-Dimensional Fourth-Order Schrödinger Operators with Threshold Singularities
[NO] 27/200 | On the Slow Convergence to Trivial Solutions of Algorithms for Hard Optimization Problems
[NO] 28/200 | Remarkable Enhancement of High Harmonic Generation from Superhard Material under High Pressure
[NO] 29/200 | New Constructions of Additive MDS TRS Codes
[NO] 30/200 | Syntactic Simplification of OWL Class Expressions
[NO] 31/200 | The efficient star-forming regions of stripped-envelope supernovae
[NO] 32/200 | Optimal control of a class of nonlinear heat conduction models
[NO] 33/200 | Triangle Feynman diagram in the timelike region
[NO] 34/200 | Graph-Based Approaches to Learning Epileptogenic Zone Localization Using Stereo-EEG Recordings
[NO] 35/200 | Spectral Fingerprints of Resonant Defect Scattering by Substitutional Mn in Graphene
[NO] 36/200 | DentAgent: Evidence-Centric Multi-Agent Coordination for Multimodal Dental Reasoning
[NO] 37/200 | Estimation of systematic error from bulk deformation of end test mass induced by photon calibrator for LIGO post-O5 gravitational wave projects
[NO] 38/200 | Secure Medical Data Transmission Using Quantum Key Distribution and Post-Quantum Cryptography in Real-World Fiber Networks
[NO] 39/200 | Functional forms in joint models for longitudinal and time-to-event data: A practical guide with application and interpretation
[NO] 40/200 | SkillGate: Training In-Policy Skill Selection in Long-Horizon Agents
[NO] 41/200 | A metallicity sweet spot for disc fragmentation and planet formation
[NO] 42/200 | Detecting Feedback-path Delay Injection Attacks Using Interacting Multiple Model Filtering
[NO] 43/200 | A Unifying Relational Perspective on Expressive Lottery Tickets
[NO] 44/200 | Toric Representation Type of the Veronese Surface
[NO] 45/200 | Characterizing the Plurality Rule via Clone Invariance
[NO] 46/200 | Interference-engineered shortcut to perfect state transfer
[NO] 47/200 | Removing Population Size, World Cities Leave on Land a Footprint of Wealth
[NO] 48/200 | The Birth of Radar Meteor Astronomy at Jodrell Bank: The Collaboration between Bernard Lovell and Manning Prentice
[NO] 49/200 | Dream2Reward: Transition-Alignment Reward Models from Positive Demonstrations for Robotic Manipulation
[NO] 50/200 | Scoring and Gamification to Encourage Sustainable Use of Compute Clusters
[NO] 51/200 | Maximal ideals in the finitary symmetric group algebra in characteristic two
[NO] 52/200 | SIDScope: A Diagnostic Resource for Semantic-ID Interfaces in Generative Recommendation
[NO] 53/200 | Size-Mass Relation Shows Its Colours: Contrasting Physical Imprints of Galaxy Evolution in Rest-Frame UV and Optical
[NO] 54/200 | Decisive Margins in Differentially Private Voting
[NO] 55/200 | Enhancing Distance-Based Graph Autoencoders with Structural Penalties for Dynamic Graph Embedding
[NO] 56/200 | Maximal attractors for perturbations of unimodal maps near a homoclinic tangency
[NO] 57/200 | Epistemic Subordination: Generative AI and the Infrastructure of Knowledge
[NO] 58/200 | A note on the reflexibility of regular maps with automorphism group PGL(2,q)
[NO] 59/200 | Binary Voltage Covers of $K(10,3)$: Cohomology, Symmetry Orbits, and a Locally $K(7,3)$ Graph
[NO] 60/200 | Seeded SU(1,1) interferometry for Fourier-domain optical coherence tomography
[NO] 61/200 | Regularised Iterative Generalised Least Squares with Optimal Selection of the Hyper-Parameter for Identifying Nonlinear Phenomenological Models
[NO] 62/200 | Implications of $B\to χ_{c1}πK$ data for an isovector $G$-odd $D^\ast\bar D^\ast$ molecular virtual state
[NO] 63/200 | Fair, Efficient and Connected Allocations on Graphs
[NO] 64/200 | SoftVTBench: A Deformation-Aware Visuo-Tactile Dataset and Benchmark for Deformable-Object Manipulation
[NO] 65/200 | Affine Evaluation Maps, Dimension Groups, and Fair measures
[NO] 66/200 | gridcp: Fast Online Changepoint Detection in Python
[NO] 67/200 | Europe's Climate Ambition Under Scrutiny: Evidence from Deep Learning Emission Projections
[NO] 68/200 | DocClaw: A Unified Agentic System for Intelligent Document Processing
[NO] 69/200 | Monad Structures on Topological Spaces Comprising Mislove's Random Variables
[NO] 70/200 | Sounds Uncertain: Exploring the Affective Aspects of Sonification for Uncertainty Visualization
[NO] 71/200 | Long-run risk-sensitive portfolio optimisation with proportional transaction costs and log Lévy asset prices
[NO] 72/200 | Vision-Language Models for Egocentric Video: From Hand-Object Interaction to Embodied AI
[NO] 73/200 | A general method of deducing the determinantal expressions for polynomial and its derivative
[NO] 74/200 | Toward testing antinucleon$\unicode{x2013}$nucleus optical potentials with antineutron scattering lengths
[NO] 75/200 | Dynamic SpectraFormer for Ultra-High-Definition Underwater Image Enhancement
[NO] 76/200 | TranslatePsy-AfriSLM: High-Quality Data Scaling For Low-Resource Machine Translation
[NO] 77/200 | On uniqueness of non-vacuum stationary axisymmetric type D spacetime
[NO] 78/200 | The induced-$P_4$-free process
[NO] 79/200 | SAM2Dual: Training-Free, Dual Memory for Long-Term Video Object Segmentation
[NO] 80/200 | Report on The 1st Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access at CHIIR 2026
[NO] 81/200 | PILOT Technical Report
[NO] 82/200 | Nonlinear Maxwell's Equations as a Boundary Value Problem in Multilayer Nanophotonics
[NO] 83/200 | Evaluation of Monocular SLAM Systems on High-Altitude Nadir UAV Footage
[NO] 84/200 | CTIFoundry: An Agent-Native Corpus Scaffold for Cyber Threat Intelligence
[NO] 85/200 | On the Diophantine Equation $p^x+ (2p+1)^y =z^2$ with Consecutive Exponents
