[2025-12-26 09:12:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-25
正在获取论文...
[IEEE] 2025-12-25 | ITIS 2025 Cover Page
[IEEE] 2025-12-25 | Analysing Internet of Things and Cybersecurity Impact in the Namibia Mining Industry
[IEEE] 2025-12-25 | Comparative Analysis of a Genetically Engineered E. coli-Based Biosensor and UV-Visible Spectrophotometry for Hexavalent Chromium Detection
[IEEE] 2025-12-25 | Board of Governors
[IEEE] 2025-12-25 | Adaptive PID Control of UAV Variable-Pitch Propellers Based on Lightweight Neural Networks
[IEEE] 2025-12-25 | Vascular Reactivity Fingerprints Predict Cardiovascular Risk Via Thermal-Stressed Optical Profiling: A Dual Near-Infrared Spectroscopy and Laser Doppler Flowmetry Approach
[IEEE] 2025-12-25 | ITIS 2025 Cover Page
[IEEE] 2025-12-25 | The Command Line GUIde: Graphical Interfaces from Man Pages via AI
[IEEE] 2025-12-25 | Critical Review of Quality Management in HMLV Manufacturing
[IEEE] 2025-12-25 | Architecture of Cyber-Physical System for Improving Safety in Public Life "Safety"
[IEEE] 2025-12-25 | Impact of Mixed Reality and Ultrasound Simulation on Medical Student Performance
[IEEE] 2025-12-25 | Intraclass Data Augmentation Framework for Data-Imbalanced Cross-Domain Face Recognition
[IEEE] 2025-12-25 | Participatory Tech-Policy Design: A Methodological Approach Grounded in Regulatory Learning
[IEEE] 2025-12-25 | AI4DVault: A Registry Architecture for Securing the AI4D Supply Chain
[IEEE] 2025-12-25 | Unsupervised Learning for Fraud Detection in Cooperative Transactions: A Hierarchical Clustering and One-Class SVM Approach
[IEEE] 2025-12-25 | Accessibility and the Right to Information: An Inclusive Digital Dictionary for the Ecuadorian Population with Sensory Disabilities
[IEEE] 2025-12-25 | Technology-Based Evaluation of User Experience in a Maritime Job Search Application using Questionnaire and Heuristic Methods
[IEEE] 2025-12-25 | Gender Differences in EEG Absolute Power within Alzheimer’s Disease, Frontotemporal Dementia, and Cognitively Normal Individuals
[IEEE] 2025-12-25 | Medium Voltage Drive with Dynamic Power Quality Compensation for High-Harmonic Industrial Environments
[IEEE] 2025-12-25 | Design for Serviceability in Complex Electromechanical NPI Products: A Comprehensive Survey of Principles, Metrics, and Field Integration Strategies
[ACM] 2025-12-25 | Ethical Risk Analysis of L2 Rollups
[IEEE] 2025-12-25 | Secrecy-Energy Efficiency Maximization for Finite Blocklength Aerial Intelligent Reflecting Surfaces assisted RSMA Networks
[IEEE] 2025-12-25 | IEEE Transactions on Dielectrics and Electrical Insulation Information for Authors
[IEEE] 2025-12-25 | Maximum Electric Field Analysis in a Power Module using Schwarz-Christoffel Transformation
[IEEE] 2025-12-25 | Modified Sparsity Adaptive Matching Pursuit Algorithm for Airborne Forward-looking Imaging
[IEEE] 2025-12-25 | Smart Infrastructure-Based Anomaly Detection Under Cyberattacks
[IEEE] 2025-12-25 | CIEES 2025 Opinion
[IEEE] 2025-12-25 | Towards Patch-based Noise Compression for Adversarial Attack against Transformer-based Visual Tracking
[IEEE] 2025-12-25 | Integrating Robotics, Remote Sensing, and Machine Learning for Scalable Biodiversity Monitoring in Tropical Rainforests
[IEEE] 2025-12-25 | IEEE App
[IEEE] 2025-12-25 | Vehicular Technology Magazine Staff List
[IEEE] 2025-12-25 | Parallel Multi-Attention and Gated Fusion for Visual Question Localized Answering in Surgical Scenes
[IEEE] 2025-12-25 | Optimizing Cell Structure to Improve Cell Characteristics in IGZO Channel-Based 3D NAND Flash With p-Type Gate
[IEEE] 2025-12-25 | MedVisioneer: A Lesion-Aware Deep Vision Framework for Enhanced Diagnostic Assistance in CT Image Recognition and Adaptation
[IEEE] 2025-12-25 | Table of Contents
[IEEE] 2025-12-25 | 2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)
[IEEE] 2025-12-25 | ContractTrace: Retracing Smart Contract Versions for Security Analyses
[IEEE] 2025-12-25 | A System Dynamics Model of User Acceptance in Higher Education: Simulating TAM Constructs with Vensim
[IEEE] 2025-12-25 | Enterprise Architecture Design using Zachman Framework for Research and Community Service Information Systems
[IEEE] 2025-12-25 | Digital Transformation in the Textile Sector: ERP, Finance, and E-Commerce
[IEEE] 2025-12-25 | Voice-Guided User Localization in a Social Robot
[IEEE] 2025-12-25 | A brief review of robotics and artificial intelligence in education
[IEEE] 2025-12-25 | Challenges of Firing H
                    <sub>2</sub>
                    as an Alternative Fuel
[IEEE] 2025-12-25 | Measuring Telework Productivity, Key Performance Indicators with a Mixed Approach
[IEEE] 2025-12-25 | Visual Servoing of a Manipulator Robot using Reinforcement Learning
[IEEE] 2025-12-25 | Experimental Determination of the Thermal Properties of Unfired Clay Bricks with Rice Husk Additives
[IEEE] 2025-12-25 | Inverse Modeling of Soil Moisture Dynamics Using Data from an IoT-Based Agrometeorological Sensor Station
[IEEE] 2025-12-25 | A Transformer Framework for Remaining Useful Life Prediction Using Sensor Attention and Operational Context Embeddings
[IEEE] 2025-12-25 | Experimental Investigation of Computer Vision Architectures for Object Detection in Mobile Robotics
[IEEE] 2025-12-25 | Analysis of the Efficiency of Devices for Reactive Power Compensation in Traction Substations
[IEEE] 2025-12-25 | Optimization of Mechanical and Electrical Parameters of Feeding Devices based on Productivity Requirements and Part Geometry
[IEEE] 2025-12-25 | Novel Concept for Drone-Based Situational Driver Assistance System to Improve Visibility in Off-Road Environments
[IEEE] 2025-12-25 | Enhance Student Engagement with the Help of Multimedia and Cognitive Computing Tools
[IEEE] 2025-12-25 | Advances in Security Maturity and Architecture Design in Critical Infrastructures
[IEEE] 2025-12-25 | A Conceptual Model for the Evolution from Automation to Lights-Out Production
[IEEE] 2025-12-25 | From 3D Printing to Automation: Arduino-Controlled Educational Manipulator with Sensor Мodules Integration
[IEEE] 2025-12-25 | Embedded Artificial Intelligence System for High Impedance Fault Detection in Distribution Feeders: A Case Study from La Libertad Substation
[IEEE] 2025-12-25 | Letter of Appreciation
[IEEE] 2025-12-25 | Semi-Analytic Model of the Slot Waveguide for the Optimization of Silicon-Organic Hybrid Modulators
[IEEE] 2025-12-25 | Flexible Piezo-resistive Strain Sensors Using Ternary Conductive Hybrid Nanocomposites Integrated Into Wearable Smart Gloves For Human-Machine Interface_supp2-3645819.mp4
[IEEE] 2025-12-25 | Full-Duplex Empowered ISAC System for Low-Altitude Economy: Conception, Design, and Prototype Verification
[IEEE] 2025-12-25 | 3GPP Release-19 Physical Layer Enhancements for NR NTN and NB-IoT NTN
[IEEE] 2025-12-25 | Passive LC Relay Network-Enabled Battery-free Chipless IoT Smart Clothing for Simultaneous Multi-Site Hemodynamic Monitoring_supp3-3647891.mp4
[IEEE] 2025-12-25 | High Precision Control for Off-Axis In-Situ Rotation of Nanorobot Inside SEM
[IEEE] 2025-12-25 | MedLiteNet: Lightweight Hybrid Medical Image Segmentation Model for the Medical Internet of Things (MIoT)
[IEEE] 2025-12-25 | Front Cover
[IEEE] 2025-12-25 | Methods for Vibration Data Processing in Industrial Circuit Breaker Systems
[IEEE] 2025-12-25 | Efficiency Analysis of CNNs and Vision Transformers for Edge-Based- Plant Disease Detection
[IEEE] 2025-12-25 | Cost Effective Use of Digitalization for Improved Maintenance &amp; Reliability
[IEEE] 2025-12-25 | Benchmarking Machine Learning Techniques in Under-Resourced Contexts: Analysis of Public Perceptions of Government Policies from South Karnataka Reddit Discourse
[IEEE] 2025-12-25 | Exploring Political Discourse in Ecuador’s 2025 Election: Social Media Topic Modeling with BERTopic
[IEEE] 2025-12-25 | A Comparative Study of YOLOv3 and YOLOv10 for hCAPTCHA Challenge Solving
[IEEE] 2025-12-25 | A Big Data-Driven Prototype for Tracer Study: Forecasting the Needs of Future Graduates
[IEEE] 2025-12-25 | Towards a Privacy Preserving Framework for Mobility as a Service (MaaS)
[IEEE] 2025-12-25 | Comparative Analysis of the Thermal Properties of Lightweight Concretes for Energy-Efficient Construction
[IEEE] 2025-12-25 | Co-Advisor: Learning Programming Strategies in Context
[IEEE] 2025-12-25 | Do LLM-Generated Resumes Make Me More Qualified? An Observational Study of LLMs For Resume Generation and Matching Tasks
[IEEE] 2025-12-25 | Entrepreneurial educational orientation level of engineering university students in Ecuador and Peru
[IEEE] 2025-12-25 | End-to-End Canine Emotion Recognition from Images to Video: EfficientNetV2-S and Visual Interpretability Study
[IEEE] 2025-12-25 | Dynamic Interactions and Emerging Oscillatory Modes in Grid-Forming Two-Stage Photovoltaic Systems: A Small-Signal Comparative Study of Droop and VSG Controllers
[IEEE] 2025-12-25 | A Critical Review of CO
                    <sub>2</sub>
                    Mitigation Technologies
[IEEE] 2025-12-25 | A Novel Non-Dominated Multi-Objective Symbiotic Organism Search Optimization Algorithm for Optimal Power Flow
[IEEE] 2025-12-25 | Simple Method of Optimization for Electric Vehicle Autonomy through of Lithium-Cell Batteries
[IEEE] 2025-12-25 | An Innovative Integrated Model Leveraging RCM, TPM, and IIoT to Enhance Mechanical Availability in SMEs of Heavy Equipment Rental
[IEEE] 2025-12-25 | Ordinary Differential Equation-Based Approach for Early Detection of Infected Rice Seeds from Daily Temperature Time Series
[IEEE] 2025-12-25 | Voice-Controlled Cnc Machine Operations Using Natural Language Processing
[IEEE] 2025-12-25 | Enhancing Low-Resource Indian Language Machine Translation using Large Language Models with Preference Optimization and Hypergeometric-Gamma Reward
[IEEE] 2025-12-25 | Building Trustworthy AI in Healthcare
[IEEE] 2025-12-25 | Investigation of the performance of artificial neural networks using different learning algorithms in biomedicine datasets
[IEEE] 2025-12-25 | CIEES 2025 TOC
[IEEE] 2025-12-25 | HGNNMDA: Hybrid Graph Neural Networks for MiRNA-Disease Association Prediction_supp1-3648253.pdf
[IEEE] 2025-12-25 | Deep Learning-Based Inpainting for Sparse Arrays in Ultrafast Ultrasound Imaging
[IEEE] 2025-12-25 | Flood Extent Mapping From SAR Images by A Dynamic Threshold: A Case Study of 2022 Compound Flood in Northeastern Bangladesh_supp1-3647843.docx
[IEEE] 2025-12-25 | IEEE Tech RXIV
[IEEE] 2025-12-25 | Lessons Learned from the euROBIN Manipulation Skill Versatility Challenge at IROS 2024_supp2-3648290.mp4
[IEEE] 2025-12-25 | A Two-Stage Single-Phase AC–DC Converter for Low-Frequency Pulsed Power Loads With Low Input Current Harmonic
[IEEE] 2025-12-25 | Non Invasive Sensor Based On Modified Split Ring Resonator For The Inspection Of Liquids Inside Unknown Containers
[IEEE] 2025-12-25 | Unified Twin Support Vector Machines for Large-Scale Pattern Classification
[IEEE] 2025-12-25 | Robust and Extensible Multi-Branch Semantic Communication in LAWNs: Deployment-Efficient Design with SDR-based Validation
[IEEE] 2025-12-25 | IEEE ELECTROMAGNETIC COMPATIBILITY SOCIETY
[IEEE] 2025-12-25 | G-MIND: Galway Multimodal Infrastructure Node Dataset for Intelligent Transportation Systems
[IEEE] 2025-12-25 | ICON-SONICS 2025 Breaker Page
[ACM] 2025-12-25 | Mitigating False Positives in Filters: To Adapt or to Cache?
[IEEE] 2025-12-25 | AI-Based Lung Disease Classification
[IEEE] 2025-12-25 | Integration of Melanopic Equivalent Daylight Illuminance and Controlling Color Temperature in Dynamic Lighting Control for Circadian Rhythm Regulation
[IEEE] 2025-12-25 | Electric Potential Calculation in Muscle Tissue: A Method of Moments Approach
[IEEE] 2025-12-25 | Risk-Aware Fleet Management in Public Enterprises: A Machine Learning Approach Using Web-Scraped Data
[IEEE] 2025-12-25 | Automated Detection of Inattentive and Extreme Response Styles in Survey Data
[IEEE] 2025-12-25 | Clothing Product Review System using Aspect-Based Sentiment Analysis (ABSA) on E-Commerce
[IEEE] 2025-12-25 | Evaluation of Low-Cost Water Quality Monitoring Sensors for IoT
[IEEE] 2025-12-25 | FSO Transmission Framework Employing F-OFDM for Error Probability and Divergence Loss Evaluation in 5G Networks
[IEEE] 2025-12-25 | ProDec: Automated Prompt Decomposition
[IEEE] 2025-12-25 | Addressing Real-World Domain Shifts in Skin Lesion Diagnosis with Metric-Based Few-Shot Learning
[IEEE] 2025-12-25 | Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery
[IEEE] 2025-12-25 | Transforming Mobile User Experience through User-Centered Design and Heuristic Evaluation
[IEEE] 2025-12-25 | An Approach for Designing and Deploying a Hybrid Mobile Base Station Power Supply
[IEEE] 2025-12-25 | Investigation of the Environmental Performance of a Diesel Engine Operating with Alcohol Additives
[IEEE] 2025-12-25 | Energy-Efficient Uplink Resource Allocation via Deep Reinforcement Learning in OFDMA Networks
[IEEE] 2025-12-25 | A Review of Clinical and Instrumented Data Collection in Chilren with Cerebral Palsy and its Application in Adaptive Rehabilitation Controller Design
[IEEE] 2025-12-25 | Advancing Computer Graphics Learning through Motion Tracking and Machine Learning
[IEEE] 2025-12-25 | Self-Supervised Embeddings and UMAP for Discovering Plant Morphological Features
[IEEE] 2025-12-25 | A practical framework for fault location in power distribution systems based on artificial intelligence algorithms
[IEEE] 2025-12-25 | BYTE: Integration of Narrative and Gamification for Teaching Programming in Educational Environments
[IEEE] 2025-12-25 | Four-Phase University-Municipal Technology Transfer Framework: Validated Quadruple Helix Implementation in Developing Countries
[IEEE] 2025-12-25 | Performance Evaluation of CubeSat Nanosatellite using LoRa in Low Earth Orbit
[IEEE] 2025-12-25 | Cosine Similarity-Based Spectral Graph Clustering of ArchiMate Relationships and Metadata for Information System Consolidation
[IEEE] 2025-12-25 | Technical and Economic Analysis of a Photovoltaic Power Plant for a Wastewater Treatment Plant using PVsyst
[IEEE] 2025-12-25 | ETCM 2025 Preface
[IEEE] 2025-12-25 | IMU/UWB Integrated Navigation Based on Nonlinear Error State Definitions
[IEEE] 2025-12-25 | Synthesis Design of Linear-to-Circular Polarization Converter Based on Bandpass Filter Coupling Matrix Theory
[IEEE] 2025-12-25 | CIEES 2025 Cover Page
[IEEE] 2025-12-25 | SSAA: Secure Semi-Asynchronous Aggregation for Decentralized Federated Learning on Heterogeneous Devices
[IEEE] 2025-12-25 | ETCM 2025 Author Index
[IEEE] 2025-12-25 | Orthogonal Linear Array-Based Product Beamforming for Real Time Underwater 3-D Acoustical Imaging_supp2-3633536.mp4
[IEEE] 2025-12-25 | Tamper-Proof Quantum Communication Network Enhanced by Machine Learning
[IEEE] 2025-12-25 | Organizing Committee
[IEEE] 2025-12-25 | TERM Model: Tensor Ring Mixture Model for Density Estimation_supp1-3648288.pdf
[IEEE] 2025-12-25 | Coherent Transceivers Using SOA–Comb Architectures for Short-Reach Links Beyond 1 Tb/s
[IEEE] 2025-12-25 | Radar Bistatic Technique for Accurate Characterization of Small Antenna Radiation Patterns
[IEEE] 2025-12-25 | Ka-Dual-Band Oblique-Incidence Multi-Layer Metasurface for Linear to Circular Polarization Conversion
[IEEE] 2025-12-25 | Synopsis of the December 2025 Issue of the IEEE Letters on Electromagnetic Compatibility Practice and Applications
[IEEE] 2025-12-25 | Visibility Region-Based Surface Identification for Near-Field XL-MIMO at THz Frequencies
[IEEE] 2025-12-25 | Guaranteed State and Fault Interval Estimation for Local Nonlinear Takagi-Sugeno Fuzzy Systems Based on Zonotopic Analysis
[IEEE] 2025-12-25 | Data-Efficient Constrained Robot Learning With Probabilistic Lagrangian Control
[IEEE] 2025-12-25 | Flexible Piezo-resistive Strain Sensors Using Ternary Conductive Hybrid Nanocomposites Integrated Into Wearable Smart Gloves For Human-Machine Interface_supp3-3645819.mp4
[IEEE] 2025-12-25 | Non-Electrical Artificial Lateral Line System Design for Flow Field Detection of Robotic Fish Using Fiber Bragg Gratings
[IEEE] 2025-12-25 | Variable-Gain Nonlinear Control Strategy for a Mobile Manipulator
[IEEE] 2025-12-25 | A Model-Free Cascade Control Strategy for Trajectory Tracking in Mobile Robots
[IEEE] 2025-12-25 | Educational Theories’ (Potential) Impacts on Explainable AI
[IEEE] 2025-12-25 | Integrated System for Automated Reporting and Control through ERP and MES in an Industrial Environment
[IEEE] 2025-12-25 | Analysis of Urban Transport User Satisfaction in Ambato: Segmented Results from a Target Population
[IEEE] 2025-12-25 | Interesting Examples to Teach Transient Stability Using an Academic Model of the Spanish National Grid
[IEEE] 2025-12-25 | Design of a photovoltaic-assisted rainwater harvesting system to promote sustainable water use in a higher education building
[IEEE] 2025-12-25 | Privacy-Preserving Android Malware Detection Using Deep Federated Learning
[IEEE] 2025-12-25 | Fine-Tuning Deep Convolutional Generative Adversarial Networks (DCGAN) for Synthetic Retinal Fundus Image Generation
[IEEE] 2025-12-25 | User-Centered Evaluation of Islamic Mobile Banking Application with the HEART Framework
[IEEE] 2025-12-25 | Da-RDU-Net: Dual Attention and Residual Double U-Net for Colorectal Polyp Segmentation
[IEEE] 2025-12-25 | Design of an Ankle Joint Exoskeleton: Importance of Anatomical and Biomechanical Analysis (Experience from AlmatyAnkleExo V1/V2)
[IEEE] 2025-12-25 | Application of the Digital Transformation in Training and Optimization for Effective Management of Transport Activities
[IEEE] 2025-12-25 | Exploring Direct Instruction and Summary-Mediated Prompting in LLM-Assisted Code Modification
[IEEE] 2025-12-25 | Design of Nitrogen-Phosphorus-Potassium Fertilizer Recommendation System Based on Fuzzy Sugeno and Geographic Information System (GIS)
[IEEE] 2025-12-25 | Integrating pretrained Deep Learning models into GIS workflows for object detection in urban environments
[IEEE] 2025-12-25 | Keyframer: A Design Probe for Exploring LLM Assistance in 2D Animation Design
[IEEE] 2025-12-25 | Technical, Economic, and Environmental Efficiency of using Photovoltaic Solar Station in the Climatic Conditions of Turkmenistan
[IEEE] 2025-12-25 | The Urban Future Is Autonomous, Electric, and Shared [Automotive Electronics]
[IEEE] 2025-12-25 | Machine Learning for Classifying Vascular Age Using the Second Derivative of the PPG Signal
[IEEE] 2025-12-25 | 2025 IEEE Ninth Ecuador Technical Chapters Meeting (ETCM)
[IEEE] 2025-12-25 | Enhancing Efficiency and Decarbonization of The Cement Manufacturing Process with Advanced Organic Rankine Cycle Waste Heat Recovery Systems
[IEEE] 2025-12-25 | IAS/PCA 2023 Copyright Page
[IEEE] 2025-12-25 | IAS/PCA 2023 Cover Page
[IEEE] 2025-12-25 | ICON-SONICS 2025 Committees
[IEEE] 2025-12-25 | A Robust Actor-Critic Algorithm for CAV Decision Making Under Impaired V2X Communication
[IEEE] 2025-12-25 | Asynchronous Self-Triggered Secure Control for DDoS Resiliency in Islanded AC Microgrids Under Dynamic Network Topologies
[IEEE] 2025-12-25 | <i>D</i>
                    -Axis Current-Based Droop Control of Grid-Forming Converters for Improving Low-Voltage Ride-Through Performance
[IEEE] 2025-12-25 | Congestion Management Through Stochastic Optimal Transmission Switching in Hybrid AC/DC Grids Considering Continuous Non-Gaussian Uncertainty
[IEEE] 2025-12-25 | Neighbor Discovery Protocol for Underwater Acoustic Networks Based on Multiplexed Directional Transceiver
[IEEE] 2025-12-25 | PushingBots: Collaborative Pushing Via Neural Accelerated Combinatorial Hybrid Optimization_supp2-3647767.pdf
[IEEE] 2025-12-25 | Dynamic Identification of Generative AI Skills: A Structural Topic Modelling Approach
[IEEE] 2025-12-25 | HyperFlow: Conditional Normalizing Flow Guided Spectral Super-Resolution with Learnable Sampler
[ACM] 2025-12-25 | A Survey of Single Image Blind Motion Deblurring from Traditional to Deep Learning
[ACM] 2025-12-25 | EdgeTail: Mitigating Long-Tail Visual Problems in Continual Learning at Edge
[ACM] 2025-12-25 | Aging Aware Steepening of the Fault Coverage Curve of a Scan Based Transition Fault Test Set
[IEEE] 2025-12-25 | Reconfigurable Intelligent Surface (RIS) Design for 2.4 GHz Wi-Fi Band
[IEEE] 2025-12-25 | Automation System for Managing Innovation Obsolescence for SME
[IEEE] 2025-12-25 | Comparative Study between Primary Electrical Energy Storage Devices
[IEEE] 2025-12-25 | Benchmarking and Evaluation Framework for Large Language Models in Education
[IEEE] 2025-12-25 | ParticipantGuide: Promoting Transparency in Human-Centric User Studies
[IEEE] 2025-12-25 | Diagnosis of User Experience (UX) and Accessibility in Traditional Recruitment Tools: Foundations for the Future Implementation of Gamified Processes
[IEEE] 2025-12-25 | Hybrid Approach for Load Forecasting and Scenario Generation Using SVR and Analog Method
[IEEE] 2025-12-25 | Cloud-Based Network Monitoring System with Zabbix and WireGuard VPN for Remote SMEs
[IEEE] 2025-12-25 | Online Professional Development for Southeast Asia Teachers Focusing on Computational Thinking
[IEEE] 2025-12-25 | Bringing Probabilistic Reasoning to the IDE
[IEEE] 2025-12-25 | SnapClass: An AI-Enhanced Classroom Management System for Block-Based Programming
[IEEE] 2025-12-25 | E-Learning Education Modules with Smart Content Delivery
[IEEE] 2025-12-25 | Detection and Classification of Defects in Photovoltaic Cells from Electroluminescence using Artificial Intelligence
[IEEE] 2025-12-25 | Path Loss Planning for 5G Networks Applied in Indonesia using the Close-in Model
[IEEE] 2025-12-25 | Study of the 30-bus System with Different Degrees of Penetration of Distributed Energy Sources
[IEEE] 2025-12-25 | Synergizing LLMs, Vibes, and Well-Being in Software Development
[IEEE] 2025-12-25 | Multi-Agent Reinforcement Learning for Trajectory and Handover Optimization in UAV-Assisted 6G HetNets
[IEEE] 2025-12-25 | Multivariate modeling and value-based segmentation: application to pro-poverty tourism
[IEEE] 2025-12-25 | Machine Learning Approaches for Predicting Students’ Intentions to Pursue Higher Education: Insights from Multidimensional Survey Data
[IEEE] 2025-12-25 | Predicting Water Inflows for Power System Operation under Climate Variability: Comparing Long- and Short-Term Data Series via LSTM Networks
[IEEE] 2025-12-25 | Stepper-Motor-Based Antenna Alignment System for Improved Quality of Service in Wireless Point-to-Point Communication
[IEEE] 2025-12-25 | LoRaWAN in the Internet of Things: A Systematic Review of Network Architecture, Security, Business Models, and Real-World Deployments
[IEEE] 2025-12-25 | Empowering Entrepreneurial Mindsets: A Digital Literacy and E-Commerce Adoption Model using Computational Analysis
[IEEE] 2025-12-25 | Preparation of an Environmental Impact and Risk Assessment Focusing on Mining Activities in the Sajo/Slana River Basin
[IEEE] 2025-12-25 | Incorporating Stratal Dip to Constrain the Integration Range of Marchenko Imaging
