[2026-07-16 10:51:43] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | A Spectrally Damped Tensor Randomized Kaczmarz Method for Doubly Noisy Tensor Systems
[arXiv] 2026-07-15 | AnomExpert: Identifying and Selecting Anatomical Planes for Prenatal Ultrasound Anomaly Diagnosis
[arXiv] 2026-07-15 | WNOJ-LIO: A White-Noise-on-Jerk Motion-Prior EKF for High-Dynamic LiDAR-IMU Fusion
[arXiv] 2026-07-15 | Set-shifting Behavioral Test for Harnessed Agents
[arXiv] 2026-07-15 | Self-Improving is Often Sudden: Enlightenment-style Finetuning for Large-Scale Models
[arXiv] 2026-07-15 | Where Should RL Post-Training Compute Go? Model Size, Search, Learning, and Feedback
[arXiv] 2026-07-15 | Change-Aware Self-Adaptive AI-Aided Kalman Filters With Neural Change Point Detection
[arXiv] 2026-07-15 | Residual-Christoffel Sampling for Random Feature Collocation of Linear PDEs
[arXiv] 2026-07-15 | Isometries between C$^*$-algebras with finite corank
[arXiv] 2026-07-15 | Linear motion (R-FLEX) for minature 6.2 mm pitch optical fiber position robots with polar (R-theta) kinematics
[arXiv] 2026-07-15 | Spectral Analysis and Liouville-Green Asymptotics for a Radial Sturm-Liouville Operator with Variable Coefficients
[arXiv] 2026-07-15 | Marker-free deformable registration and fusion for augmented reality-guided positive margin localization during tumor resection surgery
[arXiv] 2026-07-15 | Existence, Uniqueness, and Pathwise Regularity for Multidimensional Semilinear SPDEs with Locally Lipschitz Coefficients and Rough Initial Data
[arXiv] 2026-07-15 | Vision-Based Obstacle Separation for Strawberry Harvesting in Clusters Using Hierarchical Reinforcement Learning
[arXiv] 2026-07-15 | Differences between the uniform diameter two properties
[arXiv] 2026-07-15 | RABBITS IV: Stellar feedback and SMBH merging time-scales in the sub-Milky Way mass regime
[arXiv] 2026-07-15 | Kaleido: Algorithm-Hardware Co-Design for Video Diffusion Transformers by Exploiting Latent Space Correlations
[arXiv] 2026-07-15 | MxGPS: Multiplex Graph Transformers for a Power Grid Foundation Model
[arXiv] 2026-07-15 | Nonstandard likelihood-ratio limits under semidefinite rank constraints
[arXiv] 2026-07-15 | Post-Training Shifts Confidence: A Three-Stage Analysis of How SFT, RL, and OPD Shape Pre-, Intra-, and Post-CoT Calibration
[arXiv] 2026-07-15 | Regularity estimates in transport equations via heat flow and quantitative differentiation
[arXiv] 2026-07-15 | RI/SMOM renormalization for lattice QCD: bilinear and three-quark operators
[arXiv] 2026-07-15 | Contracting for Long-Duration Energy Storage in Incomplete Risk Markets
[arXiv] 2026-07-15 | GRACE-DG: A Discontinuous Galerkin method-based code for general non-linear coagulation-fragmentation equations
[arXiv] 2026-07-15 | Microscopic constitutive theory of stress overshoot, yielding, and strain hardening in amorphous materials
[arXiv] 2026-07-15 | The weak maximizing property for $(L_p([0,1]),L_q([0,1]))$
[arXiv] 2026-07-15 | Regularity of Manhattan manifolds and exact dimensionality for relatively Anosov groups
[arXiv] 2026-07-15 | Cluster with Auctions for Vector Search
[arXiv] 2026-07-15 | Interaction Density as a Behavioural Signature of Exhibit Type: A Minimal-Log Study from a Two-Venue Science Experience Centre
[arXiv] 2026-07-15 | Self-supervised Speech Comparison for L2 Phone, Rhythm, and Intonation Scoring
[arXiv] 2026-07-15 | On Milnor and Tjurina numbers of Pairs of Holomorphic Functions Germs
[arXiv] 2026-07-15 | The different methods to calculate cluster membership probabilities
[arXiv] 2026-07-15 | Multi-height Diagnosis of MHD Wave Periods and their Propagation in Solar Plages Using IRIS Observations
[arXiv] 2026-07-15 | Volumetric Inverse Rendering via Neural Radiative Transfer
[arXiv] 2026-07-15 | Norm Inflation for Inviscid and Fully Dissipative Boussinesq Systems in Supercritical Spaces
[arXiv] 2026-07-15 | Social Simulations: from Agent-Based Modeling to Digital Twins
[arXiv] 2026-07-15 | Proactive URLLC Adaptation for Connected Vehicles Through ML-Based Channel Prediction
[arXiv] 2026-07-15 | Magnetic quadrupole current generation and accumulation in noncentrosymmetric systems
[arXiv] 2026-07-15 | When Bots Join the Team: Bot Adoption and the Institutional Fabric of Open-Source Software Projects
[arXiv] 2026-07-15 | M3F-UAV: A Missing-Modality Multimodal Foundation Model for Low-Altitude Wireless Sensing
[arXiv] 2026-07-15 | Local Certification of Vertex and Edge Connectivity
[arXiv] 2026-07-15 | WAVE-Stereo: Warp-Aligned Volume Encoding for Stereo Matching
[arXiv] 2026-07-15 | Proof of concept of heterodyne interferometry at 10.6 um using photonic correlation
[arXiv] 2026-07-15 | The Hyperspherical Geometry of CLIP Latent Space: A Semantic Mixture Model
[arXiv] 2026-07-15 | T3HG-Editor: Text-driven 3D Human Garment Editing with Body Priors Embedded in SMPL-X
[arXiv] 2026-07-15 | CIMERA: Compute-in-Interconnect and Memory with Reconfigurable Precision for LLM Inference
[arXiv] 2026-07-15 | Human4K: A Large-Scale 4K Multi-View Mocap Dataset for Whole-Body 3D Human Reconstruction
[arXiv] 2026-07-15 | The potential of quantum computers for Particle Image Velocimetry
[arXiv] 2026-07-15 | Assessing the sensitivity to Axion-Like-Particle Dark Matter with very-high-energy gamma-ray observations of selected AGN and galaxy cluster pairs
[arXiv] 2026-07-15 | gDMC: A Generic Distributed Model Counting Framework via Work-Stealing
[arXiv] 2026-07-15 | Separating Geometry From Interference in Constrained Quantum Optimization
[arXiv] 2026-07-15 | Phase diagram of one-dimensional bosons with Rydberg-dressed soft-core interactions
[arXiv] 2026-07-15 | Design, Modeling and Experimental Validation of a Miniature Hybrid Underwater Glider With Large-Range Foldable Deflectable Wings
[arXiv] 2026-07-15 | UESF-Bench: Benchmarking and Probing for Unified Embodied Seeking and Following
[arXiv] 2026-07-15 | A Telemetry-Driven Model for Quantifying Upgrade Risk in Durable Workflow Execution
[arXiv] 2026-07-15 | The SIGReg Objective as Variational Free Energy: A Theoretical Active-Inference Account of JEPA World Models
[arXiv] 2026-07-15 | Accelerating gas-network feasibility screening with a physics-informed graph neural network surrogate
[arXiv] 2026-07-15 | Gauge-Invariant, Parameter-Insensitive Regularization for Potential Recovery from Flow on Directed Graphs
[arXiv] 2026-07-15 | Automatic Ordinary Differential Equations Discovery For Biological Systems Using Large Language Model Powered Agentic System
[arXiv] 2026-07-15 | Semantic Anchoring for Robotic Action Representations
[arXiv] 2026-07-15 | Active Trust Management for Successful Human-Robot Teaming: Moving from a Trust Repair to a Trust Satisficing Perspective
[arXiv] 2026-07-15 | SAFETY SENTRY: Context-Aware Human Intervention via EXECUTE-ASK-REFUSE Routing
[arXiv] 2026-07-15 | Non-cancellative varieties, maximal tori, and the Makar-Limanov invariant
[arXiv] 2026-07-15 | Using backscattered thermal neutrons to monitor boron concentration during BNCT: a Monte Carlo feasibility study
[arXiv] 2026-07-15 | Rotation topological states: theory and material realization
[arXiv] 2026-07-15 | IMMNet: Hybrid Fusion of Model-based and Data-driven Approaches for Maneuvering Target Tracking
[arXiv] 2026-07-15 | Grounded world models in biological organisms and future embodied AI
[arXiv] 2026-07-15 | Improving reddening estimates for RR Lyrae stars in the Gaia bands: a machine learning approach to the PAC(Z) relation
[arXiv] 2026-07-15 | Earthquaker-AI: A Retrieval-Augmented Generation Framework with Rubric-Based Assessment for Primary School Earthquake Education
[ACM] 2026-7-15 | Lattice Musicking
[ACM] 2026-7-15 | Agriculture Punk: Hello World from Breadboard Farming
[ACM] 2026-7-15 | Cage-based Texture Transfer with Geometric Filtering
[IEEE] 2026-7-15 | Abstract Cards
[IEEE] 2026-7-15 | WS28: The 4th Workshop on Near-Field Communications, Localization, and Sensing
[IEEE] 2026-7-15 | Retraction Notice: A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
[IEEE] 2026-7-15 | Message from the Chairman
[IEEE] 2026-7-15 | Retraction Notice: Enhanced Deep Learning Algorithm for Skin Cancer Detection
[IEEE] 2026-7-15 | Retraction Notice: Comparison of Regression Techniques and Integration Models Using Machine Learning
[IEEE] 2026-7-15 | Retraction Notice: A Comprehensive Analysis of Emerging Threats in the Digital Era
[IEEE] 2026-7-15 | Retraction Notice: Sales Prediction For Food Products Using Machine Learning
[IEEE] 2026-7-15 | Retraction Notice: Dynamic Path Allocation Based on Reinforcement Learning in Iot Systems
[IEEE] 2026-7-15 | Wireless Power Transfer Preliminary Validation of a Quasioptical Lunar Solar Power Satellite
[IEEE] 2026-7-15 | Bifurcation Analysis Framework of Spiking Neuron Models_supp1-3710811.pdf
[IEEE] 2026-7-15 | Captivity-Escape Games as a Means for Safety in Online Motion Generation
[ACM] 2026-7-16 | Neuroscience Inspired Graph Operators Towards Edge-Deployable Virtual Sensing for Irregular Geometries
[IEEE] 2026-7-15 | G
                    <sup>2</sup>
                    FL: Robust Federated Learning for GNSS Spoofing Detection
[IEEE] 2026-7-15 | Proof of Concept of QCSP Frames in Earth-to-LEO Satellite Transmission
[IEEE] 2026-7-15 | NeuroSymbolic Robustness Analysis for Discrete Systems with Respect to Transition Deviations
[IEEE] 2026-7-15 | CED-TRL: Curriculum Environment Design for Temporally Extended Reinforcement Learning Tasks
[IEEE] 2026-7-15 | Improving Energy Sustainability of Multi-RAT IoT Coexistence Networks in the Presence of Adjacent Channel Interference and Hardware Impairments
[IEEE] 2026-7-15 | Novel 3D Film Laminate Package for High Efficiency 7 GHz GaN Power Amplifier Module
[IEEE] 2026-7-15 | Full-Circuit Modeling and Nonlinear Analysis of Flux-Pumped SQUID Amplifiers in Keysight Advanced Design System (ADS)
[IEEE] 2026-7-15 | AI-Powered Adaptive Learning System for Dyslexic Children
[IEEE] 2026-7-15 | CTA-Based Internal Carotid Artery Segmentation and DRR Generation for Enhanced Neurovascular Visualization
[ACM] 2026-7-16 | Sleep-Inspired Replay-Driven Online Temporal Learning with Memristive Neuromorphic Hardware for Edge Systems
[ACM] 2026-7-16 | Open-source asynchronous periphery for mixed-signal neuromorphic chips
[IEEE] 2026-7-15 | Age of Information Minimization for Buffer-Aided Uplink Systems via Movable Antennas
[IEEE] 2026-7-15 | Cramér–Rao Lower Bound for Barycenter Estimation of an Extended Target in the Near Field
[IEEE] 2026-7-15 | Enhancing Parkinsons Disease Diagnosis Using ConvNeXt and Hand-Drawn Image Biomarkers
[IEEE] 2026-7-15 | Geometric Cross-Layer NOMA-IRSA Random Access Scheme for GEO HTS Networks
[IEEE] 2026-7-15 | Multi-Sensor Based Automatic Food Authenticity Detection System
[IEEE] 2026-7-15 | Index Packet Error Correction in Digital Semantic Communications Through Vector-Quantized Diffusion Models
[IEEE] 2026-7-15 | Modeling and Scheduling of Hospital Robot Fleets Using Switching-max-plus Algebra
[IEEE] 2026-7-15 | From Domain Model to High-Mix Low-Volume Production Line Schedules
[IEEE] 2026-7-15 | Efficient and Interpretable Tabular Learning Via Visual Transformation
[IEEE] 2026-7-15 | D-Band Variable-Gain Balanced Power Amplifier with 36% FBW, 18.2 dBm PSAT and Reconfigurable Adaptive Bias in 22-nm FD-SOI
[IEEE] 2026-7-15 | SAGE: Student-Focused Adaptive Guidance Engine for Intelligent Tutoring with Regulated Learning
[IEEE] 2026-7-15 | A $10-\mathrm{W} 7-\text{GHz}$ Gan-on-Si Doherty Power Amplifier with Hybrid MMIC-Module Integration for 6G Base-Station Applications
[IEEE] 2026-7-15 | A Virtual Reality-Based Interior Design Framework Built on Cloud for Scalable and Immersive Experiences
[IEEE] 2026-7-15 | An Intelligent Traffic Estimation Approach to 6G Networks for Industry Applications based on Time-Frequency Features
[IEEE] 2026-7-15 | Data-driven diagnosis of failures in max-plus linear systems: a consistency-based approach
[IEEE] 2026-7-15 | A 2–18 GHz Integrated 4-Channel Transmit/Receive Beamformer in 65-nm CMOS
[IEEE] 2026-7-15 | Transciphering of Lightweight Symmetric Ciphertexts for Privacy-Preserving Generative AI Inference in Telecom Systems
[IEEE] 2026-7-15 | 0.5-to-52 GHz High Power Nonuniform Distributed Amplifier in 60 nm GaN/Si Process
[IEEE] 2026-7-15 | CAPTAIMN: A Real-Time LLM and RAG Based Decision Support System for Navigational Safety and COLREGs Compliance
[IEEE] 2026-7-15 | Model Predictive Control (MPC) Based Multi-Output DC to DC Converter for Electric Vehicle Applications
[IEEE] 2026-7-15 | Low-Complexity Near-Field Localization in Multipath Environment by ELAA Partitioning in Presence of Mutual Coupling
[IEEE] 2026-7-15 | Emulation Digital Twin Framework: Case Study on NGAP Attacks in 5G Control Plane
[IEEE] 2026-7-15 | Secure Beamforming for Pinching-Antenna Systems
[IEEE] 2026-7-15 | Transmit Beampattern Design for Continuous Aperture Array (CAPA)-aided Sensing Systems
[IEEE] 2026-7-15 | Packaging and Antenna Design for a 46 -Element Dual-Surface Mmwave Active STAR-RIS Built with CMOS RFICs
[IEEE] 2026-7-15 | ClimaStyle: A Climate-Aware Visual Try-On with Prompt-Based Segmentation
[IEEE] 2026-7-15 | Factor Graph Optimization Based Data Fusion for Accurate 3-D Positioning Using UWB and IMU
[IEEE] 2026-7-15 | Architectural Enhancements for Efficient Sensing Data Utilization in 6G ISAC
[IEEE] 2026-7-15 | Evaluation of GenLLM–based Air Traffic Complexity Assessment
[IEEE] 2026-7-15 | Distributed Pilot Framework for OTFS: Achieving Interference Whitening and PAPR Reduction
[IEEE] 2026-7-15 | A Single-Stage Feedback-Feedforward D-Band LNA in SiGe BiCMOS
[IEEE] 2026-7-15 | Design Method of Broad Flat-Top Fan-Beam Complementary Antenna for Radar Applications
[IEEE] 2026-7-15 | Equivalent Circuit Models for Waveguide-Fed, Resonant, Metamaterial Elements
[ACM] 2026-7-15 | Towards Inclusive Retrieval-Augmented Generation: Challenges and Opportunities for Cognitively Impaired Users
[ACM] 2026-7-15 | Reasoning-Grounded Intent Injection for Generative Recommendation
[ACM] 2026-7-15 | LLM-based Semantic and ID Representations for Sequential Recommendation
[ACM] 2026-7-15 | DCGL: Dual-Channel Graph Learning with Large Language Models for Knowledge-Aware Recommendation
[ACM] 2026-7-15 | Privacy Preserving Information Retrieval: Defining Privacy Research Pillars for a Future Research Agenda
[ACM] 2026-7-15 | RoTE: Coarse-to-Fine Multi-Level Rotary Time Embedding for Sequential Recommendation
[ACM] 2026-7-15 | Chunk-Wise Quantization for Graph Collaborative Filtering
[ACM] 2026-7-15 | Inductive Subgraphs as Shortcuts: Causal Disentanglement for Heterophilic Graph Learning
[ACM] 2026-7-15 | ADaFuSE: Adaptive Diffusion-generated Image and Text Fusion for Interactive Text-to-Image Retrieval
[ACM] 2026-7-15 | CARD: Non-Uniform Quantization of Visual Semantic Unit for Generative Recommendation
[ACM] 2026-7-15 | Exploring and Improving Cross- and Multi-Domain Personalized Question Answering via a Dual Retrieval Augmentation Approach
[ACM] 2026-7-15 | SECRET: SEarch query Classification with label RETrieval
[IEEE] 2026-7-15 | Intelligent Fractional Graph Signal Framework for Multi-Grade Brain Tumor Classification in IoT-Healthcare
[IEEE] 2026-7-15 | Confidence-Aware Hard-Soft Fused Tree Search for MIMO Detection_supp1-3713356.pdf
[IEEE] 2026-7-15 | The Multivariate Inverse Gamma Distribution and its Application to Wireless Communication Systems
[IEEE] 2026-7-15 | A 300-GHz 2-D Scalable 4 × 4 Phased-Array Receiver With Half-Wavelength Element Spacing in 65-nm CMOS
[IEEE] 2026-7-15 | Retraction Notice: Colorization of Black &amp; White Videos &amp; Photographs
[IEEE] 2026-7-15 | LWL-RT-DETR: A Lightweight Collaborative Model for Wildlife Detection
[IEEE] 2026-7-15 | A Contemporary Ontology-Based Approach to Geotechnical Knowledge Formalization and Regulatory Compliance_supp2-3713229.xlsx
[IEEE] 2026-7-15 | Intelligent Hydrocarbon Flame Detection Method Based on ECANet Attention Mechanism and Multi-modal Decision Fusion
[IEEE] 2026-7-15 | Domain-Adaptive Self-Supervised Contrastive Hashing for Scalable Chest Radiograph Retrieval
[ACM] 2026-7-15 | Ghost ReSTIR: Volumetric Resampling with Ghost Vertices in Null-Scattering Space
[ACM] 2026-7-15 | Improving Ad-hoc Search Effectiveness for Conversational Information Retrieval via Model Merging
[ACM] 2026-7-15 | Can QPP Choose the Right Query variant? Evaluating Query Variant Selection for RAG Pipelines
[ACM] 2026-7-15 | Load-sensitive Selective Pruning in Dense Retrieval
[ACM] 2026-7-15 | Beyond Static Diffusion: Explicitly Modeling Temporal Patterns in Sequential Recommendation
[ACM] 2026-7-15 | Attention Grounded Enhancement for Visual Document Retrieval
[ACM] 2026-7-15 | A Sensitivity-Aware Test Collection for Search Among Personal Information
[ACM] 2026-7-15 | From Top-1 to Top-K: A Reproducibility Study and Benchmarking of Counterfactual Explanations for Recommender Systems
[ACM] 2026-7-15 | From Single- to Cross-Document: Benchmarking Multi-Granularity Event Analysis of Large Language Models
[ACM] 2026-7-15 | Uncertainty Quantification for Retrieval-Augmented Reasoning
[IEEE] 2026-7-15 | Retraction Notice: Sports Event Data Acquisition Method Based on Wireless Sensor Technology and BP Neural Networks
[IEEE] 2026-7-15 | Copyright Page
[IEEE] 2026-7-15 | WS27: International Workshop on Sustainable and Sustainability-Enabling 6G
[IEEE] 2026-7-15 | Retraction Notice: Neural Network to detect Cervical Cancer early using Pap smears Images
[ACM] 2026-7-15 | Confused Deputy Attack Against Model Context Protocol
[IEEE] 2026-7-15 | Retraction Notice: Content Based Offline Fake News Detection using Classification Technique
[IEEE] 2026-7-15 | Retraction Notice: Land Use and Land Cover Classification Using Recurrent Neural Networks with Shared Layered Architecture
[IEEE] 2026-7-15 | Potential risk mining of battery systems for electric vehicles: Multi-level screening and statistical analysis of safety features_supp1-3713031.docx
[IEEE] 2026-7-15 | First Plan Then Evaluate: Multi-Target Planning With Post-Planning Success Evaluation Improves Learning-Based Grasping Pipelines
共写入 200 条记录，保存到 papers/paper2026-07-15.json。
论文获取成功，文件路径: papers/paper2026-07-15.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | A Spectrally Damped Tensor Randomized Kaczmarz Method for Doubly Noisy Tensor Systems
[NO] 2/200 | A proof complexity perspective on effectively zero-knowledge proofs
[NO] 3/200 | Bernoulli determinants and cuspidal subgroups
[NO] 4/200 | VGIF-Score: Interpretable and Diagnostic Evaluation of Spatio-Temporal Instruction Following in Video Generation
[NO] 5/200 | Mapping Diplomatic Representation in Europe, 1648-1715
[NO] 6/200 | $λ$PIC: A callback-centric particle-in-cell framework
[NO] 7/200 | CODA: How to Mitigate ColumnDisturb for (Almost) Free?
[NO] 8/200 | DP-BOA: Dirichlet-Process Birth-or-Assign for On-the-Fly Category Discovery
[NO] 9/200 | Energy decay and weak observability for some evolution systems
[NO] 10/200 | LAPO: Leave-One-Turn Attribution for Self-Generated Process Rewards in Multi-Turn Search Reasoning
[NO] 11/200 | Layered Risk Mapping for Autonomous Patient Transport in Expeditionary Medical Facilities
[NO] 12/200 | Pinching-Antenna Systems (PASS)-Based User-Side Navigation: An Anchor-Line-based Approach
[NO] 13/200 | Lorentz-Covariant Spectral Bounds from Thermal Quantum Field Theory: Retarded Green's Functions, Kubo Relations, and Holographic Constraints
[NO] 14/200 | Deformable State Estimation for Autonomous Surgical Tissue Retraction Under Partial Observability
[NO] 15/200 | MyAG: A Graph-Based Framework for Designing and Analyzing Composable LLM Agent Systems
[NO] 16/200 | EgoHTR: Egocentric 4D Demonstrations of Human Terrain Traversal
[NO] 17/200 | Bring Music The Horizon: Music-Driven 360$^\circ$ Video Generation
[NO] 18/200 | Physics-Informed Residual Deep Learning for Constitutive Modeling of Hot Deformation and Dynamic Recrystallization in a Mo-Rich $α+β$ Titanium Alloy
[NO] 19/200 | PQFA: Parallel Quantum Feature Augmentation of Fused Representations for Multimodal Classification
[NO] 20/200 | DevicesWorld: Benchmarking Cross-Device Agents in Heterogeneous Environments
[NO] 21/200 | Security evaluation of quantum distance-bounding protocols via semidefinite programming
[YES] 22/200 | Energy Minimization Oriented Resource Allocation for Integrated Sensing and Communication in Marine IoT Networks
[NO] 23/200 | Machine Learning Challenges in Intelligent Unmanned Aerial Vehicle Operations in Developing Economie
[NO] 24/200 | Stress-Sharing: A Bio-Inspired Approach to Decentralized Fault Repair in Modular Spacecraft
[NO] 25/200 | The Environmental Cost of Digital Sovereignty: Water, Energy, and Emissions Impacts of Sovereign AI Infrastructure in the Global South
[NO] 26/200 | Further exploration of the machine-learning-based nuclear mass table
[NO] 27/200 | PUe: Biased Positive-Unlabeled Learning Enhancement by Causal Inference
[NO] 28/200 | ScanFocus: A Coarse-to-Fine Framework for Spatio-Temporal Video Grounding
[NO] 29/200 | Resistivity in Dilute Cu-3d Alloys Governed by Disorder-Induced Band Broadening
[NO] 30/200 | MultiAnimate: A Unified Framework for Controllable Multi-Character Animation
[NO] 31/200 | Evaluating Frontier AI Agents as Autonomous Clinical Security Auditors
[NO] 32/200 | Ego-Dynamics-Augmented World Model for Autonomous Driving with Zero-Shot Cross-Chassis Adaptation
[NO] 33/200 | AnomExpert: Identifying and Selecting Anatomical Planes for Prenatal Ultrasound Anomaly Diagnosis
[NO] 34/200 | WNOJ-LIO: A White-Noise-on-Jerk Motion-Prior EKF for High-Dynamic LiDAR-IMU Fusion
[NO] 35/200 | Set-shifting Behavioral Test for Harnessed Agents
[NO] 36/200 | Self-Improving is Often Sudden: Enlightenment-style Finetuning for Large-Scale Models
[NO] 37/200 | Where Should RL Post-Training Compute Go? Model Size, Search, Learning, and Feedback
[NO] 38/200 | Change-Aware Self-Adaptive AI-Aided Kalman Filters With Neural Change Point Detection
[NO] 39/200 | Residual-Christoffel Sampling for Random Feature Collocation of Linear PDEs
[NO] 40/200 | Isometries between C$^*$-algebras with finite corank
[NO] 41/200 | Linear motion (R-FLEX) for minature 6.2 mm pitch optical fiber position robots with polar (R-theta) kinematics
[NO] 42/200 | Spectral Analysis and Liouville-Green Asymptotics for a Radial Sturm-Liouville Operator with Variable Coefficients
[NO] 43/200 | Marker-free deformable registration and fusion for augmented reality-guided positive margin localization during tumor resection surgery
[NO] 44/200 | Existence, Uniqueness, and Pathwise Regularity for Multidimensional Semilinear SPDEs with Locally Lipschitz Coefficients and Rough Initial Data
[NO] 45/200 | Vision-Based Obstacle Separation for Strawberry Harvesting in Clusters Using Hierarchical Reinforcement Learning
[NO] 46/200 | Differences between the uniform diameter two properties
[NO] 47/200 | RABBITS IV: Stellar feedback and SMBH merging time-scales in the sub-Milky Way mass regime
[NO] 48/200 | Kaleido: Algorithm-Hardware Co-Design for Video Diffusion Transformers by Exploiting Latent Space Correlations
[NO] 49/200 | MxGPS: Multiplex Graph Transformers for a Power Grid Foundation Model
[NO] 50/200 | Nonstandard likelihood-ratio limits under semidefinite rank constraints
[NO] 51/200 | Post-Training Shifts Confidence: A Three-Stage Analysis of How SFT, RL, and OPD Shape Pre-, Intra-, and Post-CoT Calibration
[NO] 52/200 | Regularity estimates in transport equations via heat flow and quantitative differentiation
[NO] 53/200 | RI/SMOM renormalization for lattice QCD: bilinear and three-quark operators
[NO] 54/200 | Contracting for Long-Duration Energy Storage in Incomplete Risk Markets
[NO] 55/200 | GRACE-DG: A Discontinuous Galerkin method-based code for general non-linear coagulation-fragmentation equations
[NO] 56/200 | Microscopic constitutive theory of stress overshoot, yielding, and strain hardening in amorphous materials
[NO] 57/200 | The weak maximizing property for $(L_p([0,1]),L_q([0,1]))$
[NO] 58/200 | Regularity of Manhattan manifolds and exact dimensionality for relatively Anosov groups
[NO] 59/200 | Cluster with Auctions for Vector Search
[NO] 60/200 | Interaction Density as a Behavioural Signature of Exhibit Type: A Minimal-Log Study from a Two-Venue Science Experience Centre
[NO] 61/200 | Self-supervised Speech Comparison for L2 Phone, Rhythm, and Intonation Scoring
[NO] 62/200 | On Milnor and Tjurina numbers of Pairs of Holomorphic Functions Germs
[NO] 63/200 | The different methods to calculate cluster membership probabilities
[NO] 64/200 | Multi-height Diagnosis of MHD Wave Periods and their Propagation in Solar Plages Using IRIS Observations
[NO] 65/200 | Volumetric Inverse Rendering via Neural Radiative Transfer
[NO] 66/200 | Norm Inflation for Inviscid and Fully Dissipative Boussinesq Systems in Supercritical Spaces
[NO] 67/200 | Social Simulations: from Agent-Based Modeling to Digital Twins
[NO] 68/200 | Proactive URLLC Adaptation for Connected Vehicles Through ML-Based Channel Prediction
[NO] 69/200 | Magnetic quadrupole current generation and accumulation in noncentrosymmetric systems
[NO] 70/200 | When Bots Join the Team: Bot Adoption and the Institutional Fabric of Open-Source Software Projects
