[2026-09-03 13:10:11] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-02
正在获取论文...
[arXiv] 2026-09-02 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[arXiv] 2026-09-02 | Competitive Market Behavior of LLMs
[arXiv] 2026-09-02 | RGB-to-IR image translation for infrared vehicle detection in unseen UAV domains
[arXiv] 2026-09-02 | ZETA: A Controlled Study of Zero-Shot Cross-Embodiment VLA Transfer for Tabletop Manipulation
[arXiv] 2026-09-02 | A finiteness theorem for geodesic Leech wheels
[arXiv] 2026-09-02 | Bimaterial Eshelby's inclusion problem for polyhedra
[arXiv] 2026-09-02 | Connectivity of HAPS-Based Solutions for Large-Scale Wireless Networks: A Percolation Theory Analysis
[arXiv] 2026-09-02 | Spatially Aware World Action Model via Geometric Latent Diffusion
[arXiv] 2026-09-02 | Efficient Simulation of Nonreciprocal Many-body Physics via Quantum Feedback
[arXiv] 2026-09-02 | Projected Subgradient Methods for a Class of Nonsmooth and Nonconvex Optimization Problems
[arXiv] 2026-09-02 | Power convexity of the torsion function on horo-convex domains in hyperbolic space
[arXiv] 2026-09-02 | Beauty is in the AI of the beholder: MLLMs systematically overrate facial attractiveness
[arXiv] 2026-09-02 | Algebraic study of quantum configuration spaces of decorated flags
[arXiv] 2026-09-02 | SR-Edit: Region-Aware Image Editing via Self-Refinement
[arXiv] 2026-09-02 | Flexibility of affine cones over blow-ups of weighted projective planes
[arXiv] 2026-09-02 | PragAlign: Feedback-Guided Pragmatic Alignment for Controlled Synthetic Dialogue Generation
[arXiv] 2026-09-02 | VAANI Noise Event Dataset: A curated spontaneous speech dataset annotated with timestamps for noise events
[arXiv] 2026-09-02 | Prominent Dimensional Effects on High-order Harmonic Generation in Strongly Correlated Electron Systems
[arXiv] 2026-09-02 | VIPS: Vehicle-Infrastructure Cooperative Planning Benchmark via Pseudo-Simulation
[arXiv] 2026-09-02 | Addressing Trust in AI Systems through Education: A Didactic Perspective
[arXiv] 2026-09-02 | Scalable Kronecker-Fisher Approximation: Efficient Hessian Analysis for Billion-Parameter Language Models Compression
[arXiv] 2026-09-02 | CACTUS: Mask-Guided Semantic Clean-Label Backdoors in Decentralized Federated Learning
[arXiv] 2026-09-02 | Polynomial Invariants for Probabilistic Transition Systems with Unbounded Support
[arXiv] 2026-09-02 | Towards One-for-All Robustness Across a Continuum of Threat Levels
[arXiv] 2026-09-02 | When Decodability Is Not Enough: Logical Validity Representations, Behavioral Dissociation, and Causal Tests in Language Models
[arXiv] 2026-09-02 | Deformations of the $\mathfrak{osp}(n|2)$-action on the superspace of symbols of differential operators on $\R^{1|n}$
[arXiv] 2026-09-02 | On the local well-posedness of the Benjamin-Ono-Zakharov-Kuznetsov equation
[arXiv] 2026-09-02 | A Two-Variable Zeta Function for a Parity-Perturbed Hofstadter Q-Recursion: The Exceptional t = -1 Slice and Gaussian Boundary Layers
[arXiv] 2026-09-02 | Membranes and Maps
[arXiv] 2026-09-02 | CA-OPD: Confidence-Aware On-Policy Distillation for Structured Visual Prediction
[arXiv] 2026-09-02 | Strictly solvable $d=4$ quantum field theory models with unitarity violation. Possible implications for baryon asymmetry of the Universe and dark matter
[arXiv] 2026-09-02 | Inside-out growth and the kiloparsec-scale star formation main sequence for low-surface-brightness disk galaxies in MaNGA
[arXiv] 2026-09-02 | 3D hybrid cellular Potts model with a discrete deformable fiber network: modeling cell contraction and extracellular matrix remodeling
[arXiv] 2026-09-02 | Surprises of Klein paradox
[arXiv] 2026-09-02 | Information Density Imbalance in Visual Object Detection
[arXiv] 2026-09-02 | NE-R1: Enhancing Named Entity Recognition Model via Reinforcement Learning
[arXiv] 2026-09-02 | Towards a Foundational Ontology for Identifying and Resolving Contradictions in Dialogue-based Human-Robot Interactions
[arXiv] 2026-09-02 | Collective Cell Fluidity Controls Active Prestress Transmission in Cell-Extracellular-Matrix Tissues
[arXiv] 2026-09-02 | Fair Stable Matching: A Nash Social Welfare Approach
[arXiv] 2026-09-02 | Fungal Memory and Minimal Cognition
[arXiv] 2026-09-02 | SonicCaps: Large-Scale Diverse and Fine-Grained Captioning for Improved Audio-Retrieval
[arXiv] 2026-09-02 | Toward High-Resolution Detection of Target Fragmentation: TEA-Sensitized NIT for Proton Therapy Applications
[arXiv] 2026-09-02 | ORB-SVM : An Innovative Hybrid Framework for Efficient Brain Tumor Detection from MRI Scans
[arXiv] 2026-09-02 | Surface brightness inhomogeneity on the helium-rich hot subdwarf in the X-ray binary HD 49798
[arXiv] 2026-09-02 | Boundary-Geometry-Driven Black Hole Formation in Vacuum
[arXiv] 2026-09-02 | Affine Copies of Three-Point Patterns in Sets of Integers
[arXiv] 2026-09-02 | Improved uncertainty representation for reducing artificial energy production in structured input-output stability analysis
[arXiv] 2026-09-02 | Meeting the Coming Wave: The Emerging Politics of AI and Work across 33 Parliaments
[arXiv] 2026-09-02 | SEAL: Reinforcing Global Safety in Mixture-of-Experts through Shared Expert ALignment
[arXiv] 2026-09-02 | If It Moves, Radar Knows: A Physics-Aware Radar Transformer for Class-Agnostic Moving-Object Detection
[arXiv] 2026-09-02 | Disjoint strong transitive operators on Hilbert C*-modules
[arXiv] 2026-09-02 | Lyapunov graphs of Non-singular Morse-Smale flows on $S^1 \times S^2$
[arXiv] 2026-09-02 | Retrosynthesis of Synthetic Media for Explainable AI Provenance Forensics
[arXiv] 2026-09-02 | CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents
[arXiv] 2026-09-02 | Quantization and process
[arXiv] 2026-09-02 | Scattered data interpolation on the torus by compactly supported multinode Shepard operators
[arXiv] 2026-09-02 | Bidirectional CFO Separation for Radial Velocity Estimation In 5G NR TDD V2X Links
[ACM] 2026-9-2 | Graph Attention Learning for Risk Early Warning in Grassroots Governance Using Multi Source Heterogeneous Data
[ACM] 2026-9-2 | PLM-Driven Teaching Resource Lifecycle Management Platform: Construction and Empirical Efficacy Study
[ACM] 2026-9-2 | Evaluation of the Quality of Environmental Accounting Information Disclosure Based on Deep Learning Theory: A Case Study of China Shenhua Enterprise
[ACM] 2026-9-2 | DA-CTransNet: A Transformer-CNN Hybrid Framework for Dermoscopy ImageSegmentation via Domain Adaptation and Cascaded Boundary Refinement
[ACM] 2026-9-2 | Public Acceptance Prediction of Vehicle-Battery Separation Insurance for Battery-Swapping New Energy Vehicles Using Random Forest Under the Background of Carbon Neutrality
[IEEE] 2026-9-2 | Establishing Confidence in Average Metrics
[IEEE] 2026-9-2 | AER-Bench: A Benchmark for Emotion Perception and Reasoning in Fine Art
[IEEE] 2026-9-2 | A Sarcomere-Inspired Magnetic Recruitment Array Actuator for Load-Adaptive Robotic Arm Actuation
[IEEE] 2026-9-2 | DIFedXGB: A Lightweight Privacy-Preserving XGB Framework for Vertical Federated Learning
[IEEE] 2026-9-2 | Application of Artificial Intelligence in the Processing of Hydrographic Data from a Single-Beam Echo Sounder to Optimise Depth Point Reduction and Generate a Digital Bathymetric Model_supp1-3729269.docx
[IEEE] 2026-9-2 | Limitations of Layer 2 Blockchain Solutions in Constrained Environments: Bridging the Physical Efficiency Gap
[IEEE] 2026-9-2 | Low-Sidelobe Beamforming for Cylindrical Conformal Arrays With IMM-Kalman Tracking and IRQM Dual-Ascent Optimization
[IEEE] 2026-9-2 | High-Performance P-Channel FDSOI MOSFETs via Modified Silicide-as-Diffusion-Source-Induced Dopant Segregation (M-SADS)
[IEEE] 2026-9-2 | A Synonymous Variational Perspective on the Rate-Distortion-Perception Tradeoff
[IEEE] 2026-9-2 | Enhancing Image Deblurring through Diffusion in Low-Frequency Latent Space
[IEEE] 2026-9-2 | San Francisco Bay Area Council Chapter Making an Impact [Society News]
[IEEE] 2026-9-2 | A Modular All-Solid-State Impedance-Matched Pulsed Power Generator Utilizing GaN Transistors
[IEEE] 2026-9-2 | Modeling and Quantifying the Influence of Personal Personality on Multi-platform Information Propagation Dynamics_supp1-3729866.docx
[IEEE] 2026-9-2 | Aluminum air bridges for integrated superconducting quantum circuits
[IEEE] 2026-9-2 | Cryptic Binding Site Prediction Using Equivariant Graph Neural Networks with Kolmogorov-Arnold Networks_supp1-3729577.docx
[IEEE] 2026-9-2 | A Confidence-Aware Semi-Supervised Learning Framework for Automatic Modulation Recognition
[IEEE] 2026-9-2 | Title Page
[IEEE] 2026-9-2 | A Compact Four-Port Dual-Polarized MIMO Antenna Using a Multifunctional Orthogonal Polarization Backplane
[IEEE] 2026-9-2 | An SISL Fed Circularly Polarized Antenna Based on M-MAM Technology for Terahertz Applications
[IEEE] 2026-9-2 | Role-Based Conflict Negotiation for Multi-Agent Cooperative Autonomous Driving via E-CARGO
[IEEE] 2026-9-2 | A Hybrid XGBoost–Random Forest Model for Fault Prediction in Semiconductor Manufacturing
[IEEE] 2026-9-2 | HC-DDA: Horizon Conditioned Dual Domain Adaptation for Few Shot Forecasting with SEMPO
[IEEE] 2026-9-2 | Anomaly Analysis for ILS Final Approach Using Clustering and LSTM-VAE
[IEEE] 2026-9-2 | A Spatial Attention Enhanced Underwater Coral Reef Bleaching Detection Method Based on YOLOv8
[IEEE] 2026-9-2 | FloKi: Efficient Network-Wide Flooding
[IEEE] 2026-9-2 | Design of a Ka-Band Mechanically Tunable Bandpass Filter based on Gap Waveguide
[IEEE] 2026-9-2 | Fake News Detection Based on Semantic Disentanglement and Cross-Layer Contrastive Learning
[IEEE] 2026-9-2 | Performance Evaluation for Flying Vehicle on Mars
[IEEE] 2026-9-2 | What is a Digital Twead? Multi-Modal Multi-Models for Holistic Engineering Governance
[IEEE] 2026-9-2 | Robust Safety-Critical Control of Planar Robotic Manipulators Under Disturbances
[IEEE] 2026-9-2 | Dimension-Reduced MLAO for Tri-State Irregular-Geometry Antenna Design
[IEEE] 2026-9-2 | Proof-of-Concept of a Load-Sensitive Steering Caster Using a Human-Ridden Platform Cart
[IEEE] 2026-9-2 | A Hierarchical Multi-Agent System for Automated RF Circuit Design: A 2.4-GHz Chebyshev Filter Case Study
[IEEE] 2026-9-2 | Autonomous Mobile Robot Navigation Using Adaptive Particle Filter
[IEEE] 2026-9-2 | Random-Access Preamble Detection in MIMO-OTFS Systems
[IEEE] 2026-9-2 | A Co-Design Framework for Clinician-Driven VR Psychosis Awareness Training: Scenario Modelling, Authoring, and Evaluation
[IEEE] 2026-9-2 | Latent Geometric Backbones for Resilient Greedy Routing in Hyperbolic Networks
[IEEE] 2026-9-2 | A Dual-Layer Low-Pass Frequency Selective Surface With Wideband Suppression
[IEEE] 2026-9-2 | A Low-Sidelobe Dual-Polarized Endfire Antenna Array
[IEEE] 2026-9-2 | Highly Selective Frequency-Selective Surface For High-Power Applications
[IEEE] 2026-9-2 | Evolutionary Algorithms for Feature Selection in Dysarthric Speech Recognition
[IEEE] 2026-9-2 | Design of Circularly Polarized Frequency-Scanning Antenna Based on SIW Series-Fed Network
[IEEE] 2026-9-2 | Deep Learning-Based Multimodal UGV and UAV Secure Command Relay System: An Active and Reinforcement Learning Approach
[IEEE] 2026-9-2 | Robustness Evaluation of Camera–4D Radar Fusion under Sensor Corruptions
[IEEE] 2026-9-2 | A 60 GHz Millimeter-Wave Radar System for Human Respiration Sensing Toward Phased-Array Applications
[IEEE] 2026-9-2 | Adaptive Continuous Wavelet Transform Optimized by Bayesian Algorithm for Rolling Bearing Fault Diagnosis
[IEEE] 2026-9-2 | Impact of Ionospheric Scintillation Parameters on the Performance and Integrity of SoL GPS/SBAS Receivers in GBAS CAT-I Operations
[IEEE] 2026-9-2 | The Dual-Channel Interaction Network with Adaptive Loss for Underwater Image Denoising
[IEEE] 2026-9-2 | A Set-Based Predictive Control Procedure Under Consideration of Functional and Extra-Functional Constraints
[IEEE] 2026-9-2 | O-RAN SMO Extension: Addressing the Challenges of Heterogeneity with UM-L
[IEEE] 2026-9-2 | Fast Shielding-Effectiveness Prediction of Square Ventilation Aperture Arrays Using a ResMLP
[IEEE] 2026-9-2 | A C/Ku Dual-Band Frequency-Reconfigurable Switchless Class-G Power Amplifier
[IEEE] 2026-9-2 | Off-Track Reduction for Non-Standard N-Trailers Along Backward-Followed Paths
[ACM] 2026-9-2 | Lightweight Dual-Modal Feature Fusion and Matching Algorithm for UAV Target Detection
[IEEE] 2026-9-2 | RAST 2026 Blank Page
[IEEE] 2026-9-2 | ICCCAS 2026 Author Index
[IEEE] 2026-9-2 | Nonlinear Arbitration for AI-Powered Human–Machine Systems: A Fused Distributional Approach_supp1-3722354.pdf
[IEEE] 2026-9-2 | Leakage-Guided Selective Threshold Homomorphic Aggregation for Privacy-Preserving Federated Learning
[IEEE] 2026-9-2 | Multi-Strategy RAG with ATT&amp;CK STIX Metadata-Enriched Embeddings for Technique Extraction
[IEEE] 2026-9-2 | Blind in a Changing Neighborhood: Data-Driven Distributed Output-Feedback Consensus Protocol for Multi-Agent Systems under Switching Topology
[IEEE] 2026-9-2 | Robust Heterogeneous Multi-Kernel Maximum Correntropy Unscented Kalman Filter for Nonlinear Control Systems under Non-Gaussian Noises
[IEEE] 2026-9-2 | Data-Driven Control of Continuous-Time Systems: A Synthesis-Operator Approach
[IEEE] 2026-9-2 | Empower Yourself! IEEE PELS
[IEEE] 2026-9-2 | DS-MRNav: Distributed Multi-Robot Navigation With Static Obstacles Via a Decoupled-State Dual-Stream Framework
[IEEE] 2026-9-2 | QoE-Foresight: Performance-Aware Drift Detection and Self-Healing for Adaptive Video Streaming QoE Prediction Systems
[IEEE] 2026-9-2 | Table of Contents
[IEEE] 2026-9-2 | SW-YOLOv5 Based ROI Compression for Intracranial hemorrhage CT Images with DICOM 3.0 Compatibility in Remote Medical Applications
[ACM] 2026-9-2 | Human-AI Co-Creation in Visual Communication Design: A Framework and Empirical Study
[ACM] 2026-9-2 | Application Analysis of Modern Computer Technology in Agricultural Economic Management
[ACM] 2026-9-2 | Detecting High-Potential SMEs with Heterogeneous Graph Neural Networks
[ACM] 2026-9-2 | Optimization of Interactive Models in Ideological and Political Education Classrooms Based on Big Data Analysis
[ACM] 2026-9-2 | Research on Collaborative Education Support System for Industry-Education Integration in Higher Vocational Colleges under the New “Double High” Plan
[ACM] 2026-9-2 | Dynamic Weight Fusion Mechanism in Neural Machine Translation via Multilingual Context Modeling
[ACM] 2026-9-2 | Multimodal Transformer-Based Automated Metadata Generation and Cataloging Framework for Digital Libraries
[ACM] 2026-9-2 | Hybrid Financial Time Series Model Integrating VMD-STFT Analysis and Attention Mechanisms
[IEEE] 2026-9-2 | Integrated Design of Ridge Waveguide Tight and Loose Coupler
[IEEE] 2026-9-2 | Optimizing Age of Information in Vehicular Edge Computing with Federated Graph Neural Network Multi-Agent Reinforcement Learning
[IEEE] 2026-9-2 | Low-Power Gesture Recognition and Airborne Object Sensing Using A Sparse Convex PMUT Array_supp1-3727994.pdf
[IEEE] 2026-9-2 | Unified Outage and Throughput Analysis for NOMA–MIMO Keyhole Channels under Imperfect SIC
[IEEE] 2026-9-2 | Uni-PrevPredMap: Extending PrevPredMap to a Unified Framework of Prior-Informed Modeling for Online Vectorized HD Map Construction_supp1-3729481.mp4
[IEEE] 2026-9-2 | MPECT: Main Peak Extraction for Unambiguous Code Tracking in OFDM-BOC Navigation Signals with a Two-Stage DLL Architecture
[IEEE] 2026-9-2 | Architecting and Orchestrating Memory-Proximate SIMT Cores: A Quantitative Design Space Exploration for Processing-near-Memory in GPUs
[IEEE] 2026-9-2 | ATRS: Adaptive Trajectory Re-Splitting Via a Shared Neural Policy for Parallel Optimization
[IEEE] 2026-9-2 | Towards Unified Neurosymbolic Reasoning on Knowledge Graphs
[IEEE] 2026-9-2 | High-Throughput RTL Design of a Streaming ZP-OTFS Wideband Channel Estimator
[IEEE] 2026-9-2 | Reproducing CORRECT for Scientific Claim Verification on Check-COVID: Stability and Sensitivity Analysis
[IEEE] 2026-9-2 | Design of Transceiver Integrated Amplifier Antenna Based on Single Vivaldi Antenna
[IEEE] 2026-9-2 | Design of High-Efficiency Power Amplifier Using Surrogate-Model-Based Optimization
[IEEE] 2026-9-2 | NeuroVox-CP: Self-Supervised EMG–Speech Fusion for Motor Function Prediction
[IEEE] 2026-9-2 | Numerical Investigation of Secondary Injection Effects on Multiple Dual Bell Nozzle Configurations
[IEEE] 2026-9-2 | Research on a ResNet34-Based Fundus Image Classification Method and System Application for Eye Diseases
[IEEE] 2026-9-2 | Performance Evaluation of LLMs for Generating and Enriching Application Behavioural Automata
[IEEE] 2026-9-2 | Comparative Performance Analysis of SDN/OpenFlow POX Versus OSPF Traditional Networking
[IEEE] 2026-9-2 | Development of a Digital Twin for Automated Production of Ayran and Sary Irimshik Based on SCADA and IoT Technologies
[IEEE] 2026-9-2 | GyroStep: A Portable IMU-Based System for Knee Flexion Measurement and Real-Time Analysis
共写入 200 条记录，保存到 papers/paper2026-09-02.json。
论文获取成功，文件路径: papers/paper2026-09-02.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | A Survey of Decentralized Physical Infrastructure Network,Research Directions, and Open Challenges
[NO] 2/200 | Groups of Transverse Stratifications and the Hierarchy of Configuration Spaces
[NO] 3/200 | Synergistic Information Disentanglement for Omni-modal Slide Representation Learning in Computational Pathology
[NO] 4/200 | text2ql: Multi-Target Natural Language Querying via a Language-Agnostic Intermediate Representation
[NO] 5/200 | A Unified Rate-Distortion Perspective on Vector, Product, and Scalar Quantization
[NO] 6/200 | Git4Data: Database-Native Version Control for AI Agents
[NO] 7/200 | Contact fundamental forms and adjoint varieties
[NO] 8/200 | Conformal Ricci Curvature and Spectral Estimates
[NO] 9/200 | READY or Not: Reliable Enterprise Agent Deployment
[NO] 10/200 | Compositional Spectral Prompts for LLM-based Online Time Series Forecasting
[NO] 11/200 | Beyond Outcome Gaps: Process-Aware Fairness Diagnosis for LLM-based Multi-Agent Decision Systems
[NO] 12/200 | Calculating the squeezed bispectrum in stochastic inflation by Monte Carlo simulation
[NO] 13/200 | Lightweight Soft X-ray Imager (LSXI) with glass-based coded mask
[NO] 14/200 | HyGRAIL: Cost-Aware and Evidence-Grounded Scientific Hypothesis Discovery over Knowledge Graphs
[NO] 15/200 | Privacy Washing: Detecting Internal Contradictions in Privacy Policies
[NO] 16/200 | Phase-delays shape multistability and basin sizes in Kuramoto networks: analytical estimates from network structure
[NO] 17/200 | Analytic Maximal Violation of Extended MABK Inequalities for Generalized GHZ States
[NO] 18/200 | Act More, Decide Less: Skill-Guided Adaptive Action Chunking for Long-Horizon LLM Agents
[NO] 19/200 | Implicit Manipulation for Skill Selection in LLM Agents with Semantic Matching
[NO] 20/200 | Search for the baryonic decay $ D_{s}^{*+} \to \ p \bar{n} $
[YES] 21/200 | Pinching-Antenna Systems-enabled Secure ISAC: A Two-Timescale Optimization Framework
[NO] 22/200 | Source-Free Class Relearning: Diagnosing Forgetting in Class Unlearning
[NO] 23/200 | Insights on Time-consistent Deep Hedging under Elicitable Dynamic Risk Measures
[NO] 24/200 | Seed-Anchored Budget-Bounded Graph Rendering for Question Answering on Industry-Standard Power-Grid Information and Exchange Models
[NO] 25/200 | Symmetry-enforced third-order nonlinear thermal Hall effects in altermagnets
[NO] 26/200 | Train What You Deploy: Closing the MLP Reachability Gap in Low-Rank Clone Distillation
[NO] 27/200 | InstEditSeg: Instruction-Driven Image Editing for Polyp and Skin Lesion Segmentation
[NO] 28/200 | ClaimReceipt: Verifying Evidence Sufficiency and Coverage in Agent Evaluations
[NO] 29/200 | Rainbow Berge Hamiltonicity in edge-colored random $k$-uniform hypergraphs
[NO] 30/200 | Benchmarking Language Models for Statistical Problem Formulation
[NO] 31/200 | Dimension-Reduced ADP for Real-Time Microgrid Operation with Massive Air-Conditioning Loads under Multiple Uncertainties
[NO] 32/200 | Sequential Certification of Threshold Decisions in Rare-Event Risk Prediction
[NO] 33/200 | A Unified Particle Filter LSTM for Data-Driven Process Simulation
[NO] 34/200 | Data-Efficient Networks for Multi-Contrast MRI Reconstruction based on a Generalized Content/Style Prior
[NO] 35/200 | Merging Modal Clusters via Significance Assessment
[NO] 36/200 | FlashKAN: B-Spline KANs via Truncated Power Form
[NO] 37/200 | When Fibonacci and Lucas Meet Smith: A Computational Exploration
[NO] 38/200 | Source Distribution Estimation by Posterior Averaging
[NO] 39/200 | Ruelle--Pollicott Theory for Metastable Systems: A Unified Framework for Tipping Transitions
[NO] 40/200 | Metrization of Quasi-Uniformities, Powerset Monads, and Qualitative Robustness Analysis
[NO] 41/200 | Minimal Radial Sub-Gamma Envelopes for Infinitely Divisible Random Vectors
[NO] 42/200 | On the occurrence of congruence multiplicities between Ramanujan's theta functions
[NO] 43/200 | Extremal Asymmetric Depth of Planar Graphs and Hidden Near-Mirror Symmetries of IPR Fullerenes
[NO] 44/200 | Measurement of inelastic scattering $Λ(\overlineΛ)+p\toΣ^{0}(\overlineΣ^{0})+p$ via $e^+e^-\to J/ψ\toΛ\overlineΛ$
[NO] 45/200 | Competitive Market Behavior of LLMs
[NO] 46/200 | RGB-to-IR image translation for infrared vehicle detection in unseen UAV domains
[NO] 47/200 | ZETA: A Controlled Study of Zero-Shot Cross-Embodiment VLA Transfer for Tabletop Manipulation
[NO] 48/200 | A finiteness theorem for geodesic Leech wheels
[NO] 49/200 | Bimaterial Eshelby's inclusion problem for polyhedra
[YES] 50/200 | Connectivity of HAPS-Based Solutions for Large-Scale Wireless Networks: A Percolation Theory Analysis
[NO] 51/200 | Spatially Aware World Action Model via Geometric Latent Diffusion
[NO] 52/200 | Efficient Simulation of Nonreciprocal Many-body Physics via Quantum Feedback
[NO] 53/200 | Projected Subgradient Methods for a Class of Nonsmooth and Nonconvex Optimization Problems
[NO] 54/200 | Power convexity of the torsion function on horo-convex domains in hyperbolic space
[NO] 55/200 | Beauty is in the AI of the beholder: MLLMs systematically overrate facial attractiveness
[NO] 56/200 | Algebraic study of quantum configuration spaces of decorated flags
[NO] 57/200 | SR-Edit: Region-Aware Image Editing via Self-Refinement
[NO] 58/200 | Flexibility of affine cones over blow-ups of weighted projective planes
[NO] 59/200 | PragAlign: Feedback-Guided Pragmatic Alignment for Controlled Synthetic Dialogue Generation
[NO] 60/200 | VAANI Noise Event Dataset: A curated spontaneous speech dataset annotated with timestamps for noise events
[NO] 61/200 | Prominent Dimensional Effects on High-order Harmonic Generation in Strongly Correlated Electron Systems
[NO] 62/200 | VIPS: Vehicle-Infrastructure Cooperative Planning Benchmark via Pseudo-Simulation
[NO] 63/200 | Addressing Trust in AI Systems through Education: A Didactic Perspective
[NO] 64/200 | Scalable Kronecker-Fisher Approximation: Efficient Hessian Analysis for Billion-Parameter Language Models Compression
[NO] 65/200 | CACTUS: Mask-Guided Semantic Clean-Label Backdoors in Decentralized Federated Learning
[NO] 66/200 | Polynomial Invariants for Probabilistic Transition Systems with Unbounded Support
[NO] 67/200 | Towards One-for-All Robustness Across a Continuum of Threat Levels
[NO] 68/200 | When Decodability Is Not Enough: Logical Validity Representations, Behavioral Dissociation, and Causal Tests in Language Models
[NO] 69/200 | Deformations of the $\mathfrak{osp}(n|2)$-action on the superspace of symbols of differential operators on $\R^{1|n}$
[NO] 70/200 | On the local well-posedness of the Benjamin-Ono-Zakharov-Kuznetsov equation
