[2026-07-04 10:50:25] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | Device-to-Architecture Co-Design of Monolithic 3D FPGA Using 2D Transistor
[IEEE] 2026-7-3 | A 5.7-6.8GHz Capacitively-Coupled Series-Assisted Parallel-Resonance VCO Achieving −148.8 dBc/Hz PN, 193.5 FoM, and 202.0 FoM
                    <sub>A</sub>
                    at 10MHz Offset
[IEEE] 2026-7-3 | Scalable and Stackable 2S1M SOT-MRAM Memory Cell Enabled by Two-Terminal Write and Read SNGCT Chalcogenide Selectors
[IEEE] 2026-7-3 | Flexible Monolithic 3D Integration of RRAM-based CIM, CNT CMOS Circuits and IGZO FET-based Sensor and Display for Augmented Reality Contact Lenses
[IEEE] 2026-7-3 | Evaluating the Potential of C-Band Radar as a Substitute for Optical Data to Monitor FAO-56 Crop Coefficients
[IEEE] 2026-7-3 | Enabling the Robotic Revolution: Bridging Performance Gap Between Present and Future
[IEEE] 2026-7-3 | 3D Orthogonal Die Stacking Technology for DRAM-on-GPU Integration Using Contactless Die-to-Die Interface
[IEEE] 2026-7-3 | Enhancing Maternal Health Risk Prediction Using Machine Learning–Based Data Augmentation
[IEEE] 2026-7-3 | Optical Communication Demands Induced by Front-View Cameras of Intelligent Driving Vehicles
[IEEE] 2026-7-3 | Fundamental Delay and Reliability Guarantees for Emergency UAV
[IEEE] 2026-7-3 | Detection of Myocardial Fibrosis Based on Cardiac Electrophysiological Characteristics
[IEEE] 2026-7-3 | Real-Time Person Re-Identification in CCTV Using YOLOv8, Bytetrack and OSNet
[IEEE] 2026-7-3 | A $\mathbf{2 n m}$ 37.4 Mbit $/ \text{mm}^{2}$ Dual-Rail SRAM with Row-Access Aware Read Tracking and Write Assist Circuits Enabling 2.28 pJ/Access Energy Efficient Operation
[IEEE] 2026-7-3 | Direct Synthesis of Multi-Stacked Channels and Doped Source/Drains for TMD CFETs
[IEEE] 2026-7-3 | Custom Spectacle Frame Modeling Recommendation Through Exact Facial Feature Analysis
[IEEE] 2026-7-3 | Uniform and Direction-Controllable Metal-Induced Lateral Crystallization for 3D NAND Flash Memory via $\text{NiSi}_{2}(111)$-Oriented Seed Layer Transfer
[IEEE] 2026-7-3 | An Efficient Single-Input Multi-Output Forward Converter for Electric Vehicle Charging Applications
[IEEE] 2026-7-3 | Bumpless Transfer Filtering for Continuous-Time Switched Systems with Admissible Dual-Modal Persistent Dwell-Time
[ACM] 2026-7-4 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[ACM] 2026-7-4 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[ACM] 2026-7-4 | Digital Twins for Science and Industry
[ACM] 2026-7-4 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[ACM] 2026-7-4 | Blockchain Reputation Oracles: An MCP-Based Study
[ACM] 2026-7-3 | Proceedings of the 2026 Australasian Computer Science Week
[ACM] 2026-7-3 | A Sensor-Based Framework for Early Hazard Detection of Lithium-Ion Battery Incidents in Smart Waste Collection Fleets
[ACM] 2026-7-3 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[ACM] 2026-7-3 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[ACM] 2026-7-3 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[ACM] 2026-7-3 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[IEEE] 2026-7-3 | IEEE Journal on Flexible Electronics Publication Information
[IEEE] 2026-7-3 | Gridless Variational Bayesian DoA Estimation for Few-Bit Antenna Arrays
[IEEE] 2026-7-3 | Spinal Lesion Detection in X-Ray Images via Uncertainty-Guided Classification and Localization
[IEEE] 2026-7-3 | Energy Efficiency Improvement in Dual-Motor EVs via Simultaneous Force-Current Allocation
[IEEE] 2026-7-3 | Advertisers Index
[IEEE] 2026-7-3 | SNR Analysis and Channel Estimation for Multi-UAV Near-field Communications
[IEEE] 2026-7-3 | ISAC Enabled Anti-UAV: Joint Beamforming and Trajectory Design for Multi-UAVs
[IEEE] 2026-7-3 | From Semantics to Paths: Carrier-Aware Global Emergency Routing via Parallel Road Network and Land-Cover Inference
[IEEE] 2026-7-3 | Urban-Rural Bus-Assisted Drone Logistics Delivery With Time Window Considerations
[IEEE] 2026-7-3 | Effects of Long-Lead Monitoring Requests on Driver Trust, Forward Gaze Rate, and Takeover Performance in Level 3 Automated Driving
[IEEE] 2026-7-3 | Copyright Page
[ACM] 2026-7-3 | Proceedings of the 14th International Workshop on Genetic Improvement
[IEEE] 2026-7-3 | A16 Angstrom-Class CMOS Technology Featuring Enhanced Nanosheet Transistors with Super Power Rail (Backside Direct Contact Power Delivery) for AI and HPC Applications
[IEEE] 2026-7-3 | Digital Twin-Based Cyber Threat Detection in Digital Power Systems with Multidimensional Telemetry
[IEEE] 2026-7-3 | High Efficiency 1D - CNN for Vibration Based Road Surface Classification
[IEEE] 2026-7-3 | An Agentic AI Control Plane for 6G Network Slice Orchestration, Monitoring, and Trading
[IEEE] 2026-7-3 | IoT Object Integrity Self-Management
[IEEE] 2026-7-3 | Optimizing Wireless Multimedia Task Offloading in UAV-LEO Networks: A Bio-inspired Hybrid Approach
[IEEE] 2026-7-3 | Artificial Bee Colony based Energy Management System of Charging Station for Electric Vehicles with Machine Learning Technique
[IEEE] 2026-7-3 | ANFIS-Based Bidirectional Intelligent Power Management for EV-Integrated Hybrid Solar–Wind DC Micro grids
[IEEE] 2026-7-3 | Sirius: A Dual-Chiplet System for Multimodal Embodied AI with Heterogeneous RVV Cores, Dense and Sparse Accelerators
[IEEE] 2026-7-3 | A Diagnosis of Pneumonia by Multi-View Attentionenhanced Multi-domain Cross-domain Chest X-Ray Representation
[IEEE] 2026-7-3 | Three-Dimensional Surface Scanning for the Analysis of External Forearm Geometry
[IEEE] 2026-7-3 | A Fan-Shaped Ultra-Wideband Antenna for Short Range Communications
[IEEE] 2026-7-3 | Design and Prototype Evaluation of a Progressive Metadata-Driven Architecture for Encrypted C2 Detection in Enterprise Networks
共写入 100 条记录，保存到 papers/paper2026-07-03.json。
论文获取成功，文件路径: papers/paper2026-07-03.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 2/100 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[NO] 3/100 | Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics
[NO] 4/100 | Enhancing Blockchain Robustness through Efficient Feedback-Driven Chaos Engineering
[NO] 5/100 | GDE: A Generative Diffusion Equalizer for ICSI-Free Semantic Communications in SAGINs
[NO] 6/100 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp4-3706679.docx
[NO] 7/100 | Magnetic-Mechanical Response Mechanism and Quantitative Stress Characterization Method for Pipelines under Lateral Landslide Loads
[NO] 8/100 | Table of Contents
[NO] 9/100 | Title Page
[NO] 10/100 | Self-Organizing Railway Traffic Management
[NO] 11/100 | Adaptive Dual-Layer DRL-Based AI Model Placement, Task Scheduling, and Resource Allocation for Collaborative Edge Inference and Training
[NO] 12/100 | Differential Privacy in Generative AI Agents: Analysis and Optimal Tradeoffs
[NO] 13/100 | Performance Evaluation of a BGO semi-monolithic detector for preclinical PET imaging
[NO] 14/100 | DRAU-Net: Diffusion-based Residual Attention U-Net for Building Image Segmentation_supp1-3708834.pdf
[NO] 15/100 | Predicting value of measurement standards using Monte Carlo method
[NO] 16/100 | Sponsors
[NO] 17/100 | Spotting Setting-Related UI Display Bugs in Android Apps
[NO] 18/100 | Distributed Acoustic Sensing for Vehicle Trajectory Tracking: A Model-Based Framework and A Single-Vehicle Field Validation
[NO] 19/100 | A Switched Inductor-Capacitor Power Amplifier Supporting 100MHz 256-QAM
[NO] 20/100 | Single-Phase Rectifier for a 3.3 kW Pulse Power Load
[NO] 21/100 | A Dual-Band Bandpass Filter with Two Symmetrically Folded Stepped Impedance Resonators and Two Centrally Protruded Openended Stubs for the Application in WLAN Systems
[NO] 22/100 | Streamlined Parameter Estimation for Induction Motors Using an Auto-Tuning Approach with DSP Integration
[NO] 23/100 | A Novel Boundary Aware Semi-Supervised Adversarial Learning Framework for Region-of-Interest Extraction from High Resolution Remote Sensing Images
[NO] 24/100 | UzbNerCorpus: A Named Entity Recognition Corpus Creation System For The Uzbek Language
[NO] 25/100 | Land Use Approach for High-Resolution Spatial Modeling of Industrial Emissions
[NO] 26/100 | EEG-Based Sleep Stage Classification Using Ensemble Method with Cross-Validation
[NO] 27/100 | Intelligent System for Monitoring Copper Content in Slag for Pyrometallurgical Production Based on ML Model Training
[NO] 28/100 | Inter-Operator Interference Assessment for 5G Networks at 2.1GHz in High-Speed Railway Scenarios
[NO] 29/100 | Development of a Deep Anisotropic Reactive-Ion Etching Process for Silicon to Support the Fabrication of Microfluidic Devices
[NO] 30/100 | A Cross-Condition Analysis of Current Profile Impact on Lithium-Ion Battery Model Parameterization
[NO] 31/100 | Enhancing PV Efficiency: Single-Stage, Five-Level Transformer-Less Inverter with Modular Structure
[NO] 32/100 | DXInject: GPU-Based Payload Transport and Execution via DirectX Compute Shaders
[NO] 33/100 | Circle Fitting by a Weighted Least Squares Method: An Analysis and New Improvements
[NO] 34/100 | Microwave Monolithic Digital Step Attenuator Sections Layout Synthesis Based on Evolutionary Algorithms
[NO] 35/100 | A Novel Approach of Wireless Connection in Multichannel Receive MRI Coils
[NO] 36/100 | Compact Modeling of the Capacitance Temperature Dependence of a Hyperabrupt P-N Junction
[NO] 37/100 | $H_{\infty}$ Optimal Output Regulation of Unknown Linear Systems via an Adaptive Dynamic Programming and Internal Model
[NO] 38/100 | ESP32 Edge Framework-Based IoT-Powered Smart Battery Monitoring and Safety System with Multi-Sensor Protection
[NO] 39/100 | Automatic Color Identification System Using Optical Prototype and Artificial Intelligence
[NO] 40/100 | Mapping Burned Areas with Remote Sensing Techniques: A GIS Based Study of the 2025 Monte Sara Forest Fire (Sicily, Italy)
[NO] 41/100 | Development of Combined Interpretable Topic Classification Algorithm for Uzbek News
[NO] 42/100 | Neural Network Solutions for Forecasting and Managing Workforce Flows for the Russian Arctic Zone: An Integrated Graph-Transformer Approach
[NO] 43/100 | Smart-MQTT: QoS-Adaptive MQTT Middleware for Energy Efficient IoT Systems
[NO] 44/100 | Communication Prior Guided Multimodal Framework for Open Set Modulation Recognition: A Semantic Perspective
[NO] 45/100 | Interleaved Multiple Chirp Rate Modulation for Satellite Internet of Things Applications
[NO] 46/100 | Highly Available Distributed VPN Architecture in Cloud-Native Environments: 5G Edge Integration Through API-Driven Orchestration
[NO] 47/100 | Device-to-Architecture Co-Design of Monolithic 3D FPGA Using 2D Transistor
[NO] 48/100 | A 5.7-6.8GHz Capacitively-Coupled Series-Assisted Parallel-Resonance VCO Achieving −148.8 dBc/Hz PN, 193.5 FoM, and 202.0 FoM
                    <sub>A</sub>
                    at 10MHz Offset
[NO] 49/100 | Scalable and Stackable 2S1M SOT-MRAM Memory Cell Enabled by Two-Terminal Write and Read SNGCT Chalcogenide Selectors
[NO] 50/100 | Flexible Monolithic 3D Integration of RRAM-based CIM, CNT CMOS Circuits and IGZO FET-based Sensor and Display for Augmented Reality Contact Lenses
[NO] 51/100 | Evaluating the Potential of C-Band Radar as a Substitute for Optical Data to Monitor FAO-56 Crop Coefficients
[NO] 52/100 | Enabling the Robotic Revolution: Bridging Performance Gap Between Present and Future
[NO] 53/100 | 3D Orthogonal Die Stacking Technology for DRAM-on-GPU Integration Using Contactless Die-to-Die Interface
[NO] 54/100 | Enhancing Maternal Health Risk Prediction Using Machine Learning–Based Data Augmentation
[NO] 55/100 | Optical Communication Demands Induced by Front-View Cameras of Intelligent Driving Vehicles
[NO] 56/100 | Fundamental Delay and Reliability Guarantees for Emergency UAV
[NO] 57/100 | Detection of Myocardial Fibrosis Based on Cardiac Electrophysiological Characteristics
[NO] 58/100 | Real-Time Person Re-Identification in CCTV Using YOLOv8, Bytetrack and OSNet
[NO] 59/100 | A $\mathbf{2 n m}$ 37.4 Mbit $/ \text{mm}^{2}$ Dual-Rail SRAM with Row-Access Aware Read Tracking and Write Assist Circuits Enabling 2.28 pJ/Access Energy Efficient Operation
[NO] 60/100 | Direct Synthesis of Multi-Stacked Channels and Doped Source/Drains for TMD CFETs
[NO] 61/100 | Custom Spectacle Frame Modeling Recommendation Through Exact Facial Feature Analysis
[NO] 62/100 | Uniform and Direction-Controllable Metal-Induced Lateral Crystallization for 3D NAND Flash Memory via $\text{NiSi}_{2}(111)$-Oriented Seed Layer Transfer
[NO] 63/100 | An Efficient Single-Input Multi-Output Forward Converter for Electric Vehicle Charging Applications
[NO] 64/100 | Bumpless Transfer Filtering for Continuous-Time Switched Systems with Admissible Dual-Modal Persistent Dwell-Time
[NO] 65/100 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[NO] 66/100 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[NO] 67/100 | Digital Twins for Science and Industry
[NO] 68/100 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[NO] 69/100 | Blockchain Reputation Oracles: An MCP-Based Study
[NO] 70/100 | Proceedings of the 2026 Australasian Computer Science Week
[NO] 71/100 | A Sensor-Based Framework for Early Hazard Detection of Lithium-Ion Battery Incidents in Smart Waste Collection Fleets
[NO] 72/100 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[NO] 73/100 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[NO] 74/100 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[NO] 75/100 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[NO] 76/100 | IEEE Journal on Flexible Electronics Publication Information
[NO] 77/100 | Gridless Variational Bayesian DoA Estimation for Few-Bit Antenna Arrays
[NO] 78/100 | Spinal Lesion Detection in X-Ray Images via Uncertainty-Guided Classification and Localization
[NO] 79/100 | Energy Efficiency Improvement in Dual-Motor EVs via Simultaneous Force-Current Allocation
[NO] 80/100 | Advertisers Index
[YES] 81/100 | SNR Analysis and Channel Estimation for Multi-UAV Near-field Communications
[YES] 82/100 | ISAC Enabled Anti-UAV: Joint Beamforming and Trajectory Design for Multi-UAVs
[NO] 83/100 | From Semantics to Paths: Carrier-Aware Global Emergency Routing via Parallel Road Network and Land-Cover Inference
[NO] 84/100 | Urban-Rural Bus-Assisted Drone Logistics Delivery With Time Window Considerations
[NO] 85/100 | Effects of Long-Lead Monitoring Requests on Driver Trust, Forward Gaze Rate, and Takeover Performance in Level 3 Automated Driving
[NO] 86/100 | Copyright Page
[NO] 87/100 | Proceedings of the 14th International Workshop on Genetic Improvement
[NO] 88/100 | A16 Angstrom-Class CMOS Technology Featuring Enhanced Nanosheet Transistors with Super Power Rail (Backside Direct Contact Power Delivery) for AI and HPC Applications
[NO] 89/100 | Digital Twin-Based Cyber Threat Detection in Digital Power Systems with Multidimensional Telemetry
[NO] 90/100 | High Efficiency 1D - CNN for Vibration Based Road Surface Classification
[NO] 91/100 | An Agentic AI Control Plane for 6G Network Slice Orchestration, Monitoring, and Trading
[NO] 92/100 | IoT Object Integrity Self-Management
[YES] 93/100 | Optimizing Wireless Multimedia Task Offloading in UAV-LEO Networks: A Bio-inspired Hybrid Approach
[NO] 94/100 | Artificial Bee Colony based Energy Management System of Charging Station for Electric Vehicles with Machine Learning Technique
[NO] 95/100 | ANFIS-Based Bidirectional Intelligent Power Management for EV-Integrated Hybrid Solar–Wind DC Micro grids
[NO] 96/100 | Sirius: A Dual-Chiplet System for Multimodal Embodied AI with Heterogeneous RVV Cores, Dense and Sparse Accelerators
[NO] 97/100 | A Diagnosis of Pneumonia by Multi-View Attentionenhanced Multi-domain Cross-domain Chest X-Ray Representation
[NO] 98/100 | Three-Dimensional Surface Scanning for the Analysis of External Forearm Geometry
[NO] 99/100 | A Fan-Shaped Ultra-Wideband Antenna for Short Range Communications
[NO] 100/100 | Design and Prototype Evaluation of a Progressive Metadata-Driven Architecture for Encrypted C2 Detection in Enterprise Networks
筛选完成：共 100 篇；Yes = 3 篇；已保存到 papers/select_paper2026-07-03.json。
邮件发送成功！
[2026-07-04 11:05:34] 任务执行成功！
