[2026-04-08 10:02:51] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-07
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202604070000+TO+202604072359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-4-7 | Analyzing Deviations from Monotonic Trends through Database Repair
[IEEE] 2026-4-7 | Joint Radio-Computing Resource Allocation Modeling for Next-Generation Networks
[IEEE] 2026-4-7 | Multi-Regional Neighborhood Spatio-Temporal Dynamics for Crop Yield Prediction
[IEEE] 2026-4-7 | Federated Learning for Early Detection of Diabetic Retinopathy in Distributed Healthcare Systems
[IEEE] 2026-4-7 | Relai — AI for Disaster Response and Relief Using Random Forest Regression for Faster Response and Alerting
[IEEE] 2026-4-7 | High Performance Convolutional Neural Network for Brain Tumour Detection from MRI Images
[IEEE] 2026-4-7 | Comparing Neural Architectures for English-Spanish Machine Translation: From LSTM to Transformer
[IEEE] 2026-4-7 | Hierarchical Feature Integration Framework for Software Defect Prediction: Combining Syntactic Structure Mining with Neural Code Representations
[IEEE] 2026-4-7 | Full-Wave Simulation and Experimental Validation of Antennas Using Complex RF Components
[IEEE] 2026-4-7 | Software Reliability Growth Across Multiple Releases Considering Fault Removal Efficiency, and Error Generation
[IEEE] 2026-4-7 | On the Problem of Interpretability of Neural Algorithms for Predicting Microscopic Traffic Flow Data
[IEEE] 2026-4-7 | A Survey on Privacy-Preserving Clustering Techniques: From K-Anonymity to Federated Learning
[IEEE] 2026-4-7 | DualFusion SwinConv-UNet++: A Hybrid CNN–Transformer Framework for Thyroid Ultrasound Image Segmentation
[IEEE] 2026-4-7 | Machine Learning Approaches for EMG Signal Classification to Predict Hand Gesture
[IEEE] 2026-4-7 | Wideband Metamaterial Absorber Based on Polylactic Acid for Stealth Technology
[IEEE] 2026-4-7 | Passive Fingerprinting of ICS Devices Using Aggregates of Modbus Packets
[IEEE] 2026-4-7 | Quantum-Inspired Sparse Bayesian Learning Framework for Ultra-Reliable Spectrum Sensing in Low-SNR Cognitive Radio Networks
[IEEE] 2026-4-7 | H-OTFS: An Anti-Jamming Transmission Scheme for OTFS via Hadamard Spreading
[IEEE] 2026-4-7 | Hello-Id: Honeypot Enabled Deep Learning Framework for Intrusion Detection
[IEEE] 2026-4-7 | Suicide Prediction Using Machine Learning on Assamese Language
[IEEE] 2026-4-7 | Athercare: Unified AI System for Health Intelligence in Real Time
[IEEE] 2026-4-7 | Universal Onboard Complex of an Unmanned Ground Vehicle
[IEEE] 2026-4-7 | Mitigation of Crosstalk of On-Chip Antenna in RFIC Using Dual Guard Band Method
[IEEE] 2026-4-7 | Design and Analysis of a Stack-Enhanced LECTOR-Based Power Gating Scheme with PMOS Sleep Transistors
[IEEE] 2026-4-7 | A Deep Reinforcement Learning-Based Dynamic Queue Management Approach for Network Traffic Scheduling
[IEEE] 2026-4-7 | A Fused Ensemble Learning Approach for Early Heart Disease Prediction
[IEEE] 2026-4-7 | MediVault - Your Medical Wallet
[IEEE] 2026-4-7 | SnapClean: Garbage Violation Reporting and Monitoring System
[IEEE] 2026-4-7 | Multi-Resolution Fall Transformer: A Dual-Branch Transformer for Wrist-IMU Fall Detection Using WEDA-FALL and FallAllD Datasets
[IEEE] 2026-4-7 | Electricity Rate Analysis for Remote Alaskan Microgrid Communities: Impact of Renewable Energy Integration and Electrification
[IEEE] 2026-4-7 | Interleaved Luo Converter-Fed Electric Vehicle Battery Charger Integrated with Renewable Energy
[IEEE] 2026-4-7 | Intelligent Air Quality Forecasting and Pollution Prediction using Hybrid Machine Learning Algorithm
[IEEE] 2026-4-7 | YOLOv8 with Integrated Attention Mechanism and ASFF for Brain Tumor Detection and Classification in MRI Images
[IEEE] 2026-4-7 | Comparative Analysis of Sample-and-Hold Circuits for Low-Voltage and Low-Frequency Biomedical Applications
[IEEE] 2026-4-7 | Comparative Numerical Analysis of Lead-Free Perovskite Solar Cells Using SCAPS-1D
[IEEE] 2026-4-7 | A Wide Depletion Region Single Photon Avalanche Diode
[IEEE] 2026-4-7 | Deep Reinforcement and Federated Learning-Based Joint Spectrum and Power Allocation in D2D-Enabled Cellular Networks
[IEEE] 2026-4-7 | Deep Learning-Driven Framework for Robust Cybersecurity Threat Detection and Classification
[IEEE] 2026-4-7 | Intelligent Control Strategies for EV Motor Drives: A Comparative Study of BLDC and PMSM Systems
[IEEE] 2026-4-7 | A Hybrid Machine Learning Approach for Fraud Prevention and Health Insurance Claim Verification
[IEEE] 2026-4-7 | Robot Learning Framework using Behavioral Cloning and Gaussian Mixture Model (BC-GMM) for Sorting Tasks
[IEEE] 2026-4-7 | Fusing Camera and Electromyography Data for Enhanced Range of Motion Assessment
[ACM] 2026-4-7 | Reducing Tail Latency in Storage-Disaggregated Database Systems
[IEEE] 2026-4-7 | Enhancing Earthquake Prediction with Ensemble Learning: A Hybrid XGBoost and LightGBM Approach
[IEEE] 2026-4-7 | Design and Validation of a YOLOv8 Synthetic Data Generation Pipeline for Surface Defect Detection in Manufacturing
[IEEE] 2026-4-7 | An Efficient Technique to Implement Individual Temperature Control of Dynamic Burn-in Tests for High Power Integrated Circuits
[IEEE] 2026-4-7 | Real-Time Plastic Waste Detection and Region Density Mapping using Optimized YOLOv5 and Heatmaps Overlays
[IEEE] 2026-4-7 | Hybrid Clinical–Fundus Model for Diabetes Classification
[IEEE] 2026-4-7 | Wireless Electric Vehicle Charging Powered by Solar Monitoring
[IEEE] 2026-4-7 | SkewFuse: Unsupervised Confidence-Guided Rank Fusion for Multi-View Image Retrieval
[IEEE] 2026-4-7 | Deep Learning-Based Sentiment Analysis in English Literature
[IEEE] 2026-4-7 | Duck Swarm Optimization-Enhanced Contextual Graph Attention Networks for Power-Optimized 10T2C Capacitive SRAM Near-Memory Computing Macros
[IEEE] 2026-4-7 | High Performance 3D Stacked Packaging of SiC Power Module Enabled by Direct Plated Copper Ceramic Interposer
[IEEE] 2026-4-7 | Modeling and Stability Assessment of Grid Forming Converters in Islanded AC Microgrids
[IEEE] 2026-4-7 | MixWT-Net: A MixStyle and Wavelet-Guided Transformer Network for Generalized Glaucoma Classification
[IEEE] 2026-4-7 | A PVDF-based Flexible Keyboard Device Exploiting the Piezoelectric Effect
[IEEE] 2026-4-7 | Highly Dense Capacitor SRAM Computation-In-Memory With Dynamic Range Calibrated Column-by-Column ADCs
[IEEE] 2026-4-7 | Full-Waveform-Accurate 3D Inversion for Transient Electromagnetics via Parallel Spectral Methods
[IEEE] 2026-4-7 | A 220 GHz Filtering Slot Array Antenna Based on Micro-Metal Additive Manufacturing
[IEEE] 2026-4-7 | Independent SAR System Calibration of Sentinel-1 C
[IEEE] 2026-4-7 | Recovering Sewing Patterns from 3D Garment Surfaces via BoxMesh Bridging_supp1-3680930.mp4
[ACM] 2026-4-7 | Corrigendum: Attribute Filtering in Approximate Nearest Neighbor Search: An In-depth Experimental Study: [Experiments &amp; Analysis]
[ACM] 2026-4-7 | On Efficient Approximate Aggregate Nearest Neighbor Queries over Learned Representations
[IEEE] 2026-4-7 | A New Federated Learning Approach for Imbalanced Medical Image Datasets
[IEEE] 2026-4-7 | Comparative Analysis using Power-Aware Design of Traditional and Low-Power ALUs
[IEEE] 2026-4-7 | Classification and Detection of Lung Cancer Using VGG-DeepCNN with GRAD-CAM Interpretability
[IEEE] 2026-4-7 | Progressive Information Flow Non-Linear Dark Image Restoration Method
[IEEE] 2026-4-7 | Energy-Efficient Machine Learning Models for Real-Time Anomaly Detection in IoT Sensor Networks
[IEEE] 2026-4-7 | Evaluation of Deformable Medical Image Registration Techniques for Improved Analysis
[IEEE] 2026-4-7 | Performance Analysis of a Race Reduced Data Flip Flop Under Wide Thermal Variations for Future High-Speed Counters and Prescalers
[IEEE] 2026-4-7 | Dynamic Sign Language Identification Using Mediapipe Landmarks and Random Forest Classifier
[IEEE] 2026-4-7 | A Compact Frequency-Reconfigurable Monopole Antenna Using PIN-Diode-Controlled Parasitic Stubs for IoT Applications
[IEEE] 2026-4-7 | Spatio-Temporal Registration Method for Sea Surface Infrared and X-Band Radar Image
[IEEE] 2026-4-7 | PLER: A Novel Full-Reference Metric for Evaluating the Geometric Fidelity of 3D Assets
[IEEE] 2026-4-7 | A Novel Transformer-CNN Hybrid Framework for Early Alzheimer’s Diagnosis using Multimodal MRI and PET
[IEEE] 2026-4-7 | Interpretable Transfer Learning System for Multi-Class Lung Cancer Identification Using Enhanced CT Imaging
[IEEE] 2026-4-7 | DefenSys: An Integrated Platform for Malware Detection and Containerized Attack Simulation using Deep Learning
[IEEE] 2026-4-7 | Joint Power and Subcarrier Allocation for SCMA-Assisted ISAC Systems
[IEEE] 2026-4-7 | A Machine Learning-Based Traffic Prediction Framework for Smart Cities
[IEEE] 2026-4-7 | Sustainable Hydrogen Through Biological Systems: Current Trends in Production and Storage Solutions
[IEEE] 2026-4-7 | Intelligent Vehicle Damage Inspection: Detection, Multi-View Reasoning, and VLM-Based Report Generation
共写入 100 条记录，保存到 papers/paper2026-04-07.json。
论文获取成功，文件路径: papers/paper2026-04-07.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Analyzing Deviations from Monotonic Trends through Database Repair
[NO] 2/100 | Tailoring the Sensitivity-Range Tradeoff in Monolithic InGaN/GaN Temperature Sensing Devices via Indium Content Engineering
[NO] 3/100 | Towards Robot Skill Learning and Adaptation with Gaussian Processes_supp1-3681188.mp4
[NO] 4/100 | A Simulation-Based Framework for Fatigue-Aware Task Reallocation in Human-Robot Collaboration: Software Verification with 1000-Episode Digital Twin
[NO] 5/100 | Real-Time Emulator of Robust Speed Controller for PMSM Wind Energy Conversion via a FATA Morgana Algorithm using OPAL-RT
[NO] 6/100 | SIRE-ST: A Swin Transformer-Based Cascaded Model for Urban Rainfall Estimation in Complex Environments
[NO] 7/100 | Comparing Patent Network Approaches for Extracting Technology Intelligence
[NO] 8/100 | U-NEXT: A User-Centered New Prototype for Walking Excavator Simulator
[NO] 9/100 | Interaction Under Whole-Body User Rotations in VR Space_supp1-3680596.pdf
[NO] 10/100 | A Two-Stage RF-SVM Model Against SSDF Attack in Cooperative Spectrum Sensing
[NO] 11/100 | Wideband Low-RCS Phased Array Antenna Based on Hybrid Reduction Mechanism
[NO] 12/100 | Dispersion and Bandgap Analysis of Miniaturized Meander-Lined EBG for Sub-GHz Communication
[NO] 13/100 | Emerging Approaches for Integrating Passive Balancing and Charging Strategies in Electric Vehicle Batteries
[NO] 14/100 | Multimodal FactCheckNet on Low Resource Social Media Data
[NO] 15/100 | The Future of VLSI Testing: Deep Learning Models for Accurate Fault Detection – Review
[NO] 16/100 | Design of Camouflage Military Robot using Raspberry Pi and Machine Learning
[NO] 17/100 | SmartLib: Next-Generation IoT Access Control for Libraries
[NO] 18/100 | Label-Guided Imputation via Forest-Based Proximities for Improved Time Series Classification
[NO] 19/100 | MADE-PI: Framework for Effective Anomaly Detection in Federated Learning Applications
[NO] 20/100 | Ensuring Multi-Microgrids Emergency Resilience and User-Side Demand via Vehicle-to-X: A Transfer Hierarchical Safe Reinforcement Learning
[NO] 21/100 | Joint Radio-Computing Resource Allocation Modeling for Next-Generation Networks
[NO] 22/100 | Multi-Regional Neighborhood Spatio-Temporal Dynamics for Crop Yield Prediction
[NO] 23/100 | Federated Learning for Early Detection of Diabetic Retinopathy in Distributed Healthcare Systems
[NO] 24/100 | Relai — AI for Disaster Response and Relief Using Random Forest Regression for Faster Response and Alerting
[NO] 25/100 | High Performance Convolutional Neural Network for Brain Tumour Detection from MRI Images
[NO] 26/100 | Comparing Neural Architectures for English-Spanish Machine Translation: From LSTM to Transformer
[NO] 27/100 | Hierarchical Feature Integration Framework for Software Defect Prediction: Combining Syntactic Structure Mining with Neural Code Representations
[NO] 28/100 | Full-Wave Simulation and Experimental Validation of Antennas Using Complex RF Components
[NO] 29/100 | Software Reliability Growth Across Multiple Releases Considering Fault Removal Efficiency, and Error Generation
[NO] 30/100 | On the Problem of Interpretability of Neural Algorithms for Predicting Microscopic Traffic Flow Data
[NO] 31/100 | A Survey on Privacy-Preserving Clustering Techniques: From K-Anonymity to Federated Learning
[NO] 32/100 | DualFusion SwinConv-UNet++: A Hybrid CNN–Transformer Framework for Thyroid Ultrasound Image Segmentation
[NO] 33/100 | Machine Learning Approaches for EMG Signal Classification to Predict Hand Gesture
[NO] 34/100 | Wideband Metamaterial Absorber Based on Polylactic Acid for Stealth Technology
[NO] 35/100 | Passive Fingerprinting of ICS Devices Using Aggregates of Modbus Packets
[NO] 36/100 | Quantum-Inspired Sparse Bayesian Learning Framework for Ultra-Reliable Spectrum Sensing in Low-SNR Cognitive Radio Networks
[YES] 37/100 | H-OTFS: An Anti-Jamming Transmission Scheme for OTFS via Hadamard Spreading
[NO] 38/100 | Hello-Id: Honeypot Enabled Deep Learning Framework for Intrusion Detection
[NO] 39/100 | Suicide Prediction Using Machine Learning on Assamese Language
[NO] 40/100 | Athercare: Unified AI System for Health Intelligence in Real Time
[NO] 41/100 | Universal Onboard Complex of an Unmanned Ground Vehicle
[NO] 42/100 | Mitigation of Crosstalk of On-Chip Antenna in RFIC Using Dual Guard Band Method
[NO] 43/100 | Design and Analysis of a Stack-Enhanced LECTOR-Based Power Gating Scheme with PMOS Sleep Transistors
[NO] 44/100 | A Deep Reinforcement Learning-Based Dynamic Queue Management Approach for Network Traffic Scheduling
[NO] 45/100 | A Fused Ensemble Learning Approach for Early Heart Disease Prediction
[NO] 46/100 | MediVault - Your Medical Wallet
[NO] 47/100 | SnapClean: Garbage Violation Reporting and Monitoring System
[NO] 48/100 | Multi-Resolution Fall Transformer: A Dual-Branch Transformer for Wrist-IMU Fall Detection Using WEDA-FALL and FallAllD Datasets
[NO] 49/100 | Electricity Rate Analysis for Remote Alaskan Microgrid Communities: Impact of Renewable Energy Integration and Electrification
[NO] 50/100 | Interleaved Luo Converter-Fed Electric Vehicle Battery Charger Integrated with Renewable Energy
[NO] 51/100 | Intelligent Air Quality Forecasting and Pollution Prediction using Hybrid Machine Learning Algorithm
[NO] 52/100 | YOLOv8 with Integrated Attention Mechanism and ASFF for Brain Tumor Detection and Classification in MRI Images
[NO] 53/100 | Comparative Analysis of Sample-and-Hold Circuits for Low-Voltage and Low-Frequency Biomedical Applications
[NO] 54/100 | Comparative Numerical Analysis of Lead-Free Perovskite Solar Cells Using SCAPS-1D
[NO] 55/100 | A Wide Depletion Region Single Photon Avalanche Diode
[NO] 56/100 | Deep Reinforcement and Federated Learning-Based Joint Spectrum and Power Allocation in D2D-Enabled Cellular Networks
[NO] 57/100 | Deep Learning-Driven Framework for Robust Cybersecurity Threat Detection and Classification
[NO] 58/100 | Intelligent Control Strategies for EV Motor Drives: A Comparative Study of BLDC and PMSM Systems
[NO] 59/100 | A Hybrid Machine Learning Approach for Fraud Prevention and Health Insurance Claim Verification
[NO] 60/100 | Robot Learning Framework using Behavioral Cloning and Gaussian Mixture Model (BC-GMM) for Sorting Tasks
[NO] 61/100 | Fusing Camera and Electromyography Data for Enhanced Range of Motion Assessment
[NO] 62/100 | Reducing Tail Latency in Storage-Disaggregated Database Systems
[NO] 63/100 | Enhancing Earthquake Prediction with Ensemble Learning: A Hybrid XGBoost and LightGBM Approach
[NO] 64/100 | Design and Validation of a YOLOv8 Synthetic Data Generation Pipeline for Surface Defect Detection in Manufacturing
[NO] 65/100 | An Efficient Technique to Implement Individual Temperature Control of Dynamic Burn-in Tests for High Power Integrated Circuits
[NO] 66/100 | Real-Time Plastic Waste Detection and Region Density Mapping using Optimized YOLOv5 and Heatmaps Overlays
[NO] 67/100 | Hybrid Clinical–Fundus Model for Diabetes Classification
[NO] 68/100 | Wireless Electric Vehicle Charging Powered by Solar Monitoring
[NO] 69/100 | SkewFuse: Unsupervised Confidence-Guided Rank Fusion for Multi-View Image Retrieval
[NO] 70/100 | Deep Learning-Based Sentiment Analysis in English Literature
[NO] 71/100 | Duck Swarm Optimization-Enhanced Contextual Graph Attention Networks for Power-Optimized 10T2C Capacitive SRAM Near-Memory Computing Macros
[NO] 72/100 | High Performance 3D Stacked Packaging of SiC Power Module Enabled by Direct Plated Copper Ceramic Interposer
[NO] 73/100 | Modeling and Stability Assessment of Grid Forming Converters in Islanded AC Microgrids
[NO] 74/100 | MixWT-Net: A MixStyle and Wavelet-Guided Transformer Network for Generalized Glaucoma Classification
[NO] 75/100 | A PVDF-based Flexible Keyboard Device Exploiting the Piezoelectric Effect
[NO] 76/100 | Highly Dense Capacitor SRAM Computation-In-Memory With Dynamic Range Calibrated Column-by-Column ADCs
[NO] 77/100 | Full-Waveform-Accurate 3D Inversion for Transient Electromagnetics via Parallel Spectral Methods
[NO] 78/100 | A 220 GHz Filtering Slot Array Antenna Based on Micro-Metal Additive Manufacturing
[NO] 79/100 | Independent SAR System Calibration of Sentinel-1 C
[NO] 80/100 | Recovering Sewing Patterns from 3D Garment Surfaces via BoxMesh Bridging_supp1-3680930.mp4
[NO] 81/100 | Corrigendum: Attribute Filtering in Approximate Nearest Neighbor Search: An In-depth Experimental Study: [Experiments &amp; Analysis]
[NO] 82/100 | On Efficient Approximate Aggregate Nearest Neighbor Queries over Learned Representations
[NO] 83/100 | A New Federated Learning Approach for Imbalanced Medical Image Datasets
[NO] 84/100 | Comparative Analysis using Power-Aware Design of Traditional and Low-Power ALUs
[NO] 85/100 | Classification and Detection of Lung Cancer Using VGG-DeepCNN with GRAD-CAM Interpretability
[NO] 86/100 | Progressive Information Flow Non-Linear Dark Image Restoration Method
[YES] 87/100 | Energy-Efficient Machine Learning Models for Real-Time Anomaly Detection in IoT Sensor Networks
[NO] 88/100 | Evaluation of Deformable Medical Image Registration Techniques for Improved Analysis
[NO] 89/100 | Performance Analysis of a Race Reduced Data Flip Flop Under Wide Thermal Variations for Future High-Speed Counters and Prescalers
[NO] 90/100 | Dynamic Sign Language Identification Using Mediapipe Landmarks and Random Forest Classifier
[NO] 91/100 | A Compact Frequency-Reconfigurable Monopole Antenna Using PIN-Diode-Controlled Parasitic Stubs for IoT Applications
[NO] 92/100 | Spatio-Temporal Registration Method for Sea Surface Infrared and X-Band Radar Image
[NO] 93/100 | PLER: A Novel Full-Reference Metric for Evaluating the Geometric Fidelity of 3D Assets
[NO] 94/100 | A Novel Transformer-CNN Hybrid Framework for Early Alzheimer’s Diagnosis using Multimodal MRI and PET
[NO] 95/100 | Interpretable Transfer Learning System for Multi-Class Lung Cancer Identification Using Enhanced CT Imaging
[NO] 96/100 | DefenSys: An Integrated Platform for Malware Detection and Containerized Attack Simulation using Deep Learning
[YES] 97/100 | Joint Power and Subcarrier Allocation for SCMA-Assisted ISAC Systems
[NO] 98/100 | A Machine Learning-Based Traffic Prediction Framework for Smart Cities
[NO] 99/100 | Sustainable Hydrogen Through Biological Systems: Current Trends in Production and Storage Solutions
[NO] 100/100 | Intelligent Vehicle Damage Inspection: Detection, Multi-View Reasoning, and VLM-Based Report Generation
筛选完成：共 100 篇；Yes = 3 篇；已保存到 papers/select_paper2026-04-07.json。
邮件发送成功！
[2026-04-08 10:20:10] 任务执行成功！
