[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[arXiv] 2025-12-02 | Dual-Robust Cross-Domain Offline Reinforcement Learning Against Dynamics Shifts
[arXiv] 2025-12-02 | Orbital-resolved three-body recombination across a p-wave Feshbach resonance in ultracold $^6$Li
[arXiv] 2025-12-02 | Vision to Geometry: 3D Spatial Memory for Sequential Embodied MLLM Reasoning and Exploration
[arXiv] 2025-12-02 | Does Hearing Help Seeing? Investigating Audio-Video Joint Denoising for Video Generation
[arXiv] 2025-12-02 | ClusterStyle: Modeling Intra-Style Diversity with Prototypical Clustering for Stylized Motion Generation
[arXiv] 2025-12-02 | HouseLayout3D: A Benchmark and Training-Free Baseline for 3D Layout Estimation in the Wild
[arXiv] 2025-12-02 | Optimal Handover Strategies in LEO Satellite Networks
[arXiv] 2025-12-02 | Demonstration of magic dressing of $^3$He
[arXiv] 2025-12-02 | Continual Learning for Singing Voice Separation with Human in the Loop Adaptation
[arXiv] 2025-12-02 | Posted Pricing for Online Selection: Limited Price Changes and Risk Sensitivity
[arXiv] 2025-12-02 | MitUNet: Enhancing Floor Plan Recognition using a Hybrid Mix-Transformer and U-Net Architecture
[arXiv] 2025-12-02 | Data Curation Through the Lens of Spectral Dynamics: Static Limits, Dynamic Acceleration, and Practical Oracles
[arXiv] 2025-12-02 | Signed Mahonian Polynomials on Colored Derangements
[arXiv] 2025-12-02 | TaleFrame: An Interactive Story Generation System with Fine-Grained Control and Large Language Models
[arXiv] 2025-12-02 | Error estimates for semi-Lagrangian schemes with higher-order interpolation for conservation laws with dispersive terms
[arXiv] 2025-12-02 | The Liouville theorem on H-type groups
[arXiv] 2025-12-02 | Fleet Size and Mix Capacitated Vehicle Routing Problem with Time Windows for Mobile Fast Chargers
[arXiv] 2025-12-02 | Diffusion-Model-enhanced Multiobjective Optimization for Improving Forest Monitoring Efficiency in UAV-enabled Internet-of-Things
[arXiv] 2025-12-02 | On the Convergence of Density-Based Predictive Control for Multi-Agent Non-Uniform Area Coverage
[arXiv] 2025-12-02 | Memory-Augmented Knowledge Fusion with Safety-Aware Decoding for Domain-Adaptive Question Answering
[arXiv] 2025-12-02 | Fundamental groups and descriptive set theory
[arXiv] 2025-12-02 | Characterizing Off-Chain Influence Proof Transaction Fee Mechanisms
[arXiv] 2025-12-02 | A Cyclic Shift Embedded Pilot based Channel Estimation for Multi-User MIMO-OTFS systems with fractional delay and Doppler
[arXiv] 2025-12-02 | Understanding and Harnessing Sparsity in Unified Multimodal Models
[arXiv] 2025-12-02 | Ramanujan's function on small primes
[arXiv] 2025-12-02 | Leading effective field theory corrections to the Kerr metric at all spins
[arXiv] 2025-12-02 | Forecasting MBTA Transit Dynamics: A Performance Benchmarking of Statistical and Machine Learning Models
[arXiv] 2025-12-02 | Layered Division and Global Allocation for Community Detection in Multilayer Network
[arXiv] 2025-12-02 | Retrieval-Augmented Memory for Online Learning
[arXiv] 2025-12-02 | Unlocking the Power of Boltzmann Machines by Parallelizable Sampler and Efficient Temperature Estimation
[arXiv] 2025-12-02 | A dimer view on Fox's trapezoidal conjecture
[arXiv] 2025-12-02 | Anharmonic interaction as random field for thermal transport in FPU-$β$ lattice
[arXiv] 2025-12-02 | Quantum Vanguard: Server Optimized Privacy Fortified Federated Intelligence for Future Vehicles
[arXiv] 2025-12-02 | Solitary Alfvén Waves
[arXiv] 2025-12-02 | Enhancing Cross Domain SAR Oil Spill Segmentation via Morphological Region Perturbation and Synthetic Label-to-SAR Generation
[arXiv] 2025-12-02 | Multi-Objective Agentic Rewrites for Unstructured Data Processing
[arXiv] 2025-12-02 | The Hilbert space of gauge theories: group averaging and the quantization of Jackiw-Teitelboim gravity
[arXiv] 2025-12-02 | Combinatorial foundations for solvable chaotic local Euclidean quantum circuits in two dimensions
[arXiv] 2025-12-02 | SMP: Reusable Score-Matching Motion Priors for Physics-Based Character Control
[arXiv] 2025-12-02 | Semiparametric Robust Estimation of Population Location
[arXiv] 2025-12-02 | Distribution-Calibrated Inference time compute for Thinking LLM-as-a-Judge
[arXiv] 2025-12-02 | The discrete wave equation with applications to scattering theory and quantum chaos
[arXiv] 2025-12-02 | Radiative decays of the $Σ_c$, $Ξ'_c$ and $Ω_c$ charmed baryons
[arXiv] 2025-12-02 | DGGT: Feedforward 4D Reconstruction of Dynamic Driving Scenes using Unposed Images
[arXiv] 2025-12-02 | IOTA Experiment for Proton Pulse Compression at Extreme Space-Charge
[arXiv] 2025-12-02 | DynamicVerse: A Physically-Aware Multimodal Framework for 4D World Modeling
[arXiv] 2025-12-02 | All planar three-loop Feynman integrals for the production of two vector bosons at hadron colliders
[arXiv] 2025-12-02 | GNSS Array-Based Multipath Detection Employing UKF on Manifolds
[arXiv] 2025-12-02 | The Composite Spectrum of QSO Absorption Line Systems in DESI DR2
[arXiv] 2025-12-02 | Positional memory of skyrmions in magnetic bilayers
[arXiv] 2025-12-02 | Tissue-mask supported inter-subject whole-body image registration in the UK Biobank -- A method benchmarking study
[arXiv] 2025-12-02 | Thermoelectric coefficients of two-flavor quark matter from the Kubo formalism
[arXiv] 2025-12-02 | The brain-AI convergence: Predictive and generative world models for general-purpose computation
[arXiv] 2025-12-02 | Vessel Network Topology in Molecular Communication: Insights from Experiments and Theory
[arXiv] 2025-12-02 | Radio, X-ray, and EUV signatures of internal and external reconnection of an erupting flux rope
[arXiv] 2025-12-02 | Characterisation of the LAPPD, a large area microchannel-plate PMT
[arXiv] 2025-12-02 | PEFT-Factory: Unified Parameter-Efficient Fine-Tuning of Autoregressive Large Language Models
[arXiv] 2025-12-02 | Contextual Image Attack: How Visual Context Exposes Multimodal Safety Vulnerabilities
[arXiv] 2025-12-02 | Adversarial Jamming for Autoencoder Distribution Matching
[arXiv] 2025-12-02 | Beyond Paired Data: Self-Supervised UAV Geo-Localization from Reference Imagery Alone
[arXiv] 2025-12-02 | Sum of Squares Decompositions for Structured Biquadratic Forms
[arXiv] 2025-12-02 | Self-Improving AI Agents through Self-Play
[arXiv] 2025-12-02 | DF-Mamba: Deformable State Space Modeling for 3D Hand Pose Estimation in Interactions
[arXiv] 2025-12-02 | StockMem: An Event-Reflection Memory Framework for Stock Forecasting
[arXiv] 2025-12-02 | A Port-Hamiltonian Modeling Approach for Integrated Hydrogen Systems
[arXiv] 2025-12-02 | G-PIFNN: A Generalizable Physics-informed Fourier Neural Network Framework for Electrical Circuits
[arXiv] 2025-12-02 | CREST: Universal Safety Guardrails Through Cluster-Guided Cross-Lingual Transfer
[arXiv] 2025-12-02 | Adaptive hydrogels with spatiotemporal stiffening using pH-modulating enzymes
[arXiv] 2025-12-02 | Double-Helix based Real-Time Single Particle Tracking
[arXiv] 2025-12-02 | Search for persistent radio emission towards selected localised Fast Radio Burst positions using the MeerKAT Telescope
[arXiv] 2025-12-02 | ClimaOoD: Improving Anomaly Segmentation via Physically Realistic Synthetic Data
[arXiv] 2025-12-02 | Distributed and Autonomic Minimum Spanning Trees
[arXiv] 2025-12-02 | Peculiar SN Ic 2022esa: An explosion of a massive Wolf-Rayet star in a binary as a precursor to a BH-BH binary?
[arXiv] 2025-12-02 | Exploring Depth Generalization in Large Language Models for Solving Recursive Logic Tasks
[arXiv] 2025-12-02 | UAUTrack: Towards Unified Multimodal Anti-UAV Visual Tracking
[arXiv] 2025-12-02 | Efficient Simulation of the 2D Hubbard Model via Hilbert Space-Filling Curve Mapping
[arXiv] 2025-12-02 | Theoretical analysis of beaconless geocast protocols in 1D
[arXiv] 2025-12-02 | Spatially-Grounded Document Retrieval via Patch-to-Region Relevance Propagation
[arXiv] 2025-12-02 | Reevaluating the $a_1(1420)$ enhancement and its molecular partners in the low-lying axial-vector meson spectrum
[arXiv] 2025-12-02 | Real-Time Multimodal Data Collection Using Smartwatches and Its Visualization in Education
[arXiv] 2025-12-02 | On the relationship between Heider links and Ising spins
[arXiv] 2025-12-02 | Leveraging Large-Scale Pretrained Spatial-Spectral Priors for General Zero-Shot Pansharpening
[arXiv] 2025-12-02 | Electric-Field and Doping-Induced Non collinear Magnetic Interactions in Monolayer Ti$_2$Si
[arXiv] 2025-12-02 | Zero-Shot Instruction Following in RL via Structured LTL Representations
[arXiv] 2025-12-02 | Quantum LLMs Using Quantum Computing to Analyze and Process Semantic Information
[arXiv] 2025-12-02 | Interface Correlators in Symmetric Product Orbifolds
[arXiv] 2025-12-02 | Linear independence of values of Dirichlet $L$ functions
[arXiv] 2025-12-02 | Investigating the Integrated Digital Interventions Delivered by a Therapeutic Companion Agent for Young Adults with Symptoms of Depression: A Proof-of-Concept Study
[arXiv] 2025-12-02 | Parameter identification of lithium-ion batteries: a comparative study of various models and optimization techniques for battery modeling
[arXiv] 2025-12-02 | Stellar chemistry and planet size: insights from GALAH DR4
[arXiv] 2025-12-02 | Hilbert's Basis Theorem for generalized nonassociative Ore extensions
[arXiv] 2025-12-02 | Ultrafast Stiffening of the Lattice Potential and Metastable State Formation in 1$T$-TiSe$_2$
[arXiv] 2025-12-02 | A Statistical Analysis of Fluence and Energy Distributions of Non-repeating Fast Radio Bursts Detected by CHIME
[arXiv] 2025-12-02 | Numerical analysis of the impact of water temperature setpoint and energy strategies on indoor pool performance
[arXiv] 2025-12-02 | Deep Q-Learning-Driven Power Control for Enhanced Noma User Performance
[arXiv] 2025-12-02 | GoRL: An Algorithm-Agnostic Framework for Online Reinforcement Learning with Generative Policies
[arXiv] 2025-12-02 | Self-Expanding Solutions to the Mean Curvature Flow for Multiphase Surfaces with Regular Junctions
[arXiv] 2025-12-02 | Zero-Forcing MU-MIMO Precoding under Power Amplifier Non-Linearities
[arXiv] 2025-12-02 | On Galois representations associated to mod $p$ Hilbert modular forms
[arXiv] 2025-12-02 | Lie and pre-Lie theory of Novikov algebras
[arXiv] 2025-12-02 | Intervention Strategies for Fairness and Efficiency at Autonomous Single-Intersection Traffic Flows
[arXiv] 2025-12-02 | EZYer: A simulacrum of high school with generative agent
[arXiv] 2025-12-02 | Excitation function of femtoscopic Lévy source parameters of pion pairs in EPOS4
[arXiv] 2025-12-02 | Atomic decomposition for an affine Weyl group of type $G_2$
[arXiv] 2025-12-02 | A New Approach from Lattice of Subgroup Sets to Generalized Solvable Extension Formations
[arXiv] 2025-12-02 | A Human-centric Framework for Debating the Ethics of AI Consciousness Under Uncertainty
[arXiv] 2025-12-02 | AVGGT: Rethinking Global Attention for Accelerating VGGT
[arXiv] 2025-12-02 | Regime Maps for Sloshing in Horizontal Cylindrical Tanks Under Vertical Acceleration
[arXiv] 2025-12-02 | Aetheria: A multimodal interpretable content safety framework based on multi-agent debate and collaboration
[arXiv] 2025-12-02 | Updates on dipolar anisotropy in local measurements of the Hubble constant from Cosmicflows-4
[arXiv] 2025-12-02 | Inductive limits of partial crossed products
[arXiv] 2025-12-02 | On the Problem of Consistent Anomalies in Zero-Shot Anomaly Detection
[arXiv] 2025-12-02 | Water Quality Estimation Through Machine Learning Multivariate Analysis
[arXiv] 2025-12-02 | Emergent Chiral Spin Crystal Phase in (111) SrRuO3 Thin Films
[arXiv] 2025-12-02 | AskNearby: An LLM-Based Application for Neighborhood Information Retrieval and Personalized Cognitive-Map Recommendations
[arXiv] 2025-12-02 | dots.ocr: Multilingual Document Layout Parsing in a Single Vision-Language Model
[arXiv] 2025-12-02 | A Large Scale Benchmark for Test Time Adaptation Methods in Medical Image Segmentation
[arXiv] 2025-12-02 | A Fully First-Order Layer for Differentiable Optimization
[arXiv] 2025-12-02 | YingVideo-MV: Music-Driven Multi-Stage Video Generation
[arXiv] 2025-12-02 | CAMEO: Correspondence-Attention Alignment for Multi-View Diffusion Models
[arXiv] 2025-12-02 | A new constraint on the $y$-distortion with FIRAS: implications for feedback models in galaxy formation and cosmic shear measurements
[arXiv] 2025-12-02 | The Moral Consistency Pipeline: Continuous Ethical Evaluation for Large Language Models
[arXiv] 2025-12-02 | TokenPowerBench: Benchmarking the Power Consumption of LLM Inference
[arXiv] 2025-12-02 | AutoBrep: Autoregressive B-Rep Generation with Unified Topology and Geometry
[arXiv] 2025-12-02 | On hyperbolic links associated to Eulerian cycles on ideal right-angled hyperbolic $3$-polytopes
[arXiv] 2025-12-02 | Microscopic evidence of dominant excitonic instability in Ta2NiSe5
[arXiv] 2025-12-02 | Structured Clifford+T Circuits for Efficient Generation of Quantum Chaos
[arXiv] 2025-12-02 | TEXTRIX: Latent Attribute Grid for Native Texture Generation and Beyond
[arXiv] 2025-12-02 | U4D: Uncertainty-Aware 4D World Modeling from LiDAR Sequences
[arXiv] 2025-12-02 | On the Cutting Edge: Helical Liquids in Time-Reversal-Invariant Topological Materials
[arXiv] 2025-12-02 | Minimal algebraic space filling curves on the product of projective lines
[arXiv] 2025-12-02 | Harnessing swarms for directed migration of interacting active particles via optimal global control
[arXiv] 2025-12-02 | WorldMM: Dynamic Multimodal Memory Agent for Long Video Reasoning
[arXiv] 2025-12-02 | Transient rebellions in the Kuramoto oscillator: Morse-Smale structural stability and connection graphs of finite 2-shift type
[arXiv] 2025-12-02 | Size control guidelines for chemically active droplets
[arXiv] 2025-12-02 | Impact of Brand Dynamics on Insurance Premiums in Turkey
[arXiv] 2025-12-02 | Qudits offer no advantages over dits for sending random messages
[arXiv] 2025-12-02 | Neutron-deuteron scattering revisited with the EKM chiral nuclear force and the WPCD method
[arXiv] 2025-12-02 | Guided Self-Evolving LLMs with Minimal Human Supervision
[arXiv] 2025-12-02 | scCluBench: Comprehensive Benchmarking of Clustering Algorithms for Single-Cell RNA Sequencing
[arXiv] 2025-12-02 | TGDD: Trajectory Guided Dataset Distillation with Balanced Distribution
[arXiv] 2025-12-02 | Quantum Optimization in Wireless Communication Systems: Principles and Applications
[arXiv] 2025-12-02 | Theory and Design of Extended PID Control for Stochastic Systems with Structural Uncertainties
[arXiv] 2025-12-02 | See, Think, Learn: A Self-Taught Multimodal Reasoner
[arXiv] 2025-12-02 | Wi-Fi Rate Adaptation for Moving Equipment in Industrial Environments
[arXiv] 2025-12-02 | nuScenes Revisited: Progress and Challenges in Autonomous Driving
[arXiv] 2025-12-02 | Temporal Dynamics Enhancer for Directly Trained Spiking Object Detectors
[arXiv] 2025-12-02 | A Visual Analytics System to Understand Behaviors of Multi Agents in Reinforcement Learning
[arXiv] 2025-12-02 | Evolution and Mass Dependence of UV-to-near-IR Color Gradients up to z=2.5 from HST+JWST
[arXiv] 2025-12-02 | Study of fully coupled 3D envelope instability using automatic differentiation
[arXiv] 2025-12-02 | GUI Exploration Lab: Enhancing Screen Navigation in Agents via Multi-Turn Reinforcement Learning
[arXiv] 2025-12-02 | Localizing Preference Aggregation Conflicts: A Graph-Theoretic Approach Using Sheaves
[arXiv] 2025-12-02 | Characterizing Cyber Attacks against Space Infrastructures with Missing Data: Framework and Case Study
[arXiv] 2025-12-02 | Quantum Coulomb drag signatures of Majorana bound states
[arXiv] 2025-12-02 | ProtO-RU: An O-RAN Split-7.2 Radio Unit using SDRs
[arXiv] 2025-12-02 | Boltzmann-Shannon Index: A Geometric-Aware Measure of Clustering Balance
[arXiv] 2025-12-02 | From Detection to Association: Learning Discriminative Object Embeddings for Multi-Object Tracking
[arXiv] 2025-12-02 | Reinforcement Learning in POMDP's via Direct Gradient Ascent
[arXiv] 2025-12-02 | Efficient Quantum Simulation of Non-Adiabatic Molecular Dynamics with Precise Electronic Structure
[arXiv] 2025-12-02 | Reconstructing Large Scale Production Networks
[arXiv] 2025-12-02 | WSCF-MVCC: Weakly-supervised Calibration-free Multi-view Crowd Counting
[arXiv] 2025-12-02 | FOVA: Offline Federated Reinforcement Learning with Mixed-Quality Data
[arXiv] 2025-12-02 | ACM COMPUTE 2025 Best Practices Track Proceedings
[arXiv] 2025-12-02 | Adjoint motives of modular forms and the Tamagawa number conjecture
[arXiv] 2025-12-02 | TALO: Pushing 3D Vision Foundation Models Towards Globally Consistent Online Reconstruction
[arXiv] 2025-12-02 | $SL_4$-Kloosterman sum via the Bruhat decomposition
[arXiv] 2025-12-02 | Molecular Embedding-Based Algorithm Selection in Protein-Ligand Docking
[arXiv] 2025-12-02 | New Constructions of Non-GRS MDS Codes, Recovery and Determination Algorithms for GRS Codes
[arXiv] 2025-12-02 | How much gas and dust is in the $z=5.7$ Lyman Break Galaxy HZ10? An ALMA Band 10 to 4 and JWST/NIRSpec study of its interstellar medium
[arXiv] 2025-12-02 | Two Variations on the XTrace Algorithm
[arXiv] 2025-12-02 | The MEVIR Framework: A Virtue-Informed Moral-Epistemic Model of Human Trust Decisions
[arXiv] 2025-12-02 | Training Dynamics of Learning 3D-Rotational Equivariance
[arXiv] 2025-12-02 | HealthContradict: Evaluating Biomedical Knowledge Conflicts in Language Models
[arXiv] 2025-12-02 | On Frequency-Weighted Extended Balanced Truncation
[arXiv] 2025-12-02 | VIGS-SLAM: Visual Inertial Gaussian Splatting SLAM
[arXiv] 2025-12-02 | Dynamic Modulation of Long Range Photon Magnon Coupling
[arXiv] 2025-12-02 | Integrative Analysis of Risk Management Methodologies in Data Science Projects
[arXiv] 2025-12-02 | AuditCopilot: Leveraging LLMs for Fraud Detection in Double-Entry Bookkeeping
[arXiv] 2025-12-02 | Transcendence degrees over mutually generic extensions
[arXiv] 2025-12-02 | Sampling Permutations with Cell Probes is Hard
[arXiv] 2025-12-02 | Emergent Quantum Valley Hall Insulator from Electron Interactions in Transition-Metal Dichalcogenide Heterobilayers
[arXiv] 2025-12-02 | Emergent Bayesian Behaviour and Optimal Cue Combination in LLMs
[arXiv] 2025-12-02 | VLM-Pruner: Buffering for Spatial Sparsity in an Efficient VLM Centrifugal Token Pruning Paradigm
[arXiv] 2025-12-02 | ALDI-ray: Adapting the ALDI Framework for Security X-ray Object Detection
[arXiv] 2025-12-02 | Embedding networks with the random walk first return time distribution
[arXiv] 2025-12-02 | Nucleon decays into three leptons: noncontact contributions
[arXiv] 2025-12-02 | Monotone Near-Zero-Sum Games: A Generalization of Convex-Concave Minimax
[arXiv] 2025-12-02 | Measuring and Rating Socioeconomic Disparities among Provinces: A Case of Turkiye
[arXiv] 2025-12-02 | Kaganov-Lifshitz-Tanatarov theory for tilted Dirac-cone materials: anisotropic heating from uniform light
[arXiv] 2025-12-02 | Beyond Single-Agent Safety: A Taxonomy of Risks in LLM-to-LLM Interactions
[arXiv] 2025-12-02 | The exchange coupling of a Wigner dimer
[arXiv] 2025-12-02 | Rational regulation strategies of interstitial localized electrons in electride: A density functional theory study
[arXiv] 2025-12-02 | Translating Measures onto Mechanisms: The Cognitive Relevance of Higher-Order Information
[arXiv] 2025-12-02 | PolarGuide-GSDR: 3D Gaussian Splatting Driven by Polarization Priors and Deferred Reflection for Real-World Reflective Scenes
[arXiv] 2025-12-02 | Multimode interface between optical free-space- and waveguide modes
[arXiv] 2025-12-02 | Cybersecurity AI: The World's Top AI Agent for Security Capture-the-Flag (CTF)
[arXiv] 2025-12-02 | Probing fully coherent radiation and parton densities using (virtual) photons at the LHC
[arXiv] 2025-12-02 | Competing excitonic couplings as origin of mimicked phase transitions in zinc-phthalocyanine single crystals
[arXiv] 2025-12-02 | Higgs physics in superconductors
[arXiv] 2025-12-02 | Unified Functional-Holographic Theory of the QCD Critical End Point
[arXiv] 2025-12-02 | GaN mid-IR plasmonics: low-loss epsilon-near-zero modes
[arXiv] 2025-12-02 | Stranger Things: A Grid-based Survey of Strange Modes in Post-Main Sequence Models
[arXiv] 2025-12-02 | IACT: A Self-Organizing Recursive Model for General AI Agents: A Technical White Paper on the Architecture Behind kragent.ai
[arXiv] 2025-12-02 | Semigroup action based on skew polynomial evaluation with applications to Cryptography
[arXiv] 2025-12-02 | Finite Element Prediction of Sintering Deformation in 3D-Printed Porcelain Filament
[arXiv] 2025-12-02 | Asymptotic behavior of solutions to a singular chemotaxis system in multi-dimensions
[arXiv] 2025-12-02 | Multigrid p-Robustness at Jacobi Speeds: Efficient Matrix-Free Implementation of Local p-Multigrid Solvers
[arXiv] 2025-12-02 | Retail Price Ripples
[arXiv] 2025-12-02 | DeepSeek-V3.2: Pushing the Frontier of Open Large Language Models
[arXiv] 2025-12-02 | OmniPerson: Unified Identity-Preserving Pedestrian Generation
[arXiv] 2025-12-02 | CUDA-L2: Surpassing cuBLAS Performance for Matrix Multiplication through Reinforcement Learning
[arXiv] 2025-12-02 | Moderate rank jumps on rational elliptic surfaces via construction of conics
[arXiv] 2025-12-02 | Solutions for Distributed Memory Access Mechanism on HPC Clusters
[arXiv] 2025-12-02 | Constraint-Optimal Driven Allocation for Scalable QEC Decoder Scheduling
[arXiv] 2025-12-02 | Numerical verification of PolyDG algebraic solvers for the pseudo-stress Stokes problem
[arXiv] 2025-12-02 | Tuning proximity-induced spin-orbit coupling in graphene/WSe$_{2}$ heterostructures
[arXiv] 2025-12-02 | Mean First Passage Time of the Symmetric Noisy Voter Model with Arbitrary Initial and Boundary Conditions
[arXiv] 2025-12-02 | Decentralized Fairness Aware Multi Task Federated Learning for VR Network
[arXiv] 2025-12-02 | Plasmonic nanopore to monitor in-pore chemistry
[arXiv] 2025-12-02 | Bayesian Physics-Informed Neural Networks for Inverse Problems (BPINN-IP): Application in Infrared Image Processing
[arXiv] 2025-12-02 | Relaxation Schemes for Flows in Networks: Application to Shallow Water and Blood Flow Equations
[arXiv] 2025-12-02 | InEx: Hallucination Mitigation via Introspection and Cross-Modal Multi-Agent Collaboration
[arXiv] 2025-12-02 | Altermagnetoelectric Spin Field Effect Transistor
[arXiv] 2025-12-02 | Pruning AMR: Efficient Visualization of Implicit Neural Representations via Weight Matrix Analysis
[arXiv] 2025-12-02 | Formation of bosonic $^{23}$Na$^{41}$K Feshbach molecules
[arXiv] 2025-12-02 | Unipotent quantum coordinate ring and minuscule prefundamental representations: twisted case
[arXiv] 2025-12-02 | Eisenstein cohomology and congruences for the ratios of Rankin--Selberg $L$-functions
[arXiv] 2025-12-02 | Additive functionals of Harmonic samples: the conditioned Dickman regime
[arXiv] 2025-12-02 | Syntomic formalism with coefficients
[arXiv] 2025-12-02 | Glance: Accelerating Diffusion Models with 1 Sample
[arXiv] 2025-12-02 | Polar Perspectives: Evaluating 2-D LiDAR Projections for Robust Place Recognition with Visual Foundation Models
[arXiv] 2025-12-02 | MindGPT-4ov: An Enhanced MLLM via a Multi-Stage Post-Training Paradigm
[arXiv] 2025-12-02 | Mapping code on Coarse Grained Reconfigurable Arrays using a SAT solver
[arXiv] 2025-12-02 | Insights into Extragalactic Background Light constraints with MAGIC archival data
[arXiv] 2025-12-02 | The future of AI in critical mineral exploration
[arXiv] 2025-12-02 | Communication-ready high-power soliton microcombs in highly-dispersive Fabry-Perot-microresonators
[arXiv] 2025-12-02 | SAT-MapIt: A SAT-based Modulo Scheduling Mapper for Coarse Grain Reconfigurable Architectures
[arXiv] 2025-12-02 | Think in Parallel, Answer as One: Logit Averaging for Open-Ended Reasoning
