[2026-06-17 12:47:32] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-16
正在获取论文...
[arXiv] 2026-06-16 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[arXiv] 2026-06-16 | Compositional Skill Routing for LLM Agents: Decompose, Retrieve, and Compose
[arXiv] 2026-06-16 | Coupled spin dynamics in epitaxial trilayer heterostructures of ferrimagnetic garnet
[arXiv] 2026-06-16 | Recursive Scaling in Masked Diffusion Models
[arXiv] 2026-06-16 | A Double--Scaling Large--\(d\) Saddle of BFSS/BMN Matrix Quantum Mechanics
[arXiv] 2026-06-16 | Tracing the very early disruption of the Sagittarius dwarf galaxy in the distant Milky Way halo
[arXiv] 2026-06-16 | Mass Probe of Tetrahedral Symmetry in Atomic Nuclei
[arXiv] 2026-06-16 | Geometrical fairness in graph neural networks
[arXiv] 2026-06-16 | Do We Really Need Diffusion? A Fast U-Net for Paired Medical Image Translation
[arXiv] 2026-06-16 | Reservoir computing based on multicore fibers
[arXiv] 2026-06-16 | Hamiltonian formalism for Bose excitations in a plasma with a non-Abelian interaction: plasmon bremsstrahlung
[arXiv] 2026-06-16 | Non-asymptotic Tail Bounds for the Kostlan--Shub--Smale Field: Tensor PCA and Spherical $k$-Spin Complexity
[arXiv] 2026-06-16 | An Analysis of the Effectiveness of Synthetic Speech Data for ASR Fine-tuning in Selected Indic Languages
[arXiv] 2026-06-16 | A Risk Decomposition Framework for Pre-Hoc Fine-Tuning Prediction
[arXiv] 2026-06-16 | Toward Quantum-Enhanced ISAC: Active-RIS-Aided Integrated Sensing and Communication with Rydberg Atomic Receivers
[arXiv] 2026-06-16 | Homogeneous Boltzmann-type equations on dense graphs
[arXiv] 2026-06-16 | Unveiling topology in imaging problems via quasi-isometry and persistent homology
[arXiv] 2026-06-16 | OPD-Evolver: Cultivating Holistic Agent Evolver via On-Policy Distillation
[arXiv] 2026-06-16 | Divide, Deliberate, Decide: A Multi-Agent Framework for Fine-Grained Egocentric Action Recognition
[arXiv] 2026-06-16 | Photon anti-bunching in high harmonic generation
[arXiv] 2026-06-16 | Synergy between CSST and future gravitational-wave detectors: Probing primordial black holes by cross-correlating dark sirens with galaxies
[arXiv] 2026-06-16 | Towards Speech Impairment Prediction in German-Speaking Individuals with Amyotrophic Lateral Sclerosis
[arXiv] 2026-06-16 | PracRepair: LLM-Empowered Automated Program Repair Inspired by Human-Like Debugging Practices
[arXiv] 2026-06-16 | A coarse Menger theorem for hyperbolic graphs, finitely presented groups, and more
[arXiv] 2026-06-16 | OQ~208: A New Fe~II Changing-look Active Galactic Nucleus and Implications for the Nature of the Changing-look Phenomenon
[arXiv] 2026-06-16 | A posteriori study of Thermal-Large Eddy Simulation in solar receiver operating conditions
[arXiv] 2026-06-16 | Exact Algorithms for Edge Deletion to Cactus Graphs and Weighted Variants
[arXiv] 2026-06-16 | Cordon: Semantic Transactions for Tool-Using LLM Agents
[arXiv] 2026-06-16 | Reducing Learner Redundancy in Boosting via Residual Orthogonalization
[arXiv] 2026-06-16 | Spectral Intertwining Operators
[arXiv] 2026-06-16 | Characterizing Orbital Parameters of Hot Subdwarf Binaries with Multiple Spectroscopic Surveys
[arXiv] 2026-06-16 | An AI Security Agent for Banking: Multi-Vector Fraud and AML Detection Across Retail and Corporate Accounts
[arXiv] 2026-06-16 | Application of the coherent structure tracking to solar Doppler maps to determine horizontal velocity fields at the Sun's surface
[arXiv] 2026-06-16 | Reinforcing Dual-Path Reasoning in Spatial Vision Language Models
[arXiv] 2026-06-16 | MGUP: A Momentum-Gradient Alignment Update Policy for Stochastic Optimization
[arXiv] 2026-06-16 | A polynomial-time approximation scheme for minimum-weight decoding of topological codes
[arXiv] 2026-06-16 | Sensing the Inflationary Production of Scalars
[arXiv] 2026-06-16 | VoidPadding: Let [VOID] Handle Padding in Masked Diffusion Language Models so that [EOS] Can Focus on Semantic Termination
[arXiv] 2026-06-16 | AIGS-Net: Compact Illumination Field Modeling via 2D Gaussian Splatting for Fast Low-Light Image Enhancement
[arXiv] 2026-06-16 | Differential Privacy of Gaussian Process Posterior Sampling
[arXiv] 2026-06-16 | Asymptotic enumeration of unlabelled cubic planar graphs
[arXiv] 2026-06-16 | Planning to Hammer: Difficulty-Aware Decomposition for Automating Rocq Proofs
[arXiv] 2026-06-16 | Kes 75 with IXPE: Detection of Nebular X-ray Polarization and Change in Pulsar Lightcurve
[arXiv] 2026-06-16 | STAR: SpatioTemporal Adaptive Reward Allocation for Text-to-Image RL Post-Training
[arXiv] 2026-06-16 | Learning task-specific subspaces via interventional post-training of speech foundation models
[arXiv] 2026-06-16 | Children Are Not the Enemy: Child-Fit Security as an Alternative to Bans and Surveillance
[arXiv] 2026-06-16 | RouteBalance: Fused Model Routing and Load Balancing for Heterogeneous LLM Serving
[arXiv] 2026-06-16 | Multigrid Preconditioning for FEEC using Mass-Lumping and Transforming Smoothers
[arXiv] 2026-06-16 | Dual Line Coherent Detection
[arXiv] 2026-06-16 | Direct Measurement of the $^{212}\mathrm{Pb}$ and $^{214}\mathrm{Pb}$ $β$ Decay Branching Ratios with the XENONnT Experiment
[arXiv] 2026-06-16 | Twin-beam advantage in quantum LiDAR under correlated noise
[arXiv] 2026-06-16 | WAM-RL: World-Action Model Reinforcement Learning with Reconstruction Rewards and Online Video SFT
[arXiv] 2026-06-16 | Constellation Design for Nonlinear Unified SWIPT Receiver Channels with Memory
[arXiv] 2026-06-16 | Hydrogen s-electrons as the origin of crystal magnetism beyond spin-orbit coupling
[arXiv] 2026-06-16 | Detectability of deuterium in spectra of early-type stars
[arXiv] 2026-06-16 | Demultiplexing Generalized Information via Quantum Transmission Lines
[arXiv] 2026-06-16 | Influence of Ultramicroporosity and Surface Chemistry on Dynamic CO2 Capture in Activated Carbons
[arXiv] 2026-06-16 | AI Adoption Across a Multinational Workforce: Sociotechnical Conditions for GenAI Acceptance in Human Resources
[arXiv] 2026-06-16 | Finite and disordered Kitaev chains: a large deviation study
[arXiv] 2026-06-16 | A 399uW 114.3 dB DR Companding Readout ASIC for MEMS Microphones Employing a Multirate Time-Domain ADC
[arXiv] 2026-06-16 | StepGuard: Guarding Web Navigation via Single-Step Calibration
[arXiv] 2026-06-16 | Perceptually-Weighted Video Quality Metric for Asymmetric Encoded Sports Videos
[arXiv] 2026-06-16 | Experimental Characterization and Modeling of Measurement-Induced State-Transitions in a Fluxonium Superconducting Qubit
[arXiv] 2026-06-16 | WallZero: Mastering the Game of WallGo with Strategic Analysis
[arXiv] 2026-06-16 | The antiferromagnetic transition in the frustrated bixbyite $β$-Fe$_2$O$_3$ magnet
[arXiv] 2026-06-16 | Environment-Grounded Automated Prompt Optimization for LLM Game Agents
[IEEE] 2026-6-16 | LLM-NER Driven Parametric Completion for Aircraft Assembly Order Document
[IEEE] 2026-6-16 | A Graph Deep Learning Approach for Ethereum Phishing Scam Detection
[IEEE] 2026-6-16 | 5GC-Bench: A Framework for Stress-Testing and Benchmarking 5G Core VNFs
[IEEE] 2026-6-16 | RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents
[IEEE] 2026-6-16 | Time Series Prediction of Wind and Solar Power in Power Generation Stations Based on the KNN-BiLSTM Model
[IEEE] 2026-6-16 | Threat Detection in Ethereum Smart Contracts Using a Hierarchical Depthwise Graph Convolutional Neural Network
[IEEE] 2026-6-16 | Artificial Intelligence in E-Learning: Shaping Personalized Education through Adaptive Systems
[IEEE] 2026-6-16 | ViChan: A Dataset Generation Framework for Vision-aided Channel Estimation with Deep Learning
[IEEE] 2026-6-16 | Modeling and Parameter Estimation of Air-to-Ground Channels Using a Mixture of Skew Normal Distributions
[IEEE] 2026-6-16 | On the Performance of Cognitive RSMA-Enabled Large-Scale MEC Networks
[IEEE] 2026-6-16 | Reserve Capacity Optimization Method for New-Type Power Systems Considering Reliability
[IEEE] 2026-6-16 | Insulator Defect Detection Algorithm Based on Optimized Yolov8-Attention Mechanism
[IEEE] 2026-6-16 | Massive Digital AirComp with Vector Quantization and Bidirectional Links for FEEL
[IEEE] 2026-6-16 | Primary – Secondary Coordinated Active Power Support Strategy for Grid-Following/Grid-Forming Hybrid Renewable Power Plants
[IEEE] 2026-6-16 | A Study on Synchronization of Multi-Modal Services Over 5G: From Application Layer to RAN
[IEEE] 2026-6-16 | Research on SMA Compaction Degree Monitoring Method Based on BP Neural Network
[IEEE] 2026-6-16 | Hybrid Lyapunov-Based Scheduling for Heterogeneous Traffic in 5G Industrial Environments
[IEEE] 2026-6-16 | End-to-End Compressed Learning Using a Dual Attention Residual Network at Low Sampling Rates
[IEEE] 2026-6-16 | Few-Shot Augmentation of Wind and Solar Power Data under Cold Wave Weather Condition
[IEEE] 2026-6-16 | RLCVP: Collaborative Vehicular Perception Against Data Fabrication Attacks
[IEEE] 2026-6-16 | Attention and Curiosity Based Reinforcement Learning Approach for Drone Collision Avoidance
[IEEE] 2026-6-16 | Reconfigurable Bandstop Surface for Beyond 5G/6G Applications
[IEEE] 2026-6-16 | Semantically Guided Temporal Action Segmentation for Industrial Assembly Operations
[IEEE] 2026-6-16 | Low-Code/No-Code Automation Framework for Library Prep Automation in Next Generation Sequencing (NGS) for Methylation Workflows
[IEEE] 2026-6-16 | Semantic Anchor-Based Localization and Failure Recovery for Indoor Mobile Robots
[IEEE] 2026-6-16 | When Security Aligns: Security Concord as a Determinant of Senior Mhealth Adoption
[IEEE] 2026-6-16 | Detection of Tobacco Stem Conditioning Atomization State Based on Swin Transformer
[IEEE] 2026-6-16 | A Spatial-Temporal Topological Decoupling Method in Battery-Free Sensor Networks
[IEEE] 2026-6-16 | A PSO-SVM Operating Condition Identification Method for Natural Gas Pipelines Oriented to Energy and Carbon Perception
[IEEE] 2026-6-16 | An HESS-Based Grid-Forming Equipment for Voltage Sag Ride-Through in Distribution Networks
[IEEE] 2026-6-16 | Signal Augmentation and Pseudo-Labeling for Semi-Supervised Automatic Modulation Classification
[IEEE] 2026-6-16 | Impact of Metallization on Quality Factor of Fused-silIca Shell Resonators
[IEEE] 2026-6-16 | Multi-Target Imaging with OFDM Transmission for Low-Altitude Wireless Networks
[IEEE] 2026-6-16 | DRL-Based Multi-AUVs Cooperative Path Planning Under Acoustic Field Constraint
[IEEE] 2026-6-16 | OA-SSM Net: Organ-Aware State Space Modeling for Abdominal Multi-Organ Segmentation
[IEEE] 2026-6-16 | Research on the Improvement of Image Defect Detection Method Based on DINO
[IEEE] 2026-6-16 | VLM-TAU: Traffic Accidents Understanding with Vision-Language Models
[IEEE] 2026-6-16 | Hybrid Semantic–Bit Networks for Asymmetric Industrial WNCSs: Resource Optimization with Peak Age of Semantic-Enabled Loop
[IEEE] 2026-6-16 | Characterization of Delamination Fatigue Damage of SiC
                    <sub>f</sub>
                    /SiC Composites Based on Cyclic Cohesion Model
[IEEE] 2026-6-16 | DL-DETR: Drone-based Lightweight Detection Models
[IEEE] 2026-6-16 | AI Based Textual Analysis Framework: Unlocking Patterns in Literary Works
[IEEE] 2026-6-16 | A Real-Time and Energy-Efficient 3D Gaussian Splatting-based Geometric and Semantic Mapping Processor with 2-level Redundancy Handling for Embodied Agents
[IEEE] 2026-6-16 | Incorporating Measurement Uncertainty into Uncertainty-Aware GANs: A Metrology-Driven Approach
[IEEE] 2026-6-16 | Exploring Capabilities of Vision Language Models to Perform Explainable Face Image Quality Assessments
[IEEE] 2026-6-16 | Kernel robust manifold nonnegative matrix factorization with local similarity learning
[IEEE] 2026-6-16 | Synchronization-Aware Cooperative MIMO for Kappa-Mu Faded Underwater Channels Using Hybrid Acoustic and Magnetic Induction
[IEEE] 2026-6-16 | Vector Envelope Spectrum Estimator: A Source Double-Channel Feature Extraction Method for Planetary Gearbox Fault Detection
[IEEE] 2026-6-16 | Non Iterative Fault Location Approach for Transmission Lines with Parameter Estimation
[IEEE] 2026-6-16 | Meteorology-Driven Self-Correcting LLM Priors for Smart Grid Outage Prediction and Bayesian Fault-Chain Risk Analysis
[IEEE] 2026-6-16 | XOV-Action: Towards Generalizable Open-Vocabulary Action Recognition
[IEEE] 2026-6-16 | Physics-Informed Prognostic Assessment of Transformer Oil Aging via Ultrasonic Sensing and an Integro-Difference Framework
[IEEE] 2026-6-16 | Modeling, Identifying, and Ultra-High‑Precision Trimming of Mass Imperfection in Hemispherical Resonator
[IEEE] 2026-6-16 | A Wideband and High Gain Stacked Dielectric Resonator Antenna With Cavity Backing Based on SISL for Millimeter-Wave Applications
[IEEE] 2026-6-16 | Federated Analytics Assisted Semantic Alignment for Secure and Privacy-preserving Image Classification
[IEEE] 2026-6-16 | Table of Contents
[IEEE] 2026-6-16 | Rotor Micro-Doppler Extraction in Protocol-Driven TDD ISAC With Periodic Sparse Sampling
[IEEE] 2026-6-16 | Novel Relationship Between Breakdown Voltage and Specific On-Resistance of Accumulation-Mode VDMOS
[IEEE] 2026-6-16 | Satellite NOMA for Direct-to-Cell Communications: Fundamentals, Protocols, and Opportunities
[IEEE] 2026-6-16 | Dynamic Analysis and Compensation Strategy for Power Generation Optimizing in PM-A Reluctance Starter/Generator in MEA
[IEEE] 2026-6-16 | A Metaloop Rectenna with Integrated Solar Cell for Compact RF-Solar Hybrid Energy Harvesting
[IEEE] 2026-6-16 | Estimation of Jitter Using Knowledge-Based Bidirectional Mamba Architecture for XDR Systems
[ACM] 2026-6-16 | CarbonX: An Open-Source Tool for Computational Decarbonization Using Time Series Foundation Models
[ACM] 2026-6-16 | Improving Datacenter IT Capacity, Cooling Efficiency and Lifetime with Underground Thermal Energy Storage Systems
[ACM] 2026-6-16 | GPU-Native Multi-Area State Estimation via SIMD Abstraction and Boundary Condensation
[IEEE] 2026-6-16 | Packaging and Integration of a Dual-Polarized MIMO Antenna with Pattern Diversity for Dual-Camera Wireless Capsule Endoscopy
[IEEE] 2026-6-16 | Blank Page
[IEEE] 2026-6-16 | Time Domain and Reflectivity Properties of Gas Discharge Tubes in Microwave Pulse Compression Cavities
[IEEE] 2026-6-16 | Heterogeneous Ensemble Learning-Based Soft Sensor Modeling Method for Silicon Content Prediction in Blast Furnace
[IEEE] 2026-6-16 | Successive Cancellation Decoding For General Monotone Chain Polar Codes
[IEEE] 2026-6-16 | Suppression Effect of Electron Beam on Partial Discharge in Vacuum
[IEEE] 2026-6-16 | A Novel Voltage-Divider-Based Defect Test Architecture for Post-bond Through Silicon Vias
[IEEE] 2026-6-16 | A General Approach to Visualizing Uncertainty in Statistical Graphics
[IEEE] 2026-6-16 | New Guideline of Variational Mode Decomposition for Compound Rotating Machinery Fault Diagnosis
[IEEE] 2026-6-16 | MEAE 2025 Copyright Page
[IEEE] 2026-6-16 | Weighted Bipartite Graph-Based Topology Derivation Method of Single-Stage Multiport Inverters
[IEEE] 2026-6-16 | Online Temperature Estimation of Three-Phase SCIM Using Low-Order LPTN Model
[IEEE] 2026-6-16 | Group-Aware Interactive Scenario Generation for Vehicle-Cyclist Interactions in Mixed-Traffic Autonomous Driving
[IEEE] 2026-6-16 | Privacy-Preserving Federated Multimodal Agriproduct Anomaly Detection in AIoT via Modality-Under-Optimized Knowledge Distillation_supp1-3703645.pdf
[IEEE] 2026-6-16 | SAGA: Open-World Mobile Manipulation via Structured Affordance Grounding
[IEEE] 2026-6-16 | Identifying Firm-Specific Business Diversification Opportunities Based on Existing Technological Capabilities: A Metapath2Vec and Subgraph Mining Approach
[IEEE] 2026-6-16 | A 1064-nm TFLN EOM with Low Drive Voltage and High Bandwidth Using Capacitively Loaded Electrodes
[IEEE] 2026-6-16 | Development and Validation of a Novel Handheld Spasticity Measurement System_supp1-3701556.docx
[IEEE] 2026-6-16 | Dynamic Sparse Attention and Frequency-Spatial Complementary Network for SAR Ship Detection
[IEEE] 2026-6-16 | LSMNet: A Lightweight Local-State Modeling Network for Tiny Object Detection in Aerial Images
[IEEE] 2026-6-16 | Characterisation of an Open-Ended Capacitive Sensing System
[IEEE] 2026-6-16 | Quantitative Evaluation of Thermal Camera Thermal Sensitivity and Spatial Resolution on Internal Defect Detection in CFRP Using Laser Thermography
[IEEE] 2026-6-16 | Unified Fault Tolerant Control of Bearingless Multi-Three Phase Permanent Magnet Synchronous Machines
[IEEE] 2026-6-16 | Look-Up Table Optimization for Kolmogorov-Arnold Networks on Microcontrollers
[IEEE] 2026-6-16 | Robust Multiping Forward-Looking Sonar Coherent Detection
[IEEE] 2026-6-16 | A C-band phase-controlled feedback laser approaching 60-GHz bandwidth and tailorable low-noise/flat-response characteristics
[ACM] 2026-6-16 | Settling the Pass Complexity of Approximate Matchings in Dynamic Graph Streams
[IEEE] 2026-6-16 | Second International Workshop on LLM+Vector Data: Agentic RAG Edition
[IEEE] 2026-6-16 | Perception Modeling and Dynamic Risk Assessment Optimization for CO
                    <sub>2</sub>
                    Transmission Systems Oriented Toward Energy-Carbon Chain Safety
[IEEE] 2026-6-16 | Exponential Stability via Hybrid Switching Strategy for Impulsive Switched T-S Fuzzy Systems With Delays
[IEEE] 2026-6-16 | Day-ahead Coordinated Dispatch of Photovoltaic-Battery-direct Current-flexible Energy MG Clusters
[IEEE] 2026-6-16 | Dual-arm Collaborative Compliance Manipulation Technology for Space Robots and Ground Testing
[IEEE] 2026-6-16 | Uniair: A Unified AI Framework for Multi-Task Joint Optimization Over the Air Interface
[IEEE] 2026-6-16 | COOL-Splat: A HW/SW Co-optimized Online 3D Gaussian Splatting Modeling Accelerator for Energy-Efficient 3D Modeling on Mobile Devices
[IEEE] 2026-6-16 | Abnormal Sound Detection for Microfans Based on Persistence-Guided Interpolation Resampling
[IEEE] 2026-6-16 | HS-FPN: A High-Frequency Spatial Feature Pyramid Network for Multimodal Fire Warning Using Vision-Sensor Cooperative Perception
共写入 200 条记录，保存到 papers/paper2026-06-16.json。
论文获取成功，文件路径: papers/paper2026-06-16.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[NO] 2/200 | When the Next Step Is Not One Step: Distribution-Aware Execution Modeling for Concurrent Go Programs
[NO] 3/200 | Future Dynamic 3D Reconstruction: A 3D World Model with Disentangled Ego-Motion
[NO] 4/200 | A Joint Optimal Search for Gravitational Waves from Resolved and Unresolved Supermassive Binary Black Holes with Pulsar Timing Arrays
[NO] 5/200 | LGNO: A Local-Global Neural Operator for Hyperbolic Conservation Laws
[NO] 6/200 | Finite-Time Queue Peak Laws in Stochastic Networks: Logarithmic Scaling After Geometric Thresholds
[NO] 7/200 | Conformal Prediction Intervals with Tail-Specific Guarantees
[NO] 8/200 | Receiver-Aware Analysis and Verification of the Spectral Separation Coefficient Under Interference-Induced Degradation
[NO] 9/200 | A Red-Team Study of Anthropic Fable 5 & Opus 4.8 Models
[NO] 10/200 | Kolmogorov Regression for Robust Diffusion Policies
[NO] 11/200 | An Encoder-Transformer Architecture for Recognition of the Jordan Structure of a Matrix
[NO] 12/200 | Beyond Plane Waves: Coherent Network Response to Collimated Gravitational-Wave Wavepackets
[NO] 13/200 | A Diffusion Approximation for Temporal-Difference Learning with Linear Features under Markovian Noise
[NO] 14/200 | Optimal Probe State for Phase Estimation Under Covariant Measurement
[NO] 15/200 | Learning Cardiac Electrophysiology Digital Twins Through Agentic Discovery of Hybrid Structure
[NO] 16/200 | A new class of Euler explosions
[NO] 17/200 | How Sparse and How Noisy? Systematic Benchmarking of Inverse Physics-Informed Neural Networks for Manning Friction Estimation in Shallow Water Equations
[NO] 18/200 | Behind Python: The Languages That Power AI
[NO] 19/200 | The Value of Adaptivity in LSM Bloom-Filter Tuning: A Log-Law and a Two-Clock Frontier
[NO] 20/200 | Productivity of maximal eventually different families
[NO] 21/200 | ComPart: Community-Guided Post-Coarsening for High-Quality Hypergraph Partitioning
[NO] 22/200 | The free boundary problem in general relativity
[NO] 23/200 | Decentralized Decision-Making for Finite-State Systems over Finite Alphabets is Undecidable
[NO] 24/200 | Unintended Effects of Geographic Conditioning in Large Language Models
[NO] 25/200 | Predicting Immune Biomarkers with MultiModal Mixture-of-Expert Pathology Foundation Models Empowers Precision Oncology
[NO] 26/200 | Verifiable computations for dynamic encrypted control
[NO] 27/200 | Querying an astronomical database using large language models: the ALeRCE text-to-SQL system
[NO] 28/200 | Trust the Right Teacher: Quality-Aware Self-Distillation for GUI Grounding
[NO] 29/200 | Probing jet evolution with charged energy correlators in small systems
[NO] 30/200 | One-Step Token-to-Waveform Generation with MeanFlow in Latent Space
[NO] 31/200 | Blended Chart Surfaces: A Seamless Explicit Representation for Smooth Surface Fitting
[NO] 32/200 | When AI Says "I have been in similar situations": Synthetic Lived Experience in Peer-Like Caregiver Support
[NO] 33/200 | ConSA: Controllable Sparsity in Hybrid Attention via Learnable Allocation
[NO] 34/200 | A Hybrid Optimization Framework for Grasp Synthesis under Partial Observations
[NO] 35/200 | An Empirical Analysis of AI Slop in Music Streaming
[NO] 36/200 | Compositional Skill Routing for LLM Agents: Decompose, Retrieve, and Compose
[NO] 37/200 | Coupled spin dynamics in epitaxial trilayer heterostructures of ferrimagnetic garnet
[NO] 38/200 | Recursive Scaling in Masked Diffusion Models
[NO] 39/200 | A Double--Scaling Large--\(d\) Saddle of BFSS/BMN Matrix Quantum Mechanics
[NO] 40/200 | Tracing the very early disruption of the Sagittarius dwarf galaxy in the distant Milky Way halo
[NO] 41/200 | Mass Probe of Tetrahedral Symmetry in Atomic Nuclei
[NO] 42/200 | Geometrical fairness in graph neural networks
[NO] 43/200 | Do We Really Need Diffusion? A Fast U-Net for Paired Medical Image Translation
[NO] 44/200 | Reservoir computing based on multicore fibers
[NO] 45/200 | Hamiltonian formalism for Bose excitations in a plasma with a non-Abelian interaction: plasmon bremsstrahlung
[NO] 46/200 | Non-asymptotic Tail Bounds for the Kostlan--Shub--Smale Field: Tensor PCA and Spherical $k$-Spin Complexity
[NO] 47/200 | An Analysis of the Effectiveness of Synthetic Speech Data for ASR Fine-tuning in Selected Indic Languages
[NO] 48/200 | A Risk Decomposition Framework for Pre-Hoc Fine-Tuning Prediction
[YES] 49/200 | Toward Quantum-Enhanced ISAC: Active-RIS-Aided Integrated Sensing and Communication with Rydberg Atomic Receivers
[NO] 50/200 | Homogeneous Boltzmann-type equations on dense graphs
[NO] 51/200 | Unveiling topology in imaging problems via quasi-isometry and persistent homology
[NO] 52/200 | OPD-Evolver: Cultivating Holistic Agent Evolver via On-Policy Distillation
[NO] 53/200 | Divide, Deliberate, Decide: A Multi-Agent Framework for Fine-Grained Egocentric Action Recognition
[NO] 54/200 | Photon anti-bunching in high harmonic generation
[NO] 55/200 | Synergy between CSST and future gravitational-wave detectors: Probing primordial black holes by cross-correlating dark sirens with galaxies
[NO] 56/200 | Towards Speech Impairment Prediction in German-Speaking Individuals with Amyotrophic Lateral Sclerosis
[NO] 57/200 | PracRepair: LLM-Empowered Automated Program Repair Inspired by Human-Like Debugging Practices
[NO] 58/200 | A coarse Menger theorem for hyperbolic graphs, finitely presented groups, and more
[NO] 59/200 | OQ~208: A New Fe~II Changing-look Active Galactic Nucleus and Implications for the Nature of the Changing-look Phenomenon
[NO] 60/200 | A posteriori study of Thermal-Large Eddy Simulation in solar receiver operating conditions
[NO] 61/200 | Exact Algorithms for Edge Deletion to Cactus Graphs and Weighted Variants
[NO] 62/200 | Cordon: Semantic Transactions for Tool-Using LLM Agents
[NO] 63/200 | Reducing Learner Redundancy in Boosting via Residual Orthogonalization
[NO] 64/200 | Spectral Intertwining Operators
[NO] 65/200 | Characterizing Orbital Parameters of Hot Subdwarf Binaries with Multiple Spectroscopic Surveys
[NO] 66/200 | An AI Security Agent for Banking: Multi-Vector Fraud and AML Detection Across Retail and Corporate Accounts
[NO] 67/200 | Application of the coherent structure tracking to solar Doppler maps to determine horizontal velocity fields at the Sun's surface
[NO] 68/200 | Reinforcing Dual-Path Reasoning in Spatial Vision Language Models
[NO] 69/200 | MGUP: A Momentum-Gradient Alignment Update Policy for Stochastic Optimization
[NO] 70/200 | A polynomial-time approximation scheme for minimum-weight decoding of topological codes
[NO] 71/200 | Sensing the Inflationary Production of Scalars
[NO] 72/200 | VoidPadding: Let [VOID] Handle Padding in Masked Diffusion Language Models so that [EOS] Can Focus on Semantic Termination
