[2026-08-26 09:34:06] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-25
正在获取论文...
[arXiv] 2026-08-25 | Fast generation of spectrally-shaped disorder, on the sphere
[arXiv] 2026-08-25 | Security Education in Higher Education through AI-Powered Gamification
[arXiv] 2026-08-25 | The Paradox of Strategic Altruism
[arXiv] 2026-08-25 | Graded face lifts and free extreme points of free spectrahedra
[arXiv] 2026-08-25 | Score-Based Ideal Observer Approximation via Denoising Score Matching for Signal-Known-Exactly Detection Tasks
[arXiv] 2026-08-25 | A Novel Fractional-Order Accelerated Gradient Descent Method for Nonlinear Optimization with Application to Posture Recognition
[arXiv] 2026-08-25 | Potential survivable niches for microbial life on the lunar south pole
[arXiv] 2026-08-25 | Regularity method for hypergraphs with $4$-cycle-free links
[arXiv] 2026-08-25 | Discovery Potentials for the Cosmic Neutrino Background using Single Arm Interferometer
[arXiv] 2026-08-25 | Learning to Prefer Reliably: Error-Augmented Emotion Preference Optimization with Calibrated Fusion
[arXiv] 2026-08-25 | Cosmic muon arrival directions as a source of entropy
[arXiv] 2026-08-25 | Arbitrary Polygon Oscillator: Generalizing Polygonal Synthesis to Arbitrary Shapes, Morphing, and Three-Dimensional Polyhedra
[arXiv] 2026-08-25 | Computable aspects of the Laver partition theorem
[arXiv] 2026-08-25 | Deep Learning Super Resolution for Satellite Cloud Mask Downscaling
[arXiv] 2026-08-25 | Towards Optimal Quantum Estimators for State Frame Potential
[arXiv] 2026-08-25 | Resummed Power Corrections in Nuclear DVCS
[arXiv] 2026-08-25 | Lead-Lag Relationships in Financial Markets: A Comparison of Multiple Clustering Algorithms
[arXiv] 2026-08-25 | Unsupervised Deep Learning Method for Clustering KAGRA O3GK Transient Noise Data
[arXiv] 2026-08-25 | Jerky Motion of Active Granular Particles
[arXiv] 2026-08-25 | A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology
[arXiv] 2026-08-25 | The Isaacs-Navarro-Wolf conjecture
[arXiv] 2026-08-25 | TurboT2VA: Fast Large-Scale Text-to-Video-Audio Generation via Score-Regularized Consistency Distillation
[arXiv] 2026-08-25 | ReGround-Surg: Reliability-Guided Anchor Grounding for Referring Surgical Video Segmentation
[arXiv] 2026-08-25 | Who Falls for SMiSh? Learning Through Survey Data Where to Best Target Awareness Training for Mobile Messaging Attacks
[arXiv] 2026-08-25 | From local kernels to global form: modeling the emergence of musical content
[arXiv] 2026-08-25 | Some Examples and Counterexamples in Oka Theory
[arXiv] 2026-08-25 | Simthesizer: An Agent-Driven Simulation Framework for LLM Serving Systems
[arXiv] 2026-08-25 | VideoHarness-RSI: Recursive Harness Self-Improvement for Long-Video Understanding with Frozen Vision-Language Models
[arXiv] 2026-08-25 | RecGPT-Mobile-V2 Technical Report
[arXiv] 2026-08-25 | Existence of densities and atoms for the running maximum of time-inhomogeneous jump diffusions
[arXiv] 2026-08-25 | Impact of Optical Reconfigurable Intelligent Surfaces on Channel Estimation for VLC Systems
[arXiv] 2026-08-25 | LEMONS: Leveraging Model-Based Techniques to Enable Non-Intrusive Semantic Enrichment in Wireless Sensor Networks
[arXiv] 2026-08-25 | Towards LLM-Enhanced Android Taint Analysis
[arXiv] 2026-08-25 | Cross-Stack Validation of Language-Model Training: A Clinical Fine-Tuning Case Study
[arXiv] 2026-08-25 | Intrinsic Structure of Elasticity in Hilbert Space
[arXiv] 2026-08-25 | Critical Three-Species Competition-Diffusion: Traveling-Wave Rigidity and the Fastest-Species Selection
[arXiv] 2026-08-25 | The Value Generating Power of Weighted Tree Automata with Initial Algebra Semantics
[arXiv] 2026-08-25 | Off-stoichiometric variable doping for exceptional power factors in L2$_1$ Fe$_2$VAlM$_x$ (M=Ti, W) epitaxial thin films
[arXiv] 2026-08-25 | An HI study of a large sample of ultra-diffuse galaxies
[arXiv] 2026-08-25 | Aura: Dynamic Intra-Turn Emotion-Aware Adaptation of Large Language Model Responses
[arXiv] 2026-08-25 | Excitonic fingerprints of magnetic configurations and switching in multilayer CrSBr
[arXiv] 2026-08-25 | Agentopia on a Consumer GPU: A Reduced-Scale Long-Horizon Port with an 8B Model
[arXiv] 2026-08-25 | Optimal Hardy Inequalities for Random Walks on $\mathbb{Z}^2$
[arXiv] 2026-08-25 | A Data-dependent Early Stopping Rule using Rademacher Complexity with L1-norm
[arXiv] 2026-08-25 | Splitting singular fibers with periodic monodromies and their monodromy factorization
[arXiv] 2026-08-25 | SDSS-IV MaNGA: Star Formation Cessation in Low-redshift Galaxies. III. Dependence on Quenching Criteria
[arXiv] 2026-08-25 | A Minimal Thermodynamically Consistent Chemical Oscillator
[arXiv] 2026-08-25 | NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics
[arXiv] 2026-08-25 | Testing for Stable Intervals in Non-Stationary Time Series
[arXiv] 2026-08-25 | 'Ghaib in Translation' aka Unseen Harm: Measuring Cross-Script Safety Inconsistency with 'Missed-in-Urdu' Scores in LLM Hate Speech Detection
[arXiv] 2026-08-25 | The transformations of the mToda hierarchy in tau functions
[arXiv] 2026-08-25 | Quadratic Optimization over Probability Measures with Coupling Constraints
[arXiv] 2026-08-25 | Gradient-extrapolation-based distributed mirror descent algorithm for multi-cluster aggregative games
[arXiv] 2026-08-25 | Spatiotemporal organization in bike-sharing systems using gravity model parameters
[arXiv] 2026-08-25 | Amortized Set Prediction for Inverse IFS Reconstruction from Density Maps
[arXiv] 2026-08-25 | Efficient Treatment of Non-Linearity in Quantum Computational Fluid Dynamics Using Hybrid Tensor Networks
[arXiv] 2026-08-25 | Classification of Metal - Insulator Transitions: Relating characteristic Properties to Quantum Chemical Bonding Descriptors
[arXiv] 2026-08-25 | StabQ: Quantum Program Analysis via Weighted Stabilizer Representations
[arXiv] 2026-08-25 | Invariant pointwise closed subspaces of Lipschitz spaces and their preduals
[arXiv] 2026-08-25 | What Does Prompt Learning Change? -A Natural-Language Concept Analysis of Vision-Language Models
[arXiv] 2026-08-25 | Towards a Connection Formulation of Action-Dependent Palatini Gravity
[arXiv] 2026-08-25 | EgoErrorVQA: Assess Egocentric Comprehension Capabilities through Procedural Errors for Ego-Agentic AI
[arXiv] 2026-08-25 | A Case for Competition in Information Provision
[arXiv] 2026-08-25 | Functions with comparable integrals on all k-planes
[arXiv] 2026-08-25 | Graph-Supervised Hierarchical Clinical Alignment for Radiology Report Generation with Large Language Models
[arXiv] 2026-08-25 | Strang's Conjecture: Positive Result on Strong Collapsible Complexes and a Code to Check the Conjecture
[arXiv] 2026-08-25 | Thermodynamics, Joule-Thomson Expansion and Ruppeiner Geometry of a Dyonic NED-AdS Black Hole Surrounded by Quintessence
[arXiv] 2026-08-25 | Trajectory-Level Continuous Action Representation for Robotic Manipulation
[arXiv] 2026-08-25 | Spatially resolved spectral properties of M87* on event horizon scales
[arXiv] 2026-08-25 | qshap: Fast Shapley Decomposition of $R^2$ for Gradient-Boosted Trees
[arXiv] 2026-08-25 | An Ore-type condition for regular factors
[arXiv] 2026-08-25 | Sharp Bisection Bounds for Digraphs
[arXiv] 2026-08-25 | Knowing When to Ask for Help: Bayesian Self-Escalation in Hierarchical LLM Agents
[arXiv] 2026-08-25 | Mesa Orientation Engineering for Polarization Locking in VCSELs
[arXiv] 2026-08-25 | ORBITALIF: An Efficient Spiking Federated Learning Framework for Onboard Cloud Removal
[arXiv] 2026-08-25 | Representation Learning in Diffusion and Flow-based Model: An Application Aspect
[arXiv] 2026-08-25 | Rank and Range Criteria for Mixed-State Determination from Local Marginals
[arXiv] 2026-08-25 | A Judge Should Know What Changed:Construct Validity for LLM-as-a-Judge Evaluation
[arXiv] 2026-08-25 | Spectral geometry of Khovanov Laplacians
[IEEE] 2026-8-25 | Table of Contents
[IEEE] 2026-8-25 | Decision letter for "When Less Is More: Simplicity Beats Complexity for Physics-Constrained InSAR Phase Unwrapping"
[ACM] 2026-8-25 | Role of Programming Confidence in Computing Students' Sense of Belonging
[ACM] 2026-8-25 | Progression in emergent K-12 Informatics: Exploring Teachers’ Perspectives
[IEEE] 2026-8-25 | On the Analysis and Optimization of Low-latency Scalable Video Streams with Random Linear Streaming Codes
[IEEE] 2026-8-25 | Replicating Human Fingertip Compliance in Soft Pads: Design and Experimental Validation
[IEEE] 2026-8-25 | Two-Parameter Rényi Information Quantities and Their Applications
[IEEE] 2026-8-25 | Trade-offs in Quantized Toeplitz Covariance Estimation Under Partial Observations
[IEEE] 2026-8-25 | Convergence Properties of Good Quantum Codes for Classical Communication
[IEEE] 2026-8-25 | Modeling of Mode Coupling in SDM Fibers
[IEEE] 2026-8-25 | Towards Ciphertext-Efficient LWE: Learning With Sampling over Sublattices
[IEEE] 2026-8-25 | Acoustic emission hit detection with autoregressive filtering and sequential probability ratio test
[IEEE] 2026-8-25 | A Hybrid ACO-GA Approach for Drone Food Delivery Path Planning in Campus Environments
[IEEE] 2026-8-25 | Improved Capacity Upper Bounds for the Deletion Channel using a Parallelized Blahut-Arimoto Algorithm
[IEEE] 2026-8-25 | Universal Necessary and Sufficient Conditions for Positive Rate Covert Communications
[IEEE] 2026-8-25 | Random Gilbert-Varshamov Codes for Joint Source-Channel Coding
[IEEE] 2026-8-25 | Entanglement-Assisted Bosonic MAC: Achievable Rates and Covert Communication
[IEEE] 2026-8-25 | Backlash-Aware Design of Backdrivable Gearbox for Robotic Actuator
[IEEE] 2026-8-25 | Tropical-coded Joint Detection in Asynchronous Massive Access
[IEEE] 2026-8-25 | Model of a Resonant-Type Spiking Neuron Based on Semiconductor Field-Emission Structures with a Vacuum Nanogap
[IEEE] 2026-8-25 | NoduleNet: Deep Learning-Based Computational Model for Thyroid Cancer Detection
[IEEE] 2026-8-25 | HOA-VMD Enhanced FMCW Radar Signal Processing for Non-Contact Heart Rate Monitoring
[IEEE] 2026-8-25 | Smooth, Repeatable, and Highly Dynamic In-Hand Manipulation via Decentralized Adaptable Multi-Actuator Trajectory Planning
[IEEE] 2026-8-25 | Explainable AI for Deep Learning-Based Intrusion Detection Systems: A Comparative Analysis of SHAP and LIME with Robustness Evaluation
[IEEE] 2026-8-25 | Serpentine Scan Mamba for Coronary Angiography Vessel Segmentation
[IEEE] 2026-8-25 | Low Power Low Voltage CNTFET Based VDCC
[IEEE] 2026-8-25 | Scalability of Co-Packaged DWDM Optical I/O for High-Density AI Fabrics
[IEEE] 2026-8-25 | Information-Theoretic Secure Aggregation over Regular Graphs
[IEEE] 2026-8-25 | Cascaded Observer-Based Tracking Control of a Boost-Converter Supplied DC Motor
[IEEE] 2026-8-25 | Fast Trajectory Generation via Energy-Guided Flow Matching with Dynamics-Agnostic Training
[IEEE] 2026-8-25 | SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models
[IEEE] 2026-8-25 | Lyndon-Word Expurgation and Sphere Decoding of Tail-Biting Convolutional Codes Using BCH Codes
[IEEE] 2026-8-25 | A Measurement Framework for Distinguishing Human Activities Using Time-Frequency Analysis of Ultrasonic Sensors Data
[IEEE] 2026-8-25 | Observation of Spatially Structured Montgomery Effect in Free Space
[IEEE] 2026-8-25 | A Co-Creation Approach to User Requirements for Data-Driven Living Environment Services
[IEEE] 2026-8-25 | Diagnostic Benchmarking of Pseudo-Volumetric Representations for Biplanar X-ray-to-CT Reconstruction
[IEEE] 2026-8-25 | Gimbal-Based Human Tracking for Companion Robots Using Continual Learning
[IEEE] 2026-8-25 | MINDGAN: EEG-Based Motor Imagery Decoding via Hybrid CNN–Transformer with Curriculum GAN Augmentation
[IEEE] 2026-8-25 | An Autonomous Eldercare Companion Robot with a Reconfigurable Base-of-Support and Active Harness for Fall Prevention, Mobility Assistance, and Tai Chi Exercise
[IEEE] 2026-8-25 | Hardware-Optimized Parallel-Prefix Logic for High- Speed Three-Operand Binary Addition
[IEEE] 2026-8-25 | Topological Mapping Based on Camera Loop Constraints and IMU Heading Constraints
[IEEE] 2026-8-25 | Local Approximation for Privacy Mechanism Design Under LIP and Max-Lift: An Extension to General Leakage Matrices
[IEEE] 2026-8-25 | A Smart Device for Airborne Particulate Matter: An IoT Node to Improve the Quality of Life
[IEEE] 2026-8-25 | Poster: SAF: Semantic-Aware Flushing for Latency and Jitter Suppression in Continuous VLA Inference on Edge Devices
[IEEE] 2026-8-25 | Autonomous Aircraft Control Using Double Deep Q-Networks
[IEEE] 2026-8-25 | Reverse Interleaved Symbol-Interval Mapping for Non-Binary Overlapped Arithmetic Code
[IEEE] 2026-8-25 | Vision-Based and Host-Level Detection Framework for NTDS Credential Attacks in Active Directory
[IEEE] 2026-8-25 | Lower Bounds on Code Conversion Bandwidth via a Novel Information-theoretic Approach
[IEEE] 2026-8-25 | Linear List Decodable Edit-Correcting Codes with Rate Approaching 1
[IEEE] 2026-8-25 | Metrics for Maximizing Traction in the Design of Wheeled Robots for Soft Terrain
[IEEE] 2026-8-25 | Reed–Muller Codes Achieve the Symmetric Capacity on Finite-State Channels
[IEEE] 2026-8-25 | Robotic Skill Diversification via Active Mutation of Reward Functions in Reinforcement Learning During a Liquid Pouring Task
[IEEE] 2026-8-25 | Optimizing the Photoluminescence Properties of CdSe/CdS Colloidal Quantum Dots Doping Nanocomposites for Use in Fabricating All-Fiber Single-Photon Sources
[IEEE] 2026-8-25 | Implicit Bias and Convergence of Matrix Stochastic Mirror Descent
[IEEE] 2026-8-25 | A Decoding Algorithm for the Lexicographic Composition de Bruijn Sequence
[IEEE] 2026-8-25 | On Existence of Girth-8 QC-LDPC Code with Large Column Weight: Combining Mirror-sequence with Classification Modulo Ten
[IEEE] 2026-8-25 | Whole Body Compliance Control for Mobile Manipulators
[IEEE] 2026-8-25 | Design and Analysis of an Origami-Inspired 3-DoF Spherical Joint
[ACM] 2026-8-25 | Tetris for Gas: State Variable Mutation for Reducing Smart Contract Deployment Costs
[IEEE] 2026-8-25 | Agentic AI with Zero-Shot Transfer for QoS- and Energy-Aware Resource Auto-Scaling in Cloud-Native B5G Network Slices
[IEEE] 2026-8-25 | Table of Contents
[IEEE] 2026-8-25 | High-Confidence Pseudolabeling-Enhanced Multiorder Dynamic Sparse Graph Aggregation Network for Semi-Supervised Hyperspectral Change Detection_supp1-3724649.pdf
[IEEE] 2026-8-25 | Barrier-Based Adaptive Sliding Mode Security Control for Interconnected Power Systems
[IEEE] 2026-8-25 | IEEE Transactions on Smart Grid Information for Authors
[IEEE] 2026-8-25 | Reliable Task Allocation for Multi-Robot System Using Safe Deep Reinforcement Learning
[IEEE] 2026-8-25 | Direct Satellite-to-Device Communications: From Cooperative Task Offloading to Noncooperative Access Monitoring
[IEEE] 2026-8-25 | Comparing Ankle Dorsiflexion-Only, Hip Flexion-Only, and Combined Hip-Ankle Assistance During Simulated Foot Drop Gait_supp1-3726470.docx
[IEEE] 2026-8-25 | Modeling of Near-Field Self-Injection-Locked Radar for Wrist-Pulse Sensing: Small-Signal Analysis and Validation
[IEEE] 2026-8-25 | Hierarchical Surgeon–Robot–Patient Interaction for Robot–Assisted Transperineal Prostate Biopsy Under Transrectal Ultrasound Guidance
[IEEE] 2026-8-25 | PhysioDrift-Fed: Confronting the Drift-Rate Heterogeneity Problem in Federated Learning for Consumer Cardiac Wearables
[IEEE] 2026-8-25 | Fed-ARDP: An Adaptive Reputation-Driven Federated Learning Framework using Renyi Differential Privacy
[IEEE] 2026-8-25 | Dynamic Frequency Shaping of Grid-following and Grid-forming Inverters
[IEEE] 2026-8-25 | Inversion Model of Coastal Soil Salinity Based on Hybrid Feature Selection and Machine Learning Algorithms_supp1-3726533.pdf
[IEEE] 2026-8-25 | HGKAN: Hyperbolic Graph-Based Kolmogorov-Arnold Network for Social Recommendation
[IEEE] 2026-8-25 | A Spatio-Temporal Multimodal Deep Learning Framework for Taxi Demand Prediction from Multi-Source and Mixed-Type Data
[IEEE] 2026-8-25 | An Efficient Weaver Bird Optimization-Based Approach for Multilevel Thresholding RGB Satellite Image Segmentation
[ACM] 2026-8-25 | “I felt like I was behind because I’m Scottish”: Challenges and Transitions for Scottish Undergraduate Students in Computer Science
[ACM] 2026-8-25 | Visual Search Strategies in Dense Virtual Reality Scenes Depend on Inter-Object Spacing
[IEEE] 2026-8-25 | Dynamic cumulative residual Fisher information measures, connections to aging measures, and use in model selection
[IEEE] 2026-8-25 | Detection and Prevention of Internet Control Message Protocol Flood Attack in Software-Defined Network using Dynamic Threshold and Machine Learning
[IEEE] 2026-8-25 | Text-Embedded Domain-Generalized State Space Model for the Visual Question Answering of SAR Images
[IEEE] 2026-8-25 | Flight-Timing Hierarchical Surrogate-Based Optimization for Sparse-Window UAV-IoT Packet Collection
[IEEE] 2026-8-25 | Elliptic Range-Doppler Mapping for OFDM-ISAC under IQ Imbalance
[IEEE] 2026-8-25 | IntrinsicReal: Adapting IntrinsicAnything From Synthetic to Real Objects
[IEEE] 2026-8-25 | Multi-Fault Simultaneous Diagnosis for Dual Three-phase PMSMs Using Current and Voltage Signatures
[IEEE] 2026-8-25 | Intention-Aware Cooperation for Efficient Resource Allocation in C-V2X Networks
[IEEE] 2026-8-25 | BH-tsNET, FIt-tsNET, and L-tsNET: Fast tsNET Algorithms for Large Graph Drawing
[IEEE] 2026-8-25 | Joint Optimization of User Terminal Antenna Placement and Satellite Beam Hopping in Mega NGSO Networks
[IEEE] 2026-8-25 | Committee
[IEEE] 2026-8-25 | Analyzing Collection Strategies: A Computational Perspective on the Coupon Collector Problem
[IEEE] 2026-8-25 | Multi-Agent Reinforcement Learning for Mobile Robots under Kinematic Reachability Constraints
                    <sup>*</sup>
[IEEE] 2026-8-25 | Fabrication of the GaN-based Sharp and Narrow Array Tips for Vacuum Electron Source and Nanoelectronics Device Application
[IEEE] 2026-8-25 | Extended Typicality with Feedback and an Application to ISAC
[IEEE] 2026-8-25 | A Highly Stable Two-Stage Cmos Amplifier For Arbitrary Capacitive Loads Using Power Gating Techniques
[IEEE] 2026-8-25 | An Ultra-Low-Energy Transmission-Gate-Based CAM Architecture for High-Efficiency Hardware Search Engines
[IEEE] 2026-8-25 | Time-resolved measurement in TEM using pulse electron beam emitted from NEA photocathode
[IEEE] 2026-8-25 | Design of a Tightly Integrated Humanoid Robot Head for Multimodal Interaction
[IEEE] 2026-8-25 | Design and Analysis of Multislotted Microstrip Patch Antenna with Defected Ground Structures for Wireless Communications
[IEEE] 2026-8-25 | Artificial Intelligence in Education: Automated Assessment and Essay Scoring Systems
[IEEE] 2026-8-25 | A wireless multi-legged microrobot platform for inspecting both pipelines and wall surfaces in infrastructure facilities
共写入 200 条记录，保存到 papers/paper2026-08-25.json。
论文获取成功，文件路径: papers/paper2026-08-25.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Fast generation of spectrally-shaped disorder, on the sphere
[NO] 2/200 | Dynamical Consequences of Nontrivial Topology of Molecular Conical Intersections
[NO] 3/200 | The Equality Case in the Positive Square-Energy Strengthening of Turán's Theorem
[NO] 4/200 | Improving Cross-Problem Vehicle Routing with Locally Augmented Preferences and Representation Disentanglement
[NO] 5/200 | The Optimal Asymptotic Rate of Generalized Covering Codes
[NO] 6/200 | Thermal Stability of Radiation-Pressure-Dominated Accretion Disks Threaded by Net Vertical Magnetic Flux
[NO] 7/200 | Research Methodologies for Cybersecurity in Enterprise Environments: A Narrative Review, Synthesis and Executable Guide
[NO] 8/200 | The bracket width for Lie algebras of vector fields is finite
[NO] 9/200 | BrowserForge: Scaling Web Episode via Parallel Browser Sandboxes
[NO] 10/200 | FedV-KGQA: Multi-Hop Question Answering over Vertically Partitioned Knowledge Graphs
[NO] 11/200 | Vanishing of higher Legendrian homology for rainbow closures
[NO] 12/200 | Classification of Maximally Charged Black Holes
[NO] 13/200 | Polynomial Ergodic Averages Along Short Intervals
[NO] 14/200 | A counterexample to Nevanlinna's century-old half-plane problem
[NO] 15/200 | STAR Highlights II: Study of Small Systems and the Search for New, Exotic Physics
[NO] 16/200 | The Mass Dependence of the Fundamental Metallicity Relation in Observations and Simulations
[NO] 17/200 | Roton Instability in Quantum Droplets with Finite-Range Soft-Core Interaction
[NO] 18/200 | Integral quadratic forms over a ring of $p$-adic integers
[NO] 19/200 | Sparse domination implies convex body domination
[NO] 20/200 | Fröberg's Conjecture for Quintics and Septics in Four Variables
[NO] 21/200 | Probing Dirac Dark Matter in Composite Higgs Models with Xenon and Argon targets
[NO] 22/200 | Harvesting the Volatility Risk Premium: A Learning-to-Rank Approach
[NO] 23/200 | Security Education in Higher Education through AI-Powered Gamification
[NO] 24/200 | The Paradox of Strategic Altruism
[NO] 25/200 | Graded face lifts and free extreme points of free spectrahedra
[NO] 26/200 | Score-Based Ideal Observer Approximation via Denoising Score Matching for Signal-Known-Exactly Detection Tasks
[NO] 27/200 | A Novel Fractional-Order Accelerated Gradient Descent Method for Nonlinear Optimization with Application to Posture Recognition
[NO] 28/200 | Potential survivable niches for microbial life on the lunar south pole
[NO] 29/200 | Regularity method for hypergraphs with $4$-cycle-free links
[NO] 30/200 | Discovery Potentials for the Cosmic Neutrino Background using Single Arm Interferometer
[NO] 31/200 | Learning to Prefer Reliably: Error-Augmented Emotion Preference Optimization with Calibrated Fusion
[NO] 32/200 | Cosmic muon arrival directions as a source of entropy
[NO] 33/200 | Arbitrary Polygon Oscillator: Generalizing Polygonal Synthesis to Arbitrary Shapes, Morphing, and Three-Dimensional Polyhedra
[NO] 34/200 | Computable aspects of the Laver partition theorem
[NO] 35/200 | Deep Learning Super Resolution for Satellite Cloud Mask Downscaling
[NO] 36/200 | Towards Optimal Quantum Estimators for State Frame Potential
[NO] 37/200 | Resummed Power Corrections in Nuclear DVCS
[NO] 38/200 | Lead-Lag Relationships in Financial Markets: A Comparison of Multiple Clustering Algorithms
[NO] 39/200 | Unsupervised Deep Learning Method for Clustering KAGRA O3GK Transient Noise Data
[NO] 40/200 | Jerky Motion of Active Granular Particles
[NO] 41/200 | A Multimodal Foundation Model for Longitudinal Patient Representation and Scalable Insight Generation in Oncology
[NO] 42/200 | The Isaacs-Navarro-Wolf conjecture
[NO] 43/200 | TurboT2VA: Fast Large-Scale Text-to-Video-Audio Generation via Score-Regularized Consistency Distillation
[NO] 44/200 | ReGround-Surg: Reliability-Guided Anchor Grounding for Referring Surgical Video Segmentation
[NO] 45/200 | Who Falls for SMiSh? Learning Through Survey Data Where to Best Target Awareness Training for Mobile Messaging Attacks
[NO] 46/200 | From local kernels to global form: modeling the emergence of musical content
[NO] 47/200 | Some Examples and Counterexamples in Oka Theory
[NO] 48/200 | Simthesizer: An Agent-Driven Simulation Framework for LLM Serving Systems
[NO] 49/200 | VideoHarness-RSI: Recursive Harness Self-Improvement for Long-Video Understanding with Frozen Vision-Language Models
[NO] 50/200 | RecGPT-Mobile-V2 Technical Report
[NO] 51/200 | Existence of densities and atoms for the running maximum of time-inhomogeneous jump diffusions
[YES] 52/200 | Impact of Optical Reconfigurable Intelligent Surfaces on Channel Estimation for VLC Systems
[NO] 53/200 | LEMONS: Leveraging Model-Based Techniques to Enable Non-Intrusive Semantic Enrichment in Wireless Sensor Networks
[NO] 54/200 | Towards LLM-Enhanced Android Taint Analysis
[NO] 55/200 | Cross-Stack Validation of Language-Model Training: A Clinical Fine-Tuning Case Study
[NO] 56/200 | Intrinsic Structure of Elasticity in Hilbert Space
[NO] 57/200 | Critical Three-Species Competition-Diffusion: Traveling-Wave Rigidity and the Fastest-Species Selection
[NO] 58/200 | The Value Generating Power of Weighted Tree Automata with Initial Algebra Semantics
[NO] 59/200 | Off-stoichiometric variable doping for exceptional power factors in L2$_1$ Fe$_2$VAlM$_x$ (M=Ti, W) epitaxial thin films
[NO] 60/200 | An HI study of a large sample of ultra-diffuse galaxies
[NO] 61/200 | Aura: Dynamic Intra-Turn Emotion-Aware Adaptation of Large Language Model Responses
[NO] 62/200 | Excitonic fingerprints of magnetic configurations and switching in multilayer CrSBr
[NO] 63/200 | Agentopia on a Consumer GPU: A Reduced-Scale Long-Horizon Port with an 8B Model
[NO] 64/200 | Optimal Hardy Inequalities for Random Walks on $\mathbb{Z}^2$
[NO] 65/200 | A Data-dependent Early Stopping Rule using Rademacher Complexity with L1-norm
[NO] 66/200 | Splitting singular fibers with periodic monodromies and their monodromy factorization
[NO] 67/200 | SDSS-IV MaNGA: Star Formation Cessation in Low-redshift Galaxies. III. Dependence on Quenching Criteria
[NO] 68/200 | A Minimal Thermodynamically Consistent Chemical Oscillator
[NO] 69/200 | NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics
[NO] 70/200 | Testing for Stable Intervals in Non-Stationary Time Series
[NO] 71/200 | 'Ghaib in Translation' aka Unseen Harm: Measuring Cross-Script Safety Inconsistency with 'Missed-in-Urdu' Scores in LLM Hate Speech Detection
[NO] 72/200 | The transformations of the mToda hierarchy in tau functions
[NO] 73/200 | Quadratic Optimization over Probability Measures with Coupling Constraints
[NO] 74/200 | Gradient-extrapolation-based distributed mirror descent algorithm for multi-cluster aggregative games
[NO] 75/200 | Spatiotemporal organization in bike-sharing systems using gravity model parameters
[NO] 76/200 | Amortized Set Prediction for Inverse IFS Reconstruction from Density Maps
[NO] 77/200 | Efficient Treatment of Non-Linearity in Quantum Computational Fluid Dynamics Using Hybrid Tensor Networks
[NO] 78/200 | Classification of Metal - Insulator Transitions: Relating characteristic Properties to Quantum Chemical Bonding Descriptors
[NO] 79/200 | StabQ: Quantum Program Analysis via Weighted Stabilizer Representations
[NO] 80/200 | Invariant pointwise closed subspaces of Lipschitz spaces and their preduals
[NO] 81/200 | What Does Prompt Learning Change? -A Natural-Language Concept Analysis of Vision-Language Models
[NO] 82/200 | Towards a Connection Formulation of Action-Dependent Palatini Gravity
