[2025-12-24 09:14:32] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-23
正在获取论文...
[arXiv] 2025-12-23 | Avoiding the Price of Adaptivity: Inference in Linear Contextual Bandits via Stability
[arXiv] 2025-12-23 | Deep learning-driven atmospheric parameter prediction for hot subdwarf stars with synthetic and observed spectra
[arXiv] 2025-12-23 | Reaching Agreement Among Reasoning LLM Agents
[arXiv] 2025-12-23 | Products of idempotents in a quaternion ring
[arXiv] 2025-12-23 | RESPOND: Risk-Enhanced Structured Pattern for LLM-driven Online Node-level Decision-making
[arXiv] 2025-12-23 | Optimistic TEE-Rollups: A Hybrid Architecture for Scalable and Verifiable Generative AI Inference on Blockchain
[arXiv] 2025-12-23 | Odysseus: Jailbreaking Commercial Multimodal LLM-integrated Systems via Dual Steganography
[arXiv] 2025-12-23 | Spectral or spatial? Leveraging both for speaker extraction in challenging data conditions
[arXiv] 2025-12-23 | Concept Generalization in Humans and Large Language Models: Insights from the Number Game
[arXiv] 2025-12-23 | AXIOM: Benchmarking LLM-as-a-Judge for Code via Rule-Based Perturbation and Multisource Quality Calibration
[arXiv] 2025-12-23 | Target Classification for Integrated Sensing and Communication in Industrial Deployments
[arXiv] 2025-12-23 | Multi-hop Reasoning via Early Knowledge Alignment
[arXiv] 2025-12-23 | Logarithmic Dieudonné theory and overconvergent extensions
[arXiv] 2025-12-23 | Enhancing Zero-Shot Time Series Forecasting in Off-the-Shelf LLMs via Noise Injection
[arXiv] 2025-12-23 | M$^3$KG-RAG: Multi-hop Multimodal Knowledge Graph-enhanced Retrieval-Augmented Generation
[arXiv] 2025-12-23 | HEART-VIT: Hessian-Guided Efficient Dynamic Attention and Token Pruning in Vision Transformer
[arXiv] 2025-12-23 | Active Intelligence in Video Avatars via Closed-loop World Modeling
[arXiv] 2025-12-23 | On the near-tightness of $χ\leq 2r$: a general $σ$-ary construction and a binary case via LFSRs
[arXiv] 2025-12-23 | Cube Bench: A Benchmark for Spatial Visual Reasoning in MLLMs
[arXiv] 2025-12-23 | Quantum Gates from Wolfram Model Multiway Rewriting Systems
[arXiv] 2025-12-23 | Integrable perturbation theory for dark solitons of the defocusing nonlinear Schrödinger equation
[arXiv] 2025-12-23 | Framing Lattices and Flow Polytopes
[arXiv] 2025-12-23 | Fail Fast, Win Big: Rethinking the Drafting Strategy in Speculative Decoding via Diffusion LLMs
[arXiv] 2025-12-23 | The Limitations and Power of NP-Oracle-Based Functional Synthesis Techniques
[arXiv] 2025-12-23 | Random Gradient-Free Optimization in Infinite Dimensional Spaces
[arXiv] 2025-12-23 | Microwave Response of Superconductors with Paramagnetic Impurities
[arXiv] 2025-12-23 | Shallow Neural Networks Learn Low-Degree Spherical Polynomials with Learnable Channel Attention
[arXiv] 2025-12-23 | A possible solution to the gallium anomaly moving beyond the leptonic wave function factorization
[arXiv] 2025-12-23 | Information-theoretic signatures of causality in Bayesian networks and hypergraphs
[arXiv] 2025-12-23 | Advancing Multimodal Teacher Sentiment Analysis:The Large-Scale T-MED Dataset & The Effective AAM-TSA Model
[arXiv] 2025-12-23 | Behavioral patterns and mean-field games in epidemiological models
[arXiv] 2025-12-23 | Normal approximation of stabilizing Poisson pair functionals with column-type dependence
[arXiv] 2025-12-23 | AlignPose: Generalizable 6D Pose Estimation via Multi-view Feature-metric Alignment
[arXiv] 2025-12-23 | Quantum State Preparation via Schmidt Spectrum Optimisation
[arXiv] 2025-12-23 | ScoreMatchingRiesz: Auto-DML with Infinitesimal Classification
[arXiv] 2025-12-23 | Modeling Bank Systemic Risk of Emerging Markets under Geopolitical Shocks: Empirical Evidence from BRICS Countries
[arXiv] 2025-12-23 | Macroscopically distinguishable superposition in infinitely many degrees of freedom
[arXiv] 2025-12-23 | Optimal eigenvalues on a metric graph with densities
[arXiv] 2025-12-23 | Magneto-Moiré Excitons in Twisted Bilayer CrSBr
[arXiv] 2025-12-23 | $L^2-$posterior contraction rates for Gaussian process and random series priors in Bayesian nonparametric regression models
[arXiv] 2025-12-23 | Shear viscosity at finite magnetic field for graphene, non-relativistic and ultra-relativistic cases
[arXiv] 2025-12-23 | Herbrand's Theorem: a short statement and a model-theoretic proof
[arXiv] 2025-12-23 | Electronic states at twist stacking faults in rhombohedral graphite
[arXiv] 2025-12-23 | End-to-end Optimization of Single-Shot Quantum Machine Learning for Bayesian Inference
[arXiv] 2025-12-23 | Step-DeepResearch Technical Report
[arXiv] 2025-12-23 | Dual optical frequency comb downconversion of D-band mm-wave signals
[arXiv] 2025-12-23 | Second Moment of Central Values of Half-Integral Weight Modular Forms and Subconvexity
[arXiv] 2025-12-23 | Coherence in the brain unfolds across separable temporal regimes
[arXiv] 2025-12-23 | Optoelectronically Directed Self-Assembly of Active and Passive Particles into Programmable and Reconfigurable Colloidal Structures
[arXiv] 2025-12-23 | Switching between states and the COVID-19 turbulence
[arXiv] 2025-12-23 | Even Small Companies Can Save Lives by Reducing Emissions
[arXiv] 2025-12-23 | Cuspidal character sheaves on graded Lie algebras II
[arXiv] 2025-12-23 | Tensor-network study of the ground state of maple-leaf Heisenberg antiferromagnet
[arXiv] 2025-12-23 | Asymmetric exact controllability for networks of spatial elastic strings, springs and masses
[arXiv] 2025-12-23 | Laser: Governing Long-Horizon Agentic Search via Structured Protocol and Context Register
[arXiv] 2025-12-23 | An explicit description of the colored mutation class of $\widetilde{\mathbb{A}}_n$-quivers
[arXiv] 2025-12-23 | High Dimensional Data Decomposition for Anomaly Detection of Textured Images
[arXiv] 2025-12-23 | Resolution and Robustness Bounds for Reconstructive Spectrometers
[arXiv] 2025-12-23 | Topic-informed dynamic mixture model for occupational heterogeneity in health risk behaviors
[arXiv] 2025-12-23 | Maximal functions, conjugations and multipliers between Toeplitz kernels
[arXiv] 2025-12-23 | ChatGPT: Excellent Paper! Accept It. Editor: Imposter Found! Review Rejected
[arXiv] 2025-12-23 | Sentiment-Aware Extractive and Abstractive Summarization for Unstructured Text Mining
[arXiv] 2025-12-23 | Resilient Packet Forwarding: A Reinforcement Learning Approach to Routing in Gaussian Interconnected Networks with Clustered Faults
[arXiv] 2025-12-23 | Disproof of the Odd Hadwiger Conjecture
[arXiv] 2025-12-23 | Asymptotics for the number of domino tilings of L-shaped Aztec domains
[arXiv] 2025-12-23 | Generalized method of L-moment estimation for stationary and nonstationary extreme value models
[arXiv] 2025-12-23 | SmartSplat: Feature-Smart Gaussians for Scalable Compression of Ultra-High-Resolution Images
[arXiv] 2025-12-23 | /UnmuteAll: Modeling Verbal Communication Patterns of Collaborative Contexts in MOBA Games
[arXiv] 2025-12-23 | Multi Modal Attention Networks with Uncertainty Quantification for Automated Concrete Bridge Deck Delamination Detection
[arXiv] 2025-12-23 | Evolutionary Neural Architecture Search with Dual Contrastive Learning
[arXiv] 2025-12-23 | From Walking to Tunneling: An Investigation of Generalized Pilot-Wave Dynamics
[arXiv] 2025-12-23 | UMAMI: Unifying Masked Autoregressive Models and Deterministic Rendering for View Synthesis
[arXiv] 2025-12-23 | Geometric Aspects of $C^*$-Extreme Points
[arXiv] 2025-12-23 | Alfvénic solar wind intervals observed by Solar Orbiter: Exploiting the capability of the SWA plasma suite and source region investigation
[arXiv] 2025-12-23 | Neural Compression of 360-Degree Equirectangular Videos using Quality Parameter Adaptation
[arXiv] 2025-12-23 | Precision Bounds for Characterising Quantum Measurements
[arXiv] 2025-12-23 | Spectral radius and size conditions for fractional $(a,b,m)$-covered graphs
[arXiv] 2025-12-23 | Item Region-based Style Classification Network (IRSN): A Fashion Style Classifier Based on Domain Knowledge of Fashion Experts
[arXiv] 2025-12-23 | Spatio-Temporal Graphs Beyond Grids: Benchmark for Maritime Anomaly Detection
[arXiv] 2025-12-23 | Force Sensing Beyond the Standard Quantum Limit in a Hybrid Optomechanical Platform
[arXiv] 2025-12-23 | Fault Injection Attacks on Machine Learning-based Quantum Computer Readout Error Correction
[arXiv] 2025-12-23 | From Dissipativity Property to Data-Driven GAS Certificate of Degree-One Homogeneous Networks with Unknown Topology
[arXiv] 2025-12-23 | Reason2Decide: Rationale-Driven Multi-Task Learning
[arXiv] 2025-12-23 | Change Point Detection and Mean-Field Dynamics of Variable Productivity Hawkes Processes
[arXiv] 2025-12-23 | Microscopic and spectroscopic evidences for multiple ion-exchange reactions controlling biomineralization of CaO.MgO.2SiO2 nanoceramics
[arXiv] 2025-12-23 | Fabrication, drug delivery kinetics and cell viability assay of PLGA-coated vancomycin-loaded silicate porous microspheres
[arXiv] 2025-12-23 | FastMPS: Revisit Data Parallel in Large-scale Matrix Product State Sampling
[arXiv] 2025-12-23 | DS-HGCN: A Dual-Stream Hypergraph Convolutional Network for Predicting Student Engagement via Social Contagion
[arXiv] 2025-12-23 | Towards Generative Location Awareness for Disaster Response: A Probabilistic Cross-view Geolocalization Approach
[arXiv] 2025-12-23 | Self-motion as a structural prior for coherent and robust formation of cognitive maps
[arXiv] 2025-12-23 | Convergence analysis of data augmentation algorithms in Bayesian lasso models with log-concave likelihoods
[arXiv] 2025-12-23 | DecoKAN: Interpretable Decomposition for Forecasting Cryptocurrency Market Dynamics
[arXiv] 2025-12-23 | On the 3-rank of the class group of quadratic fields
[arXiv] 2025-12-23 | Scaling Point-based Differentiable Rendering for Large-scale Reconstruction
[arXiv] 2025-12-23 | Verification of the Outer Space Treaty with Cosmic Protons
[arXiv] 2025-12-23 | HeylandCircle: A Computational Framework for the Geometric Reconstruction of the Heyland Circle Diagram
[arXiv] 2025-12-23 | Reliable LLM-Based Edge-Cloud-Expert Cascades for Telecom Knowledge Systems
[arXiv] 2025-12-23 | Superconductivity Near a Quantum Critical Point: Bounds on the Transition Temperature in the $γ$-Model
[arXiv] 2025-12-23 | Semiparametric KSD test: unifying score and distance-based approaches for goodness-of-fit testing
[arXiv] 2025-12-23 | A Markov-switching dynamic matrix factor model for the high-dimensional matrix time series
[arXiv] 2025-12-23 | Control Variate Score Matching for Diffusion Models
[arXiv] 2025-12-23 | Schoenfeld's Anatomy of Mathematical Reasoning by Language Models
[arXiv] 2025-12-23 | Efficient Gradient-Based Optimization for Joint Layout Design and Control of Wind Turbines
[arXiv] 2025-12-23 | Quasi-interpolation with random sampling centers
[arXiv] 2025-12-23 | IGDMRec: Behavior Conditioned Item Graph Diffusion for Multimodal Recommendation
[arXiv] 2025-12-23 | Real Matrix Representations of Quantum Operators: An Introduction to Quantum Index Algebra
[arXiv] 2025-12-23 | The Nobel Prize in physics and the contribution of Ukrainian scientists to the understanding of quantum phenomena, in particular the behavior of macroscopic systems (The 2025 Nobel Prize in Physics)
[arXiv] 2025-12-23 | HistoWAS: A Pathomics Framework for Large-Scale Feature-Wide Association Studies of Tissue Topology and Patient Outcomes
[arXiv] 2025-12-23 | Community Notes: Crowd Participation and Dependence on Professional Fact-Checking Across Languages
[arXiv] 2025-12-23 | Dynamic Imaging of Periodic Structures using Extreme Ultraviolet Scatterometry
[arXiv] 2025-12-23 | Interpolative Decoding: Exploring the Spectrum of Personality Traits in LLMs
[arXiv] 2025-12-23 | LightTact: A Visual-Tactile Fingertip Sensor for Deformation-Independent Contact Sensing
[arXiv] 2025-12-23 | Towards compressed baryonic matter densities: thermodynamics and transport coefficients
[arXiv] 2025-12-23 | Shifted twisted Yangians of quasi-split ADE types
[arXiv] 2025-12-23 | Benchmarking LLMs for Predictive Applications in the Intensive Care Units
[arXiv] 2025-12-23 | Holographic shear correlators at low temperatures, and quantum $η/s$
[arXiv] 2025-12-23 | Metrologically advantageous states: long-range entanglement and asymmetric error correction
[arXiv] 2025-12-23 | Clust-PSI-PFL: A Population Stability Index Approach for Clustered Non-IID Personalized Federated Learning
[arXiv] 2025-12-23 | The Exact Uncertainty Relation and Geometric Speed Limits in Krylov Space
[arXiv] 2025-12-23 | Lie algebra-assisted quantum simulation and quantum optimal control via high-order Magnus expansions
[arXiv] 2025-12-23 | A Tutorial to Multirate Extended Kalman Filter Design for Monitoring of Agricultural Anaerobic Digestion Plants
[arXiv] 2025-12-23 | Field-Space Attention for Structure-Preserving Earth System Transformers
[arXiv] 2025-12-23 | A Comprehensive Study of Bugs in Modern Distributed Deep Learning Systems
[arXiv] 2025-12-23 | Design and Modeling of a Simple-Structured Continuously Variable Transmission Utilizing Shape Memory Alloy Superelasticity for Twisted String Actuator
[arXiv] 2025-12-23 | Unipotent orbits of elements in a quaternion ring of odd order
[arXiv] 2025-12-23 | SynCraft: Guiding Large Language Models to Predict Edit Sequences for Molecular Synthesizability Optimization
[arXiv] 2025-12-23 | Supertranslation in the bulk for generic spacetime
[arXiv] 2025-12-23 | A Lovász theta lower bound on Quantum Max Cut
[arXiv] 2025-12-23 | Weak Fano threefolds arising as the blowup of a hyperquadric in $\mathbb{P}^4$ along a curve
[arXiv] 2025-12-23 | LP-CFM: Perceptual Invariance-Aware Conditional Flow Matching for Speech Modeling
[arXiv] 2025-12-23 | Algorithm for Interpretable Graph Features via Motivic Persistent Cohomology
[arXiv] 2025-12-23 | Equivalence of the null energy condition to variable lower bounds on the timelike Ricci curvature for $C^2$-Lorentzian metrics
[arXiv] 2025-12-23 | Entropy of matter on the Carroll geometry
[arXiv] 2025-12-23 | Mixture-of-Experts with Gradient Conflict-Driven Subspace Topology Pruning for Emergent Modularity
[arXiv] 2025-12-23 | HGAN-SDEs: Learning Neural Stochastic Differential Equations with Hermite-Guided Adversarial Training
[arXiv] 2025-12-23 | Maximizing the Egalitarian Welfare in Friends and Enemies Games
[arXiv] 2025-12-23 | ${D}^{3}${ETOR}: ${D}$ebate-Enhanced Pseudo Labeling and Frequency-Aware Progressive ${D}$ebiasing for Weakly-Supervised Camouflaged Object ${D}$etection with Scribble Annotations
[arXiv] 2025-12-23 | LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation
[arXiv] 2025-12-23 | Quantum Geometric Tensor in the Wild: Resolving Stokes Phenomena via Floquet-Monodromy Spectroscopy
[arXiv] 2025-12-23 | Unified Multimodal Brain Decoding via Cross-Subject Soft-ROI Fusion
[arXiv] 2025-12-23 | Koopman for stochastic dynamics: error bounds for kernel extended dynamic mode decomposition
[arXiv] 2025-12-23 | Effect of Underlayer Induced Charge Carrier Substitution on the Superconductivity of Ti40V60 Alloy Thin Films
[arXiv] 2025-12-23 | Magnetoelastic honeycomb fragmentation in VI$_{3}$
[arXiv] 2025-12-23 | Benchmarking Universal Interatomic Potentials on Elemental Systems
[arXiv] 2025-12-23 | Finite-Time Control Based on Differential Flatness for Wheeled Mobile Robots with Experimental Validation
[arXiv] 2025-12-23 | Composition-Based Machine Learning for Screening Superconducting Ternary Hydrides from a Curated Dataset
[arXiv] 2025-12-23 | LiteFusion: Taming 3D Object Detectors from Vision-Based to Multi-Modal with Minimal Adaptation
[arXiv] 2025-12-23 | TongSIM: A General Platform for Simulating Intelligent Machines
[arXiv] 2025-12-23 | Corpus of Cross-lingual Dialogues with Minutes and Detection of Misunderstandings
[arXiv] 2025-12-23 | Waveguide-integrated colour centres in silicon carbide with broadband photonic crystal reflectors for efficient readout
[arXiv] 2025-12-23 | Generative Latent Coding for Ultra-Low Bitrate Image Compression
[arXiv] 2025-12-23 | Products of nilpotents in a quaternion ring of odd order
[arXiv] 2025-12-23 | Learning to Reason in LLMs by Expectation Maximization
[arXiv] 2025-12-23 | AI Security Beyond Core Domains: Resume Screening as a Case Study of Adversarial Vulnerabilities in Specialized LLM Applications
[arXiv] 2025-12-23 | Titchmarsh theorems for Hölder-Lipschitz functions on fundamental domains of lattices in $\mathbb{R}^{d}$ with applications to boundedness of Fourier multipliers
[arXiv] 2025-12-23 | Thermal wakefield structure in plasma acceleration processes: insights from fluid models and PIC simulations
[arXiv] 2025-12-23 | Highly Tunable Two-Qubit Interactions in Si/SiGe Quantum Dots by Interchanging the Roles of Qubit-Defining Gates
[arXiv] 2025-12-23 | Net 582-Gb/s C-band and 4$\times$526-Gb/s O-band IMDD Transmis-sion Using Ultra-broadband InP-DHBT-based Electrical Mixer
[arXiv] 2025-12-23 | Rationality and cylindricity of $\Bbbk$-forms of singular del Pezzo surfaces
[arXiv] 2025-12-23 | A Certified Goal-Oriented A Posteriori Defeaturing Error Estimator for Elliptic PDEs
[arXiv] 2025-12-23 | The Zero-Frequency Limit of Spherical Cavity Modes: On the Formal Endpoint at v=1
[arXiv] 2025-12-23 | Tunably realizing flat-bands and exceptional points in kinetically frustrated systems: An example on the non-Hermitian Creutz ladder
[arXiv] 2025-12-23 | FedPOD: the deployable units of training for federated learning
[arXiv] 2025-12-23 | Saddle-to-Saddle Dynamics Explains A Simplicity Bias Across Neural Network Architectures
[arXiv] 2025-12-23 | Repurposing Video Diffusion Transformers for Robust Point Tracking
[arXiv] 2025-12-23 | Modeling Economic Systems as Multiport Networks
[arXiv] 2025-12-23 | Elementwise conservative actions and new constructions of boomerang subgroups
[arXiv] 2025-12-23 | Signatures of High-Frequency Gravitational Waves in Electromagnetic Cavities
[arXiv] 2025-12-23 | Automated stereotactic radiosurgery planning using a human-in-the-loop reasoning large language model agent
[arXiv] 2025-12-23 | Spin-induced quadrupole moment based test for eccentric binaries
[arXiv] 2025-12-23 | Improving ML Training Data with Gold-Standard Quality Metrics
[arXiv] 2025-12-23 | Performative Policy Gradient: Optimality in Performative Reinforcement Learning
[arXiv] 2025-12-23 | The Cosmological Constant and Dark Dimensions from Non-Supersymmetric Strings
[arXiv] 2025-12-23 | LEAD: Minimizing Learner-Expert Asymmetry in End-to-End Driving
[arXiv] 2025-12-23 | Comparative study of plasmons in half-filled graphene via Quantum Monte Carlo and Random Phase Approximation
[arXiv] 2025-12-23 | Eckart heat-flux applicability in $F(Φ,X)R$ theories and the existence of temperature gradients
[arXiv] 2025-12-23 | Experimental characterization of the Toffoli gate via channel spectrum benchmarking
[arXiv] 2025-12-23 | Precision spectroscopy of the 2S-$n$P transitions in atomic hydrogen
[arXiv] 2025-12-23 | SirenPose: Dynamic Scene Reconstruction via Geometric Supervision
[arXiv] 2025-12-23 | Magnetic excitons in a suspended 2D antiferromagnetic membrane
[arXiv] 2025-12-23 | An Instrument for Physical Vapor Deposition onto Cryo-EM Samples for Microsecond Time-Resolved Cryo-EM
[arXiv] 2025-12-23 | Run and Tumble Dynamics of Biased Quantum Trajectories in a Monitored Qubit
[arXiv] 2025-12-23 | How fast can a liquid metal drop respond to a time-dependent electrocapillary excitation?
[arXiv] 2025-12-23 | Optimality Conditions for Control Systems Governed by Monotone Stochastic Evolution Equations
[arXiv] 2025-12-23 | Multi-temporal Adaptive Red-Green-Blue and Long-Wave Infrared Fusion for You Only Look Once-Based Landmine Detection from Unmanned Aerial Systems
[arXiv] 2025-12-23 | Cosmological consequences of spontaneous symmetry breaking
[arXiv] 2025-12-23 | Bohrium + SciMaster: Building the Infrastructure and Ecosystem for Agentic Science at Scale
[arXiv] 2025-12-23 | Push-forward of Hopf--Galois extensions: the non central case
[arXiv] 2025-12-23 | Snapshot 3D image projection using a diffractive decoder
[arXiv] 2025-12-23 | When Natural Strategies Meet Fuzziness and Resource-Bounded Actions (Extended Version)
[arXiv] 2025-12-23 | On the Hartree-Fock phase diagram for the two-dimensional Hubbard model
[arXiv] 2025-12-23 | Shadow splitting methods for nonconvex optimisation: epi-approximation, convergence and saddle point avoidance
[arXiv] 2025-12-23 | Arbitrary laser frequency modulation algorithm based on iterative on-the-fly deconvolution
[arXiv] 2025-12-23 | Iterative learning scheme for crystal structure prediction with anharmonic lattice dynamics
[arXiv] 2025-12-23 | Surface Exciton Polaritons and Near-Zero Permittivity Surface Waves Supported by Artificial Organic Hyperbolic Metamaterials
[arXiv] 2025-12-23 | Isotropic conductivity of two-dimensional three- and four-phase symmetric composites: duality and universal bounds
[arXiv] 2025-12-23 | CLIP Based Region-Aware Feature Fusion for Automated BBPS Scoring in Colonoscopy Images
[arXiv] 2025-12-23 | A supersolution approach to doubly degenerate parabolic equations with weights
[arXiv] 2025-12-23 | Non linear Regge trajectories of quarkonia from holography
[arXiv] 2025-12-23 | Generative Bayesian Spectrum Cartography: Unified Reconstruction and Active Sensing via Diffusion Models
[arXiv] 2025-12-23 | A Novel Noise Analysis Method for Frequency Transfer System by Using ADEV Combine with EMD-WT
[arXiv] 2025-12-23 | Glauber-theory analysis of nuclear reactions on 12C target with variational Monte Carlo wave functions
[arXiv] 2025-12-23 | Ab initio Glauber-theory calculations of high-energy nuclear scattering observables using variational Monte Carlo wave functions
[arXiv] 2025-12-23 | High efficiency and compact lithium niobate non-resonant recirculating phase modulator and its applications
[arXiv] 2025-12-23 | 3D Stack In-Sensor-Computing (3DS-ISC): Accelerating Time-Surface Construction for Neuromorphic Event Cameras
[arXiv] 2025-12-23 | Deep Eigenspace Network and Its Application to Parametric Non-selfadjoint Eigenvalue Problems
[arXiv] 2025-12-23 | Structure-Preserving Nonlinear Sufficient Dimension Reduction for Tensors
[arXiv] 2025-12-23 | Some results of cohomological properties of $p$-group and non-inner automorphism with order $p$ on non-abelian finite $p$-group
[arXiv] 2025-12-23 | Experimental Efficient Source-Independent Quantum Conference Key Agreement
[arXiv] 2025-12-23 | Sharp $L^2$ decay rate for (1+2)-dimensional oscillatory integral operators with cubic polynomial phases
[arXiv] 2025-12-23 | VALLR-Pin: Dual-Decoding Visual Speech Recognition for Mandarin with Pinyin-Guided LLM Refinement
[arXiv] 2025-12-23 | A Variational Characterization and A Line Search Newton-Noda Method for the unifying spectral problem of nonnegative tensors
[arXiv] 2025-12-23 | GIFfluence: A Visual Approach to Investor Sentiment and the Stock Market
[arXiv] 2025-12-23 | MAPI-GNN: Multi-Activation Plane Interaction Graph Neural Network for Multimodal Medical Diagnosis
[arXiv] 2025-12-23 | From Optimization to Learning: Dual-Approach Resource Allocation for Over-the-Air Edge Computing Under Execution Uncertainty
[arXiv] 2025-12-23 | Orthogonal Activation with Implicit Group-Aware Bias Learning for Class Imbalance
[arXiv] 2025-12-23 | Few-Shot-Based Modular Image-to-Video Adapter for Diffusion Models
[arXiv] 2025-12-23 | S$^3$IT: A Benchmark for Spatially Situated Social Intelligence Test
[arXiv] 2025-12-23 | Bloom Filter Encoding for Machine Learning
[arXiv] 2025-12-23 | A Novel CNN Gradient Boosting Ensemble for Guava Disease Detection
[arXiv] 2025-12-23 | Harnessing Eversion Buckling for Ideal Omnidirectional Energy Absorption
[arXiv] 2025-12-23 | Milton Friedman's spending matrix revisited: 'Spending efficiency' and 'preference compatibility' across different economic systems
[arXiv] 2025-12-23 | Regression of Functions by Quantum Neural Networks Circuits
[arXiv] 2025-12-23 | Prediction Air Temperature in Geothermal Heat Exchangers Using Pseudorandom Numbers: The New DARL Model
[arXiv] 2025-12-23 | Intrinsic spin Nernst effect in spin-triplet superconductors
[arXiv] 2025-12-23 | Fast Deterministically Safe Proof-of-Work Consensus
[arXiv] 2025-12-23 | VNF-Cache: An In-Network Key-Value Store Cache Based on Network Function Virtualization
[arXiv] 2025-12-23 | A Comprehensive Guide to Mesh Simplification using Edge Collapse
[arXiv] 2025-12-23 | Nonclassicality of Mixed States with Photon Number Coherence
[arXiv] 2025-12-23 | Estimation and Inference for Causal Explainability
[arXiv] 2025-12-23 | Exact Solution of Schrödinger equation for Complex Mass Quantum System under Complex Morse Potential to study emergent matter types and its phases
[arXiv] 2025-12-23 | Observation of Large-Scale Kelvin-Helmholtz Instability Wave Driven by a Coronal Mass Ejection
