[2026-04-28 10:58:53] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-27
正在获取论文...
[arXiv] 2026-04-27 | The lifetime of 100,000 molecular clouds in the nearby Universe
[arXiv] 2026-04-27 | Hybrid Path-Sums for Hybrid Quantum Programs
[arXiv] 2026-04-27 | Diffusion Model as a Generalist Segmentation Learner
[arXiv] 2026-04-27 | Commutation classes of reduced words and higher Bruhat orders for affine permutations
[arXiv] 2026-04-27 | Limiter Spaces: A Universal Extension for Limits of Real Sequences
[arXiv] 2026-04-27 | The Main Problem of Block Theory: Picky Elements and Subnormalizers
[arXiv] 2026-04-27 | MEG-RAG: Quantifying Multi-modal Evidence Grounding for Evidence Selection in RAG
[arXiv] 2026-04-27 | Towards Lawful Autonomous Driving: Deriving Scenario-Aware Driving Requirements from Traffic Laws and Regulations
[arXiv] 2026-04-27 | Optimization of two-photon excitation by indistinguishable photons in a three-level atom
[arXiv] 2026-04-27 | Algebraic expansivity on abelian groups
[arXiv] 2026-04-27 | Energetics of stochastic limit-cycle oscillators: when does coupling reduce dissipation?
[arXiv] 2026-04-27 | GradMAP: Gradient-Based Multi-Agent Proximal Learning for Grid-Edge Flexibility
[arXiv] 2026-04-27 | Extreme bandits
[arXiv] 2026-04-27 | Quantization-Aware EE Optimization and SE-EE Tradeoff for MiLAC-Aided MU-MISO Beamforming
[arXiv] 2026-04-27 | Search for associated production of a Higgs boson and two vector bosons via vector boson scattering at $\sqrt{s}$ = 13 TeV
[arXiv] 2026-04-27 | Understanding the Limits of Automated Evaluation for Code Review Bots in Practice
[arXiv] 2026-04-27 | Point Cloud Registration for Fusion between SPECT MPI and CTA Images
[arXiv] 2026-04-27 | NTP2 topological structures
[arXiv] 2026-04-27 | Sliding Mode Control for Safe Trajectory Tracking with Moving Obstacles Avoidance: Experimental Validation on Planar Robots
[arXiv] 2026-04-27 | Self-Supervised Representation Learning via Hyperspherical Density Shaping
[arXiv] 2026-04-27 | Deployment-Aligned Low-Precision Neural Architecture Search for Spaceborne Edge AI
[arXiv] 2026-04-27 | Integral representation of polynomial local functionals on convex functions
[arXiv] 2026-04-27 | Scheduling and Routing in the Flexible Job Shop with Heterogeneous Transbots and Zoning: A Constraint Programming Approach
[arXiv] 2026-04-27 | Blur Effects on User Performance in Target-Pointing Tasks
[arXiv] 2026-04-27 | Agentic clinical reasoning over longitudinal myeloma records: a retrospective evaluation against expert consensus
[arXiv] 2026-04-27 | Zero-shot Large Language Models for Automatic Readability Assessment
[arXiv] 2026-04-27 | A Survey on Split Learning for LLM Fine-Tuning: Models, Systems, and Privacy Optimizations
[arXiv] 2026-04-27 | Adaptive Tensor Network Sampling for Quantum Optimal Control
[arXiv] 2026-04-27 | TextGround4M: A Prompt-Aligned Dataset for Layout-Aware Text Rendering
[arXiv] 2026-04-27 | Thermodynamic Parametrisation of the Vertebrate Lifetime Cycle Invariant: Biological Proper Time, Allometric Mass-Cancellation, and Clade-Specific Predictions
[arXiv] 2026-04-27 | On the Footprints of Reviewer Bots Feedback on Agentic Pull Requests in OSS GitHub Repositories
[arXiv] 2026-04-27 | Envisioning Mobile Data Visualization Libraries for Digital Health
[IEEE] 2026-4-27 | Interference and Overhead Aware Flexible Duplexing for Distributed and Centralized Wireless Networks
[IEEE] 2026-4-27 | An Energy-Efficient Lyapunov-Based Cooperative Adaptive Cruise Controller for Electric Vehicles
[IEEE] 2026-4-27 | Two-Dimensional DOA Estimation Using Augmented Extended Co-Prime Parallel Arrays in Impulse Noise
[IEEE] 2026-4-27 | Neural Network-Assisted NLoS Channel Identification in Near-Field Environments: A Linear Fractionalization Approach
[IEEE] 2026-4-27 | Artificial Intelligence Models for Analysing Children’s Emotional Expressions and Colour Use in Digital Drawings
[IEEE] 2026-4-27 | Low-Complexity Channel Estimation for OTFS via Coordinate Descent Exploiting Delay-Domain Sparsity
[IEEE] 2026-4-27 | Pseudo-Chebyshev Functions over Finite Fields
[IEEE] 2026-4-27 | Model-free Magnetic Servoing for Pose Control of Capsule Robots
[IEEE] 2026-4-27 | Unleashing the Potential of Large Language Models for Dynamic Multiobjective Optimization
[IEEE] 2026-4-27 | Internal Temperature Measurement of Transformers Based on Ultrasonic Sensing and SE-CNN
[IEEE] 2026-4-27 | The Transactions on Intelligent Vehicles Information
[IEEE] 2026-4-27 | Real-Time Hand Pose Estimation Using FMCW Radar on Resource-Limited Edge Devices
[IEEE] 2026-4-27 | Masthead
[IEEE] 2026-4-27 | Design and Application of Network Topology Robustness Optimization Algorithms Based on Cheeger’s Inequality
[IEEE] 2026-4-27 | Design and characterization of a portable fluorescence measuring system for the on-site monitoring of marine bio-constructors
[ACM] 2026-4-27 | Enhancing Multi-Modal Entity Alignment via Multi-Grained Decision Fusion
[ACM] 2026-4-27 | Identification of Influential Node Group in Attributed Graph through Explaining Graph Neural Network
[ACM] 2026-4-27 | Explaining Synergistic Effects in Social Recommendations
[ACM] 2026-4-27 | Room Matters: Dynamic Room-level Collaboration Information Modeling for Live Streaming Recommendation
[ACM] 2026-4-28 | Organizational Development in High-Growth Biopharmaceutical Companies: A Data-Driven Approach to Talent Pipeline and Competency Modeling
[ACM] 2026-4-28 | Structural adjustment, capacity reshaping and cultural transformation: A three-dimensional framework of digital adaptation in the public sector
[ACM] 2026-4-28 | Optimization Paths for the Iterative Upgrade of Professional Clusters in Vocational Undergraduate Universities Based on Convolutional Neural Networks
[IEEE] 2026-4-27 | Construction of a Corrector for Distorted Situations in Micro-object Images Based on Transformation and Filtering Operators
[IEEE] 2026-4-27 | Intelligent Analysis of Urban Green Zones Based on Unmanned Aerial Vehicle Data
[IEEE] 2026-4-27 | Experience in Synthesizing Combinational Self-Timed Circuits and Verifying the Results
[IEEE] 2026-4-27 | Method of Structural-Functional Design of Intelligent Industrial IoT Systems
[ACM] 2026-4-27 | Knowledge Graphs over Two Decades
[ACM] 2026-4-28 | Research on the Impact of Digital Transformation on ESG Ratings of Enterprises
[IEEE] 2026-4-27 | Enabling Deterministic 6G Ultra-Reliable Low-Latency Through Predictive and Semantic O-RAN Intelligence
[IEEE] 2026-4-27 | Analysis of SLM Applicability to Prevent Information Leaks Using Business Process Optimization Tools on the PIX RPA Example
[IEEE] 2026-4-27 | Short-term Photovoltaic Power Prediction Based on Multi-modal Decomposition and Adaptive Optimization
[IEEE] 2026-4-27 | Digital Twins in Reverse Engineering of a Modular AC Contactors
[IEEE] 2026-4-27 | 9.4
                    <i>μ</i>
                    W 285 Samples/s Capacitance to Digital Converter for Large Area Active EWOD Arrays in Thin-Film Transistor Technology
[IEEE] 2026-4-27 | Decision Support Algorithm for Selecting Model Classes
[IEEE] 2026-4-27 | A Need for Indigenous Database Accelerator Card: Financial and Strategic Applications
[IEEE] 2026-4-27 | Noise Impact on System Identification Using Genetic Programming-Based Symbolic Regression
[IEEE] 2026-4-27 | Method for Manipulator Kinematic Parameters Identification Using Three-Axis Accelerometer
[IEEE] 2026-4-27 | Computer Model-Based Load Equivalenting for Electric Motor of Rolling Mill
[IEEE] 2026-4-27 | Enhancing Information Integrity and Reliability in Energy Telemechanical Systems via Distributed Intelligence Framework
[IEEE] 2026-4-27 | Big-Data-Driven Pipeline for Industry 4.0 Project Team Formation Based on a Modified Shapley Value
[IEEE] 2026-4-27 | Digital Twin and Native-AI Empowered 6G Networks: Architectures, Applications, Evaluation, and Open Challenges
[IEEE] 2026-4-27 | A Hybrid Short-Term Photovoltaic Power Forecasting Model Integrating Physical Mechanism Constraints and Weather Scenario Clustering
[ACM] 2026-4-27 | Disentangled Graph LLM for Molecule Graph Editing under Distribution Shifts
[ACM] 2026-4-27 | ReaLM: Residual Quantization Bridges Knowledge Graph Embeddings and Large Language Models
[ACM] 2026-4-27 | Counterfactual Augmented Causal Reasoning for Aspect-Based Sentiment Analysis
[ACM] 2026-4-27 | Unveiling Backdoor Propagation in Graphs: Neuron-Centric Defense Mechanisms
[ACM] 2026-4-27 | Too Much Sharing, Too Little Security: Authentication Cookie Theft At Scale
[ACM] 2026-4-27 | BeeQoS: A Cloud-Native QoS System for Adaptive and Scalable Multi-Priority Bandwidth Guarantees
[ACM] 2026-4-27 | Combating Knowledge Corruption in Agent Systems: A Byzantine-Tolerant Secure Collaborative RAG Framework
[IEEE] 2026-4-27 | Quantum Subroutines in Branch-Price-and-Cut for Vehicle Routing
[IEEE] 2026-4-27 | Negative Backscatter Differential Phases on SHV radars
[IEEE] 2026-4-27 | SDFRF-Net: Spatial Diversity Fine-Grained Representation and Fusion Network
[IEEE] 2026-4-27 | Manifold-Based Analysis of P–Q Coupling in Grid-Forming Converters with Current and Voltage Constraints
[IEEE] 2026-4-27 | AS-TEB: An Adaptive and Smooth Timed Elastic Band-Based Path Planner for Mobile Robots
[ACM] 2026-4-27 | Diffusion-Based Synthetic Augmentation with Quality-Aware Reference Selection and mAP-Guided Allocation for Enhancing Vehicle Detection Robustness
[IEEE] 2026-4-27 | Reducing the physical effort of wearing a walking boot using a passive hip exosuit through enforced exploration training
[IEEE] 2026-4-27 | CNT/IGZO CFET Circuits Based on Top-Gate IGZO-FETs With Enhanced Hydrogen Resistance and Thermal Stability Using Y
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Passivation
[IEEE] 2026-4-27 | Secure Off-chain Payment Protocol from Ciphertext Unlinkable Autonomous Path Proxy Re-encryption in Blockchain
[IEEE] 2026-4-27 | A Sequential In-Process Energy Recovery Topology for Multistage Reluctance Electromagnetic Launchers
[IEEE] 2026-4-27 | CoMAEA: A Collision-Avoiding Multi-Agent Evolutionary Algorithm for Coverage Path Planning_supp1-3665409.pdf
[IEEE] 2026-4-27 | Multi-Scale Spatiotemporal-Enhanced Network for Multimodal Traffic Flow Joint Prediction
[IEEE] 2026-4-27 | Sine-square addition equations for rectangle fused silica grating
[IEEE] 2026-4-27 | Security–Spectral Efficiency Tradeoff in STAR-RIS RSMA: A Max–Min Fairness Framework
[IEEE] 2026-4-27 | DIR-HSI: Degradation-Invariant Representation Learning for Hyperspectral Image Classification
[IEEE] 2026-4-27 | Routing Strategy for a Multi-layer Virtual Information Defined Satellite Network
[IEEE] 2026-4-27 | Molecular Nanonetworks: A QoS Aware Adaptive MAC Protocol
[IEEE] 2026-4-27 | Joint Robust Routing, Scheduling, and Load Balancing in Deterministic UAV Rescue Networks: A DFS-PPO Method
[ACM] 2026-4-27 | Predictability-Aware Compression and Decompression Framework for Multichannel Time Series Data with Latent Seasonality
[ACM] 2026-4-27 | DIARY: Differentially Private Recovery with Adaptive Privacy Budgets in Federated Unlearning
[ACM] 2026-4-27 | MessageShift: Fine-Grained Data Augmentation for Graph Neural Networks
[ACM] 2026-4-27 | Hierarchical Graph-Bag-Network for Self-Supervised Multi-Graph Learning
[ACM] 2026-4-27 | Pattern-aware Illicit Account Detection based on User Behavior Sequences
[IEEE] 2026-4-27 | RGPO: Ranking-Guided Preference Optimization for Reliable Clinical Reasoning
[IEEE] 2026-4-27 | Numerical analysis of the effect of electrode arrangement on the performance of micro electrohydrodynamic conduction pump
[IEEE] 2026-4-27 | SmartIndustryCon 2026 Cover Page
[IEEE] 2026-4-27 | Research and Application of Microseismic Source Localization Based on an Improved Differential Evolution Algorithm
[IEEE] 2026-4-27 | Graph Attention Network Aided Message-passing Neural Decoder for Polar Codes Based on Sparse-pruned Tanner Graphs
[IEEE] 2026-4-27 | Avocado Detection System on a UAV with YOLOv8 Image Processing
[IEEE] 2026-4-27 | Analytical Model on the Threshold Voltage of Charge-Trap-Based Hybrid Gate-Stack GaN MIS-HEMT
[IEEE] 2026-4-27 | Optimized Metal–Oxide Semiconductor Sensor Readout Techniques for Quantitative Gas Sensing
[IEEE] 2026-4-27 | Application of Bionic Orientation Technology Based on Underwater Polarization Restoration for AUVs
[IEEE] 2026-4-27 | Front Cover
[IEEE] 2026-4-27 | Towards VR Training Adapted to Affective and Cognitive States: General Method and Evaluation of MentalWorkload_supp1-3679921.mp4
[IEEE] 2026-4-27 | Rotational Doppler-Enabled Single-Pixel Imaging: A Multimode Sensing Approach for Velocity and Structural Monitoring of High Speed Rotating Targets
[IEEE] 2026-4-27 | YOTO++: Learning Long-Horizon Closed-Loop Bimanual Manipulation from One-Shot Human Video Demonstrations
[ACM] 2026-4-27 | def state_of_computational_arts(): return current_state
[ACM] 2026-4-27 | FeedGuard: Online Critic-Guided Reinforcement Learning with Privacy-Preserving Feedback for Recommendation
[ACM] 2026-4-27 | QuiZSF: A Retrieval-Augmented Framework for Zero-Shot Time Series Forecasting
[ACM] 2026-4-27 | SaGD: A Node-Level Differentially Private Graph Learning Framework with Sensitivity-Aware Gradient Descent
[ACM] 2026-4-27 | Self-Speculative Decoding for On-device MoE Acceleration
[ACM] 2026-4-27 | LLMQuA: Practical Backdoor Injection on Large Language Model Quantization
[IEEE] 2026-4-27 | Application of Two-Dimensional Discrete Fourier Transforms with Variable Parameters in Reconstructive Computed Tomography
[IEEE] 2026-4-27 | Exploring Geographical Interconnections between National Research and Education Networks
[IEEE] 2026-4-27 | Leveraging FPGA-based SmartNICs for Low-latency In-band Network Telemetry
[IEEE] 2026-4-27 | A Guide to the Programmable Network Zoo
[IEEE] 2026-4-27 | Detecting DDoS Attacks in SDN Networks Using Federated Learning with Deep Neural Networks
[IEEE] 2026-4-27 | A Secure Distributed Architecture for Large-Scale Detailed Automated Vehicle Traffic Simulation
[IEEE] 2026-4-27 | Methods for Ensuring Energy Efficiency of Cyber-Physical Dosimetric Monitoring Systems
[IEEE] 2026-4-27 | Dynamic Optimization of Data Center Network Topology with Worst-Case Delay Guarantees
[IEEE] 2026-4-27 | Subterahertz Traveling Wave Tubes: A Route Toward Ultracapacity 6G Wireless Networks:
                    <b>Application Scenario and Challenges</b>
共写入 200 条记录，保存到 papers/paper2026-04-27.json。
论文获取成功，文件路径: papers/paper2026-04-27.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | The lifetime of 100,000 molecular clouds in the nearby Universe
[NO] 2/200 | Personalized Worked Example Generation from Student Code Submissions using Pattern-based Knowledge Components
[NO] 3/200 | Spectral Evidence of Heavy Nuclei from the Neutron Star Crust in Magnetar Bursts
[NO] 4/200 | Nonintegral Flux Trapping in Frustrated Josephson Networks of Triplet Superconductors
[NO] 5/200 | Efficient Multivariate Kelly Optimization Reveals Sigmoidal Scaling Laws
[NO] 6/200 | Sentiment and Emotion Classification of Indonesian E-Commerce Reviews via Multi-Task BiLSTM and AutoML Benchmarking
[NO] 7/200 | Gate-dependent offset charge shifts and anharmonicity in gatemon qubits in the weak tunneling regime
[NO] 8/200 | Long-Context Aware Upcycling: A New Frontier for Hybrid LLM Scaling
[NO] 9/200 | Contextual Linear Activation Steering of Language Models
[NO] 10/200 | Waning Immunity Fails to Restore a Positive Epidemic Threshold on Power-Law Networks
[NO] 11/200 | Optical depth dictates universal bounds on many-body decay in atomic ensembles
[NO] 12/200 | Benchmarking Source-Sensitive Reasoning in Turkish: Humans and LLMs under Evidential Trust Manipulation
[NO] 13/200 | Semi-Discrete Approximation of Aubry and Mather sets
[NO] 14/200 | Synchronized molecular dynamics method for thin-layer flows of complex fluids
[NO] 15/200 | Near-Optimal Heaps and Dijkstra on Pointer Machines
[NO] 16/200 | Quantum algorithm for solving high-dimensional linear stochastic differential equations via amplitude encoding of the noise term
[NO] 17/200 | The Benjamin-Ono equation with 2D control input: approximate controllability and its application
[NO] 18/200 | Finite-Gap Solutions of the Pohlmeyer--Lund--Regge Equation and the Associated Curve Evolution
[NO] 19/200 | Geometry selective colossal negative dielectric permittivity in CaFe2O4 nanostructures
[NO] 20/200 | Photon Surfaces in Higher-Curvature Gravity: Implications for Quasinormal Modes and Gravitational Lensing
[NO] 21/200 | Learning is Revelation in Disguise: Improved Regret and Equivalence Results for Dynamic Pricing
[NO] 22/200 | AsyncShield: A Plug-and-Play Edge Adapter for Asynchronous Cloud-based VLA Navigation
[NO] 23/200 | Neural Enhancement of Analytical Appearance Models
[NO] 24/200 | Dynamic Grammar-Compressed Self-Index in $delta$-Optimal Space
[NO] 25/200 | The Pragmatic Persona: Discovering LLM Persona through Bridging Inference
[NO] 26/200 | Distilling Self-Consistency into Verbal Confidence: A Pre-Registered Negative Result and Post-Hoc Rescue on Gemma 3 4B
[NO] 27/200 | DataClaw: An Autonomous Data Agent with Instant Messaging Integration
[NO] 28/200 | Analysis of Stability and Performance of Economic Model Predictive Control with State-Independent Costs
[NO] 29/200 | Low-energy hadronic physics in holographic $\mathrm{QCD_{3}}$ with anisotropy
[NO] 30/200 | AgenticCache: Cache-Driven Asynchronous Planning for Embodied AI Agents
[NO] 31/200 | ServImage: An Image Generation and Editing Benchmark from Real-world Commercial Imaging Services
[NO] 32/200 | QubitQuest: Learning Quantum Computing through Mini-Games
[NO] 33/200 | Single-Cycle Multidirectional EOG Classification Faster than Human Reaction Time for Wearable Human-Computer Interactions
[NO] 34/200 | IntentVLM: Open-Vocabulary Intention Recognition through Forward-Inverse Modeling with Video-Language Models
[NO] 35/200 | Adaptive-Distribution Randomized Neural Networks for PDEs: A Low-Dimensional Distribution-Learning Framework
[NO] 36/200 | When to Commit? Towards Variable-Size Self-Contained Blocks for Discrete Diffusion Language Models
[NO] 37/200 | Fix Initial Codes and Iteratively Refine Textual Directions Toward Safe Multi-Turn Code Correction
[NO] 38/200 | SUDA-Muon: Structural Design Principles and Boundaries for Fully Decentralized Muon
[NO] 39/200 | Making Sense of Scams: Understanding Scam Conversations Through Multi-Level Alignment
[NO] 40/200 | Task-guided Spatiotemporal Network with Diffusion Augmentation for EEG-based Dementia Diagnosis and MMSE Prediction
[NO] 41/200 | Multi-Robot Motions in Milliseconds: Vector-Accelerated Primitives for Sampling-Based Planning
[NO] 42/200 | $q$-Derivative Grammar
[NO] 43/200 | Hard Probes in Ultraperipheral Collisions at LHCb
[NO] 44/200 | Viewport-Unaware Blind Omnidirectional Image Quality Assessment: A Unified and Generalized Approach
[NO] 45/200 | What Did They Mean? How LLMs Resolve Ambiguous Social Situations across Perspectives and Roles
[NO] 46/200 | Robust and Clinically Reliable EEG Biomarkers: A Cross Population Framework for Generalizable Parkinson's Disease Detection
[NO] 47/200 | Nearly Optimal Subdata Selection
[NO] 48/200 | Agentic AI platforms for autonomous training and rule induction of human-human and virus-human protein-protein interactions
[NO] 49/200 | Survey on topological methods for Allen--Cahn equations and systems
[NO] 50/200 | High Harmonic Radiation from a Low-K Biharmonic Planar Undulator
[NO] 51/200 | The Last Human-Written Paper: Agent-Native Research Artifacts
[NO] 52/200 | Benefits and Costs of Adaptive Sampling
[NO] 53/200 | Electrical tunability of terahertz nonlinearity in graphene
[NO] 54/200 | K-MetBench: A Multi-Dimensional Benchmark for Fine-Grained Evaluation of Expert Reasoning, Locality, and Multimodality in Meteorology
[NO] 55/200 | Workplace Demands and Emotional Expression Among Early Childhood Educators: A Computational Analysis of Professional Online Discourse
[NO] 56/200 | DiffQEC: A versatile diffusion model for quantum error correction
[NO] 57/200 | Meta-CoT: Enhancing Granularity and Generalization in Image Editing
[NO] 58/200 | NeSyCat: A Monad-Based Categorical Semantics of the Neurosymbolic ULLER Framework
[NO] 59/200 | Evaluation of Pose Estimation Systems for Sign Language Translation
[NO] 60/200 | Errors that matter: Uncertainty-aware universal machine-learning potentials calibrated on experiments
[NO] 61/200 | Children's Online Safety Risks and Ethical Considerations in XR Games
[NO] 62/200 | DETOUR: A Practical Backdoor Attack against Object Detection
[NO] 63/200 | Mass spectra of charged mesons and the quenching of vector meson condensation via exact phase-space diagonalization
[NO] 64/200 | A Six-Term Functional Equation and a Quartic Dilogarithm Ladder
[NO] 65/200 | Point-MF: One-step Point Cloud Generation from a Single Image via Mean Flows
[NO] 66/200 | Pair-Dependent Drift of Kerr Neighboring-Overtone Gap Minima
[NO] 67/200 | Improving Vision-language Models with Perception-centric Process Reward Models
[NO] 68/200 | A Spectral Gap Informed Parameter Schedule for QAOA
[NO] 69/200 | Measuring the Unmeasurable: Markov Chain Reliability for LLM Agents
[NO] 70/200 | Hybrid Path-Sums for Hybrid Quantum Programs
[NO] 71/200 | Diffusion Model as a Generalist Segmentation Learner
[NO] 72/200 | Commutation classes of reduced words and higher Bruhat orders for affine permutations
[NO] 73/200 | Limiter Spaces: A Universal Extension for Limits of Real Sequences
[NO] 74/200 | The Main Problem of Block Theory: Picky Elements and Subnormalizers
[NO] 75/200 | MEG-RAG: Quantifying Multi-modal Evidence Grounding for Evidence Selection in RAG
[NO] 76/200 | Towards Lawful Autonomous Driving: Deriving Scenario-Aware Driving Requirements from Traffic Laws and Regulations
[NO] 77/200 | Optimization of two-photon excitation by indistinguishable photons in a three-level atom
[NO] 78/200 | Algebraic expansivity on abelian groups
[NO] 79/200 | Energetics of stochastic limit-cycle oscillators: when does coupling reduce dissipation?
[NO] 80/200 | GradMAP: Gradient-Based Multi-Agent Proximal Learning for Grid-Edge Flexibility
