[2026-05-07 11:04:18] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-06
正在获取论文...
[arXiv] 2026-05-06 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[arXiv] 2026-05-06 | Sequential topology optimization: SIMP initialization for level-set boundary refinement
[arXiv] 2026-05-06 | Reward-Decomposed Reinforcement Learning for Immersive Video Role-Playing
[arXiv] 2026-05-06 | ULF-Loc: Unbiased Landmark Feature for Robust Visual Localization with 3D Gaussian Splatting
[arXiv] 2026-05-06 | Anny-Fit: All-Age Human Mesh Recovery
[arXiv] 2026-05-06 | From Beats to Breaches:How Offensive AI Infers Sensitive User Information from Playlists
[arXiv] 2026-05-06 | Lithium enrichment threatens to curb fusion deployment
[arXiv] 2026-05-06 | Subcubic $K_4$-minor-free graphs without crumby colorings
[arXiv] 2026-05-06 | FaithfulFaces: Pose-Faithful Facial Identity Preservation for Text-to-Video Generation
[arXiv] 2026-05-06 | When Graph Traversal Meets Structured Preferences: Unified Framework and Complexity Results
[arXiv] 2026-05-06 | $\mathbb{G}_m$-cohomology of $p$-adic Stein spaces
[arXiv] 2026-05-06 | Theoretical Constraints on Neutron Star Superfluidity from Her X-1 Precession
[arXiv] 2026-05-06 | Compact, AGN-hosting Dwarf Galaxies with "Little Red Dots"-like SEDs in the Local Universe
[arXiv] 2026-05-06 | Multi-Level Bidirectional Biomimetic Learning for EEG-Based Visual Decoding
[arXiv] 2026-05-06 | ITBoost: Information-Theoretic Trust for Robust Boosting
[arXiv] 2026-05-06 | Paraphrase-Induced Output-Mode Collapse: When LLMs Break Character Under Semantically Equivalent Inputs
[arXiv] 2026-05-06 | FAAST: Forward-Only Associative Learning via Closed-Form Fast Weights for Test-Time Supervised Adaptation
[arXiv] 2026-05-06 | Quantum Coherence Reshapes Thermodynamic Bounds for Thermal Machines
[arXiv] 2026-05-06 | ReflectDrive-2: Reinforcement-Learning-Aligned Self-Editing for Discrete Diffusion Driving
[arXiv] 2026-05-06 | Securing the Web with HSTS-Enforced
[arXiv] 2026-05-06 | Gradients with Respect to Semantics Preserving Embeddings Tell the Uncertainty of Large Language Models
[arXiv] 2026-05-06 | A Generalized Framework of Antisymmetric Polyspectral Indices for Identifying High-Order Neural Interactions
[arXiv] 2026-05-06 | CombOL: a Library for Practical Enumeration and Boltzmann Sampling of Combinatorial Classes
[arXiv] 2026-05-06 | Determinantal formulae for a symmetric generating function of totally symmetric plane partitions
[arXiv] 2026-05-06 | Constructions of locally repairable codes via concatenated codes
[arXiv] 2026-05-06 | Counting Minimal Lagrangians Via Mirzakhani Functions
[arXiv] 2026-05-06 | Continual Knowledge Updating in LLM Systems: Learning Through Multi-Timescale Memory Dynamics
[arXiv] 2026-05-06 | Theta functions and transformations of bilateral basic hypergeometric series
[arXiv] 2026-05-06 | Proximal Projection for Doubly Sparse Regularized Models
[arXiv] 2026-05-06 | Driver-WM: A Driver-Centric Traffic-Conditioned Latent World Model for In-Cabin Dynamics Rollout
[arXiv] 2026-05-06 | Time-Fractional Schrödinger Evolution in Coupled Double Quantum Dots: Memory Effects on Quantum Resources
[arXiv] 2026-05-06 | Provable imitation learning for control of instability in partially-observed Vlasov--Poisson equations
[arXiv] 2026-05-06 | High-Dimensional Statistics: Reflections on Progress and Open Problems
[arXiv] 2026-05-06 | MSE-Optimal Difference-in-Differences Estimator
[arXiv] 2026-05-06 | When Relations Break: Analyzing Relation Hallucination in Vision-Language Model Under Rotation and Noise
[arXiv] 2026-05-06 | Computer-Aided Design Generation by Cascaded Discrete Diffusion Model
[arXiv] 2026-05-06 | Local Intrinsic Dimension Unveils Hallucinations in Diffusion Models
[arXiv] 2026-05-06 | Position: Embodied AI Requires a Privacy-Utility Trade-off
[arXiv] 2026-05-06 | Dephasing Effects on the Dynamical Evolution of Quantum Correlations and Coherence in Neutrino Oscillations
[arXiv] 2026-05-06 | CARD: A Multi-Modal Automotive Dataset for Dense 3D Reconstruction in Challenging Road Topography
[arXiv] 2026-05-06 | First Detection of Extensive Air Showers Using a Small-Aperture Fluorescence Telescope
[arXiv] 2026-05-06 | A Tutorial for Evaluating Cure Model Appropriateness
[arXiv] 2026-05-06 | Federated Learning for Early Prediction of EV Charging Demand
[arXiv] 2026-05-06 | Non-Expansive Matrix Based number Systems
[arXiv] 2026-05-06 | The one and the only: the pulsar - white dwarf system in NGC 6749
[arXiv] 2026-05-06 | Lifespan of Classical Solutions to One-Dimensional Quasilinear Wave Equations
[arXiv] 2026-05-06 | Reliable Modeling of Distribution Shifts via Displacement-Reshaped Optimal Transport
[arXiv] 2026-05-06 | Exact SU(2) Yang-Mills Waves from a Simple Ansatz
[arXiv] 2026-05-06 | Scalar and Vector Airborne Platform Calibration Using Quantum and Classical Magnetometers and Inertial Sensors
[arXiv] 2026-05-06 | Integral Homology and Poincaré Polynomials of classical and exceptional Real Flag Manifolds
[arXiv] 2026-05-06 | Local elastic perturbation of colloidal suspensions near the colloidal glass transition
[arXiv] 2026-05-06 | Horizontal transport as a source of disequilibrium chemistry on the nightside of a hot exoplanet
[arXiv] 2026-05-06 | Decision Problems in Multilevel Linear Programming
[arXiv] 2026-05-06 | Response tensor for the superconducting (Josephson) diode effect
[arXiv] 2026-05-06 | Unintended Negative Impacts of Promotional Language in Patent Evaluation
[arXiv] 2026-05-06 | Evolving Idea Graphs with Learnable Edits-and-Commits for Multi-Agent Scientific Ideation
[arXiv] 2026-05-06 | A Convolution Process for Sea Surface Temperature Hot-Spot Identification in the Mediterranean Sea
[arXiv] 2026-05-06 | Koopman Identification of Nonlinear Systems via Reservoir Liftings
[arXiv] 2026-05-06 | Breaking the Quality-Privacy Tradeoff in Tabular Data Generation via In-Context Learning
[arXiv] 2026-05-06 | Geant4 Optical Simulation without C++
[arXiv] 2026-05-06 | On the (In-)Security of the Shuffling Defense in the Transformer Secure Inference
[arXiv] 2026-05-06 | Storage Is Not Memory: A Retrieval-Centered Architecture for Agent Recall
[arXiv] 2026-05-06 | Parameter Estimation Horizon of Core-Collapse Supernovae with Current and Next-Generation Gravitational-Wave Detectors
[arXiv] 2026-05-06 | Regime-Conditioned Evaluation in Multi-Context Bayesian Optimization
[arXiv] 2026-05-06 | An Andrews-Gordon Type Identity Related to Andrews' Parity Consideration
[arXiv] 2026-05-06 | A Comparative Study of PyCaret AutoML and CNN-BiLSTM for Binary Hate Speech Detection in Indonesian Twitter
[arXiv] 2026-05-06 | Catalytic advantage in asymptotic entanglement manipulation
[arXiv] 2026-05-06 | Anticipating Innovation Using Large Language Models
[arXiv] 2026-05-06 | Uncertainty-Aware Exploratory Direct Preference Optimization for Multimodal Large Language Models
[arXiv] 2026-05-06 | Branching Brownian motion with rank-based selection and reaction-diffusion equations
[arXiv] 2026-05-06 | 3D Ultrasound-Derived Pseudo-CT Synthesis Using a Transformer-Augmented Residual Network for Real-Time Operator Guidance
[arXiv] 2026-05-06 | Generative Quantum-inspired Kolmogorov-Arnold Eigensolver
[arXiv] 2026-05-06 | Multiscale Euclidean Network Trajectories: Second-Moment Geometry, Attribution, and Change Points
[arXiv] 2026-05-06 | TajikNLP: An Open-Source Toolkit for Comprehensive Text Processing of Tajik (Cyrillic Script)
[arXiv] 2026-05-06 | Fundamental Limitations of Post-Quantum Cryptographic Architectures
[arXiv] 2026-05-06 | Benchmarking POS Tagging for the Tajik Language: A Comparative Study of Neural Architectures on the TajPersParallel Corpus
[arXiv] 2026-05-06 | VL-UniTrack: A Unified Framework with Visual-Language Prompts for UAV-Ground Visual Tracking
[arXiv] 2026-05-06 | IRON: Implicit Resolvent Optimization under Noise
[arXiv] 2026-05-06 | Neural-Guided Domain Restriction to Accelerate Pseudospectra Computation for Structured Non-normal Banded Matrices
[arXiv] 2026-05-06 | The Nonreciprocal Mie-surfaces
[arXiv] 2026-05-06 | Measurement-Device-Independent Entanglement Quantification in a Fully Connected Time-Bin Quantum Network
[ACM] 2026-5-6 | Fourfolds: Enhanching Proprioceptive Awareness through Visual Electromyography Biofeedback and Camera-Based Motion Tracking
[ACM] 2026-5-6 | Body Management Information Practices on a Female-dominant Platform
[ACM] 2026-5-6 | Member Spotlights: Zina Zhang
[ACM] 2026-5-6 | Member Spotlights: Deepak Giri
[ACM] 2026-5-6 | Harmony in Diversity: A Public AI Art Installation Bridging Neurodiversity Through Style Transfer
[ACM] 2026-5-6 | Drifting Pixels MR: Embodying Interstellar Solitude through Jungian Narrative and Mixed Reality Artifacts
[ACM] 2026-5-6 | Menyu: Embedding Spacial Narrative in Large-Scale Interactive Installations for Built Heritage
[IEEE] 2026-5-6 | IEEE Transactions on Industrial Informatics Information for Authors
[IEEE] 2026-5-6 | A modular geospatial data quality framework: FAIRness, comparability, and reusability
[IEEE] 2026-5-6 | Enhancement of Partial Discharge Performance and Insulation Stability of XLPE/SiR Heterointerfaces in Cable Accessories by Plasma Silicon Deposition_supp1-3690139.pdf
[IEEE] 2026-5-6 | Medical Aerosol Flow Rate Estimation by Vibrational Assessment for Smart Inhaler Development
[IEEE] 2026-5-6 | PFANet: A Progressive Feature Alignment Network with Local-Global Attention for Joint Classification of Hyperspectral and LiDAR Data
[IEEE] 2026-5-6 | 1 Transistor-Dynamic Random Access Memory as Reservoir for Temporal Signal Processing
[IEEE] 2026-5-6 | Generation of brain PET synaptic density imaging from MRI and FDG-PET using a 3D Multi-stage Residual U-Net
[IEEE] 2026-5-6 | Retraction Notice: Synergistic Integration of Lead Level, EEG, and Oculomotor Analysis for Advanced ADHD Diagnosis through Machine Learning
[IEEE] 2026-5-6 | Extended Gramian Angular Field: An Efficient Method for Encoding Time Series as Images and Its Application in Power Converter Open Circuit Fault Diagnosis
[IEEE] 2026-5-6 | Copyright Page
[IEEE] 2026-5-6 | Half Title Page
[IEEE] 2026-5-6 | Editorial Board
[IEEE] 2026-5-6 | Causal Discovery in Education: A Counterfactual Analysis of Student Outcomes using DECI on the OULAD Dataset
[IEEE] 2026-5-6 | Multimodal Workload Analysis for Developer Burnout Prediction: Integrating Jira and GitHub Activity Data
[IEEE] 2026-5-6 | BizQuery: Agentic Financial Question Answering over Structured Data
[IEEE] 2026-5-6 | Hold the Prompt (HODPOT): Defense Design for Securing the System Prompt of LLM Agents
[IEEE] 2026-5-6 | An Efficient Deep Learning Method for Malware Detection Through Visual Representation
[IEEE] 2026-5-6 | An Integrated Framework for Feasibility and Risk Assessment of Roadway Energy Harvesting: A Critical Review
[IEEE] 2026-5-6 | Ultrafast Optical Linear and Nonlinear Response of Two-Dimensional CrOCl Materials and Applications
[IEEE] 2026-5-6 | Synthetic EEG for Motor Imagery Tasks using Transformer-Guided Generative Adversarial Network
[IEEE] 2026-5-6 | Low-Thermal-Budget (300°C) HZO Ferroelectrics with Improved Ferroelectricity and Endurance via Process-Material Co-optimization
[IEEE] 2026-5-6 | Multimodal Deep Learning for Early Sepsis Prediction: Fusion of Physiological Data and Clinical Notes Using Kernel Attention and ClinicalBERT
[IEEE] 2026-5-6 | Hybrid Solar PV and Piezoelectric Energy Harvesting for Smart Roads
[IEEE] 2026-5-6 | Reversible Jump MCMC for Neural Network Selection: A Comparative Study Against Information Criteria
[IEEE] 2026-5-6 | A Tunable Energy-Efficient DPI-Based Leaky Integrate-and-Fire Neuron for Neuromorphic Applications
[IEEE] 2026-5-6 | Explainable Machine Learning for Chronic Kidney Disease Prediction with SHAP and LIME
[IEEE] 2026-5-6 | Trustworthiness of Legal Considerations for the Use of LLMs in Education
[IEEE] 2026-5-6 | Adjustable Accumulation Behavior in 2D Perovskite-Based Artificial Neuron Devices
[IEEE] 2026-5-6 | Energy-Efficient and Low-Carbon Model Training Through Adaptive Pruning for AI Training
[IEEE] 2026-5-6 | Enhanced Stock Trend Prediction Through Artificial Neural Networks
[IEEE] 2026-5-6 | Vocal Tract Resonance Estimation: An Energy Weighted Singular Spectrum Approach
[IEEE] 2026-5-6 | Optimizing Efficiency of Perovskite Solar Cells Using Neural Network with MWCNT-Based HTL
[IEEE] 2026-5-6 | Examining the Influence of ChatGPT on Programming Courses in Higher Education
[IEEE] 2026-5-6 | Influence of Oxidation Temperature on the Electrical and Structural Properties of ZrO
                    <sub>2</sub>
                    film on 4H-SiC: An SEM, EDX, CV and IV Investigation
[IEEE] 2026-5-6 | A Novel Low-Cost 3D-Stackable 2T0C DRAM Cell with Vertical-Double-Gate and Lateral-C-shape-Channel InGaZnO Transistors
[IEEE] 2026-5-6 | Meta Learning for Healthcare: Few-Shot Diabetes Prediction Across Heterogeneous Populations
[IEEE] 2026-5-6 | FedSP: Privacy-Preserving Malware Detection Model Through Lightweight Federated Learning
[IEEE] 2026-5-6 | In-pixel Capacitive Droplet Sensing Circuit with Dual-electrode Design for Active-matrix Digital Microfluidics
[IEEE] 2026-5-6 | Influences of Voltage Cycling on Variations in HfO
                    <sub>2</sub>
                    -based 3D Trench FeRAM
[IEEE] 2026-5-6 | Plant Leaf Disease Detection Using Deep Learning and Explainable AI
[IEEE] 2026-5-6 | Manufacturing-Oriented Dual Neural Surrogate for Trench MOSFET Fabrication Process and Device Optimization
[IEEE] 2026-5-6 | Analysis of the Impact of Service Quality Factors on Customer Satisfaction: A Study of Sri Lankan Freight Forwarding Selection
[IEEE] 2026-5-6 | Dual-Loss Trained Compact Cascaded ANN for Custom-Range BSIM-CMG Parameter Extraction
[IEEE] 2026-5-6 | Dynamic Response Characterisation of PDMS-MWCNTs Piezoresistive Sponge for Human Motion Monitoring
[IEEE] 2026-5-6 | LandChain: A Blockchain-Powered Land Marketplace Using Hyperledger Fabric and IPFS
[IEEE] 2026-5-6 | Enhancing Learning Path Recommendation via Multi-task Learning
[IEEE] 2026-5-6 | SALG-QCNN-SER: A Noise-Robust Quantum Convolutional Neural Network with Enhanced Cross-Domain Generalization for Speech Emotion Recognition
[IEEE] 2026-5-6 | VL-BrainNet: A VGG16–BiLSTM-Based Framework for Accelerated Brain Tumor Diagnosis
[IEEE] 2026-5-6 | Zero Trust-Based Cyber-Physical Security for Financial Fraud Detection in Engineering Projects
[IEEE] 2026-5-6 | An Integrated Approach to Forecast Bitcoin Price Incorporating Economic Factors, Strategic Commodities, and X Tweets
[IEEE] 2026-5-6 | An Explainable Ensemble Learning Framework for Crop Classification with Optimized Feature Pyramids and Deep Networks
[IEEE] 2026-5-6 | Bioinspired Fractal Nanoneedle Arrays for Flexible and Controlled Drug Delivery
[IEEE] 2026-5-6 | DenseNet201-Based Deep Learning Approach for Automated Classification of Peanut Plant Leaf Diseases
[IEEE] 2026-5-6 | A Compact Ultra-Wideband MIMO Antenna for Mmwave Applications
[IEEE] 2026-5-6 | DREAM: Drain Stress-Induced Reliability Enhancement Method for IGZO-FETs and Performance Improvement of IGZO-based M3D System from 77K to 373K
[IEEE] 2026-5-6 | Leveraging AI in Library Science: Enhancing Access to Political Science Literature and Resources
[IEEE] 2026-5-6 | CGP Scaled 3D 2T0C DRAM with Record Write Speed of 400 ps and High Temperature Stability
[IEEE] 2026-5-6 | CALM: Cost-efficient, model Agnostic, Low-latency Modular LLM Deployment framework
[IEEE] 2026-5-6 | QGMR: A New Quantum Mutation Testing Operator
[IEEE] 2026-5-6 | Standard CMOS-Compatible Low-Power Ternary Logic with Drain Resistance
[IEEE] 2026-5-6 | An Adaptive Security Model Based on User Behavior Analysis for Enhancing Protection Against Cyber Attacks
[IEEE] 2026-5-6 | Deep Learning Model Splitting for Distributed Inference in Resource-Constrained Edge Environments for Wildlife Monitoring
[IEEE] 2026-5-6 | Readiness Dimensions for Digital Twin Adoption and Process Optimization in Sri Lanka's Large-Scale Apparel Sector
[IEEE] 2026-5-6 | Bridging Local and Contextual Features with IChOA-CNN-LSTM for Robust Textual Emotion Recognition
[IEEE] 2026-5-6 | Enhanced Near-Field Power Beam Scanning in E-Plane and H-Plane Using mmWave Leaky-Wave Antenna
[IEEE] 2026-5-6 | Temporal Personal Fashion AI System with Multi-Component Integration
[IEEE] 2026-5-6 | An Intelligent Machine and Deep Learning Framework for Fake News Detection
[IEEE] 2026-5-6 | Design and Analysis of a Symmetric Thirteen-Level Inverter for THD Minimization with Reduced Component Count
[IEEE] 2026-5-6 | Performance Degradation of Monocrystalline PV Modules Under Progressive Uniform Shading Conditions: An Experimental Study
[IEEE] 2026-5-6 | LLM is Not All You Need: A Systematic Evaluation of ML vs. Foundation Models for text and image based Medical Classification
[IEEE] 2026-5-6 | Khelte Khelte Shikhi: A Proposed HCI Framework for Gamified Interactive Learning with Minecraft in Bangladeshi Education Systems
[IEEE] 2026-5-6 | AI-Based Forecasting Model for Sustainable Development in Arab and GCC Countries
[ACM] 2026-5-7 | Anomaly Identification and Safety Early Warning of Engineering Systems Based on Multimodal Online Monitoring
[ACM] 2026-5-7 | Multi-Agent Evolutionary Game Simulation of Digital Supervision of High-risk sub-projects Based on System Dynamics
共写入 181 条记录，保存到 papers/paper2026-05-06.json。
论文获取成功，文件路径: papers/paper2026-05-06.json
正在筛选、翻译并发送邮件...
[NO] 1/181 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[NO] 2/181 | Bayesian parameter estimation for the Core-bounce phase of Rapidly Rotating Core-Collapse Supernovae in real interferometric data
[NO] 3/181 | Convergence analysis of Schwarz-like methods for degenerate elliptic-parabolic equations
[NO] 4/181 | Hearing the Ocean: Bio-inspired Gammatone-CNN framework for Robust Underwater Acoustic Target Classification
[NO] 5/181 | Replay-Based Continual Learning for Physics-Informed Neural Operators
[NO] 6/181 | Improving FMQA via Initial Training Data Design Considering Marginal Bit Coverage in One-Hot Encoding
[NO] 7/181 | AGILE detection of transient γ-ray emission from the region of the supergiant fast X-ray transient source IGR J17354-3255
[NO] 8/181 | Charged current neutrino processes in hot nuclear matter with a recent Skyrme parametrization constrained by microscopic calculations
[NO] 9/181 | Role of mass fluctuations in the diffusion of clusters of Brownian particles with activity
[NO] 10/181 | Not All Faults Are Equal: Transient-Fault Sensitivity Characterization of an Open-Source RISC-V Vector Cluster
[NO] 11/181 | Exact solutions, trajectories and radiation patterns in the classical relativistic Störmer problem
[NO] 12/181 | A meta-analysis of the effect of generative AI on productivity and learning in programming
[NO] 13/181 | Steady Incremental Viscosity Splitting Method for solving the stationary Navier-Stokes equation
[NO] 14/181 | Spin-wave bandgap engineering via mode hybridization in dipolar-coupled YIG film/CoFeB nanodisk magnonic crystals
[NO] 15/181 | Gaze4HRI: Zero-shot Benchmarking Gaze Estimation Neural-Networks for Human-Robot Interaction
[NO] 16/181 | Cognitive Twins: Investigating Personalized Thinking Model Building and Its Performance Enhancement with Human-in-the-Loop
[NO] 17/181 | Hybrid Congestion Classification Framework Using Flow-Guided Attention and Empirical Mode Decomposition
[NO] 18/181 | AICoFe: Implementation and Deployment of an AI-Based Collaborative Feedback System for Higher Education
[NO] 19/181 | Confirmation of Binary Clustering in Gamma-Ray Bursts through an Integrated $p$-value from Multiple Nonparametric Tests of Hypotheses
[NO] 20/181 | OSAQ: Outlier Self-Absorption for Accurate Low-bit LLM Quantization
[NO] 21/181 | Sequential topology optimization: SIMP initialization for level-set boundary refinement
[NO] 22/181 | Reward-Decomposed Reinforcement Learning for Immersive Video Role-Playing
[NO] 23/181 | ULF-Loc: Unbiased Landmark Feature for Robust Visual Localization with 3D Gaussian Splatting
[NO] 24/181 | Anny-Fit: All-Age Human Mesh Recovery
[NO] 25/181 | From Beats to Breaches:How Offensive AI Infers Sensitive User Information from Playlists
[NO] 26/181 | Lithium enrichment threatens to curb fusion deployment
[NO] 27/181 | Subcubic $K_4$-minor-free graphs without crumby colorings
[NO] 28/181 | FaithfulFaces: Pose-Faithful Facial Identity Preservation for Text-to-Video Generation
[NO] 29/181 | When Graph Traversal Meets Structured Preferences: Unified Framework and Complexity Results
[NO] 30/181 | $\mathbb{G}_m$-cohomology of $p$-adic Stein spaces
[NO] 31/181 | Theoretical Constraints on Neutron Star Superfluidity from Her X-1 Precession
[NO] 32/181 | Compact, AGN-hosting Dwarf Galaxies with "Little Red Dots"-like SEDs in the Local Universe
[NO] 33/181 | Multi-Level Bidirectional Biomimetic Learning for EEG-Based Visual Decoding
[NO] 34/181 | ITBoost: Information-Theoretic Trust for Robust Boosting
[NO] 35/181 | Paraphrase-Induced Output-Mode Collapse: When LLMs Break Character Under Semantically Equivalent Inputs
[NO] 36/181 | FAAST: Forward-Only Associative Learning via Closed-Form Fast Weights for Test-Time Supervised Adaptation
[NO] 37/181 | Quantum Coherence Reshapes Thermodynamic Bounds for Thermal Machines
[NO] 38/181 | ReflectDrive-2: Reinforcement-Learning-Aligned Self-Editing for Discrete Diffusion Driving
[NO] 39/181 | Securing the Web with HSTS-Enforced
[NO] 40/181 | Gradients with Respect to Semantics Preserving Embeddings Tell the Uncertainty of Large Language Models
[NO] 41/181 | A Generalized Framework of Antisymmetric Polyspectral Indices for Identifying High-Order Neural Interactions
[NO] 42/181 | CombOL: a Library for Practical Enumeration and Boltzmann Sampling of Combinatorial Classes
[NO] 43/181 | Determinantal formulae for a symmetric generating function of totally symmetric plane partitions
[NO] 44/181 | Constructions of locally repairable codes via concatenated codes
[NO] 45/181 | Counting Minimal Lagrangians Via Mirzakhani Functions
[NO] 46/181 | Continual Knowledge Updating in LLM Systems: Learning Through Multi-Timescale Memory Dynamics
[NO] 47/181 | Theta functions and transformations of bilateral basic hypergeometric series
[NO] 48/181 | Proximal Projection for Doubly Sparse Regularized Models
[NO] 49/181 | Driver-WM: A Driver-Centric Traffic-Conditioned Latent World Model for In-Cabin Dynamics Rollout
[NO] 50/181 | Time-Fractional Schrödinger Evolution in Coupled Double Quantum Dots: Memory Effects on Quantum Resources
[NO] 51/181 | Provable imitation learning for control of instability in partially-observed Vlasov--Poisson equations
[NO] 52/181 | High-Dimensional Statistics: Reflections on Progress and Open Problems
[NO] 53/181 | MSE-Optimal Difference-in-Differences Estimator
[NO] 54/181 | When Relations Break: Analyzing Relation Hallucination in Vision-Language Model Under Rotation and Noise
[NO] 55/181 | Computer-Aided Design Generation by Cascaded Discrete Diffusion Model
[NO] 56/181 | Local Intrinsic Dimension Unveils Hallucinations in Diffusion Models
[NO] 57/181 | Position: Embodied AI Requires a Privacy-Utility Trade-off
[NO] 58/181 | Dephasing Effects on the Dynamical Evolution of Quantum Correlations and Coherence in Neutrino Oscillations
[NO] 59/181 | CARD: A Multi-Modal Automotive Dataset for Dense 3D Reconstruction in Challenging Road Topography
[NO] 60/181 | First Detection of Extensive Air Showers Using a Small-Aperture Fluorescence Telescope
[NO] 61/181 | A Tutorial for Evaluating Cure Model Appropriateness
[NO] 62/181 | Federated Learning for Early Prediction of EV Charging Demand
[NO] 63/181 | Non-Expansive Matrix Based number Systems
[NO] 64/181 | The one and the only: the pulsar - white dwarf system in NGC 6749
[NO] 65/181 | Lifespan of Classical Solutions to One-Dimensional Quasilinear Wave Equations
[NO] 66/181 | Reliable Modeling of Distribution Shifts via Displacement-Reshaped Optimal Transport
[NO] 67/181 | Exact SU(2) Yang-Mills Waves from a Simple Ansatz
[NO] 68/181 | Scalar and Vector Airborne Platform Calibration Using Quantum and Classical Magnetometers and Inertial Sensors
[NO] 69/181 | Integral Homology and Poincaré Polynomials of classical and exceptional Real Flag Manifolds
[NO] 70/181 | Local elastic perturbation of colloidal suspensions near the colloidal glass transition
[NO] 71/181 | Horizontal transport as a source of disequilibrium chemistry on the nightside of a hot exoplanet
[NO] 72/181 | Decision Problems in Multilevel Linear Programming
[NO] 73/181 | Response tensor for the superconducting (Josephson) diode effect
[NO] 74/181 | Unintended Negative Impacts of Promotional Language in Patent Evaluation
[NO] 75/181 | Evolving Idea Graphs with Learnable Edits-and-Commits for Multi-Agent Scientific Ideation
[NO] 76/181 | A Convolution Process for Sea Surface Temperature Hot-Spot Identification in the Mediterranean Sea
[NO] 77/181 | Koopman Identification of Nonlinear Systems via Reservoir Liftings
[NO] 78/181 | Breaking the Quality-Privacy Tradeoff in Tabular Data Generation via In-Context Learning
[NO] 79/181 | Geant4 Optical Simulation without C++
[NO] 80/181 | On the (In-)Security of the Shuffling Defense in the Transformer Secure Inference
[NO] 81/181 | Storage Is Not Memory: A Retrieval-Centered Architecture for Agent Recall
[NO] 82/181 | Parameter Estimation Horizon of Core-Collapse Supernovae with Current and Next-Generation Gravitational-Wave Detectors
[NO] 83/181 | Regime-Conditioned Evaluation in Multi-Context Bayesian Optimization
[NO] 84/181 | An Andrews-Gordon Type Identity Related to Andrews' Parity Consideration
[NO] 85/181 | A Comparative Study of PyCaret AutoML and CNN-BiLSTM for Binary Hate Speech Detection in Indonesian Twitter
[NO] 86/181 | Catalytic advantage in asymptotic entanglement manipulation
[NO] 87/181 | Anticipating Innovation Using Large Language Models
[NO] 88/181 | Uncertainty-Aware Exploratory Direct Preference Optimization for Multimodal Large Language Models
[NO] 89/181 | Branching Brownian motion with rank-based selection and reaction-diffusion equations
[NO] 90/181 | 3D Ultrasound-Derived Pseudo-CT Synthesis Using a Transformer-Augmented Residual Network for Real-Time Operator Guidance
[NO] 91/181 | Generative Quantum-inspired Kolmogorov-Arnold Eigensolver
[NO] 92/181 | Multiscale Euclidean Network Trajectories: Second-Moment Geometry, Attribution, and Change Points
[NO] 93/181 | TajikNLP: An Open-Source Toolkit for Comprehensive Text Processing of Tajik (Cyrillic Script)
[NO] 94/181 | Fundamental Limitations of Post-Quantum Cryptographic Architectures
