[2026-07-07 11:41:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-06
正在获取论文...
[arXiv] 2026-07-06 | Convergence analysis of a MAC scheme for the barotropic Euler system
[arXiv] 2026-07-06 | Modeling Fatigue-Induced Anisotropic Quasi-Brittle Damage Based on the Endurance Surface Concept
[arXiv] 2026-07-06 | Formation and Thermodynamic Behavior of THF-Water Hydrates in Confined Mesoporous Media
[arXiv] 2026-07-06 | Accelerated estimation of quantities of interest via adjoint-based model reduction
[arXiv] 2026-07-06 | Glare Mitigation using a Differentiable Unified Glare Rating
[arXiv] 2026-07-06 | A family of generalized Gelfand pairs attached to $3$-step nilpotent Lie groups
[arXiv] 2026-07-06 | Analytical Extraction of Conditional Aleatory Sensitivities Across Epistemic Space via a Single PCE Model
[arXiv] 2026-07-06 | Non-Asymptotic Error Bounds for SMC with Biased Proposals: Application to Conditional Diffusion Sampling
[arXiv] 2026-07-06 | DGSeg: Dynamic Gating of Semantic-Spatial Guided Predictions for Reasoning Segmentation
[arXiv] 2026-07-06 | Hydro-mechanical Model for Slope Stability Assessment: A polygonal stabilization-free discretization
[arXiv] 2026-07-06 | Non-asymptotic Convergence of Stochastic Gradient Descent in Score-based Generative Models
[arXiv] 2026-07-06 | MARLIN: De Novo Molecular Structure Elucidation from Tandem Mass Spectra without a Ground-Truth Formula
[arXiv] 2026-07-06 | Strain- and potential-controlled tunneling in monolayer MoS$_2$
[arXiv] 2026-07-06 | Measurability of Quadrupole Deviations from Kerr in Binary black hole Mergers
[arXiv] 2026-07-06 | Rotating Fermion-Boson Stars in $R$-squared Gravity
[arXiv] 2026-07-06 | DriftST: One-Step Generative Inference of Spatial Transcriptomics from H\&E Histology
[arXiv] 2026-07-06 | Identifiability of Relational Queries in Multi-View Pretraining
[arXiv] 2026-07-06 | LP-SFT: Local-Preserving Supervised Fine-Tuning via Multimodal Entropy Structure
[arXiv] 2026-07-06 | Approximations related to triplewise independent random variables
[arXiv] 2026-07-06 | Reference-Induced Consensus for Selective Posed-Reference Visual Localization
[arXiv] 2026-07-06 | Rockafellian relaxation and minimum-norm slack for the Walrasian equilibrium problem
[arXiv] 2026-07-06 | A logarithmic convexity approach to quantitative unique continuation for the complex Ginzburg-Landau operator
[arXiv] 2026-07-06 | Hierarchical Scaffolding Enables Human-Like Cognitive Selectivity under Data Scarcity
[arXiv] 2026-07-06 | New insights on mutual information in the island approach to the Page curve
[arXiv] 2026-07-06 | Multi-Target ISAR Imaging of UAV Swarms Using Fast Reweighted Atomic Norm Denoising
[arXiv] 2026-07-06 | Probe-EM: Targeted Neuron Tracing via Training-Free Semantic Verification
[ACM] 2026-7-6 | Diagnosing Debugging: The ECDM Framework for Designing Diagnostic Cases in Simulation-Based Teacher Training
[ACM] 2026-7-6 | Assessing Computing Teachers' Self-efficacy to Teach about Neural Networks in Schools in Ghana: A Quantitative Study
[ACM] 2026-7-6 | A Longitudinal Study of Students in a Work-Based Learning Program
[IEEE] 2026-7-6 | Coupled-Line-Based Modeling and Design of Symmetric T-coil Structures
[IEEE] 2026-7-6 | OmniControl: Unified Audio Extraction and Elimination via Subband-Aware Separation
[IEEE] 2026-7-6 | HVI-CIDNet+: Beyond Extreme Darkness for Low-Light Image Enhancement
[IEEE] 2026-7-6 | Designing Metaphoric 3D Glyph Atlases for Web-Based Information Landscapes
[IEEE] 2026-7-6 | 2026 IEEE 18th Specialist Meeting on Microwave Radiometry and Remote Sensing for the Environment (MicroRad)
[IEEE] 2026-7-6 | A Denoising Adversarial Model Based on Hyperellipsoidal Knowledge Representation Learning for DTI Prediction
[IEEE] 2026-7-6 | TaxEL: Taxonomy-Enhanced Entity Representation Learning for Biomedical Entity Linking
[IEEE] 2026-7-6 | Reconstructing long-term 500m Snow Cover Frequency over the Third Pole Using a Widening Threshold Constrained Dynamic Time Warping Fusion Approach
[IEEE] 2026-7-6 | $\mathsf {DARTIC}$: Decentralized Anonymous Reputation at Scale for Trustworthy Crowdsourcing
[IEEE] 2026-7-6 | Space-Vector Modulation Scheme for Three-Level Switched-Capacitor Boost Inverter with Constant Common-Mode Voltage
[IEEE] 2026-7-6 | A Novel Deep Reinforcement Learning Approach for UAV Path Planning and Obstacle Avoidance for IoT Data Collection in Complex Urban Environment
[IEEE] 2026-7-6 | Development of a Digital Twin for Construction 3D Printer with Machine Learning Defect Detection Algorithm
[IEEE] 2026-7-6 | Interleaved CRC-Polar Codes with Error Correction-Detection Decoding for Short-Packet URLLC
[IEEE] 2026-7-6 | Efficient Lattice-Based Multi-Designated Verifiers Traceable Ring Signature for Conditional Privacy-Preserving Blockchain-Based Anonymous Reporting
[IEEE] 2026-7-6 | A Brain-inspired Event-triggered Consensus Control Framework Based on Spiking Neural Network for MASs
[ACM] 2026-7-6 | Exploring the AI Principles-to-Practices Gap with an Interactive AI Alignment Lab
[ACM] 2026-7-6 | Agency for Whom and To What Ends: A Plan for Investigating Impacts of Agentic AI in Computing Education
[ACM] 2026-7-6 | A Systematic Literature Mapping of Gender Bias Towards Instructors in Computer Science Education
[ACM] 2026-7-6 | Bridging the gap between industry and academia: sustainability in LLM-assisted software engineering
[ACM] 2026-7-6 | Energy Consumption of Dataframe Libraries for End-to-End Deep Learning Pipelines - A Comparative Analysis
[ACM] 2026-7-6 | VL-KGE: Vision–Language Models Meet Knowledge Graph Embeddings
[IEEE] 2026-7-6 | GSVR: 2D Gaussian-based Video Representation for 800+ FPS with Hybrid Deformation Field
[IEEE] 2026-7-6 | A Novel Detection Method of Threat Groups Based on PE Files’ Gene
[IEEE] 2026-7-6 | SMED-YOLO: A Multi-Module Enhanced Algorithm for Infrared Ship Detection in Complex Maritime Environments
[IEEE] 2026-7-6 | FOTRS: Factored Optimal Transport Reward Shaping
[IEEE] 2026-7-6 | Lightweight Multi-Scale Attention Fusion and Accurate Localization Network for Industrial Surface Defect Detection
[IEEE] 2026-7-6 | Development of a Smartphone-Based Object Recognition Prototype Application "VocabEyes" for Trilingual Vocabulary Learning for the Visually Impaired
[IEEE] 2026-7-6 | Deep Transfer Learning for Accurate Lung Cancer Diagnosis Using VGG-16
[IEEE] 2026-7-6 | Digital Collaboration in a Complex Systems Simulation Game: Impacts on Learning Experience, Systems Thinking, and Strategic Planning
[IEEE] 2026-7-6 | Flueformer: A Decoupled Deep Learning Model for SO
                    <sub>2</sub>
                    Prediction in Industrial Wet Flue Gas Desulfurization
[IEEE] 2026-7-6 | Technology-Driven Business Transformation of An Administrative Approval Process: A Case Study of E-Document Implementation at the Faculty of Pharmacy, Chiang Mai University
[IEEE] 2026-7-6 | Research on Privacy-Preserving UAV Task Matching Scheme
[IEEE] 2026-7-6 | Stereo Gaussian Fusion for Naked-eye 3D Display
[IEEE] 2026-7-6 | Adaptive Droop-Gain Model Predictive Control for Enhanced Efficiency and Power Quality in Renewable Microgrids
[IEEE] 2026-7-6 | Deep Reinforcement Learning for UAV Trajectory Design and Service Planning
[IEEE] 2026-7-6 | Analyzing Sample Selection Under Poisoning Membership Inference in Federated Learning
[IEEE] 2026-7-6 | CMRAF: Cross-Modal Refinement and Adaptive Fusion Network for Joint Registration and Fusion of Multi-Modal Medical Images
[IEEE] 2026-7-6 | Intelligent Cloud Security Model for Healthcare: Dynamic AI-Based Threat Monitoring and Compliance Assurance
[IEEE] 2026-7-6 | RADAR: Deep Reinforcement Learning for Large-Scale Robust Aircraft Routing
[IEEE] 2026-7-6 | Real-Time Advanced Heart Monitoring System Using IoT Based Patient Tracking
[IEEE] 2026-7-6 | A Data Fusion–Based Hidden Markov Model for Prognostics and Condition Monitoring
[IEEE] 2026-7-6 | A Unified Statistical and Geometric Scoring Method for Zero Day Malware Open Set Recognition
[IEEE] 2026-7-6 | Recommender Unlearning Based on Dual-Module Collaborative Mechanism
[IEEE] 2026-7-6 | VeriClassify: An AI-Driven Document Categorization within a Blockchain-Secured Git Workflow
[IEEE] 2026-7-6 | System Architecture and Performance Analysis of a Spectral Feature Based Speech Enhancement Algorithm
[IEEE] 2026-7-6 | Secure Identity Verification with Distributed Ledger Technology to Manage Decentralized Trust
[IEEE] 2026-7-6 | Multi-Behavior Collaborative Disentangled Intent Learning for Sequential Recommendation
[IEEE] 2026-7-6 | Research on Microgrid Optimal Scheduling Based on Scene Classifier and Collaboration of Multiple DRL Models
[IEEE] 2026-7-6 | MEFF-YOLO: Harmonizing Multi-Scale Context and Frequency Cues for Traffic Sign Detection
[IEEE] 2026-7-6 | Game-Based Autonomous Parking System using Proximal Policy Optimization with Reward Shaping
[IEEE] 2026-7-6 | Research on Artificial Intelligence-Based Personalized Teaching System for Military Academies
[IEEE] 2026-7-6 | A Real-Time Thai Sign Language Recognition System Using Skeletal Keypoints and LSTM Networks
[ACM] 2026-7-7 | The Hidden DNA of LLM-Generated JavaScript: Structural Patterns Enable High-Accuracy Authorship Attribution
[IEEE] 2026-7-6 | Behavior-Based Zero-Day Attack Detection Using Hybrid Deep Learning Models in Enterprise Networks
[ACM] 2026-7-7 | Achieving Productivity Gains with AI-based IDE features: A Journey at Google
[ACM] 2026-7-6 | Towards Improving CS Students' Generative AI Literacy
[ACM] 2026-7-6 | LiveC: A Living Curricula Framework for Agile and Responsive Computing Education
[ACM] 2026-7-6 | Exploring Workforce-Informed Competency Pathways in Computing Education
[ACM] 2026-7-6 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[ACM] 2026-7-6 | Multimodal Analogies for Learning Programming Concepts with Vision-Language Models
[ACM] 2026-7-6 | Club Zero: A Comprehensive Cybersecurity and Networking Fundamentals Simulator
[ACM] 2026-7-6 | Teaching Rendering and Modeling with AR/XR in Computer Graphics Courses
[ACM] 2026-7-6 | Empirical Studies on UML Sequence Diagrams in Education: A Systematic Literature Review
[IEEE] 2026-7-6 | A Unified Trust-Driven Adaptive Control Framework for Connected and Automated Vehicle Platoons under Hybrid Cyberattacks
[IEEE] 2026-7-6 | 4SQR-CodeScanner: A Zero-Overhead Deep Learning Decoder for Resource-Constrained IoT Edge Devices
[IEEE] 2026-7-6 | LSanS: A Pairing-Free Sanitizable Signature Scheme for Accountable VANET Certificate Derivation
[IEEE] 2026-7-6 | Integrating Domain Knowledge into Image Generation Models for Textile Design
[IEEE] 2026-7-6 | A Hybrid Approach Using Statistics and Unsupervised Learning to Investigate the Impact of Ionospheric Storm Disturbances on Pre-earthquake Total Electron Content Anomalies
[IEEE] 2026-7-6 | Refining Estimates of Vegetation Water Storage From SMAP L-Band VOD Using GEDI Canopy Height Observations
[IEEE] 2026-7-6 | A Ground-Truth-Free Denoising Framework for Real-Time Raman-based Distributed Temperature Sensing in Sapphire Fiber
[IEEE] 2026-7-6 | Med-SORA: Symptom to Organ Reasoning in Abdomen CT Images
[IEEE] 2026-7-6 | FGCSA-Net: A Novel Framework for Medical Report Generation Via Fine-Grained Feature Preservation and Semantic Alignment
[IEEE] 2026-7-6 | Multi-Key Components Power Losses Collaborative Optimization of MMCs Based on Multi-Degree of Freedom Control
[IEEE] 2026-7-6 | Digital Twins for Visual Inspection of Large Structures: A Systematic Review
[IEEE] 2026-7-6 | Unsupervised attenuation of aliased ground roll in undersampled 3D land seismic data
[IEEE] 2026-7-6 | Constructing Radio Map via Spatio-Temporal Learning of Crowdsourced Trajectory Data
[IEEE] 2026-7-6 | Design and Analysis of SAWbot: A Robot Generating Continuous Wave
[IEEE] 2026-7-6 | IEEE Industrial Electronics Society Publication Information
[ACM] 2026-7-6 | Beyond Energy Consumption: Accurate Emission Factors for Production Sites
[IEEE] 2026-7-6 | AI Lesson Plan Generator via Modular Feature Extraction and Synergistic Knowledge Retrieval Technology for Higher Education
[IEEE] 2026-7-6 | Analyzing MEV Feasibility and Arbitrage Strategies on Algorand: An Empirical Study
[IEEE] 2026-7-6 | Wine Quality Estimation System using Deep Neural Network with Reduced Measurable Features
[IEEE] 2026-7-6 | Heterogeneous Resource Allocation for Deadline-aware Dependent Serverless Applications
[IEEE] 2026-7-6 | Mitigating Prefetcher-Caused Pollution using Informed Caching Policies for Prefetched Blocks
[IEEE] 2026-7-6 | MT-CSD: Multi-Trajectory Consensus Self-Distillation for Robust Web Agents Learning
[IEEE] 2026-7-6 | An AI-Driven Study of Same-Event News Coverage Using Sentence Embeddings and Cosine Similarity
[IEEE] 2026-7-6 | LLM-Augmented Multimodal Recommendation with Dynamic Feature Weighting and Multi-Scale Graph Convolution
[IEEE] 2026-7-6 | Infrared - Microwave Synergy to Support Characterisation of Polar Lows
[IEEE] 2026-7-6 | Smart IoT-Based Framework for Wall Crack and Leak Detection Using Cloud-Integrated Lightweight CNN
[IEEE] 2026-7-6 | A Real-Time 3D Avatar System for Immersive Virtual Try-On on Public Displays
[IEEE] 2026-7-6 | Improved NSGA-III Based on Chaotic Mapping for Multi-Objective Flexible Job Shop Scheduling
[IEEE] 2026-7-6 | A Regularization-Based Strategy for Balancing Cross-Template Temporal Relation Extraction
[IEEE] 2026-7-6 | A Human-Machine Collaborative Code Translator from ARM NEON to RISC-V Vector
[IEEE] 2026-7-6 | Qualitative&amp;Quantitative Meta Graph Transformer for Marine Diesel Engine Health Monitoring
[IEEE] 2026-7-6 | Zero-Shot Pseudocolor X-ray Domain Translation for Cross-Device Industrial Collaboration
[IEEE] 2026-7-6 | Prognostic-Informed Opportunistic Grouping Maintenance Optimization for Multi-Component Systems
[IEEE] 2026-7-6 | An Analysis of Cultural Tourism Applications in Smart Cities
共写入 200 条记录，保存到 papers/paper2026-07-06.json。
论文获取成功，文件路径: papers/paper2026-07-06.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Convergence analysis of a MAC scheme for the barotropic Euler system
[NO] 2/200 | Brownian Motion in Orthogonal and Symplectic Groups
[NO] 3/200 | Alleviating the Hubble Tension with Smooth Sign-Switching Dark Energy: Full CMB Constraints with DESI and PantheonPlus
[NO] 4/200 | RANPilot: Making AI Functionalities Robust to Dynamic O-RAN Reconfigurations
[NO] 5/200 | Canonical quantization of neurons
[NO] 6/200 | Long-range interactions and Anderson localisation for one-dimensional high-contrast resonator chain
[NO] 7/200 | VASP Plugins: Linking the Vienna ab-initio Simulation Package with Python
[NO] 8/200 | On the Gevrey well-posedness for weakly hyperbolic biwave type equations
[NO] 9/200 | Wasserstein Residuals: Learning Gradient Flows from Population Dynamics
[NO] 10/200 | Biophysics of the Pyrenoid
[NO] 11/200 | ASSEMCAD: Production-Ready CAD Assembly Generation from Natural Language
[NO] 12/200 | Knowledge Knows, Verbalization Tells: Disentangling Latent Directions for Mathematical Solvability in LLMs
[NO] 13/200 | No Distributed Quantum Advantage for 3-Coloring Rooted Trees and 2-Coloring Even Cycles
[NO] 14/200 | On two questions of Qi on saturated filtrations
[NO] 15/200 | Towards Fully Dynamic Omnitrees: Moment-Conserving Anisotropic Compression With Wavelets
[NO] 16/200 | Markov Decision Process Approximation Methods for Water Distribution Network Inspection and Maintenance: A Case Study of the U.S. Virgin Islands
[NO] 17/200 | A Modular O-RAN Testbed Based on SRS Open Source O-CU/O-DU and Massive Beams Modular O-RU
[NO] 18/200 | The free state for the Potts model on Cayley trees is either extremal or glassy
[NO] 19/200 | SoPlasmaFoam: an OpenFOAM-based solver for streamer and dielectric barrier discharges with adaptive mesh refinement
[NO] 20/200 | Chern Character for Discrete Spectrum Partition Function
[NO] 21/200 | An SO(3) Gauge Theory of Turbulence with Spontaneous Symmetry Breaking
[NO] 22/200 | PDEFlow: Autonomous Agentic PDE Pipelines for Neural Operator Learning and Solver-Free Inference
[NO] 23/200 | When Agents Lie: Premeditation, Persistence, and Exploitation in Repeated Games
[NO] 24/200 | Critical behavior of the driven Curie-Weiss model
[NO] 25/200 | From Failing to Passing: Evolving Natural Language Prompt Optimization Rules for LLM Code Generation
[NO] 26/200 | Fragile single-cone Dirac quantum walks in two dimensions
[NO] 27/200 | Toward Personalized Social Robots for Child Well-being: Data Requirement Principles from a Recommender-System Perspective
[NO] 28/200 | RepoTrace: Browser-Assisted Evidence Collection for GitHub Research Datasets
[NO] 29/200 | Any Axes Are Allowed: A Characteristic-Axis Integral Diagnosis of Factor Models
[NO] 30/200 | Lyman-alpha haloes in the aftermath of reionisation
[NO] 31/200 | Rethinking Benchmarks and Models for Enzyme Specificity Prediction
[NO] 32/200 | Can Code Specify a System Precisely Enough to Formally Verify It?
[NO] 33/200 | Exceptional rational functions of degree 5 over finite fields: classification by monodromy, ramification, and the Riemann-Hurwitz formula
[NO] 34/200 | Context-Aware ASR for Mandarin Technical Lectures
[NO] 35/200 | Consistent and Editable: A Balanced Framework for Text-Guided Video Editing
[NO] 36/200 | Root Dynamics of Differentiated Polynomials with Rotationally Invariant Structure
[NO] 37/200 | A Real-Time Remote-Sensing-Guided Decision-Support Framework for Cloud-Seeding Operations: A Field Demonstration Using Himawari-9 and C-band Phased Array Weather Radar
[NO] 38/200 | On the Genealogy of Machine Learning Weather Prediction
[NO] 39/200 | RUFNet: Query-Guided Support Mask Refinement and Uncertainty Fusion based on Hybrid Mamba for Few-Shot Brain Tumor Segmentation
[NO] 40/200 | Your Agent's Memories Are Not Its Own: Forged Reasoning Attacks on LLM Agent Memory and Defenses
[NO] 41/200 | Semigroup approach to admissible representations of the infinite symmetric group
[NO] 42/200 | Geometric Characteristics of Subproblems in Ising-Machine-Assisted Large Neighborhood Search
[NO] 43/200 | Reaction-boundary variance and adjoint-consistent local-volatility projection
[NO] 44/200 | Pathological Regimes of Closed-Loop Recommendation Systems over Social Networks
[NO] 45/200 | Geometry-aware Depth-guided Representation Learning for Structure-preserving Low-light Image Enhancement
[NO] 46/200 | In-Band Scattering and Absorption of Infrared Blocking Foam Filters for Millimeter-wave Cameras
[NO] 47/200 | Cluster parking functions II: $q,t$-dihedral sieving via diagonal coinvariants
[NO] 48/200 | Steering the dynamics by controlling the temporal interaction network
[NO] 49/200 | The syntax of wh-agreement in Yemeni Ibbi Arabic
[NO] 50/200 | Joint Velocity Slope Diffusion Prior for Structurally Constrained Velocity Model Building
[NO] 51/200 | Extending the Bloch sphere model to an N-qubit system
[NO] 52/200 | Optical switching of antiferromagnetic domains by nonreciprocal heat current
[NO] 53/200 | Multi-Robot Open Adaptive Teaming Across Unseen Environments, Partners, and Scales
[NO] 54/200 | Functionalization of $g$-wave altermagnets: spin-splitter effect enabled by surfaces
[NO] 55/200 | Super-molasses returns: All optical near-resonance laser cooling and trapping of neutral atoms from background vapor
[NO] 56/200 | Truncated Multiple Zeta Values
[NO] 57/200 | When Words Predict Workload
[NO] 58/200 | Sensitivity Sampling with Predictions for k-Means Clustering
[NO] 59/200 | Using Process Mining to Generate AI Agents from Software Engineering Process Records
[NO] 60/200 | Chirped Floquet linear drives activate forbidden charge-to-spin conversions in Rashba two-dimensional electron gases
[NO] 61/200 | Detection of scintillation light in noble gases with wavelength-shifting optical fibers
[NO] 62/200 | Approximation of Random Differential Equations Driven by Physical Brownian Motion with Fast Oscillating Noise
[NO] 63/200 | Closing the Reality Gap: Zero-Shot Sim-to-Real Deployment for Dexterous Force-Based Grasping and Manipulation
[NO] 64/200 | Efficient Perception in Automotive Detection and Tracking Using Neuromorphic Computing
[NO] 65/200 | Focusing and light collection effects on plasma-induced frequency-resolved optical switching (PI-FROSt) traces
[NO] 66/200 | Size Effect of Monovalent Ions on Polyelectrolyte Brushes
[NO] 67/200 | Symmetry all the way down
[NO] 68/200 | Unsupervised Detection of Underground Tunnels in Ground-Penetrating Radar Using Depth-Restricted Reconstruction Scoring
[NO] 69/200 | Uniform distributions in nonuniform systems: Wall potentials generating constant density profiles in classical density functional theory
[NO] 70/200 | Euclidean $\vee$-systems and real PK arrangements
[NO] 71/200 | Subcube Stifling
[NO] 72/200 | SynSFX: Multi-Model Sound Effects Synthesis Dataset for Deepfake Detection and Evaluation
[NO] 73/200 | Amplitude-Independent Robust Snapshot 6-D Radio SLAM via a Uniffed Angle-Delay Formulation
[NO] 74/200 | Combinatorial Compression in Nucleobase Self-Assembly Governed by Seeding Kinetics
[NO] 75/200 | Psychological features of dispute content and public acceptance of AI in legal adjudication: evidence for systematic variation beyond individual differences
[NO] 76/200 | Modeling Fatigue-Induced Anisotropic Quasi-Brittle Damage Based on the Endurance Surface Concept
[NO] 77/200 | Formation and Thermodynamic Behavior of THF-Water Hydrates in Confined Mesoporous Media
[NO] 78/200 | Accelerated estimation of quantities of interest via adjoint-based model reduction
[NO] 79/200 | Glare Mitigation using a Differentiable Unified Glare Rating
