[2026-08-18 09:25:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-17
正在获取论文...
[arXiv] 2026-08-17 | CAPO: Constraint-Aware Prompt Optimization for LLM Agents
[arXiv] 2026-08-17 | Towards Computational Provenance: Carrying Causal-State Evidence in Generated Text
[arXiv] 2026-08-17 | Classical Adversarial Fault-Tolerance and PCPs
[arXiv] 2026-08-17 | HarnessEval-W: Agentifying the Evaluation of Visual Worlds
[arXiv] 2026-08-17 | zLend: A Dual-Scope Cash-Flow Reconstruction Framework for On-Chain Credit Underwriting
[arXiv] 2026-08-17 | A Hirsch length inequality
[arXiv] 2026-08-17 | Targeting Support Using Job Seekers' Biases: A Randomized Experiment
[arXiv] 2026-08-17 | Topology-Aware Differentiable Triangle-Soup Reconstruction via Persistent Homology
[arXiv] 2026-08-17 | Spectral Edge Rigidity of Quantum Chaotic States
[arXiv] 2026-08-17 | Security of Foundation-Model-Powered Embodied Agents: Attack Surfaces, Attacks, Defenses, and Evaluation
[arXiv] 2026-08-17 | The first comprehensive spectral and timing study of the ultra-compact X-ray binary 4U 1812-12 with NICER and NuSTAR
[arXiv] 2026-08-17 | Expanding Access, Exposing Risk: A Short Study of Exposed Starlink Hosts
[arXiv] 2026-08-17 | Nonnegative Quadratics over a Quadrant with a Bilinear Constraint
[arXiv] 2026-08-17 | Classical-limit formula for matrix elements between bound states of distinct one-dimensional potentials
[arXiv] 2026-08-17 | HAPS through the Lens of Satellites and UAVs: A Function-Level Perspective on the Emerging High Altitude Economy
[arXiv] 2026-08-17 | Biases-Informed Job Search Guidance: Characterization, Implications, and Targeting Support
[arXiv] 2026-08-17 | Identifying AGNs from X-ray detections$-$II: Metallicity calibrations for the $\rm N_2O_2$ and $\rm N_2S_2$ diagnostics
[ACM] 2026-8-17 | Assertions for Free: Transferring Invariants from Algorithm to Implementation Proofs (Functional Pearl)
[ACM] 2026-8-17 | Set-Theoretic Types for Erlang in Practice (Experience Report)
[ACM] 2026-8-17 | FairFRL: Fairness-aware Federated Representation Learning for Cross-domain Sequential Recommendation
[ACM] 2026-8-17 | Introduction to the Special Section on USENIX FAST 2025
[IEEE] 2026-8-17 | Dual-Beam Dual-Circularly Polarized Leaky Elliptical Waveguide Antenna With 2×2 MIMO Capability
[IEEE] 2026-8-17 | A Novel 1650Nm Tunable DFB Laser Featuring a Dual-electrode Structure
[IEEE] 2026-8-17 | GCON 2026 Breaker Page
[IEEE] 2026-8-17 | Novel Unipolar Stacked FET (USFET) Architecture Enabled by Tri-Layer Dummy Gate, Quasi-GAA SD Process, and Interconnect Innovations
[IEEE] 2026-8-17 | Causally Explainable and Responsible AI: Safety-Critical Intelligent Transportation Systems
[IEEE] 2026-8-17 | Neighborhood difference-based passive localization with automatic annotation in visible light sensing
[IEEE] 2026-8-17 | Gesture Recognition Using Tapered Double C-Shaped Polymer Optical Fiber for Multi-Scenario Human-Computer Interaction_supp1-3724049.mp4
[IEEE] 2026-8-17 | Comments by the Editors
[IEEE] 2026-8-17 | GenAI for Reproducibility: Auto-Benchmarking Legacy (Hardware) Research – A Perspective
[IEEE] 2026-8-17 | GR-Net: Robust Gravitation &amp; Repulsion Fusion Network for End-to-End Audio-Visual Speech Recognition
[IEEE] 2026-8-17 | Decentralized Edge Learning Under Weak Smoothness: A Normalized Random Walk Gradient Approach
[IEEE] 2026-8-17 | EchoST-SSL: Self-Supervised Spatiotemporal Representation Learning for Label-Efficient Processing of Echosounder Data_supp1-3720358.pdf
[IEEE] 2026-8-17 | An Ultra-Wideband Quad-Mode-Composite Complementary Source Antenna Array for B5G/6G Millimeter-Wave Applications
[IEEE] 2026-8-17 | Hybrid STSMC Observer and AI-Based Anomaly Detection in Smart Grids with EV Integration
[IEEE] 2026-8-17 | Workload-Aware Early-Stage Power Delivery Network Optimization via Architectural Power Traces
[IEEE] 2026-8-17 | Investigation of Deep Learning Image Processing Algorithms for Real-Time Video Analytics
[IEEE] 2026-8-17 | Modeling and Side-Channel Attack Resistant VGSOT-MTJ PUF Using ML and DL Analysis
[IEEE] 2026-8-17 | light-YOLOv26: A Lightweight Object Detector with Enhanced Feature Aggregation for Breast Lesions
[IEEE] 2026-8-17 | Enhancing YOLOv11 for Over-Dimension Truck Detection Using Complementary Attention Mechanisms
[IEEE] 2026-8-17 | A Credibility-Aware Multi-Source Decision-Level Fusion Framework for Performance Evaluation of Submersible Pumps
[IEEE] 2026-8-17 | An IoT-Enabled Smart MPPT-Controlled Photovoltaic-Solid Polymer Electrolyte System for Real-Time Optimized Hydrogen Production
[IEEE] 2026-8-17 | A Holonic Multi-Agent Approach for Thermal Comfort and Energy Efficiency in Smart Buildings
[IEEE] 2026-8-17 | A Comparative Study of Bayesian Contextual Bandits for Real-Time Warehouse Sorter Optimization
[IEEE] 2026-8-17 | A Comparative Experimental Study of Traditional, Semantic, and Deep Learning-Based Image Retrieval Techniques
[IEEE] 2026-8-17 | LLM-Driven Resource Optimization for Multi-Cell Secure ISAC Systems
[IEEE] 2026-8-17 | Dynamic Path Planning Based on Direction-Aware Time-Varying Risk Field for Mobile Robots
[IEEE] 2026-8-17 | Research on a Rule-Driven Diagnosis and Automatic Refactoring Framework for IEC 61131-3 XML Control Programs
[IEEE] 2026-8-17 | Real-Time EEG-Based Brain-IoT Interface Using Multi-Channel Motor Cortex Analysis and Ensemble SVM Classification
[IEEE] 2026-8-17 | Analysis of Vibrational Characteristics During Contact with Surfaces of Different Geometries Using Sensor-Embedded Dummy Finger
[IEEE] 2026-8-17 | The Joys, Challenges, and Value of Academic Collaboration: Experiences and insights from a personal journey. [Young Professionals]
[IEEE] 2026-8-17 | Design and Evaluation of A Hybrid-Actuated Floating-Based Upper-Limb Rehabilitation Robot
[IEEE] 2026-8-17 | Task-Oriented Multi-Objective Optimization of a Redundant Manipulator for TBM Cutter Replacement
[IEEE] 2026-8-17 | TerraGrow: a Stochastic Farming Simulation for Sustainable Agricultural Education
[IEEE] 2026-8-17 | Robust Actuator LOE Fault Estimation for Quadrotor UAVs Using SVSF and Adaptive Fault Update Law
[IEEE] 2026-8-17 | Zero Trust Architecture
[IEEE] 2026-8-17 | PRED: Probabilistic Routing Expert Diffusion for High-Level Design of Sigma-Delta Modulators
[IEEE] 2026-8-17 | Machine-Learning-Aided Screening of Heat-Network Renewal Pressure in Kazakhstan's CHP-Linked Power System during the Green-Economy Transition
[IEEE] 2026-8-17 | Private Browsing Under the Microscope: Residual Artifacts in Firefox
[IEEE] 2026-8-17 | Bamboo Slips Scribe Verification Based on Multi-Scale Dynamic Routing and Dual-Sparse Channel Attention
[IEEE] 2026-8-17 | Road Type Prediction System Using Machine Learning Method Based on Voltage and Current Data of Steering DC Motor
[IEEE] 2026-8-17 | Developing a Framework for Analysis of WPA3 and Router Attacks
[IEEE] 2026-8-17 | Uncertainty-Aware Feature Selection for Vehicle-to-Grid Forecasting: Set-Membership Falsification Area as a Selection Criterion
[IEEE] 2026-8-17 | XGBoost-Based Context-Aware Waiting Time Prediction from Incomplete Lifecycle Logs
[IEEE] 2026-8-17 | Handwritten Answer Evaluation Using Optical Character Recognition and Deep Semantic Text Analysis
[IEEE] 2026-8-17 | Mobile Agent approach to search for distributed information using fuzzy logic set
[IEEE] 2026-8-17 | DC Analysis of Al
                    <sub>x</sub>
                    In
                    <sub>y</sub>
                    Ga
                    <sub>1−x−y</sub>
                    N based DDR IMPATT diode for THz Applications
[IEEE] 2026-8-17 | Fault Detectability for Learning-Augmented LPV Systems
[IEEE] 2026-8-17 | On-Chip Stacked Transformer in a Low-Noise Amplifier for Cryogenic Environments
[IEEE] 2026-8-17 | Data-Driven Behavioral Modeling of Mutual and Self-Inductance in Wireless Power Transfer Coils
[IEEE] 2026-8-17 | A Multimodal Emotion Recognition from EEG and EOG using ERP and Spectral Features
[IEEE] 2026-8-17 | Reinforcement Learning-Enhanced Sliding Mode Control for Robust SCARA Robot Trajectory Tracking
[IEEE] 2026-8-17 | A Study on Laser SLAM Technology and Interactive Guided Vehicle Systems in Complex Campus Environments
[IEEE] 2026-8-17 | Empowering Healthcare with LaBSE and GPT-4: A New Era in Medical Question Answering
[IEEE] 2026-8-17 | Optimization of Marine Propellers Efficiency Using Metaheuristics: A Comparative Study
[IEEE] 2026-8-17 | Exact Fringe Capacitance Modeling via Schwarz–Christoffel Mapping: A Kirchhoff Benchmark for Parallel Plates
[IEEE] 2026-8-17 | AI-Powered Anomaly Detection in Public Procurement Using NLP and Structural Analysis of Kazakh Government Contracts
[IEEE] 2026-8-17 | Deep Learning for Stroke Mortality Prediction in eICU: A Dual-Tower Transformer Framework
[IEEE] 2026-8-17 | LLM-GRU-GAN: a Multi-Modal Adversarial Framework for Transactional Fraud Detection
[IEEE] 2026-8-17 | Stepwise Final-Approach Control for Electromagnetically Constrained Underwater Docking
[IEEE] 2026-8-17 | Improvement in Cutting Performance and Surface Quality of TC18 Titanium Alloy via Ultrasonic-Assisted Vibration Peripheral Milling under Dry Cutting Conditions
[IEEE] 2026-8-17 | Advanced Deep Learning Methods for Cardiovascular Disease Prediction Using Wearable Data: A Multi-Modal Fusion Approach
[IEEE] 2026-8-17 | LAAS-UAV: A Lightweight Authentication and Authorization Scheme for UAV-Assisted IoT Framework
[IEEE] 2026-8-17 | Digitally Integrated Modular DWS-WEDM Compound Wire-Cutting System with Active Tension Control
[IEEE] 2026-8-17 | A Novel Electromagnetic Flexible Clamping Mechanism for Vascular Interventional Surgery Robot
[IEEE] 2026-8-17 | Ship Collision Avoidance Behavior Extraction Based on AIS Data and Attention Mechanism
[IEEE] 2026-8-17 | Development of Intelligent Methods to Enhance VPN Security: Literature review
[IEEE] 2026-8-17 | Electro-Optic Modulator Control of Multi-Mode Photonic Processing Units for Optical Quantum Computing
[ACM] 2026-8-17 | Efficient Discovery of Motif Transition Process for Large-Scale Temporal Graphs
[IEEE] 2026-8-17 | Fixed-Time Synchronization of Networked Neutral-Type Filippov Systems With Application to RLC Transmission Line Models
[IEEE] 2026-8-17 | Fast Multilevel Domain-Decomposition Scheme in Frequency-Domain TLM Method
[IEEE] 2026-8-17 | First EurAAP Small Antenna Super-Gain Challenge
[IEEE] 2026-8-17 | ROPSCON: Linear BFT From Schnorr Threshold Signatures
[IEEE] 2026-8-17 | A Probabilistic Framework for Early-Stage Scalability Analysis in the Software Development Life Cycle
[IEEE] 2026-8-17 | HARMONY: Hybrid Aggregation and Reputation Mechanism for Cooperative Federated Survival Analysis
[IEEE] 2026-8-17 | Adaptive Variational Mode Decomposition Algorithm Based on PDE Enhancement and its Application
[IEEE] 2026-8-17 | Repurposing the
                    <i>Escherichia coli</i>
                    HU as a Universal dsDNA Amplicon Detection Tool
[IEEE] 2026-8-17 | SPLNet: Self-Distilled Progressive Learning Network for Deformable Medical Image Registration
[IEEE] 2026-8-17 | Weak Dielectrophoretic Force Measurement Using DEP-Driven Drift of a Confined Micro-Air Bubble in a Liquid-Filled Hollow-Core Fiber
[ACM] 2026-8-17 | Package Managers à la Carte: A Formal Model of Dependency Resolution
[IEEE] 2026-8-17 | Title: Cybersecurity Resilience in SmartCities: A Critical Analysis of IoT Protocols
[IEEE] 2026-8-17 | Scalable Quantum-Classical DFT Embedding for NISQ Molecular Simulation
[IEEE] 2026-8-17 | Real-Time lidar-IMU Odometry for Wheeled Robots via 3D-to-2D Feature Projection
[IEEE] 2026-8-17 | Energy-Efficient Autonomous Robot Navigation Using a BWO-Optimized Energy A-Star and Fuzzy-PID Control
[IEEE] 2026-8-17 | Comparative Analysis of CNN-TDNN and CNN-LSTM Architectures for Voice Activity Detection under Low Signal-to-Noise Ratio Conditions
[IEEE] 2026-8-17 | Enhancing Encrypted IoT Traffic Classification with Directional-Context and Masked Autoencoder
[IEEE] 2026-8-17 | Hyperparameter Impact Evaluation on LSTM Forecasting Model for Apparent Power Consumption Monitoring in Injection Molding
[IEEE] 2026-8-17 | Robust Sensorless Diagnosis of Induction-Generator Wind Energy Systems Using Online Stator-Resistance Estimation
[IEEE] 2026-8-17 | Blind Deconvolution via Game-Theoretic Framework: Adaptive TV-NL and Fractional-Order Derivatives
[IEEE] 2026-8-17 | Ergonomics-Oriented Optimization of Master Console Layout and Manipulator Configuration for Minimally Invasive Surgical Robots
[IEEE] 2026-8-17 | An Energy-efficient TSO dual-V
                    <sub>dd</sub>
                    22 nm 8T MSD XOR Gate for Gray-to-Binary Encoder Design
[IEEE] 2026-8-17 | Vision-Based Predictive Control for Dual-Arm Nonprehensile Transportation
[IEEE] 2026-8-17 | Incremental Learning Method for Intelligent Identification of Asphalt Pavement Distress Based on YOLOv11
[IEEE] 2026-8-17 | Integrated Multi-Layer Cyber-Physical Defense for Resource-Constrained Quadruped Robots
[IEEE] 2026-8-17 | A Review of Data-Driven Co-Speech Gesture Generation: Methods, Datasets, and Challenges
[IEEE] 2026-8-17 | Design and Real-Time Implementation of an Autonomous Indoor Navigation System for Service Robots
[IEEE] 2026-8-17 | Adapting Monocular 3D Object Detectors to Fisheye Images
共写入 200 条记录，保存到 papers/paper2026-08-17.json。
论文获取成功，文件路径: papers/paper2026-08-17.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | CAPO: Constraint-Aware Prompt Optimization for LLM Agents
[NO] 2/200 | Some explicit counter-examples to Weibel's conjecture
[NO] 3/200 | Helical Magnon Frequency Comb in Synthetic Antiferromagnetic Skyrmion Lattices
[NO] 4/200 | Dark Matter Admixed Quark Stars: A Relativistic Two-Fluid Approach
[NO] 5/200 | Measuring Mean Spanwise Flow with a Rotating Single Hot-Wire Probe over a Wide Yawed Riblet-Textured Surface
[NO] 6/200 | Transport-defined photodetection through electrically selectable nonequilibrium carrier transport
[NO] 7/200 | Coverage Is Not Containment: A Fundamental Limit of Admission-Time Defenses Against Coordinated Poisoning of Vector Retrieval
[NO] 8/200 | Coverage Is Not Redundancy: Maintenance Cost and Exposure of Query-Aware Admission Indexes in Vector Databases Under Workload Drift
[NO] 9/200 | Depth-guided Multi-view Exposure Bracketing for HDR Robot Vision
[NO] 10/200 | From Sequence to Structure: Relational Uncertainty Propagation for LLM Agents
[NO] 11/200 | The Koi Pond: A Strongly Lensed Protocluster Core hosting a Diverse Population of DSFGs
[NO] 12/200 | Threshold cascades of interacting diffusions on unimodular random trees: a conditional branching-process universality theorem, the annealed pressure, and the dimension of the failed boundary
[NO] 13/200 | The Geography of Research: The Trade-Off Between Knowledge Production and Access
[NO] 14/200 | ALPS: Measuring Valid Creativity in Large Language Models with Mathematical Construction
[NO] 15/200 | DER Allocation without Load Prediction via Reinforcement Learning
[NO] 16/200 | Fiber Fingerprints of Hidden Learning-State Dynamics
[NO] 17/200 | Graph Neural Assisted Actor-Critic for Latency-Efficient Edge Vision System
[NO] 18/200 | Continual-learning rules shape representational drift
[NO] 19/200 | Generalized Linear Models for Extremes: Estimation and Inference in High Dimensions
[NO] 20/200 | On the Incompatibility of Weighted PROPX and Pareto Optimality for Indivisible Chores
[NO] 21/200 | Real-Variable Characterizations and Their Applications of Anisotropic Besov Spaces with Matrix $\mathcal A_\infty$ Weights
[NO] 22/200 | Coded Hankel Polynomial Chaos: Spectral Identification of Dominant Polynomial-Chaos Modes
[NO] 23/200 | Assessing LLMs' mathematical abilities requires understanding the various mechanisms of mathematical creativity
[NO] 24/200 | New constructions of optimal arrangements of $2d$ lines in $\mathbb{C}^d$
[NO] 25/200 | Rigidity-Aware Formation Tracking under Sensing Range Constraints via Single Control Barrier Function Constraint
[NO] 26/200 | HyperSkill: Self-Evolving LLM Agents via Hypergraph-Structured Skill Memory
[NO] 27/200 | TISC: A Text-Driven Image Semantic Communication System for Faithful Reconstruction
[NO] 28/200 | Behaviour Is an Incomplete Measure of Reasoning Development: Cross-surface pre-arrival accessibility and the limits of developmental inference in a recurrent-depth reasoner
[NO] 29/200 | SafeGesture: Evaluating Fine-Grained Hand Gesture Understanding in Vision-Language Models through Scenario-Conditioned Safety Interpretation
[NO] 30/200 | Measurement of Branching Fraction and Transition Magnetic Moment of the Hyperon Dalitz Decay $Σ^0 \rightarrow Λe^+e^-$
[NO] 31/200 | Ventor-QTest: Threat-Model-Driven Verification of Vendor-Hosted LLM APIs
[NO] 32/200 | A magnonic-optoelectronic reservoir for physical reservoir computing
[NO] 33/200 | Mint-Agent: Introducing Finance-Native Agentic Foundation Models
[NO] 34/200 | Depth-Dominant Skeleton Detection for Natural Scenes
[NO] 35/200 | The second pole of Witten zeta functions and exact evaluations in types F4 and D5
[NO] 36/200 | DriveCache: Action-Aware Caching for Driving World Model Inference
[NO] 37/200 | SIGMA-Lane: Scale-pyramId Gated MAmba for Temporally Consistent Video Lane Detection
[NO] 38/200 | Readiness Barrier Functions: Forward-Invariant Control Authority for Overactuated Multirotor Allocation
[NO] 39/200 | Transfer Learning of Keystroke Dynamics for Cross-Device User Authentication
[NO] 40/200 | Step-Level On-Policy Distillation: Interpolating Between On-Policy Distillation and Supervised Fine-Tuning
[NO] 41/200 | The Best Are Always the Best: COVID-19 Lockdown Stringency and the Dispersion of Olympic Medal Outcomes
[NO] 42/200 | Estimating global article processing charges paid to 14 publishers for open access between 2019 and 2025
[NO] 43/200 | Coupled Transient Processes Govern Intraplate Earthquake Swarm Evolution: Insights from the 2019-2020 Palghar Sequence
[NO] 44/200 | Correlation Clustering with Random Partial Information
[NO] 45/200 | DB-SpMSpV: Dual-View Blocked Sparse Matrix-Sparse Vector Multiplication for Dynamic GPU Workloads
[NO] 46/200 | ETA Coordination at UAM Corridor Merging Points Using Worst-Case and Stochastic Trajectory Bounds
[NO] 47/200 | Coronal gas excitation as a tracer of supermassive black hole mass: on the mid-IR coronal [Ne v] lines
[NO] 48/200 | A Novel Binaural Cue Preservation Loss for DNN-Based Binaural Speech Enhancement
[NO] 49/200 | Principled Authority Switching for Shared Autonomy in Human-Robot Teams
[YES] 50/200 | Beamforming and Filter Design for Bistatic ISAC under Known and Unknown Transmit Symbols
[NO] 51/200 | A 32-leaf tree requiring six coordinates for an isometric $\ell_\infty$ embedding
[NO] 52/200 | TransAnyText: Translating Arbitrary Text in E-commerce Images via Structured Visual Generation
[NO] 53/200 | Twisted primitive group association schemes
[NO] 54/200 | Foresight-England: Development of a National-Scale Generative AI Model of Electronic Health Records for Medical Event Prediction across the COVID-19 Pandemic
[NO] 55/200 | CoM$^3$eT: A foundation model for medical image analysis through federated, multidimensional context integration
[NO] 56/200 | Print-Aware Synthesis and Physical Design Methodologies for 3D-Printed Microfluidic Biochips
[NO] 57/200 | Dimensionality Mismatch Enables Decoupled Heat and Charge Transport
[NO] 58/200 | Defake-o3: From Speculative Rationales to Verifiable Evidence for Explainable AIGI Detection
[NO] 59/200 | Second-Order Response Laws for LLM Judges: Debiased Estimation of Prompt Instability
[NO] 60/200 | CompoSkill: Compositional Skill Chain Attacks from Individually Scanner-Passing LLM Agent Skills
