[2026-08-28 20:35:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[arXiv] 2026-08-27 | Optimal Parameter-Free Gradient Minimization in $\ell_p$ Geometry
[arXiv] 2026-08-27 | A linear mass-lumped finite element method for the Landau-Lifshitz-Gilbert equation: unconditional energy dissipation and length preservation
[arXiv] 2026-08-27 | Fractional Brownian motion with multivariate time: persistence exponents
[arXiv] 2026-08-27 | FOCUS & RePAIR: Mitigating Text Degeneration via Token-Level Guidance for Pruned Large Language Models
[arXiv] 2026-08-27 | How Does Science Education Research Respond to Sociopolitical Change? A BERTopic Analysis of Korean Research
[arXiv] 2026-08-27 | Do LLMs Understand Personality? Rethinking Persona Fidelity Evaluation through Structured Behavioral Inference
[arXiv] 2026-08-27 | Relativistic Modeling for Solid Earth Tide Estimation via Space-to-Ground Clock Comparison
[arXiv] 2026-08-27 | RECAP-Forcing: Retaining Content Appearances for Long Video Generation
[arXiv] 2026-08-27 | A Barrier Primal Dual Hybrid Gradient Method for Solving Linear Programming Problems
[arXiv] 2026-08-27 | Optical Discovery of New and Candidate Galactic Supernova Remnants Plus Optical Imaging of the Monogem Ring Supernova Remnant
[arXiv] 2026-08-27 | Strain-driven orbital-selective reconstruction and bicollinear-to-stripe evolution in FeTe
[arXiv] 2026-08-27 | Hierarchical Channel Stacking: A Structured Decision Framework for AI-Generated Image Detection
[arXiv] 2026-08-27 | Quadratic Convexification of a Square Truncated by a Hyperbola
[arXiv] 2026-08-27 | Which Metrics Save the Most Human Annotation? Prediction-Powered Evaluation and Meta-Evaluation
[arXiv] 2026-08-27 | Z-Fold Wing Aeroelasticity: Compositional Modeling, 1:2 Double-Hopf Dynamics, and Nonlinear Stiffness Effects
[arXiv] 2026-08-27 | Lower bound on the thickness of broadband dielectric mirrors
[arXiv] 2026-08-27 | Open Problems in Mathematical Logic
[arXiv] 2026-08-27 | Relaxation-Aware Multimodal Sensing of Soft Gripper Driven by Structure-Perception-Learning
[arXiv] 2026-08-27 | When dissipative steady states admit thermodynamic occupation laws
[arXiv] 2026-08-27 | Influence of twist direction and large deformation on soft material torsional contact
[arXiv] 2026-08-27 | FU-Mamba: A Frequency-Enhanced Dynamic Scanning Framework for Oralscan Image Segmentation
[arXiv] 2026-08-27 | Analyzing Within-Subject Experiments: Identification, Testing, and Sensitivity
[arXiv] 2026-08-27 | Faster FPRAS for the Permanent via Restricted Poincaré Inequalities and Coupled Flows
[arXiv] 2026-08-27 | Kawamata--Miyaoka type inequality for weak Fano varieties
[arXiv] 2026-08-27 | SimCast-S2S: An Efficient Generative Model for Subseasonal Precipitation Forecasting via Transfer Learning from Climate Simulations
[arXiv] 2026-08-27 | DPA-I2P: Depth-Guided Projective Alignment for Image-to-Point-Cloud Registration in Autonomous Driving
[arXiv] 2026-08-27 | J-Zero: Unified Challenger--Solver--Judge Co-Evolution from Zero Data
[arXiv] 2026-08-27 | Atomic investigations on the mechanical properties of CoCrNi medium-entropy alloy nanowires
[arXiv] 2026-08-27 | Optimizing API Gateway Placement in Multi-Cloud Kubernetes
[arXiv] 2026-08-27 | Geometric $K$-homology and operator $K$-theory for Hilbert manifolds
[arXiv] 2026-08-27 | A Unified Adaptive Enrichment Design for Power Enhancement
[arXiv] 2026-08-27 | Physics-Informed Stochastic Configuration Machine: A Backpropagation-Free Neural Network with Fast Training for Nonlinear Differential Equations
[arXiv] 2026-08-27 | Chart2SVG: Editable SVG Generation from Raster Chart Images
[arXiv] 2026-08-27 | Posterior consistency for subdiffusion inverse problems
[arXiv] 2026-08-27 | Multi2AV-Safety: Benchmarking Safety in Multimodal-to-Audio-Video Generation
[arXiv] 2026-08-27 | FAN-LoRA: A Fourier-Adaptive Nonlinear Low-Rank Adaptor for Medical Foundation Model Domain Adaptation
[arXiv] 2026-08-27 | Background Intensity Estimation for Cassini-ISS Image Using Deep Learning-Based Diffusion Model
[arXiv] 2026-08-27 | Volume Growth and Recurrence of Fractional Powers of the Laplace--Beltrami Operator
[arXiv] 2026-08-27 | Regularity for convex viscosity solutions of $σ_3$ equation
[arXiv] 2026-08-27 | Explicit Bounds on the Entropy of Piecewise Hölder Graphon Models
[arXiv] 2026-08-27 | Learning Woody Clearing With Loss Alignment for Zero-Shot Regrowth and Woody Segmentation
[arXiv] 2026-08-27 | Production Scheduling Identification: An Inverse Optimization Approach for Industrial Load Modeling Using Smart Meter Data
[arXiv] 2026-08-27 | Microstructure evolution as a game
[arXiv] 2026-08-27 | Zero-Shot Video Restoration and Enhancement with Text-to-Image Latent Diffusion Models and Multi-Modal References
[arXiv] 2026-08-27 | Power and Sample Size Calculations for Hybrid Controlled Trials
[arXiv] 2026-08-27 | Benchmarking of Fast and Interpretable UF Machine Learning Potentials
[IEEE] 2026-8-27 | Suppression of Stray Radiation in Five-Axis Rotary Table CATR System
[IEEE] 2026-8-27 | CBAM-StrokeNet: Lightweight CBAM-MobileNet Family for Multi-Class Real-Time Brain Stroke Classification from CT Images
[IEEE] 2026-8-27 | Research on Defect Identification and Intelligent Diagnosis of Power Equipment Based on Knowledge Graph
[IEEE] 2026-8-27 | NetCAS: Dynamic Cache and Backend Device Management in Networked Environments
[IEEE] 2026-8-27 | Ontology as Distributed Coordination Infrastructure for the Circular Economy
[IEEE] 2026-8-27 | A Multi-View Deep Learning Framework for Device-Free Human Gait Identification Using ESP32 WiFi CSI
[IEEE] 2026-8-27 | Numerical Analysis of MoO
                    <sub>3</sub>
                    -Integrated RbGeI
                    <sub>3</sub>
                    Perovskite Solar Cell
[IEEE] 2026-8-27 | Dual-Loop PID Control Method for Front-End Hydraulic Speed Regulation Based on Frequency Domain Theory
[IEEE] 2026-8-27 | Human-Cognitive Buildings Interaction through Smart Gloves
[IEEE] 2026-8-27 | Research on Deep Optimization of Cogeneration of Heat and Power in Steam Turbines Based on Low-Pressure Exhaust Heat Utilization
[IEEE] 2026-8-27 | Quantized TabM: A Resource-Efficient Framework for Adverse Glycemic Event Forecasting
[IEEE] 2026-8-27 | Design of a Real-Time Image Processing and Robotic Arm Vision Guidance System Based on the Cyclone IV E FPGA
[IEEE] 2026-8-27 | An Enhanced Multi-Slice Field–Circuit Coupling Method Incorporating Capacitive Effects for Fast Transient Analysis of GIL
[IEEE] 2026-8-27 | Performance Evaluation of Low-Power Wireless Networks for Indoor Localization
[IEEE] 2026-8-27 | Reliable Unreliability in Edge Deployments
[IEEE] 2026-8-27 | Energy-optimal control considering thermal effects of UAV motors
[IEEE] 2026-8-27 | An Energy-Storage Investment Risk Quantification Method Based on a t-Copula and Conditional Value-at-Risk
[IEEE] 2026-8-27 | Nonsingular Prescribed-Time Bipartite Consensus of Multi-Agent Systems with Actuator Faults
[IEEE] 2026-8-27 | Edge-Enabled UAV Anomaly Detection Using Multimodal Sensor Fusion and Lightweight Embedded Machine Learning
[IEEE] 2026-8-27 | Towards Self-Adaptive Embryonic Systems
[IEEE] 2026-8-27 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation_supp1-3727446.pdf
[IEEE] 2026-8-27 | Graph-Aware Prompting Network for Generalizable Depth Super-Resolution_supp1-3726357.pdf
[IEEE] 2026-8-27 | Authors Index
[IEEE] 2026-8-27 | Optimizing Differential Privacy in Federated Analytics under Known Input Distributions
[IEEE] 2026-8-27 | Edge-Based Multimodal Driver Monitoring System on Raspberry Pi
[IEEE] 2026-8-27 | MOF-Enhanced Triboelectric Nanogenerators as Advanced Self-Powered Sensors: Physics-Informed Cross-Modal Fusion for Rotating Machinery Fault Diagnosis
[IEEE] 2026-8-27 | DeepCNN–LSTM: A Hybrid Deep Learning Framework for Stress Detection Using Wearable Physiological Signals
[IEEE] 2026-8-27 | Conditional Adversarial Residual Training for Cloud Removal and High-Fidelity Image Reconstruction in Satellite IoT-Based Coastal Monitoring
[IEEE] 2026-8-27 | A Dynamic Configuration Method for 3GPP Terrestrial Broadcast SFNs Based on Coordinated Interference Prediction
[IEEE] 2026-8-27 | An Advanced Modulating Signal-Based PWM Strategy for Three-Phase Voltage Source Inverters with Scalar Control for Induction Motor Drives
[IEEE] 2026-8-27 | ERD-ResNet: A Multi-Scale Deep Learning Framework for Wrist Fracture Classification from X-Ray Images
[IEEE] 2026-8-27 | Coded Redundancy for Reducing Task Average Latency in Distributed Stream Processing Systems
[IEEE] 2026-8-27 | IoT-Based Smart Gas Leakage Detection and Emergency Response System for Residential Safety
[ACM] 2026-8-27 | A Multi-Study Evaluation into Generative Artificial Intelligence for Test-Driven Development
[IEEE] 2026-8-27 | Virtual Space Switching: Fast Mobility Handoffs for Situated Intelligence
[IEEE] 2026-8-28 | Evaluating the Effectiveness of Community-Based Digital Literacy Programs on Digital Skills, Empowerment, and Governance Outcomes
[IEEE] 2026-8-28 | SA AMING TAHANAN (In Our Home): A Digital Storybook on Open Communication in Parent-Child Interactions for 2
                    <sup>nd</sup>
                    Grade Elementary Students
[IEEE] 2026-8-28 | Developing Nanosecond High-Voltage Pulser Testing Capabilities at LANSCE
[IEEE] 2026-8-28 | Dual-Weight Optimized Anisotropic Kriging Compensation for Industrial Robots in Heterogeneous Error Fields with Drilling Verification
[IEEE] 2026-8-28 | Design of an Extensible Central Backbone for Stiffness-Shifting in Soft Robotic Arms_supp1-3728346.mp4
[IEEE] 2026-8-28 | A$^{3}$S-Net: An Adaptive State-Space Framework for Resource-Efficient EEG-Based Cognitive State Monitoring in Industrial Human–Machine Interaction
[IEEE] 2026-8-28 | Synergistic Enhancement of Insulation and Mechanical Properties of Epoxy Resin for GIS/GIL Modified by Polyurethane Prepolymer - Part II: Curing Process Optimization
[IEEE] 2026-8-27 | Toward Deployable Low-Altitude Economy Networks: A Multi-Layer Architecture with Reinforcement Learning Enablers
[IEEE] 2026-8-28 | Subband Precoding Optimization in OFDM–RSMA
[IEEE] 2026-8-28 | IEEE Consumer Technology Society Officers and Committee Chairs
[IEEE] 2026-8-28 | A Novel Multimodal Quadrotor With Integrated Collision Tolerance via Active Contact-Based Velocity Adjustment
[IEEE] 2026-8-27 | A Pixel-Based FAS with 6-bit Reconfigurability Deployed at Both Transmitter and Receiver for Interference Mitigation
[IEEE] 2026-8-28 | Error-Guided Artifact Spotting and High-Frequency Detail Learning for AI-Generated Image Detection
[IEEE] 2026-8-28 | Analysis and Damping Mitigation of Outer-Loop Coupling Effects in Grid-Following Inverters Under Weak Grids
[IEEE] 2026-8-28 | Preserving Fairness in Knowledge Transfer for Exemplar-Free Class-Incremental Learning via Semantic Propagation
[IEEE] 2026-8-28 | Accurate Modeling of Relativistic Klystrons by Tesla-Family of 2.5D Largesignal Codes
[IEEE] 2026-8-28 | High Current Density, Laser-Etched, Metal Cathode Designs for Pulsed Electron Beam Sources
[IEEE] 2026-8-28 | Multi-Modal Strategies for Tuning Plasma Processing in RF-Pecvd System for High-Performance Electrodes Fabrication
[IEEE] 2026-8-28 | Analysis of Thermal Stability of Power Electronic Modules in Cold Start Mode
[IEEE] 2026-8-28 | Recent Progress Towards Kinetic Plasma Simulation Capabilities in the MOOSE Framework
[IEEE] 2026-8-28 | Half Title Page
[IEEE] 2026-8-28 | Vehicle Counting of Transportation Movement In and Outflow within Bandung City Using YOLOv11
[IEEE] 2026-8-27 | Hidden in Plain Sight: A Robust Generative Model for Secure Medical Data Sharing
[IEEE] 2026-8-28 | The Supersonic EXB Rotating Plasma Experiment (SERPENT)
[IEEE] 2026-8-28 | Consequence Learning for Trajectory Planning in Autonomous Driving
[IEEE] 2026-8-28 | A Preliminary Usability and Pedagogical Evaluation of GesturBee: A Gamified Filipino Sign Language Learning Application with AI-Powered Real-Time Sign Practice and Feedback
[IEEE] 2026-8-28 | Fostering Creative Flexibility through Multi-Modal Exploration: An e-Learning Pedagogical Strategy Embedding Computational Thinking in Science Education
[IEEE] 2026-8-28 | Platform Development for X-Pinch-Based X-Ray Radiography of Shock Propagation through a Foam on the MAIZE Pulsed Power Facility*
[IEEE] 2026-8-28 | Spatial and Temporal Measurement of Plasma Density and Temperature in Hypervelocity Impact Induced Plasma Using Triple Langmuir Probes
[IEEE] 2026-8-28 | Encoding Research Problem Statements as Relational Structures: A Case Study in Ocean Science
[IEEE] 2026-8-28 | BeamGuard: Risk-Aware Multimodal Beam Forecasting and Adaptive Virtual Beamwidth Control for 6G mmWave V2I Links
[IEEE] 2026-8-28 | Dynamics of Pre-Pulsed Metal Foil Mass-Limited Laser-Produced Plasmas
[IEEE] 2026-8-28 | Three-Level Step-Down Active Front-End Converter for Renewable Energy and Grid-Tied Systems
[IEEE] 2026-8-28 | Towards Discrete and Verifiable Physiology Modeling for Medical Cyber-Physical Systems
[IEEE] 2026-8-28 | A Neural Network for Identification and Characterization of Plasma Signatures Generated by Simulated Orbital Debris
[IEEE] 2026-8-28 | AquaScan-1K: Paving the Way to Robust Object Detection in Side-Scan Sonar
[IEEE] 2026-8-28 | Paging-Resilient Prefetching in Flash-Based CXL SSDs
[IEEE] 2026-8-28 | Grammar and Writing Choices: Rethinking Consent and Instructional Texts for Autonomy and Accessibility in Digital Education
[IEEE] 2026-8-28 | Increasing the Energy Efficiency of Electric Discharge Low-Frequency Hydroacoustic Emitters
[IEEE] 2026-8-28 | Edufiable: An Interoperable Multi-Wallet Framework for Higher Education Credentials on EBSI
[IEEE] 2026-8-28 | Torque-Induced Rotation and Orientation of Irregular Dust Aggregates in Electric and Magnetic Fields
[IEEE] 2026-8-28 | Neutral Ingestion Impacts on Gridded Ion Engine Performance Characteristics
[IEEE] 2026-8-28 | Drivers and Barriers to Consumer Adoption of AI-Enabled Robot Vacuum Cleaners
[IEEE] 2026-8-28 | Plasma Activated Water Produced by a Multi Electrode Gliding ARC System for Seed Germination and Plant Growth Enhancement of Akabare Chili (Capsicum Annuum)
[IEEE] 2026-8-28 | UX Analysis of Sustainability in E-Commerce Applications Using the Honeycomb and Heuristic Evaluation Method
[IEEE] 2026-8-28 | CTGAN for Privacy-Preserving on LSTM Models in Elderly Fall Detection
[IEEE] 2026-8-28 | Hierarchical Proximal Policy Optimization for Wide-Area Damping Control of Inter-Area Oscillations in Power Systems with DFIG Wind Integration
[IEEE] 2026-8-28 | Spatial Distribution of Aedes aegypti in Bandung City: GIS Analysis with Moran's I, LISA, and Climatic Overlay Techniques
[IEEE] 2026-8-28 | Ocean Sound Speed Profile Estimation Using Pulse-Echo Delay Fitting
                    <sup>*</sup>
[IEEE] 2026-8-28 | Does Watching Entrepreneurial Videos on Social Media Drive e-Learning? An EdTech Perspective on Digital Entrepreneurial Competency Development
[IEEE] 2026-8-28 | Electron Magnetization Effects on the Growth of Carbonaceous Nano Dusty Plasma
[IEEE] 2026-8-28 | IEEE Transactions on Electron Devices Table of Contents
[IEEE] 2026-8-28 | Exact Closed-Form Performance Analysis of Quantile Regression CFAR Detectors
[IEEE] 2026-8-28 | The Effect of X-ray Irradiation on the Electrical Characteristics and Microstructural Features of HVDC GIL/GIS Insulators
[IEEE] 2026-8-28 | Blockchain Adoption to Combat Counterfeits in Tourist Attractions Considering Spillover Effects_supp1-3722334.docx
[IEEE] 2026-8-27 | IEEE Communications Magazine
[IEEE] 2026-8-27 | 2026 9th International Conference on Electronics Technology (ICET)
[IEEE] 2026-8-27 | The Throughput Gain of Hypercycle-level Resource Reservation for Time-Triggered Communication_supp1-3727381.pdf
[IEEE] 2026-8-27 | CLOUD 2026 Organizers
[IEEE] 2026-8-27 | A Composable Game-Theoretic Framework for Blockchains
[IEEE] 2026-8-27 | (POSTER) VarDiag: Precise Fault Localization for Resource-Constrained IoT Sensor Nodes
[IEEE] 2026-8-27 | Quantum Machine Learning versus Machine Learning for Intrusion Detection in 5G Environments
[IEEE] 2026-8-27 | Logical-to-Physical Compilation for Reducing Depth in Distributed Quantum Systems
[IEEE] 2026-8-27 | Dynamic Pipeline Inference Optimization for LLMs: Load-Aware Partitioning, Updating, and Migration
[IEEE] 2026-8-27 | Research on Coordinated Control of Load-bearing Gait of Firefighter Lower Limb Exoskeleton Based on Fuzzy PID
共写入 200 条记录，保存到 papers/paper2026-08-27.json。
论文获取成功，文件路径: papers/paper2026-08-27.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Bochner Stability for B-stable DIRK Schemes
[NO] 2/200 | Hankel determinants of Catalan-like sequences
[NO] 3/200 | Vision-centric generative AI models: A software-hardware perspective
[NO] 4/200 | Optimal transport regularized dynamic radio interferometric reconstruction
[NO] 5/200 | Personalized Federated Learning for Tensor Regression
[NO] 6/200 | Threshold Pricing for Distributed Scheduling of Flexible Demands in Energy Communities
[NO] 7/200 | X-WAD: eXplainable Web Anomaly Detection
[NO] 8/200 | Calibrated Enough to Know, Not Calibrated to Act: Fabricated Evidence Makes LLM Agents Commit to the Unknowable
[NO] 9/200 | Traveling Waves in Equity Markets with Rank-Based Entry and Exit
[NO] 10/200 | ReViCo: Unveiling the Limitations of VLMs in Visual Text Understanding via Error Correction
[NO] 11/200 | ANTShapes Benchmarking Datasets for Event-Based Neuromorphic Object Classification
[NO] 12/200 | Thomson: Continual Learning of Frontier Models for SovereignAI
[NO] 13/200 | Counting Successor-Closed Subsets of Functional Digraphs
[NO] 14/200 | Feature Transformation Enhanced Jacobi Polynomial Graph Filtering for Graph Anomaly Detection
[NO] 15/200 | An approximate zero bias transformation for random sums: Applications to sampling with outliers, auto insurance, and generative AI
[NO] 16/200 | 3D- (H-theta-phi) magnetic phase diagram of antiferromagnetic metal GdB6 with electron and lattice instability
[NO] 17/200 | Programmable Cavity Squeezing for Distributed Sensing in a Tweezer Array
[NO] 18/200 | On variants of Pólya's conjecture
[NO] 19/200 | AROMA+: A Study of Factors Affecting Reproducible Builds in the Maven Ecosystem
[NO] 20/200 | TRACE-CRC: Trajectory-Adaptive Conformal Risk Control for Multi-Step Channel State Information Prediction
[NO] 21/200 | How AI Experiences Art: Emergent Aesthetic Structure in a Self-Supervised Multimodal Embedding Space
[NO] 22/200 | Animarium: an open, reproducible pipeline for synthetic populations of Italian cities, from ISTAT sources to open data (Tech Report v1)
[NO] 23/200 | pro-team at LLMs4OL 2026 Tasks Flagship and Reuse: Retrieval-Augmented Generation and Vocabulary-Constrained Filtering for Ontology Learning
[NO] 24/200 | Randomized Quasi-Gauss--Newton Methods for Solving General Nonlinear Equations
[NO] 25/200 | Laser induced ultrafast Co 3d and Ho 4f spin dynamics in CoHo ferrimagnetic alloys
[NO] 26/200 | Tabular Deep Learning for Algorithmic Trading: Cross-Regime Bayesian Optimisation for Equity Signal Generation
[NO] 27/200 | On the Levi map of nondegenerate CR submanifolds
[NO] 28/200 | SpatialCrafter: Single Image World Modeling with Generative 3D Proxies
[NO] 29/200 | Qualitative Properties of Ground States for the Stationary Magnetopolaron with a Weak Magnetic Field
[NO] 30/200 | Ternary-Valued Finite-Difference Time-Domain Method: Equivalence with the Yee Scheme Through Noise-Shaped Quantisation
[NO] 31/200 | Beyond Classification: Task-Dependent Learnability under Privacy-Motivated Image Transformations
[NO] 32/200 | Video-OPSD: Exploiting Privileged Visual Evidence for On-Policy Self-Distillation in Video Large Language Models
[NO] 33/200 | Giant bulk photovoltaic effect driven by interfacial symmetry breaking in MoS2/Ta2NiSe5 heterostructures
[NO] 34/200 | How far can symmetry help? Phase transitions and symmetry selection in sparse functional data analysis
[NO] 35/200 | Anatomy-Guided Foundation Model Adaptation with Within-Case Prototype Supervision for Standard Plane Detection in Fetal Ultrasound Blind Sweeps
[NO] 36/200 | Neighborhood Watch: Privacy Risks in Seeded Local Combination Synthetic Data
[NO] 37/200 | Conformal Cyclic Cosmology from Varying Fundamental Constants
[NO] 38/200 | Magnon-induced phononic Chern insulator
[NO] 39/200 | Topology-Masked Unified Backbone for Joint Feature Interaction and Multi-Domain Sequence Modeling
[NO] 40/200 | Prayer-Gait-Auth: Smartphone IMU-based Behavioral Biometrics from Structured Islamic Prayer Movements
[NO] 41/200 | Selfless Reduced Crossed Product $C^{*}$-Algebras Arising from Almost Periodic Actions
[NO] 42/200 | Perturbations of black holes with primary hair: time evolutions, quasinormal modes and greybody factors
[NO] 43/200 | JudgeStealer: Extracting LLM Judging Capabilities across Evaluation Protocols
[NO] 44/200 | The Randomized Query Complexity of Finding Minimal Elements in Bounded-Width Posets
[NO] 45/200 | Why not to use the Gaussian kernel
[NO] 46/200 | TEMPLAR Wales: A georeferenced environmental and toponymic dataset of Welsh settlements
[NO] 47/200 | Scalable conformal electronics based on roll-to-roll exfoliated van der Waals semiconductors
[NO] 48/200 | Turbulent diffusivity and effective rise velocity of buoyant particles in a free-surface boundary layer
[NO] 49/200 | An Exponential Lower Bound for the Permanent of Random Bernoulli Matrix
[NO] 50/200 | Towards Expert Financial QA via Self-Improving RAG
[NO] 51/200 | Non-Hermitian Skin Effect from Radiative Coupling in a Reciprocal Chiral Medium
[NO] 52/200 | Accelerating Scientific Research with Gemini in the Real-World
[NO] 53/200 | Relational Over-Regularization: Graph-Based AI-Generated Text Detection via Sentence Transition Deviation
[NO] 54/200 | High-Dimensional Spectral Limits for Gaussian KL-Unbalanced Optimal Transport
[NO] 55/200 | Optimal Parameter-Free Gradient Minimization in $\ell_p$ Geometry
[NO] 56/200 | A linear mass-lumped finite element method for the Landau-Lifshitz-Gilbert equation: unconditional energy dissipation and length preservation
[NO] 57/200 | Fractional Brownian motion with multivariate time: persistence exponents
[NO] 58/200 | FOCUS & RePAIR: Mitigating Text Degeneration via Token-Level Guidance for Pruned Large Language Models
[NO] 59/200 | How Does Science Education Research Respond to Sociopolitical Change? A BERTopic Analysis of Korean Research
[NO] 60/200 | Do LLMs Understand Personality? Rethinking Persona Fidelity Evaluation through Structured Behavioral Inference
[NO] 61/200 | Relativistic Modeling for Solid Earth Tide Estimation via Space-to-Ground Clock Comparison
[NO] 62/200 | RECAP-Forcing: Retaining Content Appearances for Long Video Generation
[NO] 63/200 | A Barrier Primal Dual Hybrid Gradient Method for Solving Linear Programming Problems
[NO] 64/200 | Optical Discovery of New and Candidate Galactic Supernova Remnants Plus Optical Imaging of the Monogem Ring Supernova Remnant
[NO] 65/200 | Strain-driven orbital-selective reconstruction and bicollinear-to-stripe evolution in FeTe
