[2026-03-27 09:48:52] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-26
正在获取论文...
[arXiv] 2026-03-26 | VideoTIR: Accurate Understanding for Long Videos with Efficient Tool-Integrated Reasoning
[arXiv] 2026-03-26 | Sharp bounds and geometric properties of the first non trivial Steklov Neumann Eigenvalue
[arXiv] 2026-03-26 | The Symmetric Perceptron: a Teacher-Student Scenario
[arXiv] 2026-03-26 | Real-Time Wiener Deconvolution for feature reconstruction in JUNO
[arXiv] 2026-03-26 | On the integrability structure of the deformed rule-54 reversible cellular automaton
[arXiv] 2026-03-26 | Navigating the Prompt Space: Improving LLM Classification of Social Science Texts Through Prompt Engineering
[arXiv] 2026-03-26 | Probing the Solar Corona and the Solar Wind Using Angular Broadening Observations with the SKA
[arXiv] 2026-03-26 | Fast Iteration of Spaced k-mers
[arXiv] 2026-03-26 | Homogeneous Boltzmann-type equations on graphs: A framework for modelling networked social interactions
[arXiv] 2026-03-26 | Modernising Reinforcement Learning-Based Navigation for Embodied Semantic Scene Graph Generation
[arXiv] 2026-03-26 | Decidable By Construction: Design-Time Verification for Trustworthy AI
[arXiv] 2026-03-26 | HiSpatial: Taming Hierarchical 3D Spatial Understanding in Vision-Language Models
[arXiv] 2026-03-26 | MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation
[arXiv] 2026-03-26 | B-type coefficient polynomial
[arXiv] 2026-03-26 | LaMP: Learning Vision-Language-Action Policies with 3D Scene Flow as Latent Motion Prior
[arXiv] 2026-03-26 | A Causal Framework for Evaluating ICU Discharge Strategies
[arXiv] 2026-03-26 | Preconditioned High-index Saddle Dynamics for Computing Saddle Points
[arXiv] 2026-03-26 | Does Structured Intent Representation Generalize? A Cross-Language, Cross-Model Empirical Study of 5W3H Prompting
[arXiv] 2026-03-26 | Quantitative analysis of non-exchangeability in bivariate copulas: Sharp bounds, statistical tests and mixing constructions
[arXiv] 2026-03-26 | Second order Recurrences, quadratic number fields and cyclic codes
[arXiv] 2026-03-26 | From Intent to Evidence: A Categorical Approach for Structural Evaluation of Deep Research Agents
[arXiv] 2026-03-26 | Large Language Model as Token Compressor and Decompressor
[arXiv] 2026-03-26 | Optimal threshold resetting in collective diffusive search
[arXiv] 2026-03-26 | On Representability of Multiple-Valued Functions by Linear Lambda Terms Typed with Second-order Polymorphic Type System
[arXiv] 2026-03-26 | HeSS: Head Sensitivity Score for Sparsity Redistribution in VGGT
[arXiv] 2026-03-26 | Macroscopic Characteristics of Mixed Traffic Flow with Deep Reinforcement Learning Based Automated and Human-Driven Vehicles
[arXiv] 2026-03-26 | How Pruning Reshapes Features: Sparse Autoencoder Analysis of Weight-Pruned Language Models
[arXiv] 2026-03-26 | AD-CARE: A Guideline-grounded, Modality-agnostic LLM Agent for Real-world Alzheimer's Disease Diagnosis with Multi-cohort Assessment, Fairness Analysis, and Reader Study
[arXiv] 2026-03-26 | MACRO: Advancing Multi-Reference Image Generation with Structured Long-Context Data
[arXiv] 2026-03-26 | Practical Efficient Global Optimization is No-regret
[arXiv] 2026-03-26 | Physical Backdoor Attack Against Deep Learning-Based Modulation Classification
[arXiv] 2026-03-26 | Joint Training Scattering Matrix Learning and Channel Estimation for Beyond-Diagonal Reconfigurable Intelligent Surfaces
[arXiv] 2026-03-26 | Upcycling solar glass into Ce-doped oxyfluorides: spectroscopic and crystallization properties
[arXiv] 2026-03-26 | Global Stability Analysis of the Age-Structured Chemostat With Substrate Dynamics
[arXiv] 2026-03-26 | V2U4Real: A Real-world Large-scale Dataset for Vehicle-to-UAV Cooperative Perception
[arXiv] 2026-03-26 | Distribution and Clusters Approximations as Abstract Domains in Probabilistic Abstract Interpretation to Neural Network Analysis
[arXiv] 2026-03-26 | Structural and magnetic phases of topological kagome metal Fe$_3$Sn$_2$ under pressure
[arXiv] 2026-03-26 | Dual gravities from entanglement entropy
[arXiv] 2026-03-26 | When Hate Meets Facts: LLMs-in-the-Loop for Check-worthiness Detection in Hate Speech
[arXiv] 2026-03-26 | ViewSplat: View-Adaptive Dynamic Gaussian Splatting for Feed-Forward Synthesis
[arXiv] 2026-03-26 | High-Fidelity Quantum State Transfer in Multimode Resonators via Tunable Pulses
[arXiv] 2026-03-26 | Superconducting Parallel-Plate Resonators for the Detection of Single Electron Spins
[arXiv] 2026-03-26 | Semantic-Aware Prefix Learning for Token-Efficient Image Generation
[arXiv] 2026-03-26 | FEAST: Fully Connected Expressive Attention for Spatial Transcriptomics
[arXiv] 2026-03-26 | Microscopic nature of $4a_0\times4a_0$ plaquettes in stripe LDOS and $2a_0$ shift
[arXiv] 2026-03-26 | FluxEDA: A Unified Execution Infrastructure for Stateful Agentic EDA
[arXiv] 2026-03-26 | Highly Efficient Rank-Adaptive Sweep-based SI-DSA for the Radiative Transfer Equation via Mild Space Augmentation
[arXiv] 2026-03-26 | Gap Safe Screening Rules for Fast Training of Robust Support Vector Machines under Feature Noise
[arXiv] 2026-03-26 | Beyond Benchmarks: How Users Evaluate AI Chat Assistants
[arXiv] 2026-03-26 | SDD-YOLO: A Small-Target Detection Framework for Ground-to-Air Anti-UAV Surveillance with Edge-Efficient Deployment
[arXiv] 2026-03-26 | Absolute convergence and Taylor expansion in web based models of Linear Logic
[arXiv] 2026-03-26 | Self-energy corrections to the ionization energies in sodium-like ions: comparison of the \textit{ab initio} QED and model-QED-operator approaches
[arXiv] 2026-03-26 | On Port-Hamiltonian Formulation of HystereticEnergy Storage Elements: The Backlash Case
[arXiv] 2026-03-26 | Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression
[arXiv] 2026-03-26 | Classification of interfacial water governed by water-polymer interactions in hydrated polymers: A molecular dynamics simulation study of ethylene-based and acrylate polymers
[arXiv] 2026-03-26 | The Competence Shadow: Theory and Bounds of AI Assistance in Safety Engineering
[arXiv] 2026-03-26 | Decoding the Electronic and Structural Fingerprints of Single-Atom Catalysts via DFT-Assisted XANES Analysis
[arXiv] 2026-03-26 | Vision Hopfield Memory Networks
[arXiv] 2026-03-26 | Temporal Focusing Enables Distortion-Resistant high-intensity Spatiotemporal Optical Vortices
[arXiv] 2026-03-26 | Banach and counting measures, and dynamics of singular quantum states generated by averaging of operator random walks
[arXiv] 2026-03-26 | A note on Boolean inverse monoids and ample groupoids
[arXiv] 2026-03-26 | Dissimilarity-Based Persistent Coverage Control of Multi-Robot Systems for Improving Solar Irradiance Prediction Accuracy in Solar Thermal Power Plants
[arXiv] 2026-03-26 | Real-variable theory of matrix-weighted multi-parameter Besov--Triebel--Lizorkin-type spaces
[ACM] 2026-3-26 | Operationalizing Security Best Practices for IEC 61850-Based SCADA: A Checklist and Lessons Learned from Lab Measurements
[ACM] 2026-3-26 | What do I Know about AI Beyond Everyday Knowledge?
[IEEE] 2026-3-26 | Carbon Footprint Efficiency Ratio: A Unified Indicator for Green Evaluation of Evolutionary Algorithms
[IEEE] 2026-3-26 | Instance-Conditioned Adaptation for Large-Scale Generalization of Neural Routing Solver
[IEEE] 2026-3-26 | Optimal Experimental Design for Fuel Cell Model Parameter Identification
[IEEE] 2026-3-26 | Flying Vehicle Detection Under Complex Conditions With RGB–Infrared Imagery: A Large-Scale Open-Source Suite and Benchmark Approach
[IEEE] 2026-3-26 | On the Importance of Tactile Sensing for Imitation Learning: A Case Study on Robotic Match Lighting_supp1-3677716.mp4
[IEEE] 2026-3-26 | Sampling Augmented Bilevel Trajectory Optimization for Constrained Quadrotor Flights_supp1-3677754.mp4
[IEEE] 2026-3-26 | Efficient Cluster-Based Knowledge Distillation for Deep Face Recognition
[IEEE] 2026-3-26 | Table of Contents
[IEEE] 2026-3-26 | Sponsor
[IEEE] 2026-3-26 | Automated Incident Management using Infrastructure-as-Code
[IEEE] 2026-3-26 | Black-start Restoration Within the Data-Center-Integrated Power System Based on Distributed Optimization
[IEEE] 2026-3-26 | ICIIS 2026 Contributor Page
[IEEE] 2026-3-26 | A Digital Compressed Sensing Framework with Optimized Measurement, Quantization, and Sparse Recovery for IoT-Enabled Wearable Edge ECG Health Monitoring Devices
[IEEE] 2026-3-26 | Preface
[IEEE] 2026-3-26 | AGERS 2025 Cover Page
[IEEE] 2026-3-26 | AGERS 2025 Editorial Note
[IEEE] 2026-3-26 | Progress in the Application of Optical Fiber in Quench Detection on CFETR CSMC
[IEEE] 2026-3-26 | Codeword-Based Auto-Correlation Receiver for Ultrasonic Time-Code-Indexed Modulation Systems
[IEEE] 2026-3-26 | Detection and Prediction of Insider Threats: A Survay
[IEEE] 2026-3-26 | Adversarial Post-Action Attacks on Dueling Bandits
[IEEE] 2026-3-26 | Hardware Distortion Aware Precoding for ISAC Systems
[IEEE] 2026-3-26 | Benign vs. Malignant Lung Tumor Classification Using a CNN-SVM Hybrid Approach
[IEEE] 2026-3-26 | Dual-Path Attention-Guided E-Waste Classification using Swin Transformer and Graph Convolutional Networks
[IEEE] 2026-3-26 | Integrating Deep Learning-Based Object Detection Into Assistive Systems for Dynamic Accessibility Challenges
[IEEE] 2026-3-26 | Multimodal Identification of Deepfake Media
[IEEE] 2026-3-26 | Enhancing Intrusion Detection with Transformer Models: A Self-Attention Approach for Log-Based Cyber Threat Analysis
[IEEE] 2026-3-26 | Automated Arthritis Detection from X-Ray Images Using Efficientnet B3 and Image Processing
[IEEE] 2026-3-26 | Real-time On-device Inference for ECG Classification of Ventricular Dysfunction
[IEEE] 2026-3-26 | Discovering Sparse Recovery Algorithms Using Neural Architecture Search
[IEEE] 2026-3-26 | Email marketing campaign optimization using multi arm bandits
[IEEE] 2026-3-26 | Uncovering Hidden Trends and Reducing Forecast Bias with Machine Learning Models in Retail Operations
[IEEE] 2026-3-26 | NPX: Automating Neuromorphic Processor Design from Spike-Based Learning to FPGA Prototyping
[IEEE] 2026-3-26 | Parasitic antenna positioning for enhanced planar array performance
[IEEE] 2026-3-26 | Optimizing Oil Palm Plantation Monitoring Using YOLOv8 and YOLOv12: Detection, Counting, and Multiclass
[IEEE] 2026-3-26 | Optimizing Prompt Engineering for Large Language Model-Based AI Systems
[IEEE] 2026-3-26 | Design and Analysis of CNTFET based INDEP 8T-Boosted Radiation Hardened SRAM Cell for Aerospace Applications
[IEEE] 2026-3-26 | Smart Voting System with Face Recognition, OTP Verification, and National ID Integration: A Secure and Accessible Approach to Modern Elections
[IEEE] 2026-3-26 | Smart Attendance Framework Using RFID and Fingerprint-Based Dual Authentication with Real-Time Email Notifications
[IEEE] 2026-3-26 | Toward algorithmic workflows for passive correlation-based radar imaging
[IEEE] 2026-3-26 | Fuzzy Technique for Active Power Flow Control in Grid-Connected Converters in Unbalanced Environments
[IEEE] 2026-3-26 | A Novel Hybrid Conical-Linear Laser Registration Method for Mixed Reality Navigation
[IEEE] 2026-3-26 | AI-Based Framework for Signal Integrity Analysis and Design Optimization in High-Speed Systems
[IEEE] 2026-3-26 | Deep Learning for Multi-Tag Ambient Backscatter Communications
[IEEE] 2026-3-26 | SightBySound: Real-Time Sonification of Stereo Depth Maps Using Hilbert Curves for Assistive Navigation Supported by a Virtual Training Environment
[IEEE] 2026-3-26 | Aspect-Based Sentiment Analysis for Arabic Business Insights with Generative Language Models
[IEEE] 2026-3-26 | Optimising Battery Energy Storage Systems for Wind Power: A Multi-Objective Approach Balancing Grid Stability and Battery Lifespan
[IEEE] 2026-3-26 | AIrtist: VR Framework for Interactive Engagement via Stroke-Based Neural Rendering
[IEEE] 2026-3-26 | Smart Home Technology Usage Among Aging and Midlife American Populations: A Systematic Literature Review
[IEEE] 2026-3-26 | Optimization of Waveform and Wavefront for Sub-Terahertz Communications Systems
[IEEE] 2026-3-26 | Accelerated Alternating Optimization of MIMO Transceivers
[IEEE] 2026-3-26 | Power-Aware Streaming Scan Network Implementation for Improved Test Coverage and IR Drop Mitigation
[IEEE] 2026-3-26 | Green Cure- Detection and prediction of agricultural plant leaf diseases
[IEEE] 2026-3-26 | Quantile Randomized Kaczmarz with Time-Varying Noise in Signal
[IEEE] 2026-3-26 | AutoHub: A Comprehensive Platform for Vehicle Management, Assistance, and Health Monitoring
[IEEE] 2026-3-26 | Towards Augmented Reality Authoring Tools That Ensure Cognitive Accessibility of Instructions
[IEEE] 2026-3-26 | Too Positive to Be True? Sentiment Analysis of AI-Guided vs. Human-Led Debriefings in Virtual Reality Counseling Training
[IEEE] 2026-3-26 | A Hardware-Optimized and Secure Variant of the Lightweight Encryption Algorithm for IoT Applications
[IEEE] 2026-3-26 | Nuclear Power Project Construction Resource Allocation Model Based on Multi-Objective Optimization Algorithm
[IEEE] 2026-3-26 | Exploring Digital Logic Design through Quantumdot Cellular Automata Modelling and Analysis
[IEEE] 2026-3-26 | Privacy-Preserving Federated Learning with Low-Cost Secure Aggregation for IoT Devices
[IEEE] 2026-3-26 | J-Band Communication System considering the Near-to-far field Transitions - An Experimental Approach
[IEEE] 2026-3-26 | Accelerated Generative Multi-Agent Q-Learning for Wireless Networks
[IEEE] 2026-3-26 | Research on Scaled and Flexible Resource P2P Transactions Based on ADMM
[IEEE] 2026-3-26 | Hybrid EfficientNet–BiLSTM Model for Psoriasis Classification
[IEEE] 2026-3-26 | Performance and Power Quality Improvement of Standalone PV Systems: An Approach Using CNN-MPPT and Output Filtering
[IEEE] 2026-3-26 | Multi-View Fusion Transient Stability Assessment Algorithm Based on Transfer Learning
[IEEE] 2026-3-26 | Accuracy Improvement of CO2 Gas Sensor using Neural Network for Remote Sensing Application
[IEEE] 2026-3-26 | Predictive Modeling Approach for Risk Classification of Cervical Cancer
[IEEE] 2026-3-26 | Evaluation of AI Methods in Real-World Cloud Environments
[IEEE] 2026-3-26 | Out-of-Distribution Detection via Uncertainty Quantification in Diffusion Models
[IEEE] 2026-3-26 | ReSage AI: An AI-Enhanced Resume Screening Framework with Intelligent Content Scoring and Suggestive Feedback Mechanism
[IEEE] 2026-3-26 | AI-Driven Observability for Real-Time Incident Management
[IEEE] 2026-3-26 | Design and Analysis of a Wideband Inverse Dual C-Slot Microstrip Antenna for 5G, WiMAX, WLAN, and Wi-Fi 6E Bands
[IEEE] 2026-3-26 | CDAF-Net: Fusing Unpaired and Imbalanced Multi-Modal Data for Ocular Disease Classification
[IEEE] 2026-3-26 | Predicting Customer Churn in Streaming Services Using Decision Tree Algorithms
[IEEE] 2026-3-26 | State of Charge Distribution Estimation in Lithium-ion Battery Using Ultrasonic Scanning and GWO-MLP Model
[IEEE] 2026-3-26 | Environment-Aware Intention Generation in Robots via Multistage Perception and Language Reasoning
[IEEE] 2026-3-26 | Multi-Task Hybrid Deep Learning with Cross-Domain Alignment for Real-Time Sentiment Analysis in Clinical Decision Support Systems
[ACM] 2026-3-26 | AXECC: Benchmarking the Privacy and Accessibility Impact of Browser Extensions
[ACM] 2026-3-26 | Bridging the Age Gap: Do Privacy Literacy, Self-efficacy, and Concerns Explain the Effects of Age on Privacy Decisions?
[IEEE] 2026-3-26 | Enhancing Building Change Detection in ChangeFormer by Integrating Deformable Attention Transformer
[IEEE] 2026-3-26 | An Analysis of the Human Ability to Detect Deepfakes With Geopolitical Content
[IEEE] 2026-3-26 | Few-Shot Medical Image Segmentation With Hierarchical Hypercorrelation Vision State-Space Model
[IEEE] 2026-3-26 | Women in Engineering
[IEEE] 2026-3-26 | Lightweight Learning from Actuation-Space Demonstrations via Flow Matching for Whole-Body Soft Robotic Grasping
[IEEE] 2026-3-26 | A Planning-Oriented Autonomous Driving Framework: From Image to Trajectory With Intent-Aware Prediction
[IEEE] 2026-3-26 | A Simulation Platform for MARL Training and Evaluation in Swarm Confrontation_supp1-3677714.pdf
[ACM] 2026-3-26 | Model-Driven Engineering
[IEEE] 2026-3-26 | RISCAM: A 576-Element 2-D Scalable Reconfigurable Intelligent Surface With Multibeam RF Camera at X-Band for ISAC
[IEEE] 2026-3-26 | A Novel Vector Control Integrated for Grid-Connected Kite-Based Airborne Wind Energy Conversion
[IEEE] 2026-3-26 | Toward Generalizable Forgery Detection and Reasoning
[IEEE] 2026-3-26 | Corrections to “Ultra-Wideband Tightly Coupled Dipole Array Fed by a Tapering Meandered Balun”
[IEEE] 2026-3-26 | Half Title Page
[IEEE] 2026-3-26 | Committees and Conference Speakers
[IEEE] 2026-3-26 | Student Paper Contest Finalists
[IEEE] 2026-3-26 | Dynamic Impedance-Aligned Phase Angle Compensation for Targeted Harmonic Mitigation in PMSM Drives
[IEEE] 2026-3-26 | A Novel Piezoelectric-Driven Small Bionic Underwater Robot_supp3-3672852.mp4
[IEEE] 2026-3-26 | Rapid Assessment of Earthquake-Induced Building Damage Using Optical Image Correlation
共写入 200 条记录，保存到 papers/paper2026-03-26.json。
论文获取成功，文件路径: papers/paper2026-03-26.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | VideoTIR: Accurate Understanding for Long Videos with Efficient Tool-Integrated Reasoning
[NO] 2/200 | Rethinking Failure Attribution in Multi-Agent Systems: A Multi-Perspective Benchmark and Evaluation
[NO] 3/200 | Distributed Real-Time Vehicle Control for Emergency Vehicle Transit: A Scalable Cooperative Method
[NO] 4/200 | Framing Data Choices: How Pre-Donation Exploration Design Influence Data Donation Behavior and Decision-Making
[NO] 5/200 | MoE-GRPO: Optimizing Mixture-of-Experts via Reinforcement Learning in Vision-Language Models
[NO] 6/200 | Sharp Exponent of Stable Standing Waves for the Perturbated Hartree Equation
[NO] 7/200 | Unbiased Multimodal Reranking for Long-Tail Short-Video Search
[NO] 8/200 | Belief-Driven Multi-Agent Collaboration via Approximate Perfect Bayesian Equilibrium for Social Simulation
[NO] 9/200 | Quantum Inspired Vehicular Network Optimization for Intelligent Decision Making in Smart Cities
[YES] 10/200 | Terahertz Channel Transmission in Dielectric Waveguide Near PCB Substrate
[NO] 11/200 | Design Once, Deploy at Scale: Template-Driven ML Development for Large Model Ecosystems
[NO] 12/200 | Nonlinear Model Order Reduction on Quadratic Manifolds via Greedy Algorithms with Dimension-Dependent Regularization
[NO] 13/200 | Optimization of Closed-Loop Shallow Geothermal Systems Using Analytical Models
[NO] 14/200 | KdV integrability in GUE correlators
[NO] 15/200 | New Characterizations of Nonsmooth Convex Functions via Generalized Derivatives
[NO] 16/200 | An operator-theory construction on geometric lattices
[NO] 17/200 | Beyond Attention Magnitude: Leveraging Inter-layer Rank Consistency for Efficient Vision-Language-Action Models
[NO] 18/200 | Logarithmic corrections to the entropy of near-extremal black holes in Einstein-Gauss-Bonnet
[NO] 19/200 | Perfectoid pure thresholds of lifts of rational double points
[NO] 20/200 | GraphER: An Efficient Graph-Based Enrichment and Reranking Method for Retrieval-Augmented Generation
[NO] 21/200 | Normal forms in cubical type theory
[NO] 22/200 | The algebra of invariants of a complete path algebra
[NO] 23/200 | Test of the essential collapse-locality loophole
[NO] 24/200 | Polynomial growth of Sobolev norms of solutions of the fractional NLS equation on \T^d
[NO] 25/200 | Data-Driven Modal Decomposition Analysis of Unsteady Flow in a Multi-Stage Turbine
[NO] 26/200 | On the Foundations of Trustworthy Artificial Intelligence
[YES] 27/200 | Active Calibration of Reachable Sets Using Approximate Pick-to-Learn
[NO] 28/200 | Bijectivity of a generalized Pak-Stanley labeling
[NO] 29/200 | Dynamics and stochastic resonance in a mathematical model of bistable phosphorylation and nuclear size control
[NO] 30/200 | Challenges in Hyperspectral Imaging for Autonomous Driving: The HSI-Drive Case
[NO] 31/200 | Lightweight GenAI for Network Traffic Synthesis: Fidelity, Augmentation, and Classification
[NO] 32/200 | An Experimental Comparison of the Most Popular Approaches to Fake News Detection
[NO] 33/200 | Send the Key in Cleartext: Halving Key Consumption while Preserving Unconditional Security in QKD Authentication
[NO] 34/200 | Translation Asymmetry in LLMs as a Data Augmentation Factor: A Case Study for 6 Romansh Language Varieties
[NO] 35/200 | Networks of quantum reference frames and the nature of conserved quantities
[NO] 36/200 | Modified log-Sobolev inequalities, concentration bounds and uniqueness of Gibbs measures
[NO] 37/200 | Advancing weak lensing mass mapping with a mask-aware HEALPix transformer
[NO] 38/200 | Quasinormal modes and AdS/CFT correspondence of a rotating BTZ-like black hole in the Einstein-bumblebee gravity
[NO] 39/200 | Sharp bounds and geometric properties of the first non trivial Steklov Neumann Eigenvalue
[NO] 40/200 | The Symmetric Perceptron: a Teacher-Student Scenario
[NO] 41/200 | Real-Time Wiener Deconvolution for feature reconstruction in JUNO
[NO] 42/200 | On the integrability structure of the deformed rule-54 reversible cellular automaton
[NO] 43/200 | Navigating the Prompt Space: Improving LLM Classification of Social Science Texts Through Prompt Engineering
[NO] 44/200 | Probing the Solar Corona and the Solar Wind Using Angular Broadening Observations with the SKA
[NO] 45/200 | Fast Iteration of Spaced k-mers
[NO] 46/200 | Homogeneous Boltzmann-type equations on graphs: A framework for modelling networked social interactions
[NO] 47/200 | Modernising Reinforcement Learning-Based Navigation for Embodied Semantic Scene Graph Generation
[NO] 48/200 | Decidable By Construction: Design-Time Verification for Trustworthy AI
[NO] 49/200 | HiSpatial: Taming Hierarchical 3D Spatial Understanding in Vision-Language Models
[NO] 50/200 | MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation
[NO] 51/200 | B-type coefficient polynomial
[NO] 52/200 | LaMP: Learning Vision-Language-Action Policies with 3D Scene Flow as Latent Motion Prior
[NO] 53/200 | A Causal Framework for Evaluating ICU Discharge Strategies
[NO] 54/200 | Preconditioned High-index Saddle Dynamics for Computing Saddle Points
[NO] 55/200 | Does Structured Intent Representation Generalize? A Cross-Language, Cross-Model Empirical Study of 5W3H Prompting
[NO] 56/200 | Quantitative analysis of non-exchangeability in bivariate copulas: Sharp bounds, statistical tests and mixing constructions
[NO] 57/200 | Second order Recurrences, quadratic number fields and cyclic codes
[NO] 58/200 | From Intent to Evidence: A Categorical Approach for Structural Evaluation of Deep Research Agents
[NO] 59/200 | Large Language Model as Token Compressor and Decompressor
[NO] 60/200 | Optimal threshold resetting in collective diffusive search
[NO] 61/200 | On Representability of Multiple-Valued Functions by Linear Lambda Terms Typed with Second-order Polymorphic Type System
[NO] 62/200 | HeSS: Head Sensitivity Score for Sparsity Redistribution in VGGT
[NO] 63/200 | Macroscopic Characteristics of Mixed Traffic Flow with Deep Reinforcement Learning Based Automated and Human-Driven Vehicles
[NO] 64/200 | How Pruning Reshapes Features: Sparse Autoencoder Analysis of Weight-Pruned Language Models
[NO] 65/200 | AD-CARE: A Guideline-grounded, Modality-agnostic LLM Agent for Real-world Alzheimer's Disease Diagnosis with Multi-cohort Assessment, Fairness Analysis, and Reader Study
[NO] 66/200 | MACRO: Advancing Multi-Reference Image Generation with Structured Long-Context Data
[NO] 67/200 | Practical Efficient Global Optimization is No-regret
[YES] 68/200 | Physical Backdoor Attack Against Deep Learning-Based Modulation Classification
[YES] 69/200 | Joint Training Scattering Matrix Learning and Channel Estimation for Beyond-Diagonal Reconfigurable Intelligent Surfaces
[NO] 70/200 | Upcycling solar glass into Ce-doped oxyfluorides: spectroscopic and crystallization properties
[NO] 71/200 | Global Stability Analysis of the Age-Structured Chemostat With Substrate Dynamics
[NO] 72/200 | V2U4Real: A Real-world Large-scale Dataset for Vehicle-to-UAV Cooperative Perception
[NO] 73/200 | Distribution and Clusters Approximations as Abstract Domains in Probabilistic Abstract Interpretation to Neural Network Analysis
[NO] 74/200 | Structural and magnetic phases of topological kagome metal Fe$_3$Sn$_2$ under pressure
[NO] 75/200 | Dual gravities from entanglement entropy
[NO] 76/200 | When Hate Meets Facts: LLMs-in-the-Loop for Check-worthiness Detection in Hate Speech
[NO] 77/200 | ViewSplat: View-Adaptive Dynamic Gaussian Splatting for Feed-Forward Synthesis
[NO] 78/200 | High-Fidelity Quantum State Transfer in Multimode Resonators via Tunable Pulses
[NO] 79/200 | Superconducting Parallel-Plate Resonators for the Detection of Single Electron Spins
[NO] 80/200 | Semantic-Aware Prefix Learning for Token-Efficient Image Generation
[NO] 81/200 | FEAST: Fully Connected Expressive Attention for Spatial Transcriptomics
