[2026-01-03 09:09:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-02
正在获取论文...
[IEEE] 2026-1-2 | Author Papers Index ENC 2025
[IEEE] 2026-1-2 | Recommendations for Technical Standards for Synchronous Machines Co-Located with Inverter Based Resources
[IEEE] 2026-1-2 | ML-based Predictive Models for Power Consumption in Virtualised O-RANs
[IEEE] 2026-1-2 | An Overview of Legal Artificial Intelligence Assistants Landscape
[IEEE] 2026-1-2 | Ceemdan-Based Multiscale Cnn for Wind Turbine Gearbox Fault Detection
[IEEE] 2026-1-2 | YEGI: Web Systems Based on Large Language Models to Generate Summaries
[IEEE] 2026-1-2 | Accelerating Reflect Array Design: Leveraging Machine Learning for Design Process Optimization
[ACM] 2026-1-2 | The Impact of Data Assets on the Growth of Information and Communication Enterprises
[ACM] 2026-1-2 | Effect of Commitment-based Human Resource Management Practices onEmployee Voice Behavior: The Roles of Perceived Insider Status and Organizational Embeddedness
[ACM] 2026-1-2 | Influence of Agent's Strategy on Individual's Cognition and Decision Making
[ACM] 2026-1-2 | From Conversation to Orchestration: HCI Challenges and Opportunities in Interactive Multi-Agentic Systems
[ACM] 2026-1-2 | Future Wellbeing: A Hands-on Design Fiction Workshop Exploring Human-Agent Interaction and Mental Health
[ACM] 2026-1-2 | Watchful Eyes of Robots and Social Anxiety: Implications for Socially-Sensitive Design
[ACM] 2026-1-2 | Speaking or Writing: Do Response Times Influence Anthropomorphism Differently for ADHD and Neurotypical Users in a Mental Health Chatbot?
[ACM] 2026-1-2 | Research on Optimization Solutions for Rural Smart Logistics in the Context of Artificial Intelligence
[ACM] 2026-1-2 | Session Summary Podcast: Session 23: Algorithms: Sparse Matrix and Tensor Computation
[IEEE] 2026-1-2 | Cover Page
[IEEE] 2026-1-2 | Transferable Adversarial Camouflage Attacks with Multi-layer Topology Tuning for Intelligent Vehicles
[IEEE] 2026-1-2 | Fast Lithium-ion Battery Broadband Impedance Identification with Enhanced Mid-to-low Frequency
[ACM] 2026-1-2 | Session Summary Podcast: Session 2: Selection and Mid-Air Interaction
[IEEE] 2026-1-2 | Discrete-Time Sliding Mode Based Controller of DC-DC Buck Converter
[IEEE] 2026-1-2 | LVQ Dynamic Weighted Network for Long-tailed Hashing
[IEEE] 2026-1-2 | Material Parameter Identification for PCB Based on Modal Testing and Multi-Parameter Optimization
[IEEE] 2026-1-2 | Design of a Tendon Sheath Inflammation Massage Glove Based on an STM32 Microcontroller
[IEEE] 2026-1-2 | Characterizations of Isoberlina Fiber Reinforced Recycled Low-Density Polyethylene Composites
[IEEE] 2026-1-2 | Collaborative Learning and Motivation in Virtual Environments: A Comprehensive Proposal for Online Education
[IEEE] 2026-1-2 | Demand Side Management System for Buildings to Optimise Peak Demand
[IEEE] 2026-1-2 | A Review of Multimodal Dynamic Facial Expression Recognition Based on Unimodal Pretrained Models Transfer
[IEEE] 2026-1-2 | Task Parsing and Verification for Laboratory Automation via Large Language Models
[IEEE] 2026-1-2 | Quality Of Experience Aware Digital Twin Enabled Heterogeneous Community Network
[IEEE] 2026-1-2 | Phase-Filtered Neural Network Based Digital Predistortion for PA Linearization in 5G Systems
[IEEE] 2026-1-2 | Neural Network-Based Computation of Robot Manipulator Configurations from Cartesian Coordinates
[IEEE] 2026-1-2 | Performance Benchmarking of Edge Devices for Real-Time Facial Recognition Systems
[IEEE] 2026-1-2 | Hilbert-Huang Transform-Based Time-Frequency Analysis for Bearing Fault Diagnosis in Rotating Machinery
[IEEE] 2026-1-2 | An AI-Powered Multi-Agent Ecosystem for Cost-Effective Planning and Expansion of Telecommunication Access Network
[IEEE] 2026-1-2 | Multimodal Large Language Model Framework for Safe and Interpretable Grid-Integrated EVs
[IEEE] 2026-1-2 | Design of Pulse-Shaping Circuits for Electrostatic Discharge Generator
[IEEE] 2026-1-2 | Channel Estimation for STAR-RIS-Enabled UAV Communications
[IEEE] 2026-1-2 | Orthogonal Chirp Division Multiplexing-aided NOMA System with Imperfect SIC Errors
[IEEE] 2026-1-2 | Leakage Rate Analysis for Untrusted RIS with Imperfect CSI
[ACM] 2026-1-2 | It's LeviOsa, Not LevioSA: How Intentional Robot Mistakes Can Impact Children's Reading Skills
[ACM] 2026-1-2 | Trustworthy Conflict Resolution in Human-Robot Interactions: Effects of Automation and Explainability
[ACM] 2026-1-2 | Passive Reception or Active Participation? The Impact of Self-Investment on the Adoption of AI-Generated Travel Itineraries: A Psychological Ownership Perspective
[ACM] 2026-1-2 | From Doubt to Action
[ACM] 2026-1-2 | Research on the Impact Mechanism of Anti-globalization Impact on the Restructuring of Manufacturing Industry Chain
[ACM] 2026-1-2 | A Research on the Impact of Market Structure on Deposit and Loan Pricing Using Financial Technology Innovation Pricing Model
[ACM] 2026-1-2 | Session Summary Podcast: Proceedings of the First International Workshop on Analytics, Telemetry, and Cybersecurity for HPCC
[ACM] 2026-1-2 | Session Summary Podcast: Session 28: Scheduling, Tiling, and Parallelism
[ACM] 2026-1-2 | Session Summary Podcast: Session 36: System Software and Cloud
[ACM] 2026-1-2 | Session Summary Podcast: Session 11: Paper Session K - General Computing Education &amp; Pedagogy
[IEEE] 2026-1-2 | Hybrid Dual-Heterogeneous Knowledge Distillation Network for Anomaly Detection in Retinal OCT Images
[IEEE] 2026-1-2 | Coverage Analysis of Aerial Users in Intelligent Reflecting Surface-Aided Cellular Networks
[IEEE] 2026-1-2 | Safety-Critical Disturbance Rejection Control for Capsizing Prevention of an Unmanned Sailboat
[IEEE] 2026-1-2 | Conference ENC 2025
[IEEE] 2026-1-2 | Ka Ai-Zasnovanom InžEnjeringu SaobraćAja U 5G/6G MrežAma
[IEEE] 2026-1-2 | A framework for characterizing 3D structures of crevasses and rifts across Antarctic ice shelves
[IEEE] 2026-1-2 | Detection of Lymph Node Invasion Using Digital Holographic Images and Machine Learning
[IEEE] 2026-1-2 | Author response for "Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations"
[IEEE] 2026-1-2 | Data-Driven Collaborative Traffic Steering Based on A1 Policy in O-RAN
[IEEE] 2026-1-2 | Directional Modulation Design for Three Signals Using Crossed-Tripole Array
[IEEE] 2026-1-2 | Probabilistic Forecasting Accuracy Assessment for GW-Scale Solar PV Plants: Leveraging CRPS and Ensemble Methods for Grid Resilience
[IEEE] 2026-1-2 | Message Passing Neural Networks for Sound Source Localization
[IEEE] 2026-1-2 | Deep Learning Approaches for Image-Based Malaria Detection
[IEEE] 2026-1-2 | Shading Loss Mitigation in Advanced Bifacial Photovoltaic Systems for Improved Capacity Factor
[IEEE] 2026-1-2 | Graph-Based TDOA Localization of Partial Discharges in Branched Power Cable Networks
[IEEE] 2026-1-2 | A Survey and Evaluation of Wireless Sensor Networks Security
[IEEE] 2026-1-2 | 6G Network O-RAN Energy Efficiency Performance Evaluation
[IEEE] 2026-1-2 | Chatbot as Informative Support: Case Study in the Faculty of Accounting and Administration, Universidad Veracruzana
[IEEE] 2026-1-2 | Resilience Curves to Quantify the Impact of Severe Weather Events on Electricity Distribution Networks in the United Kingdom
[IEEE] 2026-1-2 | Cube the Sun: A Space-Saving Design for Next-Gen Solar Power
[IEEE] 2026-1-2 | Reflection Coefficient Analysis of Open-Ended Coaxial Probes Based on Geometrical Parameters
[IEEE] 2026-1-2 | Performance Comparison of Channel Estimation Methods for XL-MIMO Systems
[IEEE] 2026-1-2 | Analysis of Wear Behavior of AISI 316L Stainless Steel Using the Finite Element Method
[IEEE] 2026-1-2 | ICIIBMS 2025 Blank Page
[IEEE] 2026-1-2 | Paper Titles
[IEEE] 2026-1-2 | FNWF 2025 Authors
[IEEE] 2026-1-2 | Brain-in-the-Loop Learning for Intelligent Vehicle Decision-Making_supp1-3641715.mp4
[IEEE] 2026-1-2 | Deep Learning-based Human Gesture Channel Modeling for Integrated Sensing and Communication Scenarios
[IEEE] 2026-1-2 | Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization_supp7-3645051.mp4
[ACM] 2026-1-2 | Jetpacks, Dragons, and TARS: Speculative Design of Assistive Technologies Through Science Fiction Imaginaries
[ACM] 2026-1-2 | Research on the impact of green fiscal on carbon emissions based on the fixed effect model with panel data
[IEEE] 2026-1-2 | CASM-UFLD: An Improved UFLD Lane Detection Algorithm Based on Curvature-Aware Sequence Modeling
[IEEE] 2026-1-2 | Filling and Sorting Automation System for Three Golf Balls in a Cylindrical Box
[IEEE] 2026-1-2 | A Decentralized and Privacy-Preserving Spatial Crowdsourcing Framework for V2X
[IEEE] 2026-1-2 | Effects of Kilohertz-Frequency Priming Stimulus on Cortical Neural Excitability in Mouse Brain Slices
[IEEE] 2026-1-2 | Circular-Optical Intelligent Reflecting Surface Assisted Underwater Wireless Communication System
[IEEE] 2026-1-2 | 3GPP Based LDPC Encoder For 5G-NR Over FPGA
[IEEE] 2026-1-2 | Directed Acyclic Graphs for Identifying Determinants of Postprandial Glucose in Type 1 Diabetes
[IEEE] 2026-1-2 | LP Gas Leak Detection Prototype for Rural Areas With Aes-256 Encryption via LoRa and 3G Network Transmission
[IEEE] 2026-1-2 | Analysis of a Variable Capacitance Sensor Used to Monitor Volumetric Changes in Droplets
[IEEE] 2026-1-2 | Current Status of Cluster Analysis Application in Software Construction Activities: A Systematic Literature Review
[IEEE] 2026-1-2 | Two-Stage Optimization for Bess Sizing and Placement in Medium-Voltage Distribution Networks
[IEEE] 2026-1-2 | Queueing-Based Optimization of EV Battery Swapping Stations: Balancing Availability, Costs, and Degradation
[IEEE] 2026-1-2 | Enhancing Trigeneration System Efficiency Through Optimized Control of a SOFC
[IEEE] 2026-1-2 | Reduced-Complexity Successive Cancelation Decoding of $\mathbb{Z}_{4}$ Splitting Codes
[IEEE] 2026-1-2 | Performance Analysis of Double Auction Implementations for Peer-to-Peer Energy Trading on Resource Constrained Blockchain Platforms
[IEEE] 2026-1-2 | Resource-Efficient Transfer Learning by Evaluating Model Robustness to Aggressive Video Metadata Modification
[IEEE] 2026-1-2 | Identification of Flexible Residential Loads by Using Machine Learning Techniques
[IEEE] 2026-1-2 | Optical Flow-Based Visual Estimation of Translational Displacement Using a Raspberry Pi® Embedded Computer
[IEEE] 2026-1-2 | Distributed Deep Learning Model for Credit Card Fraud Detection: A Cloud-Based Scalability Study
[IEEE] 2026-1-2 | Voltage Conversion in Power Distribution Networks: Transition from 6.6kV to 11kV
[IEEE] 2026-1-2 | Semantic-Aware Interoperability for Digital Twins: A Case Study on Hydrogen Power Plants
[IEEE] 2026-1-2 | A Lightweight Reinforcement Learning Baseline for 3D LiDAR Control Under Memory Constraints
[IEEE] 2026-1-2 | Development and Evaluation of an AI Chatbot for Educational Support Utilizing Lecture Materials
[IEEE] 2026-1-2 | An Enhanced YOLOv11-OBB Model for Biological Sample
[IEEE] 2026-1-2 | Optimizing Federated Learning for UAV-Based Crop Health Monitoring
[IEEE] 2026-1-2 | Scalable ETSI-Compliant SDN-Enabled QKD Network Architecture Using Microservices
[IEEE] 2026-1-2 | Machine Learning based Mobility Robustness Optimization For Next Generation Cellular Network
[IEEE] 2026-1-2 | Smart Truck Platooning System with V2V Communication and Route Optimization
[ACM] 2026-1-2 | Fart Gags and Prudish Machines: Laughter in Human-agent Interactions
[ACM] 2026-1-2 | Retico: A Framework for Robot/IVA-ready Spoken Dialogue
[ACM] 2026-1-2 | Exploring Color-Based Emotion Visualization for the Design of Affective Agents: A Pilot Study in a Special Needs School
[ACM] 2026-1-2 | The Mutual Compensatory Effect of Artificial Intelligence Development and Labor Structure Changes
[ACM] 2026-1-2 | Optimization of Cost Control Based on the Value Chain in the Context of Digital Transformation—A Case Study of Zhengzhou Coal Mining Machinery Group
[ACM] 2026-1-2 | Session Summary Podcast: Session 14: Energy, Power, and Sustainability
[IEEE] 2026-1-2 | High-frequency magnetic response measurement of test mass with a fluxgate magnetometer for gravitational wave detection
[IEEE] 2026-1-2 | UQA-RAG: Enhancing Urdu Question-Answer Retrieval with Semantic Similarity and LLMs
[IEEE] 2026-1-2 | Decentralized Access and Roaming Management in Fixed, Mobile, and Satellite Convergence Networks Using Smart Contracts
[IEEE] 2026-1-2 | More Capacity from Less Spectrum: Tapping into Optical-Layer Intelligence in Optical Computing-Communication Integrated Network
[IEEE] 2026-1-2 | Post-Disaster Restoration Based on Path Stability in Elastic Optical Networks under Cascading Failures
[IEEE] 2026-1-2 | Hybrid Quantum-Classical Computers: A Critical Analysis to Quantum Computational Models
[IEEE] 2026-1-2 | Water Demand Model for the Valley of Mexico Using the Logistic Equation of Population Growth
[IEEE] 2026-1-2 | The Analysis of Harmonic Currents of Residential Heat Pump During Characteristic Operating Modes
[IEEE] 2026-1-2 | Agentic GenAI-Driven Network Management: Outage Probability of Relay Signal Transmission Using DF Technique Under BX Fading Case Study
[IEEE] 2026-1-2 | Optimal Charging Patterns of EV Prosumers to Maintain Grid Stability
[IEEE] 2026-1-2 | Kinesthetic Chemistry Learning with the Multimolecular Structural Sphere (MMSS)
[IEEE] 2026-1-2 | Space Charge Modulation in Low-Density Polyethylene via Electrode Interface Engineering: A PEA-Based Experimental Study
[IEEE] 2026-1-2 | Organic Field-Effect Transistor Model Based on Pentacene and Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Thin Films
[IEEE] 2026-1-2 | Educational Laboratory Course on UWB Technology
[IEEE] 2026-1-2 | Emulation of Slowloris Attack
[IEEE] 2026-1-2 | Real-Time Kinematics Positioning GNSS Landslide Monitoring System – Hardware Components
[IEEE] 2026-1-2 | Brain Age Prediction from Morphometric MRI Data Using Machine Learning: Feature Engineering and Atlas-Based Comparisons
[IEEE] 2026-1-2 | Study on the Verification of Braking Performance of Servie Robots using a Motion Analysis System
[IEEE] 2026-1-2 | A Novel Lightweight Consensus Mechanism for Mobile Nodes in Decentralized Networks
[IEEE] 2026-1-2 | Phase Optimization for RIS-MIMO Detection via Condition Number Minimization for Correlated Channels
[ACM] 2026-1-2 | Effects of Emotional Expressions of a Small Communication Robot on Player Strategies in a Psychological Board Game
[ACM] 2026-1-2 | Collaborative Autoethnography as a Method to Explore Short-Lived Social AI Chatbots
[ACM] 2026-1-2 | Influence of Imagined Human-Robot Interaction on Robot Perception
[ACM] 2026-1-2 | Research on the Mechanism and Path of Coordinated Development between Digital Transformation of Vocational Education and New quality Productivity under the United front
[ACM] 2026-1-2 | Care-Aware Decision Layer: Embedding Ethics of Care into AI-Supported Clinical Discharge Decisions
[IEEE] 2026-1-2 | Channel-Aware Distributed Transmission Control and Video Streaming in UAV Networks
[IEEE] 2026-1-2 | RFDA Frequency Offset Synthesis Given Specified Range Resolution of the Spot-Like Beampattern
[ACM] 2026-1-2 | Session Summary Podcast: Session 2: ACM Gordon Bell Climate Modeling Finalist
[ACM] 2026-1-2 | Session Summary Podcast: Session 20: Data Analytics, Visualization &amp; Storage
[IEEE] 2026-1-2 | Publicly verifiable information sharing solution in edge computing scenarios
[IEEE] 2026-1-2 | Evaluation of Wearable Sensors for Mental Fatigue Level Estimation under Physical Fatigue
[IEEE] 2026-1-2 | Middleware-Based Customizable Plush Toy Controller for Game Accessibility Enhancement
[IEEE] 2026-1-2 | OAM-LiFiNet: Orientation Aware Multi-AP Li-Fi Network with User Mobility
[IEEE] 2026-1-2 | Live Testing of Cloud Services: A Framework and Lessons Learned
[IEEE] 2026-1-2 | Enhanced Power Savings by Conjunction of PDCCH Skipping with BWP Switching, SCell Dormancy and CDRX
[IEEE] 2026-1-2 | AI-Driven Dynamic Line Rating to Enhance Power Grid Resilience to Extreme Weather Events
[IEEE] 2026-1-2 | A Hybrid Approach to Efficient Adaptive Multimedia Streaming
[IEEE] 2026-1-2 | Optimization of Wind Turbine Power Generation Using Carbon Fiber Single Blade
[IEEE] 2026-1-2 | Industry Revolutions and Business Intelligence Resources for Designing an Automation Roadmap
[ACM] 2026-1-2 | Proceedings of the 13th International Conference on Human-Agent Interaction
[ACM] 2026-1-2 | Is “Two” Just Two? Human Expectations of How Robots Interpret Number Words
[ACM] 2026-1-2 | Do People Choose an Incorrect Option if Other Humans or Robots are Looking at it?
[ACM] 2026-1-2 | FeedQUAC: Quick Unobtrusive AI-Generated Commentary
[ACM] 2026-1-2 | Tool or Partner? A High-accuracy Classification Method of How People Treat Robots in Human-Robot Collaboration
[ACM] 2026-1-2 | Exploring Creative Human-Agent Discussion via Assigned Perspectives
[ACM] 2026-1-2 | From Storage to Interpretation: User Perceptions, Practices, and Challenges with Long-term Memory in Agents
[ACM] 2026-1-2 | Linguistic Anthropomorphism in Chatbots: Effects of Style, Topic, and Interaction on Users' Perceptions and Behaviors
[ACM] 2026-1-2 | A Study about University Teachers' Intentions Regarding Students' Usage on AI Tools: An Empirical Analysis Based on Involvement, Trust, and Perceived Risk
[ACM] 2026-1-2 | Session Summary Podcast: Session 34: Algorithms: Matching System Capabilities
[ACM] 2026-1-2 | Session Summary Podcast: Session 3: Auto-Tuning, Compilation, and Code Generation
[IEEE] 2026-1-2 | Robustness of Structured Data Extraction from Perspectively Distorted Documents
[IEEE] 2026-1-2 | 5G Regulatory and Policy Framework in Emerging Economies
[IEEE] 2026-1-2 | Simulation of Entanglement-Based Competition Resolution in Distributed Systems
[IEEE] 2026-1-2 | A Case Study on the Impact of Noise on Maximum Likelihood Quantum Amplitude Estimation
[IEEE] 2026-1-2 | Comparative Analysis of Single-Axis and Dual-Axis Solar Tracking Systems
[IEEE] 2026-1-2 | Interpretable Network Intrusion Detection Framework using Hybrid DL and ML Models
[IEEE] 2026-1-2 | Low-Complex LLR Computation for 5G-NR
[IEEE] 2026-1-2 | A 2-W Ka-Band Power Amplifier Design in the 0.15 μm GaAs pHEMT Technology
[IEEE] 2026-1-2 | Rapid Prototyping Techniques of Industrial Environment
[IEEE] 2026-1-2 | Parallelized Movie Recommendation System for Efficient User Personalization
[IEEE] 2026-1-2 | Overview of Interpretable and Explainable Artificial Intelligence for Atrial Fibrillation
[IEEE] 2026-1-2 | Public 5G-Aided Robust Smartphone GNSS Localization in Challenging Environments
[IEEE] 2026-1-2 | Feature Importance Analysis of Smart Meter Time Series for Electricity Theft Detection
[IEEE] 2026-1-2 | Decoupled Control of Active and Reactive Power at the PCC Using Local Measurements for an Inverter Interfaced Virtual Power Plant
[IEEE] 2026-1-2 | Influence of Psychological Stress on Short-Time Energy of Speech Signal
[IEEE] 2026-1-2 | Probabilistic Trust Modeling and Security Verification for Smart Grid Systems
[IEEE] 2026-1-2 | Investigation of Flashover Incidents in Medium Voltage Capacitor Bank Circuit Breakers
[IEEE] 2026-1-2 | Development of a Cost-Effective Modular Vital Signs Monitoring System for Educational and Remote Healthcare Applications
[ACM] 2026-1-2 | Analysis of the Impact of Digital Economy on R&amp;D Innovation
[IEEE] 2026-1-2 | IEEE ENC Community
[IEEE] 2026-1-2 | Journal of Computer Science (ENC): Conference Series
[ACM] 2026-1-2 | Session Summary Podcast: Session 13: Paper Session M - Cybersecurity/Security Education
[ACM] 2026-1-2 | Anger Control by Expressing Excessive Anger of Virtual Robot
[ACM] 2026-1-2 | Influence of Gender-Stereotypical Identity on Anxiety and Rapport Expectations toward Robots
[ACM] 2026-1-2 | LLM-based Agentic Workflow on Verbal and Non-verbal Audiovisual Perceptions and Actions for Proactive Situated Human-Robot Interactions
[IEEE] 2026-1-2 | A Numerically Efficient and Accurate Model for Real-Time Simulation of Solid-State Transformer using Implicit-Explicit Integration Methods
[IEEE] 2026-1-2 | Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization_supp1-3645051.mp4
[ACM] 2026-1-2 | A Survey on Enhancing Autonomous Vehicle Safety through Fault Tree Analysis and SOTIF Integration
[ACM] 2026-1-2 | Session Summary Podcast: Session 26: Applications: Atomistic Modeling
[ACM] 2026-1-2 | Session Summary Podcast: Session 19: Architectures and Networks: Networking
[IEEE] 2026-1-2 | Digital Twin of Wireless Physical Layer in Advanced Manufacturing Environment
[IEEE] 2026-1-2 | UCO: Load-Aware Collaborative Computing Offloading Algorithm for UAV Swarms
[IEEE] 2026-1-2 | Technology Comparison for Medium-Voltage Switchgear: AIS vs. GIS
[IEEE] 2026-1-2 | Control-to-Output Power Mapping in Clamped-Type Active Magnetic Energy Harvesters
[IEEE] 2026-1-2 | Role of Energy Storage Systems in Modern Power Systems and Smart Grid: Technologies, Applications, and Simulation-Based Insights
[IEEE] 2026-1-2 | Evaluation of CNN-Based Models for Binary Classification of Power Line Insulators
[IEEE] 2026-1-2 | Ku-Band Compact Circular Polarized Patch Antenna for Cubesat Applications
[IEEE] 2026-1-2 | Resilient Operation of Two-Way Distribution Network in the Presence of Renewable Energy Resources Considering Demand Response Programs
[IEEE] 2026-1-2 | QM-OCL: Quantum Many-Shot Out-Of-Context Learning for Metamodeling Techno-Economic Stability in Microgrids and Smart Grids
[IEEE] 2026-1-2 | Strategic Mathematics for Sustainability: Integrating SDGs and AI in Digital Engineering Education
[ACM] 2026-1-2 | Research on Regional Resource Optimal Allocation Based on Improved Ant Colony Algorithm
[ACM] 2026-1-2 | Analysis of the Influencing Factors on the Financing Efficiency of High-Tech Listed Companies in Wuhan Based on the DEA Model
[ACM] 2026-1-2 | AI and Automation in the Future of Work
[ACM] 2026-1-2 | Smarter Waiting: Understanding and Enhancing Children's Queue Experience in Digital Chats with AI-Powered Storytelling
[ACM] 2026-1-2 | Teaming up with Agentic Swarms in Personalized Behavior Change Systems
[ACM] 2026-1-2 | Generative Models as Co-Creative Partners in Visual Humour
[ACM] 2026-1-2 | HAI Horizons: Showcasing Early-Career Research from Non-Native English Speakers
[ACM] 2026-1-2 | Creative Foraging Game with AI: How Humans and AI Explore and Exploit Together
[ACM] 2026-1-2 | Instilling (Dis-)Trust in AI Products: Recommendations for the Design of Data Security and Data Privacy Labels
[IEEE] 2026-1-2 | Current Optimization for Nonunity Power Factor and Unbalanced DC-Link Voltage in Three-Phase Vienna Rectifiers
[IEEE] 2026-1-2 | Single-stage Non-isolated High Conversion Ratio Step-down Converter for Voltage Regulation Modules
[ACM] 2026-1-2 | Session Summary Podcast: Proceedings of the 2025 Workshop on Decentralized Finance and Security
[IEEE] 2026-1-2 | Towards a Sustainable Industrial Metaverse: A Digital Twin Framework for Mining and Energy Infrastructure with AR/VR Interfaces
[IEEE] 2026-1-2 | Proactive FWA Assurance: An End-to-End Framework for Deterministic 5G Broadband Experience
[IEEE] 2026-1-2 | Enhancing IoT Network Security through Adaptive Curriculum Learning and XAI
[IEEE] 2026-1-2 | Self-Supervised Learning for Multi-Lead ECG Classification Reducing Annotation Burden and Improving Generalization
[IEEE] 2026-1-2 | Tuning of the Conventional Control Technique in High-Gain Converter
[IEEE] 2026-1-2 | Enhancing Automatic Grading of SQL Query Assignments Using Generative AI : A Case Study on SPJ Query Assignment
[IEEE] 2026-1-2 | Design of a UAV Rescue System for Mountainous Areas Integrating PEFT-Enhanced Voice Control and rPPG-Based Vital-Sign Detection
[IEEE] 2026-1-2 | Research on the Identification and Prediction of the Age of Strong-Flavor Baijiu Based on Characteristic
[IEEE] 2026-1-2 | Design of Insert Assembly Workstation in Injection Mold and Visual Algorithm
