[2026-05-28 12:21:30] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-27
正在获取论文...
[arXiv] 2026-05-27 | When Discourse Pressures Conflict: Information Structure in Vision-Language Model Outputs
[arXiv] 2026-05-27 | Category-Level 3D Correspondence in Camera Space via Morphable Object Priors
[arXiv] 2026-05-27 | Taming quantum interference: a route to high electrical conductance in carbon nanotube assemblies
[arXiv] 2026-05-27 | Zero-Field Thermal Hall Effect in Insulator
[arXiv] 2026-05-27 | Conformal Symmetry and Non-Singular Scalar field Collapse
[arXiv] 2026-05-27 | $k$-Regular Factorizations and Invariant Subspaces of Completely Non-Unitary Contractions
[arXiv] 2026-05-27 | Proprio: Latent Self-Scoring and Inference-Time Refinement for Physically Plausible Video Generation
[arXiv] 2026-05-27 | Why We Need Speech to Evaluate Speech Translation
[arXiv] 2026-05-27 | Why Meditation Wearables Fail: Reward Misspecification in Closed-Loop EEG and Biofeedback Systems
[arXiv] 2026-05-27 | Generalizing CDCL with Graph Backtracking
[arXiv] 2026-05-27 | Nonvolatile Charge-Domain Attention with HZO Ferroelectric Capacitors: A Simulation-Based Device-to-System Evaluation
[arXiv] 2026-05-27 | Plant, Persist, Trigger: Sleeper Attack on Large Language Model Agents
[arXiv] 2026-05-27 | Automated Heuristic Design for Network Operations
[arXiv] 2026-05-27 | Spatiotemporal Tracking in Cooperative ISAC Networks: A Stochastic Geometry Framework
[arXiv] 2026-05-27 | Dynamic Stabilisation of Boundary Control Systems
[arXiv] 2026-05-27 | MangaFlow: An End-to-End Agentic Framework for Controllable Story to Manga Generation
[arXiv] 2026-05-27 | FT-Pilot: Automated Fault-Tolerant RTL Rewriting via Vulnerability-Guided LLMs
[arXiv] 2026-05-27 | DebFilter: Eradicating Biases Stashed in Value
[arXiv] 2026-05-27 | QuITE: Query-Based Irregular Time Series Embedding
[arXiv] 2026-05-27 | Performance and Explainability Requirements of Evolutionary Algorithms in Real-World Physics-Informed Optimization
[arXiv] 2026-05-27 | Learning Logical Operations for Arbitrary Quantum Error Correction Codes
[arXiv] 2026-05-27 | Sign-Aware Gated Sparse Autoencoders: Modeling Anticorrelated Features with Bi-Jump-ReLU Activations
[arXiv] 2026-05-27 | Sensitivity Analysis of the Top-Quark Sector
[arXiv] 2026-05-27 | Deconstructing Spatial Complexity: Hierarchical Decomposition for LLM Spatial Reasoning
[arXiv] 2026-05-27 | Gradient Step Plug-and-Play Model for Dental Cone-Beam CT Reconstruction
[arXiv] 2026-05-27 | Analytical solution of the Langmuir model for moisture diffusion in cylindrical coordinates
[arXiv] 2026-05-27 | MIRAGE: Context-Aware Prompt Injection against Mobile GUI Agents via User-Generated Content
[arXiv] 2026-05-27 | Human-like in-group bias in instruction-tuned language model agents
[arXiv] 2026-05-27 | Benchmarking Inductive Biases for Multivariate Time-Series Anomaly Detection with a Robust Multi-View Channel-Graph Detector
[arXiv] 2026-05-27 | Absolute measurement of penetration depth of superconducting thin films using microwave stripline resonators
[arXiv] 2026-05-27 | Twisted homology jump loci, twisted Alexander polynomials, and $Σ$-invariants
[arXiv] 2026-05-27 | Universal Time Series Generation with Neural Controlled Differential Equations
[arXiv] 2026-05-27 | SC-1 Etching of Niobium and Titanium Nitride Thin Films
[arXiv] 2026-05-27 | ATLAS: All-round Testing of Long-context Abilities across Scales
[arXiv] 2026-05-27 | Almost Affine Vector Rank-Metric Codes
[arXiv] 2026-05-27 | Comparing telluric removal methods in their capability to recover injected exoplanet atmosphere signals with high resolution emission spectroscopy
[arXiv] 2026-05-27 | Identifying Direct Causal Effects in Latent Factor Models by Accounting for Unidentified Parents
[arXiv] 2026-05-27 | Characterising the role of final state interactions on neutrino energy estimation in the DUNE and Hyper-K era
[arXiv] 2026-05-27 | CP-violation or Nuclear Excitation: Reviewing the Role of Neutrino Interaction Model Uncertainties on Accelerator-Based Neutrino Oscillation Measurements
[arXiv] 2026-05-27 | Model Predictive Control for Constrained Linear Positive Systems on Graphs
[arXiv] 2026-05-27 | How to measure intra-physician variability in clinical decision-making?
[arXiv] 2026-05-27 | Perturbed Families of Symmetric Interval Exchange Maps
[arXiv] 2026-05-27 | A Fresh Look at Lamarckian Evolution and the Baldwin Effect
[arXiv] 2026-05-27 | Delayed Blow-up in 3D Fluids via Pseudo-transport Noise
[arXiv] 2026-05-27 | Models That Know How Evaluations Are Designed Score Safer
[arXiv] 2026-05-27 | I Hear, Therefore I Trust: A Socio-Technical Investigation of Humans as Synthetic Speech Detectors
[arXiv] 2026-05-27 | Out of Sight, Not Out of Mind: Unveiling Latent Attack in Latent-based Multi-Agent Systems
[arXiv] 2026-05-27 | A Demonstration of Quantum Circuit Implementation for Obstacle Flow Using Carleman-Linearized Lattice Boltzmann Method
[arXiv] 2026-05-27 | Integrated and Cross-Architecture Interpretation of LLM Reasoning
[arXiv] 2026-05-27 | Examining Agents' Bias Amplification versus Suppression in Multi-Agent Systems
[arXiv] 2026-05-27 | ICAN-Deploy: Identity-Stable Canary Deployment for Safety-Critical Embodied Agents
[arXiv] 2026-05-27 | Scalar absorption beyond geometric optics in Klein-Gordon-separable Johannsen black hole spacetimes
[arXiv] 2026-05-27 | Qwen-Image-Bench: From Generation to Creation in Text-to-Image Evaluation
[arXiv] 2026-05-27 | Two-disjoint-cycle-cover vertex pancyclicity of split-star networks
[arXiv] 2026-05-27 | Improvement of a Hardy-Littlewood inequality and applications to the boundedness of analytic paraproducts on mixed norm spaces
[arXiv] 2026-05-27 | SilentRetrieval: Hijacking Retrieval-Augmented Generation via Semantically-Preserving Adversarial Data Poisoning
[arXiv] 2026-05-27 | AgentGuard: An Attribute-Based Access Control Framework for Tool-Use LLM-Based Agent
[arXiv] 2026-05-27 | PromptEmbedder:: Efficient and Transferable Text Embedding via Dual-LLM Soft Prompting
[arXiv] 2026-05-27 | Hadwiger's Conjecture for $\{\text{co-claw}, \text{co-gem}\}$-free graphs and $\{\text{fork}, \text{antifork}\}$-free graphs
[arXiv] 2026-05-27 | Molecular Similarity and Water Diversity in Coeval Binary Disks: JWST/MIRI Observations of Sz 65 and Sz 66
[arXiv] 2026-05-27 | VCap: Hypergeometric Rewards for Weak-to-Strong Visual Captioning
[arXiv] 2026-05-27 | Tensor molecule $J/ψJ/ψ$: A candidate to the resonance $X(6200) $
[arXiv] 2026-05-27 | Automated Estimation of Impact Time, Impact Location, and Shuttlecock Speed in Badminton Smashes Using Event Cameras
[arXiv] 2026-05-27 | Patched-DeltaNet: Token-Level Event-Driven Memory for Linear-Time Anomaly Detection
[arXiv] 2026-05-27 | Deep Neural Network Training as Random Effects: An Optimization-Inference Duality
[arXiv] 2026-05-27 | Online Sketched Newton-Raphson
[arXiv] 2026-05-27 | Direction-selective intertwined charge, orbital, and lattice orders under uniaxial strain in hole-doped manganite: La0.75Ca0.25MnO3
[arXiv] 2026-05-27 | Continual Learning in Modern Hopfield Networks with an Application to Diffusion Models
[arXiv] 2026-05-27 | Discrete approximation of semi-Dirichlet forms with non-symmetric perturbations of resistance forms
[arXiv] 2026-05-27 | Simultaneous Contact Selection and Planning for Contact-Rich Manipulation with Cascaded Optimization
[arXiv] 2026-05-27 | Throughput-Optimized Networks at Scale
[arXiv] 2026-05-27 | Yaglom limits of continuous-state branching processes in Brownian random environment
[arXiv] 2026-05-27 | Machine learning enables experimental access to photon-by-photon arrival times in scintillation detectors
[arXiv] 2026-05-27 | Do Agents Think Deeper? A Mechanistic Investigation of Layer-Wise Dynamics in Sequential Planning
[arXiv] 2026-05-27 | Experimental Collapse in Virophysics: Protocol-Resolved Observation, Inference, and Plaque-Assay Blindness
[arXiv] 2026-05-27 | Structure-Guided Visual Perturbation Neutralization for LVLMs
[IEEE] 2026-5-27 | Scalable multiband-tunable laser enabled by heterogeneously-integrated InP gain regions on a single silicon photonic chip
[IEEE] 2026-5-27 | Computational Investigation of Magnetophoretic Separation of Blood-Cell-Inspired Particles in Serpentine Microchannels_supp1-3695600.mp4
[IEEE] 2026-5-27 | Africa and Tunisia [President’s Message]
[IEEE] 2026-5-27 | Surviving (and Thriving) as Organizational Newcomers: Technical Communicators and Proactive Socialization
[IEEE] 2026-5-27 | Distributed Optimal Control Using Interval-Excited Relative-Output Reinforcement Learning Algorithm
[IEEE] 2026-5-27 | Transient Modulation of the Nucleus Accumbens by Transcranial Temporal Interference Stimulation: An fMRI Study in Healthy Adults_supp1-3696618.docx
[IEEE] 2026-5-27 | MC-DiffNet: Mask-Constrained and Cycle-Consistent Diffusion Network for Unpaired Ultrasound Image Enhancement
[IEEE] 2026-5-27 | Robust Frequency Regulation in Hybrid Power Systems Under False Data Injection Attacks Using Adaptive Event-Triggered Virtual Inertia Control
[IEEE] 2026-5-27 | Optimizing Query-by-Example Spoken Term Detection with Audio-to-Token Sequence Clustering and Query-Guided Retrieval
[IEEE] 2026-5-27 | Advertisements
[IEEE] 2026-5-27 | Uncertainty-Aware Hierarchical MHE–EKF for Joint Estimation of Vehicle Lateral Velocity and Road Friction
[IEEE] 2026-5-27 | CFR-Net: A Coarse-to-Fine Concatenated Dual Decoder Based on Frequency-Space-Structure Fusion for Robust Remote Sensing Change Detection
[IEEE] 2026-5-27 | An Intention-Driven Lane Change Framework Considering Heterogeneous Dynamic Cooperation in Mixed-Traffic Environments
[IEEE] 2026-5-27 | Leveraging Feature Alignment in Grassmannian Manifold for Multi-output Regression Tasks
[IEEE] 2026-5-27 | Development of a Secure Hybrid Deep Learning Model for Honeypot Security and Monitoring System Using Quantum Dilated Convolutional–Fuzzy–Maxout Network
[IEEE] 2026-5-27 | Transmission Performance on Digital Communication Signals of Low-Frequency Electromagnetic Waves Under Dynamic Plasma Channel
[IEEE] 2026-5-27 | MO-Enstune++: Multi-Objective End-to-End Ensemble Optimization for Coastal Waste Risk Prediction
[IEEE] 2026-5-27 | Harnessing Explainable AI and Biomarker Insights for Robust Breast Cancer Detection
[IEEE] 2026-5-27 | MAIR: A Modular AI-Ready Framework for Scalable Incident Response and Autonomous Governance in Next-Decade Cybersecurity
[IEEE] 2026-5-27 | WIP: AI-Based Dynamic 5G Channel Optimization for TSN Over 5G Using MPNN-TD3
[IEEE] 2026-5-27 | GNSS-Independent and Obstacle Avoidance for UAVs Using a Compact 360° Scanning Head
[IEEE] 2026-5-27 | Energy-Economic-Environmental (3E) Analysis of Rooftop PV Systems for Tropical Universities
[IEEE] 2026-5-27 | Towards Single-Channel &amp; Single-Cycle EOG Based Multi-Directional Eye Tracking in Wearable System
[IEEE] 2026-5-27 | EEG-to-Image Synthesis Using Swin Transformer Enhanced with Conditional GANs
[IEEE] 2026-5-27 | Cloud-Native, AI-Augmented Fault Correlation and Root Cause Analysis for Multi-Vendor Networks
[IEEE] 2026-5-27 | A Retrieval-Augmented Framework for Executable Context-Aware Data Quality Assessment
[IEEE] 2026-5-27 | Visibility-Aware Language Aggregation for Open-Vocabulary Segmentation in 3D Gaussian Splatting
[IEEE] 2026-5-27 | Pixel-Accurate Epipolar Guided Matching
[IEEE] 2026-5-27 | Impact of Motion Strategies on the Net Energy Gain of Solar Energy System
[IEEE] 2026-5-27 | The Bearing of Planetary Roller Screw Based on Pitch Error and Roller Deviation Specificity Analysis
[IEEE] 2026-5-27 | Development of the Saponification System Using Recycled Oil Implementing Temperature and pH Fuzzy Control
[IEEE] 2026-5-27 | CaricatureGS: Exaggerating 3D Gaussian Splatting Faces with Gaussian Curvature
[IEEE] 2026-5-27 | 3D Scene Change Modeling With Consistent Multi-View Aggregation
[IEEE] 2026-5-27 | ConTiCoM-3D: A Continuous-Time Consistency Model for 3D Point Cloud Generation
[IEEE] 2026-5-27 | PI3DETR: Parametric Instance Detection of 3D Point Cloud Edges with a Geometry-Aware 3DETR
[IEEE] 2026-5-27 | Tessellation GS: Neural Mesh Gaussians for Robust Monocular Reconstruction of Dynamic Objects
[IEEE] 2026-5-27 | Polarization-Insensitive Silicon-on-Insulator Arrayed Waveguide Grating Router with Bidirectional I/O
[IEEE] 2026-5-27 | Multistatic Radar Joint Range-Velocity Anti-Deceptive Jamming Methods Based on Information Geometry
[IEEE] 2026-5-27 | A 3-bit Digitally-Reconfigurable Driving-Capability nW-Powered Three-Stage Fully-Synthesizable Inverter-Based OTA for Multi-Load/Applications
[IEEE] 2026-5-27 | Coherent Radar Networks: Terminology, Synchronization, and Applications
[IEEE] 2026-5-27 | Temperature-Based Hybrid Modeling for Heating Power Prediction and Fault Detection in Power Transformers
[IEEE] 2026-5-27 | Comprehensive Analysis and Noise Suppression of Real-World Mud Pulse Telemetry Using an Adaptive Signal Decomposition Method for Downhole Sensing
[IEEE] 2026-5-27 | Masthead
[IEEE] 2026-5-27 | ClustRecNet: A Novel End-to-End Deep Learning Framework for Clustering Algorithm Recommendation
[IEEE] 2026-5-27 | Enhancing Bangla Spam SMS Detection with BERT: A Deep Learning Perspective
[IEEE] 2026-5-27 | Noninvasive Assessment of Lung Fluid Accumulation Using Tetrapolar Impedance Measurement
[IEEE] 2026-5-27 | Fundamental-Frequency Switching Strategy for a Five-Level Cascaded H-Bridge Inverter Using Selective Harmonic Elimination
[IEEE] 2026-5-27 | Bengali Fake Shield: Developing an Efficient Transformer-based Fake News Detection System for Bengali Language
[IEEE] 2026-5-27 | Fabrication Defect Detection and Characterization of Semiconductor Devices from SEM Images Using Morphological Image Processing
[IEEE] 2026-5-27 | Optimized Digital Filtering of EEG Signals for ERP Preservation and Noise Suppression
[IEEE] 2026-5-27 | Blood Cancer Classification from Microscopic Images via ViTResNetEnsemble with XAI
[IEEE] 2026-5-27 | Intelligent Heat Stress Management: Economic Impacts and Policy Strategies for Informal Women Workers
[IEEE] 2026-5-27 | RXV: Interpretable RF-Stacked CNNs for Brain Tumor MRI Classification
[IEEE] 2026-5-27 | Voltage-Dependent Dark Current Modeling in Thin-Film Solar Cells: Effects of Surface Recombination and Device Parameters
[IEEE] 2026-5-27 | A Deep Learning and Explainable Ai Framework to Rank Solar Irradiance Zones in Southern Bangladesh
[IEEE] 2026-5-27 | Towards Real-Time Tea Leaf Disease Management: A Deep Learning Solution for Resource-Constrained Environments
[IEEE] 2026-5-27 | Integrating HTS Technology in Wind Energy Systems: A Case for Sustainable Power in Bangladesh
[IEEE] 2026-5-27 | Secrecy Analysis of Pinching-Antenna Systems
[IEEE] 2026-5-27 | Simulation-Based Modeling and Standing Stabilization of a Bird-Inspired Bipedal Robot with Multi-Joint Dynamics with Contact
[IEEE] 2026-5-27 | Are Pose Estimators Ready for the Open World? STAGE: A GenAI Toolkit for Auditing 3D Human Pose Estimators
[IEEE] 2026-5-27 | Learning High-Fidelity Garment Deformation via Skinning-Free Image Transfer
[IEEE] 2026-5-27 | PASTA: Controllable Part-Aware Shape Generation with Autoregressive Transformers
[IEEE] 2026-5-27 | Implicit Preference Learning for Adaptive Human-Robot Collaboration Using Task Graphs
[IEEE] 2026-5-27 | Corrections to “Semi-Classical Monte Carlo Simulation of Quantum Confinement Effects in Si Nanosheet and Fin FETs in Industry Standard Orientation”
[IEEE] 2026-5-27 | Knowledge-Driven Memetic Algorithm with Forgetting Mechanism for the Energy-Aware Flexible Job-Shop Scheduling Problem with Variable Machining Speeds
[IEEE] 2026-5-27 | CAOA - Completion-Assisted Object-CAD Alignment
[IEEE] 2026-5-27 | Multi-source Fusion Positioning Revisited by Drawing on Human Thinking Process
[IEEE] 2026-5-27 | Multi-Module Cooperative Triggering Strategy for Pulse Power Supply Based on Online Prediction
[IEEE] 2026-5-27 | Large-Scale and High-Sensitivity Quasi-Distributed Vibration Sensing Based on Time-Division Multiplexed Dual CFBGs
[IEEE] 2026-5-27 | Front Cover
[IEEE] 2026-5-27 | High-Isolation Free-Space Optical Circulator for High-Capacity Bidirectional Satellite Links
[IEEE] 2026-5-27 | 5GLoc: Graph-Based Learning for Robust 5G Indoor Localization under Dynamic Anchor Visibility
[IEEE] 2026-5-27 | DefectSynth: Few-Shot Defective Image Generation by Modeling Shape and Appearance
[IEEE] 2026-5-27 | Cinematic Memories: EEG-Based Decoding of Recall Using Naturalistic Stimuli
[IEEE] 2026-5-27 | Consumer Electronics in Healthcare and Medicine: a report from the EMBS Young Professional Roundtable
[IEEE] 2026-5-27 | Globally Consistent RGB-D SLAM with 2D Gaussian Splatting_supp1-3697159.mp4
[IEEE] 2026-5-27 | Dual-Band Rectifying Circuit With Quasi-Independent Frequency Tunability Using a Lumped-Element T-Section Network
[IEEE] 2026-5-27 | Rank-Based Ensemble Learning for Early Detection of Mental Health Disorders in Private University Students
[IEEE] 2026-5-27 | Hybrid Transfer Learning with Dual-Stage Metaheuristic Optimization: A Comparative Study on Regional Energy Forecasting
[IEEE] 2026-5-27 | Interpretable Plant Leaf Recognition: Calibration and Domain Shift Analysis With Occlusion Sensitivity and Grad-Cam
[IEEE] 2026-5-27 | A Data-Driven Approach to Sustainable Agriculture: Integrated IoT, Machine Learning, and Automation in Smart Greenhouses
[IEEE] 2026-5-27 | Exploring the Effectiveness of ViT_B16 for Early Breast Cancer Diagnosis in Mammogram Mastery
[IEEE] 2026-5-27 | Synthesis and Characterization of Ni-Doped $\text{SnO}_{2}$ Nanoparticles Prepared by Sol-Gel Method for Photocatalytic Treatment of Textile Wastewater
[IEEE] 2026-5-27 | Towards High-Performance Tandem Silicon Perovskite Photovoltaic Cell: OghmaNano Simulation
[IEEE] 2026-5-27 | SafeBirth AI: Tuned Explainable Ensembles for Maternal and Fetal Health Classification
[IEEE] 2026-5-27 | Automatic Stress Detection From Code-Mixed Tamil-English Social Media Posts Using Deep Learning Models
[IEEE] 2026-5-27 | An Analytical Framework for Integrating Artificial Intelligence Into Cybersecurity Decision-Making
[IEEE] 2026-5-27 | Design of an Iot-Based Smart Water Quality Monitoring System with Artificial Intelligence
[IEEE] 2026-5-27 | State of Charge Estimation for Electric Vehicle Batteries Using Temporal Convolutional Networks
[IEEE] 2026-5-27 | Modeling of a Vibration Isolation System for Precision Manufacturing
[IEEE] 2026-5-27 | Edge AI with on-Device Learning Capabilities for Precision Agriculture
[IEEE] 2026-5-27 | RGB-D and Wrist-Mounted IMU Sensor Integration for a Robust Human‒Robot Handover System in Surgical Environments
[IEEE] 2026-5-27 | Estimating Rotation in $\mathbb{S O}(3)$ by Torus on $\mathbb{S}^{3}$
[IEEE] 2026-5-27 | LaMP: Learning Robust Latent Motion Prior for Optimization-Based Human Motion Generation
[IEEE] 2026-5-27 | NeuSEditor: From Multi-View Images to Text-Guided Neural Surface Edits
[IEEE] 2026-5-27 | SCENIC: Scene-Aware Semantic Navigation with Instruction-Guided Control
[IEEE] 2026-5-27 | FASTMESH: Efficient Artistic Mesh Generation Via Component Decoupling
[IEEE] 2026-5-27 | Continuous-Wave THz Imaging of Moisture Distribution During Ceramic Drying
[IEEE] 2026-5-27 | Physics-Aware Semantic Graph Classifier for Remote Sensing Images
[IEEE] 2026-5-27 | A Root Prediction System for Single-Variable Equations with Existing Taylor Polynomials
共写入 200 条记录，保存到 papers/paper2026-05-27.json。
论文获取成功，文件路径: papers/paper2026-05-27.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | When Discourse Pressures Conflict: Information Structure in Vision-Language Model Outputs
[NO] 2/200 | Picid: A Modular Evaluation Infrastructure for Reproducible PHM Across Tasks and Domains
[NO] 3/200 | Decision-focused learning for optimal PV-Battery scheduling
[NO] 4/200 | An Enhanced Large Neighborhood Search Approach for the Capacitated Facility Location Problem with Incompatible Customers
[NO] 5/200 | Hybrid neural denoising for resource-efficient near- and sub-threshold radio triggering of extensive air showers
[NO] 6/200 | Transfer learning RGB models to hyperspectral images with trainable tensor decompositions
[NO] 7/200 | Learning the Error Patterns of Language Models
[NO] 8/200 | Insurance Pricing Optimization via Off-Policy Evaluation
[NO] 9/200 | Polarimetric Backscattering Setup for Quantitative Scattering Parameters Retrieval
[NO] 10/200 | Identifying Explicit Parsimonious Piece-wise Polynomial Relationships in Industrial time-series: Application to manipulator robots
[NO] 11/200 | EventShiftFlow: Towards Hardware-efficient FPGA-based Flow Estimation
[NO] 12/200 | HELEA: Hard-Negative Benchmark and LLM-based Reranking for Robust Entity Alignment
[NO] 13/200 | Compositional Generalization in Autoregressive Models via Logit Composition
[NO] 14/200 | Better Accuracies, Worse Reasoning: A Step-Level Audit of Medical Chain-of-Thought Distillation
[NO] 15/200 | Galois Theory for Subshifts of Finite Type and Representations of Automorphism Groups
[NO] 16/200 | Simultaneous approximation properties of a certain genuine hybrid type operator
[NO] 17/200 | ProRL: Effective Reinforcement Learning for Proactive Recommendation via Rectified Policy Gradient Estimation
[NO] 18/200 | Dual Variational Neural Network for the $p$-Laplace Problem
[NO] 19/200 | High Temperature Jahn-Teller Distortion and Short Range Order in CsCuCl$_3$
[NO] 20/200 | PrunePath: Towards Highly Structured Sparse Language Models
[NO] 21/200 | Universal zero-crosstalk photonic integration via slab-engineered mode hybridization
[NO] 22/200 | Brauer--Manin obstruction from failure of Kodaira vanishing in positive characteristic
[NO] 23/200 | Dark Matter Interpretation of the Super-Kamiokande Antineutrino Excess in $\mathrm{U}(1)_{L_μ-L_τ}$ model
[NO] 24/200 | Every9D-21M: Large-Scale Real-World 9D Canonicalization of Everyday Objects
[NO] 25/200 | $L_p$ Minkowski problem and Brunn-Minkowski inequality for dual quermassintegrals
[NO] 26/200 | Category-Level 3D Correspondence in Camera Space via Morphable Object Priors
[NO] 27/200 | Taming quantum interference: a route to high electrical conductance in carbon nanotube assemblies
[NO] 28/200 | Zero-Field Thermal Hall Effect in Insulator
[NO] 29/200 | Conformal Symmetry and Non-Singular Scalar field Collapse
[NO] 30/200 | $k$-Regular Factorizations and Invariant Subspaces of Completely Non-Unitary Contractions
[NO] 31/200 | Proprio: Latent Self-Scoring and Inference-Time Refinement for Physically Plausible Video Generation
[NO] 32/200 | Why We Need Speech to Evaluate Speech Translation
[NO] 33/200 | Why Meditation Wearables Fail: Reward Misspecification in Closed-Loop EEG and Biofeedback Systems
[NO] 34/200 | Generalizing CDCL with Graph Backtracking
[NO] 35/200 | Nonvolatile Charge-Domain Attention with HZO Ferroelectric Capacitors: A Simulation-Based Device-to-System Evaluation
[NO] 36/200 | Plant, Persist, Trigger: Sleeper Attack on Large Language Model Agents
[NO] 37/200 | Automated Heuristic Design for Network Operations
[YES] 38/200 | Spatiotemporal Tracking in Cooperative ISAC Networks: A Stochastic Geometry Framework
[NO] 39/200 | Dynamic Stabilisation of Boundary Control Systems
[NO] 40/200 | MangaFlow: An End-to-End Agentic Framework for Controllable Story to Manga Generation
[NO] 41/200 | FT-Pilot: Automated Fault-Tolerant RTL Rewriting via Vulnerability-Guided LLMs
[NO] 42/200 | DebFilter: Eradicating Biases Stashed in Value
[NO] 43/200 | QuITE: Query-Based Irregular Time Series Embedding
[NO] 44/200 | Performance and Explainability Requirements of Evolutionary Algorithms in Real-World Physics-Informed Optimization
[NO] 45/200 | Learning Logical Operations for Arbitrary Quantum Error Correction Codes
[NO] 46/200 | Sign-Aware Gated Sparse Autoencoders: Modeling Anticorrelated Features with Bi-Jump-ReLU Activations
[NO] 47/200 | Sensitivity Analysis of the Top-Quark Sector
[NO] 48/200 | Deconstructing Spatial Complexity: Hierarchical Decomposition for LLM Spatial Reasoning
[NO] 49/200 | Gradient Step Plug-and-Play Model for Dental Cone-Beam CT Reconstruction
[NO] 50/200 | Analytical solution of the Langmuir model for moisture diffusion in cylindrical coordinates
[NO] 51/200 | MIRAGE: Context-Aware Prompt Injection against Mobile GUI Agents via User-Generated Content
[NO] 52/200 | Human-like in-group bias in instruction-tuned language model agents
[NO] 53/200 | Benchmarking Inductive Biases for Multivariate Time-Series Anomaly Detection with a Robust Multi-View Channel-Graph Detector
[NO] 54/200 | Absolute measurement of penetration depth of superconducting thin films using microwave stripline resonators
[NO] 55/200 | Twisted homology jump loci, twisted Alexander polynomials, and $Σ$-invariants
[NO] 56/200 | Universal Time Series Generation with Neural Controlled Differential Equations
[NO] 57/200 | SC-1 Etching of Niobium and Titanium Nitride Thin Films
[NO] 58/200 | ATLAS: All-round Testing of Long-context Abilities across Scales
[NO] 59/200 | Almost Affine Vector Rank-Metric Codes
[NO] 60/200 | Comparing telluric removal methods in their capability to recover injected exoplanet atmosphere signals with high resolution emission spectroscopy
[NO] 61/200 | Identifying Direct Causal Effects in Latent Factor Models by Accounting for Unidentified Parents
[NO] 62/200 | Characterising the role of final state interactions on neutrino energy estimation in the DUNE and Hyper-K era
[NO] 63/200 | CP-violation or Nuclear Excitation: Reviewing the Role of Neutrino Interaction Model Uncertainties on Accelerator-Based Neutrino Oscillation Measurements
[NO] 64/200 | Model Predictive Control for Constrained Linear Positive Systems on Graphs
[NO] 65/200 | How to measure intra-physician variability in clinical decision-making?
[NO] 66/200 | Perturbed Families of Symmetric Interval Exchange Maps
[NO] 67/200 | A Fresh Look at Lamarckian Evolution and the Baldwin Effect
[NO] 68/200 | Delayed Blow-up in 3D Fluids via Pseudo-transport Noise
[NO] 69/200 | Models That Know How Evaluations Are Designed Score Safer
[NO] 70/200 | I Hear, Therefore I Trust: A Socio-Technical Investigation of Humans as Synthetic Speech Detectors
[NO] 71/200 | Out of Sight, Not Out of Mind: Unveiling Latent Attack in Latent-based Multi-Agent Systems
