[2026-05-23 10:23:37] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-22
正在获取论文...
[ACM] 2026-5-22 | Agent-Aided Design for Dynamic CAD Models
[IEEE] 2026-5-22 | Machine-Learning-Driven Operational Optimisation of Electrolyser-Based Hydrogen Production Using a Physics-Informed Digital Twin for UK Industrial Clusters
[IEEE] 2026-5-22 | Predicting Postpartum Depression Using Questionnaire -Based Data and Machine Learning
[IEEE] 2026-5-22 | Comparative Analysis of Zero-Shot Voice Cloning for Digital Sibling AI
[IEEE] 2026-5-22 | Intelligent Judicial Decision System Using Machine Learning Techniques
[IEEE] 2026-5-22 | A Soft Everting Pneumatic Deployment Cap for Secure Payload Delivery in Robotic Endoscopy
[IEEE] 2026-5-22 | AI-Driven Decision Support Systems (DSS) for Strategic IT Management
[IEEE] 2026-5-22 | Design and Development of a Multi-Extinguisher Autonomous Fire Fighting Robot
[IEEE] 2026-5-22 | An Enhanced Model of an Inter-Hospital Data Exchange Platform with Intelligent Referral Recommendations
[IEEE] 2026-5-22 | Transformer-Enhanced Constrained Reinforcement Learning for Load Frequency Control in High- Renewable Multi-Area Grids
[IEEE] 2026-5-22 | Machine Learning and AI-based Analysis of Economic and Environmental Factors on CO
                    <sub>2</sub>
                    Emissions: A Comparative Study of China, India, and the United Kingdom
[IEEE] 2026-5-22 | Predictive Analysis in Public Transport: A Cloud-Based Intelligent Driver Assistance and Maintenance Framework
[IEEE] 2026-5-22 | Adaptive and Multi-object Grasping via Deformable Origami Modules
[IEEE] 2026-5-22 | SenseLess: Minimal Vision, Maximum Insight for Smart Homes
[IEEE] 2026-5-22 | Historical Scenario Probability Modeling and SAO-DBSCAN-Based Scenario Reduction for Wind Power Systems
[IEEE] 2026-5-22 | RISs as Enablers for Adaptive and Modular Space Communication Architectures
[IEEE] 2026-5-22 | Proactive Vehicle Safety and Driver Assistance System
[IEEE] 2026-5-22 | Enhancing CNN Resilience: A Dual-Layer Defense Framework Integrating Neural-Cleanse and JPEG Compression
[IEEE] 2026-5-22 | Design of an Experimental Model for Transportation Process Analysis of People with Sensory Disabilities using Process Mining
[IEEE] 2026-5-22 | Explainable Multimodal AI System for Early Prediction of Kidney Failure Using Clinical and CT Imaging Data
[IEEE] 2026-5-22 | It's a Dirty Job: Defining and Mitigating Dust and Sand Hazards on the Dragonfly Mission to Titan
[IEEE] 2026-5-22 | Integration of AI into Islamic Finance and Its Impacts: A Literature-Driven Analysis- The Case of United Kingdom
[IEEE] 2026-5-22 | Explainable AI for Automated Emergency Triage of Brain CT Pathologies: A Multi-Level Classification Framework
[IEEE] 2026-5-22 | A Survey of Neuro-Symbolic AI: Integration Paradigms, Taxonomy, and Formal Specification
[IEEE] 2026-5-22 | Fed-CASQ: Enhancing Class-Wise Accuracy in Pervasive Federated Learning with Class-Aware Scaling and Quantization
[IEEE] 2026-5-22 | Storage Duration and Thermal Capacity Trade-offs in Carbon-Constrained Wind–PV–Thermal Systems
[IEEE] 2026-5-22 | Design and Analysis of PCB Winding Permanent Magnet Linear Motor
[IEEE] 2026-5-22 | Context-Dependent Value of Ccus: Roles of Economy-Wide Carbon Caps, Power-Sector Decarbonization, and End-Use Electrification
[IEEE] 2026-5-22 | X-MedVIT: Interpretable Vision Transformers for Clinically Reliable Medical Imaging
[IEEE] 2026-5-22 | Characterization of DC Partial Discharge in SF6 Using PMT and Photon Counting Method
[IEEE] 2026-5-22 | An Evaluation of Few-Shot Learning Strategies for Essential Oil Classification: Balancing Data Augmentation and Meta-Learning
[IEEE] 2026-5-22 | Explainable AI for Eye Tracking-Based Prediction: A Systematic Literature Review
[IEEE] 2026-5-22 | Maneuver Detection Based Adaptive Transition Probability Matrix for Improved IMM Estimate
[IEEE] 2026-5-22 | Closed-Loop Modeling and Simulation of Phase-Shift Full-Bridge Converter with Current Doubler Output
[IEEE] 2026-5-22 | IoT-Enabled Smart Surveillance with Raspberry Pi and CNN for Real-Time Missing Persons Identification
[IEEE] 2026-5-22 | Frequency-Constrained Unit Commitment Incorporating Wind Farm PFR Parameters and System Damping Dynamics
[IEEE] 2026-5-22 | International Experience and Insights on Energy Storage Price Formation Mechanisms
[IEEE] 2026-5-22 | Crowd Vision: A Real-Time Zone-Based Crowd Density Monitoring and Early Overcrowding Alert System Using YOLOv8
[IEEE] 2026-5-22 | Multi-Agent Research Synthesis Under Governed Communication: A Deontic-Agentic Approach to Epistemic Governance
[IEEE] 2026-5-22 | Robust PMSM Traction Control for Electric Vehicles: An Improved Reaching Law Based Non-Singular Fast Terminal Sliding Mode Approach
[IEEE] 2026-5-22 | IoT Basedintegrated Design for Aeroponic Plant Cultivation Using GRU Algorithm
[ACM] 2026-5-22 | AI-Assisted Moot Courts: Simulating Justice-Specific Questioning in Oral Arguments
[ACM] 2026-5-23 | OLTL: An Optimization Extension of Linear Temporal Logic
[ACM] 2026-5-22 | Generating Expressive and Customizable Evals for Timeseries Data Analysis Agents with AgentFuel
[ACM] 2026-5-22 | Power Allocation for SNR Optimization in OCDM-Based Underwater Acoustic Communications
[ACM] 2026-5-22 | A Multi-Agent Reinforcement Learning-Based Adaptive Scheduling MAC Protocol for AUV Formation
[ACM] 2026-5-22 | TTQMAC: A Q-Learning-Based Adaptive TDD-TDMA MAC Protocol for Large-Scale Underwater Acoustic Networks
[IEEE] 2026-5-22 | Comparative Analysis of Price Cap Mechanisms in U.S. Electricity Markets and Implications for China
[IEEE] 2026-5-22 | Distributed Area Coverage with High Altitude Balloons Using Multi-Agent Reinforcement Learning
[IEEE] 2026-5-22 | CSI-Tuples-Based 3-D Channel Fingerprints Construction Assisted by Multimodal Learning
[IEEE] 2026-5-22 | The Unpredictability of the Traffic Sources Model on Instagram Content Using Tree-Based Models Machine Learning Algorithms
[IEEE] 2026-5-22 | Fully Distributed DMPC–UKF Framework for Cyber-Resilient Control of Islanded AC Microgrids
[IEEE] 2026-5-22 | Enhanced Phishing Detection Using Gradient Boosting Classifier: A Machine Learning Approach
[IEEE] 2026-5-22 | Europa Clipper Cruise Phase: From Integration and Test to Early Operations
[IEEE] 2026-5-22 | Hierarchical Energy Flow Coordination for Dual-Motor All-Electric Helicopter Propulsion Under Dynamic Flight Conditions
[IEEE] 2026-5-22 | Dynamic Client Selector: A Double Deep Q-Learning Framework for Efficient Federated Learning
[IEEE] 2026-5-22 | MentalCare: Contrastive Disentanglement and Positive Transfer for Psychiatric Disorder Detection with a Wristband–Smartphone System
[IEEE] 2026-5-22 | Reconfigurable Compensation Topology for Efficient Wireless Energy Conversion in Electric Vehicle CCCV Charging with Zero Voltage Switching
[IEEE] 2026-5-22 | Visual SLAM with DEM Anchoring for Long-Range Lunar Surface Navigation
[IEEE] 2026-5-22 | Autismsense: Leveraging Cnns for Early Visual Diagnosis
[IEEE] 2026-5-22 | Maximizing van der Waals Contact in Gecko-Inspired Grippers for Complex Object Geometries via Compliant Backing
[IEEE] 2026-5-22 | Highlights of the IMAP Integration and Test Campaign
[IEEE] 2026-5-22 | Data-Centric Dataset Characterization for Tabular Learning Using Uniqueness Domains Knowledge Profiling
[IEEE] 2026-5-22 | Soft-Shell Crab-Inspired Inflatable Limbs Formed from a Continuous Tube
[IEEE] 2026-5-22 | A Hybrid CNN-CCT Based Road Surface Anomaly Detection System for Real-Time Pothole Identification: A Comparative Study with Deep Learning Models
[IEEE] 2026-5-22 | AI-Driven Quantum Entanglement Classification: A Novel Noise-Robust Approach
[IEEE] 2026-5-22 | Deep Reinforcement Learning Based Transient Voltage Stability Emergency Control
[IEEE] 2026-5-22 | Non-invasive Lithium Battery Diagnosis by Magnetic Field Sensing and Machine Learning Assisted Recognition
[IEEE] 2026-5-22 | Solar Powered LoRa Mesh IoT System for Real Time Forest Fire Prediction, Detection and Alerting System
[IEEE] 2026-5-22 | Smart Mirror with AI-Powered Facial and Body Language Recognition for Health Tips and Contextual Emotion Response
[IEEE] 2026-5-22 | Operationalizing IEC 62443 Through NIST SP 800 82 Revision 3: A Localized OT Security Framework for Indonesia's Energy Sector
[IEEE] 2026-5-22 | Dynamic Open-Loop Trajectory Tracking Control of a Soft Robot Using Servo-Constraints
[IEEE] 2026-5-22 | Artichoke-Inspired Gripper with Changeable Morphology for Adaptive and Delicate Handling
[IEEE] 2026-5-22 | Impact of Slow Data Poisoning Attacks on Smart Traffic Light Control Systems
[IEEE] 2026-5-22 | Guidance and Control Assessments of Psyche Mission's Monthly Operations Sequences
[IEEE] 2026-5-22 | Design of an IoT-Controlled Solar Powered Cold Storage Unit for Horticultural Product
[IEEE] 2026-5-22 | Expanding Venus Entry Accessibility through a Resonance Transfer
[IEEE] 2026-5-22 | iZEN: An Energy World Model Framework Bridging Planning and Operation in Industrial Microgrids
[IEEE] 2026-5-22 | Design and Critical Evaluation of a Postmodern-Aware Chatbot Using Retrieval-Augmented Generation and Discourse Metrics
[IEEE] 2026-5-22 | VigiGuard: An AI-Driven Real-Time Surveillance System for Retail Theft Prevention
[ACM] 2026-5-22 | Safeguarding Knowledge in Federated Transfer Learning with Direction-Aware DP
[ACM] 2026-5-22 | Protocols for Univariate Sumcheck
[ACM] 2026-5-22 | Proceedings of the ACM ASIA Public-Key Cryptography Workshop
共写入 100 条记录，保存到 papers/paper2026-05-22.json。
论文获取成功，文件路径: papers/paper2026-05-22.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Agent-Aided Design for Dynamic CAD Models
[NO] 2/100 | Scideator: Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation
[NO] 3/100 | ARA-MAC: An Adaptive Receiver Alignment MAC Protocol for Buoy-Based Ocean Monitoring Networks
[NO] 4/100 | Simpler is Better: Feature Guard and Interaction for Semantic Correspondence_supp1-3693144.mp4
[NO] 5/100 | Few-Sample GNSS Signal LOS/NLOS Identification via Physical-Semantic Distillation from Large Language Models
[NO] 6/100 | Preface: Conference Committees
[NO] 7/100 | Dependence of optical refractive index of seawater on temperature, salinity, pressure, and wavelength in near-infrared waveband for warm and shallow sea_supp6-3693439.mp4
[NO] 8/100 | A Thyristor-Switched Pulsed Power System With 78-ns Jitter for a Coaxial Plasma Gun
[NO] 9/100 | Tackling Expressive Feature-Modeling Constructs with Pseudo-Boolean d-DNNF Compilation
[NO] 10/100 | Table of Contents
[NO] 11/100 | Optimal Output Synchronization of Heterogeneous MASs: A Computationally Efficient Data-Driven Learning Approach
[NO] 12/100 | Event-Triggered Control for T-S Fuzzy of Multi-Area LFC Power Systems under Energy-Limited DoS Attacks
[NO] 13/100 | A Vertically Stacked Dual-Junction SPAD for Wide Spectral Response
[NO] 14/100 | Innovative Monitoring System Open Source Based: A Case Study of a Microgrid Lab with Digital Twin, PV and BESS Integration
[NO] 15/100 | Switch-Multiplexed Quasi-Two-Stage Boost-DAB Converter Realizing Zero-Voltage Switching Across the Full Power Range
[NO] 16/100 | Analysis of DCE Iterations Using ResNetDCE for Low-Light Enhancement
[NO] 17/100 | MBSE in Space Mission Concept Development
[NO] 18/100 | Scope-3 Intelligence: A Business Intelligence System for Carbon Accounting and Sustainable Supply Chains
[NO] 19/100 | Machine-Learning-Driven Operational Optimisation of Electrolyser-Based Hydrogen Production Using a Physics-Informed Digital Twin for UK Industrial Clusters
[NO] 20/100 | Predicting Postpartum Depression Using Questionnaire -Based Data and Machine Learning
[NO] 21/100 | Comparative Analysis of Zero-Shot Voice Cloning for Digital Sibling AI
[NO] 22/100 | Intelligent Judicial Decision System Using Machine Learning Techniques
[NO] 23/100 | A Soft Everting Pneumatic Deployment Cap for Secure Payload Delivery in Robotic Endoscopy
[NO] 24/100 | AI-Driven Decision Support Systems (DSS) for Strategic IT Management
[NO] 25/100 | Design and Development of a Multi-Extinguisher Autonomous Fire Fighting Robot
[NO] 26/100 | An Enhanced Model of an Inter-Hospital Data Exchange Platform with Intelligent Referral Recommendations
[NO] 27/100 | Transformer-Enhanced Constrained Reinforcement Learning for Load Frequency Control in High- Renewable Multi-Area Grids
[NO] 28/100 | Machine Learning and AI-based Analysis of Economic and Environmental Factors on CO
                    <sub>2</sub>
                    Emissions: A Comparative Study of China, India, and the United Kingdom
[NO] 29/100 | Predictive Analysis in Public Transport: A Cloud-Based Intelligent Driver Assistance and Maintenance Framework
[NO] 30/100 | Adaptive and Multi-object Grasping via Deformable Origami Modules
[NO] 31/100 | SenseLess: Minimal Vision, Maximum Insight for Smart Homes
[NO] 32/100 | Historical Scenario Probability Modeling and SAO-DBSCAN-Based Scenario Reduction for Wind Power Systems
[YES] 33/100 | RISs as Enablers for Adaptive and Modular Space Communication Architectures
[NO] 34/100 | Proactive Vehicle Safety and Driver Assistance System
[NO] 35/100 | Enhancing CNN Resilience: A Dual-Layer Defense Framework Integrating Neural-Cleanse and JPEG Compression
[NO] 36/100 | Design of an Experimental Model for Transportation Process Analysis of People with Sensory Disabilities using Process Mining
[NO] 37/100 | Explainable Multimodal AI System for Early Prediction of Kidney Failure Using Clinical and CT Imaging Data
[NO] 38/100 | It's a Dirty Job: Defining and Mitigating Dust and Sand Hazards on the Dragonfly Mission to Titan
[NO] 39/100 | Integration of AI into Islamic Finance and Its Impacts: A Literature-Driven Analysis- The Case of United Kingdom
[NO] 40/100 | Explainable AI for Automated Emergency Triage of Brain CT Pathologies: A Multi-Level Classification Framework
[NO] 41/100 | A Survey of Neuro-Symbolic AI: Integration Paradigms, Taxonomy, and Formal Specification
[NO] 42/100 | Fed-CASQ: Enhancing Class-Wise Accuracy in Pervasive Federated Learning with Class-Aware Scaling and Quantization
[NO] 43/100 | Storage Duration and Thermal Capacity Trade-offs in Carbon-Constrained Wind–PV–Thermal Systems
[NO] 44/100 | Design and Analysis of PCB Winding Permanent Magnet Linear Motor
[NO] 45/100 | Context-Dependent Value of Ccus: Roles of Economy-Wide Carbon Caps, Power-Sector Decarbonization, and End-Use Electrification
[NO] 46/100 | X-MedVIT: Interpretable Vision Transformers for Clinically Reliable Medical Imaging
[NO] 47/100 | Characterization of DC Partial Discharge in SF6 Using PMT and Photon Counting Method
[NO] 48/100 | An Evaluation of Few-Shot Learning Strategies for Essential Oil Classification: Balancing Data Augmentation and Meta-Learning
[NO] 49/100 | Explainable AI for Eye Tracking-Based Prediction: A Systematic Literature Review
[NO] 50/100 | Maneuver Detection Based Adaptive Transition Probability Matrix for Improved IMM Estimate
[NO] 51/100 | Closed-Loop Modeling and Simulation of Phase-Shift Full-Bridge Converter with Current Doubler Output
[NO] 52/100 | IoT-Enabled Smart Surveillance with Raspberry Pi and CNN for Real-Time Missing Persons Identification
[NO] 53/100 | Frequency-Constrained Unit Commitment Incorporating Wind Farm PFR Parameters and System Damping Dynamics
[NO] 54/100 | International Experience and Insights on Energy Storage Price Formation Mechanisms
[NO] 55/100 | Crowd Vision: A Real-Time Zone-Based Crowd Density Monitoring and Early Overcrowding Alert System Using YOLOv8
[NO] 56/100 | Multi-Agent Research Synthesis Under Governed Communication: A Deontic-Agentic Approach to Epistemic Governance
[NO] 57/100 | Robust PMSM Traction Control for Electric Vehicles: An Improved Reaching Law Based Non-Singular Fast Terminal Sliding Mode Approach
[NO] 58/100 | IoT Basedintegrated Design for Aeroponic Plant Cultivation Using GRU Algorithm
[NO] 59/100 | AI-Assisted Moot Courts: Simulating Justice-Specific Questioning in Oral Arguments
[NO] 60/100 | OLTL: An Optimization Extension of Linear Temporal Logic
[NO] 61/100 | Generating Expressive and Customizable Evals for Timeseries Data Analysis Agents with AgentFuel
[NO] 62/100 | Power Allocation for SNR Optimization in OCDM-Based Underwater Acoustic Communications
[NO] 63/100 | A Multi-Agent Reinforcement Learning-Based Adaptive Scheduling MAC Protocol for AUV Formation
[NO] 64/100 | TTQMAC: A Q-Learning-Based Adaptive TDD-TDMA MAC Protocol for Large-Scale Underwater Acoustic Networks
[NO] 65/100 | Comparative Analysis of Price Cap Mechanisms in U.S. Electricity Markets and Implications for China
[NO] 66/100 | Distributed Area Coverage with High Altitude Balloons Using Multi-Agent Reinforcement Learning
[YES] 67/100 | CSI-Tuples-Based 3-D Channel Fingerprints Construction Assisted by Multimodal Learning
[NO] 68/100 | The Unpredictability of the Traffic Sources Model on Instagram Content Using Tree-Based Models Machine Learning Algorithms
[NO] 69/100 | Fully Distributed DMPC–UKF Framework for Cyber-Resilient Control of Islanded AC Microgrids
[NO] 70/100 | Enhanced Phishing Detection Using Gradient Boosting Classifier: A Machine Learning Approach
[NO] 71/100 | Europa Clipper Cruise Phase: From Integration and Test to Early Operations
[NO] 72/100 | Hierarchical Energy Flow Coordination for Dual-Motor All-Electric Helicopter Propulsion Under Dynamic Flight Conditions
[NO] 73/100 | Dynamic Client Selector: A Double Deep Q-Learning Framework for Efficient Federated Learning
[NO] 74/100 | MentalCare: Contrastive Disentanglement and Positive Transfer for Psychiatric Disorder Detection with a Wristband–Smartphone System
[NO] 75/100 | Reconfigurable Compensation Topology for Efficient Wireless Energy Conversion in Electric Vehicle CCCV Charging with Zero Voltage Switching
[NO] 76/100 | Visual SLAM with DEM Anchoring for Long-Range Lunar Surface Navigation
[NO] 77/100 | Autismsense: Leveraging Cnns for Early Visual Diagnosis
[NO] 78/100 | Maximizing van der Waals Contact in Gecko-Inspired Grippers for Complex Object Geometries via Compliant Backing
[NO] 79/100 | Highlights of the IMAP Integration and Test Campaign
[NO] 80/100 | Data-Centric Dataset Characterization for Tabular Learning Using Uniqueness Domains Knowledge Profiling
[NO] 81/100 | Soft-Shell Crab-Inspired Inflatable Limbs Formed from a Continuous Tube
[NO] 82/100 | A Hybrid CNN-CCT Based Road Surface Anomaly Detection System for Real-Time Pothole Identification: A Comparative Study with Deep Learning Models
[NO] 83/100 | AI-Driven Quantum Entanglement Classification: A Novel Noise-Robust Approach
[NO] 84/100 | Deep Reinforcement Learning Based Transient Voltage Stability Emergency Control
[NO] 85/100 | Non-invasive Lithium Battery Diagnosis by Magnetic Field Sensing and Machine Learning Assisted Recognition
[NO] 86/100 | Solar Powered LoRa Mesh IoT System for Real Time Forest Fire Prediction, Detection and Alerting System
[NO] 87/100 | Smart Mirror with AI-Powered Facial and Body Language Recognition for Health Tips and Contextual Emotion Response
[NO] 88/100 | Operationalizing IEC 62443 Through NIST SP 800 82 Revision 3: A Localized OT Security Framework for Indonesia's Energy Sector
[NO] 89/100 | Dynamic Open-Loop Trajectory Tracking Control of a Soft Robot Using Servo-Constraints
[NO] 90/100 | Artichoke-Inspired Gripper with Changeable Morphology for Adaptive and Delicate Handling
[NO] 91/100 | Impact of Slow Data Poisoning Attacks on Smart Traffic Light Control Systems
[NO] 92/100 | Guidance and Control Assessments of Psyche Mission's Monthly Operations Sequences
[NO] 93/100 | Design of an IoT-Controlled Solar Powered Cold Storage Unit for Horticultural Product
[NO] 94/100 | Expanding Venus Entry Accessibility through a Resonance Transfer
[NO] 95/100 | iZEN: An Energy World Model Framework Bridging Planning and Operation in Industrial Microgrids
[NO] 96/100 | Design and Critical Evaluation of a Postmodern-Aware Chatbot Using Retrieval-Augmented Generation and Discourse Metrics
[NO] 97/100 | VigiGuard: An AI-Driven Real-Time Surveillance System for Retail Theft Prevention
[NO] 98/100 | Safeguarding Knowledge in Federated Transfer Learning with Direction-Aware DP
[NO] 99/100 | Protocols for Univariate Sumcheck
[NO] 100/100 | Proceedings of the ACM ASIA Public-Key Cryptography Workshop
筛选完成：共 100 篇；Yes = 2 篇；已保存到 papers/select_paper2026-05-22.json。
邮件发送成功！
[2026-05-23 10:39:28] 任务执行成功！
