[2026-03-20 09:35:03] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-19
正在获取论文...
[arXiv] 2026-03-19 | Chain recurrent shifts on trees
[arXiv] 2026-03-19 | To See or To Please: Uncovering Visual Sycophancy and Split Beliefs in VLMs
[arXiv] 2026-03-19 | Alice and Bob through a quantum mirror
[arXiv] 2026-03-19 | Matryoshka Gaussian Splatting
[arXiv] 2026-03-19 | Cubic Discrete Diffusion: Discrete Visual Generation on High-Dimensional Representation Tokens
[arXiv] 2026-03-19 | EffectErase: Joint Video Object Removal and Insertion for High-Quality Effect Erasing
[arXiv] 2026-03-19 | Spectrally-Guided Diffusion Noise Schedules
[arXiv] 2026-03-19 | DriveTok: 3D Driving Scene Tokenization for Unified Multi-View Reconstruction and Understanding
[arXiv] 2026-03-19 | OmniVTA: Visuo-Tactile World Modeling for Contact-Rich Robotic Manipulation
[arXiv] 2026-03-19 | OS-Themis: A Scalable Critic Framework for Generalist GUI Rewards
[arXiv] 2026-03-19 | Interface magnetic coupling and magnetization dynamic of La$_{2/3}$Sr$_{1/3}$MnO$_3$ single layer and (La$_{2/3}$Sr$_{1/3}$MnO$_3$/SrRuO$_3$)$_n$ (n = 1, 5) superlattice on SrTiO$_3$(001) substrate
[arXiv] 2026-03-19 | Rigorous Error Certification for Neural PDE Solvers: From Empirical Residuals to Solution Guarantees
[ACM] 2026-3-19 | Simulation and Regulation Method of Water Resource Trading Behavior in Ecosystems Using Evolutionary Game Algorithm
[IEEE] 2026-3-19 | VR-GD Virtual Reality Gestures Dataset With Leap Motion Controller
[IEEE] 2026-3-19 | Exploration of Algorithm-Hardware Co-Design for Floating-Point Digital Compute-In-Memory
[IEEE] 2026-3-19 | A Strategy-Proof Mechanism for Fair Allocation of Multiple Resources with Access Constraints in Mobile Edge Computing
[IEEE] 2026-3-19 | A Programmable Nanosecond High-Voltage Pulse Generator Based on MOSFET Transistors
[IEEE] 2026-3-19 | Code-switching Speech Recognition Under the Lens: Model- and Data-Centric Perspectives
[IEEE] 2026-3-19 | A Cymbal Transducer as a Single Element Device for Enhanced Cavitation Generation_supp3-3675507.mp4
[IEEE] 2026-3-19 | Advancing Automation of Geographically Distributed Power Hardware-in-the-Loop Experiments to Enhance Research Infrastructure Capabilities
[IEEE] 2026-3-19 | An Isometry Metric for Waveform Assessment in the Presence of Correlated Interference
[IEEE] 2026-3-19 | Multi-bandwidth Coupling Performance Enhancement using Si
                    <sub>3</sub>
                    N
                    <sub>4</sub>
                    -on-SOI Grating Coupler Platform
[IEEE] 2026-3-19 | IEEE Women in Engineering
[IEEE] 2026-3-19 | Explainable Retail Demand Forecasting: A Hybrid LightGBM-SHAP Framework for Inventory Optimization
[IEEE] 2026-3-19 | Hierarchical Multimodal Motion Control of Magnetic Pivot-Walking Millirobotic-Grippers for Autonomous Target Acquisition in Complex Terrains_supp10-3675526.pdf
[IEEE] 2026-3-19 | Research on an Automatic Detection Device for Impurities in Transformer Oil
[IEEE] 2026-3-19 | Control Strategy and Hardware-in-the-Loop Simulation Testing of Grid-Forming Static Var Generator
[IEEE] 2026-3-19 | Message from the General Chairs EUC 2025
[IEEE] 2026-3-19 | Smart Learning in Action: Designing and Operationalizing the Digital Student Journey with ESC-tension 2
[IEEE] 2026-3-19 | Preface
[IEEE] 2026-3-19 | Author Index
[IEEE] 2026-3-19 | HRVFusion: Video-based Long-Term Heart Rate Variability Measurement with Conditional Diffusion Models
[IEEE] 2026-3-19 | GLMamba: A Global–Local Mamba Network for Efficient Remote Sensing Change Detection
[IEEE] 2026-3-19 | Complex-Valued Transformer with Improved Positional Embedding for MIMO-OFDM Channel Denoising
[IEEE] 2026-3-19 | Throughput-Cost Dual-Objective Optimization for Multi-UAV Assisted WiFi Networks
[IEEE] 2026-3-19 | One Model to Catch Them All: Autoencoder-Based Anomaly Detection in Next-Generation Networks
[IEEE] 2026-3-19 | Research on Short-Term Load Forecasting in Power Systems Employing Neural Networks Improved by Normalization Modules
[IEEE] 2026-3-19 | On the Robust Position Control of Variable Stiffness Series Elastic Actuators
[IEEE] 2026-3-19 | Quantum Computing: Anticipated Developments and Applied Prospects
[IEEE] 2026-3-19 | AQUILA: A Flexible Architecture Guideline for Building Custom Distributed Systems Testbeds
[IEEE] 2026-3-19 | Research on Lithium Battery Soh Estimation Based on Icoa-Lstm*
[IEEE] 2026-3-19 | Realistic Performance Evaluation of NR-V2X in Urban Scenario Using Ray Tracing and ns-3
[IEEE] 2026-3-19 | Device-Server Collaborative Speculative Decoding for Real-Time LLM Streaming
[IEEE] 2026-3-19 | Effect of Interlayer Contamination on the Electric Field Characteristics of Recoated Anti-Pollution Flashover Coatings
[IEEE] 2026-3-19 | Prompt-guided Semantic Communication for Image Transmission with Dynamic Compression
[IEEE] 2026-3-19 | A Comparative Analysis Using ANN and SVM to Understand Consumer Behavior in Digital Marketing
[IEEE] 2026-3-19 | Adaptive Federated Learning with Lyapunov Optimization for Robust Radio Link Failure Detection in 5G Networks
[IEEE] 2026-3-19 | Collaborative Inference in the Extreme Edge: A Proactive Task Allocation Scheme
[IEEE] 2026-3-19 | Automatic State Machine Inference for Binary Protocol Reverse Engineering
[IEEE] 2026-3-19 | Transmit Power Minimization in Stacked Intelligent Metasurface-Aided Multi-User Systems
[IEEE] 2026-3-19 | Implementing an Intelligent Hybrid Wired/Wireless SDN Switch with Machine Learning
[IEEE] 2026-3-19 | Sponge Attacks on Sensing AI: Energy-Latency Vulnerabilities and Defense via Model Pruning
[IEEE] 2026-3-19 | A Truth Discovery Method for Mobile Crowd Sensing in Mines Based on a Hybrid Bi-LSTM/GRU Network
[IEEE] 2026-3-19 | Enhancing Unlabeled Signal Representation: A Diffusion-Feature-Based Semi-Supervised Framework for AMR
[IEEE] 2026-3-19 | Encoding of Entanglement-assisted Quantum Codes with Fault-tolerant Syndrome Measurements
[IEEE] 2026-3-19 | Leveraging Bi-Directional Channel Reciprocity for Robust Ultra-Low-Rate Implicit CSI Feedback with Deep Learning
[IEEE] 2026-3-19 | Timing advance and Doppler shift estimation in LEO satellite networks: A recursive Bayesian study
[IEEE] 2026-3-19 | Collaborative Evaluation and Improvement Method for the Operational Resilience of Distribution Networks by Integrating Data-Driven and Physical Models
[IEEE] 2026-3-19 | Efficient Precoding for LEO Satellites: A Low-Complexity Matrix Inversion Method via Woodbury Matrix Identity and arSVD
[IEEE] 2026-3-19 | AI-Enhanced Web Crawler for Real-Time Discovery of Emerging Trends in Sustainable Finance
[IEEE] 2026-3-19 | TAMIS: Trust-Driven Federated Learning via Monetary Incentives for Social Event Analysis
[IEEE] 2026-3-19 | Human Activity Recognition Using Infrared Array Sensors: A Multi-Modal Approach
[IEEE] 2026-3-19 | On the Analytical Error Performance of LoRa-Based LEO Satellite IoT
[IEEE] 2026-3-19 | Evaluation of Reactive Power Equipment Voltage Support Capability Based on Gray Clustering
[IEEE] 2026-3-19 | HLAST: Hierarchical Label-Aware Summarisation Transformer for Enhanced Cybersecurity Log Analysis
[IEEE] 2026-3-19 | Steady-State Aware Hierarchical DRL Framework for Dynamic Task Offloading in Vehicular Edge Computing
[IEEE] 2026-3-19 | Symmetric Private Information Retrieval (SPIR) on Graph-Based Replicated Systems
[IEEE] 2026-3-19 | A Rate Analysis on Channels With Unreliable Entanglement Assistance
[IEEE] 2026-3-19 | Glaucoma Detection Using Gray-Level Co-Occurrence Matrix and Extreme Learning Machine
[IEEE] 2026-3-19 | Reactive to Agentic:Next Gen AI Agent Transition Framework
[IEEE] 2026-3-19 | Textual Symptom Understanding Using ZSL and FSL for Clinical Predictions
[IEEE] 2026-3-19 | Deadline-Aware Data Collection for Satellite IoT Networks
[IEEE] 2026-3-19 | Optimizing Training of Policies on Hierarchical Multi-fidelity Environments
[IEEE] 2026-3-19 | Quantum Network Simulators Integration with Open-Source 5G Mobile Stack
[IEEE] 2026-3-19 | Intelligent Multi-link EDCA Optimization for Delay-Bounded QoS in Wi-Fi 7
[IEEE] 2026-3-19 | Physical Layer Security of THz Orbital Angular Momentum MIMO Systems with a Successive Interference Cancellation Eavesdropper
[IEEE] 2026-3-19 | Optimal Operation of Wind Power Integrated Systems Considering Demand Response
[IEEE] 2026-3-19 | Spatiotemporal Differential Privacy-Preserving Data Imputation
[ACM] 2026-3-19 | Hierarchical Text Classification with LLMs via BERT-Based Semantic Modeling and Consistency Regularization
[IEEE] 2026-3-19 | Table of Contents
[IEEE] 2026-3-19 | Path Planning and Obstacle Avoidance Optimization for a Spraying Robot Based on an Improved Artificial Potential Field Algorithm
[IEEE] 2026-3-19 | Research on Linear-Switch Hybrid Power Hardware-in-the-Loop Simulation Technology
[IEEE] 2026-3-19 | Improved Pied Kingfisher Optimization for Wireless Power Transfer Parameter Tuning
[IEEE] 2026-3-19 | Model Context Protocol-based Internet of Experts For Wireless Environment-aware LLM Agents
[ACM] 2026-3-19 | Research on Assessment and Application of Reasonable Capacity for Tobacco Retail Licensing
[ACM] 2026-3-19 | The impact of supply chain uncertainty on dual innovation within manufacturing enterprises: An empirical analysis based on computational modeling and text mining
[IEEE] 2026-3-19 | TinyFLChain: Blockchain-Secured Decentralized Federated Learning for TinyML Systems
[IEEE] 2026-3-19 | Communication-Efficient Multi-Agent Collaborative Perception via Spatio-Temporal Heterogeneity
[IEEE] 2026-3-19 | Observer-Based Robust
                    <i>H</i>
                    <sub>∞</sub>
                    Fault-Tolerant Control for T-S Fuzzy Fractional-Order Systems With Multiple Faults and Disturbances
[IEEE] 2026-3-19 | An E-Band Blocker-Tolerant Receiver in 0.18-μm SiGe BiCMOS
[IEEE] 2026-3-19 | A Numerical Synthesis Method of Isolation Characterized Three-Port Filtering Power Divider Network and Its Application
[IEEE] 2026-3-19 | SR-VIO: Leveraging Structural Regularity for Robust Initialization and Accurate Visual-Inertial Odometry_supp1-3669015.pdf
[IEEE] 2026-3-19 | IntactEdge: Secure Multi-Replica Data Integrity Verification in Mobile Edge Computing
[IEEE] 2026-3-19 | Method for detecting discontinuities in aluminum castings based on a Self-Excited Acoustic System and deep learning techniques
[IEEE] 2026-3-19 | MCIB: Multi-modal Complementary Information Bottleneck for Hyperspectral and LiDAR Classification
[IEEE] 2026-3-19 | A Joint UAV Deployment and Beamforming Design for ISAC-Enabled Multi-UAV Network
[IEEE] 2026-3-19 | Disturbance Observer-Based Control in the Synchronous Reference Frame for Grid-Connected Inverters in the Presence of Grid-Voltage Harmonics
[IEEE] 2026-3-19 | Deep Source Separation with Prior
[IEEE] 2026-3-19 | AI-driven State Feedback Power Control Design of Boost Converters for Renewable Energy Applications Using a HIL Implementation
[IEEE] 2026-3-19 | Next-Gen Smart Win-Curtain: A Real-Time IoT &amp;#x0026; Fuzzy Based Implementation for Future Homes_supp1-3674134.pdf
[IEEE] 2026-3-19 | Filling in the Gap of Eliminating CMV Spikes Under Low Modulation Indices in the SVM Three-Phase Inverters
[IEEE] 2026-3-19 | Mitigating NDR for Improved RF Performance in
                    <b>$\mathrm{MoS_{2}}$</b>
                    Ferroelectric Tunnel FET
[IEEE] 2026-3-19 | Sample-Efficient Learning of a Robotic Tube Insertion Policy
[IEEE] 2026-3-19 | Effects of Belt Accelerations During Push-Off on Propulsion Mechanics in Individuals Post-Stroke_supp1-3675477.pdf
[IEEE] 2026-3-19 | Table of Contents
[IEEE] 2026-3-19 | A Data Center Wireless-Optical Interconnect Architecture Based on Cascaded Meta-Surfaces
[IEEE] 2026-3-19 | Development of Worm gear-based Series Elastic Actuator for Torque-efficient Vibration Isolation
[IEEE] 2026-3-19 | Evaluating the Impact of Remote Work Benefits on Employee Performance and Retention in IT Companies
[IEEE] 2026-3-19 | The Price of Privacy: Quantifying the Impact on Localization Accuracy in Underwater Secure Localization
[IEEE] 2026-3-19 | Privacy Assessment of Text-to-Image Models via Enhanced Membership Inference Attack
[IEEE] 2026-3-19 | Base Station Placement Optimization for Networked Sensing Exploiting Target Location Distribution
[IEEE] 2026-3-19 | Design of a 300W Phase-Shifted Full-Bridge Secondary Power Supply Module for Aerospace Satellite Applications
共写入 200 条记录，保存到 papers/paper2026-03-19.json。
论文获取成功，文件路径: papers/paper2026-03-19.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Chain recurrent shifts on trees
[NO] 2/200 | Two-body strong decays of the pseudoscalar hidden-charm tetraquark states via the QCD sum rules
[NO] 3/200 | A divided difference identity for a class of multiple integrals
[NO] 4/200 | RadioDiff-FS: Physics-Informed Manifold Alignment in Few-Shot Diffusion Models for High-Fidelity Radio Map Construction
[NO] 5/200 | Pore-scale modeling of capillary-driven binder migration during battery electrode drying
[NO] 6/200 | Confidential Databases Without Cryptographic Mappings
[NO] 7/200 | Tursio Database Search: How far are we from ChatGPT?
[NO] 8/200 | Mahler's method and Carlitz logarithm
[NO] 9/200 | Phonon-modulated Kerr nonlinearity in ultrathin 2H-MoTe2
[NO] 10/200 | Certifying ergotropy under partial information
[NO] 11/200 | Measure preserving maps with bounded total variation
[NO] 12/200 | ProRL Agent: Rollout-as-a-Service for RL Training of Multi-Turn LLM Agents
[NO] 13/200 | Interplay between evolutionary and epidemic time scales challenges the outcome of control policies
[NO] 14/200 | VesselTok: Tokenizing Vessel-like 3D Biomedical Graph Representations for Reconstruction and Generation
[NO] 15/200 | Evolution of the early-type fraction in massive galaxies at $z<2$: how did early-type morphology form?
[NO] 16/200 | Angularly-Resolved 3D Foliage Modeling and Measurements at 60 and 80 GHz: From Stochastic Geometry to Deterministic Channel Characterization
[NO] 17/200 | ViTac-Tracing: Visual-Tactile Imitation Learning of Deformable Object Tracing
[NO] 18/200 | Points-to-3D: Structure-Aware 3D Generation with Point Cloud Priors
[NO] 19/200 | SRRM: Improving Recursive Transport Surrogates in the Small-Discrepancy Regime
[NO] 20/200 | Physics-grounded Mechanism Design for Spectrum Sharing between Passive and Active Users
[NO] 21/200 | Automatic Configuration of LLM Post-Training Pipelines
[NO] 22/200 | On single-frequency asymptotics for the Maxwell-Bloch equations: mixed states
[NO] 23/200 | Implicit Grading Bias in Large Language Models: How Writing Style Affects Automated Assessment Across Math, Programming, and Essay Tasks
[NO] 24/200 | Reverse Mathematics and Dimension of Posets
[NO] 25/200 | DA-Mamba: Learning Domain-Aware State Space Model for Global-Local Alignment in Domain Adaptive Object Detection
[NO] 26/200 | The red-blue-yellow matching problem
[NO] 27/200 | Direct observation of strain and confinement shaping the hole subbands of Ge quantum wells
[NO] 28/200 | Automatic detection of Gen-AI texts: A comparative framework of neural models
[NO] 29/200 | ROFT-VINS: Robust Feature Tracking-based Visual-Inertial State Estimation for Harsh Environment
[NO] 30/200 | The edge of the Milky Way's star-forming disc: Evidence from a 'U-shaped' stellar age profile
[NO] 31/200 | Green Architectural Tactics in ML-enabled Systems: An LLM-based Repository Mining Study
[NO] 32/200 | Geometric blockade in a quantum dot coupled to two-dimensional and three dimensional electron gases
[NO] 33/200 | Comment on "Association between quantum paradoxes based on weak values and a realistic interpretation of quantum measurements"
[NO] 34/200 | Correlator of heavy-light quark currents in HQET in the large $β_0$ limit
[NO] 35/200 | Origin of Reduced Coercive Field in ScAlN: Synergy of Structural Softening and Dynamic Atomic Correlations
[NO] 36/200 | From ex(p) to poly: Gaussian Splatting with Polynomial Kernels
[NO] 37/200 | A mathematical framework for time-delay reservoir computing analysis
[NO] 38/200 | A more accurate rational non-commutative algorithm for multiplying 4x4 matrices using 48 multiplications
[NO] 39/200 | Revisiting Label Inference Attacks in Vertical Federated Learning: Why They Are Vulnerable and How to Defend
[NO] 40/200 | On-chip Parametric Amplification in a Double Quantum Dots Circuit
[NO] 41/200 | Surface-related white light emission phenomenon in transparent solids
[NO] 42/200 | Enhancing Multi-Corpus Training in SSL-Based Anti-Spoofing Models: Domain-Invariant Feature Extraction
[NO] 43/200 | QuaQue: Design and SQL Implementation of Condensed Algebra for Concurrent Versioning of Knowledge Graphs
[NO] 44/200 | Robust Discrete Pricing Optimization via Multiple-Choice Knapsack Reductions
[NO] 45/200 | Meanings and Measurements: Multi-Agent Probabilistic Grounding for Vision-Language Navigation
[NO] 46/200 | PhysVideo: Physically Plausible Video Generation with Cross-View Geometry Guidance
[NO] 47/200 | Training-Free Sparse Attention for Fast Video Generation via Offline Layer-Wise Sparsity Profiling and Online Bidirectional Co-Clustering
[NO] 48/200 | SwiftGS: Episodic Priors for Immediate Satellite Surface Recovery
[NO] 49/200 | Reduced-order turbulent flow solver to simulate streamwise periodic fins with iso-thermal walls
[NO] 50/200 | Topological superconductivity of a two-dimensional electron gas at the (001) LaAlO\textsubscript{3}/SrTiO\textsubscript{3} interface
[NO] 51/200 | Learning to Self-Evolve
[NO] 52/200 | Hierarchical Incentives and the Evolution of Local Cooperation in Wartime: A Continuous Strategy Approach
[NO] 53/200 | Radiation damping of the soliton internal mode in 1D quadratic Klein-Gordon equation
[NO] 54/200 | Improving Joint Audio-Video Generation with Cross-Modal Context Learning
[NO] 55/200 | Design and implementation of a high-density sub-nanosecond timing system for a C-band photocathode electron gun test platform
[NO] 56/200 | HAViT: Historical Attention Vision Transformer
[NO] 57/200 | Model Reference Adaptive Control For Gust Load Allevation of Nonlinear Aeroelastic
[NO] 58/200 | Higgs boson decay to massive bottom quarks at order $α_s^4$ induced by top-quark Yukawa couplings
[NO] 59/200 | SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding
[NO] 60/200 | Dark Matter and Strong CP Problem in Type IIA String Theory
[NO] 61/200 | End-to-End QGAN-Based Image Synthesis via Neural Noise Encoding and Intensity Calibration
[NO] 62/200 | Data-efficient pre-training by scaling synthetic megadocs
[NO] 63/200 | When Names Change Verdicts: Intervention Consistency Reveals Systematic Bias in LLM Decision-Making
[NO] 64/200 | OnlinePG: Online Open-Vocabulary Panoptic Mapping with 3D Gaussian Splatting
[NO] 65/200 | Recovering Sparse Neural Connectivity from Partial Measurements: A Covariance-Based Approach with Granger-Causality Refinement
[NO] 66/200 | NymeriaPlus: Enriching Nymeria Dataset with Additional Annotations and Data
[NO] 67/200 | FILT3R: Latent State Adaptive Kalman Filter for Streaming 3D Reconstruction
[NO] 68/200 | The Effect of Corneal Topography and Mucins on Tear Film Rupture
[NO] 69/200 | EntropyCache: Decoded Token Entropy Guided KV Caching for Diffusion Language Models
[NO] 70/200 | TexEditor: Structure-Preserving Text-Driven Texture Editing
[NO] 71/200 | There are many 5-holes
[NO] 72/200 | The Truncation Blind Spot: How Decoding Strategies Systematically Exclude Human-Like Token Choices
[NO] 73/200 | CyberJustice Tutor: An Agentic AI Framework for Cybersecurity Learning via Think-Plan-Act Reasoning and Pedagogical Scaffolding
[NO] 74/200 | AcceRL: A Distributed Asynchronous Reinforcement Learning and World Model Framework for Vision-Language-Action Models
[NO] 75/200 | Simulating Quantum Error Correction beyond Pauli Stochastic Errors
[NO] 76/200 | UT-ACA: Uncertainty-Triggered Adaptive Context Allocation for Long-Context Inference
