[2026-04-11 09:34:51] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-10
正在获取论文...
[IEEE] 2026-4-10 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[IEEE] 2026-4-10 | From AI Winter to Forever Spring—AI Is Here to Stay
[ACM] 2026-4-10 | Beacon: Detecting Broken Access Control Vulnerabilities in DBMSs via System Catalog Consistency Validation
[ACM] 2026-4-10 | When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure
[ACM] 2026-4-10 | Hermes: Making Path-Sensitive Pointer Analysis Scalable for Sparse Value-Flow Analysis
[IEEE] 2026-4-10 | Lunar Communication and Navigation Systems: A Comprehensive Survey, Research Challenges, and an Architectural Roadmap
[IEEE] 2026-4-10 | RWW 2027 Call for Papers SiRF
[IEEE] 2026-4-10 | SleepingEdge: Real-Time Sleep-Stage–Driven Epileptic Seizure Detection Using HMM and Hybrid OptiNet-SVM
[IEEE] 2026-4-10 | A Trapezoidal-Current Pulsed Power Converter Based on Modified Pulse-Forming Lines in SHINE Injector
[IEEE] 2026-4-10 | Fast Decision Making in Human–Machine Interaction Through Estimation of Human Reaching Intent
[IEEE] 2026-4-10 | Evaluation of the Improved 10 mA and 10 V Reference and Transfer Standard for the High DC Current Test and Calibration Infrastructure at CERN
[IEEE] 2026-4-10 | Simultaneous Localization and Imaging Using Combined Range-Doppler Domain Information for Vehicle-Mounted UWB Radar in Urban Environments
[IEEE] 2026-4-10 | Spoilt by choice? Understanding the effects of customization and variety increases on service performance: the role of service modularity
[IEEE] 2026-4-10 | Discrete Phase-Compensated Multiple SOGIs with PI and FLL for Signal Extraction under Distorted and DC-Offset Grid
[IEEE] 2026-4-10 | Learning graphons from data: Random walks, transfer operators, and spectral clustering
[IEEE] 2026-4-10 | Toward Standardized Edge-Enhanced Collaborative Computing for 6G Healthcare Networks
[IEEE] 2026-4-10 | Bayesian Model Calibration for Deep-Learning-Based Indirect Test of Analog Circuits
[IEEE] 2026-4-10 | DAFF-Net: Dynamic Attention-Guided Feature Fusion for Single-View 3D Reconstruction
[IEEE] 2026-4-10 | Rank-Based Optimized Sequential Sampling Approaches for Reliability Prediction Under Hybrid Degradation Process
[IEEE] 2026-4-10 | Modeling and Design of Electromagnetic Motion Systems
[IEEE] 2026-4-10 | Fault Diagnosis of Elevator Traction System based on Digital Twin
[IEEE] 2026-4-10 | Remaining Vital [MicroBusiness]
[IEEE] 2026-4-10 | Micro-Action Recognition in Lecture Scenarios for Educational Training: A Dual-Case Benchmark Study
[ACM] 2026-4-11 | Using Item Personality-Based Profiling in Music Recommender Systems
[ACM] 2026-4-10 | SIRA: Scaled-Integer Range Analysis for Optimizing FPGA Dataflow Neural Network Accelerators
[ACM] 2026-4-10 | Effectively Propositional Higher-Order Functional Programming
[IEEE] 2026-4-10 | CoCaTS: a Cooperative Caching-enabled Transmission Scheme in Ultra-dense LEO Satellite Networks
[IEEE] 2026-4-10 | RRFuzzer: A Fuzzing Framework for Proprietary Industrial Control System Protocols using a Combination Strategy
[IEEE] 2026-4-10 | IEEE CS Jobs Board
[IEEE] 2026-4-10 | Masthead
[IEEE] 2026-4-10 | N-Stage Phase-Interleaved Fourth-Order LCLC Resonant Converter for High-Voltage DC Applications
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | Journal of Lightwave Technology Publication Information
[IEEE] 2026-4-10 | Open-Source Toolkits for Experiments in Virtual Reality: a Scoping Review
[IEEE] 2026-4-10 | Spectral data fusion based on mRMR algorithm to assess the DP of insulating paper at different water contents
[IEEE] 2026-4-10 | Real-Time Validation of Stewart Platform U-Joint Kinematics through a Digital Shadow
[IEEE] 2026-4-10 | “United in Science” [From the Guest editor's Desk]
[IEEE] 2026-4-10 | Idling Control of PEMFC Based on Quantitative Model-free Adaptive Iterative Learning Approach
[IEEE] 2026-4-10 | Koopman-Based Online Identification With Sim2Real Transfer for Hydrodynamic Modeling of Turtle Inspired Robot_supp1-3682620.mp4
[IEEE] 2026-4-10 | Mathematical Modeling and Simulation of AI-Driven Sports Rehabilitation for Drug Addiction Treatment
[IEEE] 2026-4-10 | TKCFN: Textual Knowledge Guided Contextual Feature Fusion Network for UHR Satellite Images
[ACM] 2026-4-10 | OBsmith: LLM-Powered JavaScript Obfuscator Testing
[ACM] 2026-4-10 | CMakeSonar: A Static Approach to Detecting CMake Bugs with a Fine-Grained Type System
[IEEE] 2026-4-10 | Performance Analysis of Coherent-State Quantum Optical Wireless Communication over Turbulent Channels with Pointing Errors
[IEEE] 2026-4-10 | Temporal Characterization of Fade Events in mmWave Channels
[IEEE] 2026-4-10 | GAC-Net: Global-Local Adaptive Context Network for Infrared Small Target Detection
[IEEE] 2026-4-10 | Dual-Hypergraph Based Symmetrical Self-Representation Learning for Cross-Domain Facial Expression Recognition
[IEEE] 2026-4-10 | Modeling Astrocyte-Driven Repair of Visuomotor Deficits in Alzheimer's Thalamic Circuitry
[IEEE] 2026-4-10 | Boosting the Signal From the Lower Recording Structure in Three-Dimensional Magnetic Recording
[IEEE] 2026-4-10 | Blank Page
[IEEE] 2026-4-10 | Power transformer health index analysis software with monitoring of operational electrical parameters
[IEEE] 2026-4-10 | Performance Evaluation of Cell-Free Massive MIMO Systems based on mixed Indoor/Outdoor Measurements
[IEEE] 2026-4-10 | Fast and Accurate Lithium-ion Battery Impedance Measurement Using Multi-rate Quadrature Demodulation with Band-pass Filtering
[IEEE] 2026-4-10 | Mechanisms under Shifts: Interpretable Clustering with Self-Improving Heterogeneous Causal Graphs
[IEEE] 2026-4-10 | Eel-Inspired Electrohydraulic Soft Swimmer with Programmable Undulatory Gaits
[IEEE] 2026-4-10 | Cloud-Assisted Heterogeneous Privacy-Preserving Collaborative Graph Learning
[IEEE] 2026-4-10 | Edge Network Sensing of Cable Insulation Aging Using High Frequency Power Flow Analysis of PLC Signals
[IEEE] 2026-4-10 | Dual-Stage Optimized SSTDR for High Accuracy Online Cable Fault Localization
[IEEE] 2026-4-10 | Singular Value Fine-tuning for Few-Shot Class-Incremental Learning
[IEEE] 2026-4-10 | PersonalAI: A Systematic Comparison of Knowledge Graph Storage and Retrieval Approaches for Personalized LLM agents
[IEEE] 2026-4-10 | IEEE CS Social Media
[IEEE] 2026-4-10 | SAR Aspect Angle Domain Adaptation Based on Directional Scattering Centers for Non-Cooperative Target Recognition
[IEEE] 2026-4-10 | The -Score Test: A Model-Free Weighting Framework for Robust Parametric Detection_supp1-3682439.pdf
[IEEE] 2026-4-10 | Design of Leakage Protection System Based on Industrial Internet of Things
[IEEE] 2026-4-10 | Analysis of the Effectiveness of K-Nearest Neighbor Algorithm in Predicting the Congestion Level of Delivery Routes
[IEEE] 2026-4-10 | Combining Graph Neural Networks with Metalearning for Cross-Domain Graph Representation Learning
[IEEE] 2026-4-10 | Hybrid Variable Selection Algorithm Based on Mutual Information and Random Forest
[IEEE] 2026-4-10 | Quantifying Synergistic Evolution Between Digital Finance and Industrial Structure Transformation and Upgrading: A Composite System Modeling Approach
[IEEE] 2026-4-10 | Single-View 3D Reconstruction Via Shifted Window Attention
[ACM] 2026-4-11 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[ACM] 2026-4-11 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[IEEE] 2026-4-10 | Target characterization for maritime surveillance using HF surface wave radar
[IEEE] 2026-4-10 | MuscleGolfAR: Embodied versus Detached Visualization for Motions and Inferred Muscle Activations in Augmented Reality_supp1-3680749.mp4
[IEEE] 2026-4-10 | Split Federated Learning under Joint System and Data Heterogeneity
[IEEE] 2026-4-10 | Generalized Parametric Design of an Integrated Electric Vehicle Drive System for Wide-Speed-Range Operation: Experimental Validation, Torque Control, and Performance Assessment
[IEEE] 2026-4-10 | IMS2026 Registration Announcement
[IEEE] 2026-4-10 | Front Cover
共写入 100 条记录，保存到 papers/paper2026-04-10.json。
论文获取成功，文件路径: papers/paper2026-04-10.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Bandwidth-Efficient Robust Threshold ECDSA in Three Rounds_supp1-3682606.pdf
[NO] 2/100 | IMS2026 General Co-Chairs’ Welcome
[NO] 3/100 | Identification and Analysis of Thermal-Magnetic Coupling Noise in SERF Comagnetometer
[NO] 4/100 | Game-Theoretic Market Mechanism for Dynamic Wireless Resource Allocation
[NO] 5/100 | Time-Variant Reliability Analysis of Satellite Solar Panel Deployment Mechanism under Multiple Failure Modes Using SILK Model
[NO] 6/100 | The Contribution of Service-Learning to the Holistic Development of Engineering Students in Private Higher Education
[NO] 7/100 | Discrete Prompt Tuning via Recursive Utilization of Black-box Multimodal Large Language Model for Personalized Visual Emotion Recognition
[NO] 8/100 | Spray deposition for Board Level Shielding assessed through MSRC measurements
[NO] 9/100 | MultiHuman: Leverage Multimodal Prompts for Controllable Multi-Person Image Synthesizing
[NO] 10/100 | Harnessing LLMs for Cyber-Resilience A Systematic Survey in Threat Mitigation and Future Trajectories
[NO] 11/100 | IEEE Feedback
[NO] 12/100 | Design, Control, and Evaluation of a Modular Variable Configuration Rehabilitation Robot for Early Physical Therapy_supp1-3669328.mp4
[NO] 13/100 | IT General
[NO] 14/100 | SCGT: Towards Scalable and Comprehensive Graph Transformer
[NO] 15/100 | High-Fidelity and Efficient Torque Estimation for Quasi-Direct Drive Actuators with an Incremental Recurrent Cascade Broad Learning System
[NO] 16/100 | A Novel Electromagnetic Energy Harvester With Electrical Frequency up-Converter
[NO] 17/100 | Dual-Branch CNN with Enhanced Bidirectional Multiscale Sparse Cross-Attention for Remote Sensing Scene Classification
[NO] 18/100 | From Raw Pointers to Memory Safety: A Modular Demand-Driven Typestate Analysis for Rust
[NO] 19/100 | LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer
[NO] 20/100 | An Analytical Approach to Punjabi Dialect Identification using Feature Selection and Ensemble Models
[NO] 21/100 | InspectCoder: Dynamic Analysis-Driven Self Repair through Interactive LLM-Debugger Collaboration
[NO] 22/100 | Hunting CUDA Bugs at Scale with cuFuzz
[NO] 23/100 | A Compartment Model for Simulating the Dynamic Transmission of COVID-19 with a Case Study of Western Australia
[NO] 24/100 | WearStreamer: Enabling High-Resolution Health Data Acquisition from Consumer Smartwatches
[NO] 25/100 | From AI Winter to Forever Spring—AI Is Here to Stay
[NO] 26/100 | Beacon: Detecting Broken Access Control Vulnerabilities in DBMSs via System Catalog Consistency Validation
[NO] 27/100 | When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure
[NO] 28/100 | Hermes: Making Path-Sensitive Pointer Analysis Scalable for Sparse Value-Flow Analysis
[NO] 29/100 | Lunar Communication and Navigation Systems: A Comprehensive Survey, Research Challenges, and an Architectural Roadmap
[NO] 30/100 | RWW 2027 Call for Papers SiRF
[NO] 31/100 | SleepingEdge: Real-Time Sleep-Stage–Driven Epileptic Seizure Detection Using HMM and Hybrid OptiNet-SVM
[NO] 32/100 | A Trapezoidal-Current Pulsed Power Converter Based on Modified Pulse-Forming Lines in SHINE Injector
[NO] 33/100 | Fast Decision Making in Human–Machine Interaction Through Estimation of Human Reaching Intent
[NO] 34/100 | Evaluation of the Improved 10 mA and 10 V Reference and Transfer Standard for the High DC Current Test and Calibration Infrastructure at CERN
[NO] 35/100 | Simultaneous Localization and Imaging Using Combined Range-Doppler Domain Information for Vehicle-Mounted UWB Radar in Urban Environments
[NO] 36/100 | Spoilt by choice? Understanding the effects of customization and variety increases on service performance: the role of service modularity
[NO] 37/100 | Discrete Phase-Compensated Multiple SOGIs with PI and FLL for Signal Extraction under Distorted and DC-Offset Grid
[NO] 38/100 | Learning graphons from data: Random walks, transfer operators, and spectral clustering
[NO] 39/100 | Toward Standardized Edge-Enhanced Collaborative Computing for 6G Healthcare Networks
[NO] 40/100 | Bayesian Model Calibration for Deep-Learning-Based Indirect Test of Analog Circuits
[NO] 41/100 | DAFF-Net: Dynamic Attention-Guided Feature Fusion for Single-View 3D Reconstruction
[NO] 42/100 | Rank-Based Optimized Sequential Sampling Approaches for Reliability Prediction Under Hybrid Degradation Process
[NO] 43/100 | Modeling and Design of Electromagnetic Motion Systems
[NO] 44/100 | Fault Diagnosis of Elevator Traction System based on Digital Twin
[NO] 45/100 | Remaining Vital [MicroBusiness]
[NO] 46/100 | Micro-Action Recognition in Lecture Scenarios for Educational Training: A Dual-Case Benchmark Study
[NO] 47/100 | Using Item Personality-Based Profiling in Music Recommender Systems
[NO] 48/100 | SIRA: Scaled-Integer Range Analysis for Optimizing FPGA Dataflow Neural Network Accelerators
[NO] 49/100 | Effectively Propositional Higher-Order Functional Programming
[NO] 50/100 | CoCaTS: a Cooperative Caching-enabled Transmission Scheme in Ultra-dense LEO Satellite Networks
[NO] 51/100 | RRFuzzer: A Fuzzing Framework for Proprietary Industrial Control System Protocols using a Combination Strategy
[NO] 52/100 | IEEE CS Jobs Board
[NO] 53/100 | Masthead
[NO] 54/100 | N-Stage Phase-Interleaved Fourth-Order LCLC Resonant Converter for High-Voltage DC Applications
[NO] 55/100 | Journal of Lightwave Technology Publication Information
[NO] 56/100 | Journal of Lightwave Technology Publication Information
[NO] 57/100 | Open-Source Toolkits for Experiments in Virtual Reality: a Scoping Review
[NO] 58/100 | Spectral data fusion based on mRMR algorithm to assess the DP of insulating paper at different water contents
[NO] 59/100 | Real-Time Validation of Stewart Platform U-Joint Kinematics through a Digital Shadow
[NO] 60/100 | “United in Science” [From the Guest editor's Desk]
[NO] 61/100 | Idling Control of PEMFC Based on Quantitative Model-free Adaptive Iterative Learning Approach
[NO] 62/100 | Koopman-Based Online Identification With Sim2Real Transfer for Hydrodynamic Modeling of Turtle Inspired Robot_supp1-3682620.mp4
[NO] 63/100 | Mathematical Modeling and Simulation of AI-Driven Sports Rehabilitation for Drug Addiction Treatment
[NO] 64/100 | TKCFN: Textual Knowledge Guided Contextual Feature Fusion Network for UHR Satellite Images
[NO] 65/100 | OBsmith: LLM-Powered JavaScript Obfuscator Testing
[NO] 66/100 | CMakeSonar: A Static Approach to Detecting CMake Bugs with a Fine-Grained Type System
[NO] 67/100 | Performance Analysis of Coherent-State Quantum Optical Wireless Communication over Turbulent Channels with Pointing Errors
[NO] 68/100 | Temporal Characterization of Fade Events in mmWave Channels
[NO] 69/100 | GAC-Net: Global-Local Adaptive Context Network for Infrared Small Target Detection
[NO] 70/100 | Dual-Hypergraph Based Symmetrical Self-Representation Learning for Cross-Domain Facial Expression Recognition
[NO] 71/100 | Modeling Astrocyte-Driven Repair of Visuomotor Deficits in Alzheimer's Thalamic Circuitry
[NO] 72/100 | Boosting the Signal From the Lower Recording Structure in Three-Dimensional Magnetic Recording
[NO] 73/100 | Blank Page
[NO] 74/100 | Power transformer health index analysis software with monitoring of operational electrical parameters
[YES] 75/100 | Performance Evaluation of Cell-Free Massive MIMO Systems based on mixed Indoor/Outdoor Measurements
[NO] 76/100 | Fast and Accurate Lithium-ion Battery Impedance Measurement Using Multi-rate Quadrature Demodulation with Band-pass Filtering
[NO] 77/100 | Mechanisms under Shifts: Interpretable Clustering with Self-Improving Heterogeneous Causal Graphs
[NO] 78/100 | Eel-Inspired Electrohydraulic Soft Swimmer with Programmable Undulatory Gaits
[NO] 79/100 | Cloud-Assisted Heterogeneous Privacy-Preserving Collaborative Graph Learning
[NO] 80/100 | Edge Network Sensing of Cable Insulation Aging Using High Frequency Power Flow Analysis of PLC Signals
[NO] 81/100 | Dual-Stage Optimized SSTDR for High Accuracy Online Cable Fault Localization
[NO] 82/100 | Singular Value Fine-tuning for Few-Shot Class-Incremental Learning
[NO] 83/100 | PersonalAI: A Systematic Comparison of Knowledge Graph Storage and Retrieval Approaches for Personalized LLM agents
[NO] 84/100 | IEEE CS Social Media
[NO] 85/100 | SAR Aspect Angle Domain Adaptation Based on Directional Scattering Centers for Non-Cooperative Target Recognition
[NO] 86/100 | The -Score Test: A Model-Free Weighting Framework for Robust Parametric Detection_supp1-3682439.pdf
[NO] 87/100 | Design of Leakage Protection System Based on Industrial Internet of Things
[NO] 88/100 | Analysis of the Effectiveness of K-Nearest Neighbor Algorithm in Predicting the Congestion Level of Delivery Routes
[NO] 89/100 | Combining Graph Neural Networks with Metalearning for Cross-Domain Graph Representation Learning
[NO] 90/100 | Hybrid Variable Selection Algorithm Based on Mutual Information and Random Forest
[NO] 91/100 | Quantifying Synergistic Evolution Between Digital Finance and Industrial Structure Transformation and Upgrading: A Composite System Modeling Approach
[NO] 92/100 | Single-View 3D Reconstruction Via Shifted Window Attention
[NO] 93/100 | Hybrid Approach Using GANS And Multivariate Regression to Analyze the Impact of Acoustic Variables on Piezo Transducer Output
[NO] 94/100 | Secure XP Programming: Integrating OWASP Practices and Lightweight Threat Modelling into Extreme Programming
[NO] 95/100 | Target characterization for maritime surveillance using HF surface wave radar
[NO] 96/100 | MuscleGolfAR: Embodied versus Detached Visualization for Motions and Inferred Muscle Activations in Augmented Reality_supp1-3680749.mp4
[NO] 97/100 | Split Federated Learning under Joint System and Data Heterogeneity
[NO] 98/100 | Generalized Parametric Design of an Integrated Electric Vehicle Drive System for Wide-Speed-Range Operation: Experimental Validation, Torque Control, and Performance Assessment
[NO] 99/100 | IMS2026 Registration Announcement
[NO] 100/100 | Front Cover
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-04-10.json。
邮件发送成功！
[2026-04-11 09:49:54] 任务执行成功！
