[2026-02-04 09:38:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-03
正在获取论文...
[arXiv] 2026-02-03 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[arXiv] 2026-02-03 | Clarify Before You Draw: Proactive Agents for Robust Text-to-CAD Generation
[arXiv] 2026-02-03 | Plasmonic Spin Meron Lattices with Height-Sensitive Topology Evolution
[arXiv] 2026-02-03 | Special Lagrangians and Bridgeland stable objects beyond geometric stability conditions: the product case
[arXiv] 2026-02-03 | Device variability of Josephson junctions induced by interface roughness
[arXiv] 2026-02-03 | LatentMem: Customizing Latent Memory for Multi-Agent Systems
[arXiv] 2026-02-03 | From Grism to IFU: Revising the Redshift and Nature of the Massive Dusty Galaxy S1 with JWST and ALMA
[arXiv] 2026-02-03 | Visual Reasoning over Time Series via Multi-Agent System
[arXiv] 2026-02-03 | Consistency Deep Equilibrium Models
[arXiv] 2026-02-03 | Subaru/HSC NB395 view of NGC 5466: metallicity, mass function, and the nature of its tidal stream
[arXiv] 2026-02-03 | Thinking inside the Convolution for Image Inpainting: Reconstructing Texture via Structure under Global and Local Side
[arXiv] 2026-02-03 | Ultralow radiative heat flux by Anderson localization in quasiperiodic plasmonic chains
[arXiv] 2026-02-03 | Causal Graph Spatial-Temporal Autoencoder for Reliable and Interpretable Process Monitoring
[arXiv] 2026-02-03 | Tri-Hybrid Holographic Beamforming for Integrated Sensing and Communication
[arXiv] 2026-02-03 | SharpTimeGS: Sharp and Stable Dynamic Gaussian Splatting via Lifespan Modulation
[arXiv] 2026-02-03 | NLI:Non-uniform Linear Interpolation Approximation of Nonlinear Operations for Efficient LLMs Inference
[arXiv] 2026-02-03 | Large-Scale LLM Inference with Heterogeneous Workloads: Prefill-Decode Contention and Asymptotically Optimal Control
[arXiv] 2026-02-03 | Fisher-Information-Based Sensor Placement for Structural Digital Twins: Analytic Results and Benchmarks
[arXiv] 2026-02-03 | Where Norms and References Collide: Evaluating LLMs on Normative Reasoning
[arXiv] 2026-02-03 | SceneLinker: Compositional 3D Scene Generation via Semantic Scene Graph from RGB Sequences
[arXiv] 2026-02-03 | TRACE: Temporal Radiology with Anatomical Change Explanation for Grounded X-ray Report Generation
[arXiv] 2026-02-03 | The index of a certain quotient of the Hecke algebra in its normalization
[arXiv] 2026-02-03 | Nüwa: Mending the Spatial Integrity Torn by VLM Token Pruning
[arXiv] 2026-02-03 | 3D-Learning: Diffusion-Augmented Distributionally Robust Decision-Focused Learning
[arXiv] 2026-02-03 | Efficient Three-Dimensional Sub-Doppler Cooling of $^{40}$Ca$^+$ in a Penning Trap
[arXiv] 2026-02-03 | Equal Access, Unequal Interaction: A Counterfactual Audit of LLM Fairness
[arXiv] 2026-02-03 | Quantum Christoffel Nonlinear Magnetization
[arXiv] 2026-02-03 | Efficient Algorithms for Partial Constraint Satisfaction Problems over Control-flow Graphs
[arXiv] 2026-02-03 | Stability of the weak Haagerup property under graph products
[arXiv] 2026-02-03 | Unconventional superconductivity from lattice quantum disorder
[arXiv] 2026-02-03 | The compressible Euler system with damping in hybrid Besov spaces: global well-posedness and relaxation limit
[arXiv] 2026-02-03 | Stability of Haagerup property under graph product
[arXiv] 2026-02-03 | Post-impulsive millimeter emission of the 2022-05-04 solar flare
[arXiv] 2026-02-03 | EarResp-ANS : Audio-Based On-Device Respiration Rate Estimation on Earphones with Adaptive Noise Suppression
[arXiv] 2026-02-03 | Sequential Linear Contracts on Matroids
[arXiv] 2026-02-03 | Constrained Dynamic Gaussian Splatting
[arXiv] 2026-02-03 | MatGPTQ: Accurate and Efficient Post-Training Matryoshka Quantization
[arXiv] 2026-02-03 | D3PIA: A Discrete Denoising Diffusion Model for Piano Accompaniment Generation From Lead sheet
[arXiv] 2026-02-03 | QRC-Lab: An Educational Toolbox for Quantum Reservoir Computing
[arXiv] 2026-02-03 | Learning to Reason Faithfully through Step-Level Faithfulness Maximization
[arXiv] 2026-02-03 | Reparameterization Flow Policy Optimization
[arXiv] 2026-02-03 | Least but not Last: Fine-tuning Intermediate Principal Components for Better Performance-Forgetting Trade-Offs
[arXiv] 2026-02-03 | Detecting and Explaining Malware Family Evolution Using Rule-Based Drift Analysis
[arXiv] 2026-02-03 | When Routing Collapses: On the Degenerate Convergence of LLM Routers
[arXiv] 2026-02-03 | Design of a 60.8 K superconducting hydride LiMgZr2H12 at ambient pressure via Lithium doping
[arXiv] 2026-02-03 | Reading Between the Code Lines: On the Use of Self-Admitted Technical Debt for Security Analysis
[arXiv] 2026-02-03 | RAL-Bench: Benchmarking for Application-Level Functional Correctness and Non-Functional Quality Attributes
[arXiv] 2026-02-03 | Hydrodynamic simulations of expanded warm dense foil heated by pulsed-power
[arXiv] 2026-02-03 | Hierarchical Concept-to-Appearance Guidance for Multi-Subject Image Generation
[arXiv] 2026-02-03 | Accelerated Electromagnetic Simulation of MRI RF Interactions with Graphene Microtransistor-Based Neural Probes for Electrophysiology-fMRI Integration
[arXiv] 2026-02-03 | DiscoverLLM: From Executing Intents to Discovering Them
[arXiv] 2026-02-03 | On singular Galerkin discretizations for three models in high-frequency scattering
[arXiv] 2026-02-03 | Towards Distillation-Resistant Large Language Models: An Information-Theoretic Perspective
[arXiv] 2026-02-03 | From Vicious to Virtuous Cycles: Synergistic Representation Learning for Unsupervised Video Object-Centric Learning
[arXiv] 2026-02-03 | Chain-of-Goals Hierarchical Policy for Long-Horizon Offline Goal-Conditioned RL
[arXiv] 2026-02-03 | An Approximate Ascent Approach To Prove Convergence of PPO
[arXiv] 2026-02-03 | Dynamic Programming for Epistemic Uncertainty in Markov Decision Processes
[arXiv] 2026-02-03 | PlanTRansformer: Unified Prediction and Planning with Goal-conditioned Transformer
[arXiv] 2026-02-03 | Multi-Resolution Alignment for Voxel Sparsity in Camera-Based 3D Semantic Scene Completion
[arXiv] 2026-02-03 | Pursuing Best Industrial Practices for Retrieval-Augmented Generation in the Medical Domain
[arXiv] 2026-02-03 | Novel exact black hole solution in Dehnen $\left(1,4,\frac32\right)$ halo thermodynamics, photon circular motion and eikonal quasinormal modes
[ACM] 2026-2-3 | A Predictive Analytics Approach for Real Estate Portfolio
[IEEE] 2026-2-3 | Energy Efficiency Maximization for RIS-Aided Integrated Sensing and Communication
[IEEE] 2026-2-3 | IEEE COMPUTER SOCIETY Call for Papers
[IEEE] 2026-2-3 | Table of Contents
[ACM] 2026-2-3 | The 2nd Edition of International Summer School on Extended Reality Technology and Experience (XRTX)
[IEEE] 2026-2-3 | Leveraging Artificial Intelligence to Decode Brand Awareness and Buying Behaviour
[IEEE] 2026-2-3 | A Deep Learning-Based Approach for Plant Disease Detection
[IEEE] 2026-2-3 | Dynamic Model of Rolling Bearings Considering Edge Softening Effects
[IEEE] 2026-2-3 | Design of High-Resolution Inverse Photoemission Spectroscopy System
[IEEE] 2026-2-3 | Automated Grading of Scratch Card Based Immediate Feedback Assessment Technique (IFAT)
[IEEE] 2026-2-3 | From Discriminative Regions to Complete Masks: CAM-SAM Fusion for Weakly Supervised Semantic Segmentation
[IEEE] 2026-2-3 | Multivariate Time Series Anomaly Detection Based on Time-Frequency Combination
[IEEE] 2026-2-3 | Deep Learning-Based Emotion Recognition Using Electroencephalogram Signals
[IEEE] 2026-2-3 | Smart Dynamic Wireless Charging Lane for Electric Vehicles Powered by Hybrid Renewable Systems
[IEEE] 2026-2-3 | Design of the First Optimal Sliding Mode Control of Uncertain Linear Systems Based on Metaheuristics
[IEEE] 2026-2-3 | Contrastive Semantic Reinforced Summarization: A Hybrid Framework for Arabic Abstractive Text Summarization
[IEEE] 2026-2-3 | Localization of OFDM Sources Using a Single Hydrophone in Rician Fading Channels
[IEEE] 2026-2-3 | An AC Charging Pile Current Regulation System Based on LoRa-Modbus
[IEEE] 2026-2-3 | A Dual-Band Circularly Polarized Slot Antenna with EBG Structure for Wi-Fi Applications
[IEEE] 2026-2-3 | Proceedings
[IEEE] 2026-2-3 | YOLOv5-Powered Smart Parking System with IoT-Based Real-Time Slot Monitoring
[IEEE] 2026-2-3 | Beyond Appearance: Dual-Graph Object Encoding with Learnable Graph Structure
[IEEE] 2026-2-3 | Fuzzy Neural Dynamics for Kinematic Learning and Simultaneous Control of Redundant Robots
[IEEE] 2026-2-3 | Suppressing the Capacitive Coupling by Adjusting the Precharge Biasing Scheme in a Two-Transistor Dynamic Random-Access Memory Operation
[IEEE] 2026-2-3 | IEEE Transactions on Cybernetics Publication Information
[IEEE] 2026-2-3 | Federated Learning with Controlled Descent under Fading: Convergence and Energy Implications
[IEEE] 2026-2-3 | Self-Error Correcting Method for Magnetic-Array-Type Current Sensors in Multi-Core Cable Applications
[IEEE] 2026-2-3 | Electrical Bioimpedance Sensing-based Proximity Distance Estimation for Needle Interventions: Two-Layer Model and Validation
[IEEE] 2026-2-3 | Electromechanical Simulation and 3D Visualization of a Solenoid-Powered V8 Engine
[IEEE] 2026-2-3 | Development of a High-Gain Ceramic Mimo Antenna for Mm Wave Communication Supporting Smart City and Rural Broadband Infrastructure
[IEEE] 2026-2-3 | DWT Domain Precinct-Wise Scrambling for Encryption-then-Compression with JPEG XS
[IEEE] 2026-2-3 | A 66-82 GHz VCO with Dual-Tuning and Phase Noise Reduction Techniques in 40 nm CMOS
[IEEE] 2026-2-3 | The Effect of Rain Attenuation on the Efficiency of Wireless Communication Systems in Millimeter Wave Frequencies
[IEEE] 2026-2-3 | EdgeFlame: A Physics-Inspired Framework for Zero-Shot Fire and Smoke Recognition
[IEEE] 2026-2-3 | Integrated Decision Making and Planning for Autonomous Driving Based on the Prediction of Ego Vehicle
[IEEE] 2026-2-3 | A Method for Reducing Learning Time in ARVTDNN for NN-DPD Applications
[IEEE] 2026-2-3 | A Review and Comparative Analysis of Predictive Models for Supply Chain Demand Forecasting
[IEEE] 2026-2-3 | On-Route Passenger Weight Estimation in Electric Buses via Air Suspension and Tire Pressure
[IEEE] 2026-2-3 | Fast Multi-Tau Correlators on FPGA with Context Switching From and to High- Bandwidth Memory
[IEEE] 2026-2-3 | Design and Fabrication of Low-cost Force Sensing Resistor for Prevention of Bedsores
[IEEE] 2026-2-3 | Passivity-based adaptive controller with the thrust direction control for quadrotor trajectory tracking
[IEEE] 2026-2-3 | Bridging Service Quality and Architecture in Digital Banking: A Usability Framework Based on TOGAF ADM and E-Servqual
[IEEE] 2026-2-3 | High-Performance Circular Phased Array Microstrip Antenna for WiFi, Bluetooth, and Ultra-Wideband Applications
[IEEE] 2026-2-3 | Adaptive Model Predictive Current Control Using EKF-Based Online Inductance Estimation for Totem-Pole PFC Converters
[IEEE] 2026-2-3 | Joint Unicast and Multicast Transmission in RSMA-Aided Clustered Cell-Free Systems: Clustering and Power Allocation
[IEEE] 2026-2-3 | Transforming Crop Disease Classification with Hybrid Quantum Deep Learning
[IEEE] 2026-2-3 | Performance Evaluation of Inverter-Fed Autonomous Microgrids under Uniform and Non-Uniform Delays Using Internal Model Control
[IEEE] 2026-2-3 | Exploring Privacy and Security Risks in LLMs: Data Leakage, Prompt Injection, and Membership Inference
[IEEE] 2026-2-3 | Opt360: QoE Optimization for 360° Video Streaming
[IEEE] 2026-2-3 | Technical Program Committee
[IEEE] 2026-2-3 | Convolutional Autoencoder Framework for Anomaly Detection in Cloud Data Centers
[IEEE] 2026-2-3 | Characterization of Graphene Films Deposited on Glass and Their Application in Patch Antennas
[IEEE] 2026-2-3 | Technology-Based Ergonomic Interventions for Preventing Musculoskeletal Disorders
[IEEE] 2026-2-3 | SCED in India: The Duals Behind Dispatch
[IEEE] 2026-2-3 | Design and Implementation of Intelligent Traction Device for Aircraft Maintenance Ladder
[IEEE] 2026-2-3 | Interpolation Techniques for Cost-effective Channel Data Capturing and Restoration in Ultrasound Imaging
[IEEE] 2026-2-3 | Research on Anomaly Data Preprocessing Technology for Deep Learning Soft Sensor Models Facing Missing Data and Fault Data
[IEEE] 2026-2-3 | A Conversation Between the Founding and the Current EICs on 30 Years of Multimedia Computing
[IEEE] 2026-2-3 | Development of YOLO-Based Fall Detection with Real-Time Monitoring System on Raspberry Pi 5
[IEEE] 2026-2-3 | AgroFog+: Integrated IoT and AI System for Smart Greenhouse Management
[IEEE] 2026-2-3 | Health Monitoring System Development for Shielding Pumps in CSNS Target Station Cooling System
[IEEE] 2026-2-3 | ASDMD-GMM-UT Transfer-Driven RUL Probabilistic Prediction for Lithium-Ion Battery Packs
[IEEE] 2026-2-3 | Integrating Multi-Spectral Image Fusion and Path Planning Strategies for Effective Drone-Based Search and Rescue
[IEEE] 2026-2-3 | Conversational Smart Assistant on a Microcontroller with Cloud-Based LLM Function Offloading
[IEEE] 2026-2-3 | Research on the Unbalanced Response Characteristics of Turbocharger Rotor System Under Transient Conditions
[IEEE] 2026-2-3 | Design of Multi-Beam Intelligent Reflecting Surface for 6G Wireless Communications
[IEEE] 2026-2-3 | Interpretable and Reliable Soft Sensor Development in Industry 5.0
[IEEE] 2026-2-3 | IEEE Transactions on Components, Packaging and Manufacturing Technology Society Information
[IEEE] 2026-2-3 | Exploratory Analysis and Temporal Dynamics of Air pollution in Bengaluru
[IEEE] 2026-2-3 | A Novel Wideband X-band Amplifying Metasurface
[IEEE] 2026-2-3 | Proactive Handover Management in 6G Low-Altitude Economy Networks for Aerial Vehicles Using Artificial General Intelligence
[IEEE] 2026-2-3 | Neuron Membership Inference Attack in Federated Learning for bit Scenarios
[IEEE] 2026-2-3 | Experimental Characterization of Commercial Reduced Graphene Oxide Nanoplatelets for RF and Microwave Device Applications
[IEEE] 2026-2-3 | Multimodel Comparative Assessment and Optimal Geodetector-Driven Analysis of Aeolian Desertification in the Horqin Sandy Land
[IEEE] 2026-2-3 | A Category-driven Depth-Scalable Inversion Framework for 3D GPR Data Inversion
[IEEE] 2026-2-3 | A Unified Framework for Swarm Intelligence to Enhance Convergence and Reliability
[IEEE] 2026-2-3 | A Study on Dispersion Characteristics of a Gyrator-Loaded CRLH-TL with an Even Number of Unit Cells
[IEEE] 2026-2-3 | Artificial Intelligence in HRM: Linking Ethical Design, Digital Well-being, and Green HRM for Sustainable Performance
[IEEE] 2026-2-3 | Synthetic Inertia in Small Inverters: A New Strategy Based on DC Link Current Control*
[ACM] 2026-2-3 | The Shift to Gig Economy: How Traditional Employment Stacks Up Against Platform-Based Independent Workers
[IEEE] 2026-2-3 | Vaku: Web Application for the Management of Child Vaccination at the Emiro Quintero CañIzares Hospital in Ocaña
[IEEE] 2026-2-3 | Knowledge-Based Behavioral Biometrics for Secure Authentication in Virtual Reality
[IEEE] 2026-2-3 | KUL-BPS: A Bearing Testing Platform in Addressing Data Scarcity in Condition Monitoring
[IEEE] 2026-2-3 | Reflective Photoplethysmography Sensing Interface Designs on Chest for Improved Signal Quality*
[IEEE] 2026-2-3 | Advancing Transmission Use of System (TUoS) Pricing in Saudi Arabia: A Technical Exploration
[IEEE] 2026-2-3 | Next-Gen Offshore Wind Year Ahead Forecasting Aided Modelling for Techno-Economic Feasibility
[IEEE] 2026-2-3 | Long-Range Active Acoustic Sensing Based on Microwave Vibration Measurement
[IEEE] 2026-2-3 | Active Disturbance Rejection Controller Applied to Speed Control of Electromagnetic Frequency Regulator
[IEEE] 2026-2-3 | Secure Acceleration of Aggregation Queries over Homomorphically Encrypted Databases
[IEEE] 2026-2-3 | Self-Recovery and Fault-Tolerant Control of Distributed Piezoelectric Stack Actuators Under Temperature Perturbation and Layer Breakdown
[ACM] 2026-2-3 | Evoked Potential-Evidenced Visual Impairment Categorization using Vision Mamba on ERG Correspondence Features
[IEEE] 2026-2-3 | Soft Actor-Critic-Based Early Warning Method for Quench Risk in High-Temperature Superconducting Cables
[IEEE] 2026-2-3 | Automatic Generation of Open Data-Based Traffic Simulation Model
[IEEE] 2026-2-3 | Second-Order Filtering for Internal Model Control Tuned PID Controllers
[IEEE] 2026-2-3 | Study of Energy Flow in a Standalone Hybrid PV/Fuel Cell System
[IEEE] 2026-2-3 | Semantic Memory Synthesis: Hierarchical Knowledge Integration and Temporal Reasoning for Autonomous Agents
[IEEE] 2026-2-3 | Spatial Knowledge Graph Creation and Action Prediction with Neuro Symbolic AI
[IEEE] 2026-2-3 | Feasibility of Quantum Cryptography with AES for Secure Communication
[IEEE] 2026-2-3 | Grounded CPW with a longitudinal slot at the bottom ground for loss reduction at the sub-THz band on glass IPD
[IEEE] 2026-2-3 | Optimizing RIS-Assisted D2D Networks with Energy Constrained Nodes Using Differentiable Projection-Based Approaches
共写入 200 条记录，保存到 papers/paper2026-02-03.json。
论文获取成功，文件路径: papers/paper2026-02-03.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[NO] 2/200 | A third law of thermodynamics is an unnecessary complexity
[NO] 3/200 | Estimating measures of information processing during cognitive tasks using functional magnetic resonance imaging
[NO] 4/200 | The Necessity of a Unified Framework for LLM-Based Agent Evaluation
[NO] 5/200 | Merging Beyond: Streaming LLM Updates via Activation-Guided Rotations
[NO] 6/200 | SQUIDPOL: Seoul National University QUadruple Imaging Device for POLarimetry
[NO] 7/200 | Distribution-Aware End-to-End Embedding for Streaming Numerical Features in Click-Through Rate Prediction
[NO] 8/200 | The long-run returns to breastfeeding
[NO] 9/200 | FARTrack: Fast Autoregressive Visual Tracking with High Performance
[NO] 10/200 | VIRAL: Visual In-Context Reasoning via Analogy in Diffusion Transformers
[NO] 11/200 | Depth Completion in Unseen Field Robotics Environments Using Extremely Sparse Depth Measurements
[NO] 12/200 | WebSplatter: Enabling Cross-Device Efficient Gaussian Splatting in Web Browsers via WebGPU
[NO] 13/200 | Quantum Trajectory Separation and Attosecond Mapping in Liquid High-Harmonic Generation
[NO] 14/200 | Permutation groups and symmetric Hecke algebras
[NO] 15/200 | Causal structures of turbulent skin-friction drag in wall-bounded turbulent flows
[NO] 16/200 | BinaryDemoire: Moiré-Aware Binarization for Image Demoiréing
[NO] 17/200 | Probe-then-Commit Multi-Objective Bandits: Theoretical Benefits of Limited Multi-Arm Feedback
[NO] 18/200 | Quantitative sensitivity analysis for Fokker-Planck equation with respect to the Wasserstein distance
[NO] 19/200 | Refined invariants for Abelian surfaces: between polynomiality and modularity
[NO] 20/200 | Reverse square function estimates for degenerate curves and its applications
[NO] 21/200 | Entropic Mirror Monte Carlo
[NO] 22/200 | VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models
[NO] 23/200 | A surprisingly large asymmetric ejection from Mira A
[NO] 24/200 | PAMAS: Self-Adaptive Multi-Agent System with Perspective Aggregation for Misinformation Detection
[NO] 25/200 | Fully Kolmogorov-Arnold Deep Model in Medical Image Segmentation
[NO] 26/200 | Is It Possible to Make Chatbots Virtuous? Investigating a Virtue-Based Design Methodology Applied to LLMs
[NO] 27/200 | FinMTM: A Multi-Turn Multimodal Benchmark for Financial Reasoning and Agent Evaluation
[NO] 28/200 | Beyond Cropping and Rotation: Automated Evolution of Powerful Task-Specific Augmentations with Generative Models
[NO] 29/200 | The High Cost of Data Augmentation for Learning Equivariant Models
[NO] 30/200 | AgentDyn: A Dynamic Open-Ended Benchmark for Evaluating Prompt Injection Attacks of Real-World Agent Security System
[NO] 31/200 | The Mask of Civility: Benchmarking Chinese Mock Politeness Comprehension in Large Language Models
[NO] 32/200 | In Bad Faith: Assessing Discussion Quality on Social Media
[NO] 33/200 | Studying the Effect of Schedule Preemption on Dynamic Task Graph Scheduling
[NO] 34/200 | Automorphisms and antiautomorphisms of quandles
[NO] 35/200 | ProOPF: Benchmarking and Improving LLMs for Professional-Grade Power Systems Optimization Modeling
[NO] 36/200 | An effective correction method for droplet volume conservation in direct numerical simulation of droplet-laden turbulence
[NO] 37/200 | From Speech-to-Spatial: Grounding Utterances on A Live Shared View with Augmented Reality
[NO] 38/200 | Moments of sums of exponentials, beyond CHS
[NO] 39/200 | Quantum spin-heat engine with trapped ions
[NO] 40/200 | SAES-SVD: Self-Adaptive Suppression of Accumulated and Local Errors for SVD-based LLM Compression
[NO] 41/200 | Clarify Before You Draw: Proactive Agents for Robust Text-to-CAD Generation
[NO] 42/200 | Plasmonic Spin Meron Lattices with Height-Sensitive Topology Evolution
[NO] 43/200 | Special Lagrangians and Bridgeland stable objects beyond geometric stability conditions: the product case
[NO] 44/200 | Device variability of Josephson junctions induced by interface roughness
[NO] 45/200 | LatentMem: Customizing Latent Memory for Multi-Agent Systems
[NO] 46/200 | From Grism to IFU: Revising the Redshift and Nature of the Massive Dusty Galaxy S1 with JWST and ALMA
[NO] 47/200 | Visual Reasoning over Time Series via Multi-Agent System
[NO] 48/200 | Consistency Deep Equilibrium Models
[NO] 49/200 | Subaru/HSC NB395 view of NGC 5466: metallicity, mass function, and the nature of its tidal stream
[NO] 50/200 | Thinking inside the Convolution for Image Inpainting: Reconstructing Texture via Structure under Global and Local Side
[NO] 51/200 | Ultralow radiative heat flux by Anderson localization in quasiperiodic plasmonic chains
[NO] 52/200 | Causal Graph Spatial-Temporal Autoencoder for Reliable and Interpretable Process Monitoring
[YES] 53/200 | Tri-Hybrid Holographic Beamforming for Integrated Sensing and Communication
[NO] 54/200 | SharpTimeGS: Sharp and Stable Dynamic Gaussian Splatting via Lifespan Modulation
[NO] 55/200 | NLI:Non-uniform Linear Interpolation Approximation of Nonlinear Operations for Efficient LLMs Inference
[NO] 56/200 | Large-Scale LLM Inference with Heterogeneous Workloads: Prefill-Decode Contention and Asymptotically Optimal Control
[NO] 57/200 | Fisher-Information-Based Sensor Placement for Structural Digital Twins: Analytic Results and Benchmarks
[NO] 58/200 | Where Norms and References Collide: Evaluating LLMs on Normative Reasoning
[NO] 59/200 | SceneLinker: Compositional 3D Scene Generation via Semantic Scene Graph from RGB Sequences
[NO] 60/200 | TRACE: Temporal Radiology with Anatomical Change Explanation for Grounded X-ray Report Generation
[NO] 61/200 | The index of a certain quotient of the Hecke algebra in its normalization
[NO] 62/200 | Nüwa: Mending the Spatial Integrity Torn by VLM Token Pruning
[NO] 63/200 | 3D-Learning: Diffusion-Augmented Distributionally Robust Decision-Focused Learning
[NO] 64/200 | Efficient Three-Dimensional Sub-Doppler Cooling of $^{40}$Ca$^+$ in a Penning Trap
[NO] 65/200 | Equal Access, Unequal Interaction: A Counterfactual Audit of LLM Fairness
[NO] 66/200 | Quantum Christoffel Nonlinear Magnetization
[NO] 67/200 | Efficient Algorithms for Partial Constraint Satisfaction Problems over Control-flow Graphs
[NO] 68/200 | Stability of the weak Haagerup property under graph products
[NO] 69/200 | Unconventional superconductivity from lattice quantum disorder
[NO] 70/200 | The compressible Euler system with damping in hybrid Besov spaces: global well-posedness and relaxation limit
[NO] 71/200 | Stability of Haagerup property under graph product
[NO] 72/200 | Post-impulsive millimeter emission of the 2022-05-04 solar flare
[NO] 73/200 | EarResp-ANS : Audio-Based On-Device Respiration Rate Estimation on Earphones with Adaptive Noise Suppression
[NO] 74/200 | Sequential Linear Contracts on Matroids
[NO] 75/200 | Constrained Dynamic Gaussian Splatting
[NO] 76/200 | MatGPTQ: Accurate and Efficient Post-Training Matryoshka Quantization
[NO] 77/200 | D3PIA: A Discrete Denoising Diffusion Model for Piano Accompaniment Generation From Lead sheet
[NO] 78/200 | QRC-Lab: An Educational Toolbox for Quantum Reservoir Computing
[NO] 79/200 | Learning to Reason Faithfully through Step-Level Faithfulness Maximization
[NO] 80/200 | Reparameterization Flow Policy Optimization
[NO] 81/200 | Least but not Last: Fine-tuning Intermediate Principal Components for Better Performance-Forgetting Trade-Offs
[NO] 82/200 | Detecting and Explaining Malware Family Evolution Using Rule-Based Drift Analysis
[NO] 83/200 | When Routing Collapses: On the Degenerate Convergence of LLM Routers
[NO] 84/200 | Design of a 60.8 K superconducting hydride LiMgZr2H12 at ambient pressure via Lithium doping
[NO] 85/200 | Reading Between the Code Lines: On the Use of Self-Admitted Technical Debt for Security Analysis
