[2026-07-05 11:00:45] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-04
正在获取论文...
[ACM] 2026-7-4 | Digital Twins for Science and Industry
[ACM] 2026-7-5 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[ACM] 2026-7-5 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[ACM] 2026-7-5 | How Robustly Do LLMs Understand Execution Semantics?
[ACM] 2026-7-4 | Automated Ontology Construction: An AI Framework for Research Software Engineering
[ACM] 2026-7-4 | Building Better Research Software (Are you sure?): Why Technical Refactoring Does Not Lead To Software Quality
[ACM] 2026-7-4 | Preliminary Usability Experimentation of a Pattern-Driven Middleware for IoT Data Processing in Research Environments
[ACM] 2026-7-4 | Enabling Digital Twins in Built Environments with Object-Oriented Models
[ACM] 2026-7-4 | Generative AI-Based Defense Against Deepfakes in Intelligent Audio Systems
[ACM] 2026-7-4 | QuSim-Join: Provably Optimal Quadratic Speedup in Set Similarity Joins via Quantum Amplitude Estimation
[ACM] 2026-7-4 | Lightweight Deep Learning for Automated Stroke Detection in Non-Contrast CT Imaging
[ACM] 2026-7-4 | Automating the Handoff: From Hardcoded QC Scripts to a Multi-Agent Architecture for Layout- to-Animation Reviews
[ACM] 2026-7-4 | Towards a Graphics-Silicon Gymnasium to Shape the Future of Micro-Embodied AI
[ACM] 2026-7-5 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[ACM] 2026-7-5 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[ACM] 2026-7-5 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[ACM] 2026-7-4 | Predicting Benefits from Event Logs using Generative AI
[ACM] 2026-7-4 | An Adversarial-Attack Approach to Assess Bias in Text-to-Image Models
[ACM] 2026-7-4 | Quantum Index Advisors: Beyond Configuration Selection?
[ACM] 2026-7-5 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[ACM] 2026-7-5 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
[ACM] 2026-7-4 | Accessing Web3 Onboarding and Trust via Vipps
[ACM] 2026-7-4 | Challenge: What Does Context Mean for Research Software?
[ACM] 2026-7-4 | Evaluating ML Methods for Classifying RSE Personas on GitHub
[ACM] 2026-7-4 | A Construction of Precision Agriculture for Tea Plantation Using Green Energy Mechanism
[ACM] 2026-7-4 | A Study of International Standards for Safe and Responsible AI for the Brazilian National Council of Justice
[ACM] 2026-7-4 | Reliable SOC LLM Agent with Workflow Generation
[ACM] 2026-7-4 | Automating Gold Market: An N8N LINE Chatbot Approach
[ACM] 2026-7-5 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[ACM] 2026-7-4 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[ACM] 2026-7-4 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[ACM] 2026-7-4 | Previs to Final Pixels: Rethinking feature animation production in real-time
[ACM] 2026-7-4 | Quantum Hypergraph Partitioning
[ACM] 2026-7-4 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[ACM] 2026-7-5 | A Dataset of Agentic AI Coding Tool Configurations
[ACM] 2026-7-4 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[ACM] 2026-7-4 | KPop Chibi Face
[ACM] 2026-7-4 | A Toolbox to Understand the Physics of Quantum Data Management
[ACM] 2026-7-5 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[ACM] 2026-7-4 | LINE Health Today: An n8n Automation Workflow for Accessible Public Health Communication
[ACM] 2026-7-4 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[ACM] 2026-7-5 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[ACM] 2026-7-4 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[ACM] 2026-7-4 | Designing AI-Powered Healthcare Applications with No-Code Tools: A Usability Study Using Design Sprint Methodology
[ACM] 2026-7-4 | Mitigating Diversity Decline in Low-Resource Text Generation: A Rewrite-and-Select Framework with Training-Time Optimization
[ACM] 2026-7-4 | Anonymous-by-Construction: An LLM-Driven Framework for Privacy-Preserving Text
[ACM] 2026-7-4 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[ACM] 2026-7-5 | AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability
[ACM] 2026-7-5 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
[ACM] 2026-7-5 | Collaborator or Assistant? How AI Coding Agents Partition Work across Pull Request Lifecycles
[ACM] 2026-7-4 | Experiments in Gaussian Splatting for VFX Scene Reconstruction
[ACM] 2026-7-4 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Frontiers
[ACM] 2026-7-4 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[ACM] 2026-7-4 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[ACM] 2026-7-4 | Intelligent integration of data on software ecosystem platforms to support data-intensive applications
[ACM] 2026-7-4 | When Code Meets Things: The FLOSS Side of IoT Systems
[ACM] 2026-7-4 | BreachT5: Ensembling CodeT5+ Models for Multi-Label Vulnerability Detection in Smart Contracts
[ACM] 2026-7-4 | Proceedings of the 3rd workshop on Quantum Computing and Quantum-Inspired Technology for Data-Intensive Systems and Applications
[ACM] 2026-7-4 | Enhancing Air Pollution Awareness in Bangkok: A Mobile HCI Approach Integrating Real-Time Alerts and Gamification
[ACM] 2026-7-4 | Mobile-ARTiFACT: An Augmented Reality Learning Platform for Cultural Heritage Digitization and Education
[ACM] 2026-7-4 | Philos: A DSRM Method for improving Interoperability in Systems-of-Information-Systems through API Semantic Analysis
[ACM] 2026-7-5 | SWE-Bench+: Enhanced LLM Coding Benchmark
[ACM] 2026-7-4 | Smart Set Assembly
[ACM] 2026-7-4 | An Agentic LLM Framework for Inventory Replenishment Planning in E-Commerce SMEs
[ACM] 2026-7-4 | Connecting Probabilistic Databases to Quantum Computing and Tensor Networks via Graphical Models
[ACM] 2026-7-5 | From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines
[ACM] 2026-7-5 | VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots
[ACM] 2026-7-5 | Co-located Tests, Better AI Code: How Test Syntax Structure Affects Foundation Model Code Generation
[ACM] 2026-7-5 | Detecting Unsoundness in Neural Network Verifiers via Concrete–Abstract Consistency
[ACM] 2026-7-4 | CTRL-G: Controllable Generative Graphics for Games
[ACM] 2026-7-4 | Proceedings of the Digital Production Symposium
[ACM] 2026-7-4 | From Brief to Scene: Agentic AI for Asset Production at Ubisoft
[ACM] 2026-7-4 | Adding Workflow to a Workbench for Digital Geosystems for a more agile Research Software Engineering approach
[ACM] 2026-7-4 | The Energy Consumption Graph: A Model-Based Architecture for IIoT-based Industrial Energy Auditing
[ACM] 2026-7-5 | Using Mutation-Analysis to Examine an LLM's Ability to Summarize Code
共写入 100 条记录，保存到 papers/paper2026-07-04.json。
论文获取成功，文件路径: papers/paper2026-07-04.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Digital Twins for Science and Industry
[NO] 2/100 | Graphics In Medicine: From the Dev Floor to the Operating Room 2
[NO] 3/100 | Creating Wireless Sensor Network Target Tracking Strategy and Data Fusion Based on Blockchain Technology Integration
[NO] 4/100 | An IoT-Based Smart Bedside Information System with Hybrid Encryption for Healthcare Applications
[NO] 5/100 | Blockchain Reputation Oracles: An MCP-Based Study
[NO] 6/100 | Opportunities and Challenges for Data Quality in the Era of Quantum Computing
[NO] 7/100 | Characterizing the Set of Information Systems of a Brazilian State Court as a System-of-Systems
[NO] 8/100 | ObsAct: a Programming Model for Opportunistic IoT Applications using the Mobile-Hub
[NO] 9/100 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[NO] 10/100 | The Previs Battleground: Precision Planning vs Creative Freedom
[NO] 11/100 | Deterministic vs. LLM-Controlled Orchestration for COBOL-to-Python Modernization
[NO] 12/100 | Proceedings of the 8th International Workshop on Emerging Trends in Software Engineering for Blockchain
[NO] 13/100 | Towards an Intelligent Platform for Supporting Quality Assessment in Blockchain Systems
[NO] 14/100 | A Proof of Success and Reward Distribution Protocol for Multi-bridge Architecture in Cross-chain Communication
[NO] 15/100 | The Gas Burn Identity: Early Detection of Gas-Intensive Functions and Patterns in Smart Contracts
[NO] 16/100 | BLISS: A Visual Modeling Notation for Engineering Energy-Harvesting IoT Systems
[NO] 17/100 | Proceedings of the 2025 Special Interest Group on Computer Graphics and Interactive Techniques Conference Panels
[NO] 18/100 | Aided Design Approach for Creating Sticker LINE Cartoon Characters by Stable Diffusion Model
[NO] 19/100 | Executable but Unlearnable: Designing Code That Resists LLM-Based Learning
[NO] 20/100 | Do Agents Dream of Root Shells? Partial-Credit Evaluation of LLM Agents in Capture the Flag Challenges
[NO] 21/100 | Software Engineering for Renewable Energy Research
[NO] 22/100 | Application of Technology Readiness Level to Research Software
[NO] 23/100 | Proceedings of the 2026 International Workshop on Responsible AI Engineering
[NO] 24/100 | A Wearable Shader-ball (Invited Talk)
[NO] 25/100 | Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV &amp; Live Events
[NO] 26/100 | Evolving Competencies in Blockchain Engineering: A Longitudinal Replication Study
[NO] 27/100 | AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub
[NO] 28/100 | Neural-Symbolic Multi-objective Optimization for Performance-Aware ORM Database Design
[NO] 29/100 | How Robustly Do LLMs Understand Execution Semantics?
[NO] 30/100 | Automated Ontology Construction: An AI Framework for Research Software Engineering
[NO] 31/100 | Building Better Research Software (Are you sure?): Why Technical Refactoring Does Not Lead To Software Quality
[NO] 32/100 | Preliminary Usability Experimentation of a Pattern-Driven Middleware for IoT Data Processing in Research Environments
[NO] 33/100 | Enabling Digital Twins in Built Environments with Object-Oriented Models
[NO] 34/100 | Generative AI-Based Defense Against Deepfakes in Intelligent Audio Systems
[NO] 35/100 | QuSim-Join: Provably Optimal Quadratic Speedup in Set Similarity Joins via Quantum Amplitude Estimation
[NO] 36/100 | Lightweight Deep Learning for Automated Stroke Detection in Non-Contrast CT Imaging
[NO] 37/100 | Automating the Handoff: From Hardcoded QC Scripts to a Multi-Agent Architecture for Layout- to-Animation Reviews
[NO] 38/100 | Towards a Graphics-Silicon Gymnasium to Shape the Future of Micro-Embodied AI
[NO] 39/100 | Accountable Agents in Software Engineering: An Analysis of Terms of Service and a Research Roadmap
[NO] 40/100 | Zombie Agents: Detecting Semantic Livelock in Long-Horizon Autonomous Software
[NO] 41/100 | VeriTrans: Fine-Tuned LLM-Assisted NL→PL Translation via a Deterministic Neuro-symbolic Pipeline
[NO] 42/100 | Predicting Benefits from Event Logs using Generative AI
[NO] 43/100 | An Adversarial-Attack Approach to Assess Bias in Text-to-Image Models
[NO] 44/100 | Quantum Index Advisors: Beyond Configuration Selection?
[NO] 45/100 | Fixpad++: Automated Bug Fix Verification using LLM Agents
[NO] 46/100 | Artifact Readiness Gates with Saturation Stop Rules and Host-Parity Admissibility for FM Release Evaluation
[NO] 47/100 | Accessing Web3 Onboarding and Trust via Vipps
[NO] 48/100 | Challenge: What Does Context Mean for Research Software?
[NO] 49/100 | Evaluating ML Methods for Classifying RSE Personas on GitHub
[NO] 50/100 | A Construction of Precision Agriculture for Tea Plantation Using Green Energy Mechanism
[NO] 51/100 | A Study of International Standards for Safe and Responsible AI for the Brazilian National Council of Justice
[NO] 52/100 | Reliable SOC LLM Agent with Workflow Generation
[NO] 53/100 | Automating Gold Market: An N8N LINE Chatbot Approach
[NO] 54/100 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[NO] 55/100 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[NO] 56/100 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[NO] 57/100 | Previs to Final Pixels: Rethinking feature animation production in real-time
[NO] 58/100 | Quantum Hypergraph Partitioning
[NO] 59/100 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[NO] 60/100 | A Dataset of Agentic AI Coding Tool Configurations
[NO] 61/100 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[NO] 62/100 | KPop Chibi Face
[NO] 63/100 | A Toolbox to Understand the Physics of Quantum Data Management
[NO] 64/100 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[NO] 65/100 | LINE Health Today: An n8n Automation Workflow for Accessible Public Health Communication
[NO] 66/100 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[NO] 67/100 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[NO] 68/100 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[NO] 69/100 | Designing AI-Powered Healthcare Applications with No-Code Tools: A Usability Study Using Design Sprint Methodology
[NO] 70/100 | Mitigating Diversity Decline in Low-Resource Text Generation: A Rewrite-and-Select Framework with Training-Time Optimization
[NO] 71/100 | Anonymous-by-Construction: An LLM-Driven Framework for Privacy-Preserving Text
[NO] 72/100 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[NO] 73/100 | AgentTelemetry: A Fault Detection Benchmark and Toolkit for LLM Agent Observability
[NO] 74/100 | REBench: A Procedural, Fair-by-Construction Benchmark for LLMs on Stripped-Binary Types and Names
[NO] 75/100 | Collaborator or Assistant? How AI Coding Agents Partition Work across Pull Request Lifecycles
[NO] 76/100 | Experiments in Gaussian Splatting for VFX Scene Reconstruction
[NO] 77/100 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Frontiers
[NO] 78/100 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[NO] 79/100 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[NO] 80/100 | Intelligent integration of data on software ecosystem platforms to support data-intensive applications
[NO] 81/100 | When Code Meets Things: The FLOSS Side of IoT Systems
[NO] 82/100 | BreachT5: Ensembling CodeT5+ Models for Multi-Label Vulnerability Detection in Smart Contracts
[NO] 83/100 | Proceedings of the 3rd workshop on Quantum Computing and Quantum-Inspired Technology for Data-Intensive Systems and Applications
[NO] 84/100 | Enhancing Air Pollution Awareness in Bangkok: A Mobile HCI Approach Integrating Real-Time Alerts and Gamification
[NO] 85/100 | Mobile-ARTiFACT: An Augmented Reality Learning Platform for Cultural Heritage Digitization and Education
[NO] 86/100 | Philos: A DSRM Method for improving Interoperability in Systems-of-Information-Systems through API Semantic Analysis
[NO] 87/100 | SWE-Bench+: Enhanced LLM Coding Benchmark
[NO] 88/100 | Smart Set Assembly
[NO] 89/100 | An Agentic LLM Framework for Inventory Replenishment Planning in E-Commerce SMEs
[NO] 90/100 | Connecting Probabilistic Databases to Quantum Computing and Tensor Networks via Graphical Models
[NO] 91/100 | From Assistance to Agency: Rethinking Autonomy and Control in CI/CD Pipelines
[NO] 92/100 | VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots
[NO] 93/100 | Co-located Tests, Better AI Code: How Test Syntax Structure Affects Foundation Model Code Generation
[NO] 94/100 | Detecting Unsoundness in Neural Network Verifiers via Concrete–Abstract Consistency
[NO] 95/100 | CTRL-G: Controllable Generative Graphics for Games
[NO] 96/100 | Proceedings of the Digital Production Symposium
[NO] 97/100 | From Brief to Scene: Agentic AI for Asset Production at Ubisoft
[NO] 98/100 | Adding Workflow to a Workbench for Digital Geosystems for a more agile Research Software Engineering approach
[NO] 99/100 | The Energy Consumption Graph: A Model-Based Architecture for IIoT-based Industrial Energy Auditing
[NO] 100/100 | Using Mutation-Analysis to Examine an LLM's Ability to Summarize Code
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-07-04.json。
邮件发送成功！
[2026-07-05 11:20:29] 任务执行成功！
