[2026-07-15 10:43:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Unknotting number, ribbon concordance, and singular instantons
[arXiv] 2026-07-14 | Inhibited Self-Attention: Sharpening Focus in Vision Transformers
[arXiv] 2026-07-14 | From Manifold Identification to Newton Acceleration on Intersections: Sparse Stiefel Optimization
[arXiv] 2026-07-14 | Superstatistical Analysis of PDFs and autocorrelation functions for air pollution concentrations in the UK
[arXiv] 2026-07-14 | MetaInfer: A Knowledge Only LLM Inference Engine Generator SKILL Toolbox
[arXiv] 2026-07-14 | Graph-space well-posedness for diffusion equations with degenerate instantaneous diffusion
[arXiv] 2026-07-14 | End-to-End Quantum Key Distribution Across Hybrid Fiber and Free-Space Links with All-Optical Encoding Conversion
[arXiv] 2026-07-14 | Southern massive stars at high angular resolution: WR 25 is a massive hierarchical triple system
[arXiv] 2026-07-14 | Contrast-Free ICA and Causal Inference via Wasserstein Distances to the Gaussian
[arXiv] 2026-07-14 | Knowledgeless Language Models: Suppressing Parametric Recall for Evidence-Grounded Language Modeling
[arXiv] 2026-07-14 | EP-FXT Observations of Abell 1795: X-ray Properties and Structure out to $R_{200}$
[arXiv] 2026-07-14 | Supernova Neutrinos and the Origin of Biomolecular Homochirality
[arXiv] 2026-07-14 | Dispersion-Guided Physics-Aware Deep Inverse Operator for Surface Wave Mode Separation
[arXiv] 2026-07-14 | Spatial-Frequency Cued Generative Fixed-Filter Active Noise Control Based on Deep Learning in Reverberant Environments
[arXiv] 2026-07-14 | Enhanced wavefront sensing for the Roman Coronagraph Instrument: Gaussian probes and compact model validation
[arXiv] 2026-07-14 | A Least Squares Weak Galerkin Finite Element Method for Fokker-Planck Type Equations
[arXiv] 2026-07-14 | A Variational Surrogate Approach to Finite-Horizon Quantum Control via Hardware-Efficient Ansatz
[arXiv] 2026-07-14 | On interacting non-Abelian antisymmetric tensor field models
[arXiv] 2026-07-14 | Silent Alarm: A J-Space Protocol for Comparing Danger Recognition Across Models and Quantization Levels
[arXiv] 2026-07-14 | Learning-enabled Acceleration of Scenario-based Model Predictive Control
[arXiv] 2026-07-14 | EvoGraph-R1: Self-Evolving Multimodal Knowledge Hypergraphs for Agentic Retrieval
[arXiv] 2026-07-14 | Constraint-Aware Aggregation for Federated Reinforcement Learning in Microgrid Energy Coordination
[arXiv] 2026-07-14 | Scalable Multi-BD Access for OFDM-Based Symbiotic Backscatter Communications
[arXiv] 2026-07-14 | A nonlocal elliptic problem on a Heisenberg group
[arXiv] 2026-07-14 | Epistemic Stance Flexibility Probing: Measuring Prompt-Conditioned Register Shift in Large Language Models
[arXiv] 2026-07-14 | Homogenization of the Navier-Stokes-Cahn-Hilliard system in the small-hole regime
[arXiv] 2026-07-14 | An internal shock model calibrated with real gamma-ray burst light curves using a genetic algorithm
[arXiv] 2026-07-14 | Learning-based Probabilistic Load Forecasting with Post-hoc and In-model Uncertainty
[arXiv] 2026-07-14 | Ascent and descent of bounded linear operators
[arXiv] 2026-07-14 | Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities
[arXiv] 2026-07-14 | Auditable and Transparent Fully Authenticated Disk Encryption via USB Storage Interposition
[arXiv] 2026-07-14 | Superimposed Transmission for Cooperative Cellular and Cell-Free Massive MIMO Systems
[arXiv] 2026-07-14 | Symbiotic binaries in the Gaia data. II. Symbiotic candidates from general variability classification in DR3
[arXiv] 2026-07-14 | Stability Analysis of Grid-Following and Grid-Forming Converters Connected to Generators
[arXiv] 2026-07-14 | ngVLTI: Cost and Feasibility of a Four-Telescope VLTI Expansion for Milliarcsecond-Scale Imaging
[arXiv] 2026-07-14 | Symbiotic binaries in the Gaia data. I. Known symbiotics in DR3 and FPR
[arXiv] 2026-07-14 | From Critic to Confidence: PPO for Language-Based Quantitative Prediction with Confidence Estimation
[arXiv] 2026-07-14 | The subsonic limit of the 3D Zakharov system
[arXiv] 2026-07-14 | MambaPSA: A Mamba-based Replacement for C2PSA in YOLO26
[arXiv] 2026-07-14 | Maximizing All-Paths Phylogenetic Diversity: Parameterized Approaches for Networks
[arXiv] 2026-07-14 | Virtual Chromoendscopy with Tunable Visibility Enhancement
[arXiv] 2026-07-14 | Physically Aware Radiomics Without Interpolation: Disentangling Voxel Geometry and Signal Modification in CT and MRI
[arXiv] 2026-07-14 | Ring-Zero: Scaling Zero RL to a Trillion Parameters for Emergent Reasoning
[arXiv] 2026-07-14 | ReDiTT: Retrieval Augmented Conditional Diffusion Transformers for Asynchronous Time Series
[arXiv] 2026-07-14 | Measurement-induced phase transition in space
[arXiv] 2026-07-14 | PM-Bench: Evaluating Prospective Memory in LLM Agents
[arXiv] 2026-07-14 | SeamGen: Artist-Aligned UV Seam Generation via Graph Flow Matching
[arXiv] 2026-07-14 | Coloring $(P_6,C_4)$-free graphs with $Δ- 1$ colors
[arXiv] 2026-07-14 | Lost in Visual Translation: A VLM-Assisted Perceptual-Semantic Coherence Framework for EEG-to-Image Reconstruction
[arXiv] 2026-07-14 | Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements
[arXiv] 2026-07-14 | Cover numbers by graph families bounded by certain graph parameters
[arXiv] 2026-07-14 | Reduction of relative multisymplectic manifolds
[arXiv] 2026-07-14 | Forecasting Inflation with Microdata: An Adaptive Machine Learning Approach
[arXiv] 2026-07-14 | Skills That Don't Exist: A Large-Scale Study of Hallucinated Skill Recommendation in LLM Agents
[arXiv] 2026-07-14 | Gradient Flow Dynamics and Implicit Bias of Diagonal Linear Networks under Infinitesimal Initialization
[arXiv] 2026-07-14 | Peak-Decomposition-Free Inverse Metrology of Hyperspectral Moiré Photoluminescence
[arXiv] 2026-07-14 | DM-KG: A Novel Method for Boosting Spatial Cognition of Vision-Language Models in Street View Imagery
[arXiv] 2026-07-14 | Meromorphic Group Actions and the Support Theorem for Lagrangian Fibrations
[arXiv] 2026-07-14 | Selective avoidance of multiple line-of-sight obstacles at 130~m using locally bending space-time wave packets
[arXiv] 2026-07-14 | Solvent Mixing Effect on Free-Energy Barrier and Stability for Molecular Recognition Driven by the Translational Motion of Solvent Molecules
[arXiv] 2026-07-14 | Adaptive Cross-Modal Fusion with Sparse Attention for Pedestrian Crossing Intention Prediction
[arXiv] 2026-07-14 | Asymptotic forms of the Ursell edge waves on a gently sloping beach
[arXiv] 2026-07-14 | SlimPer: Make Personalization Model Slim and Smart
[arXiv] 2026-07-14 | Auditing Data Leakage in Whole-Slide Image Multimodal Benchmarks
[arXiv] 2026-07-14 | Quantum Port-Hamiltonian Neural Networks: Learning Conservative and Dissipative Dynamics via Measurement-Induced Nonlinearity
[ACM] 2026-7-14 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[ACM] 2026-7-14 | Pashboard: Modernizing Rez for Animation
[ACM] 2026-7-14 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[IEEE] 2026-7-14 | Author Index
[IEEE] 2026-7-14 | 2026 IEEE 6th International Conference on Smart Information Systems and Technologies (SIST)
[IEEE] 2026-7-14 | Ka-Band Rectangular Micro-Coaxial-Line Bandpass Filters With CT Coupling Topologies for Satcom Application
[IEEE] 2026-7-14 | Modulation of Carbon-Doped Buffer on the DC and Small-Signal Characteristics of AlGaN/GaN HEMTs on Si
[IEEE] 2026-7-14 | Crystal-Face-Dependent Electron Mobility Due to Distinct Interface Trap Distributions in SiC n-Channel MOSFETs
[IEEE] 2026-7-14 | Finite Element Analysis of Core Loss Under High-Low Frequency Composite Wave Excitation
[IEEE] 2026-7-14 | Physically Informed Generalized Graph Signal Reconstruction for DoA Estimation in Switch-Based Hybrid Arrays
[IEEE] 2026-7-14 | From Virtual Live Entertainment to Real-Time Telepresence: Interoperable and Latency-Aware End-to-End Avatar Pipelines
[IEEE] 2026-7-14 | Generalized Udwadia–Kalaba-Based Robust Control for Humanoid Robot Lower Limbs Under Comprehensive Constraints
[IEEE] 2026-7-14 | SMP-RCR: A Sparse Multipoint Moment Matching Method for RC Reduction
[IEEE] 2026-7-14 | Beyond Carving: Deterministic Deleted File Recovery in Btrfs
[IEEE] 2026-7-14 | A series pulse multiplication circuit to reduce the autotransformer rectifier input current THD of electric-powered aircraft
[IEEE] 2026-7-14 | A Coupling Matrix Assisted Multi-Objective Optimization Scheme for Filters With Arbitrary Topology
[IEEE] 2026-7-14 | Bias correction of satellite precipitation products near the data-scarce region of Al-Ahsa, Saudi Arabia_supp1-3708749.docx
[IEEE] 2026-7-14 | Optimal Techno-Economic Assessment of Battery–Hydrogen Hybrid Energy Systems Using Genetic Algorithms and LSTM-Based Solar Forecasting
[IEEE] 2026-7-14 | Interference in Spectrum-Sharing Integrated Terrestrial and Satellite Networks: Modeling, Approximation, and Robust Transmit Beamforming
[IEEE] 2026-7-14 | An Autonomous Flight System for Small-Sized Drones Using Circular Buffered Hash Data Structure
[IEEE] 2026-7-14 | Environment-Aware Path Loss Prediction Using Panoramic Images for Vehicular Communications
[IEEE] 2026-7-14 | Evaluation on the AC Copper Loss of an Axial Flux Vernier Machine with Different Winding Layouts
[IEEE] 2026-7-14 | Multimodal Fusion of EIS and Fiber-Optic Features for Cross-Chemistry SOC Estimation
[IEEE] 2026-7-14 | Universal Framework for Integrating New Concepts Into Ontologies Across Multiple Domains
[IEEE] 2026-7-14 | Design and Performance Assessment of Intermediary Coils for Misalignment Tolerance Improvement in Wireless Power Transfer Systems
[IEEE] 2026-7-14 | Electric Engine Technology Review in eVTOL Aircraft for Transportation Electrification
[IEEE] 2026-7-14 | Scalable User Admission Control in Large-Scale Cell-Free Massive MIMO
[IEEE] 2026-7-14 | A Deep Learning Model for Anomaly Detection in Video Using Object Segmentation and Localization
[IEEE] 2026-7-14 | Simulation and Optimization of a Hybridized Solar PV-CHP-Biomass Energy System using the Differential Evolution Algorithm
[IEEE] 2026-7-14 | Asymmetric Reliability-Enhanced Scheduler Based on Heterogeneous Cellular Networks in Remote Driving Scenarios
[IEEE] 2026-7-14 | Flying-Wing UAS Multi-Objective Design Optimization via Cross-Entropy Method
[IEEE] 2026-7-14 | Contribution-Aware Coalition Federated Learning in Edge-Assisted Healthcare Monitoring Systems
[IEEE] 2026-7-14 | A Single-Phase Eleven-Level Inverter with Asymmetrical T-Type Structure
[IEEE] 2026-7-14 | Analyzing Discovery Dynamics in Zigbee IoT Networks
[IEEE] 2026-7-14 | Design of a Low-Frequency Enclosed Differential Driver-Pickup Eddy-Current Sensor for Surface Defect Detection in Reformer Tubes
[IEEE] 2026-7-14 | Q-Learning for 3D Coverage in VCSEL-based Optical Wireless Systems
[IEEE] 2026-7-14 | VN-Dict: Lightweight Authenticated Spatial Queries over Hybrid-Storage Blockchain
[IEEE] 2026-7-14 | E-Health: AI based Stroke Prediction with Optimized Active Learning using Fog Computing
[IEEE] 2026-7-14 | Correlation between Magnetism and Stacking in Sr Hexaferrites
[IEEE] 2026-7-14 | Trajectory Tracking Control Design for Autonomous Helicopters with Guaranteed Error Bounds
[IEEE] 2026-7-14 | Comparison of Single-Stage and Two-Stage Isolated High Power AC/DC Converter
[IEEE] 2026-7-14 | Joint CFAR and Resource Allocation Optimization for Distributed 6G ISAC Systems
[IEEE] 2026-7-14 | Learning-Based Resource Management and Bitrate Adaptation for UAV Video Streaming over Low-Altitude Wireless Networks
[IEEE] 2026-7-14 | An Effective Underwater Acoustic Physical Layer Encryption Communication Mechanism based on Dynamic Spatio-temporal Channel Feature
[IEEE] 2026-7-14 | Development of a Digital Twin for Electrified Aircraft Powertrain Health Management
[IEEE] 2026-7-14 | Optimization and Fuel Property Characterization of Bio-oil from Catalytic Pyrolysis of Achyranthes aspera Wood Residue Using Zeolite Y Catalyst
[IEEE] 2026-7-14 | Design and Implemetation of a Smart Temperatutecontrolled Environment Using Microcontroller and Fuzzy Logic
[IEEE] 2026-7-14 | BEOL-Compatible Spin-Orbit Torque Device Enabled by a Noncollinear Antiferromagnet
[IEEE] 2026-7-14 | Location-Informed Edge Server Selection in Integrated Access Backhaul-Enabled 6G Networks
[IEEE] 2026-7-14 | Strategies for the Disposal of Spacecraft of the National Earth Remote Sensing Constellation of the Republic of Kazakhstan
[IEEE] 2026-7-14 | Reliable LLM-enabled Intent-driven Management: A Validation pipeline for Network Automation
[IEEE] 2026-7-14 | Broadband Double-Layer Electromagnetic Wave Absorber Using $\text{Nd}_{2} \text{Fe}_{17} \mathrm{N}_{3}$ with Planar Magnetocrystalline Anisotropy
[IEEE] 2026-7-14 | Design of a Phase-Shifted Full-Bridge Converter for Intermediate Bus Architecture
[IEEE] 2026-7-14 | Universal Costas Matrices: Towards a General Framework for Costas Array Construction
[IEEE] 2026-7-14 | Beamforming for Multiuser LEO Satellite Communications with Irregular Tiled Array
[IEEE] 2026-7-14 | A Unified Off-Board Charger for Three-Phase Inductive and Single-Phase Conductive EV Charging
[IEEE] 2026-7-14 | Common Mode Voltage Mitigation in Wireless Charging of Electric Vehicles
[IEEE] 2026-7-14 | The Classical Mechanics Methods in Problems of Optimization of Robotic Systems Using the Niryo one Platform
[IEEE] 2026-7-14 | Unleashing Uplink Potential: AI-Driven Channel Selectivity Matching via Compressed Channel State Information
[IEEE] 2026-7-14 | Mathematical Modeling of Security-Aware Cyber-Physical Systems Using Pseudodifferential Operators
[IEEE] 2026-7-14 | Satellite-Based Deep Learning Models for Mineral Exploration
[IEEE] 2026-7-14 | Robust Beamforming for Multi-UAV Systems under Attitude Jitter via Multi-Agent Reinforcement Learning
[IEEE] 2026-7-14 | New Results On q-Shaba Differential Operator on Subfamily of Bi-Starlike Functions linked with Four Leaf Domain
[IEEE] 2026-7-14 | Magnetic Tunnel Junctions for Reservoir Computing Applications
[IEEE] 2026-7-14 | Assessment of Biomechanical Parameters of Physical Exercises Based on Computer Vision
[IEEE] 2026-7-14 | Easy-Axis Reorientation Analysis of Magnetic Nanoparticles Using BD-kMC Simulations
[IEEE] 2026-7-14 | Simultaneous Source Separation, Synchronization, Localization and Mapping for 6G Systems
[IEEE] 2026-7-14 | Coupling of Multi-Scale Investigation Methods to Study Microstructural Related Magnetic Properties and Domain Structure of Electrical Steel Material
[IEEE] 2026-7-14 | CA-AC-MPC: CUDA-Accelerated Actor-Critic Model Predictive Control
[IEEE] 2026-7-14 | Optimized Resource Orchestration for LoRa Networks in CS-enabled SHM
[IEEE] 2026-7-14 | DILoc: Replay-Based Domain-Incremental Learning for Lifelong Multimodal WiFi–Magnetic Indoor Localization
[IEEE] 2026-7-14 | How Ubiquitous Slow Charging Saves Transportation Electrification Costs in Metropolitan Areas
[IEEE] 2026-7-14 | SALT-V: Lightweight Authentication for 5G V2X Broadcasting
[IEEE] 2026-7-14 | From Ghosts to Beams: Radar-Guided LoS/NLoS Beam Alignment for 60 GHz Communication
[IEEE] 2026-7-14 | DQRL-Based Dynamic Resource Allocation for Energy-Spectral Efficient Next-Generation Clustered Radio Access Networks
[IEEE] 2026-7-14 | A Review of Soil Characterisation and Effects on Grounding Systems for Effective Lightning Current Dissipation
[IEEE] 2026-7-14 | Learnware-Enabled Deployment for Deep Learning-based CSI Feedback
[IEEE] 2026-7-14 | CSIT-Driven Spectral Precoding for Sidelobe Suppression in Multicarrier Modulation
[IEEE] 2026-7-14 | Enhanced Physical Layer Authentication via Robust and Trustworthy Sensing
[IEEE] 2026-7-14 | Augmented Edge–Cloud Service Orchestration: A Twin-Driven Coupling approach
[IEEE] 2026-7-14 | Security Evaluations of Post-Quantum Cryptographic Primitives Against Quantum and AI-Based Attacks
[IEEE] 2026-7-14 | A Three-Dimensional Path Loss Model for THz Band Aerial Communications
[IEEE] 2026-7-14 | Joint Constrained Coding and Iterative Consensus Reconstruction for DNA-Based Molecular Communication
[IEEE] 2026-7-14 | An Adaptive Method for Cybersecurity Requirements Management in Software Implementation
[IEEE] 2026-7-14 | Learning to Separate RF Signals Under Uncertainty: Detect-Then-Separate vs. Unified Joint Models
[IEEE] 2026-7-14 | Synergizing Standards of Project Management With Ai-Driven Support: Challenges and Opportunities for Future Project Governance
[IEEE] 2026-7-14 | Causal AI Framework for Treatment Effect Estimation in Cardiovascular Disease Risk Analysis
[IEEE] 2026-7-14 | UAV-Enabled Short-Packet Communication via Fluid Antenna Systems
[IEEE] 2026-7-14 | MoESEC: A Mixture of Experts Framework for Edge Semantic Communication Networks
[IEEE] 2026-7-14 | Comparative Analysis and Torque Optimization of Three Types of Rotors in Permanent Magnet Synchronous Motors
[IEEE] 2026-7-14 | Care-Setting Prediction Using Complete Blood Count Data Under Class Imbalance
[IEEE] 2026-7-14 | Investigation of Interleaved High Power, High Step-up DC/DC Converters for Fuel Cell Range Extender Vehicles
[IEEE] 2026-7-14 | Congestion-Aware Ant Colony Optimization for Time-Varying Networks in All-Optical Satellite Systems
[IEEE] 2026-7-14 | ReFLect: A Reputation-based Client Selection for Federated Learning in Mobile Networks
[IEEE] 2026-7-14 | Adaptive and Predictive Control of UAS in Train-Drone Delivery System
[IEEE] 2026-7-14 | Spinning Quadrotor: Hover Thrust Augmentation with Passive Lifting Surfaces
[IEEE] 2026-7-14 | SPSA-Based Successive Beamforming for Mobile Satellite Receivers with Phased Arrays
[IEEE] 2026-7-14 | Flexible-Sector 6DMA: Joint Sector Rotation and Antenna Allocation Optimization
[IEEE] 2026-7-14 | Financial Dimensions of ETS Mechanisms in Advancing Sustainable Development
[IEEE] 2026-7-14 | QoS-Aware Effective Energy Efficiency Power Allocation for Slow FAMA Systems
共写入 200 条记录，保存到 papers/paper2026-07-14.json。
论文获取成功，文件路径: papers/paper2026-07-14.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Unknotting number, ribbon concordance, and singular instantons
[NO] 2/200 | Emergence of drifted diffusion in quantum walks with subspace restart
[NO] 3/200 | Online Control via Counterfactual Tracking
[NO] 4/200 | Audio-Native Speech Recognition with a Frozen Discrete-Diffusion Language Model
[NO] 5/200 | Model-Independent Indication for a Localized Anomaly in the Late-Time Expansion History
[NO] 6/200 | The Spectrum Is Not Enough: When Context Helps Time-Series Forecasting
[NO] 7/200 | Shared Bidding Algorithms and Competition: Evidence from Electricity Markets
[NO] 8/200 | Ranks of Elliptic Curves Twisted by Quadratic Forms
[NO] 9/200 | A Noise-Aware Quantum Algorithm for Credit Valuation Adjustments on Real Quantum Hardware
[NO] 10/200 | Controllable Generation of Diverse Dermatological Imagery for Fair and Efficient Malignancy Classification
[NO] 11/200 | Single-Shot High-Energy Muon and Particle Radiography with a Multi-GeV Laser-Wakefield-Accelerator-Driven Source
[NO] 12/200 | The log log jam in Gaussian state tomography
[NO] 13/200 | FormalAnalyticGeo: A Neural-Symbolic Based Framework for Multimodal Analytic Geometry Problem Generation
[NO] 14/200 | Even smaller universal posets
[NO] 15/200 | Ambient geometry via min-max widths of embedded circles
[NO] 16/200 | A Theorem of Wolpert, and some Variations
[NO] 17/200 | Causality and realizability of local operations in quantum field theory
[NO] 18/200 | Maximal Classicalization of Finite-Group Quantum Reference-Frame Noise
[NO] 19/200 | Nonreciprocal Quantum Mpemba Effect
[NO] 20/200 | Generalized symmetry in the vanishing of Ext
[NO] 21/200 | Robustness of Deep Learning Models for PV Power Forecasting under NWP Forecast Errors: A Spatiotemporal and Physically Interpretable Analysis
[NO] 22/200 | Ancilla-Depth Phase Diagrams for Quantum Reference-Frame Comparison
[NO] 23/200 | A Separable Banach Space with a Schauder Basis Which Is Not a Lipschitz Retract of Its Bidual
[NO] 24/200 | Efficient Sequential Calibration with $O(T^{2/3-ε})$ Error Bound
[NO] 25/200 | GPU-Accelerated Optimisation of Symmetric Bidirectional Ultrawideband Coherent Transmission Under Launch Power Constraints
[NO] 26/200 | On Tree-Network Distinguishability and Full Identifiability of Phylogenetic Networks
[NO] 27/200 | Thermal conductivity of dense $npΛ$ matter in neutron star cores
[NO] 28/200 | Magnetic Contributions to Phase Stability in the Co-Ni Binary: A First-Principles CALPHAD Study
[NO] 29/200 | Statistical Non-linear Reconstruction Loss for Image Anomaly Detection
[NO] 30/200 | Proceedings of HLPP 2026: 19th International Symposium on High-Level Parallel Programming and Applications
[NO] 31/200 | Open-KNEAD: Knowledge-grounded Nutrition Estimation via Agentic Decomposition
[NO] 32/200 | Rank-1 Identity Consensus Predicts Gallery Enrollment in 1:N Face Matching More Accurately than Score Thresholding
[NO] 33/200 | A 32-channel event-based bio-signal analog front-end with adaptive delta and pulse frequency encoding
[NO] 34/200 | Analysis of a multispecies cross-diffusion Keller-Segel system with volume filling
[NO] 35/200 | MemOps: Benchmarking Lifecycle Memory Operations in Long-Horizon Conversations
[NO] 36/200 | Searching for Stellar Activity Cycles using Flares II: The TESS CVZ
[NO] 37/200 | Inhibited Self-Attention: Sharpening Focus in Vision Transformers
[NO] 38/200 | From Manifold Identification to Newton Acceleration on Intersections: Sparse Stiefel Optimization
[NO] 39/200 | Superstatistical Analysis of PDFs and autocorrelation functions for air pollution concentrations in the UK
[NO] 40/200 | MetaInfer: A Knowledge Only LLM Inference Engine Generator SKILL Toolbox
[NO] 41/200 | Graph-space well-posedness for diffusion equations with degenerate instantaneous diffusion
[NO] 42/200 | End-to-End Quantum Key Distribution Across Hybrid Fiber and Free-Space Links with All-Optical Encoding Conversion
[NO] 43/200 | Southern massive stars at high angular resolution: WR 25 is a massive hierarchical triple system
[NO] 44/200 | Contrast-Free ICA and Causal Inference via Wasserstein Distances to the Gaussian
[NO] 45/200 | Knowledgeless Language Models: Suppressing Parametric Recall for Evidence-Grounded Language Modeling
[NO] 46/200 | EP-FXT Observations of Abell 1795: X-ray Properties and Structure out to $R_{200}$
[NO] 47/200 | Supernova Neutrinos and the Origin of Biomolecular Homochirality
[NO] 48/200 | Dispersion-Guided Physics-Aware Deep Inverse Operator for Surface Wave Mode Separation
[NO] 49/200 | Spatial-Frequency Cued Generative Fixed-Filter Active Noise Control Based on Deep Learning in Reverberant Environments
[NO] 50/200 | Enhanced wavefront sensing for the Roman Coronagraph Instrument: Gaussian probes and compact model validation
[NO] 51/200 | A Least Squares Weak Galerkin Finite Element Method for Fokker-Planck Type Equations
[NO] 52/200 | A Variational Surrogate Approach to Finite-Horizon Quantum Control via Hardware-Efficient Ansatz
[NO] 53/200 | On interacting non-Abelian antisymmetric tensor field models
[NO] 54/200 | Silent Alarm: A J-Space Protocol for Comparing Danger Recognition Across Models and Quantization Levels
[NO] 55/200 | Learning-enabled Acceleration of Scenario-based Model Predictive Control
[NO] 56/200 | EvoGraph-R1: Self-Evolving Multimodal Knowledge Hypergraphs for Agentic Retrieval
[NO] 57/200 | Constraint-Aware Aggregation for Federated Reinforcement Learning in Microgrid Energy Coordination
[YES] 58/200 | Scalable Multi-BD Access for OFDM-Based Symbiotic Backscatter Communications
[NO] 59/200 | A nonlocal elliptic problem on a Heisenberg group
[NO] 60/200 | Epistemic Stance Flexibility Probing: Measuring Prompt-Conditioned Register Shift in Large Language Models
[NO] 61/200 | Homogenization of the Navier-Stokes-Cahn-Hilliard system in the small-hole regime
[NO] 62/200 | An internal shock model calibrated with real gamma-ray burst light curves using a genetic algorithm
[NO] 63/200 | Learning-based Probabilistic Load Forecasting with Post-hoc and In-model Uncertainty
[NO] 64/200 | Ascent and descent of bounded linear operators
[NO] 65/200 | Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities
[NO] 66/200 | Auditable and Transparent Fully Authenticated Disk Encryption via USB Storage Interposition
[NO] 67/200 | Superimposed Transmission for Cooperative Cellular and Cell-Free Massive MIMO Systems
[NO] 68/200 | Symbiotic binaries in the Gaia data. II. Symbiotic candidates from general variability classification in DR3
[NO] 69/200 | Stability Analysis of Grid-Following and Grid-Forming Converters Connected to Generators
[NO] 70/200 | ngVLTI: Cost and Feasibility of a Four-Telescope VLTI Expansion for Milliarcsecond-Scale Imaging
[NO] 71/200 | Symbiotic binaries in the Gaia data. I. Known symbiotics in DR3 and FPR
[NO] 72/200 | From Critic to Confidence: PPO for Language-Based Quantitative Prediction with Confidence Estimation
[NO] 73/200 | The subsonic limit of the 3D Zakharov system
[NO] 74/200 | MambaPSA: A Mamba-based Replacement for C2PSA in YOLO26
[NO] 75/200 | Maximizing All-Paths Phylogenetic Diversity: Parameterized Approaches for Networks
