[2026-02-25 09:47:46] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-24
正在获取论文...
[arXiv] 2026-02-24 | A Time-Varying and Covariate-Dependent Correlation Model for Multivariate Longitudinal Studies
[IEEE] 2026-2-24 | Behdiffnet: A Hierarchical Diffusion Model for Behavior-Aware Network Traffic Generation
[IEEE] 2026-2-24 | Research on the Improvement of New Energy Incentive Policies Under the Electricity Marketization Reform
[IEEE] 2026-2-24 | A Fault Detection Method for 5G Core Networks Based on Graph Attention Networks
[IEEE] 2026-2-24 | Service Quality of Indonesian Customs Information and Automation System Version 4.0 and Stakeholders' Satisfaction-A Mediation Analysis
[IEEE] 2026-2-24 | UCapsNet: A Hybrid Deep Learning Model for Breast Cancer Classification
[IEEE] 2026-2-24 | SplitFedEE: Balancing Communication and Accuracy
[IEEE] 2026-2-24 | One-Shot Masked Face Identification via Contrastive Representations
[IEEE] 2026-2-24 | A Multimodal and Real-Time Approach for Low-Resource Language Emotion Recognition
[IEEE] 2026-2-24 | Research on Evaluation Method of Power Regulation Capability of Urban Industrial Loads
[IEEE] 2026-2-24 | Resource-Aware Dual-Granularity Synchronization Strategy for Transportation Digital Twin
[IEEE] 2026-2-24 | Frequency-Aware Native Resolution Assessment of 8K Omnidirectional Images
[IEEE] 2026-2-24 | PV Module Handling and Installation Car Based on Visual Recognition
[IEEE] 2026-2-24 | Transformer-Driven Spatio-Temporal Modeling for Explainable Traffic Accident Hotspot Forecasting
[IEEE] 2026-2-24 | SkipSymNet: Skip-Connected Symmetric Network for Robust Small-Sample NIR Spectroscopy
[IEEE] 2026-2-24 | Attention-Enhanced Computer-Aided Diagnosis System for Accurate Classification of Brain Tumor
[IEEE] 2026-2-24 | Fall Detection Based on Radar Sensor with Point Cloud Data using Pointnet-Based Deep Learning
[IEEE] 2026-2-24 | Smart Book Recommendation System with Item-Based Collaborative Filtering to Improve Resource Discovery: A Case Study in Bandung Library
[IEEE] 2026-2-24 | LLM for Telecom Fraud SMS Annotation &amp; Classification: Integrating RAG and Multimodal Knowledge Enhancement
[IEEE] 2026-2-24 | Artificial Neural Network Technique for Non-Latin Ancient Manuscripts' Character Recognition
[IEEE] 2026-2-24 | Deep Neural Networks for Automated Detection of Arrhythmia and Coronary Artery Disease
[IEEE] 2026-2-24 | A CFD Analysis on the Cornerfill Encapsulation Process in BGA Package Subjected to Varying Dispensing Paths
[IEEE] 2026-2-24 | Adaptive Inertia Forecasting via Quantile Regression and KDE–GPD Fusion
[IEEE] 2026-2-24 | On Optimal Energy Efficiency in Low-Rate Wireless Personal Area Networks
[IEEE] 2026-2-24 | Parametric Analysis of Diamond-based Lateral Heat Extraction in 3D Heterogeneous Electronic Systems
[IEEE] 2026-2-24 | Interfacial Reactions of BiIn and SnBi Solders React with Cu Substrate
[IEEE] 2026-2-24 | Priority-Aware Drone Scheduling Using Multi-Armed Bandits with Upper Confidence Bound
[IEEE] 2026-2-24 | Chip Stacking: Impact of Chip Spacing in C2W Hybrid Bonding on Temporary Bonding and Debonding
[IEEE] 2026-2-24 | Carousel: A High-Resolution Dataset for Multi-Target Automatic Image Cropping
[IEEE] 2026-2-24 | Digital Twin and AI-Driven Data Augmentation for Defect Identification in Renewable Energy Equipment
[IEEE] 2026-2-24 | Optimizing Voting Ensemble Strategies for Classifying Student Anxiety Levels Based on Narrative DAAS Responses
[IEEE] 2026-2-24 | Multiclass Classification of Skin Lesions from Imbalanced Dataset A Comparative Analysis of Pretrained Transfer Learning Models
[IEEE] 2026-2-24 | Capacity Planning Strategy for Photovoltaic-Storage-Charging Integrated Stations Considering Sourceload Uncertainty and Battery Aging Characteristics
[IEEE] 2026-2-24 | Design for Testability for VLSI Circuits with A Large Number of Unknown Test Response Sources
[IEEE] 2026-2-24 | Joint Recommendation and Inventory Optimization in Cross-Border E-Commerce via Multimodal PinSAGE and SAC
[IEEE] 2026-2-24 | Enhancing Wafer Bonding Strength Via Surface and Dielectric Modification Using Plasma Activation Process
[IEEE] 2026-2-24 | Attentive Routing: Feasible Routing via Communication-Aware Attention in LEO Satellite Networks
[IEEE] 2026-2-24 | Timing Estimation for Deep Space Optical Communication Signals
[IEEE] 2026-2-24 | An Improved K-means Algorithm based on Density-Weighted Canopy for Typical Wind Power Scenario Extraction
[IEEE] 2026-2-24 | Entropy-Guided Active Learning Framework with Hybrid Acoustic and Deep Self-Supervised Features for Dysarthria Detection
[IEEE] 2026-2-24 | FRGDM: Pre- to Post-Contrast Medical Image Synthesis Based on Diffusion Models
[IEEE] 2026-2-24 | Transfer Learning Enabled Human Imaging in RIS-Aided Communication Systems
[IEEE] 2026-2-24 | Mesh-Based Planning for Distribution Networks Considering the Risk of Voltage Imbalance
[IEEE] 2026-2-24 | Real-Time Anomaly Detection of Advanced Persistent Threats Using Generative Adversarial Networks
[IEEE] 2026-2-24 | On the Natural Frequency of a Coriolis Vibration Gyroscope with a Cylindrical Resonator
共写入 200 条记录，保存到 papers/paper2026-02-24.json。
论文获取成功，文件路径: papers/paper2026-02-24.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | A Time-Varying and Covariate-Dependent Correlation Model for Multivariate Longitudinal Studies
[NO] 2/200 | Topological Floquet Green's function zeros
[NO] 3/200 | On Data Engineering for Scaling LLM Terminal Capabilities
[NO] 4/200 | Spa3R: Predictive Spatial Field Modeling for 3D Visual Reasoning
[NO] 5/200 | Circumventing the CAP Theorem with Open Atomic Ethernet
[NO] 6/200 | Revisiting CPL with sign-switching density: to cross or not to cross the NECB
[NO] 7/200 | HALO: A Unified Vision-Language-Action Model for Embodied Multimodal Chain-of-Thought Reasoning
[NO] 8/200 | RAMSES-MCR: A consistent multi-group treatment of cosmic rays physics in momentum-space with the RAMSES code
[NO] 9/200 | TCDA: Robust 2D-DOA Estimation for Defective L-Shaped Arrays
[NO] 10/200 | Scaling State-Space Models on Multiple GPUs with Tensor Parallelism
[NO] 11/200 | A Benchmark for Deep Information Synthesis
[NO] 12/200 | LUMEN: Longitudinal Multi-Modal Radiology Model for Prognosis and Diagnosis
[NO] 13/200 | SynthRender and IRIS: Open-Source Framework and Dataset for Bidirectional Sim-Real Transfer in Industrial Object Perception
[NO] 14/200 | ReviveMoE: Fast Recovery for Hardware Failures in Large-Scale MoE LLM Inference Deployments
[NO] 15/200 | Extending the Kinetic Mass to Higher Orders in $1/m_Q$
[NO] 16/200 | An Enhanced Projection Pursuit Tree Classifier with Visual Methods for Assessing Algorithmic Improvements
[NO] 17/200 | Vision-Inspired Image Quality Assessment for Radar-Based Human Activity Representations
[NO] 18/200 | Experimental and computational studies of the hydrogenation of carbon disulfide (CS2) on ice analogues
[NO] 19/200 | Generating twisted Cherednik eigenfunctions
[NO] 20/200 | Low eigenvalues of the $p-$Laplacian in general open sets
[NO] 21/200 | Ribbon concordance and fibered predecessors, II: the general case
[NO] 22/200 | Robustness certificates in data-driven non-convex optimization with additively-uncertain constraints
[NO] 23/200 | Stable polynomials and bounded rational functions in the unit ball
[NO] 24/200 | Transcoder Adapters for Reasoning-Model Diffing
[NO] 25/200 | Online Algorithms with Unreliable Guidance
[NO] 26/200 | Probing and Bridging Geometry-Interaction Cues for Affordance Reasoning in Vision Foundation Models
[NO] 27/200 | Unconventional spin valve effect in altermagnets induced by Rashba spin orbit coupling and triplet superconductivity
[NO] 28/200 | A Secure and Interoperable Architecture for Electronic Health Record Access Control and Sharing
[NO] 29/200 | Rethinking Clause Management for CDCL SAT Solvers
[NO] 30/200 | Relationship between ideology and language in the Catalan independence context
[NO] 31/200 | Don't Ignore the Tail: Decoupling top-K Probabilities for Efficient Language Model Distillation
[NO] 32/200 | Pressure Reveals Character: Behavioural Alignment Evaluation at Depth
[NO] 33/200 | Infrared spectropolarimetry of a C-class solar flare footpoint plasma -- I. Spectral features and forward modelling
[NO] 34/200 | Non-negative persymmetric realizability of certain classes of spectra
[NO] 35/200 | Implicit Decision Diagrams
[NO] 36/200 | Real-time Motion Segmentation with Event-based Normal Flow
[NO] 37/200 | Closed-loop control of a monolithically 3D nano-printed electromagnetic lens scanner with an integrated Hall sensor
[YES] 38/200 | Enabling FR2-5G Communication with Dielectric OAM Transmitarrays
[NO] 39/200 | Visual Cooperative Drone Tracking for Open-Path Gas Measurements
[NO] 40/200 | Preserving Hodge Vectors of Lattice Polytopes
[NO] 41/200 | Turing Completeness of GNU find: From mkdir-assisted Loops to Standalone Computation
[NO] 42/200 | Entropy stable numerical schemes for divergence diminishing Chew, Goldberger & Low equations for plasma flows
[NO] 43/200 | Fluctuation-enhanced electron-phonon coupling in FeSe
[NO] 44/200 | Schur-Horn theorem and Ky Fan's minimum principle for symplectic eigenvalues
[NO] 45/200 | OrthoDiffusion: A Generalizable Multi-Task Diffusion Foundation Model for Musculoskeletal MRI Interpretation
[NO] 46/200 | Gravitational wave radiation from periodic orbits in regular black holes
[NO] 47/200 | Adaptive Text Anonymization: Learning Privacy-Utility Trade-offs via Prompt Optimization
[NO] 48/200 | A Novel NPT Thermodynamic Integration Scheme to Derive Rigorous Gibbs Free Energies for Crystalline Solids
[NO] 49/200 | CHESS: Context-aware Hierarchical Efficient Semantic Selection for Long-Context LLM Inference
[NO] 50/200 | Balancing Multiple Objectives in Urban Traffic Control with Reinforcement Learning from AI Feedback
[NO] 51/200 | IG-RFT: An Interaction-Guided RL Framework for VLA Models in Long-Horizon Robotic Manipulation
[NO] 52/200 | Modeling financial transactions via random walks on temporal networks
[NO] 53/200 | F10.7 Index Prediction: A Multiscale Decomposition Strategy with Wavelet Transform for Performance Optimization
[NO] 54/200 | Resonant attenuation of surface acoustic waves by a weakly bonded layer
[NO] 55/200 | RAYNOVA: 3D-Geometry-Free Auto-Regressive Driving World Modeling with Unified Spatio-Temporal Representation
[NO] 56/200 | Grid-Mind: An LLM-Orchestrated Multi-Fidelity Agent for Automated Connection Impact Assessment
[NO] 57/200 | Geometric investigation of chaos unfolding in Hamiltonian systems
[NO] 58/200 | PRECTR-V2:Unified Relevance-CTR Framework with Cross-User Preference Mining, Exposure Bias Correction, and LLM-Distilled Encoder Optimization
[NO] 59/200 | Analytical solutions for long cylindrical shells under radial deformations based on the isotropic relaxed micromorphic continuum
[NO] 60/200 | BBQ-to-Image: Numeric Bounding Box and Qolor Control in Large-Scale Text-to-Image Models
[NO] 61/200 | Bikelution: Federated Gradient-Boosting for Scalable Shared Micro-Mobility Demand Forecasting
[NO] 62/200 | Autonomous Laboratory Agent via Customized Domain-Specific Language Model and Modular AI Interface
[NO] 63/200 | Convergent Lifted Lasserre Hierarchy of SDPs for Minimizing Expectation of Piecewise Polynomial Loss over Wasserstein Balls
[NO] 64/200 | Programming Shapes with Competing Layered Patterns
[NO] 65/200 | PLATOSpec's first results: Three new transiting warm Jupiters from the WINE survey TIC 147027702, TIC 245076932 and TIC 87422071
[NO] 66/200 | DANCE: Doubly Adaptive Neighborhood Conformal Estimation
[NO] 67/200 | An LLM-driven Scenario Generation Pipeline Using an Extended Scenic DSL for Autonomous Driving Safety Validation
[NO] 68/200 | QEDBENCH: Quantifying the Alignment Gap in Automated Evaluation of University-Level Mathematical Proofs
[NO] 69/200 | When can we trust untrusted monitoring? A safety case sketch across collusion strategies
[NO] 70/200 | Almost cohomology of finite-dimensional Lie rings
[NO] 71/200 | A Low Cost Picoseconds Precision Timing and Synchronization Over A Hundred Kilometer
[NO] 72/200 | Grade and Cohen-Macaulayness for DG-modules
[NO] 73/200 | A Case Study on Runtime Verification of a Continuous Deployment Process
[NO] 74/200 | Interaction-aware Representation Modeling with Co-occurrence Consistency for Egocentric Hand-Object Parsing
[NO] 75/200 | OptiLeak: Efficient Prompt Reconstruction via Reinforcement Learning in Multi-tenant LLM Services
[NO] 76/200 | Is the Trigger Essential? A Feature-Based Triggerless Backdoor Attack in Vertical Federated Learning
[NO] 77/200 | Semi-cubical tribes
[NO] 78/200 | Quantum feedback algorithms for DNA assembly using FALQON variants
[NO] 79/200 | Correcting coherent quantum errors by going with the flow
[NO] 80/200 | Integral Inequalities and Rigidity for $V$-Static-Type Equations on Manifolds with Boundary
[NO] 81/200 | Toward the $p$-adic Hodge parameters in the potentially crystalline representations of $\mathrm{GL}_n$
[NO] 82/200 | An Expert Schema for Evaluating Large Language Model Errors in Scholarly Question-Answering Systems
[NO] 83/200 | Self-duality of massless scalar three-point amplitudes
