[2026-07-14 10:39:56] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[arXiv] 2026-07-13 | ToFu: A White-Box, Token-Efficient Agent Harness for Researchers
[arXiv] 2026-07-13 | Uncertainty Quantification for EO Regression Tasks: Building Height, Tree Canopy Height and Above-ground Biomass Estimation
[arXiv] 2026-07-13 | On the uniqueness of surfaces of constant spacetime mean curvature in asymptotically Schwarzschildean lightcones
[arXiv] 2026-07-13 | Structure of even-even Zr isotopes with 52$\leq$N$\leq$58 neutrons
[arXiv] 2026-07-13 | The combinatorics of sector renormalization
[arXiv] 2026-07-13 | Synchrotron radiation in nonuniform magnetic field
[arXiv] 2026-07-13 | Signatures of $10-10^4\,{\rm M}_{\odot}$ Dark Matter halos in LISA via Stochastic Diffraction
[arXiv] 2026-07-13 | Requential Coding: Pushing the Limits of Model Compression with Self-Generated Training Data
[arXiv] 2026-07-13 | Optimal Parameter-Free First-Order Methods for Convex Optimization with Unknown Growth and Smoothness
[arXiv] 2026-07-13 | Paraparticles intrinsically exhibit Hardy-space breakdown
[arXiv] 2026-07-13 | Direct writing of individual quantum dots
[arXiv] 2026-07-13 | Magnitude homology of tope graphs
[arXiv] 2026-07-13 | Can LLMs Perform Deep Technical Comprehension of Computer Architecture Papers?
[arXiv] 2026-07-13 | Effective dynamics and quantum information in de Sitter wedge holography
[arXiv] 2026-07-13 | Improved Global Ocean Heat Content Estimation by Modeling Vertical Spatio-Temporal Dependence
[arXiv] 2026-07-13 | MicroCharNet: Less is More for License Plate Character Detection
[arXiv] 2026-07-13 | Modular structures in the DSSYK partition function
[arXiv] 2026-07-13 | Transformer-Guided Swarm Intelligence for Frugal Neural Architecture Search
[arXiv] 2026-07-13 | MM-ToolSandBox: A Unified Framework for Evaluating Visual Tool-Calling Agents
[arXiv] 2026-07-13 | Analytical Markov Chain for Spatiotemporal Flux Evolution of the Inner Filter Effect in Fluorescent Media
[arXiv] 2026-07-13 | Anisotropic separate universe : Long-wavelength perturbations and conserved quantities
[arXiv] 2026-07-13 | Supporting Reflection in LLM-based Exploratory Search
[arXiv] 2026-07-13 | Why gas-focused microjets are so fast: kinetically resolved, shear-driven flow focusing in vacuum
[arXiv] 2026-07-13 | Encoder-Side Neuron Identification and Amplification for Acoustic Perception in Large Audio-Language Models
[arXiv] 2026-07-13 | Universal scalings and switching entropy in yield-stress fluids
[arXiv] 2026-07-13 | Extending the Mpemba effect to the underdamped realm
[arXiv] 2026-07-13 | Riesz Theorem and Riesz-Fejér inequality for weighted harmonic Bergman spaces with applications to Möbius invariant spaces
[arXiv] 2026-07-13 | Forgetting Our Way to Shared Meaning: Effects of Forgetting on Conceptual Alignment in a Non-Partnership Coordination Game
[arXiv] 2026-07-13 | Destabilization of temperature-gradient-driven plasma turbulence by equilibrium $\vec{E}\times \vec{B}$ flow shear
[arXiv] 2026-07-13 | How Temperature Shapes Ideological Discourse in Retrieval-Augmented Generation?
[arXiv] 2026-07-13 | Néron--Severi groups of proper schemes over finite fields
[arXiv] 2026-07-13 | A way to constrain a graviton mass from astronomical observations
[arXiv] 2026-07-13 | A Fokker-Planck approach to a stochastic multiplicative wealth model with taxation and redistribution
[arXiv] 2026-07-13 | When Local Monitors Miss Compositional Harm: Diagnosing Distributed Backdoors in Multi-Agent Systems
[arXiv] 2026-07-13 | HiFi-LLP: High-Fidelity, Low-Cost Latency Predictors with Confidence for Robust HW-NAS
[arXiv] 2026-07-13 | Philosopher and Prophet Inequalities for Divisible Items
[arXiv] 2026-07-13 | AutoPath: Learning Transferable Goal-Conditioned Stochastic Path Prior for Safe Navigation Without Human Demonstrations
[arXiv] 2026-07-13 | Ab initio calculations of two-neutrino and neutrinoless double-$\boldsymbolβ$ decay of $^{48}$Ca and related Gamow-Teller strength distributions
[arXiv] 2026-07-13 | Deploying and validating a metropolitan QKD secure network: architecture and field performance
[arXiv] 2026-07-13 | Inf-Sup Neural Networks for High Dimensional PDEs
[arXiv] 2026-07-13 | Contextual Stochastic Optimization with Decision-Dependent Uncertainty via Nonparametric Learning
[arXiv] 2026-07-13 | VoxENES 2026: Benchmarking Generalization of Speech Spoofing Detectors Against LLM-Era TTS and Voice Conversion
[arXiv] 2026-07-13 | Production and Perception in LLMs: A Token Probability Approach
[arXiv] 2026-07-13 | $\mathtt{Q^2SAR}$: overcoming classical bottlenecks in drug discovery via quantum multiple kernel learning
[arXiv] 2026-07-13 | Targeting DNA Methylation: New Paradigms and the Advent of Gene-Selective Tools
[arXiv] 2026-07-13 | Think Through a Bottleneck: Hourglass Reasoning for Rigorous Induction
[arXiv] 2026-07-13 | Normal ordering in the $(p,q)$-deformed generalized Weyl algebra. III: The binomial formula
[arXiv] 2026-07-13 | Self-Healing Visual Recovery for Autonomous Ground Vehicles Using Camera-Only Visual Odometry
[arXiv] 2026-07-13 | Illuminant-Adaptive 3D Lookup Tables for Camera Color Correction
[arXiv] 2026-07-13 | Electronic tuning of the soft-phonon transport anomaly in Ta$_2$Ni(S$_x$Se$_{1-x}$)$_5$
[arXiv] 2026-07-13 | The flexibility of $m$-suspensions constructed via a local slice
[arXiv] 2026-07-13 | Up, Up, and Away? Quantifying ISM Fallback using Ram Pressure Stripping Simulations
[arXiv] 2026-07-13 | Unstable magnetospheric accretion on the T Tauri star TW Hya
[arXiv] 2026-07-13 | How to Tame Grokking: Representation Geometry as a Control Signal
[ACM] 2026-7-13 | Performance Evaluation of a Lightweight Threshold-Based Distributed Encryption Architecture for IoT Data Offloading
[ACM] 2026-7-13 | MORPHEUS: A Multidimensional Framework for Modeling, Measuring, and Mitigating Human Factors in Cybersecurity
[ACM] 2026-7-13 | Beyond Rendering Generation: A Production-Aware AI Co-creation System for Suzhou Ming-Style Furniture Cultural Heritage
[ACM] 2026-7-13 | Hyphae of Kindness
[IEEE] 2026-7-13 | Laser-Induced Gettering Enables Substrate-Free 4H-SiC Radiation Detectors
[IEEE] 2026-7-13 | Knowledge Base Identification and Adaptation for End-to-end Semantic Communication
[IEEE] 2026-7-13 | Topology Optimization of Magnetocardiographic Array Based on Cardiac Electromagnetic Simulation Model
[IEEE] 2026-7-13 | NAS-HPO-Bench-II-Plus: A Surrogate Benchmark Dataset toward Practical Scenarios in Joint Neural Architecture Search and Hyperparameter Optimization
[IEEE] 2026-7-13 | iFEMG-Based Muscle Function Assessment for Rehabilitation Monitoring after Knee Anterior Cruciate Ligament Repair Surgery
[IEEE] 2026-7-13 | Calling the Shots: Constraint-Aware Honeypoint Orchestration for Cloud-Native Anomaly Response
[IEEE] 2026-7-13 | LLM-Empowered Agentic MAC Protocols: A Dynamic Stackelberg Game Approach
[IEEE] 2026-7-13 | A Rigid-Flexible Integrated Ankle Dorsiflexion Exoskeleton for Gait Assistance: Design, Control, and Characterization
[IEEE] 2026-7-13 | Design and Sensing Mechanism of Flexible Sensors for Lithium-Ion Battery Energy Storage Safety
[IEEE] 2026-7-13 | A Risk-Based Stochastic Two-Stage Optimization Framework for Virtual Power Plants: The Role of Energy Storage Systems and Demand Response
[IEEE] 2026-7-13 | Bridging Stochastic Interference and Deterministic Scheduling: An Automated Design Framework for Heterogeneous Embedded Systems
[IEEE] 2026-7-13 | A Shank Angle-Based Control System Enables Soft Exoskeleton to Assist Human Non-Steady Locomotion_supp1-3710825.pdf
[IEEE] 2026-7-13 | GLCT: A Novel Global-Local Constraint for Unpaired Image-to-Image Translation
[IEEE] 2026-7-13 | SeHID: Semantics-enhanced Heartbeat Identification for Robust BCG Monitoring in Arrhythmia Patients
[IEEE] 2026-7-13 | IEEE Magnetics Society Information
[IEEE] 2026-7-13 | BlackSeaCom 2026 Index Page
[IEEE] 2026-7-13 | TrustCardio: A Multimodal Large Language Model with Chain-of-Thought Explainability for Personalized Vascular Age Prediction via Edge-Enabled Wearable Devices
[IEEE] 2026-7-13 | Online Force Sharing Function for Radial Force Ripple Suppression of Switched Reluctance Machines
[IEEE] 2026-7-13 | Unsupervised Anomaly Detection in Hospital Financial Statements: A Multi-Algorithm Consensus Approach with Explainable AI
[IEEE] 2026-7-13 | An SIC-Free Dual-Domain RSMA Strategy via AFDM-OFDM Coexistence for 6G Networks
[IEEE] 2026-7-13 | A High Efficiency Twin-Bus Type Quasi-Single-Stage ICPT System for 800V Input, Low Voltage and High Output Current Applications
[IEEE] 2026-7-13 | Enhancing Precision in Light Exposure Monitoring: A Novel Neural Networks-based Spectral Reconstruction Method for Wearable Light Sensors
[IEEE] 2026-7-13 | Low-Complexity Channel Estimation Based on CAZAC Sequence for OTFS Modulation
[IEEE] 2026-7-13 | Real-Time Demonstration of 228.48 Pb/s·km Transmission over 5×80-km 7-Core Fiber with 1.2-Tb/s/λ Transceivers across 12-THz C+L Band
[IEEE] 2026-7-13 | A spectral upsampled optical coherence tomography for a high signal-to-noise ratio at deeper range
[IEEE] 2026-7-13 | Design of a Compact Deuteron RFQ Accelerator for BNCT based on D-
                    <sup>13</sup>
                    C reaction
[IEEE] 2026-7-13 | SymBOL: A General-Purpose Symbolic Learner for Scientific Discovery Using Bayesian Optimization-Enhanced Large Language Models
[IEEE] 2026-7-13 | A Self-Calibrated Magnetic-Field Detection System Based on AM/FM Dual-Mode Lorentz Force Magnetometer
[IEEE] 2026-7-13 | Smart City Routing with RPL: Advances in Computational Intelligence and IoT Connectivity
[IEEE] 2026-7-13 | Scaling Vehicle-to-Grid Services in Europe: A Smart Grid Architecture Model
[IEEE] 2026-7-13 | Study of Gas Formation in Essential Oil Mixtures under the Influence of Electrical Discharges
[IEEE] 2026-7-13 | CNN-based classification model for Detecting and differentiation of pneumonia
[IEEE] 2026-7-13 | Fundus Image-Based Diabetic Retinopathy Detection and Grading
[IEEE] 2026-7-13 | Joint Power and Resource Block Allocation for Delay-Reliable Downlink XR Scheduling in 6G
[IEEE] 2026-7-13 | End-to-End AI Agent System for MRI-Based Alzheimer’s Disease Detection and Explainability Using Machine Learning
[IEEE] 2026-7-13 | Scalable, Secure and Persistent Natural Language Interfaces for SQL Databases
[IEEE] 2026-7-13 | Design and Implementation of a Dual Antenna Switching System Based on Signal Quality Estimation Using Software Defined Radio
[IEEE] 2026-7-13 | Robust Automatic Modulation Classification Using RGB Density-Based Constellation Diagram Decomposition
[IEEE] 2026-7-13 | Model Predictive Control Framework of Low-Power DC-DC Boost Converters: Discrete Time Modeling, Predictive Switching, and Performance Analysis
[IEEE] 2026-7-13 | On the Application of Meta-Heuristics Algorithms to Improve the Classification Robustness of the WiFi Network Saturation Condition
[IEEE] 2026-7-13 | Slot-loaded Fractal-inspired Antenna for Wireless Applications
[IEEE] 2026-7-13 | A Selective Machine Learning Approach for Double-Threshold Spectrum Sensing
[IEEE] 2026-7-13 | Edge AI-Based Real-Time Fault Diagnostics for Industrial Motors Using Lightweight Neural Networks
[ACM] 2026-7-14 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[ACM] 2026-7-14 | Pashboard: Modernizing Rez for Animation
[ACM] 2026-7-13 | From Answer-First to Decision-First: An Interaction Pattern for Creative Judgment in AI Chat
[ACM] 2026-7-13 | "Illustration of the subconscious mind": Reinterpreting Dream Material as Artistic Creative Workflows Supported by Generative AI
[ACM] 2026-7-13 | Linea Viva: A Single-Line Live Score for Embodied Drawing-and-Sound Performance
[ACM] 2026-7-13 | Cute for Good
[ACM] 2026-7-13 | A Cabinet of Affective Touches: Building Design Repository Linking Somatic Experience with Soft Robotic Systems
[ACM] 2026-7-13 | PlaSphere: An Immersive Hybrid Ecology of Plastiglomerates
[ACM] 2026-7-13 | The Blooming Archive
[ACM] 2026-7-13 | Tagus Multispecies Atlas: Fostering affective multispecies interactions through counter-mapping.
[ACM] 2026-7-13 | Language as a Material Interface for Creative LLM Interaction
[ACM] 2026-7-13 | How Creative Design Teams Make Sense of Contrasting AI Personas
[IEEE] 2026-7-13 | Bridging the Reality Gap in Tampered Text Detection: A Human-Crafted Real-World Dataset and a Text-Centric Approach_supp1-3705334.pdf
[IEEE] 2026-7-13 | BlackSeaCom 2026 Ad Page
[IEEE] 2026-7-13 | Fast and Flexible FEM-Tensor Model for Inter-Turn Short-Circuit Faults in Induction Machines
[IEEE] 2026-7-13 | Internal-Dynamics-Guided Stabilization Framework for MMC-Based Systems
[IEEE] 2026-7-13 | Secure Split Offloading and Trajectory Design for UAV-Assisted Multi-Exit Collaborative DNN Inference_supp2-3708394.pdf
[IEEE] 2026-7-13 | Single-Stage Graph-Based Floorplan Generation
[IEEE] 2026-7-13 | RA-SCIC: Region-Aware Screen Content Image Coding Towards Fidelity and Efficiency
[IEEE] 2026-7-13 | HQDL: A Hybrid Quantum-Deep Learning Framework for Real-Time Fire Detection Using UAV Remote Sensing
[IEEE] 2026-7-13 | A Plug-and-Play Data-Centric Training Framework for Efficient Hyperspectral Image Classification
[IEEE] 2026-7-13 | A Psychometrically Optimized Imagery Approach for the Chinese Multifaceted Empathy Test
[IEEE] 2026-7-13 | Sleeper-Encoded Localization Method: A Mileage Precision Localization Approach for Railway Maintenance
[IEEE] 2026-7-13 | QLIMB: End-to-End Whole-Body Control for Quadruped Loco-Manipulation and Balance on Complex Terrains
[IEEE] 2026-7-13 | Multi-Criteria Optimization of Cu-Modified Screen-Printed Carbon Electrodes Towards Salivary Creatinine PoC Monitoring
[ACM] 2026-7-13 | Utilizing Adaptive Gamification in an Intelligent Tutoring System for Software Engineering Education
[ACM] 2026-7-13 | Agentic Workflows are Serverless Applications, so deploy them that way!
[IEEE] 2026-7-13 | A2-D Broadband Fixed-Beam Leaky-WaveAntenna with Customizable Tilted Beam Directions
[IEEE] 2026-7-13 | SAND: The Challenge on Speech Analysis for Neurodegenerative Disease Assessment
[IEEE] 2026-7-13 | Temporal Risk Forecasting of Infrastructural Health Using Deep Learning with Attention Mechanism
[IEEE] 2026-7-13 | A Comprehensive Framework for Robust Laser Stripe Extraction and Restoration on Highly Reflective Metal Surfaces
[IEEE] 2026-7-13 | Applicability of Displacement Damage Equivalence Method in InP/InGaAs Avalanche Photodiodes Under Various Particle Irradiations
[IEEE] 2026-7-13 | Censored Regression Over Route-Constrained Incremental Adaptive Networks
[IEEE] 2026-7-13 | Influence of Gate Insulator Modulation on the Electrical and Material Properties of Dual-Gate InGaZnO Thin-Film Transistors
[IEEE] 2026-7-13 | AttGTS: A Lightweight Contrastive-Free Grid-Tagging Model with Scheduled Token-Level Attention for Aspect Sentiment Triplet Extraction
[IEEE] 2026-7-13 | Tobit Recursive Filtering for Networked Nonlinear Systems Against Random Man-in-the-Middle Attacks: An Attack Detection Mechanism
[IEEE] 2026-7-13 | Amplitude-Aided PHD Filtering for Unresolved Swarm Tracking
[IEEE] 2026-7-13 | Design Optimization of Hemispherical Conformal Phased Array Based on Partitioning and Hybrid Grouping Strategies
[IEEE] 2026-7-13 | Anti-Vulnerability Topology Design of LEO Satellite Networks With Node/Link Failure_supp1-3709644.pdf
[IEEE] 2026-7-13 | An Energy-Efficient Channel-Wise Segmented Sparse BNN Accelerator With Algorithm–Hardware Co-Optimization for Gesture Recognition
[IEEE] 2026-7-13 | Robotic Compliant Disassembly Strategy for Disassembling Dual Peg-hole with Uncertain Incomplete State: Mathematical Model and Optimization Methods
[IEEE] 2026-7-13 | LAMC2026 CFP
[IEEE] 2026-7-13 | CResPIE-ViT: A Compact Vision Transformer-based Framework for COVID-19 Lesion Segmentation and Severity Prediction
[IEEE] 2026-7-13 | A Convenient Modeling Approach for Heavy-Haul Train Traction and Dynamic Braking in Longitudinal Train Dynamics Simulation
[IEEE] 2026-7-13 | Detection and Classification of Foreign Objects in Aqueous Food based on Multi-sensor Surface Electric Potential Sensing with Matched Filtering
[IEEE] 2026-7-13 | An Edge Intelligence Gateway for Smart Metering Nodes with Event-Driven Control and On-Device Optimization
[IEEE] 2026-7-13 | AI-Based Detection of Psychological Disorders using EEG Signals and Deep Learning
[IEEE] 2026-7-13 | Energy-Efficient TinyML Framework for Real-Time Anomaly Detection in Embedded Electronic Devices
[IEEE] 2026-7-13 | Explainable Multi-Class Industrial IoT Intrusion Detection on the TON-IoT Network Dataset Using Multiple Machine Learning Models
[IEEE] 2026-7-13 | Transfer Learning-Based Beamforming for MIMO Antenna Arrays Using Pre-Trained Neural Network Model
[IEEE] 2026-7-13 | AXI-Based DMA Architecture with Latency Optimization on Small Packet Transfer in PCIe-based FPGA Systems
[IEEE] 2026-7-13 | Design and Implementation of a Low-Cost Signal Conditioning Unit for LM35 Temperature Sensor
[IEEE] 2026-7-13 | Dynamic Placement and Service Provisioning of AI/ML Inference Models in O-RAN Infrastructure
共写入 200 条记录，保存到 papers/paper2026-07-13.json。
论文获取成功，文件路径: papers/paper2026-07-13.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[NO] 2/200 | On a class of pluriharmonic mappings in the unit polydisk
[NO] 3/200 | Bellman Equations with Sub-Lipschitz Hessians
[NO] 4/200 | Bethe Ansatz without Nesting
[NO] 5/200 | An exotic Denjoy example of class $C^1$
[NO] 6/200 | ThinkLog: Leveraging Reasoning for Log Statement Generation
[NO] 7/200 | Extending LLM Context via Associative Recurrent Memory
[NO] 8/200 | The Dielectric Bowtie Effect: Classical Electromagnetic Edge Singularities in Subwavelength Cavities
[NO] 9/200 | OwnDPDLab: A Flexible Open-Source Testbed for Wideband DPD Algorithm Benchmarking
[NO] 10/200 | Globally Consistent Coloring Schemes for Language Identification
[NO] 11/200 | Engel probability in wreath products of $p$-groups
[NO] 12/200 | Privacy-Aware Collaborative and Distributed Bayesian Optimization
[NO] 13/200 | The Lorentzian Problem on the Group $SU(2)$
[NO] 14/200 | Copositive Characterizations of Convex Hull Pricing
[NO] 15/200 | Machine Learning-Based Reconstruction for Resistive Silicon Sensors
[NO] 16/200 | MemExchange: Cloud-Scale Memory Trading
[NO] 17/200 | Millimeter-Wave Dual-Polarized Omnidirectional Reference Antennas for Total Array Gain Evaluation
[NO] 18/200 | Study of the proccess $e^+e^-\to π^+π^-π^0π^0η$ in the c.m. energy range 1.6--2.0 GeV with the CMD-3 detector
[NO] 19/200 | Training-Free Off-Screen Player Imputation for Broadcast-Based Spatial Football Analytics
[NO] 20/200 | Radio and X-ray flux rebrightening six years after outburst in a partially-obscured extreme changing-look AGN
[NO] 21/200 | Two Earliest Optical-UV Tidal Disruption Events Hidden in the SDSS DR7 Catalog Unveiled by the Transformer-Based Spectrum Classifier
[NO] 22/200 | The petit four of color-superconducting phases in proto-neutron star evolution
[NO] 23/200 | Parse, Search, and Confirmation: Training-Free Aerial Vision-and-Dialog Navigation with Chain-of-Thought Reasoning and Structured Spatial Memory
[NO] 24/200 | Optimization for the first weighted eigenvalue of local-nonlocal operators with a potential
[NO] 25/200 | Vinci2: Providing Proactive Assistance in Continuous Egocentric Videos
[NO] 26/200 | Graph-Based Structural Evaluation of LLM-Translated Adversary Emulation Procedures
[NO] 27/200 | States dressing analysis in a transmon-transmon-bus system
[NO] 28/200 | Proxy Exploration and Reusable Guidance: A Modular LLM Post-Training Paradigm via Proxy-Guided Update Signals
[NO] 29/200 | Arithmetic Properties for $k$-Color Analogue of Simultaneously $s$-Regular and $t$-Distinct Partitions
[NO] 30/200 | IG-GAN: A Generative Adversarial Network for Aerodynamic Data Generation Based on Intrinsic Geometry
[NO] 31/200 | Enhancing Query Efficiency for d-DNNF Representations Through Preprocessing
[NO] 32/200 | LightMem-Ego: Your AI Memory for Everyday Life
[NO] 33/200 | Theory of phonon-induced spin relaxation in a structured phononic reservoir
[NO] 34/200 | Colloid recovery from porous structures under ambient flow: enhanced extraction via phoretic and osmotic mechanisms
[NO] 35/200 | Towards Efficient Convolutional Neural Network for Embedded Hardware via Multi-Dimensional Pruning
[NO] 36/200 | Climate-Invariant Conformal Prediction Intervals for Multi-Horizon Solar and Wind Forecasting
[NO] 37/200 | Discovering Millisecond Pulsars in Globular Clusters with the GMRT (GCGPS)
[NO] 38/200 | Search for the Double Poles of the Scattering Matrix in Light Nuclei
[NO] 39/200 | Event-based Neural Decoding for Neuroprosthetic Motor Control
[NO] 40/200 | Power Reduction in Heterogeneous Wireless Sensor Networks via Source-Aware Allocation
[NO] 41/200 | Probing radiation micro-physics in M 87 I. Total intensity and broad-band spectra
[NO] 42/200 | Generalizing Preference-based Reinforcement Learning: a Rationality Model for Incomparability
[NO] 43/200 | Potential Solar Precursors to Magnetic Switchbacks
[NO] 44/200 | From Wireless SNNs to SN P Systems: A Low-Energy Rule-Based Conversion
[NO] 45/200 | An HI+radio continuum study of local cluster galaxies: Intercepting the early stages of environmental processing with MeerKAT
[NO] 46/200 | Interference-Enhanced Large Electron-Phonon Coupling from Raman-active Breathing Modes in Moiré Semiconductors
[NO] 47/200 | ToFu: A White-Box, Token-Efficient Agent Harness for Researchers
[NO] 48/200 | Uncertainty Quantification for EO Regression Tasks: Building Height, Tree Canopy Height and Above-ground Biomass Estimation
[NO] 49/200 | On the uniqueness of surfaces of constant spacetime mean curvature in asymptotically Schwarzschildean lightcones
[NO] 50/200 | Structure of even-even Zr isotopes with 52$\leq$N$\leq$58 neutrons
[NO] 51/200 | The combinatorics of sector renormalization
[NO] 52/200 | Synchrotron radiation in nonuniform magnetic field
[NO] 53/200 | Signatures of $10-10^4\,{\rm M}_{\odot}$ Dark Matter halos in LISA via Stochastic Diffraction
[NO] 54/200 | Requential Coding: Pushing the Limits of Model Compression with Self-Generated Training Data
[NO] 55/200 | Optimal Parameter-Free First-Order Methods for Convex Optimization with Unknown Growth and Smoothness
[NO] 56/200 | Paraparticles intrinsically exhibit Hardy-space breakdown
[NO] 57/200 | Direct writing of individual quantum dots
[NO] 58/200 | Magnitude homology of tope graphs
[NO] 59/200 | Can LLMs Perform Deep Technical Comprehension of Computer Architecture Papers?
[NO] 60/200 | Effective dynamics and quantum information in de Sitter wedge holography
[NO] 61/200 | Improved Global Ocean Heat Content Estimation by Modeling Vertical Spatio-Temporal Dependence
[NO] 62/200 | MicroCharNet: Less is More for License Plate Character Detection
[NO] 63/200 | Modular structures in the DSSYK partition function
[NO] 64/200 | Transformer-Guided Swarm Intelligence for Frugal Neural Architecture Search
[NO] 65/200 | MM-ToolSandBox: A Unified Framework for Evaluating Visual Tool-Calling Agents
[NO] 66/200 | Analytical Markov Chain for Spatiotemporal Flux Evolution of the Inner Filter Effect in Fluorescent Media
[NO] 67/200 | Anisotropic separate universe : Long-wavelength perturbations and conserved quantities
[NO] 68/200 | Supporting Reflection in LLM-based Exploratory Search
[NO] 69/200 | Why gas-focused microjets are so fast: kinetically resolved, shear-driven flow focusing in vacuum
[NO] 70/200 | Encoder-Side Neuron Identification and Amplification for Acoustic Perception in Large Audio-Language Models
[NO] 71/200 | Universal scalings and switching entropy in yield-stress fluids
[NO] 72/200 | Extending the Mpemba effect to the underdamped realm
[NO] 73/200 | Riesz Theorem and Riesz-Fejér inequality for weighted harmonic Bergman spaces with applications to Möbius invariant spaces
[NO] 74/200 | Forgetting Our Way to Shared Meaning: Effects of Forgetting on Conceptual Alignment in a Non-Partnership Coordination Game
