[2026-07-30 11:01:00] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-29
正在获取论文...
[arXiv] 2026-07-29 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[arXiv] 2026-07-29 | Free boundary flows by powers of the Gauss curvature in the unit ball
[arXiv] 2026-07-29 | Two Calls Beat Five Agents: Evaluating Multi-Agent Pipelines Against Self-Refinement for Local Language Models
[arXiv] 2026-07-29 | From Keypoints to Predictive Distributions: Post-Hoc Uncertainty for YOLO-Pose Models
[arXiv] 2026-07-29 | Critical net-proton number fluctuations with hydrodynamics
[arXiv] 2026-07-29 | CinemaTraj: Composing Atomic Camera Trajectories for 3D Scenes with LLM Agents
[arXiv] 2026-07-29 | From Passive Video to Editable Experience: Physically Grounded Experience Synthesis for Embodied Intelligence
[arXiv] 2026-07-29 | Lehmer Codes and the Reverse-Complement Mapping from (32-1)-Avoiding Permutations to (3-21)-Avoiding Permutations
[arXiv] 2026-07-29 | Dimensions of Orbit Closures and Discrepancy for Dynamical $p$-adic Sequences
[arXiv] 2026-07-29 | Structure-Property Correlation of Cr/Cu-MnFeCoNi High-Entropy Alloys for Alkaline Water Electrolysis
[arXiv] 2026-07-29 | Junction Conditions, Radial Stability, Thermodynamics, Optical Geometry and Appearance of Polymer-Quintessence Thin-Shell Wormholes
[arXiv] 2026-07-29 | Hybrid Workflow Composition for Extreme-Scale Data Processing: A Case Study on the HL-LHC (Extended Version)
[arXiv] 2026-07-29 | Role of particle density in the Hall response of synthetic fermionic ladders: Lifshitz and Meissner-vortex transitions
[arXiv] 2026-07-29 | Probing Primordial Chirality in the Matter Distribution
[arXiv] 2026-07-29 | Few-Shot Open-Set Audio Classification via Transductive Prototype Refinement and Class Logit Enhancement
[arXiv] 2026-07-29 | JEPADepth: Masked Predictive Representation Learning for Self-Supervised Monocular Depth Estimation
[arXiv] 2026-07-29 | Transient Detour and Cooperative Oxygen Exchange in the Polarization Switching of Ferroelectric Hf0.5Zr0.5O2
[arXiv] 2026-07-29 | Inapproximability of Unique-Machine Precedence Scheduling for Unit-Length Jobs
[arXiv] 2026-07-29 | CDN Tsunami: Exploiting HTTP/3-HTTP/1.1 Conversion for DoS Attacks
[arXiv] 2026-07-29 | R-SLPR: Region-based Small-to-Large Point-cloud Registration with Contrastive Learning
[arXiv] 2026-07-29 | Mode-Resolved Light Scattering Recovers Polymer Thermodynamics in Solutions with Trace Large-Mass Scatterers
[arXiv] 2026-07-29 | DC Josephson transport in a three-terminal Yu-Shiba-Rusinov system
[arXiv] 2026-07-29 | Where Detectors Fail: Closing the Tail-Domain Gap with Expert-Guided Mutual Distillation
[arXiv] 2026-07-29 | MedARC: Training-Free Adaptive Redundancy Compression of Visual Tokens for 3D Medical Vision-Language Models
[arXiv] 2026-07-29 | ThinkOmni: A Reasoning-Driven Omni-Modal LLM Framework for Audio Forgery Detection and Localization
[arXiv] 2026-07-29 | Intruder-driven mirror energy differences between $^{29}$Cl and $^{29}$Mg studied with antisymmetrized molecular dynamics
[arXiv] 2026-07-29 | A Persona-based Rate Action Index
[arXiv] 2026-07-29 | Static topological dilatonic black hole with multiple horizons and its thermodynamics
[arXiv] 2026-07-29 | Local asymptotics near a smooth boundary point and estimates for a hyperbolic-type metric
[arXiv] 2026-07-29 | The Art of Not Forgetting A Local Learning Architecture for Continual Learning
[arXiv] 2026-07-29 | HiFloat4 Format for End-To-End Reinforcement Learning Post-Training of Large Language Models
[arXiv] 2026-07-29 | BiHom-L-R-smash biproduct and BiHom-Yetter-Drinfel'd-Long category
[arXiv] 2026-07-29 | Safety-Gated Autoscaling: A Multi-Layered Defense Architecture for Kubernetes Vertical Resource Optimization
[arXiv] 2026-07-29 | An Efficient Algorithm for Computing Mountain Prominence in Almost Linear Time
[arXiv] 2026-07-29 | Revisiting Electron Heating in Capacitively Coupled Plasma (CCP) Discharges: A Nonlinear Dynamics Perspective
[arXiv] 2026-07-29 | A new theorem of alternatives leading to sufficient conditions for the superiorization guarantee question of Dynamic String-Averaging in the inconsistent case
[arXiv] 2026-07-29 | Same-spin Andreev reflections in the quantum Hall regime: the role of loss
[arXiv] 2026-07-29 | Quantum random number generation using spatial quantum noise of light
[arXiv] 2026-07-29 | A Receding Horizon Control For General Assembly Line Balancing Problems
[arXiv] 2026-07-29 | Finding diagonal logical gates in CSS codes and circuits
[arXiv] 2026-07-29 | CMT-RAG: Complementary Memory Traces for Multi-turn Multi-hop RAG
[arXiv] 2026-07-29 | Neural Architecture Search for Traffic Prediction: A Survey of Methods, Challenges, and Future Directions
[arXiv] 2026-07-29 | Exact solutions for static spherically symmetric spacetime with a perfect fluid in Rastall theory
[arXiv] 2026-07-29 | Evolution of hypersurfaces in $(n+1)$-dimensional light-cone
[arXiv] 2026-07-29 | DHRCL:Training Code LLMs with Dense Hierarchical Rewards and Curriculum Learning
[arXiv] 2026-07-29 | Energy-Efficient Access-Point Sleep-Mode Techniques for Cell-Free mmWave Massive MIMO Networks With Non-Uniform Spatial Traffic Density
[arXiv] 2026-07-29 | Phantom-divide crossing and suppressed structure growth in kinetically braided dark energy with momentum exchange
[arXiv] 2026-07-29 | Straightedge-and-Compass Constructibility of the Reciprocal-$k$-th-Power Law
[arXiv] 2026-07-29 | Explicit Note-Event Tokenization and Pitch-Validity Constrained Decoding for MIDI-to-Tablature Transcription
[arXiv] 2026-07-29 | Decoder-Guided Lossy Contour Coding Via Anchor Refinement
[arXiv] 2026-07-29 | Observations of a Solar Jet Triggered by Reconnection between Super-penumbral Fibrils and a Mini-filament
[arXiv] 2026-07-29 | Machine-Checked Certificates for the Geometric Half of the Minimum Kochen-Specker Bound
[arXiv] 2026-07-29 | Can We Trust AI in 6G? Verifiable and Auditable AI-Driven Trustworthy Wireless Networks
[arXiv] 2026-07-29 | Examining the Efficacy of Graph Neural Network Message-Passing in Regression Contexts
[arXiv] 2026-07-29 | Sensor-Placement-Agnostic Sonomyography: Toward Continuous High-Dimensional Control by Users with Tetraplegia
[arXiv] 2026-07-29 | Q-Steer: Action-Value Guidance for Molecular Policy Optimization
[arXiv] 2026-07-29 | "Nobody Did This": Contribution, Originality, and Accountability in Agent-Mediated Collaboration
[ACM] 2026-7-29 | Aggregating Security Measures from the Dependency Tree
[ACM] 2026-7-29 | A Soundness and Precision Benchmark for Java Debloating Tools
[ACM] 2026-7-29 | A Computational Framework for Deep Phenotyping of Maternal Autonomic Resilience Using 65 Months of Continuous Wearable Biometric Data
[ACM] 2026-7-29 | An application of genomic language models for antimicrobial resistance prediction in S. pneumoniae
[ACM] 2026-7-29 | Probing the Intrinsic Effectiveness of Large Language Models for Medical Classifications
[ACM] 2026-7-29 | Understanding CI/CD Workflow Runs Through Interactive and Animated Visualizations
[ACM] 2026-7-29 | A novel image hashing with visual and structural feature maps for content authentication
[IEEE] 2026-7-29 | Accelerating Diffusion Model Inference: A Blockchain-aided Trusted Cloud-Edge Collaborative Framework
[IEEE] 2026-7-29 | IEEE Join a Technical Committee announcement
[IEEE] 2026-7-29 | Unsupervised Deformable Bilinear Fusion Network for Unregistered Hyperspectral Image Super-resolution
[IEEE] 2026-7-29 | Remaining Lifetime Modeling for IGBT Devices Based on the Microscopic Defect From Evolution Simulation
[IEEE] 2026-7-29 | Cross-Level Frequency-Domain Boundary-Aware Lightweight Network for SAR Flood Detection
[IEEE] 2026-7-29 | Table of Contents
[IEEE] 2026-7-29 | Defect-based Stability, Reliability, and Performance of Multiple Quantum Well Sb2S3 Photovoltaic Devices with Nanosphere CdS Buffer Layer
[IEEE] 2026-7-29 | Can a Single Profile Reveal the Three-Dimensional Ocean Temperature Field in Its Surrounding Region? A Lightweight Deep Learning Proof of Concept
[IEEE] 2026-7-29 | Spectral Graph Wavelet and Attention-based Graph Convolutional Network for Bird Sound Recognition
[IEEE] 2026-7-29 | IEEE Journal of Quantum Electronics Publication Information
[IEEE] 2026-7-29 | Voltage Sag Source Location using Collaborative Training and Knowledge Transfer in Sparsely Measured Distribution Networks
[IEEE] 2026-7-29 | Enhancing the Optoelectronic Performance of InGaN-Based RGB Micro-LEDs via a DBR/Ag Composite Structure for Display Applications
[IEEE] 2026-7-29 | Artifact Appendix for Orchestrating WASM-Based MCP Tool Runtimes for AI Agents Across Edge-Cloud Continuum
[IEEE] 2026-7-29 | Preface
[ACM] 2026-7-30 | AURA: Automated Analysis and Reporting of Therapeutically Applied Table-top Role-Playing Games
[ACM] 2026-7-30 | Beyond Narrative Reflection: Transience as a Material Pathway to Eudaimonic Player Experience
[IEEE] 2026-7-29 | An Intelligent Adaptive Learning System with Gamification and Performance Analytics for Enhanced Learner Engagement
[IEEE] 2026-7-29 | Quality-Complexity Trade-offs for Sustainable Media Delivery
[IEEE] 2026-7-29 | On-Chip Pseudo-Random Microwave Waveform Generation Based on Random-Sampled Subwavelength Grating Waveguide Bragg Grating
[IEEE] 2026-7-29 | Mechanism-Embedded Deep Learning-Based Steel Plate Surface Defect Detection
[IEEE] 2026-7-29 | Client-Conditional Federated Learning via Local Training Data Statistics
[IEEE] 2026-7-29 | Graph-Variational Hybrid Framework for Intelligent Pre-Analysis of Medical Images
[IEEE] 2026-7-29 | Towards Explainable Quantum Machine Learning: A Hybrid Quantum SHAP-based Framework
[IEEE] 2026-7-29 | AI-Driven Multi-Robot Platform for Precision Agriculture
[IEEE] 2026-7-29 | Research on Multi-agent Collaborative Technology for Communication Network Operation and Maintenance
[IEEE] 2026-7-29 | Multi-Provider Caching in Multi-Tier Fog Networks
[IEEE] 2026-7-29 | A 7.1-8.4 GHz Slant Dual-Polarized High-Aperture-Efficiency Reconfigurable Intelligent Surface for 6G FR3 Systems
[IEEE] 2026-7-29 | Bidirectional Graph Fusion of Functional Brain Networks and Genetic Data
[IEEE] 2026-7-29 | A Framework for Strengthening Quantum Cryptography with Machine Learning and Error Correction
[IEEE] 2026-7-29 | Emotional Intelligence Driven Adaptive User Experience for Immersive Human AI Collaboration in Augmented Reality Environments
[IEEE] 2026-7-29 | FMCW-CDMA Based Radar-Repeater Network for Enhanced Detection and 2D Imaging of Specular Targets
[IEEE] 2026-7-29 | Automated Generation Method for Airworthiness SysML Use Case Models Based on Deep Semantic Parsing
[IEEE] 2026-7-29 | A Comparative User Study of Real-Time Head-Appearance Telepresence in 2D and 3D Representations
[IEEE] 2026-7-29 | Discovery of Student Learning Behaviours using a Multi-Model Unsupervised Learning Framework
[IEEE] 2026-7-29 | Microwave Patch Antenna with SnO₂-Filled Grounded Vias for Passive RFID Hydrogen Sensing
[IEEE] 2026-7-29 | Machine Learning-Augmented AI System for Medical Report Analysis, Clinical Summarization, and Diagnostic Decision Support
[ACM] 2026-7-29 | Research on Heterogeneous-Standard Simulation Scenario Conversion Based on Large Models
[IEEE] 2026-7-29 | Author Index
[IEEE] 2026-7-29 | Adaptive Federated Reinforcement Learning for Power and Phase Shifts Control in Multi-RIS-Assisted HSR Networks
[IEEE] 2026-7-29 | HEAD Committees: CCGridW 2026
[IEEE] 2026-7-29 | NBV-HDS: Next Best View Planning Network for High-Accuracy Data Stitching in Robotic 3-D Scanning
[IEEE] 2026-7-29 | AEVINS: Tightly Coupled Acoustic-Event-Visual-Inertial Underwater Localization System in Complex Environments
[IEEE] 2026-7-29 | DXGrasp: Affordance-Reasoning Based Part-Level Robotic Grasping for Object Handover in Clutter
[IEEE] 2026-7-29 | REDEditing: Relationship-Driven Precise Backdoor Poisoning on Text-to-Image Diffusion Models
[IEEE] 2026-7-29 | Non-stationary Multi-component Forced Oscillation Components Extraction of Power Systems from Multi-channel Time-frequency Representations
[IEEE] 2026-7-29 | A Physics-Guided Framework for Battery State-of-Charge Estimation Based on Improved Dual-Scale Feature-Fusion TCN and Adaptive Zonotopic Filtering
[IEEE] 2026-7-29 | NTN-Aware Federated Learning Framework with Hierarchical Satellite Aggregation and LoRA-Based Parameter Efficiency
[IEEE] 2026-7-29 | Cybersecurity in Autonomous Vehicles
[IEEE] 2026-7-29 | Effect of Contact Materials on the DC Interruption Characteristics of a TMF Vacuum Circuit Breaker
[IEEE] 2026-7-29 | Promoting Digital Literacy in Pre-Service Teacher Training: Educational Video Games
[IEEE] 2026-7-29 | Machine Learning Models for Field Scale Soil Moisture Mapping via UAS-based GNSS-R
[IEEE] 2026-7-29 | Organizing Committee
[ACM] 2026-7-29 | Do Developers Read Type Information? An Eye-Tracking Study on TypeScript
[ACM] 2026-7-30 | Toxic Behavior in League of Legends Through the Lens of Psychological Reactance Theory: The Role of Communication Styles
[ACM] 2026-7-30 | Difficulty-Based Generation of Paperfolding Puzzles
[ACM] 2026-7-30 | With the Stroke of a Brush: A Generative-AI Smart Brush for Instant Game Map Editing
[ACM] 2026-7-30 | Rhythm Walker: The Effect of Music Choice and Rhythm in Game-music Integration for Exergames
[IEEE] 2026-7-29 | Q-Agent: An MLLM-Driven Framework for Universal Visual Quality Assessment
[IEEE] 2026-7-29 | A Mamba-Based Perceptual Loss Function for Learning-Based UGC Transcoding
[IEEE] 2026-7-29 | Design of Energy-Efficient TinyML Accelerators: From MATLAB Modeling to FPGA and Embedded Deployment
[IEEE] 2026-7-29 | Compression Efficiency and Complexity Evaluation of MPEG-5 LCEVC-Enhanced VVenC for UHD Video Delivery
[IEEE] 2026-7-29 | Server Cluster Health Quantification and Anomaly Detection via Historical Operation Data and Graph Attention Network
[IEEE] 2026-7-29 | AI-based Missing Person Identification using YOLO and Deep Facial Embeddings
[IEEE] 2026-7-29 | Research on Multi-Modal Feature Fusion Strategies for 3D Medical Image Segmentation
[IEEE] 2026-7-29 | Kerberos vs. Public Key Authentication in z/OS Environments: Performance, Scalability, and Security Trade-offs
[IEEE] 2026-7-29 | TSSC-UML: Unsupervised Few-Shot Fault Diagnosis for AUVs via Multivariate Time-series Soft Clustering Meta-Learning
[IEEE] 2026-7-29 | Research on Dynamic Prediction of Construction Schedule Based on TCN-BiGRU-Transformer
[IEEE] 2026-7-29 | Impact of Interaction-Induced Body Movement on Cybersickness in Interactive Virtual Reality Environments
[IEEE] 2026-7-29 | Query-Based Hierarchical Fusion of Multi-Level Visual Features for AIGC Image Quality Assessment
[IEEE] 2026-7-29 | Lightweight Hybrid CNN-based Models for Real-Time ECG Beat Classification in Wearable Devices
[IEEE] 2026-7-29 | AgCl based Optically Transparent and Flexible Beam Forming Reflectarray for Millimeter-Wave Applications
[IEEE] 2026-7-29 | Intelligent Waste Segregation System Leveraging Deep Learning for Smart Urban Sustainability
[IEEE] 2026-7-29 | SACoaL-κ: A Semantic-Driven Coalition Consensus Algorithm for Decentralized Federated Learning
[IEEE] 2026-7-29 | The Curse of Dimensionality: What Lies Beyond the Capabilities of Physics-Informed Neural Networks
[IEEE] 2026-7-29 | Precision Detection of Gastric Cancer Using MCSCN
[IEEE] 2026-7-29 | LEIQ-Assessor: Multi-Dimensional Quality Assessment of Low-Light Enhanced Images via Multi-Task Learning
[IEEE] 2026-7-29 | Adaptive Three-Tier Federated Intelligence for Real-Time Anomaly Detection and Threat Prediction in Resource-Constrained IoT Systems
[IEEE] 2026-7-29 | PVM-UNet3+: Full-Scale Skip Connections Enhanced by Parallel Vision Mamba for Stroke Lesion Segmentation
[IEEE] 2026-7-29 | Comparative Analysis of Machine Learning, Deep Learning, and Transformer Models for Boulder Classification: Insights from a Novel Balanced and Imbalanced Sonar Image Dataset
[IEEE] 2026-7-29 | Asymmetry-Aware No-Reference Video Quality Assessment via Dual-Region Temporal Modeling
[IEEE] 2026-7-29 | Software Defect Prediction and Test Optimization Based on an Improved BiLSTM Network
[IEEE] 2026-7-29 | AccTS: Co-Design of OS Scheduling and System Architecture for Accelerator-Rich SoC
[IEEE] 2026-7-29 | A Machine Learning-Based Method for Retrieving Atmospheric Temperature and Humidity Profiles from FY4B-GIIRS Data
[IEEE] 2026-7-29 | Passive Reduction of Phase Rotation and Doppler Shift on Moving Communication Systems by using Kramers-Kronig Receivers
[IEEE] 2026-7-29 | FLAM: Evaluating Model Performance with Aggregatable Measures in Federated Learning
[IEEE] 2026-7-29 | Invited Industry Session: How to Use QoE in Industry? Experiences and Open Problems
[ACM] 2026-7-30 | Optimal Computation in Anonymous Dynamic Networks
[IEEE] 2026-7-29 | Multi-Frame Track-Before-Detect Algorithm for Radar Range Spread Targets_supp1-3717767.pdf
[IEEE] 2026-7-29 | SPA-Net: Skeletal-to-Whole Point Cloud Completion Via Progressive Off-attention Neighboring Feature Aggregation
[IEEE] 2026-7-29 | Untangling Intricate Dependencies: Characterizing and Resolving Software Package Dependencies
[IEEE] 2026-7-29 | A Bootstrap Estimator for Stirring Bandwidth of a Frequency-Stirred Reverberation Chamber
[IEEE] 2026-7-29 | LLM-Empowered MAPPO for Embodied Cognitive Satellite-Terrestrial Networks with RSMA
[IEEE] 2026-7-29 | Asynchronous Random Committee Election for Preprocessing in Asynchronous Distributed Key Generation
共写入 200 条记录，保存到 papers/paper2026-07-29.json。
论文获取成功，文件路径: papers/paper2026-07-29.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[NO] 2/200 | Diagnosing Fine-Grained Inconsistency Classification in Financial Disclosure Text
[NO] 3/200 | Improved Sampling Inequalities for Sparse Grids and High-Dimensional Functions with Effective Low Dimension
[NO] 4/200 | Convergence rates for pivoted QR and LU
[NO] 5/200 | No Data Is Not No Risk: Visibility Aware Graph-Based Inference of Business Conduct Risk
[NO] 6/200 | Enhancing the security of coherent one-way quantum key distribution using CHSH correlations
[NO] 7/200 | Imaging non-hydrodynamic modes with jet wakes
[NO] 8/200 | Bridging Superfluid and Nonminimally Coupled BEC Dark Matter through RAQUAL
[NO] 9/200 | A Scalable AI-Powered System for Explainable Machine Learning Pipelines in Brain Tumor
[NO] 10/200 | Ky Fan majorization for binary tensor products
[NO] 11/200 | Instantaneous analytic smoothing of rough data for the modified and cubic gKdV equations
[NO] 12/200 | Veritas++: Value-aware On-Policy Distillation for Perception-Enhanced AIGI Detection
[NO] 13/200 | FreqForcing: Autoregressive Long Video Generation via Spectral Self-Anchoring
[NO] 14/200 | It Doesn't Take a Thief: Optical-Scan Voting Systems Fail Even Without Adversaries
[NO] 15/200 | Tackling the uncertainty of the nuclear-polarization correction to the bound-electron $g$ factor by means of the nuclear Skyrme interaction
[NO] 16/200 | Native CCZ Gate with Fluxonium Qubits and a Microwave-Driven Coupler
[NO] 17/200 | Sky sphere representation in language models
[NO] 18/200 | Controlled Experiments on Lane Changing by Transitional Autonomous Vehicle: Dataset and Behavioral Insights
[NO] 19/200 | Extinction and Survival in an Interval-Activation Frog Model on \mathbb{Z} with Random Survival Parameters and Symmetric Random Walks
[NO] 20/200 | Twist-driven helical flattening in nematic elastomer cylinders
[NO] 21/200 | J-ATLAS: Javalambre Andromeda and Triangulum Legacy Astrophysical Survey
[NO] 22/200 | High-speed, low-noise, multi-megapixel CCDs for next generation X-ray observatories
[NO] 23/200 | Braking indices as probes of r-mode spin-down in young pulsars
[NO] 24/200 | GPTQ-2D: Cubic-Time Two-Sided Adaptive Rounding
[NO] 25/200 | Reselection in the game of best choice
[NO] 26/200 | The finite degree formula for normalized volumes
[NO] 27/200 | BayesAME: Bayesian Active Model Evaluation
[NO] 28/200 | Watershed vs. Region Growing for Individual Tree Segmentation from Airborne LiDAR: An Urban Case Study in Bologna
[NO] 29/200 | Reliability Functions of Quantum Soft Covering and Privacy Amplification via a Mixed-Order Rényi Divergence
[NO] 30/200 | SymmGrid: Super-Scaling On-Robot Learning with Parallelized Symmetries and Egocentric-Exocentric Visual Perception
[NO] 31/200 | Poincaré Beta Balls: Radial Laws, Shell Transforms, and Phase Diagram
[NO] 32/200 | Mean-field Pulse Adaptation for the Circulatization of Interacting Rydberg Atoms
[NO] 33/200 | TREK: A Travel Reasoning and Evaluation Kit for LLM Agents in Complex Trip Planning
[NO] 34/200 | A singular profile for the relativistic heat cost and the special Lagrangian curvature equation
[NO] 35/200 | From Crop and Energy Data to Optimized Lighting Scheduling: A Surrogate-Based MILP Framework for Vertical Farming
[NO] 36/200 | Measurement of multiple mechanical properties from multi-dimensional signals in nanosecond laser ablation via PINN
[NO] 37/200 | Feature Bagging Provides Stability
[NO] 38/200 | Credit Cards, Confusion, Computation, and Consequences: What Can We Uncover About Language Model Reasoning?
[NO] 39/200 | Spiking Photonic Neurons Based on Two-Section InP Quantum-Well Lasers Integrated on Silicon
[NO] 40/200 | An efficient one-loop EFTofLSS framework for Vainshtein-screened Horndeski gravity
[NO] 41/200 | VITAL-RAG: Invariance Race for Context Allocation in Coding Agents
[NO] 42/200 | Defending Against Backdoor Attacks via Alignment Checking in Model-Contrastive Federated Learning
[NO] 43/200 | Latent-IM: Latent Interaction Management for Speech LLMs
[NO] 44/200 | Deductive Verification for Earliest Deadline First Scheduler Implementations
[NO] 45/200 | Free boundary flows by powers of the Gauss curvature in the unit ball
[NO] 46/200 | Two Calls Beat Five Agents: Evaluating Multi-Agent Pipelines Against Self-Refinement for Local Language Models
[NO] 47/200 | From Keypoints to Predictive Distributions: Post-Hoc Uncertainty for YOLO-Pose Models
[NO] 48/200 | Critical net-proton number fluctuations with hydrodynamics
[NO] 49/200 | CinemaTraj: Composing Atomic Camera Trajectories for 3D Scenes with LLM Agents
[NO] 50/200 | From Passive Video to Editable Experience: Physically Grounded Experience Synthesis for Embodied Intelligence
[NO] 51/200 | Lehmer Codes and the Reverse-Complement Mapping from (32-1)-Avoiding Permutations to (3-21)-Avoiding Permutations
[NO] 52/200 | Dimensions of Orbit Closures and Discrepancy for Dynamical $p$-adic Sequences
[NO] 53/200 | Structure-Property Correlation of Cr/Cu-MnFeCoNi High-Entropy Alloys for Alkaline Water Electrolysis
[NO] 54/200 | Junction Conditions, Radial Stability, Thermodynamics, Optical Geometry and Appearance of Polymer-Quintessence Thin-Shell Wormholes
[NO] 55/200 | Hybrid Workflow Composition for Extreme-Scale Data Processing: A Case Study on the HL-LHC (Extended Version)
[NO] 56/200 | Role of particle density in the Hall response of synthetic fermionic ladders: Lifshitz and Meissner-vortex transitions
[NO] 57/200 | Probing Primordial Chirality in the Matter Distribution
[NO] 58/200 | Few-Shot Open-Set Audio Classification via Transductive Prototype Refinement and Class Logit Enhancement
[NO] 59/200 | JEPADepth: Masked Predictive Representation Learning for Self-Supervised Monocular Depth Estimation
[NO] 60/200 | Transient Detour and Cooperative Oxygen Exchange in the Polarization Switching of Ferroelectric Hf0.5Zr0.5O2
[NO] 61/200 | Inapproximability of Unique-Machine Precedence Scheduling for Unit-Length Jobs
[NO] 62/200 | CDN Tsunami: Exploiting HTTP/3-HTTP/1.1 Conversion for DoS Attacks
[NO] 63/200 | R-SLPR: Region-based Small-to-Large Point-cloud Registration with Contrastive Learning
[NO] 64/200 | Mode-Resolved Light Scattering Recovers Polymer Thermodynamics in Solutions with Trace Large-Mass Scatterers
[NO] 65/200 | DC Josephson transport in a three-terminal Yu-Shiba-Rusinov system
[NO] 66/200 | Where Detectors Fail: Closing the Tail-Domain Gap with Expert-Guided Mutual Distillation
[NO] 67/200 | MedARC: Training-Free Adaptive Redundancy Compression of Visual Tokens for 3D Medical Vision-Language Models
[NO] 68/200 | ThinkOmni: A Reasoning-Driven Omni-Modal LLM Framework for Audio Forgery Detection and Localization
[NO] 69/200 | Intruder-driven mirror energy differences between $^{29}$Cl and $^{29}$Mg studied with antisymmetrized molecular dynamics
