[2026-08-07 09:54:34] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-06
正在获取论文...
[arXiv] 2026-08-06 | Periods of E-operators
[arXiv] 2026-08-06 | Interaction size and dissent tolerance in majority-rule dynamics with collective reversal
[arXiv] 2026-08-06 | Fuzzy network jump models for soft dynamic clustering of graph-structured data
[arXiv] 2026-08-06 | GROM: Gradient-Free Rapid One-Shot Machine Unlearning
[arXiv] 2026-08-06 | Evidence-Driven Dynamic Visual Selector for Efficient Long Video Understanding
[arXiv] 2026-08-06 | Curriculum Multiple Shooting for Robust Training of Neural and Universal Differential Equations
[arXiv] 2026-08-06 | Robust logarithmic lower bound on shared-resource cost for $f$-routing
[arXiv] 2026-08-06 | Accelerating nanodrug development in continuous flow systems using informed prediction models based on low-cost surrogate nanoparticles
[arXiv] 2026-08-06 | Beyond Relevance: Bayesian Evidence Acquisition for Agentic Whole-Slide Image Reasoning
[arXiv] 2026-08-06 | GRAVITY+: reducing non-common-path aberrations for sub-10 μas astrometric accuracy
[arXiv] 2026-08-06 | Finite Quantum Histories: Holonomy Spectra, Minimal Clocks, and Exact Clock-Change Covariance
[arXiv] 2026-08-06 | Subliminal Learning is Non-Semantic Distillation
[arXiv] 2026-08-06 | Sparse Mutual Information Graph Averaging for Improving Random Indexing Embeddings
[arXiv] 2026-08-06 | PhyLatent: Learning Dynamics-Relevant Representations for JEPA World Models
[arXiv] 2026-08-06 | Hijacking Robots with a Piece of Paper: A Systematic Study of Physical Prompt Injection in VLM-Controlled Robots
[arXiv] 2026-08-06 | RA-CAD: Learning Post-Execution Critique for State-Aware Text-to-CAD Generation
[arXiv] 2026-08-06 | G$^2$ARD-GS: Geometry-Guided Anchor-Regularized Gaussian Splatting Distillation
[arXiv] 2026-08-06 | SEAM: Global consistency beyond local accuracy in scientific machine learning
[arXiv] 2026-08-06 | Mixed local and nonlocal weighted singular quasilinear elliptic problem and its associated Sobolev-type inequality
[arXiv] 2026-08-06 | Wireless Linear Computation Broadcast
[arXiv] 2026-08-06 | Grounded Well-Condition Anomaly Detection on the Volve Field: Constructed Labels, a Baseline, and a Dual-Head Model
[arXiv] 2026-08-06 | A geometric approach to the (generalized) Noether theorem for Hamiltonian systems on (non)-uniform q-contact manifolds
[arXiv] 2026-08-06 | Periodic Solutions to the Steady Viscous Burgers Equation: A Constructive Example
[arXiv] 2026-08-06 | Risk in a Data-Rich Model
[arXiv] 2026-08-06 | Consistency Has a Computable Blind Spot: A Commutation Theory of Label-Free Reliability for Vision-Language Figure Reading
[arXiv] 2026-08-06 | When Does Consensus Mean Correctness? Measuring the Agreement-Accuracy Coupling with Semantics-Preserving Re-Rendering
[arXiv] 2026-08-06 | SafeDivertor: Faithful Divertor Heat Flux Reconstruction from Macroscopic Plasma State Signals via Time-Frequency Prior Exploitation
[arXiv] 2026-08-06 | F$^2$Agent: Financial Fusion of Agentic Intelligence for Multimodal Trading
[arXiv] 2026-08-06 | Vorch-Streamer: Extending Human Audio-Visual Generation to Real-Time Long-Form Streaming
[arXiv] 2026-08-06 | On the Numerical Terao Conjecture
[arXiv] 2026-08-06 | Studying People to Study AI: Expert Perspectives on the Epistemic Fit and Barriers of Human Research in AI Safety & Ethics
[arXiv] 2026-08-06 | Refining Over Resampling: Test-Time Self-Correction for LLM Reasoning
[arXiv] 2026-08-06 | Charged Penrose Extraction in RN--AdS Black Holes with Dark Energy: Ergosphere Geometry and Rigorous Efficiency Bounds
[arXiv] 2026-08-06 | Transcutaneous Spinal Cord Stimulation Disrupts Conscious Ankle Proprioception and Produces a More Constrained Locomotor Pattern in Unimpaired Adults
[arXiv] 2026-08-06 | Area and Perimeter Rules of Velocity Circulation in Two-Dimensional Turbulence with Large-scale Absolute Equilibrium
[arXiv] 2026-08-06 | TruthLens: Object Hallucination Detection via Self-Evaluating Truthfulness Scores in LVLMs
[arXiv] 2026-08-06 | Structured Dimension-Matched Joint Variational Transdimensional Inference
[arXiv] 2026-08-06 | Compact balanced threefolds and LCK manifolds with constant holomorphic sectional curvature
[arXiv] 2026-08-06 | An Ordered-Reliability-Bits Chase Decoding Algorithm for BCH Codes
[arXiv] 2026-08-06 | On the Asymptotic Normality and Unimodality of Genus Distributions of Wheels
[arXiv] 2026-08-06 | Detecting Safety Training Modification in Language Models via Activation Analysis
[arXiv] 2026-08-06 | A Multi-Layer System for Ultra-High-Resolution Static 360-Degree Telepresence
[arXiv] 2026-08-06 | CoordRefer: Coordinate-Aware 3D Visual Grounding from Multiview Images
[arXiv] 2026-08-06 | SDDmiP.jl: A Software Package with a Provably Convergent Benders Algorithm for Multi-Stage Stochastic Mixed-Integer Programming
[arXiv] 2026-08-06 | Lorenz Links that are not Horseshoe and Rossler Links
[arXiv] 2026-08-06 | A Self-Explainable Deep Architecture for Security Applications
[arXiv] 2026-08-06 | omni-macos: On-Device Omni-Modal Search on Apple Silicon
[arXiv] 2026-08-06 | Splitting methods for Intermediate Long Wave and perturbed Benjamin--Ono models
[arXiv] 2026-08-06 | A Unified Framework for Iterate Convergence of Bregman Proximal Methods
[arXiv] 2026-08-06 | Quantum information loss
[arXiv] 2026-08-06 | X-Z Round Scheduling for the Surface Code with Defects under Biased Noise
[arXiv] 2026-08-06 | Iwasawa invariants and exceptional pairs of certain abelian fields
[arXiv] 2026-08-06 | EG-VAE: A Unified Framework for Electric Guitar Tone Transfer and Removal
[arXiv] 2026-08-06 | AffectDF: The Most Comprehensive Benchmark for Speech Deepfake Detection against Emotionally Expressive Attacks
[arXiv] 2026-08-06 | The TASSIE Program. II: Three Close-In Companions Orbiting Sun-Like Stars
[arXiv] 2026-08-06 | Morphology of frozen labyrinths from irreversible threshold dynamics
[arXiv] 2026-08-06 | A Quantum Circuit Framework for Protein Ensemble-Level Energetics
[arXiv] 2026-08-06 | Hyperbolicity and Ergodicity in Randomly Perturbed Billiard Systems
[arXiv] 2026-08-06 | BioKD: Selective Physiology-to-Video Knowledge Distillation via Reliability Gate for Emotion Recognition
[IEEE] 2026-8-6 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[IEEE] 2026-8-6 | Ternary Noise Modulation
[IEEE] 2026-8-6 | Spatiotemporal Consistency Constrained Imaging Sonar Odometry for Underwater Robots
[IEEE] 2026-8-6 | Compressed-Sensing-Based Deep JSCC for Resource-Constrained Remote Sensing Transmission
[IEEE] 2026-8-6 | AI-Based Spatiotemporal Analysis Reveals Distinct Neuronal Markers of Morphine Response during Chronic Pain in Mice
[IEEE] 2026-8-6 | IEEE Access
[IEEE] 2026-8-6 | World-Model-Based Deep Reinforcement Learning for Real-Time Microgrid Energy Management
[IEEE] 2026-8-6 | Knowledge Rectification for Camouflaged Object Detection: Unlocking Insights from Low-Resolution Data
[IEEE] 2026-8-6 | A Metaheuristic Controller Design Procedure Considering Linear Time-Variant Behavior to Optimize DC-DC Converter Response to Wide Load Variations
[IEEE] 2026-8-6 | Fast Negative-Sequence Voltage Suppression for Grid-Feeding Inverters With Virtual Voltage Control
[IEEE] 2026-8-6 | Table of Contents
[IEEE] 2026-8-6 | IEEE Xplore
[IEEE] 2026-8-6 | A 1.6-fJ/Spike Subthreshold Analog Spiking Neuron in 28 nm CMOS
[IEEE] 2026-8-6 | Prescribed-Time Adaptive Tracking for Nonlinear Systems via Nonvanishing Disturbance Observer and Command Filtering
[IEEE] 2026-8-6 | HRN: A Hybrid Recall Network for Crop Classification Using Multi-source Time-series Remote Sensing Data
[IEEE] 2026-8-6 | Comparative Analysis between Classical CNNs and Quantum Convolutional Neural Networks for Cacao Pod Disease Classification
[IEEE] 2026-8-6 | Center-Guided Divergence Attention Network for Robust Steganalysis of Dynamic-Length Low-Bit-Rate Speech Streams
[ACM] 2026-8-7 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[ACM] 2026-8-6 | Privacy-Aware Decoding: Mitigating Privacy Leakage of Large Language Models in Retrieval-Augmented Generation
[ACM] 2026-8-6 | UniRank: A Unified Framework for Efficient Multi-Objective LLM Ranking in Industrial Search
[ACM] 2026-8-7 | The Entropic Overhead of Conformal Correction
[ACM] 2026-8-7 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[ACM] 2026-8-6 | MUSTANG: Multi-Variable Spatio-Temporal Meta-Learning for Water Data Imputation
[ACM] 2026-8-6 | LCATS: LLM-Guided Constraint-Aware Tabular Data Synthesis
[ACM] 2026-8-7 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[ACM] 2026-8-6 | ReLU: Refined Chunk Embeddings Learning for Ultra-long SNP Genomic Prediction in Crop Breeding
[ACM] 2026-8-7 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[ACM] 2026-8-6 | Is the Last Check-In All You Need? Next POI Recommendation: Recall and Rerank
[ACM] 2026-8-7 | Bounded-Abstention Pairwise Learning to Rank
[ACM] 2026-8-6 | C-iVAE: Causal Structure-Aware Identifiable VAE for Tabular Data with Limited Environments
[ACM] 2026-8-6 | Force-Recovered Neural Operators for Coupled Structures with Test-Time Closure Calibration
[ACM] 2026-8-7 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[ACM] 2026-8-6 | Deterministic-Allocation and Anonymous Joint Advertising in E-commerce Platforms
[ACM] 2026-8-6 | IonoFM: Multimodal Self-Supervised Learning for Ionospheric Monitoring and Prediction
[ACM] 2026-8-6 | Reinforcement Learning with Scenario-Context Rollout in Portfolio Management
[ACM] 2026-8-7 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[ACM] 2026-8-6 | <scp>SimCoachCorpus:</scp>
                    A Naturalistic Dataset with Language and Trajectories for Embodied Teaching
[ACM] 2026-8-6 | Balanced Multimodal Federated Learning: An Efficient and Noise-Resilient Approach
[ACM] 2026-8-7 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[ACM] 2026-8-6 | Multi-Modal Hierarchical Retrieval-Augmented Generation for Document Question Answering
[ACM] 2026-8-6 | AIGQ: An End-to-End Hybrid Generative Architecture for E-commerce Query Recommendation
[ACM] 2026-8-7 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[ACM] 2026-8-6 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[ACM] 2026-8-6 | GDPTN: Econometrics-Informed Deep Generative Forecasting for Large-Scale Censored Panel Data
[ACM] 2026-8-7 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[ACM] 2026-8-6 | MoE-Pointer: Seq2Seq Reinforcement Learning for Dynamic Multi-Echelon Pickup-and-Delivery with Courier-Drone Relay
[ACM] 2026-8-6 | UrbanGraphEmbeddings: Learning and Evaluating Spatially Grounded Multimodal Embeddings for Urban Environments
[ACM] 2026-8-6 | SAASBench: A Synthetic Antibody–antigen Specificity Benchmark
[ACM] 2026-8-6 | Beyond Reaction Data: Learning Chemical Knowledge from Large-Scale Molecules for Retrosynthesis
[ACM] 2026-8-7 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[ACM] 2026-8-6 | LLM-based Evaluation Policy Extraction for Ecological Modeling
[ACM] 2026-8-6 | Both Topology and Text Matter: Revisiting LLM-guided Out-of-Distribution Detection on Text-attributed Graphs
[ACM] 2026-8-7 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[ACM] 2026-8-7 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[ACM] 2026-8-6 | VCAgent: A Mutation-Guided Self-Reflective Agent Framework for Virtual Cell Modeling
[ACM] 2026-8-6 | OpenAqua: A Large-Scale Fine-Grained Dataset and Benchmark for Open Underwater Visual Perception
[ACM] 2026-8-7 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[ACM] 2026-8-6 | CEComBench: Benchmarking Large Language Models' performance on Chinese E-commerce tasks
[ACM] 2026-8-6 | Training-free Truthfulness Detection via Sparse MLP Value Vectors
[IEEE] 2026-8-6 | A Survey on UAV-Assisted Wireless Communications for Future Networks
[IEEE] 2026-8-6 | Large-Scale MIMO for Satellite Communications: Opportunities and Challenges
[IEEE] 2026-8-6 | SYNAPSE: Privacy-Constrained Diagnosis-Aware Exercise Recommendation with Synthetic Data
[IEEE] 2026-8-6 | Authenticating and Authorizing the Caller: A Defense Mechanism Against Caller ID Spoofing
[IEEE] 2026-8-6 | Obstacle-Aware Interpolation for Real-Time Radio Map Generation in Smart Factories
[IEEE] 2026-8-6 | Neural Fitting for Sparse Radio Map Construction in LEO Satellite Network
[IEEE] 2026-8-6 | Graph-Based Modelling and Prediction of Adversary Behaviour from Honeypot Traces
[IEEE] 2026-8-6 | Risk Management Framework for LLM-Enabled Identity Tools: Mapping OWASP LLM Top 10 to NIST CSF 2.0
[IEEE] 2026-8-6 | AIRC 2026 Cover Page
[IEEE] 2026-8-6 | Dynamic Object-Based Point Cloud Registration for Roadside LiDAR Calibration in Low-Overlap Outdoor Deployments
[IEEE] 2026-8-6 | Robust Optimal Formation Control in Connected Autonomous Surface Vehicles with Multiple Objectives and Input Dead-Zones
[IEEE] 2026-8-6 | WoRMA 2026 Keynotes
[IEEE] 2026-8-6 | Quantum Attention Mechanisms: Architectures, Measurement Overhead, and Empirical Evidence
[IEEE] 2026-8-6 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits
[IEEE] 2026-8-6 | Deep Neural Networks for Inverse Kinematics with Multi-Valued Solution Spaces: Limitations and Hybrid Learning–Optimization Approach
[IEEE] 2026-8-6 | A 11.6–27.7-GHz Frequency Doubler With Stack Harmonic Feedback Achieving 18.8% Total Efficiency
[IEEE] 2026-8-6 | NewbornTimeLine: Automated Video-Based Timelines for Neonatal Resuscitation in a Hospital Pilot Study
[IEEE] 2026-8-6 | Cybersecure and Privacy-Aware Governance Framework with Face Verification ID in Digital Public Infrastructure Toward a Trusted and Secure Digital Society: A Systematic Literature Review
[ACM] 2026-8-6 | Trustworthy LLM-Based Agents for Data-Centric AI
[ACM] 2026-8-6 | Interactive Recommendation Agent with Active User Commands
[ACM] 2026-8-6 | Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation
[ACM] 2026-8-6 | TCG-LLM: Physics-aware Fine-tuning with Quality-based Reward Shaping for Tropical Cyclogenesis Detection and Localization
[ACM] 2026-8-6 | Integrating Inductive Biases in Transformers via Distillation for Financial Time Series Forecasting
[ACM] 2026-8-6 | Beyond Time Series: Spatial Reasoning for Epidemic Forecasting via Multimodal Learning
[ACM] 2026-8-6 | FairTraj: Density-Aware Generative Data Augmentation for Fairness in Downstream Trajectory Learning Tasks
[ACM] 2026-8-7 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[ACM] 2026-8-6 | GREPO: A Benchmark for Graph Neural Networks on Repository-Level Bug Localization
[ACM] 2026-8-6 | RAViG-Bench: A Benchmark for Retrieval-Augmented Visually-Rich Generation with Multi-Modal Automated Evaluation
[ACM] 2026-8-6 | Lightweight Wrappers for Adapting Time Series Foundation Models to Regional Drought Forecasting
[ACM] 2026-8-6 | ECHO: Adaptive Community Search over Multimodal Graphs
[ACM] 2026-8-6 | LocalSearchBench: Benchmarking Agentic Search in Real-World Local Life Services
[ACM] 2026-8-6 | Scalable Multi-Action Offline Policy Learning with an
                    <i>m</i>
                    -ary Tree
[ACM] 2026-8-6 | X-VORTEX: Spatio-Temporal Contrastive Learning for Wake Vortex Trajectory Forecasting
[ACM] 2026-8-6 | Dual-Difficulty Curriculum Learning for Direct Preference Optimization
[ACM] 2026-8-6 | HD-Prot: A Protein Language Model for Joint Sequence-Structure Modeling with Continuous Structure Tokens
[ACM] 2026-8-6 | Hierarchical Causal Model for Multimodal Single-cell Data Integration and Prediction
[ACM] 2026-8-6 | PRIME: A Pretrained Representation-Induced Model for 3D Molecules in De Novo Binder Design
[ACM] 2026-8-6 | Native Hierarchical and Compositional Representations with Subspace Embeddings
[ACM] 2026-8-6 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[ACM] 2026-8-6 | <scp>MirrorBench:</scp>
                    A Benchmark to Evaluate Conversational User-Proxy Agents for Human-Likeness
[ACM] 2026-8-6 | A More Accurate Algorithm Comparison through A/B Testing using Offline Evaluation Methods
共写入 200 条记录，保存到 papers/paper2026-08-06.json。
论文获取成功，文件路径: papers/paper2026-08-06.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Periods of E-operators
[NO] 2/200 | Hybrid Machine Learning Framework for Herd-Level Cattle Growth Pattern and Weight Gain Forecasting in Grazing-Based Production Systems
[NO] 3/200 | Convergent Evolution in Neural Representation Space: Emergent Order in Deep Belief Networks
[NO] 4/200 | Clinical Communication Processing with Models Trained on LLM-Generated Synthetic Data: A Structured Survey and Novel Application Case Studies
[NO] 5/200 | Convergent Evolution in Algorithmic Space
[NO] 6/200 | Geometry-Only CSL/DP Ratios and the Nonuniqueness of Decoherence Kernels
[NO] 7/200 | The Institutional Window: Occupation- and Jurisdiction-Specific Calibration of Liability Signaling for Preserved Human Fallback Capability
[NO] 8/200 | M$^3$Prune: Hierarchical Collaborative Pruning for Efficient Multi-Modal Multi-Agent Retrieval-Augmented Generation
[NO] 9/200 | Stability of Ranking-dependent Pair-wise Comparison Patterns in the Analytic Hierarchy Process
[NO] 10/200 | Certifying Collective Reasoning in Multi-Agent Systems via Koopman Spectral Analysis
[NO] 11/200 | Erdős--Ko--Rado and Hilton--Milner Theorems in the Partition Lattice
[NO] 12/200 | Implicit Computation of Filtered Prime Implicants
[NO] 13/200 | Exponential Speedup of Entanglement Generation by Quantum Mpemba Effects
[NO] 14/200 | Chernoff-Stein-Type Exponent in Testing Between Two Outlier Distributions
[NO] 15/200 | Harnessing thermo-optic dynamics for frequency-agile soliton microcombs
[NO] 16/200 | Floating Radiance Networks
[NO] 17/200 | Jsymm: A Python package for symmetry analysis of exchange tensors in magnetic Hamiltonians
[NO] 18/200 | Escaping the Self-Repair Trap: Improving Test Oracle Generation via Dual-Context Awareness
[NO] 19/200 | Phase-resolved QPO Analysis of GX 339-4: Improved Technique and Consistent Behaviors between QPOs and Broadband Noise
[NO] 20/200 | Reduced Basis Method for Simulating Thermal Transients in Electric Machines
[NO] 21/200 | Robust-WAM: Bridging Generative Pretraining and Semantic Foresight in World-Action Models
[NO] 22/200 | Tool Demo: Topology analysis with GPML for detection of cyberattacks in Water Distribution Networks
[NO] 23/200 | Chaos in large genus surfaces
[NO] 24/200 | Correlated topological-polarization surface states in the narrow-gap insulator FeSb2
[NO] 25/200 | Personalized Deep Research Query Refinement with Graph-Scaffolded Evidence Grounding
[NO] 26/200 | Descoped and Upscoped FCC-ee Running Scenarios in the SMEFT
[NO] 27/200 | A sharp fixed-size spectral bound for $kK_3$-free graphs
[NO] 28/200 | NestyNet. I. Physics Functions Are Hard to Fit with Neural Networks: A Framework for Accurate Surrogates and Analytic Derivatives
[NO] 29/200 | Multiple Distance Ramsey Bounds For Graphs in Euclidean Spaces
[NO] 30/200 | A broadband outburst of the compact steep-spectrum quasar 3C 138 in 2024-2026
[NO] 31/200 | MameLoshnLM: Yiddish Language Model and Evaluation Benchmark
[NO] 32/200 | A neural operator view on U-Nets for inverse imaging problems
[NO] 33/200 | Ruffled Feathers: Merger-driven galaxy size growth and structural transformation in EAGLE
[NO] 34/200 | Controllable Clothing: Precise Labels and Generation for Virtual Try-On with Latent Diffusion Models
[NO] 35/200 | ViSR-KGC: Visual Subgraph Reasoning with Vision-Language Models for Multimodal Knowledge Graph Completion
[NO] 36/200 | A Unified Analytical Framework for LYSO-SiPM Scintillation Pulse Dynamics
[NO] 37/200 | Agent-Based Test Assertion Generation via Diverse Perspective Aggregation
[NO] 38/200 | Quantum error correction with global control
[NO] 39/200 | Noise-aware Verification and Synthesis of Quantum Programs
[NO] 40/200 | XEWorld: Can Action-Conditioned World Models Generalize to Unseen Robot Embodiments?
[NO] 41/200 | KVAE: Family of Tokenizers for Multimodal Generative Models
[NO] 42/200 | A Two-Tier Perspective on Inference-Time Parallelism in Multi-Agent LLM Systems
[NO] 43/200 | Interaction size and dissent tolerance in majority-rule dynamics with collective reversal
[NO] 44/200 | Fuzzy network jump models for soft dynamic clustering of graph-structured data
[NO] 45/200 | GROM: Gradient-Free Rapid One-Shot Machine Unlearning
[NO] 46/200 | Evidence-Driven Dynamic Visual Selector for Efficient Long Video Understanding
[NO] 47/200 | Curriculum Multiple Shooting for Robust Training of Neural and Universal Differential Equations
[NO] 48/200 | Robust logarithmic lower bound on shared-resource cost for $f$-routing
[NO] 49/200 | Accelerating nanodrug development in continuous flow systems using informed prediction models based on low-cost surrogate nanoparticles
[NO] 50/200 | Beyond Relevance: Bayesian Evidence Acquisition for Agentic Whole-Slide Image Reasoning
[NO] 51/200 | GRAVITY+: reducing non-common-path aberrations for sub-10 μas astrometric accuracy
[NO] 52/200 | Finite Quantum Histories: Holonomy Spectra, Minimal Clocks, and Exact Clock-Change Covariance
[NO] 53/200 | Subliminal Learning is Non-Semantic Distillation
[NO] 54/200 | Sparse Mutual Information Graph Averaging for Improving Random Indexing Embeddings
[NO] 55/200 | PhyLatent: Learning Dynamics-Relevant Representations for JEPA World Models
[NO] 56/200 | Hijacking Robots with a Piece of Paper: A Systematic Study of Physical Prompt Injection in VLM-Controlled Robots
[NO] 57/200 | RA-CAD: Learning Post-Execution Critique for State-Aware Text-to-CAD Generation
[NO] 58/200 | G$^2$ARD-GS: Geometry-Guided Anchor-Regularized Gaussian Splatting Distillation
[NO] 59/200 | SEAM: Global consistency beyond local accuracy in scientific machine learning
[NO] 60/200 | Mixed local and nonlocal weighted singular quasilinear elliptic problem and its associated Sobolev-type inequality
[NO] 61/200 | Wireless Linear Computation Broadcast
[NO] 62/200 | Grounded Well-Condition Anomaly Detection on the Volve Field: Constructed Labels, a Baseline, and a Dual-Head Model
[NO] 63/200 | A geometric approach to the (generalized) Noether theorem for Hamiltonian systems on (non)-uniform q-contact manifolds
[NO] 64/200 | Periodic Solutions to the Steady Viscous Burgers Equation: A Constructive Example
[NO] 65/200 | Risk in a Data-Rich Model
[NO] 66/200 | Consistency Has a Computable Blind Spot: A Commutation Theory of Label-Free Reliability for Vision-Language Figure Reading
[NO] 67/200 | When Does Consensus Mean Correctness? Measuring the Agreement-Accuracy Coupling with Semantics-Preserving Re-Rendering
[NO] 68/200 | SafeDivertor: Faithful Divertor Heat Flux Reconstruction from Macroscopic Plasma State Signals via Time-Frequency Prior Exploitation
[NO] 69/200 | F$^2$Agent: Financial Fusion of Agentic Intelligence for Multimodal Trading
[NO] 70/200 | Vorch-Streamer: Extending Human Audio-Visual Generation to Real-Time Long-Form Streaming
[NO] 71/200 | On the Numerical Terao Conjecture
[NO] 72/200 | Studying People to Study AI: Expert Perspectives on the Epistemic Fit and Barriers of Human Research in AI Safety & Ethics
[NO] 73/200 | Refining Over Resampling: Test-Time Self-Correction for LLM Reasoning
[NO] 74/200 | Charged Penrose Extraction in RN--AdS Black Holes with Dark Energy: Ergosphere Geometry and Rigorous Efficiency Bounds
[NO] 75/200 | Transcutaneous Spinal Cord Stimulation Disrupts Conscious Ankle Proprioception and Produces a More Constrained Locomotor Pattern in Unimpaired Adults
[NO] 76/200 | Area and Perimeter Rules of Velocity Circulation in Two-Dimensional Turbulence with Large-scale Absolute Equilibrium
