[2026-09-02 13:08:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-01
正在获取论文...
[arXiv] 2026-09-01 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[arXiv] 2026-09-01 | Ontology-based Target Sound Extraction
[arXiv] 2026-09-01 | One Print, Many Moves: Monolithic Origami-inspired Folding Actuator for Composable Soft Multi-DoF Systems
[arXiv] 2026-09-01 | Two-photon quantum Rabi models - Spectral degeneracy and symmetries
[arXiv] 2026-09-01 | Text Capability Loss in Vision-Language Adaptation: An Attention-Sink Diagnosis
[arXiv] 2026-09-01 | The Price of Remembering: A Calibrated Energy Law for Computation
[arXiv] 2026-09-01 | Scaling of boundary-layer disturbances exposed to free-stream turbulence
[arXiv] 2026-09-01 | Addressing the low-wind effect with the Lyot-based low-order wavefront sensor on SCExAO
[arXiv] 2026-09-01 | Modalities in non-classical variations of $\mathsf{S4}$
[arXiv] 2026-09-01 | Finite permutation groups that act with fixity 4
[arXiv] 2026-09-01 | Agentic Empirical Asset Pricing: Methodological Foundations
[arXiv] 2026-09-01 | MaskCode: Mask Transformer for Feedback-Assisted Coding With Linear Block Codes
[arXiv] 2026-09-01 | EarthLD: Towards Unified Open-World Landslide Understanding via Vision-Language Guided Diffusion Models
[arXiv] 2026-09-01 | PhantomCall: Evading ML Malware Detectors via Function Call Graph Perturbation
[arXiv] 2026-09-01 | Direct laser-written optomechanical double membranes in an optical microcavity
[arXiv] 2026-09-01 | Design and Physical Constraints of Synthetic-Frequency Photonic Switching Fabrics
[arXiv] 2026-09-01 | Quantifying Sky Map Resolution Requirements for Beam Chromaticity Correction in Sky-Averaged 21 cm Experiments
[arXiv] 2026-09-01 | Unbalanced spectral Turán problem for color-critical graphs with prescribed large maximum degree
[arXiv] 2026-09-01 | ClinTraceBench: Source-Verifiable Longitudinal Clinical Reasoning over EHR-Derived Dialogues
[arXiv] 2026-09-01 | Reliable LLM-Generated Programs for High-Energy Physics Experiments through Graph-Grounded Software Knowledge
[arXiv] 2026-09-01 | Fine-Tuning Large Language Models to Classify Pull Request-Issue Alignments: Going Beyond Prompting
[arXiv] 2026-09-01 | The real-rootedness of the toric $g$-contribution polynomials
[arXiv] 2026-09-01 | The thermal emission for knot A of radio galaxy M87 by Chandra
[arXiv] 2026-09-01 | Trap Dynamics and Conductivity Changes in AlGaN/GaN Heterostructures Under Ultrasonic Loading
[arXiv] 2026-09-01 | A threshold phenomenon for embeddings of Euclidean snowflakes and impossibility of dimension reduction
[arXiv] 2026-09-01 | JENGA: Exploiting Counter-Based RowHammer Countermeasures to Break Real-Time Predictability
[arXiv] 2026-09-01 | Text-guided flow matching enables sample-efficient crystal structure generation
[arXiv] 2026-09-01 | OTFS Channel Estimation Utilizing Sparse Bayesian Generative Modelling
[arXiv] 2026-09-01 | Asymptotically Optimal List Size of Random Linear Codes
[arXiv] 2026-09-01 | Space Generative AI with Solar Energy Harvesting
[arXiv] 2026-09-01 | Dyn-3D: Unveiling and Resolving Ego-Motion Ambiguity in Vision-Language Models
[arXiv] 2026-09-01 | ARISE-RL: Agentic Rubric-Grounded Iterative Self-Evolution with Reinforcement Learning
[arXiv] 2026-09-01 | Active Visual Semantics: A large-scale MEG and eye-tracking dataset for understanding visual intelligence in action
[arXiv] 2026-09-01 | Archival transients detected with the MeerLICHT telescope I: Supernovae
[arXiv] 2026-09-01 | HiveTraceGuard-Pro: A Compact Generative Guardrail for Prompt Injection, Jailbreaks, and Adversarial Obfuscation
[arXiv] 2026-09-01 | From Truncation to Commitment: Persistent Context in Uniform Discrete Diffusion
[arXiv] 2026-09-01 | Data-Driven Persona-Conditioned Agents for A/B Test Simulation
[arXiv] 2026-09-01 | AKRASIA: Stealthy Backdoor Attack on Reasoning-based Code LLMs
[arXiv] 2026-09-01 | Phrase-Localized Language-Contrastive Guidance: Training-Free Localized Accent Control for Code-Switching Text-to-Speech
[arXiv] 2026-09-01 | Revisiting candidates for non-pulsating stars located in the Cepheid instability strip in the Large Magellanic Cloud
[arXiv] 2026-09-01 | Inspicio: Open-Vocabulary, LLM-Based Sense Retrieval for Historical Languages
[arXiv] 2026-09-01 | The Missing MeV Window for Identifying Galactic PeVatrons: the need for a dedicated MeV Observatory
[arXiv] 2026-09-01 | On the Human and Computer Alignment of Attribute-Based Music Matches
[arXiv] 2026-09-01 | Near-extremal asymptotics and strong cosmic censorship for black holes immersed in a Chaplygin-like dark fluid
[arXiv] 2026-09-01 | ReFlowSET: Representation-Aligned Latent Flow Matching for SAR-to-EO Image Translation
[ACM] 2026-9-1 | AEAvatar: Animatable and Editable Generative Gaussian Head Avatar
[IEEE] 2026-9-1 | Pattern in Motion: Retrieval-Augmented Learning for Dynamic Spatio-Temporal Graphs
[IEEE] 2026-9-1 | Low-Altitude Reflection via UAV-Mounted Rotatable IRS
[IEEE] 2026-9-1 | Feedback Does Not Increase the Capacity of Approximately Memoryless Surjective POST Channels
[IEEE] 2026-9-1 | Efficient Neuro-Coupling Matrix-Based Surrogate Optimization With Adaptive Modeling Region Update for Microwave Filters
[IEEE] 2026-9-1 | UAV-Integrated Dynamic Partial Task Offloading Optimization in Vehicular Edge Computing via Deep Reinforcement Learning
[IEEE] 2026-9-1 | A 256-Channel Solid-State Nanopore Readout Array With 193-pA TIAs and Event Detection at 1-MHz in 65-nm CMOS
[IEEE] 2026-9-1 | An Online Inertial Parameter Identification Framework with Complete Physical Consistency: Lower-Body Exoskeleton Use Case_supp1-3729200.pdf
[IEEE] 2026-9-1 | Exploiting Model Replication and Heterogeneous Accelerator Parallelism for Low-Latency Multi-View Perception_supp2-3728805.mp4
[IEEE] 2026-9-1 | Heterogeneous Integration of Micro-LEDs on Polyimide Sacrificial Layer Supporting Laser-Induced Mass Transfer_supp2-3728898.mp4
[IEEE] 2026-9-1 | Efficient Two-timescale User Grouping and Resource Allocation for LEO Satellite Networks With Uneven Traffic
[IEEE] 2026-9-1 | PASS-Aided Over-the-Air Computation with Programmable Aggregation
[IEEE] 2026-9-1 | Tuned Reverse Distillation: Enhancing Multimodal Industrial Anomaly Detection with Crossmodal Tuners
[IEEE] 2026-9-1 | LLCE-SQL: Data-Efficient Text-to-SQL Training via Logic-Linking Driven Collaborative Evolution_supp1-3724417.pdf
[IEEE] 2026-9-1 | Variable-Stiffness Joint Enabling Multiple Adhesion and Detachment Strategies for Climbing Robots
[IEEE] 2026-9-1 | Angular-Domain Characterization of Average Contiguous Duration in Generalized Wireless Fading Channels
[ACM] 2026-9-1 | Optimization and Efficiency Evaluation of Higher Education Teaching Process Based on Big Data Analysis
[ACM] 2026-9-1 | Fostering Teacher Collaborative Learning Communities via AI-Mediated Knowledge Sharing and Expert Matching
[ACM] 2026-9-1 | Improved Single-Stage Semi-Supervised Multi-Task Learning Algorithm Based on Joint Pseudo-Label Optimization and Global-Local Constraints
[ACM] 2026-9-2 | Graph Attention Learning for Risk Early Warning in Grassroots Governance Using Multi Source Heterogeneous Data
[ACM] 2026-9-2 | PLM-Driven Teaching Resource Lifecycle Management Platform: Construction and Empirical Efficacy Study
[ACM] 2026-9-1 | Research on the Value Assessment Model of Civil Aviation Data Assets
[ACM] 2026-9-1 | Wind-Solar-Hydro Storage Joint Operation Strategy Based on Improved Immune Particle Swarm Optimization Algorithm
[ACM] 2026-9-1 | ALBERT-TextCNN Based Grassroots Governance Topic Identification and Cultural Factor Analysis System for Social Media
[ACM] 2026-9-2 | Evaluation of the Quality of Environmental Accounting Information Disclosure Based on Deep Learning Theory: A Case Study of China Shenhua Enterprise
[ACM] 2026-9-1 | Driving Factors of Four-Chain Integration Open Innovation Ecosystems: An fsQCA and Random Forest Simulation Approach
[ACM] 2026-9-1 | Construction Method of Expressway Electromechanical Operation and Maintenance Knowledge Graph Based on Multi-source Heterogeneous Data Fusion
[ACM] 2026-9-1 | A Home Modular AI Stereoscopic Planting System
[ACM] 2026-9-1 | AI-Empowered Smart Teaching Framework and Learner Profiling in Engineering Education: An Empirical Study Based on K-means Algorithm
[ACM] 2026-9-1 | Research on Korean Morphological Analysis and Part-of-Speech Tagging Method Based on Transformer Model
[ACM] 2026-9-1 | Application of Style Migration Algorithm in Environmental Architecture Design
[ACM] 2026-9-1 | Construction of an Evaluation Model for University Fitness and Bodybuilding Courses Based on Multi-Source Data Fusion
[IEEE] 2026-9-1 | Non-Negative Gradient based LMS Controller for Grid-Tied PV Supported EV Charging System
[IEEE] 2026-9-1 | Dynamic Interaction Analysis of Partially Shaded Photovoltaic Systems with Grid-Forming Inverters in Microgrid Applications
[IEEE] 2026-9-1 | A Multi-Scale GeoAI Framework Linking Parcel-Scale Earth Observation to District-Scale Agricultural Early Warning in South Africa: Methodological Foundations for an Operational System
[IEEE] 2026-9-1 | A Multi-Parameter Acquisition and Reproduction Framework for Human Manipulation Based on 6-DOF Bilateral Teleoperation
[IEEE] 2026-9-1 | Control of More Boost Range Switched-Inductor Based Fifth-order Buck-Boost Converter
[IEEE] 2026-9-1 | Communication Independent Control Framework for Series Balancing Capacitor Integrated DMPPT Scheme for BIPV Application
[IEEE] 2026-9-1 | Sparse Neural Architecture Search with Enhanced Channel Attention for Motor Fault Diagnosis
[IEEE] 2026-9-1 | Analysis of Reactive Power in a Wind-Solar-BESS Hybrid Energy System
[IEEE] 2026-9-1 | Hybrid Intelligent Control of Power Transmission System with VAR Compensator based Multi-Load level Reactive Power Planning
[IEEE] 2026-9-1 | A Hybrid Energy Disaggregation Architecture for Non-Intrusive Load Monitoring
[IEEE] 2026-9-1 | Comparative Study of Genetic Algorithm and Ant Colony Optimization for PID
                    <sup>2</sup>
                    Controller Optimization of a 1-DOF Half-Quadrotor
[IEEE] 2026-9-1 | A Comprehensive Investigation of Temperature and Ageing Effects on Activation Energy and Conductivity of Nomex Insulation Samples
[IEEE] 2026-9-1 | Active-Model Compensated Model Predictive Control for Ultrasonic Motors in MRI-Compatible Surgical Robots
[IEEE] 2026-9-1 | FogTrack: Vision-Language Inheritance Learning for Aerial Multi-Vessel Tracking
[IEEE] 2026-9-1 | High Spectral Purity Pulse Width Modulation Technique (HSP-PWM) for Sinusoidal Waveform Synthesis
[IEEE] 2026-9-1 | A Simultaneous Calibration Method for Dual-Arm Robots Based on Optical Trackers
[IEEE] 2026-9-1 | Mean Field Game-based Speed Optimization for Large-population CAVs
[IEEE] 2026-9-1 | DR-TSLM: Deictic Reference Resolution via Temporal-Spatial Large Language Model for Human-Robot Interaction
[IEEE] 2026-9-1 | A Wireless Charging Station for Batteries of High Ground Clearance Electric Vehicle using Solar-Energy
[IEEE] 2026-9-1 | Development of an Intelligent Electronic Nose System Based on Multiferroic BiFeO
                    <sub>3</sub>
                    Nanomaterials
[IEEE] 2026-9-1 | Compact Grid-PV System with RBFN MPPT and Feedback Linearized Controller for EV Charging
[IEEE] 2026-9-1 | Decoupled Dynamics: A Cascaded LPV-MPC Framework For Agile Quadrotor Navigation in 3D Space
[IEEE] 2026-9-1 | Research on Multi-UAV Collision Avoidance Based on Conflict Graph Local Prediction and Control Barrier Functions
[IEEE] 2026-9-1 | A comprehensive review on opportunities and challenges for electric Vehicle-to-Vehicle (V2V) charging
[IEEE] 2026-9-1 | Multi-View Projection of 3D Flight Trajectories with Attention Fusion for Flight Maneuver Recognition
[ACM] 2026-9-2 | DA-CTransNet: A Transformer-CNN Hybrid Framework for Dermoscopy ImageSegmentation via Domain Adaptation and Cascaded Boundary Refinement
[ACM] 2026-9-2 | Public Acceptance Prediction of Vehicle-Battery Separation Insurance for Battery-Swapping New Energy Vehicles Using Random Forest Under the Background of Carbon Neutrality
[IEEE] 2026-9-1 | Table of Contents
[IEEE] 2026-9-1 | We Want to Hear From You!
[IEEE] 2026-9-1 | Improved Accuracy in Multicore Fiber Refractive Index Profile Measurement by Multi-Focus Phase Sinogram Fusion
[IEEE] 2026-9-1 | Explainable Diffusion Model for Aperture-flexible 3D Quantitative Electromagnetic Imaging
[IEEE] 2026-9-1 | Hierarchical Scanning for Vision Mamba: Enabling Continuous and Coherent Context Modeling
[IEEE] 2026-9-1 | Predicting Histotripsy Focal Shifts in the Liver From Acoustic Aberrations Using a Deep Learning Model
[IEEE] 2026-9-1 | Latent Textual Space: Pivot for Scaling Customized Text-to-Image and Video Generation
[IEEE] 2026-9-1 | Exploring Common Impulse Response for Cross-Subject Transfer Learning in SSVEP-Based Brain-Computer Interfaces_supp1-3723267.pdf
[IEEE] 2026-9-1 | Modular and Multi-Domain Verilog-A Modelling of Electrochemical Sensors for Co-Simulation with Electronic Interfaces_supp1-3727188.mp4
[IEEE] 2026-9-1 | CIS-RAM 2026 Welcome Message
[IEEE] 2026-9-1 | An Enhanced Multi-Object Tracking Model Used in Low-Frame-Rate Video
[IEEE] 2026-9-1 | Multiple Access Design and Resource Allocation in Pinching-Antenna Systems
[IEEE] 2026-9-1 | Life Cycle Cost Oriented Planning of Soft Open Point Considering Device Lifetime in Active Distribution Networks
[IEEE] 2026-9-1 | First Demonstration of the Positive Threshold Voltage Shift in InAlGaN/GaN HEMT by Adopting Hybrid Ferroelectric Charge Trap Gate Stack (FEG) With Tri-gate Structure
[IEEE] 2026-9-1 | When Help Matters
[IEEE] 2026-9-1 | Cryptic Binding Site Prediction Using Equivariant Graph Neural Networks with Kolmogorov-Arnold Networks
[IEEE] 2026-9-1 | Market-Aware Request Scheduling for Long-Term Benefits in Computing Power Federation
[IEEE] 2026-9-1 | Author Index
[ACM] 2026-9-1 | DAFF-NER: A Radical-Aware and Data-Augmented Framework for Chinese Electronic Medical Record Named Entity Recognition
[ACM] 2026-9-2 | Application Analysis of Modern Computer Technology in Agricultural Economic Management
[ACM] 2026-9-2 | Detecting High-Potential SMEs with Heterogeneous Graph Neural Networks
[ACM] 2026-9-2 | Optimization of Interactive Models in Ideological and Political Education Classrooms Based on Big Data Analysis
[ACM] 2026-9-2 | Research on Collaborative Education Support System for Industry-Education Integration in Higher Vocational Colleges under the New “Double High” Plan
[ACM] 2026-9-1 | Principal Component Analysis of Factors Influencing Stock Prices of A-Share Listed Companies: A Case Study of Real Estate Enterprises
[ACM] 2026-9-2 | Dynamic Weight Fusion Mechanism in Neural Machine Translation via Multilingual Context Modeling
[ACM] 2026-9-2 | Multimodal Transformer-Based Automated Metadata Generation and Cataloging Framework for Digital Libraries
[ACM] 2026-9-2 | Hybrid Financial Time Series Model Integrating VMD-STFT Analysis and Attention Mechanisms
[IEEE] 2026-9-1 | Research on Simulated Human-in-the-Loop Reinforcement Learning Methods for Robotic Grasping Oriented to Sample Efficiency Improvement
[ACM] 2026-9-1 | BC-FDSSE: Blockchain-Assisted Forward and Backward Secure Dynamic Symmetric Searchable Encryption
[ACM] 2026-9-1 | Research on Traffic Sign Recognition Algorithm Based on Improved YOLO
[ACM] 2026-9-1 | Identification of bridge mode shapes using a moving dual-axle vehicle  scanning method
[ACM] 2026-9-1 | Construction and Application of a Digital Platform for Student Financial Aid Based on the “All-Staff, Whole-Process and All-Round Education” Model
[ACM] 2026-9-1 | An improved BP neural network with approximate prior vector inner product for real-time IGBT junction temperature prediction
[ACM] 2026-9-1 | A Lightweight Hand-Object Segmentation Network for Object-Agnostic Human-Robot Handovers
[ACM] 2026-9-1 | A Study on Cognitive Reconstruction of the Differential Pattern of Mother-in-Law and Daughter-in-Law Relationships Based on the Random Forest Algorithm
[ACM] 2026-9-1 | A Paradigm for English Learning in Collaborative Virtual Environments: A Simulation Study
[ACM] 2026-9-1 | Application of an Ensemble Learning Method Based on Deep Learning and Gaussian Processes to Stock Price Forecasting
[IEEE] 2026-9-1 | Analysis of Chirp Interference Effects on GPS L1 C/A Software Receiver Acquisition
[IEEE] 2026-9-1 | A Consumer-Centric Blockchain Framework for Smart and Sustainable EV Charging and Energy Trading Infrastructure
[IEEE] 2026-9-1 | Future of Induced Volatolomics in Cancer Risk Pre-Warning
[IEEE] 2026-9-1 | Exhaled Breath Analysis Using Electronic Nose Detects Chronic Obstructive Pulmonary Disease Patients with Bronchodilator Reversibility
共写入 200 条记录，保存到 papers/paper2026-09-01.json。
论文获取成功，文件路径: papers/paper2026-09-01.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[NO] 2/200 | Reanalysis of exclusive charmonium production at the $B$ factories
[NO] 3/200 | Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity
[NO] 4/200 | ExpArt-KG: Artwork Image Description Generation through Iterative Exploration of Knowledge Graphs
[NO] 5/200 | Global well-posedness of radially symmetric strong solutions to two-dimensional compressible liquid crystal flows with large data and vacuum
[NO] 6/200 | Entropy on regular sets and periodic-orbit growth for singular flows
[NO] 7/200 | DSG: Dynamic 3D Scene Graph Construction for Embodied Agents in Changing Indoor Environments
[NO] 8/200 | Cross-View Vision-Aided Proactive BS Selection and Beam Prediction for mmWave V2I Communications
[NO] 9/200 | A Version Space Approach for Digital Circuit Analysis
[NO] 10/200 | Investigating Assistant Bias in LLM User Simulators Using a Role Vector
[NO] 11/200 | Photon Gas Thermodynamics with $κ$-generalized statistics at Planck-Scale
[NO] 12/200 | Universal Beta Incidence Angles: Cauchy Rigidity and Infinite Arrangements
[NO] 13/200 | Behavior of the SRB Entropy Functional in Families of Hyperbolic Attractors and Expanding Maps
[NO] 14/200 | Supercritical mean--field limit for magnetized Hamiltonian dynamic
[NO] 15/200 | Socrates went Nuclear: Comparing Interaction Strategies for AI systems in a Learning Context using Brain Sensing
[NO] 16/200 | A Mathematical Framework for Legacy, Governance, and Decision Integrity in Enterprise AI
[NO] 17/200 | Graph Coloring with Color Preferences
[NO] 18/200 | Aligned but Flattened: Analyzing the Trade-off between Cultural Alignment and Diversity in LLMs
[NO] 19/200 | Mudskippers use tail thrusting to help crutching to move on mud of various wetness
[NO] 20/200 | Importance and methods to control, vary, and characterize mud strength for studying locomotion
[NO] 21/200 | Spectral Bounds for Kernel Quadrature
[NO] 22/200 | Manifold-Aware General Coded Computing for Straggler-Resilient Distributed Computing
[NO] 23/200 | Same Semantics, Different Outcome: On the Modality Robustness of Multimodal LLMs under Knowledge Conflict
[NO] 24/200 | Skill Following: Evaluating Actual Skill Use in Retrieval-Enabled LLM Agents
[NO] 25/200 | Spectral element lattice Boltzmann method for non-ideal gases with partial wetting boundary condition
[NO] 26/200 | Are We There Yet? Assessing Computer-Use Agents for Blind Users' Accessible Interaction with Desktop Applications
[NO] 27/200 | A distributed-delay Wilson-Cowan model of sleep-related rhythms in the corticothalamic system
[NO] 28/200 | D-Scrambled Cantor Sets
[NO] 29/200 | Uniqueness of Finite-Time Varifold Limits for the Möbius-Invariant Willmore Flow
[NO] 30/200 | Femtoscopy as a New Probe of the Nuclear Equation of State
[NO] 31/200 | CacheBridge: Efficient Cross-Model KV Cache Transfer
[NO] 32/200 | The Type-I Seesaw as a Relativistic Fermionic Proximity Effect: Spectral Moments, EFT Consistency, and Sterile-Sector Reconstruction
[NO] 33/200 | Denoising Diffusion Generative Models Secretly Calculate Attentions
[NO] 34/200 | Sharp Mixed Spectral Barron Regularity of Coulombic Many-Electron Wave Functions
[NO] 35/200 | Benchmarking Vision-Language Models for Automated Pathology Diagnosis and Report Generation
[NO] 36/200 | Independent Tuning of Surface Acoustic-Waves and Spin-Waves via Buffer-Layer Engineering in Co2FeGe Heusler Thin Films
[NO] 37/200 | LLM Inference on IMC-NoC Architecture with Balanced Dataflow and Fine-Grained Parallelism
[NO] 38/200 | Spatio-temporal coherent molding and retrieval of pulsed signals in optical waveguides
[NO] 39/200 | Probabilistic Model Checking of Autoregressive Neural Sequence Models
[NO] 40/200 | Metastable defects in III-Nitrides
[NO] 41/200 | Dense Process Supervision for Search Agents via Fact Utility Estimation
[NO] 42/200 | TWIX: a Two-Stage Approach for End-To-End Named Entity Recognition and Relation Extraction
[NO] 43/200 | A Frequency-Aware Dynamic Knowledge Distillation Framework: An Effective Tool for Bridging Low- and High-Frequency Seismic Information
[NO] 44/200 | Temporally constraining source imaging estimates in an underdetermined neural system with eigenmodes of cortical geometry
[NO] 45/200 | Connectivity-Aware Graph Extension for Decentralized Multi-Robot Exploration
[NO] 46/200 | TEIDAN: A Multilingual Multiparty Dialogue Corpus
[NO] 47/200 | Advanced Pixel Diffusion Model with Guided Sparse Global Refinement
[NO] 48/200 | Carroll Limit of $\mathcal{O}(F^2)$ $\text{D}_p$-branes from Kaluza--Klein-like Null reduction in the Polyakov Formulation
[NO] 49/200 | MADS: A Multiview Acoustic Descriptor Set Beyond Standard Spectral Summaries
[NO] 50/200 | Instella-MoE Technical Report
[NO] 51/200 | When Features Become Instances: Inverted Contrastive Learning for Unsupervised Feature Selection
[NO] 52/200 | Deep Skew-t Mixture Models
[NO] 53/200 | Agent-Enhanced Heterogeneous Graph RAG for Academic Question Answering
[NO] 54/200 | Improved bounds in Birch's theorem for forms in many variables
[NO] 55/200 | S^3martCirc: Self-supervised Smart Circuit Discovery
[NO] 56/200 | A counterexample to the localization problem for AB rings
[NO] 57/200 | Ontology-based Target Sound Extraction
[NO] 58/200 | One Print, Many Moves: Monolithic Origami-inspired Folding Actuator for Composable Soft Multi-DoF Systems
[NO] 59/200 | Two-photon quantum Rabi models - Spectral degeneracy and symmetries
[NO] 60/200 | Text Capability Loss in Vision-Language Adaptation: An Attention-Sink Diagnosis
[NO] 61/200 | The Price of Remembering: A Calibrated Energy Law for Computation
[NO] 62/200 | Scaling of boundary-layer disturbances exposed to free-stream turbulence
[NO] 63/200 | Addressing the low-wind effect with the Lyot-based low-order wavefront sensor on SCExAO
[NO] 64/200 | Modalities in non-classical variations of $\mathsf{S4}$
[NO] 65/200 | Finite permutation groups that act with fixity 4
[NO] 66/200 | Agentic Empirical Asset Pricing: Methodological Foundations
[NO] 67/200 | MaskCode: Mask Transformer for Feedback-Assisted Coding With Linear Block Codes
[NO] 68/200 | EarthLD: Towards Unified Open-World Landslide Understanding via Vision-Language Guided Diffusion Models
[NO] 69/200 | PhantomCall: Evading ML Malware Detectors via Function Call Graph Perturbation
[NO] 70/200 | Direct laser-written optomechanical double membranes in an optical microcavity
[NO] 71/200 | Design and Physical Constraints of Synthetic-Frequency Photonic Switching Fabrics
